x_cm,y_cm,z_cm,temperature_C,stress_MPa,strain,pO2_atm,current_density_A_cm2,damage_index
0.444,0.0,4.211,768.83,43.273,0.000216,0.13906,0.4863,0.00757
0.444,0.0,4.474,775.97,40.853,0.000204,0.13712,0.4793,0.00827
0.444,0.0,4.737,779.5,39.142,0.000196,0.13131,0.4934,0.01079
0.444,0.0,5.0,785.52,40.977,0.000205,0.13475,0.5072,0.00979
0.889,0.0,0.0,709.0,62.247,0.000311,0.20194,0.3938,0.0
0.889,0.0,0.263,708.85,60.285,0.000301,0.18543,0.3889,0.0
0.889,0.0,0.526,713.37,61.38,0.000307,0.19874,0.4152,0.0
0.889,0.0,0.789,715.91,57.432,0.000287,0.19369,0.419,0.00051
0.889,0.0,1.053,724.29,54.667,0.000273,0.1885,0.4162,0.00047
0.889,0.0,1.316,726.39,57.465,0.000287,0.18035,0.4498,0.0
0.889,0.0,1.579,734.02,50.991,0.000255,0.1725,0.4234,0.00122
0.889,0.0,1.842,737.98,51.02,0.000255,0.17383,0.4508,0.00179
0.889,0.0,2.105,741.1,51.735,0.000259,0.16799,0.4489,0.00219
0.889,0.0,2.368,743.44,48.479,0.000242,0.16658,0.4511,0.00154
0.889,0.0,2.632,750.72,50.554,0.000253,0.16456,0.4759,0.00134
0.889,0.0,2.895,752.74,47.557,0.000238,0.16278,0.4696,0.00446
0.889,0.0,3.158,757.43,49.484,0.000247,0.15696,0.4566,0.00361
0.889,0.0,3.421,757.29,47.293,0.000236,0.14875,0.4628,0.0042
0.889,0.0,3.684,766.13,49.052,0.000245,0.14727,0.4661,0.0048
0.889,0.0,3.947,769.67,40.681,0.000203,0.13536,0.4822,0.00671
0.889,0.0,4.211,773.57,44.103,0.000221,0.13337,0.4773,0.00798
0.889,0.0,4.474,776.83,42.37,0.000212,0.14252,0.4685,0.00838
0.889,0.0,4.737,779.13,41.297,0.000206,0.13571,0.49,0.00932
0.889,0.0,5.0,786.31,39.166,0.000196,0.11979,0.5094,0.00961
1.333,0.0,0.0,704.32,60.653,0.000303,0.20625,0.4138,0.0
1.333,0.0,0.263,712.4,55.005,0.000275,0.21355,0.4138,0.0
1.333,0.0,0.526,715.95,53.886,0.000269,0.19514,0.4095,0.00048
1.333,0.0,0.789,723.91,55.179,0.000276,0.18458,0.4265,0.0
1.333,0.0,1.053,729.24,51.766,0.000259,0.18622,0.4408,0.00098
1.333,0.0,1.316,726.66,55.503,0.000278,0.18144,0.4318,0.00129
1.333,0.0,1.579,735.49,51.681,0.000258,0.18484,0.4322,0.00164
1.333,0.0,1.842,736.79,52.471,0.000262,0.1788,0.4545,0.00093
1.333,0.0,2.105,741.39,52.136,0.000261,0.16763,0.436,0.0009
1.333,0.0,2.368,745.56,50.176,0.000251,0.16532,0.4553,0.00224
1.333,0.0,2.632,753.36,50.76,0.000254,0.16282,0.422,0.00228
1.333,0.0,2.895,754.74,47.432,0.000237,0.16081,0.4544,0.00272
1.333,0.0,3.158,760.02,47.194,0.000236,0.15125,0.441,0.00371
1.333,0.0,3.421,760.05,45.247,0.000226,0.15061,0.4763,0.00527
1.333,0.0,3.684,765.31,47.083,0.000235,0.15242,0.466,0.00457
1.333,0.0,3.947,770.7,41.483,0.000207,0.14078,0.4858,0.0079
1.333,0.0,4.211,776.02,43.855,0.000219,0.13853,0.4787,0.0076
1.333,0.0,4.474,781.58,45.123,0.000226,0.1373,0.4848,0.00754
1.333,0.0,4.737,783.27,41.947,0.00021,0.12791,0.4883,0.00968
1.333,0.0,5.0,791.46,38.749,0.000194,0.12295,0.5059,0.00911
1.778,0.0,0.0,709.29,60.616,0.000303,0.21197,0.4037,0.00015
1.778,0.0,0.263,712.67,57.583,0.000288,0.20746,0.3966,0.00046
1.778,0.0,0.526,719.99,60.017,0.0003,0.19883,0.41,0.00076
1.778,0.0,0.789,723.89,57.699,0.000288,0.19088,0.4092,0.0001
1.778,0.0,1.053,723.09,56.065,0.00028,0.18669,0.4166,0.0
1.778,0.0,1.316,734.07,57.504,0.000288,0.18541,0.4218,0.00068
1.778,0.0,1.579,734.01,53.773,0.000269,0.17344,0.4263,0.00222
1.778,0.0,1.842,738.88,49.657,0.000248,0.1799,0.4441,0.00068
1.778,0.0,2.105,741.76,51.647,0.000258,0.17796,0.4492,0.00106
1.778,0.0,2.368,746.87,49.914,0.00025,0.15821,0.4319,0.002
1.778,0.0,2.632,748.51,49.363,0.000247,0.16419,0.4506,0.00333
1.778,0.0,2.895,756.74,49.359,0.000247,0.16118,0.4843,0.00225
1.778,0.0,3.158,759.09,48.71,0.000244,0.1575,0.4764,0.00337
1.778,0.0,3.421,763.94,44.09,0.00022,0.1409,0.4906,0.00366
1.778,0.0,3.684,770.74,45.245,0.000226,0.14366,0.4641,0.00679
1.778,0.0,3.947,773.89,43.759,0.000219,0.13867,0.4756,0.00529
1.778,0.0,4.211,777.18,43.527,0.000218,0.13662,0.4761,0.00721
1.778,0.0,4.474,785.33,42.884,0.000214,0.12808,0.4901,0.00733
1.778,0.0,4.737,783.26,40.86,0.000204,0.1394,0.4978,0.00935
1.778,0.0,5.0,789.95,37.507,0.000188,0.12955,0.5055,0.01094
2.222,0.0,0.0,712.36,59.759,0.000299,0.20492,0.3959,0.0
2.222,0.0,0.263,717.07,61.223,0.000306,0.20179,0.3991,0.00078
2.222,0.0,0.526,715.28,55.611,0.000278,0.20624,0.402,0.00068
2.222,0.0,0.789,720.98,59.509,0.000298,0.19356,0.4146,0.00048
2.222,0.0,1.053,728.93,52.355,0.000262,0.19541,0.4275,0.00132
2.222,0.0,1.316,729.94,55.079,0.000275,0.18749,0.4342,0.00293
2.222,0.0,1.579,735.19,52.395,0.000262,0.17254,0.4447,0.00223
2.222,0.0,1.842,738.32,52.529,0.000263,0.16972,0.4408,0.0
2.222,0.0,2.105,743.48,52.975,0.000265,0.16427,0.4504,0.00039
2.222,0.0,2.368,740.79,52.34,0.000262,0.16805,0.4335,0.00215
2.222,0.0,2.632,751.16,51.971,0.00026,0.17094,0.4632,0.00074
2.222,0.0,2.895,756.02,45.256,0.000226,0.15808,0.4696,0.0032
2.222,0.0,3.158,759.45,45.544,0.000228,0.1526,0.4813,0.00247
2.222,0.0,3.421,764.8,45.1,0.000226,0.15184,0.4899,0.00484
2.222,0.0,3.684,766.13,43.686,0.000218,0.14491,0.4626,0.00581
2.222,0.0,3.947,773.55,44.989,0.000225,0.13982,0.4886,0.00608
2.222,0.0,4.211,780.51,44.676,0.000223,0.1388,0.4811,0.00674
2.222,0.0,4.474,784.01,38.318,0.000192,0.13805,0.4852,0.00729
2.222,0.0,4.737,787.04,38.794,0.000194,0.12822,0.4916,0.00906
2.222,0.0,5.0,790.37,39.59,0.000198,0.12238,0.4957,0.00878
2.667,0.0,0.0,707.23,59.904,0.0003,0.21474,0.399,0.0
2.667,0.0,0.263,711.88,62.03,0.00031,0.19345,0.4015,0.00044
2.667,0.0,0.526,718.81,55.349,0.000277,0.19262,0.4158,0.0
2.667,0.0,0.789,721.0,55.67,0.000278,0.1941,0.4233,0.0
2.667,0.0,1.053,729.73,58.313,0.000292,0.19346,0.4335,0.00139
2.667,0.0,1.316,726.22,53.62,0.000268,0.18512,0.4323,0.00064
2.667,0.0,1.579,733.5,55.049,0.000275,0.17646,0.4313,0.00051
2.667,0.0,1.842,737.01,51.6,0.000258,0.17871,0.4444,0.00202
2.667,0.0,2.105,743.89,50.958,0.000255,0.16621,0.4529,0.00086
2.667,0.0,2.368,748.53,51.569,0.000258,0.16904,0.454,0.0
2.667,0.0,2.632,748.19,48.829,0.000244,0.15915,0.4586,0.00413
2.667,0.0,2.895,752.29,46.838,0.000234,0.15126,0.4859,0.00216
2.667,0.0,3.158,757.64,48.674,0.000243,0.15669,0.4579,0.00564
2.667,0.0,3.421,764.5,44.412,0.000222,0.15705,0.4782,0.00411
2.667,0.0,3.684,768.48,46.673,0.000233,0.14328,0.4759,0.00354
2.667,0.0,3.947,768.56,43.407,0.000217,0.14648,0.463,0.00529
2.667,0.0,4.211,776.62,41.228,0.000206,0.12792,0.4677,0.00746
2.667,0.0,4.474,780.56,43.693,0.000218,0.12741,0.4713,0.00956
2.667,0.0,4.737,784.33,40.069,0.0002,0.12582,0.4957,0.00986
2.667,0.0,5.0,789.84,39.505,0.000198,0.12648,0.4845,0.01101
3.111,0.0,0.0,706.88,55.935,0.00028,0.21231,0.3997,0.0
3.111,0.0,0.263,710.8,56.5,0.000282,0.19834,0.4074,0.00084
3.111,0.0,0.526,717.18,60.106,0.000301,0.19445,0.4063,0.0
3.111,0.0,0.789,722.12,57.119,0.000286,0.198,0.4138,0.002
3.111,0.0,1.053,722.45,57.984,0.00029,0.18464,0.4308,0.0009
3.111,0.0,1.316,727.35,54.445,0.000272,0.19086,0.4181,0.00108
3.111,0.0,1.579,733.04,53.74,0.000269,0.17552,0.4328,0.0
3.111,0.0,1.842,735.52,55.863,0.000279,0.1803,0.415,0.00199
3.111,0.0,2.105,741.5,52.335,0.000262,0.17403,0.4452,0.00116
3.111,0.0,2.368,744.58,53.723,0.000269,0.16595,0.461,0.00292
3.111,0.0,2.632,750.09,48.468,0.000242,0.16233,0.4612,0.00258
3.111,0.0,2.895,754.09,47.83,0.000239,0.15768,0.456,0.00285
3.111,0.0,3.158,756.79,45.74,0.000229,0.15862,0.4596,0.0045
3.111,0.0,3.421,762.96,47.332,0.000237,0.13808,0.4858,0.00484
3.111,0.0,3.684,766.8,43.374,0.000217,0.14342,0.4806,0.00417
3.111,0.0,3.947,774.22,47.501,0.000238,0.14229,0.4802,0.00775
3.111,0.0,4.211,770.12,39.815,0.000199,0.1437,0.4914,0.00688
3.111,0.0,4.474,779.34,42.014,0.00021,0.13123,0.4845,0.00886
3.111,0.0,4.737,784.3,39.807,0.000199,0.12016,0.4938,0.00886
3.111,0.0,5.0,790.88,40.437,0.000202,0.11462,0.4932,0.00912
3.556,0.0,0.0,702.39,58.402,0.000292,0.21019,0.4094,0.0
3.556,0.0,0.263,707.85,59.313,0.000297,0.19781,0.3964,0.00058
3.556,0.0,0.526,710.92,58.627,0.000293,0.1979,0.406,0.00252
3.556,0.0,0.789,719.61,57.864,0.000289,0.18751,0.4204,0.00126
3.556,0.0,1.053,718.72,59.246,0.000296,0.18706,0.3958,0.0
3.556,0.0,1.316,723.49,54.564,0.000273,0.19372,0.4187,0.0
3.556,0.0,1.579,725.77,53.056,0.000265,0.18551,0.4227,0.00103
3.556,0.0,1.842,727.3,52.182,0.000261,0.17442,0.4388,0.00141
3.556,0.0,2.105,737.12,48.606,0.000243,0.16859,0.444,0.00276
3.556,0.0,2.368,741.11,52.382,0.000262,0.16109,0.4673,0.00356
3.556,0.0,2.632,745.06,47.453,0.000237,0.16404,0.4434,0.0034
3.556,0.0,2.895,750.96,50.471,0.000252,0.15526,0.4428,0.0043
3.556,0.0,3.158,755.48,45.542,0.000228,0.1597,0.4753,0.00379
3.556,0.0,3.421,756.78,42.924,0.000215,0.14957,0.462,0.00554
3.556,0.0,3.684,762.49,40.385,0.000202,0.1459,0.475,0.00575
3.556,0.0,3.947,766.34,45.91,0.00023,0.13298,0.4738,0.00823
3.556,0.0,4.211,770.8,45.676,0.000228,0.1348,0.4903,0.00732
3.556,0.0,4.474,777.99,42.8,0.000214,0.14341,0.4929,0.00782
3.556,0.0,4.737,780.03,38.936,0.000195,0.12289,0.491,0.00974
3.556,0.0,5.0,785.49,37.594,0.000188,0.12593,0.5002,0.01153
4.0,0.0,0.0,699.59,59.029,0.000295,0.20867,0.3951,0.00082
4.0,0.0,0.263,701.94,60.716,0.000304,0.20563,0.4058,0.00046
4.0,0.0,0.526,710.56,57.289,0.000286,0.20097,0.406,7e-05
4.0,0.0,0.789,714.09,53.841,0.000269,0.19112,0.4304,0.0
4.0,0.0,1.053,715.89,53.955,0.00027,0.19313,0.4183,0.00163
4.0,0.0,1.316,720.69,55.075,0.000275,0.18076,0.4217,0.00188
4.0,0.0,1.579,726.36,56.051,0.00028,0.18196,0.4136,0.0
4.0,0.0,1.842,730.2,53.85,0.000269,0.16666,0.426,0.00051
4.0,0.0,2.105,733.43,49.835,0.000249,0.16602,0.4481,0.00249
4.0,0.0,2.368,735.71,50.419,0.000252,0.15786,0.4457,0.00174
4.0,0.0,2.632,745.93,51.459,0.000257,0.16247,0.4493,0.00333
4.0,0.0,2.895,746.3,48.274,0.000241,0.15849,0.4652,0.00236
4.0,0.0,3.158,752.83,44.105,0.000221,0.15083,0.4762,0.00315
4.0,0.0,3.421,749.84,44.901,0.000225,0.1502,0.4599,0.00353
4.0,0.0,3.684,756.48,38.742,0.000194,0.13906,0.4713,0.00532
4.0,0.0,3.947,765.36,44.782,0.000224,0.14739,0.458,0.00623
4.0,0.0,4.211,767.0,45.747,0.000229,0.14202,0.4938,0.00588
4.0,0.0,4.474,773.69,45.023,0.000225,0.12926,0.5179,0.00697
4.0,0.0,4.737,774.61,40.888,0.000204,0.12449,0.4912,0.00854
4.0,0.0,5.0,779.74,38.193,0.000191,0.12462,0.4962,0.00965
0.0,0.444,0.0,698.48,59.534,0.000298,0.21086,0.3992,0.0
0.0,0.444,0.263,706.17,59.207,0.000296,0.20485,0.4076,0.00062
0.0,0.444,0.526,707.76,60.35,0.000302,0.19364,0.4133,0.0
0.0,0.444,0.789,714.29,57.542,0.000288,0.19165,0.4186,0.0004
0.0,0.444,1.053,719.86,52.405,0.000262,0.19039,0.4071,0.00085
0.0,0.444,1.316,720.65,56.317,0.000282,0.18181,0.4258,0.0
0.0,0.444,1.579,725.08,49.835,0.000249,0.17956,0.438,0.00152
0.0,0.444,1.842,728.44,52.99,0.000265,0.17935,0.4249,0.00151
0.0,0.444,2.105,737.65,54.914,0.000275,0.16674,0.4285,0.00186
0.0,0.444,2.368,737.68,47.246,0.000236,0.16994,0.4418,0.0014
0.0,0.444,2.632,741.63,49.205,0.000246,0.16095,0.4544,0.00367
0.0,0.444,2.895,744.09,48.265,0.000241,0.15636,0.4641,0.00171
0.0,0.444,3.158,749.42,47.355,0.000237,0.14615,0.471,0.00384
0.0,0.444,3.421,753.85,47.939,0.00024,0.15286,0.4598,0.00383
0.0,0.444,3.684,761.14,43.889,0.000219,0.15493,0.4549,0.005
0.0,0.444,3.947,762.56,45.539,0.000228,0.13618,0.4947,0.00481
0.0,0.444,4.211,766.65,42.603,0.000213,0.13304,0.4966,0.00637
0.0,0.444,4.474,773.11,42.342,0.000212,0.14191,0.485,0.00688
0.0,0.444,4.737,775.85,38.232,0.000191,0.13392,0.5024,0.00746
0.0,0.444,5.0,777.83,42.129,0.000211,0.12392,0.5028,0.01051
0.444,0.444,0.0,706.52,60.309,0.000302,0.21838,0.3982,0.0
0.444,0.444,0.263,706.53,60.118,0.000301,0.20225,0.4233,0.0
0.444,0.444,0.526,712.41,60.132,0.000301,0.19937,0.404,0.00045
0.444,0.444,0.789,716.95,56.265,0.000281,0.19575,0.4017,0.00052
0.444,0.444,1.053,715.86,55.281,0.000276,0.19282,0.4225,0.00028
0.444,0.444,1.316,723.82,51.158,0.000256,0.18631,0.4205,0.0
0.444,0.444,1.579,727.5,54.029,0.00027,0.18965,0.4333,0.00059
0.444,0.444,1.842,730.52,55.367,0.000277,0.18153,0.4339,0.00153
0.444,0.444,2.105,736.86,51.462,0.000257,0.17798,0.435,0.00281
0.444,0.444,2.368,741.55,48.862,0.000244,0.16241,0.4452,0.0
0.444,0.444,2.632,746.6,51.243,0.000256,0.16303,0.4374,0.00315
0.444,0.444,2.895,749.96,45.547,0.000228,0.16564,0.4426,0.00215
0.444,0.444,3.158,753.85,46.146,0.000231,0.15115,0.4606,0.00346
0.444,0.444,3.421,761.36,44.97,0.000225,0.14721,0.4723,0.00445
0.444,0.444,3.684,761.67,47.04,0.000235,0.14989,0.4569,0.0053
0.444,0.444,3.947,763.22,44.665,0.000223,0.14385,0.4835,0.00558
0.444,0.444,4.211,769.16,41.978,0.00021,0.13774,0.4794,0.00822
0.444,0.444,4.474,777.25,41.081,0.000205,0.13562,0.4934,0.00855
0.444,0.444,4.737,778.81,41.394,0.000207,0.12166,0.4971,0.0085
0.444,0.444,5.0,781.67,40.401,0.000202,0.1257,0.5098,0.01156
0.889,0.444,0.0,707.87,60.298,0.000301,0.20575,0.3985,0.0
0.889,0.444,0.263,713.76,57.61,0.000288,0.21257,0.3889,0.0
0.889,0.444,0.526,714.48,60.047,0.0003,0.19834,0.4309,0.00019
0.889,0.444,0.789,720.36,60.035,0.0003,0.19448,0.4168,0.0
0.889,0.444,1.053,726.22,58.621,0.000293,0.19453,0.4226,0.00082
0.889,0.444,1.316,731.65,57.182,0.000286,0.19187,0.425,0.00037
0.889,0.444,1.579,732.83,58.441,0.000292,0.18066,0.4456,0.0013
0.889,0.444,1.842,735.81,51.234,0.000256,0.17041,0.4246,0.00044
0.889,0.444,2.105,740.0,50.307,0.000252,0.16739,0.4283,0.00355
0.889,0.444,2.368,739.98,47.745,0.000239,0.16718,0.4404,0.00172
0.889,0.444,2.632,745.99,49.001,0.000245,0.16303,0.4566,0.00418
0.889,0.444,2.895,753.76,45.944,0.00023,0.15317,0.4507,0.00198
0.889,0.444,3.158,762.21,50.017,0.00025,0.14283,0.4555,0.00576
0.889,0.444,3.421,760.04,46.763,0.000234,0.14105,0.4573,0.00453
0.889,0.444,3.684,764.94,44.612,0.000223,0.13935,0.4822,0.00517
0.889,0.444,3.947,770.44,42.04,0.00021,0.14041,0.4825,0.00368
0.889,0.444,4.211,776.95,40.609,0.000203,0.13624,0.4922,0.00574
0.889,0.444,4.474,776.36,41.07,0.000205,0.12594,0.4841,0.00701
0.889,0.444,4.737,781.34,44.305,0.000222,0.12955,0.494,0.00782
0.889,0.444,5.0,786.5,42.301,0.000212,0.1357,0.5075,0.01059
1.333,0.444,0.0,708.99,61.525,0.000308,0.21178,0.3919,0.0
1.333,0.444,0.263,713.32,54.606,0.000273,0.21455,0.4153,0.0
1.333,0.444,0.526,717.9,57.709,0.000289,0.19926,0.4148,0.00027
1.333,0.444,0.789,722.52,56.356,0.000282,0.19393,0.4287,0.0
1.333,0.444,1.053,726.25,54.402,0.000272,0.19043,0.4304,0.0001
1.333,0.444,1.316,729.79,54.854,0.000274,0.19321,0.4099,0.00271
1.333,0.444,1.579,731.25,51.886,0.000259,0.18719,0.4258,0.00202
1.333,0.444,1.842,735.61,51.561,0.000258,0.17846,0.4135,0.00178
1.333,0.444,2.105,740.94,49.85,0.000249,0.17227,0.4226,0.00186
1.333,0.444,2.368,748.91,49.255,0.000246,0.16142,0.4375,0.00362
1.333,0.444,2.632,753.7,42.881,0.000214,0.1547,0.466,0.00331
1.333,0.444,2.895,752.39,48.575,0.000243,0.15498,0.4577,0.00315
1.333,0.444,3.158,761.17,48.625,0.000243,0.16079,0.4676,0.0043
1.333,0.444,3.421,760.35,44.713,0.000224,0.15809,0.4634,0.00545
1.333,0.444,3.684,768.94,47.506,0.000238,0.13724,0.4704,0.00664
1.333,0.444,3.947,771.03,42.475,0.000212,0.14826,0.4856,0.00478
1.333,0.444,4.211,771.85,40.719,0.000204,0.14697,0.4824,0.00718
1.333,0.444,4.474,778.32,44.21,0.000221,0.1405,0.4873,0.00893
1.333,0.444,4.737,783.38,39.999,0.0002,0.1285,0.4999,0.00835
1.333,0.444,5.0,789.65,40.47,0.000202,0.13148,0.4892,0.00976
1.778,0.444,0.0,709.87,57.077,0.000285,0.20229,0.4018,0.0016
1.778,0.444,0.263,713.93,58.632,0.000293,0.19754,0.4075,0.00022
1.778,0.444,0.526,717.81,57.252,0.000286,0.21174,0.3928,0.0
1.778,0.444,0.789,724.57,56.085,0.00028,0.19179,0.4047,0.0
1.778,0.444,1.053,724.79,55.069,0.000275,0.18333,0.4145,0.00029
1.778,0.444,1.316,732.06,55.109,0.000276,0.18234,0.4214,6e-05
1.778,0.444,1.579,740.0,53.918,0.00027,0.18867,0.4364,0.00222
1.778,0.444,1.842,740.5,53.666,0.000268,0.1805,0.4276,0.00058
1.778,0.444,2.105,744.64,47.61,0.000238,0.16682,0.4327,0.00263
1.778,0.444,2.368,746.52,53.527,0.000268,0.1654,0.4537,0.00218
1.778,0.444,2.632,756.13,49.035,0.000245,0.16393,0.4621,0.00227
1.778,0.444,2.895,754.66,47.38,0.000237,0.16064,0.4677,0.00302
1.778,0.444,3.158,760.3,48.056,0.00024,0.15573,0.4519,0.0052
1.778,0.444,3.421,760.31,45.952,0.00023,0.14448,0.4592,0.00543
1.778,0.444,3.684,767.57,45.496,0.000227,0.1442,0.4565,0.00561
1.778,0.444,3.947,774.6,43.46,0.000217,0.13604,0.4529,0.00559
1.778,0.444,4.211,777.02,44.302,0.000222,0.14268,0.4717,0.00779
1.778,0.444,4.474,783.6,38.888,0.000194,0.13385,0.4828,0.00809
1.778,0.444,4.737,786.12,41.531,0.000208,0.13253,0.4967,0.00852
1.778,0.444,5.0,790.9,38.981,0.000195,0.12412,0.5083,0.00905
2.222,0.444,0.0,711.91,56.364,0.000282,0.21328,0.3989,0.0
2.222,0.444,0.263,710.96,61.156,0.000306,0.208,0.4195,0.0
2.222,0.444,0.526,720.02,57.141,0.000286,0.19219,0.4014,0.0
2.222,0.444,0.789,721.8,58.869,0.000294,0.19811,0.4293,0.00292
2.222,0.444,1.053,725.78,57.243,0.000286,0.18332,0.4126,0.0
2.222,0.444,1.316,728.8,53.258,0.000266,0.18079,0.4311,0.00155
2.222,0.444,1.579,736.07,56.016,0.00028,0.18401,0.4337,0.00147
2.222,0.444,1.842,739.64,52.163,0.000261,0.17151,0.4486,0.0
2.222,0.444,2.105,745.27,50.236,0.000251,0.17082,0.4568,0.00258
2.222,0.444,2.368,744.71,48.542,0.000243,0.16535,0.4372,0.00431
2.222,0.444,2.632,754.11,47.872,0.000239,0.15432,0.4295,0.00275
2.222,0.444,2.895,757.23,49.162,0.000246,0.16439,0.4558,0.00427
2.222,0.444,3.158,758.65,45.895,0.000229,0.16037,0.467,0.00383
2.222,0.444,3.421,766.64,47.172,0.000236,0.15158,0.4683,0.00509
2.222,0.444,3.684,769.62,44.238,0.000221,0.14389,0.5028,0.00355
2.222,0.444,3.947,770.49,46.112,0.000231,0.1421,0.4844,0.00623
2.222,0.444,4.211,777.59,42.388,0.000212,0.14464,0.4896,0.0071
2.222,0.444,4.474,776.4,41.73,0.000209,0.13178,0.4765,0.00756
2.222,0.444,4.737,787.02,40.777,0.000204,0.12875,0.4892,0.01043
2.222,0.444,5.0,788.53,40.367,0.000202,0.12639,0.5047,0.00995
2.667,0.444,0.0,705.35,60.074,0.0003,0.19922,0.4031,0.0
2.667,0.444,0.263,708.15,57.033,0.000285,0.20817,0.4059,0.0
2.667,0.444,0.526,717.7,61.703,0.000309,0.20034,0.4231,0.0
2.667,0.444,0.789,721.03,58.15,0.000291,0.19835,0.409,0.0001
2.667,0.444,1.053,724.84,57.641,0.000288,0.18681,0.4253,0.00015
2.667,0.444,1.316,730.21,57.091,0.000285,0.17702,0.4198,0.00113
2.667,0.444,1.579,733.95,53.259,0.000266,0.18017,0.46,0.00155
2.667,0.444,1.842,739.61,54.284,0.000271,0.16901,0.4292,0.00281
2.667,0.444,2.105,742.32,54.279,0.000271,0.17315,0.4629,0.00133
2.667,0.444,2.368,745.61,53.378,0.000267,0.16916,0.445,0.00124
2.667,0.444,2.632,749.85,51.346,0.000257,0.17227,0.4462,0.00293
2.667,0.444,2.895,755.41,47.981,0.00024,0.16441,0.4576,0.00354
2.667,0.444,3.158,760.11,50.066,0.00025,0.15467,0.4518,0.00493
2.667,0.444,3.421,762.21,43.76,0.000219,0.14805,0.4593,0.0033
2.667,0.444,3.684,766.65,43.983,0.00022,0.14987,0.4901,0.00535
2.667,0.444,3.947,772.35,39.594,0.000198,0.1432,0.4835,0.00739
2.667,0.444,4.211,776.68,42.665,0.000213,0.13566,0.4935,0.00798
2.667,0.444,4.474,778.37,41.274,0.000206,0.1241,0.4849,0.00918
2.667,0.444,4.737,781.9,40.108,0.000201,0.14243,0.5017,0.00862
2.667,0.444,5.0,788.77,39.563,0.000198,0.13289,0.5014,0.00779
3.111,0.444,0.0,707.38,57.806,0.000289,0.21339,0.3929,0.00025
3.111,0.444,0.263,711.19,60.198,0.000301,0.20502,0.4371,0.00049
3.111,0.444,0.526,712.06,57.45,0.000287,0.2089,0.3966,0.0
3.111,0.444,0.789,719.73,56.191,0.000281,0.19867,0.4167,0.0006
3.111,0.444,1.053,725.0,53.108,0.000266,0.18223,0.4267,0.00056
3.111,0.444,1.316,726.62,52.695,0.000263,0.183,0.4294,0.0
3.111,0.444,1.579,730.38,51.809,0.000259,0.18328,0.4272,0.00203
3.111,0.444,1.842,738.26,53.579,0.000268,0.18087,0.4304,0.0
3.111,0.444,2.105,742.25,57.102,0.000286,0.16883,0.4456,0.00248
