case_id,current_density_A_cm2,pH2O_pH2_ratio,pO2_cathode_atm,inlet_temperature_C,fuel_utilisation,thermal_BC,mechanical_load_MPa,ramp_rate_K_min
67,0.9,0.259,1.0,749.7,0.349,adiabatic,0.83,10
68,0.504,0.182,1.0,756.0,0.507,isothermal,1.95,5
69,0.38,0.326,0.21,695.5,0.444,isothermal,0.83,10
70,0.839,0.689,0.21,667.4,0.599,adiabatic,1.43,10
71,0.771,0.898,1.0,639.0,0.678,isothermal,0.99,1
72,0.8,0.313,0.21,704.0,0.533,isothermal,0.68,1
73,0.234,0.75,1.0,725.9,0.575,adiabatic,1.74,10
74,0.65,0.765,0.21,609.1,0.894,adiabatic,1.38,10
75,0.183,0.641,1.0,831.0,0.563,isothermal,1.29,5
76,0.456,0.511,1.0,600.4,0.549,isothermal,0.95,5
77,0.839,0.843,1.0,612.0,0.641,isothermal,1.67,5
78,0.795,0.625,0.21,767.2,0.318,isothermal,1.78,5
79,0.555,0.516,1.0,797.0,0.595,adiabatic,1.75,10
80,0.77,0.588,0.21,714.4,0.325,isothermal,0.61,10
81,0.067,0.718,1.0,680.6,0.466,adiabatic,0.8,10
82,0.83,0.205,1.0,778.7,0.768,isothermal,0.69,10
83,0.794,0.766,0.21,817.6,0.424,adiabatic,0.96,5
84,0.742,0.779,1.0,678.6,0.595,isothermal,0.67,10
85,0.144,0.382,1.0,753.7,0.716,isothermal,0.77,10
86,0.213,0.152,0.21,824.6,0.887,adiabatic,1.56,10
87,0.219,0.723,0.21,765.9,0.685,isothermal,1.5,1
88,0.684,0.8,0.21,620.4,0.83,adiabatic,0.92,10
89,0.28,0.563,1.0,640.0,0.423,adiabatic,1.74,10
90,0.132,0.698,0.21,800.9,0.346,adiabatic,1.5,1
91,0.563,0.711,0.21,719.3,0.595,isothermal,1.15,10
92,0.357,0.332,0.21,658.0,0.642,adiabatic,0.53,1
93,0.481,0.191,0.21,620.9,0.493,isothermal,1.48,5
94,0.731,0.803,0.21,619.3,0.731,isothermal,1.67,10
95,0.232,0.3,1.0,728.6,0.63,adiabatic,0.84,1
96,0.906,0.447,0.21,783.9,0.653,adiabatic,0.68,5
97,0.719,0.8,1.0,703.9,0.838,isothermal,0.97,10
98,0.818,0.356,0.21,699.7,0.4,isothermal,1.55,5
99,0.413,0.433,1.0,600.7,0.496,adiabatic,1.94,1
100,0.586,0.123,0.21,691.3,0.756,isothermal,1.09,1
101,0.785,0.161,0.21,646.8,0.598,isothermal,1.75,5
102,0.047,0.628,0.21,699.4,0.832,adiabatic,1.64,1
103,0.366,0.856,0.21,611.0,0.395,isothermal,1.83,1
104,0.115,0.197,1.0,739.1,0.574,adiabatic,1.5,5
105,0.801,0.828,0.21,744.7,0.761,adiabatic,1.92,1
106,0.972,0.191,1.0,810.9,0.676,adiabatic,1.88,5
107,0.903,0.806,0.21,641.6,0.388,isothermal,0.55,10
108,0.919,0.811,1.0,752.0,0.719,adiabatic,1.27,5
109,0.375,0.125,1.0,811.2,0.627,adiabatic,0.99,1
110,0.521,0.377,1.0,829.1,0.884,adiabatic,1.77,1
111,0.389,0.272,1.0,643.9,0.681,isothermal,1.11,10
112,0.366,0.887,0.21,757.1,0.492,adiabatic,1.87,5
113,0.015,0.336,1.0,638.1,0.625,isothermal,1.86,5
114,0.591,0.539,1.0,648.6,0.38,adiabatic,1.05,1
115,0.813,0.439,1.0,779.1,0.749,isothermal,1.36,5
116,0.397,0.521,1.0,809.8,0.815,adiabatic,0.54,1
117,0.851,0.64,1.0,690.7,0.652,adiabatic,1.04,1
118,0.447,0.387,0.21,799.1,0.64,adiabatic,1.49,1
119,0.639,0.817,1.0,771.0,0.366,isothermal,0.82,1
120,0.012,0.285,0.21,690.0,0.408,isothermal,0.74,1
121,0.621,0.791,1.0,669.9,0.876,isothermal,1.93,10
122,0.294,0.551,1.0,782.1,0.538,isothermal,1.38,5
123,0.802,0.841,0.21,810.4,0.765,isothermal,1.35,5
124,0.001,0.771,1.0,622.6,0.835,adiabatic,1.73,1
125,0.109,0.704,1.0,717.7,0.355,isothermal,1.34,5
126,0.818,0.37,0.21,668.5,0.834,adiabatic,1.47,5
127,0.446,0.275,1.0,628.4,0.403,adiabatic,0.96,1
128,0.268,0.824,1.0,645.5,0.763,adiabatic,1.07,1
129,0.019,0.219,0.21,803.1,0.461,isothermal,0.91,1
130,0.359,0.123,1.0,770.5,0.809,isothermal,1.4,5
131,0.794,0.77,0.21,841.9,0.575,isothermal,1.39,10
132,0.53,0.755,0.21,682.9,0.579,adiabatic,0.75,1
133,0.118,0.834,0.21,828.1,0.649,isothermal,1.65,1
134,0.372,0.695,0.21,621.9,0.811,adiabatic,0.79,5
135,0.345,0.771,0.21,818.3,0.479,isothermal,1.53,10
136,0.106,0.203,1.0,612.5,0.887,isothermal,0.59,1
137,0.369,0.587,1.0,644.4,0.801,isothermal,1.88,5
138,0.139,0.832,0.21,800.9,0.532,adiabatic,0.59,5
139,0.712,0.824,0.21,833.8,0.316,isothermal,0.6,10
140,0.227,0.819,0.21,747.8,0.405,adiabatic,0.63,1
141,0.288,0.669,1.0,815.1,0.634,isothermal,1.18,5
142,0.152,0.392,1.0,630.7,0.798,isothermal,1.33,1
143,0.795,0.255,1.0,816.0,0.866,isothermal,0.73,5
144,0.93,0.163,1.0,671.1,0.528,isothermal,1.63,10
145,0.193,0.177,0.21,834.9,0.325,adiabatic,0.69,5
146,0.527,0.226,0.21,706.7,0.723,adiabatic,1.91,10
147,0.91,0.55,1.0,795.1,0.487,isothermal,1.15,5
148,0.943,0.124,0.21,774.3,0.656,adiabatic,1.31,10
149,0.139,0.241,1.0,604.2,0.541,isothermal,1.65,1
150,0.599,0.386,0.21,653.9,0.679,adiabatic,1.75,1
151,0.505,0.615,0.21,741.9,0.449,adiabatic,1.7,5
152,0.409,0.782,0.21,655.9,0.394,adiabatic,1.0,5
153,0.815,0.426,1.0,797.5,0.402,isothermal,1.62,5
154,0.026,0.381,0.21,805.1,0.851,isothermal,0.63,5
155,0.842,0.515,0.21,605.3,0.82,isothermal,1.44,1
156,0.235,0.577,0.21,750.8,0.811,adiabatic,1.03,10
157,0.144,0.387,0.21,848.0,0.668,adiabatic,0.53,1
158,0.63,0.617,1.0,733.0,0.545,adiabatic,1.69,10
159,0.941,0.42,1.0,811.6,0.435,isothermal,1.82,5
160,0.519,0.256,1.0,627.7,0.691,adiabatic,0.69,1
161,0.964,0.778,1.0,782.3,0.492,adiabatic,0.75,1
162,0.614,0.266,0.21,651.6,0.658,adiabatic,0.69,1
163,0.596,0.732,1.0,670.6,0.515,isothermal,2.0,10
164,0.186,0.569,1.0,723.9,0.308,isothermal,0.58,1
165,0.148,0.704,0.21,834.9,0.672,adiabatic,1.54,5
166,0.63,0.107,0.21,770.3,0.893,isothermal,0.56,5
167,0.062,0.273,1.0,830.8,0.584,adiabatic,1.47,1
168,0.973,0.453,1.0,784.6,0.391,adiabatic,1.95,5
169,0.278,0.794,1.0,788.3,0.748,adiabatic,0.76,5
170,0.463,0.181,1.0,814.2,0.603,isothermal,1.53,10
171,0.182,0.553,0.21,681.9,0.727,adiabatic,1.55,10
172,0.45,0.773,1.0,797.7,0.829,adiabatic,0.99,10
173,0.231,0.113,0.21,810.8,0.467,adiabatic,1.83,5
174,0.838,0.13,1.0,785.2,0.455,isothermal,1.55,1
175,0.063,0.417,1.0,770.5,0.581,isothermal,0.82,1
176,0.416,0.173,0.21,647.1,0.352,isothermal,0.71,10
177,0.768,0.168,0.21,839.5,0.361,adiabatic,1.76,5
178,0.884,0.271,1.0,671.1,0.605,adiabatic,0.55,10
179,0.967,0.482,0.21,704.0,0.537,isothermal,1.8,1
180,0.057,0.367,0.21,617.4,0.54,isothermal,0.64,1
181,0.131,0.878,1.0,605.4,0.686,adiabatic,1.81,5
182,0.248,0.458,0.21,642.3,0.858,adiabatic,0.88,10
183,0.955,0.561,0.21,755.4,0.862,adiabatic,1.71,10
184,0.969,0.401,0.21,673.6,0.542,adiabatic,2.0,5
185,0.575,0.183,1.0,819.8,0.689,adiabatic,0.92,1
186,0.734,0.436,0.21,605.0,0.539,adiabatic,1.77,5
187,0.469,0.461,0.21,649.0,0.747,isothermal,1.68,1
188,0.904,0.861,0.21,620.4,0.603,adiabatic,1.68,1
189,0.109,0.815,0.21,625.6,0.375,adiabatic,0.99,1
190,0.802,0.104,0.21,659.5,0.628,adiabatic,1.74,10
191,0.478,0.321,0.21,816.2,0.896,isothermal,1.92,1
192,0.455,0.561,0.21,813.9,0.463,isothermal,0.52,1
193,0.569,0.665,1.0,681.8,0.761,adiabatic,1.71,5
194,0.475,0.458,0.21,618.9,0.472,adiabatic,0.63,5
195,0.854,0.67,0.21,770.7,0.736,isothermal,0.81,10
196,0.24,0.675,1.0,774.1,0.585,isothermal,1.07,10
197,0.127,0.669,0.21,831.1,0.729,adiabatic,1.98,10
198,0.64,0.302,1.0,829.8,0.8,isothermal,1.59,10
199,0.751,0.107,1.0,664.7,0.311,adiabatic,1.99,1
200,0.495,0.255,1.0,821.2,0.685,adiabatic,1.09,5
201,0.651,0.381,1.0,732.8,0.34,isothermal,1.59,10
202,0.481,0.458,0.21,828.7,0.869,isothermal,1.5,5
203,0.833,0.172,1.0,768.9,0.61,isothermal,0.51,10
204,0.711,0.656,0.21,716.1,0.475,adiabatic,0.64,5
205,0.96,0.215,0.21,744.5,0.705,adiabatic,0.52,5
206,0.606,0.33,0.21,658.8,0.709,isothermal,1.2,5
207,0.675,0.358,0.21,742.3,0.575,isothermal,1.37,1
208,0.532,0.57,1.0,667.7,0.84,adiabatic,0.56,1
209,0.544,0.687,0.21,710.4,0.878,isothermal,0.87,1
210,0.078,0.347,1.0,674.3,0.575,isothermal,1.68,10
211,0.446,0.77,1.0,710.8,0.728,adiabatic,0.68,10
212,0.237,0.384,1.0,814.9,0.304,adiabatic,1.53,1
213,0.968,0.745,1.0,741.8,0.484,adiabatic,1.18,1
214,0.897,0.228,1.0,612.3,0.801,adiabatic,0.62,1
215,0.41,0.387,0.21,774.4,0.374,isothermal,1.6,5
216,0.108,0.566,1.0,765.4,0.321,adiabatic,1.77,1
217,0.385,0.503,0.21,622.4,0.711,isothermal,1.3,1
218,0.994,0.389,0.21,678.0,0.525,isothermal,1.32,5
219,0.068,0.27,0.21,663.4,0.833,isothermal,0.58,1
220,0.901,0.503,0.21,715.1,0.879,adiabatic,1.93,1
221,0.106,0.174,1.0,695.5,0.507,isothermal,1.82,1
222,0.557,0.417,1.0,807.0,0.883,isothermal,1.99,10
223,0.868,0.157,1.0,697.7,0.717,adiabatic,1.61,10
224,0.618,0.446,1.0,629.6,0.567,adiabatic,1.43,5
225,0.174,0.87,1.0,671.0,0.628,adiabatic,1.81,5
226,0.996,0.488,0.21,635.0,0.841,adiabatic,1.91,10
227,0.861,0.57,1.0,681.3,0.359,adiabatic,1.88,1
228,0.151,0.502,1.0,812.8,0.511,isothermal,0.55,1
229,0.517,0.274,0.21,733.2,0.53,adiabatic,1.66,5
230,0.649,0.187,0.21,689.6,0.545,isothermal,1.06,1
231,0.59,0.367,0.21,824.1,0.665,isothermal,1.72,5
232,0.354,0.512,0.21,714.7,0.416,isothermal,0.59,10
233,0.818,0.658,1.0,783.0,0.649,isothermal,1.28,1
234,0.279,0.618,0.21,650.6,0.863,isothermal,1.97,10
235,0.304,0.522,1.0,692.1,0.587,isothermal,1.4,10
236,0.547,0.384,1.0,726.8,0.55,isothermal,0.58,1
237,0.063,0.308,1.0,728.1,0.371,isothermal,1.94,10
238,0.078,0.695,1.0,800.4,0.741,adiabatic,0.92,10
239,0.967,0.813,1.0,744.9,0.717,isothermal,1.89,1
240,0.434,0.605,1.0,824.4,0.69,adiabatic,0.84,10
241,0.564,0.18,1.0,829.3,0.875,adiabatic,1.24,10
242,0.99,0.736,0.21,708.4,0.535,isothermal,0.69,1
243,0.975,0.572,0.21,770.8,0.64,adiabatic,1.82,10
244,0.771,0.623,0.21,796.1,0.843,isothermal,1.5,5
245,0.586,0.653,1.0,691.1,0.738,adiabatic,0.66,5
246,0.249,0.47,0.21,670.8,0.686,isothermal,1.77,5
247,0.182,0.508,1.0,819.7,0.695,isothermal,1.99,1
248,0.119,0.35,0.21,748.4,0.464,isothermal,1.93,10
249,0.374,0.601,0.21,647.2,0.359,adiabatic,0.56,1
250,0.264,0.496,1.0,744.6,0.324,adiabatic,1.69,5
251,0.844,0.374,0.21,655.5,0.698,adiabatic,1.89,5
252,0.92,0.284,1.0,715.9,0.591,adiabatic,1.99,1
253,0.605,0.602,1.0,769.9,0.832,adiabatic,1.91,1
254,0.653,0.459,0.21,807.6,0.316,isothermal,1.81,5
255,0.535,0.263,1.0,700.8,0.68,adiabatic,1.86,1
256,0.111,0.723,1.0,624.8,0.405,isothermal,0.82,1
257,0.857,0.532,0.21,793.8,0.568,isothermal,1.93,5
258,0.039,0.606,1.0,766.2,0.808,adiabatic,1.65,5
259,0.675,0.55,0.21,755.4,0.537,adiabatic,0.96,1
260,0.167,0.601,0.21,677.1,0.607,isothermal,1.18,1
261,0.78,0.171,0.21,611.1,0.764,isothermal,0.98,5
262,0.651,0.329,1.0,749.0,0.311,adiabatic,1.54,10
263,0.246,0.719,0.21,794.3,0.304,adiabatic,0.69,1
264,0.777,0.739,1.0,675.9,0.763,isothermal,0.96,1
265,0.784,0.141,0.21,771.0,0.542,adiabatic,1.59,1
266,0.499,0.686,1.0,632.2,0.808,adiabatic,1.68,10
267,0.549,0.282,1.0,782.5,0.787,adiabatic,1.25,1
268,0.106,0.768,0.21,813.5,0.752,isothermal,1.42,10
269,0.427,0.41,1.0,697.3,0.882,isothermal,1.62,1
270,0.66,0.339,1.0,633.9,0.613,isothermal,1.21,10
271,0.069,0.333,0.21,721.4,0.396,adiabatic,1.43,10
272,0.359,0.647,1.0,746.1,0.523,isothermal,0.69,1
273,0.451,0.645,1.0,628.9,0.831,adiabatic,1.93,1
274,0.711,0.581,1.0,648.7,0.697,isothermal,0.82,5
275,0.369,0.861,0.21,616.1,0.66,isothermal,1.18,5
276,0.926,0.346,1.0,811.6,0.334,adiabatic,1.86,10
277,0.803,0.591,1.0,695.0,0.722,adiabatic,1.07,10
278,0.502,0.453,1.0,739.3,0.704,adiabatic,0.82,10
279,0.712,0.554,1.0,772.9,0.772,isothermal,1.77,5
280,0.311,0.217,1.0,663.3,0.755,isothermal,0.67,1
281,0.493,0.832,0.21,791.4,0.551,isothermal,1.73,5
282,0.572,0.798,0.21,641.2,0.371,isothermal,0.7,1
283,0.283,0.865,1.0,847.2,0.452,isothermal,0.54,10
284,0.846,0.69,1.0,717.1,0.47,adiabatic,0.81,1
285,0.552,0.662,1.0,723.6,0.873,isothermal,0.99,1
286,0.462,0.142,1.0,739.0,0.506,adiabatic,1.11,5
287,0.315,0.453,1.0,672.7,0.374,isothermal,1.7,5
288,0.888,0.129,1.0,713.8,0.878,adiabatic,1.81,1
289,0.309,0.842,0.21,610.1,0.745,isothermal,1.03,5
290,0.124,0.572,0.21,808.7,0.511,isothermal,0.75,10
291,0.087,0.149,0.21,835.4,0.304,isothermal,1.09,1
292,0.861,0.579,1.0,693.5,0.302,isothermal,1.66,10
293,0.319,0.617,0.21,811.1,0.575,adiabatic,1.94,1
294,0.647,0.885,1.0,761.5,0.818,isothermal,0.95,1
295,0.994,0.625,0.21,675.3,0.691,adiabatic,0.55,10
296,0.263,0.746,1.0,655.1,0.326,isothermal,1.82,10
297,0.633,0.72,0.21,742.1,0.395,adiabatic,1.0,10
298,0.546,0.677,1.0,666.2,0.736,adiabatic,1.46,1
299,0.067,0.187,1.0,771.0,0.566,isothermal,0.71,5
300,0.346,0.367,0.21,665.3,0.728,adiabatic,1.18,1
301,0.127,0.703,0.21,814.1,0.841,adiabatic,1.14,10
302,0.242,0.815,0.21,817.6,0.74,isothermal,1.41,5
303,0.859,0.231,1.0,722.9,0.694,isothermal,1.43,10
304,0.331,0.1,1.0,745.8,0.807,isothermal,1.19,10
305,0.028,0.781,0.21,689.9,0.565,isothermal,1.96,1
306,0.887,0.289,1.0,819.2,0.688,adiabatic,1.95,1
307,0.923,0.521,0.21,822.1,0.789,adiabatic,0.81,10
308,0.543,0.893,1.0,755.5,0.818,adiabatic,1.17,5
309,0.353,0.697,1.0,630.1,0.524,isothermal,1.18,10
310,0.813,0.23,0.21,728.9,0.502,isothermal,1.12,10
311,0.099,0.841,1.0,772.2,0.429,adiabatic,0.55,5
312,0.613,0.273,0.21,833.4,0.82,adiabatic,1.4,5
313,0.148,0.761,0.21,833.5,0.647,isothermal,0.92,10
314,0.86,0.109,1.0,795.0,0.643,isothermal,0.52,5
315,0.767,0.288,1.0,603.2,0.445,isothermal,1.52,5
316,0.9,0.189,1.0,702.3,0.512,adiabatic,1.8,1
317,0.967,0.546,1.0,833.3,0.347,adiabatic,0.55,10
318,0.797,0.583,1.0,694.1,0.49,isothermal,1.74,1
319,0.267,0.665,1.0,751.3,0.884,isothermal,1.42,5
320,0.618,0.335,0.21,808.0,0.666,isothermal,1.0,1
321,0.937,0.859,0.21,650.5,0.707,isothermal,1.38,10
322,0.19,0.111,0.21,649.2,0.668,adiabatic,1.27,1
323,0.191,0.355,1.0,831.3,0.693,isothermal,1.47,1
324,0.747,0.147,0.21,809.3,0.846,adiabatic,1.28,10
325,0.628,0.394,1.0,709.0,0.856,isothermal,1.15,1
326,0.452,0.857,0.21,829.3,0.325,isothermal,0.54,5
327,0.091,0.341,0.21,740.7,0.461,adiabatic,1.03,10
328,0.762,0.344,0.21,654.7,0.404,isothermal,0.98,1
329,0.338,0.334,0.21,688.3,0.845,isothermal,0.8,1
330,0.91,0.761,1.0,803.6,0.777,adiabatic,0.93,5
331,0.595,0.571,1.0,736.9,0.857,adiabatic,1.95,10
332,0.755,0.434,0.21,606.5,0.323,adiabatic,0.83,1
333,0.181,0.394,1.0,727.6,0.663,adiabatic,0.65,10
334,0.676,0.647,1.0,603.4,0.329,isothermal,1.8,5
335,0.968,0.886,1.0,641.3,0.403,adiabatic,1.27,10
336,0.224,0.46,1.0,763.3,0.792,adiabatic,1.88,5
337,0.741,0.28,0.21,755.7,0.676,adiabatic,0.56,5
338,0.407,0.418,1.0,735.4,0.62,adiabatic,1.32,1
339,0.1,0.244,1.0,755.0,0.316,isothermal,0.96,5
340,0.895,0.629,0.21,703.2,0.47,adiabatic,1.04,10
341,0.435,0.118,1.0,601.6,0.514,adiabatic,1.61,1
342,0.347,0.452,0.21,764.7,0.556,isothermal,1.61,1
343,0.792,0.123,0.21,780.4,0.375,adiabatic,1.21,5
344,0.013,0.128,0.21,740.3,0.447,adiabatic,0.55,1
345,0.59,0.403,0.21,751.8,0.703,isothermal,1.9,1
346,0.053,0.704,0.21,646.5,0.677,adiabatic,0.51,10
347,0.942,0.634,0.21,663.2,0.512,adiabatic,1.29,1
348,0.899,0.82,1.0,735.1,0.512,adiabatic,0.8,10
349,0.648,0.443,0.21,672.1,0.792,isothermal,1.24,1
350,0.527,0.23,1.0,656.2,0.468,isothermal,0.62,1
351,0.779,0.161,0.21,795.2,0.339,adiabatic,0.53,5
352,0.705,0.297,1.0,754.0,0.492,adiabatic,1.77,1
353,0.428,0.502,0.21,625.6,0.392,isothermal,0.83,10
354,0.161,0.323,1.0,809.7,0.468,adiabatic,0.88,10
355,0.842,0.707,0.21,733.3,0.49,adiabatic,0.53,1
356,0.691,0.628,0.21,787.8,0.42,isothermal,1.72,1
357,0.314,0.443,1.0,737.0,0.478,isothermal,1.34,5
358,0.434,0.671,1.0,718.6,0.678,adiabatic,1.71,10
359,0.729,0.469,0.21,777.8,0.641,adiabatic,1.16,1
360,0.635,0.135,0.21,718.4,0.338,isothermal,1.46,5
361,0.919,0.69,0.21,760.4,0.476,isothermal,1.29,1
362,0.03,0.629,0.21,741.9,0.572,isothermal,1.66,10
363,0.628,0.517,1.0,779.1,0.316,adiabatic,1.01,5
364,0.384,0.217,0.21,795.9,0.879,isothermal,0.67,5
365,0.289,0.512,1.0,776.8,0.442,adiabatic,0.85,5
366,0.9,0.308,0.21,830.5,0.686,adiabatic,1.34,5
367,0.429,0.877,1.0,834.9,0.369,isothermal,0.92,5
368,0.424,0.472,0.21,627.1,0.529,adiabatic,0.75,1
369,0.278,0.728,1.0,752.6,0.313,isothermal,1.83,10
370,0.745,0.557,0.21,745.6,0.381,isothermal,0.98,10
371,0.441,0.757,0.21,611.7,0.376,adiabatic,0.55,5
372,0.394,0.471,0.21,696.1,0.676,adiabatic,1.36,5
373,0.692,0.562,1.0,666.3,0.314,adiabatic,1.62,10
374,0.619,0.486,1.0,705.0,0.497,adiabatic,0.76,1
375,0.994,0.855,0.21,792.9,0.411,adiabatic,1.25,5
376,0.311,0.203,1.0,672.4,0.702,isothermal,0.66,1
377,0.934,0.379,1.0,831.1,0.324,isothermal,0.79,5
378,0.504,0.541,0.21,820.0,0.674,isothermal,0.89,5
379,0.028,0.172,0.21,758.2,0.653,adiabatic,1.69,10
380,0.717,0.772,0.21,846.6,0.367,adiabatic,0.77,1
381,0.385,0.797,0.21,603.6,0.719,adiabatic,0.64,5
382,0.879,0.266,1.0,687.7,0.427,isothermal,1.06,5
383,0.411,0.852,0.21,662.1,0.356,adiabatic,1.97,5
384,0.119,0.591,1.0,635.6,0.34,isothermal,1.31,10
385,0.676,0.574,0.21,791.9,0.882,isothermal,1.29,1
386,0.343,0.379,0.21,727.6,0.469,adiabatic,1.69,1
387,0.62,0.556,1.0,830.8,0.811,adiabatic,1.21,10
388,0.292,0.306,1.0,699.0,0.615,adiabatic,1.58,5
389,0.337,0.128,0.21,839.8,0.814,adiabatic,0.6,1
390,0.523,0.688,1.0,759.6,0.78,isothermal,0.92,5
391,0.514,0.866,1.0,691.9,0.457,adiabatic,1.14,5
392,0.995,0.172,0.21,762.4,0.591,isothermal,1.0,1
393,0.539,0.577,0.21,822.1,0.435,isothermal,0.55,1
394,0.604,0.305,1.0,614.0,0.517,adiabatic,1.24,5
395,0.856,0.4,1.0,709.0,0.882,isothermal,0.9,10
396,0.008,0.326,0.21,613.2,0.536,isothermal,1.17,5
397,0.942,0.154,0.21,756.1,0.374,isothermal,1.8,10
398,0.335,0.889,0.21,603.2,0.617,adiabatic,0.68,10
399,0.826,0.559,0.21,728.4,0.728,adiabatic,1.25,1
400,0.593,0.55,0.21,649.1,0.499,adiabatic,1.06,1
401,0.853,0.562,0.21,649.2,0.577,isothermal,0.96,10
402,0.383,0.167,0.21,785.4,0.789,isothermal,1.09,10
403,0.854,0.417,0.21,642.6,0.485,isothermal,0.68,5
404,0.932,0.84,0.21,614.4,0.821,adiabatic,1.35,5
405,0.298,0.541,0.21,696.8,0.762,adiabatic,1.16,1
406,0.621,0.419,1.0,712.1,0.755,adiabatic,1.84,1
407,0.209,0.27,0.21,687.6,0.826,isothermal,0.58,1
408,0.66,0.298,0.21,729.3,0.669,adiabatic,1.55,1
409,0.929,0.744,0.21,691.2,0.564,isothermal,0.56,1
410,0.648,0.612,0.21,673.8,0.818,isothermal,1.2,1
411,0.735,0.363,0.21,726.4,0.656,isothermal,1.03,10
412,0.877,0.818,1.0,607.8,0.485,adiabatic,0.83,10
