case_id,max_temperature_C,max_stress_MPa,max_strain,ASR_Ohm_cm2,efficiency,degradation_index
100,741.8,82.06,0.003247,0.4628,0.5174,0.000314
101,707.3,89.47,0.002593,0.6915,0.4985,0.000332
102,726.6,69.01,0.002877,0.432,0.6017,0.0
103,640.3,75.48,0.001183,0.983,0.5711,4.1e-05
104,767.4,66.0,0.003679,0.3128,0.5694,1.9e-05
105,825.6,91.5,0.00497,0.2996,0.4665,0.000529
106,911.5,99.69,0.006729,0.1854,0.4744,0.000641
107,715.7,83.86,0.002734,0.7265,0.4464,0.000313
108,846.2,94.52,0.005396,0.2833,0.4416,0.000608
109,857.6,74.13,0.005523,0.185,0.5451,4.6e-05
110,892.1,83.27,0.006259,0.1641,0.5372,0.000215
111,677.8,81.86,0.001965,0.711,0.5462,0.00014
112,811.5,80.24,0.00463,0.2725,0.4928,3.3e-05
113,638.7,64.86,0.001098,0.7514,0.5951,0.0
114,714.1,74.39,0.002655,0.6799,0.4966,0.000104
115,840.9,90.11,0.005268,0.2317,0.502,0.000456
116,861.7,62.64,0.005548,0.1868,0.5097,0.000112
117,781.1,86.42,0.004055,0.4653,0.4839,0.000456
118,860.6,77.26,0.005598,0.201,0.5334,0.000114
119,823.5,83.08,0.004886,0.2458,0.5094,0.000156
120,694.9,54.24,0.002168,0.4681,0.6142,0.0
121,719.9,90.92,0.002853,0.5586,0.5028,0.000309
122,807.7,71.53,0.004512,0.2267,0.5579,6.7e-05
123,872.9,86.2,0.005888,0.186,0.5146,0.000554
124,643.4,71.92,0.001228,0.8746,0.6199,0.0
125,723.4,65.1,0.002794,0.371,0.6022,0.0
126,757.2,86.53,0.003576,0.5657,0.4953,0.000561
127,690.4,71.58,0.002167,0.8254,0.5711,0.000124
128,687.4,65.68,0.002076,0.7001,0.5714,1e-05
129,803.3,55.08,0.004341,0.1956,0.5997,0.0
130,810.9,72.41,0.004579,0.2466,0.5589,0.000109
131,908.9,82.93,0.006593,0.151,0.4698,0.000312
132,749.8,70.79,0.00335,0.4979,0.5375,0.000234
133,838.7,67.33,0.005111,0.1652,0.6029,0.0
134,668.7,69.83,0.001722,0.8803,0.5376,4.7e-05
135,845.3,71.75,0.005265,0.1763,0.5457,5e-06
136,621.3,60.9,0.00073,0.9679,0.5912,1e-05
137,673.8,73.36,0.001842,0.7074,0.5321,8.5e-05
138,828.7,57.27,0.004859,0.1986,0.5586,8e-06
139,890.7,76.68,0.006197,0.1591,0.4885,0.000299
140,782.4,61.88,0.003958,0.2925,0.5676,0.0
141,834.2,70.63,0.005036,0.1801,0.5701,8.3e-05
142,640.5,63.77,0.001129,0.8069,0.5885,7.7e-05
143,878.7,86.82,0.006008,0.1791,0.48,0.000599
144,744.8,99.01,0.003391,0.5527,0.4721,0.000398
145,870.0,54.85,0.005673,0.1579,0.5606,1e-05
146,774.3,86.69,0.00392,0.4062,0.4908,0.000121
147,867.5,87.76,0.005788,0.2068,0.4595,0.000435
148,864.2,91.07,0.005739,0.2399,0.4635,0.000553
149,614.2,70.33,0.000635,1.0548,0.5677,1.9e-05
150,720.9,83.03,0.002834,0.6471,0.4809,0.000305
151,795.4,81.75,0.004316,0.3061,0.507,0.000119
152,708.4,76.89,0.002553,0.6352,0.5146,6.9e-05
153,860.8,96.07,0.005697,0.2033,0.4505,0.000249
154,806.7,56.71,0.004417,0.1929,0.5973,5.6e-05
155,673.1,84.79,0.001886,1.0427,0.4976,0.000546
156,788.9,66.61,0.004111,0.2859,0.5657,5.9e-05
157,878.9,58.63,0.005871,0.1452,0.602,3.6e-05
158,801.6,90.08,0.004483,0.3281,0.4533,0.000248
159,888.4,92.79,0.006231,0.1844,0.4628,0.000394
160,687.7,66.79,0.002088,0.8314,0.5335,0.000129
161,881.0,84.24,0.006042,0.2264,0.4402,0.00045
162,717.1,77.29,0.002729,0.6609,0.4902,0.000158
163,716.7,85.02,0.002759,0.5553,0.5036,0.000164
164,739.9,60.62,0.003102,0.3529,0.59,3.7e-05
165,863.1,72.06,0.005622,0.158,0.5543,5.8e-05
166,818.7,69.83,0.004724,0.247,0.4891,0.000317
167,857.1,66.23,0.005474,0.1623,0.5645,9.9e-05
168,879.9,99.41,0.006095,0.2227,0.4661,0.000288
169,833.8,67.81,0.005016,0.217,0.5443,7.5e-05
170,851.0,77.94,0.00541,0.1813,0.5286,0.000152
171,715.3,75.56,0.002684,0.5022,0.5822,4.7e-05
172,855.2,71.88,0.005464,0.203,0.5225,0.000182
173,849.2,77.55,0.005372,0.1855,0.536,2.4e-05
174,852.1,93.92,0.005511,0.2218,0.4844,0.000399
175,774.8,52.4,0.003757,0.2466,0.6021,0.0
176,679.7,74.18,0.001964,0.6895,0.5697,3.9e-05
177,917.5,87.34,0.006788,0.1533,0.4911,0.000213
178,763.5,80.68,0.003673,0.5529,0.4688,0.000461
179,779.3,100.27,0.004087,0.4157,0.4605,0.000451
180,624.7,56.75,0.000778,0.9209,0.5878,2.7e-05
181,632.9,71.7,0.001016,1.0415,0.5797,1.9e-05
182,685.3,68.97,0.002052,0.7219,0.5509,0.000132
183,849.2,96.21,0.005465,0.2761,0.462,0.000822
184,773.1,95.97,0.003942,0.5403,0.4604,0.000558
185,884.4,80.0,0.006087,0.1745,0.5104,0.000276
186,684.0,90.68,0.002134,1.0456,0.4711,0.000235
187,684.5,76.13,0.00207,0.6775,0.5,0.000143
188,710.1,93.53,0.00267,0.8941,0.4537,0.000473
189,653.0,64.13,0.00138,0.8489,0.5709,5.7e-05
190,745.4,90.22,0.003359,0.6141,0.4717,0.00041
191,856.1,78.57,0.005515,0.1788,0.5191,0.000203
192,851.7,64.62,0.005356,0.1816,0.5661,9.1e-05
193,747.7,82.09,0.003365,0.5026,0.5069,0.000298
194,682.8,71.54,0.002014,0.9074,0.5021,5.5e-05
195,836.3,87.13,0.005162,0.2463,0.4723,0.000537
196,792.7,63.65,0.004172,0.2402,0.5563,0.000107
197,853.6,71.79,0.005431,0.162,0.6182,3.6e-05
198,882.0,78.72,0.006033,0.1634,0.5099,0.000308
199,741.9,92.22,0.003299,0.5858,0.5053,0.000188
200,880.4,80.17,0.006009,0.1729,0.5263,9.4e-05
201,782.5,88.39,0.004091,0.3287,0.5062,0.00011
202,866.5,78.59,0.005722,0.1645,0.5171,0.000184
203,835.7,78.97,0.005108,0.2497,0.4741,0.000367
204,790.6,76.57,0.004195,0.376,0.4753,0.000273
205,842.0,83.02,0.005256,0.2999,0.4472,0.00059
206,705.7,80.21,0.002515,0.6183,0.5155,0.000318
207,794.0,82.72,0.004295,0.3053,0.5065,0.000287
208,731.9,71.47,0.002996,0.5699,0.5246,0.000204
209,754.4,71.57,0.003445,0.3939,0.5062,0.000233
210,675.1,70.38,0.001855,0.5371,0.6326,2e-06
211,765.3,71.99,0.003666,0.3926,0.5312,0.000189
212,850.6,79.76,0.005411,0.1804,0.5693,1.3e-05
213,842.9,92.24,0.005319,0.3064,0.4801,0.000502
214,701.6,82.58,0.002445,0.9705,0.4468,0.000643
215,805.1,83.06,0.004516,0.2397,0.535,9.4e-05
216,793.9,75.1,0.004254,0.2562,0.6205,7.5e-05
217,654.4,72.32,0.001449,0.8765,0.5514,0.000115
218,755.3,98.14,0.003596,0.5198,0.4668,0.000465
219,669.1,58.84,0.001675,0.5928,0.5823,0.0
220,807.7,92.07,0.004615,0.3791,0.4566,0.000809
221,698.9,69.15,0.002324,0.4465,0.5625,0.0
222,852.7,84.72,0.005477,0.1904,0.5564,0.000182
223,785.4,96.56,0.004191,0.4383,0.4608,0.000492
224,695.4,83.39,0.002324,0.8163,0.4803,0.000204
225,710.0,73.61,0.002568,0.5533,0.5974,4.2e-05
226,731.8,98.73,0.00313,0.7745,0.4373,0.00089
227,772.2,100.55,0.003947,0.5047,0.4849,0.000225
228,826.1,59.44,0.004819,0.1829,0.5908,7.7e-05
229,789.5,80.85,0.004194,0.3276,0.5431,0.000177
230,739.1,83.58,0.0032,0.4696,0.4747,0.000282
231,867.9,85.39,0.005784,0.1696,0.519,0.00028
232,745.4,70.74,0.003262,0.3804,0.5252,3.2e-05
233,850.5,86.1,0.005441,0.2252,0.4785,0.000522
234,677.4,78.59,0.001941,0.667,0.5753,0.000132
235,713.3,78.51,0.002658,0.4595,0.5202,5.8e-05
236,777.3,70.74,0.003899,0.3449,0.5092,0.000234
237,735.7,74.21,0.003085,0.3412,0.5716,0.000132
238,831.3,56.92,0.00491,0.1993,0.5915,5.4e-05
239,822.4,100.13,0.004949,0.2992,0.4327,0.000574
240,878.1,69.48,0.005909,0.1693,0.5486,4.9e-05
241,891.7,81.91,0.006243,0.1639,0.5104,0.000293
242,791.1,83.24,0.004239,0.4008,0.4504,0.00048
243,868.2,100.52,0.005868,0.2461,0.4583,0.000573
244,857.3,87.86,0.005585,0.2053,0.4285,0.000514
245,761.1,75.41,0.0036,0.4636,0.4908,0.000235
246,692.9,75.45,0.002236,0.5542,0.5919,8.6e-05
247,833.4,74.98,0.005043,0.1747,0.5481,7.3e-05
248,758.2,70.84,0.003518,0.2912,0.561,0.0
249,697.8,63.93,0.002276,0.6886,0.5367,6.5e-05
250,785.7,76.87,0.004099,0.2999,0.576,0.0
251,746.4,90.74,0.003383,0.637,0.4456,0.000534
252,810.9,96.98,0.004703,0.3765,0.4568,0.000489
253,837.3,84.2,0.005166,0.2477,0.5337,0.000352
254,863.5,86.63,0.005703,0.1896,0.5085,0.000131
255,761.6,78.91,0.003627,0.4271,0.4999,0.000274
256,633.2,65.03,0.00099,0.8556,0.6041,1.8e-05
257,861.5,97.15,0.005717,0.2087,0.4648,0.000341
258,788.0,67.5,0.004097,0.2547,0.6033,3e-05
259,828.3,80.32,0.004968,0.2761,0.4831,0.00023
260,693.2,70.31,0.002216,0.5237,0.5948,0.0
261,673.6,81.51,0.001879,0.9824,0.4764,0.000449
262,826.1,88.79,0.004965,0.2899,0.5068,0.000159
263,832.4,62.11,0.004958,0.2079,0.5265,5.7e-05
264,736.2,82.78,0.003138,0.5296,0.5133,0.000495
265,849.8,85.15,0.005422,0.2457,0.5085,0.000332
266,688.2,85.9,0.002194,0.7951,0.5015,0.000183
267,844.1,78.04,0.005272,0.226,0.5483,0.000192
268,819.5,68.33,0.004733,0.1821,0.5573,5.1e-05
269,729.7,76.66,0.002977,0.4396,0.5107,0.000196
270,687.0,81.24,0.002147,0.7827,0.4968,0.000238
271,744.4,63.32,0.003204,0.3602,0.5934,7.6e-05
272,779.7,65.11,0.00392,0.2963,0.5639,0.000113
273,684.6,77.89,0.002082,0.8213,0.5306,0.000215
274,707.9,78.7,0.002552,0.6791,0.4721,0.000351
275,643.0,70.64,0.001213,0.9333,0.566,0.000191
276,904.4,102.96,0.006604,0.1845,0.4576,0.000246
277,780.1,81.35,0.004008,0.4485,0.4923,0.000359
278,800.6,71.03,0.004367,0.3125,0.5439,0.000223
279,832.4,91.23,0.005104,0.2424,0.4821,0.00044
280,684.2,62.97,0.002,0.5932,0.5483,0.000116
281,838.6,81.5,0.00518,0.2122,0.5391,0.000196
282,691.7,76.16,0.002214,0.7291,0.5336,0.000179
283,870.5,65.66,0.005738,0.1459,0.5454,9.7e-05
284,805.7,83.43,0.004531,0.373,0.4726,0.000356
285,768.4,75.99,0.003747,0.3538,0.4895,0.000287
286,793.0,77.61,0.004247,0.3132,0.5227,0.000116
287,693.8,79.9,0.002275,0.5449,0.5824,9.2e-05
288,801.3,94.71,0.0045,0.3832,0.4302,0.000659
289,630.9,70.89,0.000972,0.9926,0.5901,6.5e-05
290,823.7,59.44,0.00477,0.1881,0.6183,0.0
291,840.8,66.68,0.005149,0.1575,0.5632,3.5e-05
292,765.6,94.51,0.003785,0.4543,0.4499,0.000307
293,855.9,77.78,0.005506,0.1851,0.5525,1.8e-05
294,812.9,77.09,0.004643,0.2636,0.4948,0.000261
295,774.0,90.48,0.003933,0.5324,0.4722,0.000679
296,674.4,74.32,0.00186,0.6394,0.5762,3.8e-05
297,817.9,78.08,0.004748,0.3057,0.5036,0.00015
298,730.3,77.04,0.002991,0.5776,0.4918,0.00016
299,780.5,61.99,0.00392,0.2458,0.5847,5.8e-05
300,713.6,70.41,0.002625,0.5822,0.5992,0.000104
301,848.5,65.11,0.005296,0.1814,0.5857,0.000104
302,837.2,70.91,0.005098,0.1772,0.5928,9.2e-05
303,790.8,96.91,0.004301,0.3557,0.4789,0.00047
304,767.8,76.95,0.003741,0.2971,0.5855,0.000112
305,694.3,71.25,0.002242,0.4685,0.5949,3e-05
306,914.7,94.02,0.006765,0.1752,0.4916,0.000623
307,918.8,86.01,0.006806,0.1719,0.4814,0.000643
308,817.7,77.62,0.004741,0.2758,0.5207,0.000179
309,660.7,76.96,0.001598,0.8124,0.5492,6.7e-05
310,790.8,93.16,0.004281,0.339,0.4491,0.000322
311,797.1,59.3,0.004238,0.2436,0.578,0.0
312,900.3,84.66,0.00643,0.1596,0.5583,0.000325
313,843.2,69.33,0.005211,0.1595,0.6142,0.0
314,865.5,82.4,0.005723,0.2069,0.4698,0.000419
315,667.0,85.66,0.001769,1.066,0.4684,0.000268
316,793.0,94.52,0.004333,0.4216,0.4903,0.000411
317,935.5,84.38,0.007131,0.1596,0.4613,0.000425
318,756.3,89.03,0.003572,0.4519,0.4905,0.000312
319,776.2,72.23,0.003885,0.2847,0.5544,0.0
320,856.4,73.89,0.005497,0.1891,0.5377,0.00022
321,725.5,85.89,0.002939,0.6678,0.4653,0.00067
322,684.7,68.09,0.002034,0.6757,0.5845,1.2e-05
323,849.1,69.66,0.00533,0.1618,0.5508,0.0
324,888.5,90.48,0.006222,0.1874,0.4728,0.000506
325,754.2,78.83,0.003479,0.3986,0.4833,0.000395
326,867.8,69.76,0.005704,0.1638,0.5417,6.1e-05
327,767.9,61.71,0.003667,0.309,0.5885,0.0
328,720.9,77.13,0.002803,0.642,0.4594,0.000277
329,711.5,67.96,0.00257,0.475,0.5559,0.0
330,895.7,87.22,0.00635,0.1949,0.4664,0.000681
331,799.7,85.72,0.004423,0.3183,0.4735,0.000306
332,687.2,80.31,0.002145,1.0294,0.4725,0.000228
333,762.4,64.72,0.003571,0.3427,0.5779,0.0
334,661.6,87.44,0.00167,1.0639,0.4781,0.000147
335,740.2,95.57,0.003283,0.7282,0.4496,0.000427
336,799.6,76.15,0.004374,0.2602,0.5515,6.7e-05
337,835.3,80.94,0.00511,0.2754,0.4573,0.000246
338,791.0,80.17,0.00422,0.322,0.4965,0.000146
339,757.8,59.91,0.003455,0.2768,0.5613,5.7e-05
340,796.4,90.43,0.004379,0.4185,0.5055,0.000397
341,654.2,83.14,0.001499,1.0841,0.51,0.000101
342,791.3,79.76,0.004225,0.2575,0.5445,0.000117
343,863.8,85.07,0.005701,0.2295,0.4799,0.000242
344,756.8,47.65,0.003374,0.3099,0.6368,0.0
345,794.5,94.07,0.00436,0.2836,0.47,0.000208
346,672.7,52.0,0.001714,0.6934,0.5776,7.9e-05
347,757.3,97.16,0.003631,0.5938,0.4644,0.000442
348,827.0,81.51,0.004947,0.3227,0.4624,0.000426
349,724.6,78.1,0.002883,0.5478,0.4941,0.000249
350,694.7,72.23,0.002255,0.633,0.5317,0.000157
351,875.3,78.52,0.005898,0.2066,0.4405,0.000236
352,827.7,95.39,0.005031,0.279,0.4879,0.000359
353,652.8,69.15,0.001403,0.849,0.5239,0.000112
354,842.0,66.42,0.005173,0.1869,0.593,6.1e-05
355,820.2,82.09,0.004814,0.3274,0.4307,0.000257
356,844.5,85.23,0.005317,0.2176,0.4913,0.000172
357,763.1,74.55,0.003636,0.3181,0.5487,0.000153
358,768.1,79.94,0.003762,0.3683,0.5255,0.000173
359,851.0,87.07,0.005455,0.2339,0.4779,0.000365
360,767.3,83.02,0.00376,0.3691,0.5011,0.000228
361,834.6,94.96,0.005166,0.2658,0.4831,0.00036
362,742.7,68.67,0.003197,0.3061,0.6075,2e-05
363,847.0,75.37,0.005317,0.2317,0.4903,0.00015
364,830.6,62.96,0.004927,0.2055,0.5267,0.000123
365,821.7,72.69,0.004797,0.2355,0.5337,0.0
366,924.6,90.2,0.006943,0.1626,0.484,0.00063
367,870.2,71.87,0.005764,0.158,0.5224,7.3e-05
368,677.7,70.98,0.001909,0.836,0.5105,0.000117
369,777.0,76.54,0.003923,0.282,0.5587,0.0
370,812.7,82.54,0.004668,0.2974,0.4924,0.000175
371,668.9,63.89,0.001697,0.9758,0.5266,5.7e-05
372,747.3,78.27,0.003337,0.4444,0.5415,9.4e-05
373,737.1,87.45,0.003179,0.577,0.4911,0.000206
374,772.2,78.25,0.003836,0.4121,0.5156,0.00021
375,894.5,90.65,0.006343,0.21,0.4546,0.000357
376,699.2,65.9,0.002314,0.5461,0.5388,0.0
377,902.7,81.64,0.006463,0.1619,0.4711,0.000329
378,861.7,77.35,0.005622,0.1743,0.5056,0.000223
379,777.5,67.43,0.003888,0.2703,0.5726,0.0
380,926.6,72.05,0.006892,0.1465,0.494,0.000158
381,656.3,66.89,0.00146,1.0612,0.548,0.000109
382,761.0,88.08,0.00366,0.4773,0.4836,0.000333
383,713.5,86.53,0.002703,0.5999,0.5736,7.4e-05
384,647.2,62.28,0.001256,0.7698,0.5438,5.8e-05
385,846.3,87.12,0.005362,0.2114,0.4852,0.000452
386,776.3,79.35,0.003922,0.3425,0.5493,9.9e-05
387,900.5,79.32,0.006407,0.1623,0.5391,0.000261
388,739.8,77.26,0.003182,0.4333,0.5466,7.9e-05
389,887.7,67.06,0.00609,0.153,0.5149,0.000109
390,802.8,73.18,0.004422,0.2674,0.498,0.000149
391,749.7,80.13,0.003394,0.4604,0.5172,0.000102
392,843.7,94.03,0.005344,0.2619,0.4569,0.00061
393,866.8,67.47,0.005673,0.1719,0.5614,5.6e-05
394,680.3,81.64,0.002015,0.9534,0.4946,0.000159
395,778.2,84.19,0.003986,0.3987,0.4805,0.000651
396,612.0,63.37,0.000556,0.9617,0.6178,0.0
397,833.2,95.23,0.00514,0.2746,0.4455,0.000385
398,647.4,71.37,0.001304,1.0658,0.5813,0.000106
399,818.5,81.69,0.004778,0.3403,0.4626,0.000431
400,720.4,78.89,0.002802,0.6764,0.4885,0.000132
401,719.9,83.61,0.002816,0.676,0.5009,0.000477
402,821.9,71.7,0.004797,0.2214,0.5397,0.000144
403,715.2,76.61,0.002687,0.7194,0.4476,0.00021
404,711.7,95.32,0.002711,0.9499,0.4495,0.000784
405,745.4,66.39,0.00324,0.4415,0.5389,6.9e-05
406,781.4,88.34,0.004069,0.3886,0.4938,0.000289
407,702.6,60.38,0.002355,0.4779,0.5703,0.0
408,805.0,84.47,0.004523,0.338,0.4921,0.000354
409,765.2,85.2,0.00373,0.4633,0.4998,0.000513
410,728.3,85.13,0.002993,0.5398,0.4936,0.000337
411,782.9,78.31,0.004049,0.3459,0.4847,0.000217
412,696.1,83.34,0.002338,1.0155,0.496,0.000349
413,655.2,90.99,0.00156,1.0428,0.521,0.000146
414,855.1,70.28,0.005454,0.1763,0.5752,1.3e-05
415,820.1,91.12,0.004857,0.2548,0.4907,0.000285
416,775.9,95.67,0.003996,0.4849,0.4877,0.000408
417,762.8,89.13,0.003702,0.4766,0.4817,0.000444
418,708.2,74.8,0.002537,0.4716,0.5365,3.6e-05
419,887.0,84.67,0.006164,0.1787,0.4511,0.000263
420,937.2,83.29,0.007161,0.1499,0.4752,0.000569
421,719.9,77.16,0.002783,0.5336,0.5572,2.8e-05
422,806.3,70.7,0.00448,0.2394,0.5469,0.000122
423,669.4,65.15,0.001713,0.5993,0.5615,1.1e-05
424,878.5,88.23,0.006011,0.2233,0.4754,0.000409
425,902.3,83.4,0.006464,0.1551,0.4965,3.5e-05
426,637.9,79.7,0.001156,1.0015,0.5315,4.4e-05
427,639.5,71.1,0.001145,0.9346,0.5529,0.0
428,862.7,77.07,0.00564,0.2011,0.487,0.000142
429,811.8,100.54,0.004739,0.3852,0.4342,0.000657
430,777.3,78.66,0.00394,0.3136,0.5109,0.000105
431,776.0,84.1,0.003941,0.4393,0.4555,0.000305
432,674.0,80.37,0.001883,0.958,0.4725,0.000234
433,758.7,86.4,0.003607,0.4275,0.4983,0.000165
434,655.8,72.27,0.001478,0.758,0.5717,0.0
435,700.3,64.3,0.002328,0.5056,0.5593,4e-05
436,699.3,89.43,0.002434,0.7159,0.5118,0.000484
437,848.0,67.37,0.005297,0.1815,0.5402,6e-05
438,713.0,73.35,0.002626,0.5972,0.5277,0.000101
439,788.2,73.58,0.004132,0.2963,0.4984,0.000194
440,909.8,78.96,0.006591,0.1467,0.473,0.000384
441,899.4,79.4,0.006386,0.1456,0.5067,0.000212
442,798.3,73.0,0.004332,0.2594,0.5606,3.7e-05
443,739.4,92.6,0.003251,0.5238,0.4797,0.000461
444,809.1,74.45,0.004554,0.3466,0.4824,0.000361
445,746.0,62.35,0.003233,0.3448,0.5818,0.000144
446,886.7,72.8,0.006098,0.1753,0.469,0.000137
447,807.1,74.06,0.004512,0.231,0.5709,0.0
448,845.1,71.84,0.00526,0.1735,0.597,8.7e-05
449,629.5,61.41,0.000897,1.0571,0.6005,8.5e-05
450,901.8,88.23,0.006477,0.1495,0.4956,0.000394
451,816.0,80.1,0.004721,0.2462,0.5077,0.000272
452,885.7,75.08,0.006089,0.1603,0.5314,0.000221
453,814.3,73.89,0.004655,0.2029,0.5563,4.7e-05
454,780.4,60.43,0.00391,0.2368,0.5868,5.3e-05
455,634.8,70.39,0.001048,0.9138,0.5525,0.000109
456,656.4,78.16,0.001518,0.7658,0.5689,0.0
457,721.4,88.8,0.002871,0.656,0.4163,0.000333
458,753.8,65.15,0.003402,0.3564,0.5779,1.8e-05
459,834.9,67.14,0.005035,0.2092,0.5684,8e-05
460,671.2,72.53,0.001788,0.6177,0.5808,5.7e-05
