timestamp,building_id,electricity_kwh,gas_kwh,heating_kwh,cooling_kwh,lighting_kwh,plug_load_kwh,fans_kwh,total_kwh,indoor_temp_c,indoor_rh_pct,co2_ppm,tvoc_ppb,pm25_ug_m3
2024-01-01T18:00:00,BLD-00001,81.1,0.0,384.746,0.0,1.731,1.78,0.64,81.1,17.83,45.2,457.0,112.0,9.5
2024-01-01T19:00:00,BLD-00001,83.04,0.0,393.749,0.0,1.79,1.843,0.657,83.04,18.54,45.0,479.0,111.0,8.3
2024-01-01T20:00:00,BLD-00001,85.407,0.0,404.805,0.0,1.856,1.914,0.677,85.407,17.79,44.9,533.0,159.0,11.8
2024-01-01T21:00:00,BLD-00001,96.167,0.0,459.61,0.0,1.771,1.823,0.652,96.167,17.98,42.4,502.0,100.0,12.7
2024-01-01T22:00:00,BLD-00001,100.325,0.0,479.827,0.0,1.819,1.874,0.666,100.325,17.72,57.1,522.0,100.0,13.8
2024-01-01T23:00:00,BLD-00001,100.762,0.0,483.46,0.0,1.697,1.743,0.63,100.762,17.5,49.0,499.0,130.0,16.0
2024-01-02T00:00:00,BLD-00001,103.97,0.0,497.832,0.0,1.838,1.895,0.671,103.97,18.25,45.6,483.0,124.0,13.2
2024-01-02T01:00:00,BLD-00001,99.955,0.0,477.932,0.0,1.823,1.879,0.667,99.955,17.94,52.8,523.0,134.0,12.2
2024-01-02T02:00:00,BLD-00001,101.213,0.0,485.513,0.0,1.713,1.762,0.635,101.213,17.21,49.2,501.0,117.0,8.3
2024-01-02T03:00:00,BLD-00001,96.609,0.0,460.874,0.0,1.851,1.908,0.675,96.609,18.11,52.7,529.0,132.0,11.3
2024-01-02T04:00:00,BLD-00001,97.217,0.0,463.875,0.0,1.854,1.912,0.676,97.217,17.71,47.3,533.0,105.0,14.5
2024-01-02T05:00:00,BLD-00001,94.132,0.0,449.186,0.0,1.792,1.845,0.658,94.132,18.7,55.0,477.0,167.0,9.4
2024-01-02T06:00:00,BLD-00001,90.383,0.0,430.233,0.0,1.809,1.864,0.663,90.383,17.4,49.9,519.0,98.0,13.6
2024-01-02T07:00:00,BLD-00001,80.907,0.0,384.43,0.0,1.676,1.721,0.624,80.907,18.86,50.6,501.0,167.0,14.8
2024-01-02T08:00:00,BLD-00001,82.172,0.0,375.427,0.0,2.974,3.11,1.003,82.172,18.66,43.6,726.0,181.0,12.7
2024-01-02T09:00:00,BLD-00001,77.139,0.0,348.735,0.0,3.104,3.248,1.041,77.139,19.27,50.0,740.0,181.0,15.6
2024-01-02T10:00:00,BLD-00001,70.11,0.0,313.198,0.0,3.136,3.283,1.05,70.11,18.82,48.9,720.0,198.0,9.3
2024-01-02T11:00:00,BLD-00001,72.116,0.0,323.307,0.0,3.13,3.277,1.048,72.116,18.2,53.5,765.0,175.0,16.2
2024-01-02T12:00:00,BLD-00001,68.658,0.0,307.039,0.0,3.043,3.184,1.023,68.658,19.69,46.6,754.0,176.0,14.2
2024-01-02T13:00:00,BLD-00001,70.494,0.0,315.568,0.0,3.098,3.243,1.039,70.494,19.21,51.9,748.0,190.0,13.3
2024-01-02T14:00:00,BLD-00001,68.117,0.0,304.827,0.0,3.002,3.139,1.011,68.117,18.18,46.4,725.0,183.0,14.2
2024-01-02T15:00:00,BLD-00001,69.574,0.0,312.093,0.0,3.003,3.141,1.011,69.574,18.68,48.5,753.0,163.0,16.2
2024-01-02T16:00:00,BLD-00001,75.956,0.0,342.576,0.0,3.124,3.27,1.047,75.956,18.25,56.1,728.0,160.0,8.8
2024-01-02T17:00:00,BLD-00001,70.859,0.0,333.257,0.0,1.755,1.806,0.647,70.859,18.53,44.5,514.0,110.0,7.6
2024-01-02T18:00:00,BLD-00001,75.398,0.0,354.895,0.0,1.844,1.901,0.673,75.398,18.72,46.4,498.0,102.0,8.3
2024-01-02T19:00:00,BLD-00001,80.587,0.0,382.693,0.0,1.687,1.734,0.628,80.587,17.88,55.3,487.0,92.0,7.6
2024-01-02T20:00:00,BLD-00001,84.77,0.0,402.435,0.0,1.786,1.84,0.656,84.77,18.58,47.0,489.0,112.0,10.6
2024-01-02T21:00:00,BLD-00001,92.769,0.0,441.605,0.0,1.857,1.915,0.677,92.769,18.67,46.5,504.0,172.0,11.8
2024-01-02T22:00:00,BLD-00001,98.181,0.0,470.192,0.0,1.727,1.776,0.639,98.181,18.39,52.2,507.0,144.0,12.8
2024-01-02T23:00:00,BLD-00001,96.728,0.0,461.979,0.0,1.807,1.862,0.663,96.728,18.76,50.4,501.0,152.0,8.3
2024-01-03T00:00:00,BLD-00001,104.769,0.0,501.939,0.0,1.828,1.884,0.669,104.769,17.51,51.4,482.0,107.0,12.7
2024-01-03T01:00:00,BLD-00001,104.408,0.0,500.201,0.0,1.822,1.878,0.667,104.408,17.35,46.4,512.0,162.0,9.0
2024-01-03T02:00:00,BLD-00001,105.22,0.0,504.94,0.0,1.765,1.817,0.65,105.22,17.94,49.1,479.0,140.0,13.7
2024-01-03T03:00:00,BLD-00001,96.536,0.0,461.19,0.0,1.793,1.847,0.658,96.536,18.69,50.1,515.0,132.0,8.9
2024-01-03T04:00:00,BLD-00001,94.797,0.0,453.924,0.0,1.672,1.717,0.623,94.797,18.19,55.7,454.0,132.0,9.2
2024-01-03T05:00:00,BLD-00001,94.547,0.0,451.239,0.0,1.793,1.847,0.658,94.547,17.72,51.0,477.0,139.0,15.2
2024-01-03T06:00:00,BLD-00001,87.093,0.0,414.439,0.0,1.754,1.805,0.647,87.093,18.97,54.2,465.0,137.0,16.2
2024-01-03T07:00:00,BLD-00001,83.478,0.0,396.907,0.0,1.708,1.755,0.634,83.478,17.99,49.3,474.0,99.0,11.1
2024-01-03T08:00:00,BLD-00001,79.08,0.0,358.844,0.0,3.069,3.212,1.031,79.08,18.89,48.6,716.0,203.0,10.0
2024-01-03T09:00:00,BLD-00001,80.543,0.0,365.793,0.0,3.1,3.245,1.04,80.543,18.11,45.5,771.0,175.0,17.3
2024-01-03T10:00:00,BLD-00001,72.736,0.0,327.255,0.0,3.058,3.199,1.027,72.736,19.59,42.3,746.0,159.0,14.5
2024-01-03T11:00:00,BLD-00001,68.432,0.0,306.723,0.0,2.974,3.11,1.003,68.432,19.37,45.4,729.0,177.0,17.1
2024-01-03T12:00:00,BLD-00001,67.791,0.0,301.511,0.0,3.145,3.292,1.053,67.791,19.36,51.5,745.0,214.0,12.0
2024-01-03T13:00:00,BLD-00001,68.987,0.0,307.355,0.0,3.156,3.304,1.056,68.987,19.61,49.2,764.0,150.0,14.8
2024-01-03T14:00:00,BLD-00001,70.054,0.0,314.778,0.0,2.979,3.115,1.004,70.054,18.74,55.0,707.0,148.0,9.9
2024-01-03T15:00:00,BLD-00001,72.578,0.0,326.465,0.0,3.058,3.2,1.027,72.578,18.69,49.4,748.0,140.0,15.7
2024-01-03T16:00:00,BLD-00001,70.523,0.0,315.094,0.0,3.151,3.299,1.054,70.523,19.49,47.0,748.0,196.0,15.0
2024-01-03T17:00:00,BLD-00001,70.848,0.0,333.099,0.0,1.764,1.815,0.65,70.848,19.33,46.1,490.0,144.0,8.7
2024-01-03T18:00:00,BLD-00001,76.854,0.0,364.056,0.0,1.685,1.731,0.627,76.854,18.56,45.7,498.0,125.0,16.0
2024-01-03T19:00:00,BLD-00001,79.683,0.0,377.007,0.0,1.786,1.839,0.656,79.683,18.3,46.2,492.0,143.0,8.1
2024-01-03T20:00:00,BLD-00001,91.461,0.0,436.551,0.0,1.731,1.78,0.64,91.461,17.57,51.7,478.0,139.0,14.9
2024-01-03T21:00:00,BLD-00001,96.315,0.0,461.032,0.0,1.713,1.761,0.635,96.315,18.12,48.6,470.0,101.0,12.6
2024-01-03T22:00:00,BLD-00001,92.97,0.0,443.5,0.0,1.781,1.834,0.655,92.97,18.44,44.8,513.0,111.0,13.8
2024-01-03T23:00:00,BLD-00001,96.748,0.0,462.453,0.0,1.776,1.828,0.653,96.748,17.96,46.5,516.0,117.0,11.4
2024-01-04T00:00:00,BLD-00001,102.623,0.0,492.62,0.0,1.709,1.756,0.634,102.623,17.27,49.3,481.0,109.0,12.0
2024-01-04T01:00:00,BLD-00001,101.181,0.0,483.775,0.0,1.847,1.904,0.674,101.181,17.85,50.0,504.0,164.0,16.7
2024-01-04T02:00:00,BLD-00001,104.429,0.0,501.939,0.0,1.684,1.73,0.627,104.429,17.28,47.8,491.0,97.0,12.1
2024-01-04T03:00:00,BLD-00001,98.905,0.0,473.667,0.0,1.74,1.789,0.643,98.905,18.43,51.0,507.0,164.0,8.8
2024-01-04T04:00:00,BLD-00001,95.613,0.0,456.925,0.0,1.764,1.815,0.65,95.613,17.22,45.7,496.0,110.0,10.0
2024-01-04T05:00:00,BLD-00001,90.091,0.0,428.812,0.0,1.806,1.861,0.662,90.091,17.56,45.0,482.0,161.0,10.1
2024-01-04T06:00:00,BLD-00001,85.839,0.0,408.595,0.0,1.718,1.766,0.636,85.839,18.5,54.1,489.0,163.0,13.2
2024-01-04T07:00:00,BLD-00001,81.366,0.0,386.483,0.0,1.696,1.743,0.63,81.366,18.2,46.8,448.0,107.0,14.4
2024-01-04T08:00:00,BLD-00001,80.26,0.0,365.793,0.0,2.981,3.117,1.005,80.26,18.19,42.8,708.0,168.0,10.7
2024-01-04T09:00:00,BLD-00001,75.314,0.0,339.259,0.0,3.133,3.28,1.049,75.314,18.3,52.4,725.0,156.0,17.5
2024-01-04T10:00:00,BLD-00001,71.246,0.0,320.148,0.0,3.029,3.169,1.019,71.246,18.32,53.0,718.0,163.0,10.2
2024-01-04T11:00:00,BLD-00001,68.067,0.0,303.248,0.0,3.114,3.26,1.044,68.067,19.77,45.3,744.0,141.0,9.3
2024-01-04T12:00:00,BLD-00001,71.471,0.0,321.727,0.0,2.99,3.127,1.008,71.471,19.3,54.1,705.0,158.0,14.4
2024-01-04T13:00:00,BLD-00001,65.529,0.0,292.034,0.0,2.989,3.126,1.007,65.529,19.06,51.1,733.0,197.0,9.5
2024-01-04T14:00:00,BLD-00001,71.254,0.0,319.042,0.0,3.126,3.272,1.047,71.254,18.72,43.4,722.0,162.0,9.4
2024-01-04T15:00:00,BLD-00001,66.41,0.0,295.351,0.0,3.081,3.224,1.034,66.41,18.8,48.7,742.0,138.0,11.5
2024-01-04T16:00:00,BLD-00001,76.429,0.0,344.945,0.0,3.124,3.27,1.047,76.429,18.26,46.9,774.0,155.0,13.1
2024-01-04T17:00:00,BLD-00001,75.49,0.0,357.106,0.0,1.696,1.743,0.63,75.49,17.96,43.7,493.0,145.0,15.8
2024-01-04T18:00:00,BLD-00001,81.43,0.0,386.641,0.0,1.71,1.758,0.634,81.43,18.03,56.6,505.0,98.0,10.3
2024-01-04T19:00:00,BLD-00001,86.156,0.0,410.333,0.0,1.705,1.752,0.633,86.156,17.56,45.2,461.0,124.0,11.9
2024-01-04T20:00:00,BLD-00001,88.12,0.0,420.441,0.0,1.68,1.726,0.626,88.12,18.04,50.4,489.0,112.0,14.0
2024-01-04T21:00:00,BLD-00001,94.494,0.0,452.345,0.0,1.677,1.723,0.625,94.494,17.33,53.0,498.0,95.0,11.6
2024-01-04T22:00:00,BLD-00001,95.404,0.0,456.136,0.0,1.742,1.792,0.643,95.404,18.56,50.2,492.0,125.0,8.0
2024-01-04T23:00:00,BLD-00001,102.663,0.0,492.936,0.0,1.699,1.746,0.631,102.663,17.78,56.2,500.0,111.0,12.4
2024-01-05T00:00:00,BLD-00001,104.755,0.0,503.518,0.0,1.688,1.735,0.628,104.755,18.3,49.6,453.0,100.0,7.9
2024-01-05T01:00:00,BLD-00001,101.281,0.0,485.829,0.0,1.716,1.764,0.636,101.281,18.11,47.4,471.0,101.0,10.3
2024-01-05T02:00:00,BLD-00001,100.075,0.0,479.037,0.0,1.78,1.833,0.655,100.075,17.55,51.9,500.0,95.0,15.6
2024-01-05T03:00:00,BLD-00001,99.664,0.0,477.616,0.0,1.727,1.775,0.639,99.664,17.81,52.5,476.0,109.0,8.4
2024-01-05T04:00:00,BLD-00001,99.633,0.0,476.984,0.0,1.767,1.819,0.651,99.633,17.86,47.4,512.0,116.0,13.5
2024-01-05T05:00:00,BLD-00001,91.063,0.0,434.34,0.0,1.749,1.8,0.646,91.063,17.44,52.4,458.0,120.0,7.8
2024-01-05T06:00:00,BLD-00001,85.997,0.0,409.227,0.0,1.731,1.78,0.64,85.997,18.38,51.2,511.0,98.0,7.6
2024-01-05T07:00:00,BLD-00001,84.473,0.0,401.962,0.0,1.701,1.748,0.631,84.473,17.72,47.3,472.0,120.0,10.8
2024-01-05T08:00:00,BLD-00001,82.901,0.0,378.27,0.0,3.042,3.182,1.023,82.901,18.26,47.6,732.0,135.0,10.0
2024-01-05T09:00:00,BLD-00001,73.155,0.0,328.677,0.0,3.115,3.26,1.044,73.155,19.48,56.6,726.0,203.0,17.6
2024-01-05T10:00:00,BLD-00001,69.616,0.0,312.093,0.0,3.021,3.16,1.016,69.616,18.42,52.3,755.0,166.0,14.6
2024-01-05T11:00:00,BLD-00001,72.803,0.0,328.361,0.0,2.993,3.13,1.008,72.803,18.73,54.4,748.0,199.0,15.5
2024-01-05T12:00:00,BLD-00001,68.947,0.0,308.618,0.0,3.032,3.171,1.02,68.947,19.28,52.9,744.0,206.0,16.6
2024-01-05T13:00:00,BLD-00001,68.866,0.0,308.46,0.0,3.011,3.149,1.014,68.866,19.08,44.2,704.0,141.0,15.5
2024-01-05T14:00:00,BLD-00001,68.194,0.0,303.406,0.0,3.154,3.303,1.055,68.194,19.51,53.1,741.0,209.0,15.7
2024-01-05T15:00:00,BLD-00001,72.451,0.0,325.676,0.0,3.071,3.214,1.031,72.451,18.94,55.6,722.0,158.0,10.6
2024-01-05T16:00:00,BLD-00001,73.588,0.0,331.362,0.0,3.071,3.213,1.031,73.588,18.61,52.6,716.0,158.0,11.9
2024-01-05T17:00:00,BLD-00001,74.478,0.0,352.21,0.0,1.682,1.728,0.626,74.478,18.02,42.4,497.0,140.0,8.1
2024-01-05T18:00:00,BLD-00001,79.552,0.0,377.007,0.0,1.731,1.78,0.64,79.552,18.99,44.8,514.0,167.0,11.2
2024-01-05T19:00:00,BLD-00001,79.665,0.0,378.112,0.0,1.685,1.731,0.627,79.665,17.89,50.1,473.0,142.0,9.9
2024-01-05T20:00:00,BLD-00001,86.281,0.0,410.333,0.0,1.758,1.809,0.648,86.281,18.58,46.3,466.0,168.0,13.3
2024-01-05T21:00:00,BLD-00001,93.502,0.0,446.343,0.0,1.766,1.817,0.65,93.502,17.66,51.4,465.0,122.0,12.0
2024-01-05T22:00:00,BLD-00001,93.222,0.0,445.711,0.0,1.701,1.748,0.631,93.222,18.58,54.7,507.0,142.0,10.1
2024-01-05T23:00:00,BLD-00001,101.147,0.0,485.197,0.0,1.713,1.761,0.635,101.147,18.25,47.3,451.0,120.0,12.6
2024-01-06T00:00:00,BLD-00001,100.451,0.0,481.248,0.0,1.752,1.803,0.646,100.451,17.17,43.8,488.0,128.0,8.1
2024-01-06T01:00:00,BLD-00001,102.702,0.0,491.988,0.0,1.796,1.85,0.659,102.702,17.02,49.8,516.0,157.0,8.3
2024-01-06T02:00:00,BLD-00001,99.272,0.0,475.562,0.0,1.734,1.784,0.641,99.272,17.55,49.7,491.0,107.0,8.5
2024-01-06T03:00:00,BLD-00001,97.62,0.0,467.034,0.0,1.757,1.808,0.648,97.62,18.53,51.2,473.0,168.0,15.3
2024-01-06T04:00:00,BLD-00001,96.071,0.0,459.768,0.0,1.717,1.765,0.636,96.071,18.77,45.6,492.0,146.0,9.5
2024-01-06T05:00:00,BLD-00001,89.518,0.0,425.811,0.0,1.817,1.873,0.665,89.518,18.66,49.4,492.0,137.0,9.5
2024-01-06T06:00:00,BLD-00001,90.88,0.0,433.076,0.0,1.779,1.832,0.654,90.88,18.16,56.8,492.0,108.0,14.0
2024-01-06T07:00:00,BLD-00001,80.107,0.0,379.218,0.0,1.778,1.831,0.654,80.107,18.53,45.7,475.0,118.0,12.0
2024-01-06T08:00:00,BLD-00001,78.879,0.0,373.532,0.0,1.74,1.79,0.643,78.879,18.04,46.9,511.0,102.0,10.5
2024-01-06T09:00:00,BLD-00001,72.129,0.0,338.469,0.0,1.851,1.909,0.675,72.129,18.07,49.4,524.0,139.0,15.1
2024-01-06T10:00:00,BLD-00001,71.634,0.0,337.679,0.0,1.708,1.756,0.634,71.634,18.7,50.6,478.0,133.0,7.6
2024-01-06T11:00:00,BLD-00001,69.538,0.0,327.255,0.0,1.704,1.751,0.632,69.538,18.36,53.2,508.0,119.0,7.7
2024-01-06T12:00:00,BLD-00001,65.019,0.0,303.248,0.0,1.823,1.879,0.667,65.019,19.78,47.5,504.0,146.0,13.4
2024-01-06T13:00:00,BLD-00001,64.413,0.0,301.827,0.0,1.687,1.733,0.627,64.413,19.64,50.5,470.0,93.0,10.7
2024-01-06T14:00:00,BLD-00001,65.657,0.0,306.091,0.0,1.853,1.91,0.676,65.657,18.34,48.1,510.0,163.0,11.7
2024-01-06T15:00:00,BLD-00001,69.162,0.0,325.044,0.0,1.732,1.781,0.641,69.162,18.86,50.7,502.0,159.0,7.7
2024-01-06T16:00:00,BLD-00001,70.972,0.0,332.783,0.0,1.843,1.9,0.673,70.972,19.32,47.4,486.0,122.0,10.4
2024-01-06T17:00:00,BLD-00001,77.54,0.0,365.635,0.0,1.842,1.899,0.673,77.54,19.22,51.1,488.0,137.0,8.5
2024-01-06T18:00:00,BLD-00001,76.366,0.0,361.055,0.0,1.732,1.782,0.641,76.366,18.8,51.5,467.0,138.0,10.4
2024-01-06T19:00:00,BLD-00001,81.184,0.0,385.22,0.0,1.726,1.775,0.639,81.184,19.08,51.5,482.0,119.0,12.8
2024-01-06T20:00:00,BLD-00001,89.32,0.0,424.705,0.0,1.827,1.883,0.668,89.32,18.53,53.0,520.0,161.0,11.7
2024-01-06T21:00:00,BLD-00001,90.283,0.0,431.181,0.0,1.687,1.733,0.627,90.283,18.59,52.3,450.0,129.0,15.2
2024-01-06T22:00:00,BLD-00001,93.746,0.0,446.817,0.0,1.829,1.885,0.669,93.746,17.39,47.8,501.0,169.0,8.7
2024-01-06T23:00:00,BLD-00001,100.309,0.0,479.511,0.0,1.839,1.896,0.672,100.309,17.1,52.1,493.0,174.0,16.7
2024-01-07T00:00:00,BLD-00001,98.12,0.0,468.613,0.0,1.835,1.892,0.671,98.12,17.86,43.8,488.0,124.0,16.4
2024-01-07T01:00:00,BLD-00001,100.319,0.0,479.669,0.0,1.83,1.886,0.669,100.319,17.49,50.1,484.0,124.0,10.3
2024-01-07T02:00:00,BLD-00001,101.62,0.0,486.776,0.0,1.779,1.832,0.654,101.62,17.47,46.1,503.0,132.0,9.5
2024-01-07T03:00:00,BLD-00001,96.49,0.0,460.716,0.0,1.814,1.869,0.664,96.49,17.3,53.2,519.0,146.0,8.0
2024-01-07T04:00:00,BLD-00001,97.123,0.0,463.875,0.0,1.814,1.869,0.665,97.123,18.38,53.1,473.0,106.0,16.1
2024-01-07T05:00:00,BLD-00001,95.336,0.0,455.504,0.0,1.766,1.818,0.651,95.336,17.44,52.8,472.0,96.0,9.5
2024-01-07T06:00:00,BLD-00001,85.651,0.0,407.016,0.0,1.772,1.824,0.652,85.651,19.09,52.6,483.0,133.0,10.3
2024-01-07T07:00:00,BLD-00001,80.284,0.0,379.85,0.0,1.8,1.854,0.66,80.284,19.1,41.6,500.0,124.0,13.8
2024-01-07T08:00:00,BLD-00001,82.183,0.0,389.168,0.0,1.815,1.87,0.665,82.183,17.72,47.8,509.0,155.0,15.8
2024-01-07T09:00:00,BLD-00001,77.07,0.0,365.003,0.0,1.696,1.743,0.63,77.07,18.41,53.5,499.0,169.0,11.8
2024-01-07T10:00:00,BLD-00001,69.032,0.0,322.991,0.0,1.851,1.908,0.675,69.032,18.34,47.7,483.0,140.0,11.2
2024-01-07T11:00:00,BLD-00001,64.946,0.0,302.774,0.0,1.833,1.889,0.67,64.946,18.32,41.7,532.0,111.0,15.7
2024-01-07T12:00:00,BLD-00001,61.569,0.0,286.506,0.0,1.78,1.833,0.655,61.569,18.91,45.9,491.0,96.0,11.2
2024-01-07T13:00:00,BLD-00001,62.004,0.0,289.033,0.0,1.75,1.801,0.646,62.004,18.86,44.7,492.0,129.0,7.4
2024-01-07T14:00:00,BLD-00001,61.144,0.0,284.453,0.0,1.774,1.827,0.653,61.144,18.49,43.1,476.0,132.0,7.6
2024-01-07T15:00:00,BLD-00001,64.003,0.0,299.931,0.0,1.674,1.719,0.624,64.003,19.69,44.4,472.0,139.0,12.3
2024-01-07T16:00:00,BLD-00001,69.576,0.0,325.992,0.0,1.827,1.883,0.668,69.576,18.42,46.1,509.0,111.0,16.0
2024-01-07T17:00:00,BLD-00001,72.423,0.0,341.786,0.0,1.695,1.742,0.63,72.423,18.53,48.1,449.0,137.0,8.0
2024-01-07T18:00:00,BLD-00001,75.493,0.0,355.685,0.0,1.818,1.873,0.666,75.493,18.03,49.0,472.0,123.0,13.9
2024-01-07T19:00:00,BLD-00001,85.115,0.0,405.12,0.0,1.705,1.753,0.633,85.115,18.54,44.4,492.0,152.0,11.4
2024-01-07T20:00:00,BLD-00001,88.104,0.0,419.651,0.0,1.74,1.79,0.643,88.104,18.55,51.6,492.0,133.0,14.2
2024-01-07T21:00:00,BLD-00001,93.705,0.0,447.449,0.0,1.758,1.809,0.648,93.705,17.6,49.8,471.0,103.0,11.8
2024-01-07T22:00:00,BLD-00001,98.06,0.0,469.719,0.0,1.716,1.764,0.636,98.06,17.15,51.0,476.0,157.0,12.1
2024-01-07T23:00:00,BLD-00001,99.629,0.0,477.142,0.0,1.752,1.803,0.646,99.629,18.31,44.7,486.0,160.0,14.4
2024-01-08T00:00:00,BLD-00001,103.953,0.0,497.99,0.0,1.817,1.873,0.665,103.953,17.09,48.1,487.0,107.0,16.2
2024-01-08T01:00:00,BLD-00001,99.036,0.0,474.931,0.0,1.688,1.734,0.628,99.036,17.61,48.8,454.0,143.0,15.8
2024-01-08T02:00:00,BLD-00001,100.887,0.0,482.196,0.0,1.857,1.915,0.677,100.887,18.1,47.7,511.0,162.0,8.8
2024-01-08T03:00:00,BLD-00001,96.632,0.0,461.348,0.0,1.821,1.876,0.666,96.632,17.47,49.4,497.0,138.0,15.7
2024-01-08T04:00:00,BLD-00001,93.365,0.0,445.869,0.0,1.748,1.798,0.645,93.365,18.12,41.9,462.0,151.0,8.9
2024-01-08T05:00:00,BLD-00001,92.066,0.0,438.604,0.0,1.813,1.868,0.664,92.066,18.17,44.5,500.0,165.0,7.8
2024-01-08T06:00:00,BLD-00001,90.394,0.0,431.339,0.0,1.72,1.769,0.637,90.394,18.13,51.9,456.0,147.0,8.8
2024-01-08T07:00:00,BLD-00001,84.722,0.0,401.962,0.0,1.807,1.861,0.662,84.722,18.45,49.3,511.0,144.0,15.7
2024-01-08T08:00:00,BLD-00001,83.713,0.0,383.009,0.0,2.985,3.121,1.006,83.713,18.1,48.6,732.0,136.0,10.4
2024-01-08T09:00:00,BLD-00001,76.522,0.0,346.524,0.0,3.029,3.169,1.019,76.522,18.08,51.2,729.0,143.0,12.6
2024-01-08T10:00:00,BLD-00001,70.983,0.0,319.358,0.0,2.984,3.121,1.006,70.983,19.14,47.3,720.0,137.0,10.6
2024-01-08T11:00:00,BLD-00001,70.12,0.0,314.936,0.0,2.994,3.131,1.009,70.12,18.21,44.3,735.0,158.0,8.7
2024-01-08T12:00:00,BLD-00001,71.078,0.0,319.2,0.0,3.038,3.178,1.022,71.078,19.66,51.8,722.0,156.0,11.7
2024-01-08T13:00:00,BLD-00001,66.883,0.0,297.72,0.0,3.081,3.224,1.034,66.883,19.52,53.3,766.0,156.0,10.5
2024-01-08T14:00:00,BLD-00001,66.065,0.0,293.14,0.0,3.122,3.268,1.046,66.065,19.07,47.4,732.0,142.0,8.6
2024-01-08T15:00:00,BLD-00001,73.188,0.0,328.361,0.0,3.156,3.304,1.056,73.188,18.8,46.3,732.0,210.0,15.0
2024-01-08T16:00:00,BLD-00001,72.612,0.0,326.308,0.0,3.086,3.229,1.035,72.612,18.46,50.6,754.0,135.0,17.3
2024-01-08T17:00:00,BLD-00001,72.024,0.0,338.469,0.0,1.807,1.861,0.662,72.024,18.71,51.0,518.0,150.0,15.9
2024-01-08T18:00:00,BLD-00001,80.224,0.0,379.85,0.0,1.774,1.827,0.653,80.224,17.9,47.3,489.0,106.0,11.8
2024-01-08T19:00:00,BLD-00001,84.104,0.0,399.593,0.0,1.745,1.796,0.644,84.104,17.62,49.1,458.0,156.0,9.7
2024-01-08T20:00:00,BLD-00001,91.367,0.0,435.919,0.0,1.744,1.795,0.644,91.367,17.86,43.8,513.0,165.0,16.2
2024-01-08T21:00:00,BLD-00001,92.092,0.0,438.288,0.0,1.851,1.909,0.675,92.092,18.85,48.4,513.0,136.0,12.5
2024-01-08T22:00:00,BLD-00001,93.08,0.0,444.606,0.0,1.734,1.784,0.641,93.08,17.57,46.6,471.0,97.0,13.3
