sample_id,liquid_limit_LL,plastic_limit_PL,plasticity_index_PI,water_content_percent,preconsolidation_stress_kPa,OCR,undrained_shear_strength_su_intact_kPa,undrained_shear_strength_su_remolded_kPa,sensitivity_St,pore_pressure_ratio_Ru,smectite_percent,kaolinite_percent,illite_percent,mixed_layer_other_percent
CLAY-0026,48.1,29.3,18.8,33.4,81.2,4.66,50.2,9.4,5.34,0.43,23.3,26.8,28.5,21.3
CLAY-0027,49.7,9.2,40.5,13.6,248.0,2.29,40.7,6.5,6.26,0.59,19.5,26.4,17.1,36.9
CLAY-0028,75.8,36.7,39.0,35.0,143.3,3.17,53.5,17.6,3.04,0.57,43.5,14.3,33.3,8.9
CLAY-0029,40.8,23.8,17.0,21.5,167.9,4.03,39.6,4.5,8.8,0.74,16.2,31.0,34.1,18.7
CLAY-0030,43.6,25.6,18.0,25.4,137.4,1.54,20.5,2.9,7.02,0.49,22.3,21.4,28.5,27.7
CLAY-0031,50.9,26.2,24.7,35.2,83.9,1.64,27.8,3.8,7.26,0.47,11.8,2.0,21.8,64.4
CLAY-0032,48.4,7.8,40.6,26.9,81.6,3.1,50.5,18.5,2.73,0.46,25.3,41.4,32.7,0.6
CLAY-0033,52.8,14.0,38.7,17.5,183.0,1.21,33.9,10.9,3.1,0.51,32.8,18.0,21.1,28.1
CLAY-0034,89.7,43.4,46.3,61.7,216.0,3.0,51.7,5.7,9.0,0.48,35.0,17.7,26.0,21.3
CLAY-0035,39.3,25.6,13.7,39.0,193.3,1.99,20.5,3.4,5.95,0.66,13.1,17.3,36.2,33.4
CLAY-0036,56.7,22.3,34.4,31.6,224.3,2.16,32.9,5.6,5.91,0.45,25.5,17.0,24.5,32.9
CLAY-0037,43.6,14.2,29.4,22.0,215.0,3.77,39.7,7.5,5.3,0.53,33.5,19.4,33.0,14.0
CLAY-0038,26.1,5.0,36.0,11.7,146.3,4.55,53.1,23.0,2.31,0.42,24.2,29.8,21.3,24.7
CLAY-0039,48.3,8.9,39.4,31.2,150.0,4.32,57.7,22.3,2.59,0.46,22.2,21.2,35.4,21.2
CLAY-0040,60.9,27.8,33.2,16.0,245.1,4.32,58.8,7.5,7.82,0.56,63.3,2.0,25.4,9.2
CLAY-0041,41.9,10.9,31.0,24.5,112.1,3.94,48.9,13.8,3.54,0.6,5.0,21.2,32.8,41.0
CLAY-0042,47.1,16.0,31.1,22.1,160.4,2.94,38.2,6.4,6.01,0.55,8.3,32.4,27.9,31.4
CLAY-0043,37.2,5.0,33.6,13.4,120.2,1.97,39.5,5.4,7.32,0.49,12.3,8.1,15.5,64.1
CLAY-0044,80.1,52.7,27.4,56.7,97.5,3.39,45.7,7.6,6.04,0.43,45.6,7.5,26.5,20.4
CLAY-0045,60.5,14.5,46.0,14.0,311.4,2.2,52.6,6.5,8.09,0.54,44.2,11.0,35.1,9.6
CLAY-0046,56.8,46.3,10.5,35.7,367.1,4.65,41.9,7.8,5.4,0.53,27.8,24.4,25.3,22.4
CLAY-0047,25.0,5.0,24.1,18.3,132.2,3.82,41.3,4.9,8.48,0.42,12.9,33.5,17.6,36.0
CLAY-0048,49.5,21.6,27.8,23.3,204.5,3.78,51.9,6.2,8.31,0.52,8.8,32.5,20.0,38.6
CLAY-0049,33.4,5.0,39.4,10.0,133.5,1.99,42.3,4.5,9.31,0.64,13.2,36.9,9.2,40.6
CLAY-0050,72.3,60.1,12.2,72.0,230.0,3.31,36.5,6.3,5.82,0.6,38.5,11.8,30.5,19.2
CLAY-0051,25.6,12.1,13.6,19.6,275.6,4.16,42.9,4.7,9.18,0.55,16.8,24.1,23.7,35.3
CLAY-0052,53.6,34.7,18.9,38.8,102.5,1.18,16.0,4.4,3.68,0.48,18.7,4.9,29.0,47.4
CLAY-0053,31.1,5.0,31.5,10.0,126.0,1.07,27.7,4.4,6.3,0.45,16.5,21.2,27.2,35.1
CLAY-0054,60.7,48.0,12.7,46.2,161.8,1.69,25.0,6.7,3.73,0.6,48.2,15.3,17.5,19.0
CLAY-0055,57.6,32.3,25.4,42.2,116.4,4.61,64.7,10.4,6.25,0.54,37.4,3.3,34.0,25.3
CLAY-0056,48.8,5.0,45.4,22.4,190.9,3.69,58.1,13.6,4.27,0.54,29.5,31.3,30.5,8.7
CLAY-0057,52.7,37.7,15.0,49.5,135.2,4.68,46.5,7.2,6.45,0.31,20.5,18.5,22.9,38.2
CLAY-0058,44.1,22.8,21.3,30.8,169.0,1.16,23.3,6.8,3.45,0.36,13.2,27.4,30.3,29.1
CLAY-0059,36.1,21.6,14.4,33.5,110.7,3.51,40.2,4.8,8.34,0.61,26.2,11.0,30.3,32.6
CLAY-0060,60.2,28.7,31.5,39.6,255.7,1.59,39.0,19.3,2.02,0.42,34.8,4.1,6.1,55.1
CLAY-0061,62.0,45.8,16.2,51.2,94.5,4.45,46.0,11.3,4.08,0.48,44.4,2.0,30.9,22.7
CLAY-0062,55.8,47.4,8.4,40.8,113.1,2.55,24.5,3.5,6.96,0.44,21.4,21.3,42.1,15.2
CLAY-0063,62.0,52.5,9.4,55.4,94.8,4.04,40.3,4.1,9.81,0.61,60.7,11.3,25.1,2.9
CLAY-0064,58.6,35.6,23.0,38.7,95.8,2.78,35.3,15.6,2.26,0.33,9.0,16.7,25.9,48.3
CLAY-0065,59.2,28.0,31.3,44.5,175.7,2.35,39.7,9.5,4.18,0.46,29.2,11.2,38.4,21.3
CLAY-0066,62.4,53.4,8.9,61.7,223.2,1.37,21.7,2.7,8.02,0.51,12.4,22.1,29.2,36.3
CLAY-0067,28.5,5.0,41.3,10.1,180.9,1.92,40.9,14.0,2.92,0.51,10.5,20.3,26.7,42.5
CLAY-0068,56.1,22.0,34.1,44.8,150.1,4.88,65.6,9.2,7.17,0.47,28.7,2.0,24.0,45.3
CLAY-0069,72.6,31.6,41.0,44.8,142.6,2.25,42.7,14.2,3.01,0.41,34.8,13.4,29.4,22.4
CLAY-0070,25.9,5.0,45.0,17.0,207.1,1.66,42.1,11.7,3.59,0.39,53.1,14.2,29.8,2.9
CLAY-0071,38.8,12.8,26.0,11.7,128.6,1.91,36.3,7.2,5.06,0.55,14.0,32.9,26.9,26.3
CLAY-0072,36.2,23.3,12.8,34.7,270.5,2.44,32.9,6.1,5.43,0.42,23.8,21.1,21.6,33.4
CLAY-0073,34.1,5.0,40.0,14.5,361.2,2.56,42.5,6.2,6.9,0.5,26.3,21.6,31.8,20.3
CLAY-0074,75.5,60.0,15.5,66.6,295.4,1.81,26.9,4.9,5.47,0.63,11.7,12.7,41.3,34.3
CLAY-0075,42.3,25.8,16.5,31.5,120.8,2.43,33.3,6.6,5.09,0.44,9.8,37.2,16.3,36.7
CLAY-0076,25.0,5.0,34.0,10.0,136.1,3.77,57.2,8.0,7.18,0.64,22.0,21.5,31.8,24.7
CLAY-0077,37.6,8.2,29.4,10.0,172.8,3.6,50.3,10.7,4.72,0.39,17.8,27.5,19.3,35.3
CLAY-0078,57.3,45.4,11.9,50.9,139.1,2.69,28.2,12.1,2.33,0.42,34.8,14.5,30.4,20.3
CLAY-0079,35.9,8.2,27.7,19.3,187.5,3.9,45.4,5.4,8.4,0.43,30.8,22.5,19.7,27.0
CLAY-0080,78.6,64.1,14.5,77.0,123.2,4.11,41.6,4.6,9.12,0.62,24.3,12.3,30.2,33.2
CLAY-0081,62.9,48.2,14.8,58.7,66.8,4.73,50.0,9.2,5.43,0.46,48.6,15.1,20.0,16.3
CLAY-0082,61.6,44.9,16.8,50.4,48.6,1.85,28.2,4.2,6.66,0.37,43.9,17.0,35.9,3.2
CLAY-0083,25.0,5.0,33.2,10.2,264.4,2.42,43.1,4.7,9.22,0.6,26.1,17.2,33.8,22.9
CLAY-0084,66.1,48.6,17.5,57.4,119.4,1.0,20.9,3.8,5.44,0.53,40.1,15.6,21.7,22.5
CLAY-0085,56.5,19.2,37.3,15.4,50.9,1.24,34.1,3.8,9.05,0.44,26.0,16.8,29.2,28.1
CLAY-0086,51.3,44.3,7.0,37.7,217.2,3.48,31.5,6.1,5.15,0.51,15.2,11.0,28.1,45.7
CLAY-0087,35.0,11.9,23.0,25.7,273.9,4.14,44.6,4.8,9.37,0.54,19.5,24.0,20.8,35.6
CLAY-0088,34.2,9.5,24.7,18.4,193.5,2.66,41.5,20.3,2.04,0.62,17.8,30.2,25.1,26.9
CLAY-0089,47.9,20.1,27.9,34.4,186.6,3.9,53.2,17.5,3.04,0.51,28.9,31.7,15.3,24.2
CLAY-0090,56.8,36.5,20.3,42.2,101.7,3.6,41.3,5.5,7.48,0.45,17.7,23.9,32.8,25.6
CLAY-0091,25.0,12.7,12.3,21.4,125.9,2.79,31.7,3.8,8.4,0.62,22.8,14.9,24.6,37.8
CLAY-0092,52.5,12.0,40.5,10.0,226.8,1.19,38.8,12.0,3.23,0.46,26.9,16.6,16.3,40.2
CLAY-0093,58.7,32.5,26.3,39.3,136.1,4.65,52.1,11.2,4.67,0.5,9.2,2.0,19.1,69.7
CLAY-0094,41.7,8.2,33.6,21.1,189.5,3.07,41.8,7.0,5.97,0.65,17.8,12.2,25.2,44.9
CLAY-0095,49.5,27.5,22.0,30.0,140.5,4.63,53.7,5.6,9.67,0.53,12.8,31.6,35.7,19.8
CLAY-0096,69.1,43.1,26.0,49.2,90.1,1.37,26.6,5.3,5.07,0.51,45.2,6.1,29.3,19.4
CLAY-0097,37.2,7.2,30.0,10.0,85.6,1.16,34.4,13.2,2.61,0.31,17.1,33.9,22.7,26.4
CLAY-0098,44.1,9.2,35.0,20.4,187.2,2.51,43.0,7.4,5.82,0.48,14.0,24.5,19.9,41.7
CLAY-0099,73.4,41.9,31.4,64.8,169.0,1.62,29.3,4.9,5.98,0.52,37.3,9.7,43.8,9.2
CLAY-0100,96.6,61.1,35.5,57.5,237.8,1.42,40.0,4.1,9.86,0.5,32.2,15.3,15.8,36.7
CLAY-0101,65.9,53.2,12.7,44.1,84.0,3.06,40.5,12.1,3.35,0.4,31.4,23.8,24.6,20.2
CLAY-0102,66.0,48.6,17.4,55.6,98.7,2.42,27.6,9.2,3.0,0.43,41.8,26.1,26.9,5.2
CLAY-0103,78.1,48.4,29.7,49.3,102.4,2.58,34.5,5.5,6.26,0.38,56.0,10.6,33.4,0.0
CLAY-0104,47.3,27.4,20.0,55.7,141.0,3.51,38.6,7.0,5.53,0.45,13.8,28.4,20.8,37.0
CLAY-0105,44.8,22.5,22.4,27.7,231.3,4.29,46.1,13.4,3.44,0.49,17.9,28.8,22.7,30.6
CLAY-0106,50.0,29.6,20.4,28.2,88.7,4.59,51.5,19.8,2.6,0.57,19.8,31.2,30.5,18.5
CLAY-0107,41.9,5.0,51.3,10.0,302.6,2.07,43.6,8.8,4.97,0.46,14.2,19.0,29.3,37.4
CLAY-0108,69.1,38.1,31.0,49.3,123.3,4.4,57.1,10.1,5.64,0.36,35.8,14.3,3.1,46.8
CLAY-0109,57.3,42.3,15.0,51.6,260.1,4.57,48.2,4.9,9.83,0.67,22.6,9.5,26.8,41.1
CLAY-0110,34.6,5.0,38.3,17.6,161.4,1.14,32.6,3.8,8.63,0.62,15.2,19.8,26.6,38.3
CLAY-0111,49.6,25.3,24.2,31.0,51.6,2.71,34.9,6.6,5.29,0.54,31.6,36.7,6.3,25.4
CLAY-0112,61.5,21.0,40.6,32.1,77.4,2.48,49.4,6.3,7.84,0.57,22.8,9.4,26.1,41.7
CLAY-0113,58.1,46.4,11.6,57.6,177.4,3.89,35.6,4.3,8.29,0.71,10.2,8.7,29.5,51.6
CLAY-0114,49.0,19.3,29.7,16.9,344.3,4.48,52.6,6.3,8.4,0.4,18.9,11.3,22.3,47.5
CLAY-0115,64.2,41.1,23.1,38.0,135.6,3.32,40.5,7.9,5.16,0.59,46.1,20.9,33.0,0.0
CLAY-0116,68.2,50.1,18.1,66.5,203.7,3.54,41.1,9.6,4.29,0.45,35.4,7.9,29.8,26.9
CLAY-0117,39.6,6.1,33.4,10.7,216.0,2.59,42.0,6.7,6.23,0.56,18.3,24.3,26.0,31.3
CLAY-0118,76.4,48.5,27.9,61.4,151.3,1.2,24.0,2.6,9.11,0.54,39.6,29.7,26.9,3.9
CLAY-0119,78.3,42.2,36.1,43.9,449.1,4.39,60.7,8.1,7.47,0.6,45.2,21.6,21.6,11.6
CLAY-0120,54.9,13.0,41.9,29.7,110.0,2.34,41.2,11.0,3.75,0.33,2.2,24.5,29.5,43.8
CLAY-0121,25.0,5.0,30.2,10.0,75.5,3.18,43.0,8.0,5.36,0.5,25.0,36.2,25.4,13.4
CLAY-0122,38.6,19.0,19.7,22.8,142.3,1.67,30.8,11.4,2.69,0.42,25.7,27.1,22.6,24.6
CLAY-0123,41.3,27.8,13.4,30.8,136.1,2.59,35.2,17.1,2.06,0.49,29.7,21.4,26.1,22.8
CLAY-0124,58.1,31.5,26.6,30.4,36.3,3.91,46.3,9.6,4.84,0.45,19.6,5.7,21.8,52.8
CLAY-0125,39.1,21.3,17.8,31.2,83.5,3.25,32.8,5.1,6.41,0.29,26.0,25.0,27.5,21.5
CLAY-0126,41.6,23.3,18.3,32.9,292.2,1.45,26.6,3.4,7.91,0.48,33.3,38.0,21.4,7.3
CLAY-0127,41.4,17.1,24.3,18.9,267.0,1.78,27.2,3.2,8.6,0.56,14.5,30.6,35.8,19.0
CLAY-0128,25.0,5.0,35.4,10.0,67.4,1.03,27.4,11.7,2.33,0.36,19.4,26.5,18.3,35.8
CLAY-0129,45.0,27.6,17.3,33.2,186.5,3.97,34.7,4.9,7.04,0.48,21.0,26.5,28.8,23.8
CLAY-0130,36.9,11.0,25.9,32.9,253.6,2.62,36.0,6.4,5.62,0.53,19.2,23.7,26.7,30.4
CLAY-0131,60.0,40.4,19.6,35.9,167.4,3.22,42.1,12.1,3.48,0.28,29.5,24.5,30.2,15.7
CLAY-0132,69.9,53.8,16.1,57.2,57.3,1.93,27.7,4.7,5.84,0.36,29.3,25.5,28.9,16.3
CLAY-0133,75.9,56.4,19.5,66.0,253.7,1.65,22.2,5.4,4.09,0.52,45.1,39.6,15.3,0.0
CLAY-0134,37.9,18.8,19.1,20.5,116.6,3.11,38.9,4.3,9.02,0.43,18.7,20.1,12.2,48.9
CLAY-0135,58.4,30.0,28.4,41.2,166.3,3.26,31.5,9.4,3.37,0.32,32.7,8.0,19.0,40.3
CLAY-0136,41.9,5.0,42.4,11.2,196.8,4.02,61.2,13.7,4.47,0.58,4.3,24.0,20.9,50.8
CLAY-0137,50.7,27.0,23.7,29.8,174.1,1.66,27.3,2.9,9.57,0.5,14.2,24.1,39.5,22.2
CLAY-0138,49.5,33.2,16.3,42.2,158.2,3.66,41.5,6.1,6.79,0.71,24.7,31.2,37.5,6.5
CLAY-0139,63.5,47.5,16.0,59.7,122.5,3.13,31.4,4.0,7.81,0.4,41.6,7.3,20.2,30.9
CLAY-0140,48.3,38.5,9.8,48.6,272.2,1.46,23.3,2.6,9.03,0.66,6.3,31.0,29.8,33.0
CLAY-0141,36.4,8.9,27.5,12.7,209.0,2.92,36.3,5.1,7.18,0.56,24.9,25.5,22.7,26.9
CLAY-0142,52.6,34.0,18.6,43.2,37.2,4.98,51.6,15.1,3.42,0.35,28.9,10.5,14.9,45.8
CLAY-0143,68.5,55.6,12.9,56.6,110.9,4.32,44.8,15.6,2.87,0.39,44.5,20.9,29.5,5.0
CLAY-0144,29.8,11.0,18.8,10.0,133.7,2.3,23.2,4.3,5.34,0.39,17.8,23.9,23.0,35.2
CLAY-0145,30.8,6.6,24.2,15.8,169.2,1.17,24.6,3.7,6.57,0.43,30.3,25.6,26.3,17.8
CLAY-0146,46.9,38.9,8.0,45.9,156.0,1.16,11.5,2.6,4.44,0.53,11.3,44.8,27.5,16.5
CLAY-0147,58.1,36.4,21.7,35.8,445.4,3.64,50.6,17.4,2.91,0.38,20.3,13.0,41.8,24.9
CLAY-0148,25.7,18.7,7.0,21.2,112.0,2.14,25.7,5.7,4.53,0.5,20.2,35.3,23.9,20.6
CLAY-0149,49.8,22.2,27.6,35.6,217.2,1.08,32.1,3.8,8.41,0.59,17.0,25.8,34.5,22.7
CLAY-0150,64.9,53.8,11.1,54.2,432.9,2.1,28.0,5.5,5.13,0.42,46.7,20.9,32.4,0.0
CLAY-0151,73.2,60.7,12.4,69.1,52.7,3.68,42.1,5.4,7.77,0.4,33.2,21.9,22.6,22.3
CLAY-0152,51.3,23.7,27.6,21.1,344.4,3.22,42.8,6.2,6.88,0.58,8.9,20.5,17.6,52.9
CLAY-0153,35.8,11.3,24.5,10.0,108.5,2.62,37.5,3.9,9.58,0.42,25.6,5.2,15.1,54.1
CLAY-0154,61.6,36.4,25.2,35.2,90.9,2.9,41.0,5.2,7.87,0.39,58.8,16.5,24.8,0.0
CLAY-0155,53.9,34.3,19.6,38.3,402.8,2.97,39.6,4.3,9.27,0.65,21.2,16.6,32.9,29.3
CLAY-0156,39.1,7.5,31.7,12.3,120.1,1.53,30.0,8.2,3.67,0.53,33.8,42.3,18.9,5.0
CLAY-0157,52.3,27.8,24.5,25.1,118.9,4.38,52.8,12.7,4.17,0.33,11.6,20.0,29.2,39.2
CLAY-0158,66.5,56.7,9.8,76.5,215.2,2.01,22.1,2.5,8.99,0.46,40.8,2.2,29.9,27.2
CLAY-0159,68.9,36.8,32.1,36.5,100.4,3.96,47.1,7.0,6.7,0.34,35.7,7.4,20.1,36.9
CLAY-0160,25.0,18.0,7.0,14.0,185.7,1.68,17.0,6.9,2.46,0.44,29.8,13.5,18.3,38.5
CLAY-0161,44.0,19.4,24.6,25.2,159.4,3.41,43.1,10.3,4.2,0.6,14.4,26.1,26.4,33.1
CLAY-0162,33.9,8.5,25.4,10.0,199.7,3.5,47.6,6.5,7.36,0.54,33.0,30.6,18.5,17.9
CLAY-0163,51.8,19.7,32.1,25.9,129.0,1.13,27.8,11.3,2.46,0.37,28.8,16.1,25.9,29.2
CLAY-0164,47.6,5.0,52.9,10.0,211.4,1.19,40.6,19.5,2.08,0.42,16.3,42.3,29.8,11.6
CLAY-0165,39.2,10.1,29.1,10.0,227.9,4.3,43.9,5.1,8.56,0.53,21.3,15.5,33.6,29.6
CLAY-0166,83.2,53.0,30.2,57.8,205.0,2.66,41.2,5.6,7.33,0.55,51.6,7.9,24.9,15.6
CLAY-0167,62.3,19.0,43.3,33.8,119.2,1.06,32.3,3.3,9.66,0.53,49.0,9.6,2.0,39.5
CLAY-0168,31.3,5.0,44.4,13.8,114.3,2.23,52.5,6.8,7.68,0.21,37.3,30.7,23.1,8.8
CLAY-0169,28.9,7.9,20.9,15.7,432.2,3.08,38.8,7.9,4.91,0.48,24.5,25.7,29.7,20.1
CLAY-0170,52.1,24.1,28.0,35.2,85.9,2.93,45.0,22.0,2.05,0.43,15.6,7.8,27.5,49.2
CLAY-0171,54.0,26.5,27.6,16.9,97.9,2.02,35.4,8.7,4.07,0.28,2.0,5.3,26.3,66.3
CLAY-0172,54.6,25.3,29.4,34.8,159.5,1.14,22.3,3.7,6.03,0.48,21.3,18.3,15.0,45.4
CLAY-0173,50.5,22.3,28.2,23.8,152.7,1.26,26.4,3.9,6.75,0.63,10.7,4.3,15.3,69.7
CLAY-0174,81.1,53.9,27.2,43.3,420.7,2.21,31.5,5.3,6.01,0.48,36.1,15.2,16.3,32.4
CLAY-0175,46.7,13.9,32.9,24.4,244.5,2.68,35.8,7.7,4.66,0.54,27.0,24.7,18.2,30.1
CLAY-0176,68.8,49.1,19.7,64.1,82.0,2.7,31.9,3.3,9.65,0.7,52.8,18.3,28.9,0.0
CLAY-0177,55.4,29.5,25.9,27.4,27.3,2.47,36.2,11.9,3.04,0.6,19.8,2.3,37.4,40.5
CLAY-0178,34.0,13.8,20.3,27.2,106.4,4.94,55.2,9.0,6.11,0.39,38.0,40.8,10.5,10.8
CLAY-0179,63.2,34.3,28.9,32.6,161.0,4.01,42.6,12.2,3.49,0.48,52.6,22.0,25.3,0.0
CLAY-0180,46.4,20.6,25.8,23.7,96.8,3.44,41.6,11.1,3.76,0.34,2.0,36.3,25.4,36.3
CLAY-0181,31.4,11.6,19.8,21.4,115.9,2.29,36.2,4.7,7.73,0.51,12.2,20.4,12.4,55.1
CLAY-0182,34.5,5.0,31.8,11.7,69.3,1.19,31.7,4.7,6.7,0.56,15.4,28.8,15.1,40.7
CLAY-0183,39.6,12.7,26.8,29.8,104.2,4.36,54.6,7.7,7.1,0.6,17.8,6.9,22.2,53.2
CLAY-0184,25.0,16.1,8.9,30.1,223.4,1.7,18.0,2.4,7.55,0.59,6.4,24.8,22.4,46.4
CLAY-0185,41.1,5.0,37.9,11.2,218.4,1.17,31.8,3.6,8.74,0.76,12.4,38.2,18.0,31.5
CLAY-0186,45.7,21.5,24.2,13.0,118.2,1.19,25.9,2.7,9.62,0.64,18.6,20.3,31.2,29.9
CLAY-0187,45.4,38.4,7.0,49.0,359.8,1.33,8.4,2.6,3.27,0.33,16.9,36.6,22.7,23.8
CLAY-0188,68.5,60.3,8.2,64.7,244.2,4.4,48.1,4.9,9.75,0.5,26.2,13.0,26.1,34.7
CLAY-0189,42.1,8.5,33.6,12.4,124.7,2.31,46.6,9.1,5.11,0.51,11.8,16.3,31.9,40.0
CLAY-0190,55.0,29.7,25.4,35.5,158.2,4.22,51.7,6.7,7.72,0.62,14.7,9.3,30.0,46.0
CLAY-0191,49.1,22.0,27.0,46.3,56.2,1.26,23.7,7.2,3.29,0.55,16.7,29.8,16.1,37.4
CLAY-0192,76.1,49.6,26.5,58.4,218.8,1.95,27.8,8.8,3.15,0.35,34.8,26.6,29.3,9.2
CLAY-0193,54.2,37.5,16.7,46.3,206.0,2.45,28.5,5.5,5.14,0.47,18.4,15.9,17.5,48.2
CLAY-0194,69.0,57.5,11.6,70.4,145.4,3.61,32.9,3.6,9.18,0.46,51.2,22.7,11.4,14.7
CLAY-0195,60.5,45.3,15.2,49.9,227.7,3.22,38.8,6.4,6.03,0.71,42.6,15.2,17.9,24.4
CLAY-0196,35.1,11.9,23.2,21.1,261.2,4.65,52.4,17.4,3.02,0.43,39.0,17.2,43.8,0.0
CLAY-0197,65.4,39.5,25.8,41.6,184.5,3.79,52.2,7.9,6.6,0.53,39.3,11.2,27.4,22.1
CLAY-0198,70.3,53.6,16.7,65.7,109.0,3.6,38.2,3.8,9.98,0.37,35.0,16.7,36.4,11.9
CLAY-0199,37.2,5.5,31.7,18.2,163.5,4.55,61.7,7.8,7.93,0.56,21.4,18.6,26.2,33.9
CLAY-0200,32.3,5.0,39.2,19.6,128.6,2.59,46.3,20.1,2.31,0.45,36.9,35.1,24.5,3.5
CLAY-0201,54.2,44.3,9.9,62.7,77.4,1.27,19.3,5.9,3.3,0.37,8.3,22.4,36.7,32.7
CLAY-0202,49.2,20.6,28.6,15.0,116.7,4.8,63.6,8.7,7.35,0.54,27.5,18.7,24.4,29.5
CLAY-0203,60.2,22.3,37.9,33.4,99.3,1.15,34.2,4.6,7.45,0.62,55.9,10.8,22.6,10.7
CLAY-0204,51.2,24.8,26.3,30.7,239.3,3.99,51.4,9.2,5.59,0.5,2.9,12.6,30.9,53.5
CLAY-0205,40.6,5.5,35.1,10.0,321.3,1.9,37.9,18.0,2.11,0.43,13.3,22.0,28.4,36.3
CLAY-0206,31.8,5.0,34.2,10.0,271.1,1.18,26.9,11.1,2.42,0.33,12.1,28.5,26.4,33.0
CLAY-0207,39.4,10.3,29.0,17.3,175.0,4.57,50.7,8.4,6.02,0.55,34.2,22.1,24.1,19.7
CLAY-0208,56.9,41.0,15.9,44.6,127.9,1.02,20.2,3.8,5.39,0.29,22.2,2.0,30.3,45.5
CLAY-0209,56.2,24.4,31.8,34.4,138.1,2.0,37.3,18.3,2.04,0.38,2.0,7.0,19.1,71.9
CLAY-0210,41.4,27.9,13.5,33.4,188.6,1.79,29.3,3.1,9.55,0.45,16.7,32.3,28.7,22.3
CLAY-0211,59.7,48.0,11.6,63.0,214.9,1.43,26.4,2.7,9.71,0.55,7.5,20.3,26.7,45.4
CLAY-0212,63.9,45.8,18.1,54.0,88.4,2.4,38.2,9.2,4.14,0.51,31.1,24.0,30.3,14.6
CLAY-0213,25.0,5.0,44.2,10.0,112.4,1.77,41.0,6.6,6.24,0.52,26.8,14.9,25.6,32.6
