borehole_id,sample_id,depth_m,su_kPa
BH-012,CLAY-0294,2.0,61.4
BH-012,CLAY-0294,3.0,67.3
BH-012,CLAY-0294,4.0,69.0
BH-012,CLAY-0294,5.0,74.3
BH-012,CLAY-0294,6.0,78.6
BH-012,CLAY-0294,7.0,83.0
BH-012,CLAY-0294,8.0,88.0
BH-012,CLAY-0294,9.0,90.7
BH-012,CLAY-0294,10.0,92.4
BH-012,CLAY-0294,11.0,94.5
BH-012,CLAY-0294,12.0,101.0
BH-012,CLAY-0294,13.0,103.5
BH-012,CLAY-0294,14.0,109.0
BH-012,CLAY-0294,15.0,114.6
BH-012,CLAY-0294,16.0,118.0
BH-012,CLAY-0294,17.0,123.7
BH-012,CLAY-0294,18.0,124.8
BH-012,CLAY-0294,19.0,127.4
BH-012,CLAY-0294,20.0,130.3
BH-013,CLAY-0181,0.0,35.7
BH-013,CLAY-0181,1.0,39.4
BH-013,CLAY-0181,2.0,40.6
BH-013,CLAY-0181,3.0,43.0
BH-013,CLAY-0181,4.0,42.3
BH-013,CLAY-0181,5.0,47.2
BH-013,CLAY-0181,6.0,46.3
BH-013,CLAY-0181,7.0,54.4
BH-013,CLAY-0181,8.0,53.2
BH-013,CLAY-0181,9.0,55.5
BH-013,CLAY-0181,10.0,54.8
BH-013,CLAY-0181,11.0,59.1
BH-013,CLAY-0181,12.0,60.6
BH-013,CLAY-0181,13.0,65.9
BH-013,CLAY-0181,14.0,66.8
BH-013,CLAY-0181,15.0,68.1
BH-013,CLAY-0181,16.0,68.2
BH-013,CLAY-0181,17.0,69.2
BH-013,CLAY-0181,18.0,73.3
BH-013,CLAY-0181,19.0,76.2
BH-013,CLAY-0181,20.0,79.1
BH-014,CLAY-0085,0.0,33.6
BH-014,CLAY-0085,1.0,36.9
BH-014,CLAY-0085,2.0,35.6
BH-014,CLAY-0085,3.0,37.1
BH-014,CLAY-0085,4.0,38.5
BH-014,CLAY-0085,5.0,40.7
BH-014,CLAY-0085,6.0,42.5
BH-014,CLAY-0085,7.0,45.8
BH-014,CLAY-0085,8.0,43.5
BH-014,CLAY-0085,9.0,45.6
BH-014,CLAY-0085,10.0,47.8
BH-014,CLAY-0085,11.0,47.6
BH-014,CLAY-0085,12.0,47.0
BH-014,CLAY-0085,13.0,50.5
BH-014,CLAY-0085,14.0,48.5
BH-014,CLAY-0085,15.0,50.0
BH-014,CLAY-0085,16.0,53.9
BH-014,CLAY-0085,17.0,53.6
BH-014,CLAY-0085,18.0,54.2
BH-014,CLAY-0085,19.0,57.5
BH-014,CLAY-0085,20.0,55.7
BH-015,CLAY-0218,0.0,42.1
BH-015,CLAY-0218,1.0,45.9
BH-015,CLAY-0218,2.0,47.1
BH-015,CLAY-0218,3.0,50.8
BH-015,CLAY-0218,4.0,53.1
BH-015,CLAY-0218,5.0,58.3
BH-015,CLAY-0218,6.0,61.8
BH-015,CLAY-0218,7.0,67.7
BH-015,CLAY-0218,8.0,66.5
BH-015,CLAY-0218,9.0,69.7
BH-015,CLAY-0218,10.0,72.5
BH-015,CLAY-0218,11.0,77.7
BH-015,CLAY-0218,12.0,80.5
BH-015,CLAY-0218,13.0,78.4
BH-015,CLAY-0218,14.0,83.6
BH-015,CLAY-0218,15.0,84.6
BH-015,CLAY-0218,16.0,92.5
BH-015,CLAY-0218,17.0,92.7
BH-015,CLAY-0218,18.0,94.7
BH-015,CLAY-0218,19.0,98.8
BH-015,CLAY-0218,20.0,103.4
BH-016,CLAY-0086,0.0,30.1
BH-016,CLAY-0086,1.0,34.9
BH-016,CLAY-0086,2.0,38.6
BH-016,CLAY-0086,3.0,40.6
BH-016,CLAY-0086,4.0,45.4
BH-016,CLAY-0086,5.0,48.2
BH-016,CLAY-0086,6.0,49.2
BH-016,CLAY-0086,7.0,51.8
BH-016,CLAY-0086,8.0,53.9
BH-016,CLAY-0086,9.0,57.4
BH-016,CLAY-0086,10.0,61.8
BH-016,CLAY-0086,11.0,63.2
BH-016,CLAY-0086,12.0,67.1
BH-016,CLAY-0086,13.0,69.1
BH-016,CLAY-0086,14.0,72.6
BH-016,CLAY-0086,15.0,75.0
BH-016,CLAY-0086,16.0,80.1
BH-016,CLAY-0086,17.0,81.7
BH-016,CLAY-0086,18.0,84.1
BH-016,CLAY-0086,19.0,86.1
BH-016,CLAY-0086,20.0,91.0
BH-017,CLAY-0173,0.0,22.8
BH-017,CLAY-0173,1.0,27.0
BH-017,CLAY-0173,2.0,27.2
BH-017,CLAY-0173,3.0,29.4
BH-017,CLAY-0173,4.0,31.6
BH-017,CLAY-0173,5.0,33.4
BH-017,CLAY-0173,6.0,34.5
BH-017,CLAY-0173,7.0,33.7
BH-017,CLAY-0173,8.0,34.4
BH-017,CLAY-0173,9.0,39.3
BH-017,CLAY-0173,10.0,38.4
BH-017,CLAY-0173,11.0,38.6
BH-017,CLAY-0173,12.0,41.8
BH-017,CLAY-0173,13.0,41.3
BH-017,CLAY-0173,14.0,45.7
BH-017,CLAY-0173,15.0,46.6
BH-017,CLAY-0173,16.0,46.1
BH-017,CLAY-0173,17.0,45.4
BH-017,CLAY-0173,18.0,48.8
BH-017,CLAY-0173,19.0,51.1
BH-017,CLAY-0173,20.0,50.1
BH-018,CLAY-0073,0.0,43.7
BH-018,CLAY-0073,1.0,44.4
BH-018,CLAY-0073,2.0,48.1
BH-018,CLAY-0073,3.0,51.8
BH-018,CLAY-0073,4.0,51.4
BH-018,CLAY-0073,5.0,52.0
BH-018,CLAY-0073,6.0,58.2
BH-018,CLAY-0073,7.0,58.4
BH-018,CLAY-0073,8.0,59.7
BH-018,CLAY-0073,9.0,60.0
BH-018,CLAY-0073,10.0,64.9
BH-018,CLAY-0073,11.0,65.1
BH-018,CLAY-0073,12.0,70.0
BH-018,CLAY-0073,13.0,76.5
BH-018,CLAY-0073,14.0,73.7
BH-018,CLAY-0073,15.0,76.2
BH-018,CLAY-0073,16.0,80.3
BH-018,CLAY-0073,17.0,79.0
BH-018,CLAY-0073,18.0,80.9
BH-018,CLAY-0073,19.0,85.3
BH-018,CLAY-0073,20.0,88.7
BH-019,CLAY-0260,0.0,49.6
BH-019,CLAY-0260,1.0,52.3
BH-019,CLAY-0260,2.0,52.2
BH-019,CLAY-0260,3.0,55.6
BH-019,CLAY-0260,4.0,58.0
BH-019,CLAY-0260,5.0,59.6
BH-019,CLAY-0260,6.0,61.2
BH-019,CLAY-0260,7.0,65.1
BH-019,CLAY-0260,8.0,67.5
BH-019,CLAY-0260,9.0,70.1
BH-019,CLAY-0260,10.0,71.7
BH-019,CLAY-0260,11.0,74.5
BH-019,CLAY-0260,12.0,77.5
BH-019,CLAY-0260,13.0,80.0
BH-019,CLAY-0260,14.0,84.1
BH-019,CLAY-0260,15.0,84.7
BH-019,CLAY-0260,16.0,85.5
BH-019,CLAY-0260,17.0,87.1
BH-019,CLAY-0260,18.0,93.1
BH-019,CLAY-0260,19.0,94.7
BH-019,CLAY-0260,20.0,94.6
BH-020,CLAY-0257,0.0,47.8
BH-020,CLAY-0257,1.0,51.1
BH-020,CLAY-0257,2.0,53.0
BH-020,CLAY-0257,3.0,57.4
BH-020,CLAY-0257,4.0,59.0
BH-020,CLAY-0257,5.0,63.9
BH-020,CLAY-0257,6.0,66.4
BH-020,CLAY-0257,7.0,72.1
BH-020,CLAY-0257,8.0,74.4
BH-020,CLAY-0257,9.0,79.0
BH-020,CLAY-0257,10.0,81.0
BH-020,CLAY-0257,11.0,85.8
BH-020,CLAY-0257,12.0,88.2
BH-020,CLAY-0257,13.0,93.5
BH-020,CLAY-0257,14.0,95.0
BH-020,CLAY-0257,15.0,98.4
BH-020,CLAY-0257,16.0,104.2
BH-020,CLAY-0257,17.0,106.5
BH-020,CLAY-0257,18.0,108.2
BH-020,CLAY-0257,19.0,112.1
BH-020,CLAY-0257,20.0,116.0
BH-021,CLAY-0339,0.0,48.8
BH-021,CLAY-0339,1.0,53.1
BH-021,CLAY-0339,2.0,58.4
BH-021,CLAY-0339,3.0,64.1
BH-021,CLAY-0339,4.0,62.8
BH-021,CLAY-0339,5.0,64.7
BH-021,CLAY-0339,6.0,71.1
BH-021,CLAY-0339,7.0,71.4
BH-021,CLAY-0339,8.0,77.4
BH-021,CLAY-0339,9.0,79.0
BH-021,CLAY-0339,10.0,83.0
BH-021,CLAY-0339,11.0,84.9
BH-021,CLAY-0339,12.0,90.2
BH-021,CLAY-0339,13.0,95.4
BH-021,CLAY-0339,14.0,94.0
BH-021,CLAY-0339,15.0,103.7
BH-021,CLAY-0339,16.0,101.7
BH-021,CLAY-0339,17.0,104.4
BH-021,CLAY-0339,18.0,104.6
BH-021,CLAY-0339,19.0,109.9
BH-021,CLAY-0339,20.0,113.8
BH-022,CLAY-0130,0.0,38.4
BH-022,CLAY-0130,1.0,36.9
BH-022,CLAY-0130,2.0,43.9
BH-022,CLAY-0130,3.0,44.3
BH-022,CLAY-0130,4.0,44.8
BH-022,CLAY-0130,5.0,50.0
BH-022,CLAY-0130,6.0,49.7
BH-022,CLAY-0130,7.0,52.7
BH-022,CLAY-0130,8.0,55.4
BH-022,CLAY-0130,9.0,56.6
BH-022,CLAY-0130,10.0,60.1
BH-022,CLAY-0130,11.0,60.1
BH-022,CLAY-0130,12.0,63.2
BH-022,CLAY-0130,13.0,63.3
BH-022,CLAY-0130,14.0,68.5
BH-022,CLAY-0130,15.0,68.3
BH-022,CLAY-0130,16.0,77.4
BH-022,CLAY-0130,17.0,75.9
BH-022,CLAY-0130,18.0,77.2
BH-022,CLAY-0130,19.0,76.8
BH-022,CLAY-0130,20.0,83.8
BH-023,CLAY-0232,0.0,18.5
BH-023,CLAY-0232,1.0,19.9
BH-023,CLAY-0232,2.0,21.6
BH-023,CLAY-0232,3.0,22.4
BH-023,CLAY-0232,4.0,24.5
BH-023,CLAY-0232,5.0,25.6
BH-023,CLAY-0232,6.0,28.1
BH-023,CLAY-0232,7.0,29.3
BH-023,CLAY-0232,8.0,29.0
BH-023,CLAY-0232,9.0,30.5
BH-023,CLAY-0232,10.0,36.4
BH-023,CLAY-0232,11.0,35.1
BH-023,CLAY-0232,12.0,35.5
BH-023,CLAY-0232,13.0,37.2
BH-023,CLAY-0232,14.0,35.7
BH-023,CLAY-0232,15.0,40.9
BH-023,CLAY-0232,16.0,39.4
BH-023,CLAY-0232,17.0,43.0
BH-023,CLAY-0232,18.0,42.2
BH-023,CLAY-0232,19.0,44.4
BH-023,CLAY-0232,20.0,43.5
BH-024,CLAY-0265,0.0,56.5
BH-024,CLAY-0265,1.0,61.1
BH-024,CLAY-0265,2.0,62.9
BH-024,CLAY-0265,3.0,67.4
BH-024,CLAY-0265,4.0,67.8
BH-024,CLAY-0265,5.0,70.4
BH-024,CLAY-0265,6.0,73.6
BH-024,CLAY-0265,7.0,76.9
BH-024,CLAY-0265,8.0,80.8
BH-024,CLAY-0265,9.0,82.4
BH-024,CLAY-0265,10.0,86.2
BH-024,CLAY-0265,11.0,88.7
BH-024,CLAY-0265,12.0,89.2
BH-024,CLAY-0265,13.0,95.1
BH-024,CLAY-0265,14.0,93.0
BH-024,CLAY-0265,15.0,99.7
BH-024,CLAY-0265,16.0,100.3
BH-024,CLAY-0265,17.0,100.9
BH-024,CLAY-0265,18.0,106.0
BH-024,CLAY-0265,19.0,108.3
BH-024,CLAY-0265,20.0,111.3
