phase,time_min,x_position_mm,y_position_mm,temperature_C,thermal_strain,estimated_residual_stress_MPa,distance_from_center_mm
cool_500C,1046.6666666666667,50,90,476.8334444280195,-0.009168248833505796,-779.3011508479926,40.0
cool_200C,1196.6666666666667,50,90,192.02293531479037,-0.0121587591791947,-1215.87591791947,40.0
cool_ambient,1284.1666666666667,50,90,23.977118291686182,-0.013923240257937295,-1392.3240257937296,40.0
sintering_peak,531.6666666666667,70,10,1280.667662296126,-0.0007279895458906762,-61.87911140070747,44.721359549995796
sintering_end,621.6666666666667,70,10,1281.5275342937093,-0.000718960889916052,-61.11167564286442,44.721359549995796
cool_500C,1046.6666666666667,70,10,474.993643990622,-0.009187566738098469,-780.9431727383699,44.721359549995796
cool_200C,1196.6666666666667,70,10,189.90886670638835,-0.012180956899582922,-1218.0956899582923,44.721359549995796
cool_ambient,1284.1666666666667,70,10,23.694186815591927,-0.013926211038436285,-1392.6211038436284,44.721359549995796
sintering_peak,531.6666666666667,70,30,1306.4762272465725,-0.0004569996139109884,-38.84496718243401,28.284271247461902
sintering_end,621.6666666666667,70,30,1306.421912959884,-0.0004575699139212189,-38.893442683303604,28.284271247461902
cool_500C,1046.6666666666667,70,30,484.29164637332883,-0.009089937713080047,-772.644705611804,28.284271247461902
cool_200C,1196.6666666666667,70,30,193.83288040048237,-0.012139754755794936,-1213.9754755794936,28.284271247461902
cool_ambient,1284.1666666666667,70,30,23.42626074557198,-0.013929024262171495,-1392.9024262171495,28.284271247461902
sintering_peak,531.6666666666667,70,50,1319.1344913976664,-0.00032408784032450326,-27.547466427582776,20.0
sintering_end,621.6666666666667,70,50,1318.6771934168005,-0.0003288894691235948,-27.95560487550556,20.0
cool_500C,1046.6666666666667,70,50,488.607406669089,-0.009044622229974566,-768.7928895478381,20.0
cool_200C,1196.6666666666667,70,50,195.60130633492784,-0.012121186283483257,-1212.1186283483257,20.0
cool_ambient,1284.1666666666667,70,50,23.91093128784074,-0.013923935221477673,-1392.3935221477673,20.0
sintering_peak,531.6666666666667,70,70,1306.4016263381354,-0.000457782923449578,-38.91154849321413,28.284271247461902
sintering_end,621.6666666666667,70,70,1305.88561657338,-0.00046320102597950945,-39.3720872082583,28.284271247461902
cool_500C,1046.6666666666667,70,70,483.3960105784549,-0.009099341888926223,-773.4440605587289,28.284271247461902
cool_200C,1196.6666666666667,70,70,193.18894430672464,-0.012146516084779391,-1214.6516084779391,28.284271247461902
cool_ambient,1284.1666666666667,70,70,23.94855122534702,-0.013923540212133855,-1392.3540212133855,28.284271247461902
sintering_peak,531.6666666666667,70,90,1281.6386039806603,-0.0007177946582030671,-61.012545947260705,44.721359549995796
sintering_end,621.6666666666667,70,90,1282.0587975805406,-0.0007133826254043235,-60.637523159367504,44.721359549995796
cool_500C,1046.6666666666667,70,90,474.79176623167064,-0.009189686454567457,-781.1233486382339,44.721359549995796
cool_200C,1196.6666666666667,70,90,189.49542604049626,-0.012185298026574788,-1218.5298026574787,44.721359549995796
cool_ambient,1284.1666666666667,70,90,23.89861913612311,-0.013924064499070705,-1392.4064499070705,44.721359549995796
sintering_peak,531.6666666666667,90,10,1263.1700697303504,-0.0009117142678313207,-77.49571276566225,56.568542494923804
sintering_end,621.6666666666667,90,10,1264.1574778343713,-0.0009013464827391011,-76.6144510328236,56.568542494923804
cool_500C,1046.6666666666667,90,10,467.3654656104457,-0.00926766261109032,-787.7513219426772,56.568542494923804
cool_200C,1196.6666666666667,90,10,186.71259117842507,-0.012214517792626535,-1221.4517792626536,56.568542494923804
cool_ambient,1284.1666666666667,90,10,23.527729411510894,-0.013927958841179136,-1392.7958841179134,56.568542494923804
sintering_peak,531.6666666666667,90,30,1281.276509780395,-0.0007215966473058534,-61.33571502099754,44.721359549995796
sintering_end,621.6666666666667,90,30,1281.8069548686685,-0.0007160269738789804,-60.862292779713336,44.721359549995796
cool_500C,1046.6666666666667,90,30,473.58419913040194,-0.00920236590913078,-782.2011022761162,44.721359549995796
cool_200C,1196.6666666666667,90,30,190.16902809727202,-0.012178225204978643,-1217.8225204978642,44.721359549995796
cool_ambient,1284.1666666666667,90,30,23.47960840194875,-0.013928464111779537,-1392.8464111779538,44.721359549995796
sintering_peak,531.6666666666667,90,50,1287.997374158788,-0.0006510275713327256,-55.33734356328168,40.0
sintering_end,621.6666666666667,90,50,1289.7221158702894,-0.0006329177833619615,-53.79801158576673,40.0
cool_500C,1046.6666666666667,90,50,477.89145400901856,-0.009157139732905304,-778.3568772969509,40.0
cool_200C,1196.6666666666667,90,50,191.0779508582832,-0.012168681515988026,-1216.8681515988026,40.0
cool_ambient,1284.1666666666667,90,50,24.251883452568766,-0.013920355223748028,-1392.035522374803,40.0
sintering_peak,531.6666666666667,90,70,1281.7750347946292,-0.0007163621346563937,-60.890781445793465,44.721359549995796
sintering_end,621.6666666666667,90,70,1282.8201901009124,-0.0007053880039404193,-59.95798033493564,44.721359549995796
cool_500C,1046.6666666666667,90,70,474.71533603172355,-0.009190488971666902,-781.1915625916866,44.721359549995796
cool_200C,1196.6666666666667,90,70,189.0289761696263,-0.012190195750218923,-1219.0195750218923,44.721359549995796
cool_ambient,1284.1666666666667,90,70,22.937363455009628,-0.013934157683722399,-1393.4157683722399,44.721359549995796
sintering_peak,531.6666666666667,90,90,1263.3266483029145,-0.0009100701928193981,-77.35596638964884,56.568542494923804
sintering_end,621.6666666666667,90,90,1263.5648277754906,-0.0009075693083573488,-77.14339121037465,56.568542494923804
cool_500C,1046.6666666666667,90,90,468.0501335160269,-0.009260473598081718,-787.140255836946,56.568542494923804
cool_200C,1196.6666666666667,90,90,186.64070192281125,-0.01221527262981048,-1221.5272629810481,56.568542494923804
cool_ambient,1284.1666666666667,90,90,23.65576304546915,-0.013926614488022572,-1392.6614488022574,56.568542494923804
