Sample_ID,Location,Depth_m,Gravel_percent,Coarse_Sand_percent,Medium_Sand_percent,Fine_Sand_percent,Silt_percent,Clay_percent,D5_mm,D10_mm,D15_mm,D30_mm,D50_mm,D60_mm,D85_mm,D95_mm,Cu,Cc,USCS_Classification,Soil_Description
GSD012,Guangdong_Delta,4.2,0.8,9.8,33.5,41.1,11.3,3.5,0.05,0.09,0.13,0.20,0.33,0.43,0.66,0.86,4.78,1.05,SM,Silty sand
GSD013,Liaoning_Coast,4.0,1.2,11.8,36.2,36.3,10.8,3.7,0.05,0.09,0.13,0.21,0.34,0.44,0.68,0.88,4.89,1.11,SM,Silty sand
GSD014,Jilin_Basin,2.5,3.5,21.2,51.8,17.5,4.5,1.5,0.09,0.17,0.22,0.31,0.46,0.56,0.82,0.98,3.29,1.02,SW,Well-graded sand
GSD015,Heilongjiang_Plain,6.2,2.0,15.2,44.7,27.2,8.5,2.4,0.07,0.13,0.17,0.25,0.39,0.49,0.72,0.92,3.77,1.04,SW-SM,Sand with silt
GSD016,Fujian_Coast,3.2,2.2,16.8,46.5,27.0,6.0,1.5,0.08,0.14,0.19,0.27,0.42,0.52,0.76,0.94,3.71,1.08,SW,Well-graded sand
GSD017,Hainan_Island,5.8,1.8,14.5,43.8,28.2,9.0,2.7,0.06,0.12,0.16,0.24,0.38,0.48,0.71,0.91,4.00,1.00,SW-SM,Sand with silt
GSD018,Yunnan_Valley,2.8,4.2,24.5,54.8,11.0,4.0,1.5,0.10,0.18,0.24,0.32,0.48,0.58,0.84,1.00,3.22,1.01,SW,Well-graded sand
GSD019,Guizhou_Basin,4.0,1.5,13.2,41.4,31.8,9.5,2.6,0.06,0.11,0.15,0.23,0.37,0.47,0.70,0.90,4.27,1.06,SW-SM,Sand with silt
GSD020,Sichuan_Plain,6.8,0.9,10.2,34.1,38.5,12.5,3.8,0.04,0.08,0.12,0.18,0.31,0.41,0.64,0.84,5.13,0.99,SM,Silty sand
GSD021,Shaanxi_Loess,3.5,1.8,14.8,43.7,29.4,8.1,2.2,0.07,0.13,0.17,0.26,0.40,0.50,0.73,0.93,3.85,1.08,SW-SM,Sand with silt
GSD022,Shanxi_Plateau,5.0,3.0,19.5,50.6,19.0,6.3,1.6,0.09,0.16,0.21,0.29,0.44,0.54,0.79,0.96,3.38,1.01,SW,Well-graded sand
GSD023,Hubei_Valley,2.7,2.5,17.8,49.0,21.5,6.8,2.4,0.08,0.15,0.20,0.28,0.43,0.53,0.77,0.94,3.53,1.04,SW,Well-graded sand
GSD024,Hunan_Basin,4.3,1.2,11.8,37.8,35.0,10.1,4.1,0.05,0.10,0.14,0.21,0.35,0.45,0.68,0.88,4.50,0.98,SM,Silty sand
GSD025,Jiangxi_Valley,3.8,2.5,17.2,48.6,21.5,7.0,3.2,0.08,0.14,0.19,0.27,0.42,0.52,0.76,0.93,3.71,1.07,SW,Well-graded sand
GSD026,Guangxi_Basin,5.5,1.0,11.2,36.7,36.0,11.0,4.1,0.05,0.09,0.13,0.20,0.34,0.44,0.67,0.87,4.89,1.03,SM,Silty sand
GSD027,Chongqing_Hilly,2.2,3.8,20.8,51.6,17.0,5.4,1.4,0.09,0.17,0.22,0.31,0.46,0.56,0.82,0.99,3.29,1.02,SW,Well-graded sand
GSD028,Tibet_Valley,7.0,2.2,16.5,47.8,23.0,7.8,2.7,0.08,0.14,0.19,0.27,0.42,0.52,0.76,0.94,3.71,1.07,SW,Well-graded sand
GSD029,Mongolia_Border,1.2,8.5,35.2,52.6,2.2,1.2,0.3,0.16,0.24,0.30,0.40,0.58,0.68,0.95,1.12,2.83,0.99,SP-SW,Coarse sand
GSD030,Coastal_Reclamation,8.5,0.5,6.5,29.3,46.8,13.2,3.7,0.04,0.07,0.10,0.16,0.29,0.39,0.61,0.79,5.57,0.94,SP-SM,Fine sand with silt
GSD031,Zhengzhou_Plain,5.2,1.5,13.2,42.4,30.5,9.1,3.3,0.06,0.11,0.15,0.23,0.36,0.46,0.69,0.89,4.18,1.05,SW-SM,Sand with silt
GSD032,Xi_an_Region,2.8,2.8,18.8,49.2,20.7,6.3,2.2,0.08,0.15,0.20,0.28,0.43,0.53,0.78,0.95,3.53,1.04,SW,Well-graded sand
GSD033,Lanzhou_Valley,3.8,2.0,16.2,46.5,25.3,7.5,2.5,0.07,0.13,0.18,0.26,0.41,0.51,0.75,0.92,3.92,1.09,SW,Well-graded sand
GSD034,Kunming_Basin,5.5,1.8,14.8,44.1,28.8,8.2,2.3,0.07,0.12,0.17,0.24,0.37,0.47,0.71,0.91,3.92,1.03,SW-SM,Sand with silt
GSD035,Changsha_Basin,4.5,1.5,13.5,41.8,31.2,9.5,2.5,0.06,0.11,0.15,0.23,0.36,0.46,0.69,0.89,4.18,1.05,SW-SM,Sand with silt
GSD036,Nanchang_Valley,2.3,3.2,19.8,50.8,18.2,6.2,1.8,0.09,0.16,0.21,0.30,0.45,0.55,0.81,0.97,3.44,1.01,SW,Well-graded sand
GSD037,Fuzhou_Coast,3.7,2.0,16.5,47.3,23.5,7.5,3.2,0.08,0.15,0.19,0.28,0.43,0.53,0.77,0.94,3.53,1.04,SW,Well-graded sand
GSD038,Hefei_Region,5.0,1.8,14.5,43.5,29.7,8.0,2.5,0.07,0.13,0.17,0.25,0.39,0.49,0.72,0.92,3.77,1.04,SW-SM,Sand with silt
GSD039,Nanning_Basin,4.5,1.5,13.8,42.0,30.9,9.3,2.5,0.06,0.12,0.16,0.24,0.38,0.48,0.71,0.91,4.00,1.00,SW-SM,Sand with silt
GSD040,Guiyang_Valley,2.8,2.5,18.2,48.8,21.0,7.0,2.5,0.08,0.14,0.19,0.27,0.42,0.52,0.76,0.93,3.71,1.07,SW,Well-graded sand
