FirmID,Year,Revenue_USD_millions,Assets_Verified_USD_millions,Export_Value_USD_millions,ROI_Verified_percent,ROA_Verified_percent
FIRM_054,2024,13.45,3.54,1.2,-0.01,4.39
FIRM_055,2024,7.41,5.81,0.75,10.06,1.18
FIRM_056,2024,2.62,0.48,0.22,0.21,2.61
FIRM_057,2024,4.98,0.4,0.49,4.53,1.65
FIRM_058,2024,5.44,1.81,0.1,5.87,3.64
FIRM_059,2024,8.41,1.27,0.75,6.16,2.76
FIRM_060,2024,38.88,21.57,7.74,4.32,6.13
FIRM_061,2024,5.7,0.4,0.9,1.65,5.89
FIRM_062,2024,40.96,24.41,7.34,9.5,6.1
FIRM_063,2024,5.18,5.75,0.71,4.58,2.34
FIRM_064,2024,54.61,25.15,4.15,8.5,2.58
FIRM_065,2024,8.78,3.89,1.31,3.86,1.79
FIRM_066,2024,10.14,0.4,0.65,6.32,1.42
FIRM_067,2024,5.69,0.4,1.13,19.2,9.63
FIRM_068,2024,10.08,4.8,0.0,4.07,1.95
FIRM_069,2024,2.38,3.12,0.41,0.48,3.22
FIRM_070,2024,37.86,10.79,8.47,12.7,10.32
FIRM_071,2024,2.84,0.82,0.22,9.76,3.75
FIRM_072,2024,38.74,26.04,3.76,8.28,1.97
FIRM_073,2024,10.4,1.79,1.07,6.32,3.07
FIRM_074,2024,49.51,35.68,6.61,-2.71,4.86
FIRM_075,2024,5.16,8.27,0.63,11.47,6.78
FIRM_076,2024,5.81,3.19,0.08,2.28,1.5
FIRM_077,2024,15.26,17.88,1.22,0.52,2.02
FIRM_078,2024,5.17,0.4,0.97,7.94,4.48
FIRM_079,2024,4.94,0.4,0.26,8.5,0.91
FIRM_080,2024,61.86,18.03,4.45,9.95,8.88
FIRM_081,2024,4.75,1.25,0.27,7.15,5.96
FIRM_082,2024,10.21,1.18,0.54,4.19,1.19
FIRM_083,2024,29.41,7.39,5.31,13.79,7.73
FIRM_084,2024,57.76,8.37,9.6,6.13,8.45
FIRM_085,2024,10.48,4.2,0.94,-3.11,3.52
FIRM_086,2024,63.78,21.98,6.61,12.97,5.97
FIRM_087,2024,10.87,2.84,1.91,5.09,4.06
FIRM_088,2024,11.04,2.18,2.5,14.14,3.91
FIRM_089,2024,6.74,0.4,0.23,3.48,2.89
FIRM_090,2024,49.73,35.3,5.54,6.65,1.88
FIRM_091,2024,39.47,14.26,3.89,5.38,5.28
FIRM_092,2024,7.86,5.97,1.22,7.07,3.71
FIRM_093,2024,5.73,4.74,0.58,8.38,1.02
FIRM_094,2024,9.43,7.7,0.42,1.75,5.04
FIRM_095,2024,9.0,0.4,0.75,6.85,5.45
FIRM_096,2024,10.61,3.05,2.02,12.79,8.0
FIRM_097,2024,4.65,1.83,0.68,9.13,7.03
FIRM_098,2024,78.24,8.75,12.66,17.63,10.81
FIRM_099,2024,3.06,2.91,0.27,1.17,3.6
FIRM_100,2024,8.52,3.4,0.58,3.8,1.0
FIRM_101,2024,6.52,10.0,0.53,10.35,1.73
FIRM_102,2024,7.32,3.88,0.1,5.74,-1.08
FIRM_103,2024,43.72,24.23,2.28,6.37,-1.25
FIRM_104,2024,52.19,37.02,4.4,3.83,-0.54
FIRM_105,2024,3.95,5.91,0.22,-0.07,-0.99
FIRM_106,2024,9.43,1.11,0.61,-0.29,0.21
FIRM_107,2024,11.36,6.03,2.07,13.31,4.72
FIRM_108,2024,4.81,0.4,0.6,4.94,5.9
FIRM_109,2024,8.31,2.49,1.01,8.19,4.96
FIRM_110,2024,27.55,27.15,4.99,15.77,6.23
FIRM_111,2024,70.6,26.0,9.74,3.57,3.29
FIRM_112,2024,72.43,38.57,10.34,6.59,7.31
FIRM_113,2024,2.63,1.21,0.07,0.72,2.19
FIRM_114,2024,4.16,3.85,0.64,13.15,3.23
FIRM_115,2024,61.1,22.38,4.22,7.52,5.19
FIRM_116,2024,11.0,5.25,0.46,8.73,3.66
FIRM_117,2024,58.7,32.57,4.42,6.43,3.46
FIRM_118,2024,6.57,4.49,0.38,6.52,4.64
FIRM_119,2024,84.02,16.01,2.35,6.55,3.88
FIRM_120,2024,1.06,0.69,0.13,5.98,4.79
FIRM_121,2024,6.71,0.64,0.88,9.66,4.01
FIRM_122,2024,12.73,1.66,0.92,9.15,7.97
FIRM_123,2024,4.53,2.97,0.0,5.49,1.07
FIRM_124,2024,9.27,2.36,0.66,3.43,4.64
FIRM_125,2024,52.15,38.43,7.83,8.97,3.45
FIRM_126,2024,58.62,34.26,0.9,0.88,1.65
FIRM_127,2024,10.57,0.79,1.1,2.97,2.39
FIRM_128,2024,25.17,5.95,3.69,5.08,4.85
FIRM_129,2024,52.71,23.1,5.27,14.27,4.53
FIRM_130,2024,11.05,4.82,3.06,5.95,5.96
FIRM_131,2024,48.89,28.75,10.84,1.88,6.93
FIRM_132,2024,9.9,3.12,0.0,6.96,2.97
FIRM_133,2024,41.21,25.44,6.8,12.92,7.95
FIRM_134,2024,10.77,1.03,1.03,8.51,4.33
FIRM_135,2024,7.26,4.35,0.42,5.65,2.84
FIRM_136,2024,7.93,6.45,1.34,10.74,7.9
FIRM_137,2024,7.05,4.78,1.54,10.85,3.22
FIRM_138,2024,5.14,0.4,0.83,12.14,5.8
FIRM_139,2024,56.95,23.25,3.08,7.45,7.78
FIRM_140,2024,51.52,31.13,3.21,3.37,2.7
FIRM_141,2024,9.68,0.4,0.87,1.9,5.37
FIRM_142,2024,5.95,1.66,0.14,5.23,0.4
FIRM_143,2024,2.08,4.75,0.01,3.95,1.88
FIRM_144,2024,1.49,1.51,0.26,6.31,2.69
FIRM_145,2024,1.34,1.91,0.04,-2.45,0.48
FIRM_146,2024,8.53,0.4,0.52,10.89,0.13
FIRM_147,2024,3.12,2.66,0.49,11.52,8.86
FIRM_148,2024,22.85,32.67,3.08,11.56,4.36
FIRM_149,2024,6.99,0.4,1.04,-0.4,2.33
FIRM_150,2024,6.51,2.36,1.33,7.8,5.83
FIRM_151,2024,8.01,4.92,0.47,3.91,1.99
FIRM_152,2024,49.94,36.43,5.36,11.15,7.4
FIRM_153,2024,0.8,6.35,0.11,11.13,5.85
FIRM_154,2024,5.67,2.04,0.84,5.24,5.99
FIRM_155,2024,7.91,4.43,0.11,0.65,5.07
FIRM_156,2024,11.78,0.4,1.62,9.93,8.72
FIRM_157,2024,11.63,2.02,0.08,7.68,1.04
FIRM_158,2024,33.29,0.4,5.48,8.51,2.78
FIRM_159,2024,5.72,2.08,1.42,9.48,7.01
FIRM_160,2024,1.82,0.4,0.12,6.75,3.76
FIRM_161,2024,83.91,30.15,3.26,-1.94,-0.02
FIRM_162,2024,9.64,3.83,0.0,3.17,3.26
FIRM_163,2024,7.67,0.4,0.74,1.61,1.13
FIRM_164,2024,38.52,37.61,3.41,11.57,8.6
FIRM_165,2024,10.65,0.4,0.16,8.89,3.06
FIRM_166,2024,10.35,2.68,1.46,11.3,8.05
FIRM_167,2024,81.87,27.13,5.38,6.71,1.32
FIRM_168,2024,7.98,1.72,1.33,13.53,4.15
FIRM_169,2024,5.62,0.87,0.54,7.53,3.8
FIRM_170,2024,8.95,5.89,0.18,0.99,2.81
FIRM_171,2024,48.49,15.9,6.83,2.73,-1.37
FIRM_172,2024,6.09,1.07,0.43,8.1,5.18
FIRM_173,2024,5.61,3.22,0.88,8.71,-0.29
FIRM_174,2024,10.09,0.4,1.28,13.13,8.9
FIRM_175,2024,11.76,1.9,0.68,7.27,4.14
FIRM_176,2024,40.19,18.61,2.59,5.25,1.0
FIRM_177,2024,5.78,0.4,0.79,12.55,4.36
FIRM_178,2024,7.92,0.85,1.01,7.31,0.27
FIRM_179,2024,39.63,21.93,6.02,-0.4,2.31
FIRM_180,2024,24.41,25.03,5.69,11.08,9.19
FIRM_181,2024,12.3,3.8,0.67,6.71,4.19
FIRM_182,2024,40.67,32.12,2.71,4.94,1.48
FIRM_183,2024,34.51,14.39,1.51,0.54,0.73
FIRM_184,2024,11.8,5.29,0.27,6.65,0.23
FIRM_185,2024,5.15,4.11,0.43,10.8,3.17
FIRM_186,2024,6.52,0.86,1.09,5.03,6.4
FIRM_187,2024,46.89,4.44,6.59,6.98,4.32
FIRM_188,2024,6.1,2.66,0.39,11.17,10.47
FIRM_189,2024,2.12,2.34,0.14,6.19,2.63
FIRM_190,2024,36.29,10.49,6.04,11.55,2.37
FIRM_191,2024,28.71,23.35,4.47,9.15,3.09
FIRM_192,2024,5.74,1.08,0.6,10.97,0.79
FIRM_193,2024,6.3,3.42,0.12,1.59,3.89
FIRM_194,2024,72.95,29.26,6.53,4.35,3.58
FIRM_195,2024,3.18,4.77,0.0,1.23,5.61
FIRM_196,2024,7.36,3.69,1.74,15.18,9.94
FIRM_197,2024,90.35,21.9,8.79,8.51,1.68
FIRM_198,2024,42.58,21.36,7.48,10.22,6.69
FIRM_199,2024,56.08,35.62,5.23,14.62,7.53
FIRM_200,2024,58.88,39.97,7.68,6.71,3.4
FIRM_201,2024,57.81,41.31,5.55,2.18,1.83
FIRM_202,2024,51.42,37.23,5.24,10.42,3.83
FIRM_203,2024,49.68,25.17,1.59,5.44,8.21
FIRM_204,2024,3.14,0.4,0.37,8.43,3.04
FIRM_205,2024,1.56,0.4,0.26,7.02,4.61
FIRM_206,2024,7.31,1.07,1.4,1.26,3.21
FIRM_207,2024,84.45,26.1,9.62,-1.77,3.14
FIRM_208,2024,2.0,0.74,0.27,11.11,7.85
FIRM_209,2024,8.26,0.64,0.17,9.01,4.5
FIRM_210,2024,0.8,3.75,0.0,10.77,3.5
FIRM_211,2024,3.52,3.69,0.92,12.76,5.97
FIRM_212,2024,4.79,0.4,0.19,12.55,5.87
FIRM_213,2024,8.97,5.0,1.86,8.6,6.06
FIRM_214,2024,10.68,4.0,2.02,13.05,6.63
FIRM_215,2024,10.26,3.1,1.39,7.25,8.04
FIRM_216,2024,5.98,2.84,0.49,10.77,9.29
FIRM_217,2024,88.11,30.67,11.54,7.24,4.01
FIRM_218,2024,47.94,28.95,4.59,2.24,4.89
FIRM_219,2024,10.97,3.48,0.69,10.45,5.38
FIRM_220,2024,48.38,39.61,6.93,5.24,5.43
FIRM_221,2024,7.87,1.4,1.03,8.7,5.31
FIRM_222,2024,3.02,0.82,0.42,9.78,6.69
FIRM_223,2024,63.09,15.4,11.77,8.6,6.68
FIRM_224,2024,12.67,2.48,0.92,11.95,4.32
FIRM_225,2024,26.76,25.92,3.24,11.48,3.77
FIRM_226,2024,3.11,4.04,0.28,2.13,4.14
FIRM_227,2024,9.49,5.94,0.26,2.9,1.14
FIRM_228,2024,5.33,0.52,1.26,7.44,5.0
FIRM_229,2024,37.07,30.96,5.2,5.89,3.31
FIRM_230,2024,64.55,26.69,10.66,4.81,4.11
FIRM_231,2024,67.74,31.32,13.59,12.4,11.33
FIRM_232,2024,5.37,3.67,0.36,9.78,3.47
FIRM_233,2024,3.12,1.3,0.42,3.17,4.26
FIRM_234,2024,23.41,24.68,0.64,9.95,2.17
FIRM_235,2024,6.6,4.28,0.44,5.83,1.26
FIRM_236,2024,10.81,2.17,2.89,10.27,7.22
FIRM_237,2024,46.41,24.2,3.23,-3.1,0.24
FIRM_238,2024,5.08,3.93,1.19,7.06,8.24
FIRM_239,2024,5.21,5.39,0.46,16.96,8.55
FIRM_240,2024,26.66,24.91,5.45,16.12,9.13
FIRM_241,2024,11.27,3.38,1.93,0.43,2.98
FIRM_242,2024,0.89,3.18,0.04,4.0,5.39
FIRM_243,2024,27.49,18.7,4.83,8.39,5.31
FIRM_244,2024,11.62,29.71,0.58,12.35,1.65
FIRM_245,2024,3.38,4.4,0.32,2.79,-0.81
FIRM_246,2024,7.3,3.85,0.76,8.62,3.77
FIRM_247,2024,46.18,35.44,3.18,7.01,0.85
FIRM_248,2024,5.18,0.4,0.44,5.03,6.14
FIRM_249,2024,4.14,6.21,1.01,9.74,7.01
FIRM_250,2024,5.14,1.09,1.2,9.16,6.12
FIRM_251,2024,6.42,0.87,0.47,8.7,2.23
FIRM_252,2024,3.5,2.87,0.44,3.47,3.82
FIRM_253,2024,23.42,20.52,3.51,6.43,7.25
FIRM_254,2024,8.12,2.57,1.28,12.72,7.42
FIRM_255,2024,67.71,17.84,7.8,9.06,7.4
FIRM_256,2024,6.14,4.75,0.34,8.98,3.89
FIRM_257,2024,4.99,1.3,0.31,6.38,4.01
FIRM_258,2024,12.07,1.39,0.0,9.49,1.01
FIRM_259,2024,4.87,4.76,0.22,6.6,3.59
FIRM_260,2024,6.17,1.55,0.74,3.61,3.12
FIRM_261,2024,8.82,0.4,0.61,6.59,3.46
FIRM_262,2024,46.57,46.85,4.69,6.89,1.8
FIRM_263,2024,8.96,5.16,0.41,5.65,4.53
FIRM_264,2024,8.45,0.63,1.36,7.49,6.09
FIRM_265,2024,10.67,1.3,2.82,11.94,3.96
FIRM_266,2024,45.78,26.33,2.55,10.75,3.17
FIRM_267,2024,10.85,7.05,1.83,10.58,7.44
FIRM_268,2024,48.25,33.78,0.0,5.12,3.72
FIRM_269,2024,4.01,2.38,0.55,4.9,5.0
FIRM_270,2024,12.93,4.27,0.98,9.53,5.6
FIRM_271,2024,1.94,1.97,0.46,10.55,8.17
FIRM_272,2024,2.19,3.14,0.36,12.29,10.86
FIRM_273,2024,8.38,7.02,1.84,12.4,9.56
FIRM_274,2024,11.72,0.4,2.33,12.96,6.74
FIRM_275,2024,7.14,2.53,0.77,0.86,5.96
FIRM_276,2024,9.8,0.44,1.06,6.41,-1.07
FIRM_277,2024,20.95,41.74,1.2,3.35,4.07
FIRM_278,2024,5.09,0.4,0.7,8.8,2.04
FIRM_279,2024,0.88,4.18,0.12,5.95,6.1
FIRM_280,2024,9.06,4.54,1.16,5.08,1.09
FIRM_281,2024,1.92,1.99,0.09,3.3,-0.15
FIRM_282,2024,2.76,6.35,0.4,9.7,5.34
FIRM_283,2024,8.11,5.41,0.41,7.18,3.61
FIRM_284,2024,9.87,0.42,1.99,12.6,3.5
FIRM_285,2024,6.0,5.88,0.32,5.56,0.7
FIRM_286,2024,8.52,0.63,1.12,10.11,4.23
FIRM_287,2024,8.42,5.65,1.44,11.57,3.58
FIRM_288,2024,47.3,39.65,4.53,8.57,4.57
FIRM_289,2024,3.24,1.93,0.48,11.02,9.07
FIRM_290,2024,8.26,2.08,1.21,12.92,6.22
FIRM_291,2024,70.52,29.26,3.96,4.38,4.79
FIRM_292,2024,9.41,4.49,1.75,6.05,2.52
FIRM_293,2024,7.32,1.17,1.27,6.91,4.55
FIRM_294,2024,25.32,20.45,1.99,2.54,1.42
FIRM_295,2024,8.87,1.51,1.34,4.68,4.4
FIRM_296,2024,6.64,0.4,0.49,14.26,9.2
FIRM_297,2024,5.29,0.4,0.0,4.62,1.02
FIRM_298,2024,5.77,0.52,0.4,5.65,5.06
FIRM_299,2024,4.42,1.26,0.08,4.58,-0.46
FIRM_300,2024,9.39,2.36,0.34,6.42,1.61
