Temperature_C,Youngs_Modulus_GPa,Tensile_Strength_MPa,Yield_Strength_MPa,Poissons_Ratio,Elongation_Percent,Test_Standard,Specimen_Type,Strain_Rate_s-1,Material,Heat_Treatment,Measurement_Uncertainty_Percent
680,195.47,579.8,497.7,0.3081,29.0,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
700,198.95,508.7,430.2,0.3058,34.6,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
720,194.7,451.7,391.1,0.3111,33.5,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
740,197.29,410.1,353.3,0.3068,30.3,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
760,192.8,357.7,303.3,0.3082,35.3,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
780,193.82,310.3,255.3,0.3108,35.1,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
800,196.59,279.6,222.5,0.3071,39.1,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
820,197.42,244.7,203.5,0.3105,37.2,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
840,196.09,219.7,195.3,0.313,39.8,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
860,195.3,187.5,161.6,0.3076,42.3,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
880,194.71,166.8,129.3,0.3116,44.3,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
900,192.19,147.0,126.7,0.3121,41.1,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
920,193.45,126.9,111.7,0.3136,44.2,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
940,193.73,116.1,89.8,0.3099,45.2,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
960,196.45,102.3,88.5,0.3102,45.9,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
980,194.84,89.9,77.0,0.3142,53.1,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
1000,190.53,78.9,55.7,0.3142,51.0,ASTM E21,Round Bar,0.001,Superalloy_A,Solution_Annealed_Aged,2.0
