condition_id,temperature_C,pH2_anode,pH2O_anode,pO2_cathode,pressure_atm,current_density_A_per_cm2,voltage_V,ocv_V,overpotential_ohmic_V,overpotential_activation_anode_V,overpotential_activation_cathode_V,overpotential_concentration_V,total_overpotential_V,R_ohmic_ohm_cm2,R_ct_anode_ohm_cm2,R_ct_cathode_ohm_cm2,R_total_ohm_cm2,f_peak_anode_Hz,f_peak_cathode_Hz,delta_mu_O2_J_per_mol,anode_oxidation_risk_score,anode_ni_oxidation_flag
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.04284,0.768688,1.102808,0.014453,0.04052,0.277545,0.001603,0.33412,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,296668.41,0.464,0
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.08568,0.602561,1.102808,0.028905,0.078889,0.389184,0.003269,0.500248,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,232553.066,0.484,0
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.12852,0.484347,1.102808,0.043358,0.113809,0.456291,0.005004,0.618462,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,186929.403,0.501,0
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.17136,0.389024,1.102808,0.057811,0.144936,0.504223,0.006814,0.713784,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,150140.396,0.517,0
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.2142,0.307829,1.102808,0.072263,0.172509,0.541501,0.008706,0.794979,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,118803.835,0.53,0
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.25704,0.236426,1.102808,0.086716,0.19698,0.571999,0.010688,0.866382,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,91246.463,0.542,0
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.29988,0.2,1.102808,0.101169,0.218823,0.597805,0.012767,0.930563,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.553,0
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.34272,0.2,1.102808,0.115621,0.23846,0.620169,0.014955,0.989206,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.563,0
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.38556,0.2,1.102808,0.130074,0.256245,0.639902,0.017264,1.043485,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.572,0
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.4284,0.2,1.102808,0.144527,0.272465,0.657557,0.019707,1.094256,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.58,0
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.47124,0.2,1.102808,0.158979,0.287352,0.673531,0.022302,1.142164,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.587,0
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.51408,0.2,1.102808,0.173432,0.301096,0.688116,0.025067,1.187711,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.594,0
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.55692,0.2,1.102808,0.187884,0.313851,0.701534,0.028028,1.231297,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.6,0
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.59976,0.2,1.102808,0.202337,0.325743,0.713958,0.031214,1.273252,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.605,1
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.6426,0.2,1.102808,0.21679,0.336877,0.725525,0.034662,1.313854,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.611,1
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.68544,0.2,1.102808,0.231242,0.347341,0.736346,0.03842,1.353349,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.616,1
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.72828,0.2,1.102808,0.245695,0.357209,0.746511,0.042547,1.391962,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.62,1
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.77112,0.2,1.102808,0.260148,0.366542,0.756095,0.047126,1.429911,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.625,1
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.81396,0.2,1.102808,0.2746,0.375395,0.765161,0.052267,1.467424,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.629,1
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.8568,0.2,1.102808,0.289053,0.383814,0.773762,0.058127,1.504756,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.633,1
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.89964,0.2,1.102808,0.303506,0.391838,0.781943,0.064941,1.542229,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.636,1
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.94248,0.2,1.102808,0.317958,0.399502,0.789744,0.073082,1.580287,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.64,1
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,0.98532,0.2,1.102808,0.332411,0.406837,0.797199,0.083194,1.619641,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.643,1
T700_H270_H2O30_O221,700,0.7,0.3,0.21,1.0,1.02816,0.2,1.102808,0.346864,0.413869,0.804336,0.096547,1.661615,0.337363,1.910146,19.735637,21.983147,0.083321,0.016129,77188.266,0.647,1
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.0,1.135527,1.135527,0.0,0.0,0.0,0.0,0.0,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,438246.81,0.444,0
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.04284,0.860248,1.135527,0.014453,0.04052,0.218703,0.001603,0.275279,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,332005.438,0.464,0
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.08568,0.698853,1.135527,0.028905,0.078889,0.32561,0.003269,0.436674,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,269716.406,0.484,0
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.12852,0.581654,1.135527,0.043358,0.113809,0.391702,0.005004,0.553873,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,224484.264,0.501,0
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.17136,0.486698,1.135527,0.057811,0.144936,0.439267,0.006814,0.648829,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,187837.001,0.517,0
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.2142,0.405675,1.135527,0.072263,0.172509,0.476373,0.008706,0.729852,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,156566.91,0.53,0
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.25704,0.334367,1.135527,0.086716,0.19698,0.506777,0.010688,0.80116,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,129045.88,0.542,0
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.29988,0.270243,1.135527,0.101169,0.218823,0.532526,0.012767,0.865284,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,104297.874,0.553,0
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.34272,0.211637,1.135527,0.115621,0.23846,0.554853,0.014955,0.92389,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,81679.574,0.563,0
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.38556,0.2,1.135527,0.130074,0.256245,0.57456,0.017264,0.978143,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.572,0
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.4284,0.2,1.135527,0.144527,0.272465,0.592198,0.019707,1.028896,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.58,0
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.47124,0.2,1.135527,0.158979,0.287352,0.608158,0.022302,1.076791,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.587,0
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.51408,0.2,1.135527,0.173432,0.301096,0.622732,0.025067,1.122328,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.594,0
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.55692,0.2,1.135527,0.187884,0.313851,0.636142,0.028028,1.165906,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.6,0
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.59976,0.2,1.135527,0.202337,0.325743,0.64856,0.031214,1.207854,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.605,1
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.6426,0.2,1.135527,0.21679,0.336877,0.660122,0.034662,1.248451,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.611,1
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.68544,0.2,1.135527,0.231242,0.347341,0.670939,0.03842,1.287942,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.616,1
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.72828,0.2,1.135527,0.245695,0.357209,0.6811,0.042547,1.326551,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.62,1
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.77112,0.2,1.135527,0.260148,0.366542,0.690681,0.047126,1.364497,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.625,1
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.81396,0.2,1.135527,0.2746,0.375395,0.699745,0.052267,1.402008,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.629,1
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.8568,0.2,1.135527,0.289053,0.383814,0.708344,0.058127,1.439338,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.633,1
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.89964,0.2,1.135527,0.303506,0.391838,0.716523,0.064941,1.476809,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.636,1
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.94248,0.2,1.135527,0.317958,0.399502,0.724323,0.073082,1.514866,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.64,1
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,0.98532,0.2,1.135527,0.332411,0.406837,0.731776,0.083194,1.554218,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.643,1
T700_H270_H2O30_O2100,700,0.7,0.3,1.0,1.0,1.02816,0.2,1.135527,0.346864,0.413869,0.738912,0.096547,1.596191,0.337363,1.910146,13.359985,15.607495,0.083321,0.023826,77188.266,0.647,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.0,1.067281,1.067281,0.0,0.0,0.0,0.0,0.0,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,411907.922,0.55,0
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.0378,0.74952,1.067281,0.012752,0.045197,0.25821,0.001603,0.317762,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,289270.624,0.572,0
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.0756,0.58239,1.067281,0.025505,0.087472,0.368646,0.003269,0.484891,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,224768.461,0.593,0
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.1134,0.463254,1.067281,0.038257,0.125262,0.435504,0.005004,0.604028,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,178788.708,0.611,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.1512,0.367736,1.067281,0.051009,0.158374,0.483347,0.006814,0.699545,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,141924.608,0.626,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.189,0.286932,1.067281,0.063762,0.187298,0.520583,0.008706,0.780349,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,110739.104,0.64,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.2268,0.216324,1.067281,0.076514,0.212697,0.551059,0.010688,0.850958,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,83488.184,0.651,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.2646,0.2,1.067281,0.089266,0.235193,0.576851,0.012767,0.914077,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,77188.266,0.662,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.3024,0.2,1.067281,0.102019,0.255301,0.599206,0.014955,0.971481,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,77188.266,0.671,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.3402,0.2,1.067281,0.114771,0.273432,0.618933,0.017264,1.0244,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,77188.266,0.678,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.378,0.2,1.067281,0.127523,0.289913,0.636584,0.019707,1.073728,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,77188.266,0.686,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.4158,0.2,1.067281,0.140276,0.305002,0.652554,0.022302,1.120134,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,77188.266,0.692,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.4536,0.2,1.067281,0.153028,0.318904,0.667137,0.025067,1.164136,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,77188.266,0.698,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.4914,0.2,1.067281,0.16578,0.331785,0.680553,0.028028,1.206146,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,77188.266,0.703,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.5292,0.2,1.067281,0.178533,0.343779,0.692975,0.031214,1.246501,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,77188.266,0.708,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.567,0.2,1.067281,0.191285,0.354997,0.704541,0.034662,1.285485,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,77188.266,0.713,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.6048,0.2,1.067281,0.204037,0.36553,0.715361,0.03842,1.323348,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,77188.266,0.717,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.6426,0.2,1.067281,0.21679,0.375455,0.725525,0.042547,1.360318,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,77188.266,0.721,1
T700_H250_H2O50_O221,700,0.5,0.5,0.21,1.0,0.6804,0.2,1.067281,0.229542,0.384838,0.735108,0.047126,1.396615,0.337363,2.420402,19.735637,22.493403,0.065756,0.016129,77188.266,0.725,1
