specimen_id,rubber_content_pct,temperature_C,exposure_time_hrs,total_crack_volume_mm3,crack_density_mm_mm3,avg_crack_width_um,max_crack_width_um,avg_crack_length_mm,total_crack_surface_area_mm2,crack_network_connectivity,primary_crack_orientation,crack_tortuosity,crack_branching_index,damage_parameter,notes
MCT-R5-400-01,5,400,2,28.45,0.285,68.5,342.8,16.85,228.5,0.82,ITZ_rubber,1.62,0.95,0.65,Severe rubber decomposition
MCT-R5-400-02,5,400,2,31.25,0.313,74.8,378.6,18.05,252.4,0.87,ITZ_rubber,1.68,1.05,0.71,Large void formation
MCT-R5-400-03,5,400,2,26.15,0.262,63.5,318.5,15.85,210.8,0.79,ITZ_rubber,1.58,0.88,0.60,Extensive cracking
MCT-R10-400-01,10,400,2,52.85,0.529,112.8,568.4,25.85,428.5,0.94,ITZ_rubber,1.95,1.68,0.88,Catastrophic decomposition
MCT-R10-400-02,10,400,2,58.15,0.582,124.5,625.8,27.65,472.6,0.96,ITZ_rubber,2.05,1.82,0.92,Massive void network
MCT-R10-400-03,10,400,2,48.65,0.487,104.2,525.6,24.28,395.4,0.92,ITZ_rubber,1.88,1.55,0.85,Severe structural damage
MCT-R15-400-01,15,400,2,85.95,0.860,168.5,825.6,38.85,682.5,0.98,ITZ_rubber,2.48,2.85,0.96,Complete rubber-paste separation
MCT-R15-400-02,15,400,2,94.28,0.943,185.6,912.4,42.15,752.8,0.99,ITZ_rubber,2.65,3.15,0.98,Massive structural voids
MCT-R20-400-01,20,400,2,128.45,1.285,248.5,1242.8,54.85,1085.6,0.99,ITZ_rubber,3.25,4.85,0.99,Near-total breakdown
MCT-R20-400-02,20,400,2,142.68,1.427,275.8,1385.6,59.65,1205.8,1.00,ITZ_rubber,3.58,5.42,1.00,Catastrophic failure
MCT-R0-600-01,0,600,2,32.85,0.329,85.6,428.5,22.85,264.8,0.72,radial,1.75,0.88,0.58,Severe CH dehydroxylation
MCT-R0-600-02,0,600,2,36.28,0.363,94.2,472.6,24.58,292.4,0.78,radial,1.82,0.96,0.63,Major paste decomposition
MCT-R0-600-03,0,600,2,29.85,0.299,78.5,395.8,21.35,242.8,0.68,radial,1.68,0.82,0.54,Extensive thermal damage
MCT-R5-600-01,5,600,2,142.85,1.429,268.5,1325.8,58.85,1158.5,0.99,ITZ_rubber,3.45,5.28,0.99,Complete rubber burnout
MCT-R5-600-02,5,600,2,158.45,1.585,295.6,1465.8,64.25,1285.4,1.00,ITZ_rubber,3.75,5.85,1.00,Massive interconnected voids
MCT-R5-600-03,5,600,2,128.65,1.287,248.2,1225.6,54.15,1065.8,0.99,ITZ_rubber,3.22,4.95,0.99,Large void spaces
MCT-R10-600-01,10,600,2,285.45,2.854,425.8,2085.6,95.85,2285.6,1.00,ITZ_rubber,5.85,12.85,1.00,Total ITZ breakdown
MCT-R10-600-02,10,600,2,318.25,3.183,475.6,2385.6,108.65,2585.4,1.00,ITZ_rubber,6.52,14.85,1.00,Massive void volume
MCT-R10-600-03,10,600,2,258.65,2.587,395.4,1925.8,88.45,2085.8,1.00,ITZ_rubber,5.42,11.52,1.00,Extreme damage
MCT-R15-600-01,15,600,2,485.85,4.859,625.8,3085.6,148.85,4285.6,1.00,ITZ_rubber,9.85,28.45,1.00,Complete structural disintegration
MCT-R15-600-02,15,600,2,542.68,5.427,698.5,3485.6,165.85,4885.4,1.00,ITZ_rubber,11.25,32.85,1.00,Only residual ash structure
MCT-R20-600-01,20,600,2,758.45,7.585,895.6,4485.6,228.85,6885.6,1.00,ITZ_rubber,15.85,52.85,1.00,Total material breakdown
MCT-R20-600-02,20,600,2,842.85,8.429,985.4,4985.6,258.65,7685.4,1.00,ITZ_rubber,18.45,62.85,1.00,Extreme void space
MCT-R0-800-01,0,800,2,68.45,0.685,148.5,725.6,38.85,548.5,0.88,radial,2.25,1.52,0.78,Complete CH decomposition
MCT-R0-800-02,0,800,2,75.28,0.753,162.8,798.5,42.15,605.8,0.91,radial,2.42,1.68,0.82,Lime formation and cracking
MCT-R0-800-03,0,800,2,62.85,0.629,136.5,668.4,36.25,502.4,0.85,radial,2.12,1.38,0.74,Major structural damage
MCT-R5-800-01,5,800,2,685.45,6.854,825.6,4125.8,198.85,6285.6,1.00,ITZ_rubber,13.85,42.85,1.00,Total rubber combustion
MCT-R5-800-02,5,800,2,758.25,7.583,912.4,4585.6,218.65,6985.4,1.00,ITZ_rubber,15.52,48.65,1.00,Sintering of residual material
MCT-R10-800-01,10,800,2,1285.45,12.854,1425.8,7185.6,385.85,12285.6,1.00,ITZ_rubber,28.45,98.45,1.00,Near-complete void space
MCT-R10-800-02,10,800,2,1425.68,14.257,1585.6,8085.6,428.65,13885.4,1.00,ITZ_rubber,32.85,115.85,1.00,Structural collapse
MCT-R15-800-01,15,800,2,1885.45,18.854,1985.6,10085.6,548.85,18285.6,1.00,ITZ_rubber,48.45,185.85,1.00,Total material failure
MCT-R20-800-01,20,800,2,2685.45,26.854,2785.6,14285.6,758.85,26285.6,1.00,ITZ_rubber,85.45,325.85,1.00,Complete disintegration
