specimen_id,rubber_content_pct,temperature_C,exposure_time_hrs,scan_resolution_um,total_porosity_pct,macro_porosity_50_1000um_pct,meso_porosity_10_50um_pct,micro_porosity_1_10um_pct,capillary_porosity_0_1_1um_pct,gel_porosity_below_0_1um_pct,avg_pore_diameter_um,pore_sphericity,pore_connectivity_index,specific_surface_area_mm2_mm3,tortuosity_factor,permeability_m2,notes
MCT-R5-400-01,5,400,2,5.2,29.45,8.52,6.28,8.15,4.82,1.68,12.85,0.48,0.79,28.5,4.25,5.48e-17,Severe rubber degradation
MCT-R5-400-02,5,400,2,5.1,30.28,8.95,6.58,8.52,4.95,1.28,13.45,0.47,0.82,29.4,4.45,6.05e-17,Large voids from rubber loss
MCT-R5-400-03,5,400,2,5.3,28.65,8.15,6.02,7.82,4.68,1.98,12.32,0.49,0.77,27.8,4.08,5.12e-17,Interconnected void network
MCT-R10-400-01,10,400,2,5.2,39.82,14.28,9.85,10.52,4.15,1.02,18.65,0.42,0.89,35.8,6.15,1.48e-16,Catastrophic decomposition
MCT-R10-400-02,10,400,2,5.1,41.05,15.05,10.32,10.98,3.82,0.88,19.45,0.41,0.91,36.9,6.45,1.65e-16,Massive void formation
MCT-R10-400-03,10,400,2,5.3,38.68,13.58,9.42,10.15,4.48,1.05,17.95,0.43,0.87,34.8,5.92,1.38e-16,Extensive pore network
MCT-R15-400-01,15,400,2,5.2,48.25,19.85,13.25,11.82,2.95,0.38,24.85,0.37,0.95,42.5,8.52,3.85e-16,Complete rubber-paste separation
MCT-R15-400-02,15,400,2,5.1,49.85,20.82,13.92,12.35,2.38,0.38,25.95,0.36,0.96,43.8,8.95,4.25e-16,Massive structural voids
MCT-R20-400-01,20,400,2,5.2,57.68,26.85,17.28,11.15,1.98,0.42,32.45,0.32,0.98,49.5,12.35,7.85e-16,Near-total breakdown
MCT-R20-400-02,20,400,2,5.1,59.45,28.15,18.05,11.52,1.42,0.31,33.95,0.31,0.99,51.2,13.05,8.68e-16,Catastrophic failure
MCT-R0-600-01,0,600,2,5.2,23.58,5.82,5.68,7.28,3.52,1.28,9.85,0.56,0.68,24.8,3.68,2.85e-17,Severe CH dehydroxylation
MCT-R0-600-02,0,600,2,5.1,24.35,6.15,5.95,7.58,3.38,1.29,10.28,0.55,0.71,25.6,3.85,3.15e-17,Major paste decomposition
MCT-R0-600-03,0,600,2,5.3,22.85,5.52,5.42,7.02,3.68,1.21,9.48,0.57,0.66,24.1,3.52,2.68e-17,Extensive thermal damage
MCT-R5-600-01,5,600,2,5.2,56.28,24.82,16.28,11.85,2.85,0.48,29.85,0.35,0.97,47.8,10.85,6.48e-16,Complete rubber burnout
MCT-R5-600-02,5,600,2,5.1,58.15,26.05,17.08,12.38,2.32,0.32,31.25,0.34,0.98,49.4,11.45,7.15e-16,Massive interconnected voids
MCT-R5-600-03,5,600,2,5.3,54.48,23.65,15.52,11.42,3.35,0.54,28.65,0.36,0.96,46.2,10.28,5.95e-16,Large void spaces
MCT-R10-600-01,10,600,2,5.2,69.85,36.82,22.15,9.52,1.18,0.18,42.85,0.28,0.99,58.5,18.25,2.48e-15,Total ITZ breakdown
MCT-R10-600-02,10,600,2,5.1,72.35,38.92,23.48,9.15,0.68,0.12,44.95,0.27,0.99,60.8,19.65,2.85e-15,Massive void volume
MCT-R10-600-03,10,600,2,5.3,67.48,35.15,21.08,10.05,1.05,0.15,41.15,0.29,0.99,56.5,17.15,2.18e-15,Extreme porosity
MCT-R15-600-01,15,600,2,5.2,79.85,48.25,24.82,5.95,0.68,0.15,54.85,0.23,1.00,68.5,28.45,5.85e-15,Complete structural disintegration
MCT-R15-600-02,15,600,2,5.1,82.48,50.85,26.15,4.82,0.52,0.14,57.65,0.22,1.00,71.2,31.25,6.85e-15,Only residual ash structure
MCT-R20-600-01,20,600,2,5.2,87.35,58.95,25.28,2.85,0.18,0.09,68.25,0.18,1.00,78.5,42.85,1.25e-14,Total material breakdown
MCT-R20-600-02,20,600,2,5.1,89.82,61.85,26.52,1.28,0.12,0.05,72.15,0.17,1.00,82.4,48.65,1.48e-14,Extreme void space
MCT-R0-800-01,0,800,2,5.2,36.82,12.85,10.52,9.28,3.18,0.99,16.85,0.51,0.79,34.8,5.85,8.95e-17,Complete CH decomposition
MCT-R0-800-02,0,800,2,5.1,38.15,13.52,11.05,9.68,2.95,0.95,17.58,0.50,0.82,36.2,6.18,9.85e-17,Lime formation and cracking
MCT-R0-800-03,0,800,2,5.3,35.58,12.25,10.08,8.95,3.38,0.92,16.18,0.52,0.77,33.6,5.58,8.28e-17,Major structural damage
MCT-R5-800-01,5,800,2,5.2,83.28,55.82,24.15,2.95,0.28,0.08,64.85,0.20,1.00,75.8,38.45,1.08e-14,Total rubber combustion
MCT-R5-800-02,5,800,2,5.1,85.95,58.52,25.48,1.68,0.18,0.09,68.15,0.19,1.00,79.2,42.15,1.28e-14,Sintering of residual material
MCT-R10-800-01,10,800,2,5.2,92.48,67.85,23.52,1.02,0.08,0.01,78.95,0.15,1.00,88.5,65.85,2.85e-14,Near-complete void space
MCT-R10-800-02,10,800,2,5.1,94.15,70.28,23.18,0.58,0.08,0.03,82.45,0.14,1.00,92.4,72.85,3.25e-14,Structural collapse
MCT-R15-800-01,15,800,2,5.2,95.82,75.48,19.85,0.38,0.08,0.03,88.65,0.12,1.00,96.8,88.45,4.85e-14,Total material failure
MCT-R20-800-01,20,800,2,5.2,97.85,82.95,14.68,0.15,0.05,0.02,96.85,0.09,1.00,102.5,125.85,7.85e-14,Complete disintegration
