point_id,temperature_C,branch,strain,stress_MPa
49,800,loading,0.0012100840336134455,28.44399722518765
50,800,loading,0.0012352941176470588,28.983163036841034
51,800,loading,0.0012605042016806723,29.520597166202126
52,800,loading,0.0012857142857142856,30.05632653061224
53,800,loading,0.0013109243697478992,30.590378047412734
54,800,loading,0.0013361344537815127,31.122778633944932
55,800,loading,0.001361344537815126,31.65355520755014
56,800,loading,0.0013865546218487395,32.18273468556973
57,800,loading,0.001411764705882353,32.710343985345006
58,800,loading,0.0014369747899159663,33.23641002421731
59,800,loading,0.0014621848739495799,33.76095971952795
60,800,loading,0.0014873949579831934,34.28401998861829
61,800,loading,0.0015126050420168067,34.80561774882964
62,800,loading,0.0015378151260504202,35.32577991750333
63,800,loading,0.0015630252100840337,35.84453341198071
64,800,loading,0.001588235294117647,36.361905149603096
65,800,loading,0.0016134453781512605,36.87792204771182
66,800,loading,0.001638655462184874,37.392611023648215
67,800,loading,0.0016638655462184874,37.90599899475362
68,800,loading,0.001689075630252101,38.41811287836934
69,800,loading,0.0017142857142857144,38.92897959183674
70,800,loading,0.0017394957983193277,39.43862605249713
71,800,loading,0.0017647058823529412,39.94707917769184
72,800,loading,0.0017899159663865548,40.45436588476221
73,800,loading,0.001815126050420168,40.96051309104957
74,800,loading,0.0018403361344537816,41.46554771389525
75,800,loading,0.001865546218487395,41.96949667064058
76,800,loading,0.0018907563025210084,42.472386878626885
77,800,loading,0.001915966386554622,42.974245255195505
78,800,loading,0.0019411764705882354,43.47509871768777
79,800,loading,0.001966386554621849,43.974974183445006
80,800,loading,0.0019915966386554623,44.47389856980855
81,800,loading,0.0020168067226890756,44.971898794119724
82,800,loading,0.0020420168067226893,45.469001773719874
83,800,loading,0.0020672268907563026,45.96523442595031
84,800,loading,0.002092436974789916,46.46062366815238
85,800,loading,0.0021176470588235297,46.955196417667416
86,800,loading,0.002142857142857143,47.44897959183673
87,800,loading,0.0021680672268907563,47.94200010800167
88,800,loading,0.00219327731092437,48.43428488350358
89,800,loading,0.0022184873949579833,48.92586083568376
90,800,loading,0.0022436974789915966,49.41675488188355
91,800,loading,0.0022689075630252103,49.90699393944429
92,800,loading,0.0022941176470588237,50.39660492570731
93,800,loading,0.002319327731092437,50.88561475801393
94,800,loading,0.0023445378151260507,51.3740503537055
95,800,loading,0.002369747899159664,51.86193863012333
96,800,loading,0.0023949579831932773,52.34930650460876
97,800,loading,0.002420168067226891,52.83618089450313
98,800,loading,0.0024453781512605043,53.32258871714776
99,800,loading,0.0024705882352941176,53.80855688988398
100,800,loading,0.002495798319327731,54.29411233005312
101,800,loading,0.0025210084033613447,54.77928195499654
102,800,loading,0.002546218487394958,55.26409268205552
103,800,loading,0.0025714285714285713,55.74857142857142
104,800,loading,0.002596638655462185,56.23274511188559
105,800,loading,0.0026218487394957983,56.71664064933932
106,800,loading,0.0026470588235294116,57.200284958273954
107,800,loading,0.0026722689075630254,57.683704956030866
108,800,loading,0.0026974789915966387,58.16692755995132
109,800,loading,0.002722689075630252,58.64997968737667
110,800,loading,0.0027478991596638657,59.13288825564829
111,800,loading,0.002773109243697479,59.61568018210745
112,800,loading,0.0027983193277310923,60.098382384095494
113,800,loading,0.002823529411764706,60.5810217789538
114,800,loading,0.0028487394957983194,61.063625284023644
115,800,loading,0.0028739495798319327,61.546219816646385
116,800,loading,0.0028991596638655464,62.028832294163344
117,800,loading,0.0029243697478991597,62.51148963391584
118,800,loading,0.002949579831932773,62.99421875324525
119,800,loading,0.0029747899159663868,63.477046569492856
120,800,loading,0.003,63.96
121,800,unloading,0.003,63.96
122,800,unloading,0.0029747899159663868,63.26587159533417
123,800,unloading,0.002949579831932773,62.57201597620155
124,800,unloading,0.0029243697478991597,61.878553293968444
125,800,unloading,0.0028991596638655464,61.185603494940565
126,800,unloading,0.0028739495798319327,60.493286218011235
127,800,unloading,0.0028487394957983194,59.80172069252414
128,800,unloading,0.002823529411764706,59.11102563642123
129,800,unloading,0.0027983193277310923,58.421319154747124
130,800,unloading,0.002773109243697479,57.73271863858071
131,800,unloading,0.0027478991596638657,57.045340664464156
132,800,unloading,0.002722689075630252,56.35930089439977
133,800,unloading,0.0026974789915966387,55.674713976484185
134,800,unloading,0.0026722689075630254,54.99169344624895
135,800,unloading,0.0026470588235294116,54.31035162877673
136,800,unloading,0.0026218487394957983,53.630799541661084
137,800,unloading,0.002596638655462185,52.953146798877164
138,800,unloading,0.0025714285714285713,52.27750151563095
139,800,unloading,0.002546218487394958,51.60397021425293
140,800,unloading,0.0025210084033613447,50.932657731201665
141,800,unloading,0.0024957983193277314,50.26366712524249
142,800,unloading,0.0024705882352941176,49.597099586865134
143,800,unloading,0.0024453781512605043,48.93305434900317
144,800,unloading,0.002420168067226891,48.27162859911789
145,800,unloading,0.0023949579831932773,47.61291739270766
146,800,unloading,0.002369747899159664,46.95701356830304
147,800,unloading,0.0023445378151260507,46.30400766400697
148,800,unloading,0.002319327731092437,45.65398783563818
149,800,unloading,0.0022941176470588237,45.00703977653485
150,800,unloading,0.0022689075630252103,44.36324663907432
151,800,unloading,0.0022436974789915966,43.72268895796378
152,800,unloading,0.0022184873949579833,43.0854445753552
153,800,unloading,0.00219327731092437,42.451588567836666
154,800,unloading,0.0021680672268907563,41.821193175351205
155,800,unloading,0.002142857142857143,41.194327732092496
156,800,unloading,0.0021176470588235297,40.5710585994255
157,800,unloading,0.002092436974789916,39.951449100879096
158,800,unloading,0.0020672268907563026,39.335559459255755
159,800,unloading,0.0020420168067226893,38.72344673590213
160,800,unloading,0.0020168067226890756,38.11516477218289
161,800,unloading,0.0019915966386554623,37.51076413319879
162,800,unloading,0.001966386554621849,36.9102920537878
163,800,unloading,0.0019411764705882352,36.31379238684727
164,800,unloading,0.001915966386554622,35.72130555401301
165,800,unloading,0.0018907563025210084,35.132868498729636
166,800,unloading,0.0018655462184873949,34.548514641744994
167,800,unloading,0.0018403361344537816,33.96827383905952
168,800,unloading,0.001815126050420168,33.39217234236001
169,800,unloading,0.0017899159663865545,32.82023276196522
170,800,unloading,0.0017647058823529412,32.25247403230929
171,800,unloading,0.0017394957983193277,31.68891137998682
172,800,unloading,0.0017142857142857144,31.129556294382155
173,800,unloading,0.001689075630252101,30.574416500903048
174,800,unloading,0.0016638655462184874,30.023495936837637
175,800,unloading,0.001638655462184874,29.476794729851257
176,800,unloading,0.0016134453781512605,28.93430917913843
177,800,unloading,0.001588235294117647,28.396031739242822
178,800,unloading,0.0015630252100840337,27.86195100655667
179,800,unloading,0.0015378151260504202,27.33205170850903
180,800,unloading,0.0015126050420168067,26.806314695450354
181,800,unloading,0.0014873949579831934,26.284716935239004
182,800,unloading,0.0014621848739495799,25.76723151053365
183,800,unloading,0.0014369747899159663,25.253827618793263
184,800,unloading,0.001411764705882353,24.744470574984728
185,800,unloading,0.0013865546218487395,24.239121816996338
186,800,unloading,0.001361344537815126,23.737738913753184
187,800,unloading,0.0013361344537815127,23.240275576028953
188,800,unloading,0.0013109243697478992,22.74668166994644
189,800,unloading,0.0012857142857142856,22.25690323315765
190,800,unloading,0.0012605042016806723,21.77088249369182
191,800,unloading,0.0012352941176470588,21.28855789145848
192,800,unloading,0.0012100840336134453,20.809864102390666
193,800,unloading,0.001184873949579832,20.33473206521109
194,800,unloading,0.0011596638655462185,19.863089010802963
195,800,unloading,0.001134453781512605,19.39485849416485
196,800,unloading,0.0011092436974789917,18.929960428927316
197,800,unloading,0.0010840336134453781,18.468311124407247
198,800,unloading,0.0010588235294117646,18.009823325174153
199,800,unloading,0.001033613445378151,17.554406253100737
200,800,unloading,0.0010084033613445378,17.101965651868543
201,800,unloading,0.0009831932773109245,16.652403833897537
202,800,unloading,0.0009579831932773107,16.205619729667095
203,800,unloading,0.0009327731092436974,15.761508939393837
204,800,unloading,0.0009075630252100841,15.319963787030376
205,800,unloading,0.0008823529411764704,14.880873376547417
206,800,unloading,0.0008571428571428571,14.44412365045984
207,800,unloading,0.0008319327731092438,14.009597450556106
208,800,unloading,0.0008067226890756301,13.577174580788549
209,800,unloading,0.0007815126050420168,13.146731872280885
210,800,unloading,0.0007563025210084034,12.718143250407403
211,800,unloading,0.0007310924369747897,12.291279803897332
212,800,unloading,0.0007058823529411764,11.86600985591608
213,800,unloading,0.0006806722689075631,11.442199037073777
214,800,unloading,0.0006554621848739494,11.019710360310393
215,800,unloading,0.0006302521008403361,10.598404297605134
216,800,unloading,0.0006050420168067228,10.178138858456588
217,800,unloading,0.000579831932773109,9.75876967007914
218,800,unloading,0.0005546218487394957,9.340150059259589
219,800,unloading,0.0005294117647058824,8.922131135816898
220,800,unloading,0.0005042016806722691,8.504561877607108
221,800,unloading,0.0004789915966386554,8.087289217013971
222,800,unloading,0.00045378151260504207,7.670158128865149
223,800,unloading,0.00042857142857142877,7.2530117197126
224,800,unloading,0.00040336134453781503,6.835691318415072
225,800,unloading,0.0003781512605042017,6.418036567959493
226,800,unloading,0.0003529411764705884,5.999885518457187
227,800,unloading,0.0003277310924369747,5.581074721250289
228,800,unloading,0.0003025210084033614,5.16143932406266
229,800,unloading,0.0002773109243697481,4.740813167128943
230,800,unloading,0.00025210084033613434,4.31902888023488
231,800,unloading,0.00022689075630252103,3.89591798060125
232,800,unloading,0.00020168067226890773,3.4713109715430597
233,800,unloading,0.000176470588235294,3.0450374418354373
234,800,unloading,0.0001512605042016807,2.6169261657168814
235,800,unloading,0.00012605042016806739,2.1868052034600893
236,800,unloading,0.00010084033613445365,1.7545020024404412
237,800,unloading,7.563025210084034e-05,1.3198434986316319
238,800,unloading,5.042016806722704e-05,0.8826562184576181
239,800,unloading,2.5210084033613304e-05,0.4427663809300526
240,800,unloading,0.0,-9.797174393178826e-16
