J_applied_J_m2,P_fail_rho0_00,P_fail_rho0_50,P_fail_HT_uncorrelated,epistemic_gap_abs_rho
1.94,0.0044,0.0162,0.1218,0.011799999999999998
1.96,0.005,0.018,0.1338,0.012999999999999998
1.98,0.006,0.0222,0.1456,0.0162
1.9999999999999998,0.0078,0.0238,0.1584,0.016
2.0199999999999996,0.0098,0.0262,0.171,0.0164
2.04,0.0108,0.028,0.1846,0.0172
2.0599999999999996,0.013,0.0302,0.1992,0.0172
2.08,0.0144,0.0346,0.2128,0.0202
2.0999999999999996,0.018,0.039,0.227,0.021
2.1199999999999997,0.0204,0.0424,0.2436,0.022
2.1399999999999997,0.0218,0.046,0.2584,0.0242
2.1599999999999997,0.0246,0.0506,0.275,0.026
2.1799999999999997,0.0264,0.0558,0.289,0.029400000000000003
2.1999999999999997,0.0294,0.0602,0.3062,0.030799999999999998
2.2199999999999998,0.0326,0.0674,0.3278,0.034800000000000005
2.2399999999999998,0.0372,0.0736,0.347,0.0364
2.26,0.0418,0.08,0.3694,0.038200000000000005
2.28,0.0464,0.0866,0.3896,0.0402
2.3,0.0528,0.0938,0.4114,0.040999999999999995
2.32,0.0584,0.1036,0.4342,0.0452
2.34,0.0648,0.1108,0.4586,0.046
2.36,0.072,0.1196,0.4784,0.0476
2.38,0.081,0.1284,0.4978,0.047399999999999984
2.3999999999999995,0.0894,0.1386,0.518,0.04920000000000001
2.42,0.0986,0.1486,0.544,0.05000000000000002
2.4399999999999995,0.1064,0.1594,0.567,0.05299999999999999
2.46,0.1174,0.1688,0.5844,0.0514
2.4799999999999995,0.1274,0.181,0.6052,0.05359999999999998
2.5,0.1386,0.1938,0.6234,0.0552
2.5199999999999996,0.151,0.204,0.6436,0.05299999999999999
2.54,0.1634,0.2172,0.6642,0.053800000000000014
2.5599999999999996,0.1778,0.2304,0.6838,0.05259999999999998
2.58,0.1944,0.2458,0.7018,0.0514
2.5999999999999996,0.2076,0.2614,0.721,0.053800000000000014
2.6199999999999997,0.2224,0.2754,0.7424,0.05299999999999999
2.6399999999999997,0.2348,0.2892,0.7604,0.054400000000000004
2.6599999999999997,0.2508,0.3056,0.7794,0.05479999999999996
2.6799999999999997,0.2668,0.3196,0.7968,0.052800000000000014
2.6999999999999997,0.2838,0.3342,0.809,0.0504
2.7199999999999998,0.3024,0.35,0.822,0.047599999999999976
2.7399999999999998,0.3194,0.361,0.8362,0.04159999999999997
2.76,0.3372,0.3768,0.8474,0.039600000000000024
2.78,0.3554,0.3966,0.8592,0.041200000000000014
2.8,0.376,0.4128,0.8722,0.0368
2.8199999999999994,0.3988,0.4304,0.8814,0.03160000000000002
2.84,0.4186,0.4462,0.894,0.027599999999999958
2.8599999999999994,0.4398,0.4662,0.9044,0.02639999999999998
2.88,0.4652,0.4838,0.9124,0.018600000000000005
2.8999999999999995,0.4858,0.5026,0.9212,0.016800000000000037
2.92,0.507,0.5196,0.9282,0.012599999999999945
2.9399999999999995,0.5288,0.5364,0.9354,0.00759999999999994
2.96,0.5506,0.5544,0.9422,0.0038000000000000256
2.9799999999999995,0.5718,0.5746,0.95,0.0028000000000000247
3.0,0.5892,0.5908,0.9562,0.0016000000000000458
3.0199999999999996,0.6158,0.6082,0.9602,0.007600000000000051
3.0399999999999996,0.6398,0.624,0.9664,0.015800000000000036
3.0599999999999996,0.6588,0.641,0.9706,0.017800000000000038
3.0799999999999996,0.6802,0.6578,0.9732,0.022399999999999975
3.0999999999999996,0.6998,0.6736,0.9784,0.0262
3.1199999999999997,0.7186,0.689,0.9814,0.02960000000000007
3.1399999999999997,0.7346,0.7082,0.9848,0.02639999999999998
3.1599999999999997,0.7532,0.7222,0.9868,0.031000000000000028
3.1799999999999997,0.7708,0.7362,0.9888,0.034600000000000075
3.1999999999999997,0.7882,0.75,0.9904,0.03820000000000001
3.2199999999999998,0.8044,0.761,0.9912,0.043399999999999994
3.2399999999999993,0.8182,0.7746,0.9922,0.04360000000000008
3.26,0.831,0.7874,0.9944,0.04359999999999997
3.2799999999999994,0.8422,0.8002,0.995,0.041999999999999926
3.3,0.8576,0.8084,0.9958,0.04920000000000002
3.3199999999999994,0.8692,0.8214,0.9962,0.047799999999999954
3.34,0.8782,0.834,0.9968,0.04420000000000002
3.3599999999999994,0.8896,0.8442,0.9974,0.045399999999999996
3.38,0.9006,0.855,0.9978,0.045599999999999974
3.3999999999999995,0.91,0.8676,0.9978,0.04239999999999999
3.42,0.9192,0.8782,0.9982,0.041000000000000036
3.4399999999999995,0.931,0.886,0.9986,0.04500000000000004
3.46,0.9378,0.8954,0.9986,0.04239999999999999
3.4799999999999995,0.9426,0.9058,0.9988,0.036799999999999944
3.5,0.9488,0.9124,0.999,0.03639999999999999
3.5199999999999996,0.9562,0.9206,0.9992,0.035600000000000076
3.54,0.9624,0.9268,0.9994,0.035600000000000076
3.5599999999999996,0.9662,0.9326,0.9998,0.03359999999999996
3.579999999999999,0.9702,0.9374,1.0,0.03279999999999994
3.5999999999999996,0.9722,0.944,1.0,0.028200000000000003
3.619999999999999,0.9752,0.948,1.0,0.027200000000000002
3.6399999999999997,0.9778,0.952,1.0,0.025800000000000045
3.6599999999999993,0.9808,0.9582,1.0,0.022599999999999953
3.6799999999999997,0.9838,0.9604,1.0,0.023399999999999976
3.6999999999999993,0.9856,0.9648,1.0,0.02080000000000004
3.7199999999999998,0.9876,0.9688,1.0,0.01880000000000004
3.7399999999999993,0.9904,0.973,1.0,0.01739999999999997
3.76,0.9914,0.9772,1.0,0.01419999999999999
3.7799999999999994,0.9924,0.9794,1.0,0.0129999999999999
3.8,0.994,0.9814,1.0,0.012599999999999945
3.8199999999999994,0.995,0.984,1.0,0.01100000000000001
3.84,0.9958,0.9854,1.0,0.010399999999999965
3.8599999999999994,0.9964,0.987,1.0,0.009399999999999964
3.88,0.9968,0.9896,1.0,0.007199999999999984
3.8999999999999995,0.9972,0.991,1.0,0.006199999999999983
3.92,0.9974,0.9922,1.0,0.005199999999999982
3.9399999999999995,0.9976,0.9934,1.0,0.0042000000000000925
3.96,0.998,0.9942,1.0,0.0038000000000000256
3.9799999999999995,0.9988,0.9944,1.0,0.0044000000000000705
3.999999999999999,0.9988,0.995,1.0,0.0038000000000000256
4.02,0.9992,0.996,1.0,0.0031999999999999806
4.039999999999999,0.9994,0.996,1.0,0.0033999999999999586
4.06,0.9994,0.9964,1.0,0.0030000000000000027
4.079999999999999,0.9994,0.9972,1.0,0.0021999999999999797
4.1,0.9996,0.9976,1.0,0.0020000000000000018
4.119999999999999,0.9996,0.9976,1.0,0.0020000000000000018
4.14,0.9998,0.998,1.0,0.0018000000000000238
4.159999999999999,0.9998,0.9984,1.0,0.0014000000000000679
4.18,1.0,0.9986,1.0,0.0013999999999999568
4.199999999999999,1.0,0.9988,1.0,0.0011999999999999789
4.22,1.0,0.999,1.0,0.0010000000000000009
4.239999999999999,1.0,0.9994,1.0,0.0006000000000000449
4.26,1.0,0.9996,1.0,0.00039999999999995595
4.279999999999999,1.0,0.9996,1.0,0.00039999999999995595
4.3,1.0,0.9998,1.0,0.00019999999999997797
4.319999999999999,1.0,0.9998,1.0,0.00019999999999997797
4.34,1.0,0.9998,1.0,0.00019999999999997797
4.359999999999999,1.0,1.0,1.0,0.0
4.38,1.0,1.0,1.0,0.0
4.3999999999999995,1.0,1.0,1.0,0.0
4.419999999999999,1.0,1.0,1.0,0.0
4.4399999999999995,1.0,1.0,1.0,0.0
4.459999999999999,1.0,1.0,1.0,0.0
4.4799999999999995,1.0,1.0,1.0,0.0
4.499999999999999,1.0,1.0,1.0,0.0
4.52,1.0,1.0,1.0,0.0
4.539999999999999,1.0,1.0,1.0,0.0
4.56,1.0,1.0,1.0,0.0
4.579999999999999,1.0,1.0,1.0,0.0
4.6,1.0,1.0,1.0,0.0
4.619999999999999,1.0,1.0,1.0,0.0
4.64,1.0,1.0,1.0,0.0
4.659999999999999,1.0,1.0,1.0,0.0
4.68,1.0,1.0,1.0,0.0
4.699999999999999,1.0,1.0,1.0,0.0
4.72,1.0,1.0,1.0,0.0
4.739999999999999,1.0,1.0,1.0,0.0
4.76,1.0,1.0,1.0,0.0
4.779999999999999,1.0,1.0,1.0,0.0
4.8,1.0,1.0,1.0,0.0
