specimen_id,rubber_content_pct,temperature_C,exposure_time_hrs,portlandite_wt_pct,calcite_wt_pct,CSH_amorphous_wt_pct,ettringite_wt_pct,quartz_wt_pct,larnite_C2S_wt_pct,hatrurite_C3S_wt_pct,free_lime_CaO_wt_pct,periclase_MgO_wt_pct,gehlenite_wt_pct,crystallinity_index,d_spacing_CSH_A,notes
XRD-R20-600-02,20,600,2,0.0,14.9,20.5,0.0,8.1,7.6,10.7,38.5,3.1,9.5,0.22,16.9,Material breakdown complete
XRD-R0-800-01,0,800,2,0.0,15.8,18.5,0.0,11.5,8.2,12.3,42.5,3.8,11.5,0.38,15.8,Complete decomposition
XRD-R0-800-02,0,800,2,0.0,16.2,19.1,0.0,11.4,8.3,12.4,43.8,3.8,12.0,0.37,15.9,Sintering and recrystallization
XRD-R0-800-03,0,800,2,0.0,15.5,18.2,0.0,11.6,8.1,12.2,41.8,3.9,11.2,0.39,15.7,High-T mineral phases
XRD-R5-800-01,5,800,2,0.0,17.2,16.8,0.0,10.8,9.1,13.5,48.2,4.1,13.8,0.33,16.5,Extreme thermal alteration
XRD-R5-800-02,5,800,2,0.0,17.5,17.3,0.0,10.7,9.2,13.6,49.5,4.1,14.2,0.32,16.6,Melting and sintering
XRD-R10-800-01,10,800,2,0.0,18.5,15.2,0.0,10.2,10.0,14.8,53.8,4.3,15.5,0.28,17.2,Total structural collapse
XRD-R10-800-02,10,800,2,0.0,18.9,15.7,0.0,10.1,10.1,14.9,55.4,4.3,16.0,0.27,17.3,Massive free lime
XRD-R15-800-01,15,800,2,0.0,19.8,13.8,0.0,9.7,10.8,16.0,58.5,4.6,17.8,0.24,17.8,Catastrophic failure
XRD-R20-800-01,20,800,2,0.0,21.2,12.1,0.0,9.2,11.6,17.4,63.8,4.9,19.5,0.21,18.3,Complete disintegration
