date,country,google_trend_mobile_money_fraud,social_sentiment_avg,social_mention_volume,cyber_incidents_finsec
2022-07-01,ET,64,-0.026884827981702636,1194,36
2022-08-01,ET,27,0.2400871096906647,1165,13
2022-09-01,ET,31,0.09296047701706799,1377,1
2022-10-01,ET,32,0.23009066831421324,1223,12
2022-11-01,ET,27,0.4051979020075362,1336,20
2022-12-01,ET,27,0.45285545100301405,1158,25
2023-01-01,ET,36,0.3400548450208316,1320,41
2023-02-01,ET,56,0.28043782205418516,1054,8
2023-03-01,ET,53,0.1918178643591206,1165,28
2023-04-01,ET,56,0.19146860959202905,1150,37
2023-05-01,ET,77,-0.06613215819458419,1052,27
2023-06-01,ET,44,0.14333314067858302,1212,15
2023-07-01,ET,45,0.17159959593097765,1098,25
2023-08-01,ET,17,0.27340449373673076,1116,14
2023-09-01,ET,35,0.33155961151273156,1195,44
2023-10-01,ET,29,0.23549296728029034,1236,16
2023-11-01,ET,21,0.3685927186095122,1299,8
2023-12-01,ET,27,0.3691597425128959,1261,36
2024-01-01,ET,47,0.19324060406875687,1253,69
2024-02-01,ET,47,0.1769658533886899,1209,3
2024-03-01,ET,47,0.3248502895644488,1215,14
2024-04-01,ET,54,0.195553237253885,1217,24
2024-05-01,ET,54,0.019039731671301293,1394,57
2024-06-01,ET,52,-0.023529415143909552,1055,8
2024-07-01,ET,39,0.15939622407609103,1191,128
2024-08-01,ET,36,0.06548668005200943,1093,102
2024-09-01,ET,21,0.3197269518082786,1529,21
2024-10-01,ET,20,0.1741458603411087,1310,7
2024-11-01,ET,34,0.32836679444308126,1100,10
2024-12-01,ET,34,0.3750046148143929,1376,23
2025-01-01,ET,46,0.1590339707762231,1240,31
2025-02-01,ET,65,0.123982379505697,1109,18
2025-03-01,ET,63,0.1269903661986378,1199,100
2025-04-01,ET,60,0.04873234816718467,1130,27
2025-05-01,ET,43,0.05874539623343955,1132,24
2025-06-01,ET,45,-0.11051357208045842,1242,26
2025-07-01,ET,41,0.27384973759386044,1316,19
2025-08-01,ET,33,0.26115520783142226,1428,79
2025-09-01,ET,60,0.030333566660615836,1065,3
2025-10-01,ET,29,0.38520499270436986,1375,50
2025-11-01,ET,34,0.18101590946046783,1097,12
2025-12-01,ET,28,0.23379271082221673,1166,18
2018-01-01,GH,54,-0.2105215942205302,2777,7
2018-02-01,GH,26,0.21154990010902514,2824,22
2018-03-01,GH,39,0.13466581636145417,2978,32
2018-04-01,GH,44,0.08066465258030202,2816,6
2018-05-01,GH,32,0.28838980302336864,2884,6
2018-06-01,GH,28,0.2819679772189261,3007,5
2018-07-01,GH,40,0.17777214455544552,2941,10
2018-08-01,GH,28,0.10698018737699415,2878,7
2018-09-01,GH,16,0.16534922119629059,2906,30
2018-10-01,GH,17,0.02459266041352425,2890,5
2018-11-01,GH,16,0.06555869842439625,2708,11
2018-12-01,GH,35,0.16280755346134235,2745,18
2019-01-01,GH,33,0.2865981629593107,2766,12
2019-02-01,GH,46,0.23438392970040817,2916,17
2019-03-01,GH,43,0.1371782921518001,2761,18
2019-04-01,GH,76,-0.020791368367139237,2706,6
2019-05-01,GH,43,0.09945292532424065,2626,9
2019-06-01,GH,48,0.09161285002198657,2787,8
2019-07-01,GH,19,0.13215892182098327,2680,21
2019-08-01,GH,20,0.10446788708397765,2805,17
2019-09-01,GH,15,0.25520239585872617,2749,5
2019-10-01,GH,16,0.23256014644513318,2864,10
2019-11-01,GH,22,0.04343839767833309,3055,14
2019-12-01,GH,39,0.09690197391238342,2872,8
2020-01-01,GH,37,-0.0072340685771504105,2896,20
2020-02-01,GH,34,0.3769241260278914,2688,5
2020-03-01,GH,48,0.1466163099654855,2977,9
2020-04-01,GH,48,0.026992611290769755,2915,22
2020-05-01,GH,49,0.05666931305956753,2786,6
2020-06-01,GH,40,0.06242134113333932,2981,17
2020-07-01,GH,24,0.15414431998971878,2626,12
2020-08-01,GH,27,0.011331277032618317,2778,8
2020-09-01,GH,29,0.18229399002822458,2713,4
2020-10-01,GH,32,0.21468386331403722,3135,3
2020-11-01,GH,23,0.09378480418486465,2858,12
2020-12-01,GH,28,-0.005387746137274191,3026,17
2021-01-01,GH,30,0.07579088059423253,2802,13
2021-02-01,GH,48,0.09146567613035031,2812,12
2021-03-01,GH,52,0.09605742179954764,2663,7
2021-04-01,GH,50,0.11332404535446783,2958,25
2021-05-01,GH,56,0.04505881399952842,2947,19
2021-06-01,GH,38,0.2654768550437773,2927,18
2021-07-01,GH,35,0.1888209868402863,2868,11
2021-08-01,GH,52,-0.01735732872928359,2653,18
2021-09-01,GH,11,0.13608214262400575,3039,7
2021-10-01,GH,25,0.06735130480825083,2803,12
2021-11-01,GH,25,0.13274810342049922,2797,6
2021-12-01,GH,30,0.0955427822969517,3092,21
2022-01-01,GH,28,-0.029374632784990935,2824,4
2022-02-01,GH,39,0.13253475856689054,2922,6
2022-03-01,GH,52,0.20416145538289196,2577,8
2022-04-01,GH,52,-0.1026164014619516,2538,9
2022-05-01,GH,54,-0.14046188419012678,3007,6
2022-06-01,GH,49,0.05744799711620356,2906,10
2022-07-01,GH,35,0.01683396464202694,2826,34
2022-08-01,GH,29,0.04842578818495445,2823,43
2022-09-01,GH,34,0.014395365253647532,2840,3
2022-10-01,GH,26,0.07266990405315789,2756,4
2022-11-01,GH,17,0.015935006582740975,2946,4
2022-12-01,GH,29,0.03866494916691615,2836,18
2023-01-01,GH,44,0.045738197648829845,2834,10
2023-02-01,GH,47,0.1623096359022949,2996,21
2023-03-01,GH,54,0.07934585713738582,2793,23
2023-04-01,GH,48,0.133288382054075,2729,2
2023-05-01,GH,56,0.08170361326894579,2767,11
2023-06-01,GH,48,-0.08807198580124612,2765,27
2023-07-01,GH,39,-0.014164001579523623,2651,8
2023-08-01,GH,39,-0.09892900962167551,2855,2
2023-09-01,GH,16,0.11690873308055771,2851,15
2023-10-01,GH,14,0.09762096804606953,2768,20
2023-11-01,GH,36,0.006038337930355044,2726,9
2023-12-01,GH,27,0.021670975343656317,2937,41
2024-01-01,GH,29,0.12634292113567963,2746,9
2024-02-01,GH,57,0.13813245490420042,2789,7
2024-03-01,GH,52,0.1219935747615289,2780,18
2024-04-01,GH,64,-0.039882869555328854,2881,11
2024-05-01,GH,51,0.11096775301812552,2870,3
2024-06-01,GH,56,0.1048879095387745,2684,58
2024-07-01,GH,35,0.18596740262583333,2830,19
2024-08-01,GH,32,0.11114010296572628,2896,26
2024-09-01,GH,22,0.1834413480853203,2818,25
2024-10-01,GH,26,0.03724744214274624,2780,13
2024-11-01,GH,24,0.11110964604401831,2770,24
2024-12-01,GH,48,0.06650316017597718,2961,56
2025-01-01,GH,41,0.12032407543804381,2924,21
2025-02-01,GH,57,0.17032876426863974,2984,16
2025-03-01,GH,61,0.024525534542838377,2971,15
2025-04-01,GH,48,-0.0169803495611882,2802,10
2025-05-01,GH,54,-0.04251258609446797,2696,12
2025-06-01,GH,49,0.2127113359497239,2868,17
2025-07-01,GH,44,-0.0012518855509209195,3077,9
2025-08-01,GH,35,0.053451478795311286,2701,12
2025-09-01,GH,37,-0.04427364901085834,2801,24
2025-10-01,GH,22,0.04753781987837062,2696,9
2025-11-01,GH,34,0.10018305771604988,3051,15
2025-12-01,GH,36,0.09391346811154767,2840,14
2018-01-01,KE,47,0.02003095703993411,2602,1
2018-02-01,KE,34,0.36327941014480036,2607,1
2018-03-01,KE,36,0.14820702717203849,2659,51
2018-04-01,KE,74,0.16898942480226467,2602,13
2018-05-01,KE,49,-0.08721589991102159,2720,2
2018-06-01,KE,38,0.18816989676914725,2393,28
2018-07-01,KE,38,0.21135734381277188,2695,53
2018-08-01,KE,9,0.04936972281923393,2573,35
2018-09-01,KE,24,0.14467558675458567,2654,55
2018-10-01,KE,10,0.30378336462429345,2384,37
2018-11-01,KE,18,0.17680248458746442,2240,1
2018-12-01,KE,17,0.3191739906358778,2445,17
2019-01-01,KE,25,0.3070731570574929,2248,1
2019-02-01,KE,32,0.17557730123910903,2427,6
2019-03-01,KE,45,0.2843657880721152,2554,12
2019-04-01,KE,44,0.2022497838600048,2429,20
2019-05-01,KE,51,0.1443318597503072,2270,51
2019-06-01,KE,38,0.029265940261319245,2391,33
2019-07-01,KE,39,0.08603590267752229,2522,63
2019-08-01,KE,29,0.16504474939020472,2589,2
2019-09-01,KE,20,0.42039153609553603,2537,7
2019-10-01,KE,4,0.1445414207776935,2416,59
2019-11-01,KE,15,0.16968851774393223,2486,1
2019-12-01,KE,13,0.38326820407881895,2454,23
2020-01-01,KE,46,-0.01521500522338407,2345,14
2020-02-01,KE,28,0.21235647243750985,2288,14
2020-03-01,KE,44,0.29389046163870947,2392,64
2020-04-01,KE,59,0.15688275709751395,2586,48
2020-05-01,KE,52,0.18979945696767395,2527,94
2020-06-01,KE,41,0.18411780741480518,2362,30
2020-07-01,KE,39,0.14281981649527065,2355,70
2020-08-01,KE,24,0.2086602402148617,2473,62
2020-09-01,KE,35,0.2329289770589881,2454,29
2020-10-01,KE,16,0.11805911226327721,2475,21
2020-11-01,KE,25,0.21181730941711202,2449,6
2020-12-01,KE,26,0.39320667485078953,2441,7
2021-01-01,KE,31,0.17885759429775913,2586,12
2021-02-01,KE,35,0.1952270643870831,2641,40
2021-03-01,KE,43,0.129190793246461,2495,79
2021-04-01,KE,57,0.2424611897969557,2382,4
2021-05-01,KE,40,0.20251320045419208,2478,20
2021-06-01,KE,36,0.2857968901776842,2659,89
2021-07-01,KE,34,0.2213859897200828,2481,57
2021-08-01,KE,25,0.09367914029449524,2584,39
2021-09-01,KE,23,0.22417845190129615,2397,12
2021-10-01,KE,26,0.09002005323969324,2453,9
2021-11-01,KE,29,0.10216601226275204,2511,34
2021-12-01,KE,29,0.23277431614326619,2278,14
2022-01-01,KE,42,0.2782476466336804,2808,124
2022-02-01,KE,49,0.20178560024911923,2320,21
2022-03-01,KE,43,0.14593912080238597,2656,10
2022-04-01,KE,49,0.24148792938313476,2558,9
2022-05-01,KE,41,0.09193576016412638,2587,9
2022-06-01,KE,57,-0.01692873226989986,2253,29
2022-07-01,KE,30,0.36593372853937395,2540,27
2022-08-01,KE,26,0.13486966501339911,2532,12
2022-09-01,KE,20,0.22176401186637823,2812,1
2022-10-01,KE,22,0.027301895759698557,2580,13
2022-11-01,KE,35,0.02700093681410835,2512,59
2022-12-01,KE,34,0.3648323504917544,2768,10
2023-01-01,KE,31,0.30424196302747103,2566,48
2023-02-01,KE,47,0.20152612561746822,2491,42
2023-03-01,KE,86,0.08992229205888733,2410,48
2023-04-01,KE,52,0.04078974218400165,2516,1
2023-05-01,KE,57,0.06548671715284705,2484,33
2023-06-01,KE,45,-0.011398367579340249,2385,0
2023-07-01,KE,45,0.030265217899546937,2347,6
2023-08-01,KE,22,0.28602465988222414,2444,17
2023-09-01,KE,34,0.07568158346679536,2359,97
2023-10-01,KE,21,-0.08709899217384028,2345,25
2023-11-01,KE,37,0.0997329012855904,2659,11
2023-12-01,KE,41,0.2836085203307314,2584,62
2024-01-01,KE,35,0.42674048397001413,2711,8
2024-02-01,KE,64,0.07975087189411514,2663,14
2024-03-01,KE,54,0.1920487622638694,2398,109
2024-04-01,KE,51,0.15794894394083642,2592,32
2024-05-01,KE,50,0.04850431200249533,2377,26
2024-06-01,KE,50,0.17677102756021118,2506,46
2024-07-01,KE,28,0.24457090631685788,2707,14
2024-08-01,KE,39,0.08966040204392259,2356,104
2024-09-01,KE,16,0.14809104109465665,2476,0
2024-10-01,KE,51,0.164652338968108,2495,0
2024-11-01,KE,23,0.3289371942474359,2513,31
2024-12-01,KE,35,0.15096466357713462,2357,6
2025-01-01,KE,53,0.1682520619776963,2392,201
2025-02-01,KE,55,0.1879004465359476,2719,33
2025-03-01,KE,56,0.0972110767220392,2467,30
2025-04-01,KE,59,0.20128253592394216,2607,41
2025-05-01,KE,61,0.2248562436377261,2547,5
2025-06-01,KE,51,0.31227875543895145,2559,4
2025-07-01,KE,44,0.04944059744458394,2406,43
2025-08-01,KE,30,0.02627941752560849,2314,56
2025-09-01,KE,32,0.1338049101058129,2420,55
2025-10-01,KE,33,0.27427527833583865,2271,69
2025-11-01,KE,38,0.0459731843544341,2404,4
2025-12-01,KE,36,0.302125575129282,2642,9
2018-01-01,NG,29,0.2766254320505448,2332,5
2018-02-01,NG,38,0.10746050258811919,2603,36
2018-03-01,NG,48,0.05199278374404574,2370,33
2018-04-01,NG,50,0.006844653880122948,2517,21
2018-05-01,NG,54,0.020619033861397785,2360,112
2018-06-01,NG,44,-0.04834137511400576,2482,26
2018-07-01,NG,37,-0.04449585752353951,2223,15
2018-08-01,NG,21,0.023349452148407807,2450,25
2018-09-01,NG,15,0.1313483025314634,2298,7
2018-10-01,NG,21,0.16997195295822543,2358,9
2018-11-01,NG,10,-0.03157874566266799,2540,10
2018-12-01,NG,20,0.21723905295828194,2556,32
2019-01-01,NG,28,0.21665221552912123,2499,60
2019-02-01,NG,37,0.13193306504780425,2544,10
2019-03-01,NG,34,0.03912305791206667,2377,23
2019-04-01,NG,45,0.19024082302997763,2497,34
2019-05-01,NG,52,0.13926074346431083,2352,38
2019-06-01,NG,35,-0.003950831490748918,2684,53
2019-07-01,NG,32,0.058914529735023966,2403,19
2019-08-01,NG,32,0.04382560592591186,2592,2
2019-09-01,NG,16,0.2203269198094823,2389,6
2019-10-01,NG,21,0.15438085791000083,2436,2
2019-11-01,NG,24,0.2833402614233601,2502,27
2019-12-01,NG,19,0.15356832379232496,2482,21
2020-01-01,NG,26,0.25892507706367873,2410,26
2020-02-01,NG,44,0.11574610716063768,2559,28
2020-03-01,NG,44,0.16790080890960038,2309,15
2020-04-01,NG,43,0.03636010740949776,2313,9
2020-05-01,NG,50,0.1835924043873054,2496,12
2020-06-01,NG,37,-0.03595169340970005,2331,5
2020-07-01,NG,31,0.2847815129414849,2557,20
2020-08-01,NG,32,0.02586242853992047,2377,11
2020-09-01,NG,21,0.28239677269723185,2307,44
2020-10-01,NG,19,0.08821077913943018,2337,39
2020-11-01,NG,29,0.01277130844892053,2400,11
2020-12-01,NG,21,0.14600003307052506,2525,13
2021-01-01,NG,27,0.2647726088585255,2515,52
2021-02-01,NG,49,0.1975515107622947,2255,22
2021-03-01,NG,47,0.12604347933823373,2449,16
2021-04-01,NG,49,0.06455521484191847,2548,70
2021-05-01,NG,51,-0.051539307629633324,2623,12
2021-06-01,NG,39,0.08712854666686842,2164,10
2021-07-01,NG,45,-0.15496789388898735,2524,37
2021-08-01,NG,24,-0.00814619933940594,2415,2
2021-09-01,NG,18,0.026372940015397455,2426,59
2021-10-01,NG,14,0.12904575520407335,2333,37
2021-11-01,NG,23,0.2745328057223882,2608,12
2021-12-01,NG,30,0.042872018143378994,2298,17
2022-01-01,NG,43,0.016569729892642295,2417,30
2022-02-01,NG,75,0.16096771097368254,2316,80
2022-03-01,NG,61,0.0360448979056903,2455,2
2022-04-01,NG,58,0.15631542368664647,2745,27
2022-05-01,NG,48,0.1322555673448853,2541,22
2022-06-01,NG,68,-0.12870423938510464,2652,19
2022-07-01,NG,34,-0.06557555354148997,2200,31
2022-08-01,NG,25,0.18430279460056181,2557,17
2022-09-01,NG,23,0.042503987623405425,2366,10
2022-10-01,NG,14,0.1677675563821339,2187,26
2022-11-01,NG,26,0.06115269239332516,2614,86
2022-12-01,NG,31,0.10392217189430464,2328,44
2023-01-01,NG,37,0.1938119031632003,2511,32
2023-02-01,NG,50,-0.07286841188390018,2438,4
2023-03-01,NG,49,0.10199670805239455,2228,32
2023-04-01,NG,39,0.2757416396938579,2418,8
2023-05-01,NG,50,0.004155915521808623,2552,10
2023-06-01,NG,42,-0.0637506966700267,2092,31
2023-07-01,NG,33,0.04666392715257524,2574,59
2023-08-01,NG,16,-0.03359203305554272,2459,10
2023-09-01,NG,31,0.13990645682954206,2538,10
2023-10-01,NG,23,-0.10033820021853845,2213,40
2023-11-01,NG,33,0.037001172138185844,2398,17
2023-12-01,NG,70,-0.14607327238965293,2350,12
2024-01-01,NG,38,0.16788899276095198,2432,22
2024-02-01,NG,37,0.12634571589554042,2401,19
2024-03-01,NG,54,0.022729466886516187,2476,28
2024-04-01,NG,48,0.3107074891497344,2414,27
2024-05-01,NG,56,0.0074959153514548476,2249,78
2024-06-01,NG,49,-0.028400065943127877,2519,70
2024-07-01,NG,37,-0.05512117073277919,2416,12
2024-08-01,NG,38,-0.028563706723504743,2599,19
2024-09-01,NG,22,0.05649813926906548,2463,26
2024-10-01,NG,31,-0.004069319199511093,2708,20
2024-11-01,NG,33,0.1965215432601779,2437,43
2024-12-01,NG,37,0.02593796470877735,1997,16
2025-01-01,NG,44,0.07344252027633374,2504,36
2025-02-01,NG,58,0.07884962183070479,2480,10
2025-03-01,NG,49,0.006357512214718713,2537,12
2025-04-01,NG,53,-0.0028390920951344768,2409,21
2025-05-01,NG,57,-0.057728976930072576,2662,10
2025-06-01,NG,47,-0.030113365816706518,2445,23
2025-07-01,NG,38,-0.21084195315426263,2437,23
2025-08-01,NG,55,0.04824480204424763,2388,26
2025-09-01,NG,25,0.0792633632752111,2328,34
2025-10-01,NG,29,-0.06431150382240114,2343,31
2025-11-01,NG,37,-0.09746314882007676,2471,19
2025-12-01,NG,41,0.07425147374434878,2475,1
2018-01-01,RW,19,0.15145180551391899,1096,11
2018-02-01,RW,41,0.13574201890156898,1042,8
2018-03-01,RW,34,0.01698944709283051,918,12
2018-04-01,RW,49,0.1521615116352448,1235,7
2018-05-01,RW,35,0.19987161286116695,1026,28
2018-06-01,RW,32,0.18515846279880077,1072,8
2018-07-01,RW,38,0.2710048053033241,1324,22
2018-08-01,RW,20,0.12428287878041762,981,23
2018-09-01,RW,13,0.237699280894069,1298,17
2018-10-01,RW,22,0.05248267960977726,1001,43
2018-11-01,RW,20,-0.0027901886705833955,1003,9
2018-12-01,RW,29,0.24737178499727042,1345,5
2019-01-01,RW,36,-0.06663318673710483,997,3
2019-02-01,RW,45,0.22953710528646165,1178,43
2019-03-01,RW,47,0.013838391848877953,848,25
2019-04-01,RW,48,0.08188831043082634,1194,16
2019-05-01,RW,37,0.19653229756826737,1162,13
2019-06-01,RW,45,0.2803294680563761,1145,36
2019-07-01,RW,33,0.1791161860282606,1255,11
2019-08-01,RW,20,0.4895378658433751,959,2
2019-09-01,RW,23,0.44910915536495527,681,3
2019-10-01,RW,21,0.18300094831359648,1040,0
2019-11-01,RW,31,0.20607157046300562,1008,5
2019-12-01,RW,23,0.13268915337925583,1023,6
2020-01-01,RW,25,0.20308129671034783,1243,6
2020-02-01,RW,46,0.08525793228032387,1165,11
2020-03-01,RW,51,0.1421810476898265,1006,17
2020-04-01,RW,58,0.08953317485210037,1071,15
2020-05-01,RW,48,0.18707483837327196,1062,3
2020-06-01,RW,46,0.035607759138566515,1140,9
2020-07-01,RW,36,0.18130513335134987,908,12
2020-08-01,RW,29,0.293876640636952,1059,21
2020-09-01,RW,25,0.2764550841469799,1256,4
2020-10-01,RW,18,0.2380256145854549,1003,8
2020-11-01,RW,22,0.3092831548844878,999,9
2020-12-01,RW,33,0.029529312951184567,1079,4
2021-01-01,RW,25,0.11040266579678863,902,8
2021-02-01,RW,39,-0.059132772941431655,897,17
2021-03-01,RW,50,0.0890472842929998,1196,53
2021-04-01,RW,43,0.1212043514940881,1050,49
2021-05-01,RW,44,0.03022224619793624,875,0
2021-06-01,RW,43,0.1543005621829396,1052,10
2021-07-01,RW,28,0.46286195600403907,1042,0
2021-08-01,RW,65,-0.016233019232977763,1113,9
2021-09-01,RW,26,0.10746234031844132,942,9
2021-10-01,RW,13,0.3128087564904121,1004,18
2021-11-01,RW,27,0.2424319842995338,1107,2
2021-12-01,RW,49,-0.008410082783901365,1253,11
2022-01-01,RW,41,-0.15110550576380435,1011,7
2022-02-01,RW,42,0.061703290758270794,981,21
2022-03-01,RW,59,-0.009634990348977987,1109,34
2022-04-01,RW,45,0.03711458423649581,1237,18
