material,category,temperature_C,youngs_modulus_GPa,tensile_strength_MPa,poisson_ratio
Al6061T6,metal,600.0,93.5,5.0,0.4411
Al6061T6,metal,650.0,84.715,5.0,0.4528
Al6061T6,metal,700.0,75.93,5.0,0.4645
Al6061T6,metal,750.0,67.145,5.0,0.4763
Al6061T6,metal,800.0,58.36,5.0,0.488
Al6061T6,metal,850.0,49.575,5.0,0.49
Al6061T6,metal,900.0,40.79,5.0,0.49
Copper,metal,-100.0,173.796,858.57,0.2712
Copper,metal,-50.0,168.913,842.01,0.2919
Copper,metal,0.0,164.03,825.46,0.3126
Copper,metal,50.0,159.147,808.9,0.3334
Copper,metal,100.0,154.264,792.35,0.3541
Copper,metal,150.0,149.381,775.79,0.3748
Copper,metal,200.0,144.498,759.24,0.3955
Copper,metal,250.0,139.615,742.68,0.4162
Copper,metal,300.0,134.732,726.13,0.4369
Copper,metal,350.0,129.849,709.57,0.4576
Copper,metal,400.0,124.966,693.02,0.4784
Copper,metal,450.0,120.083,676.46,0.49
Copper,metal,500.0,115.2,659.91,0.49
Copper,metal,550.0,110.317,643.35,0.49
Copper,metal,600.0,105.434,626.8,0.49
Copper,metal,650.0,100.551,610.24,0.49
Copper,metal,700.0,95.668,593.69,0.49
Copper,metal,750.0,90.785,577.13,0.49
Copper,metal,800.0,85.902,560.58,0.49
Copper,metal,850.0,81.019,544.02,0.49
Copper,metal,900.0,76.136,527.47,0.49
Ti64,metal,-100.0,100.535,672.93,0.2976
Ti64,metal,-50.0,94.314,634.96,0.3089
Ti64,metal,0.0,88.094,596.99,0.3201
Ti64,metal,50.0,81.874,559.03,0.3313
Ti64,metal,100.0,75.653,521.06,0.3426
Ti64,metal,150.0,69.433,483.1,0.3538
Ti64,metal,200.0,63.212,445.13,0.365
Ti64,metal,250.0,56.992,407.16,0.3762
Ti64,metal,300.0,50.772,369.2,0.3875
Ti64,metal,350.0,44.551,331.23,0.3987
Ti64,metal,400.0,38.331,293.27,0.4099
Ti64,metal,450.0,32.11,255.3,0.4212
Ti64,metal,500.0,25.89,217.33,0.4324
Ti64,metal,550.0,19.67,179.37,0.4436
Ti64,metal,600.0,13.449,141.4,0.4549
Ti64,metal,650.0,7.229,103.43,0.4661
Ti64,metal,700.0,1.008,65.47,0.4773
Ti64,metal,750.0,0.05,27.5,0.4886
Ti64,metal,800.0,0.05,5.0,0.49
Ti64,metal,850.0,0.05,5.0,0.49
Ti64,metal,900.0,0.05,5.0,0.49
SiC,ceramic,20.0,438.401,512.05,0.2268
SiC,ceramic,70.0,434.561,503.39,0.2408
SiC,ceramic,120.0,430.722,494.73,0.2549
SiC,ceramic,170.0,426.882,486.07,0.269
SiC,ceramic,220.0,423.042,477.41,0.283
SiC,ceramic,270.0,419.202,468.76,0.2971
SiC,ceramic,320.0,415.362,460.1,0.3111
SiC,ceramic,370.0,411.522,451.44,0.3252
SiC,ceramic,420.0,407.682,442.78,0.3392
SiC,ceramic,470.0,403.842,434.12,0.3533
SiC,ceramic,520.0,400.003,425.47,0.3674
SiC,ceramic,570.0,396.163,416.81,0.3814
SiC,ceramic,620.0,392.323,408.15,0.3955
SiC,ceramic,670.0,388.483,399.49,0.4095
SiC,ceramic,720.0,384.643,390.83,0.4236
SiC,ceramic,770.0,380.803,382.17,0.4377
SiC,ceramic,820.0,376.963,373.52,0.4517
SiC,ceramic,870.0,373.124,364.86,0.4658
SiC,ceramic,920.0,369.284,356.2,0.4798
SiC,ceramic,970.0,365.444,347.54,0.49
SiC,ceramic,1020.0,361.604,338.88,0.49
SiC,ceramic,1070.0,357.764,330.23,0.49
SiC,ceramic,1120.0,353.924,321.57,0.49
SiC,ceramic,1170.0,350.084,312.91,0.49
YSZ,ceramic,20.0,388.689,405.37,0.1703
YSZ,ceramic,70.0,387.612,395.15,0.1916
YSZ,ceramic,120.0,386.536,384.92,0.2129
YSZ,ceramic,170.0,385.459,374.7,0.2342
YSZ,ceramic,220.0,384.383,364.47,0.2555
YSZ,ceramic,270.0,383.307,354.25,0.2768
YSZ,ceramic,320.0,382.23,344.02,0.2981
YSZ,ceramic,370.0,381.154,333.8,0.3194
YSZ,ceramic,420.0,380.078,323.57,0.3407
YSZ,ceramic,470.0,379.001,313.35,0.362
YSZ,ceramic,520.0,377.925,303.13,0.3833
YSZ,ceramic,570.0,376.848,292.9,0.4046
YSZ,ceramic,620.0,375.772,282.68,0.4259
YSZ,ceramic,670.0,374.696,272.45,0.4472
YSZ,ceramic,720.0,373.619,262.23,0.4685
YSZ,ceramic,770.0,372.543,252.0,0.4898
YSZ,ceramic,820.0,371.467,241.78,0.49
YSZ,ceramic,870.0,370.39,231.55,0.49
YSZ,ceramic,920.0,369.314,221.33,0.49
YSZ,ceramic,970.0,368.237,211.11,0.49
YSZ,ceramic,1020.0,367.161,200.88,0.49
YSZ,ceramic,1070.0,366.085,190.66,0.49
YSZ,ceramic,1120.0,365.008,180.43,0.49
YSZ,ceramic,1170.0,363.932,170.21,0.49
PEEK,polymer,-40.0,10.903,98.78,0.366
PEEK,polymer,-20.0,7.703,76.93,0.3751
PEEK,polymer,0.0,4.503,55.09,0.3842
PEEK,polymer,20.0,1.304,33.24,0.3934
PEEK,polymer,40.0,0.05,11.39,0.4025
PEEK,polymer,60.0,0.05,5.0,0.4116
PEEK,polymer,80.0,0.05,5.0,0.4208
PEEK,polymer,100.0,0.05,5.0,0.4299
PEEK,polymer,120.0,0.05,5.0,0.439
PEEK,polymer,140.0,0.05,5.0,0.4482
PEEK,polymer,160.0,0.05,5.0,0.4573
PEEK,polymer,180.0,0.05,5.0,0.4664
Graphite,carbon,20.0,6.404,63.68,0.15
Graphite,carbon,70.0,5.331,8.93,0.1509
Graphite,carbon,120.0,4.257,5.0,0.1648
Graphite,carbon,170.0,3.183,5.0,0.1787
Graphite,carbon,220.0,2.109,5.0,0.1926
Graphite,carbon,270.0,1.036,5.0,0.2065
Graphite,carbon,320.0,0.05,5.0,0.2204
Graphite,carbon,370.0,0.05,5.0,0.2343
Graphite,carbon,420.0,0.05,5.0,0.2482
Graphite,carbon,470.0,0.05,5.0,0.2621
Graphite,carbon,520.0,0.05,5.0,0.276
Graphite,carbon,570.0,0.05,5.0,0.2899
Graphite,carbon,620.0,0.05,5.0,0.3038
Graphite,carbon,670.0,0.05,5.0,0.3177
Graphite,carbon,720.0,0.05,5.0,0.3316
Graphite,carbon,770.0,0.05,5.0,0.3455
Graphite,carbon,820.0,0.05,5.0,0.3594
Graphite,carbon,870.0,0.05,5.0,0.3733
LCO,battery_active,-20.0,103.416,772.19,0.2061
LCO,battery_active,0.0,99.816,770.12,0.2194
LCO,battery_active,20.0,96.216,768.05,0.2327
LCO,battery_active,40.0,92.616,765.97,0.2461
LCO,battery_active,60.0,89.016,763.9,0.2594
LCO,battery_active,80.0,85.416,761.83,0.2728
LCO,battery_active,100.0,81.816,759.76,0.2861
LCO,battery_active,120.0,78.216,757.69,0.2995
LCO,battery_active,140.0,74.616,755.62,0.3128
LCO,battery_active,160.0,71.016,753.55,0.3262
LCO,battery_active,180.0,67.415,751.47,0.3395
LCO,battery_active,200.0,63.815,749.4,0.3529
NMC811,battery_active,-20.0,19.846,439.41,0.2071
NMC811,battery_active,0.0,18.406,418.74,0.2222
NMC811,battery_active,20.0,16.966,398.08,0.2374
NMC811,battery_active,40.0,15.526,377.42,0.2526
NMC811,battery_active,60.0,14.086,356.76,0.2677
NMC811,battery_active,80.0,12.646,336.1,0.2829
NMC811,battery_active,100.0,11.206,315.44,0.2981
NMC811,battery_active,120.0,9.766,294.78,0.3132
NMC811,battery_active,140.0,8.326,274.12,0.3284
NMC811,battery_active,160.0,6.886,253.46,0.3435
NMC811,battery_active,180.0,5.446,232.79,0.3587
NMC811,battery_active,200.0,4.006,212.13,0.3739
LLZO,solid_electrolyte,-20.0,52.522,268.18,0.2763
LLZO,solid_electrolyte,0.0,48.933,248.71,0.2905
LLZO,solid_electrolyte,20.0,45.344,229.23,0.3048
LLZO,solid_electrolyte,40.0,41.755,209.75,0.3191
LLZO,solid_electrolyte,60.0,38.165,190.28,0.3333
LLZO,solid_electrolyte,80.0,34.576,170.8,0.3476
LLZO,solid_electrolyte,100.0,30.987,151.32,0.3618
LLZO,solid_electrolyte,120.0,27.398,131.85,0.3761
LLZO,solid_electrolyte,140.0,23.809,112.37,0.3903
LLZO,solid_electrolyte,160.0,20.219,92.89,0.4046
LLZO,solid_electrolyte,180.0,16.63,73.42,0.4189
LLZO,solid_electrolyte,200.0,13.041,53.94,0.4331
LiPF6_EC_DMC_1M,liquid_electrolyte,-20.0,6.546,24.28,0.4548
LiPF6_EC_DMC_1M,liquid_electrolyte,-10.0,4.91,18.33,0.4612
LiPF6_EC_DMC_1M,liquid_electrolyte,0.0,3.274,12.39,0.4677
LiPF6_EC_DMC_1M,liquid_electrolyte,10.0,1.637,6.44,0.4742
LiPF6_EC_DMC_1M,liquid_electrolyte,20.0,0.05,5.0,0.4806
LiPF6_EC_DMC_1M,liquid_electrolyte,30.0,0.05,5.0,0.4871
LiPF6_EC_DMC_1M,liquid_electrolyte,40.0,0.05,5.0,0.49
LiPF6_EC_DMC_1M,liquid_electrolyte,50.0,0.05,5.0,0.49
LiPF6_EC_DMC_1M,liquid_electrolyte,60.0,0.05,5.0,0.49
LiPF6_EC_DMC_1M,liquid_electrolyte,70.0,0.05,5.0,0.49
LiPF6_EC_DMC_1M,liquid_electrolyte,80.0,0.05,5.0,0.49
LiPF6_EC_DMC_1M,liquid_electrolyte,90.0,0.05,5.0,0.49
LiPF6_EC_DMC_1M,liquid_electrolyte,100.0,0.05,5.0,0.49
