material,category,temperature_C,cte_1_per_K,thermal_conductivity_W_mK,specific_heat_J_kgK
Al6061T6,metal,800.0,2.08925067e-05,47.294,1315.06
Al6061T6,metal,850.0,2.11707123e-05,35.4101,1370.93
Al6061T6,metal,900.0,2.14489179e-05,23.5263,1426.8
Copper,metal,-100.0,1.00519473e-05,293.2748,816.43
Copper,metal,-50.0,1.01744389e-05,278.96,842.14
Copper,metal,0.0,1.02969305e-05,264.6452,867.85
Copper,metal,50.0,1.04194221e-05,250.3304,893.56
Copper,metal,100.0,1.05419136e-05,236.0156,919.26
Copper,metal,150.0,1.06644052e-05,221.7009,944.97
Copper,metal,200.0,1.07868968e-05,207.3861,970.68
Copper,metal,250.0,1.09093884e-05,193.0713,996.39
Copper,metal,300.0,1.103188e-05,178.7565,1022.1
Copper,metal,350.0,1.11543715e-05,164.4417,1047.8
Copper,metal,400.0,1.12768631e-05,150.1269,1073.51
Copper,metal,450.0,1.13993547e-05,135.8121,1099.22
Copper,metal,500.0,1.15218463e-05,121.4974,1124.93
Copper,metal,550.0,1.16443379e-05,107.1826,1150.64
Copper,metal,600.0,1.17668295e-05,92.8678,1176.34
Copper,metal,650.0,1.1889321e-05,78.553,1202.05
Copper,metal,700.0,1.20118126e-05,64.2382,1227.76
Copper,metal,750.0,1.21343042e-05,49.9234,1253.47
Copper,metal,800.0,1.22567958e-05,35.6086,1279.18
Copper,metal,850.0,1.23792874e-05,21.2939,1304.88
Copper,metal,900.0,1.25017789e-05,6.9791,1330.59
Ti64,metal,-100.0,2.02922203e-05,445.9582,733.53
Ti64,metal,-50.0,2.05636747e-05,426.5905,769.19
Ti64,metal,0.0,2.0835129e-05,407.2227,804.85
Ti64,metal,50.0,2.11065833e-05,387.8549,840.5
Ti64,metal,100.0,2.13780376e-05,368.4871,876.16
Ti64,metal,150.0,2.16494919e-05,349.1193,911.81
Ti64,metal,200.0,2.19209462e-05,329.7515,947.47
Ti64,metal,250.0,2.21924006e-05,310.3838,983.12
Ti64,metal,300.0,2.24638549e-05,291.016,1018.78
Ti64,metal,350.0,2.27353092e-05,271.6482,1054.44
Ti64,metal,400.0,2.30067635e-05,252.2804,1090.09
Ti64,metal,450.0,2.32782178e-05,232.9126,1125.75
Ti64,metal,500.0,2.35496722e-05,213.5448,1161.4
Ti64,metal,550.0,2.38211265e-05,194.177,1197.06
Ti64,metal,600.0,2.40925808e-05,174.8093,1232.71
Ti64,metal,650.0,2.43640351e-05,155.4415,1268.37
Ti64,metal,700.0,2.46354894e-05,136.0737,1304.03
Ti64,metal,750.0,2.49069438e-05,116.7059,1339.68
Ti64,metal,800.0,2.51783981e-05,97.3381,1375.34
Ti64,metal,850.0,2.54498524e-05,77.9703,1410.99
Ti64,metal,900.0,2.57213067e-05,58.6026,1446.65
SiC,ceramic,20.0,4.78814088e-06,44.1485,792.58
SiC,ceramic,70.0,4.81301451e-06,45.2924,889.18
SiC,ceramic,120.0,4.83788815e-06,46.4364,985.78
SiC,ceramic,170.0,4.86276178e-06,47.5803,1082.39
SiC,ceramic,220.0,4.88763542e-06,48.7242,1178.99
SiC,ceramic,270.0,4.91250905e-06,49.8681,1275.6
SiC,ceramic,320.0,4.93738268e-06,51.0121,1372.2
SiC,ceramic,370.0,4.96225632e-06,52.156,1468.81
SiC,ceramic,420.0,4.98712995e-06,53.2999,1565.41
SiC,ceramic,470.0,5.01200359e-06,54.4439,1662.02
SiC,ceramic,520.0,5.03687722e-06,55.5878,1758.62
SiC,ceramic,570.0,5.06175086e-06,56.7317,1855.22
SiC,ceramic,620.0,5.08662449e-06,57.8756,1951.83
SiC,ceramic,670.0,5.11149813e-06,59.0196,2048.43
SiC,ceramic,720.0,5.13637176e-06,60.1635,2145.04
SiC,ceramic,770.0,5.1612454e-06,61.3074,2241.64
SiC,ceramic,820.0,5.18611903e-06,62.4513,2338.25
SiC,ceramic,870.0,5.21099267e-06,63.5953,2434.85
SiC,ceramic,920.0,5.2358663e-06,64.7392,2531.46
SiC,ceramic,970.0,5.26073994e-06,65.8831,2628.06
SiC,ceramic,1020.0,5.28561357e-06,67.0271,2724.67
SiC,ceramic,1070.0,5.31048721e-06,68.171,2821.27
SiC,ceramic,1120.0,5.33536084e-06,69.3149,2917.87
SiC,ceramic,1170.0,5.36023448e-06,70.4588,3014.48
YSZ,ceramic,20.0,3.99743278e-06,13.4716,692.57
YSZ,ceramic,70.0,4.04202015e-06,14.5413,751.37
YSZ,ceramic,120.0,4.08660753e-06,15.611,810.17
YSZ,ceramic,170.0,4.1311949e-06,16.6807,868.98
YSZ,ceramic,220.0,4.17578228e-06,17.7504,927.78
YSZ,ceramic,270.0,4.22036966e-06,18.8201,986.59
YSZ,ceramic,320.0,4.26495703e-06,19.8898,1045.39
YSZ,ceramic,370.0,4.30954441e-06,20.9595,1104.2
YSZ,ceramic,420.0,4.35413178e-06,22.0292,1163.0
YSZ,ceramic,470.0,4.39871916e-06,23.0989,1221.8
YSZ,ceramic,520.0,4.44330653e-06,24.1686,1280.61
YSZ,ceramic,570.0,4.48789391e-06,25.2383,1339.41
YSZ,ceramic,620.0,4.53248129e-06,26.308,1398.22
YSZ,ceramic,670.0,4.57706866e-06,27.3777,1457.02
YSZ,ceramic,720.0,4.62165604e-06,28.4474,1515.83
YSZ,ceramic,770.0,4.66624341e-06,29.5171,1574.63
YSZ,ceramic,820.0,4.71083079e-06,30.5867,1633.44
YSZ,ceramic,870.0,4.75541816e-06,31.6564,1692.24
YSZ,ceramic,920.0,4.80000554e-06,32.7261,1751.04
YSZ,ceramic,970.0,4.84459292e-06,33.7958,1809.85
YSZ,ceramic,1020.0,4.88918029e-06,34.8655,1868.65
YSZ,ceramic,1070.0,4.93376767e-06,35.9352,1927.46
YSZ,ceramic,1120.0,4.97835504e-06,37.0049,1986.26
YSZ,ceramic,1170.0,5.02294242e-06,38.0746,2045.07
PEEK,polymer,-40.0,0.000159887561,0.05,1020.21
PEEK,polymer,-20.0,0.000160843505,0.05,1056.79
PEEK,polymer,0.0,0.000161799448,0.0826,1093.37
PEEK,polymer,20.0,0.000162755391,0.2954,1129.95
PEEK,polymer,40.0,0.000163711335,0.5082,1166.52
PEEK,polymer,60.0,0.000164667278,0.721,1203.1
PEEK,polymer,80.0,0.000165623222,0.9338,1239.68
PEEK,polymer,100.0,0.000166579165,1.1466,1276.26
PEEK,polymer,120.0,0.000167535108,1.3594,1312.83
PEEK,polymer,140.0,0.000168491052,1.5722,1349.41
PEEK,polymer,160.0,0.000169446995,1.7849,1385.99
PEEK,polymer,180.0,0.000170402938,1.9977,1422.57
Graphite,carbon,20.0,1.6365926e-06,361.6062,1040.46
Graphite,carbon,70.0,1.66759146e-06,348.4219,1115.95
Graphite,carbon,120.0,1.69859032e-06,335.2376,1191.45
Graphite,carbon,170.0,1.72958918e-06,322.0533,1266.94
Graphite,carbon,220.0,1.76058804e-06,308.8691,1342.43
Graphite,carbon,270.0,1.79158691e-06,295.6848,1417.92
Graphite,carbon,320.0,1.82258577e-06,282.5005,1493.42
Graphite,carbon,370.0,1.85358463e-06,269.3162,1568.91
Graphite,carbon,420.0,1.88458349e-06,256.1319,1644.4
Graphite,carbon,470.0,1.91558235e-06,242.9476,1719.89
Graphite,carbon,520.0,1.94658121e-06,229.7634,1795.39
Graphite,carbon,570.0,1.97758007e-06,216.5791,1870.88
Graphite,carbon,620.0,2.00857893e-06,203.3948,1946.37
Graphite,carbon,670.0,2.03957779e-06,190.2105,2021.86
Graphite,carbon,720.0,2.07057665e-06,177.0262,2097.36
Graphite,carbon,770.0,2.10157552e-06,163.842,2172.85
Graphite,carbon,820.0,2.13257438e-06,150.6577,2248.34
Graphite,carbon,870.0,2.16357324e-06,137.4734,2323.83
LCO,battery_active,-20.0,1.32972049e-05,2.4121,507.7
LCO,battery_active,0.0,1.33866462e-05,2.9074,533.85
LCO,battery_active,20.0,1.34760875e-05,3.4026,560.0
LCO,battery_active,40.0,1.35655288e-05,3.8978,586.15
LCO,battery_active,60.0,1.36549701e-05,4.393,612.3
LCO,battery_active,80.0,1.37444115e-05,4.8883,638.45
LCO,battery_active,100.0,1.38338528e-05,5.3835,664.6
LCO,battery_active,120.0,1.39232941e-05,5.8787,690.75
LCO,battery_active,140.0,1.40127354e-05,6.374,716.9
LCO,battery_active,160.0,1.41021767e-05,6.8692,743.05
LCO,battery_active,180.0,1.4191618e-05,7.3644,769.2
LCO,battery_active,200.0,1.42810593e-05,7.8596,795.35
NMC811,battery_active,-20.0,8.78581247e-06,9.4691,500.3
NMC811,battery_active,0.0,8.8451667e-06,9.5387,521.56
NMC811,battery_active,20.0,8.90452093e-06,9.6083,542.83
NMC811,battery_active,40.0,8.96387516e-06,9.6779,564.09
NMC811,battery_active,60.0,9.02322939e-06,9.7475,585.35
NMC811,battery_active,80.0,9.08258362e-06,9.8171,606.61
NMC811,battery_active,100.0,9.14193785e-06,9.8867,627.87
NMC811,battery_active,120.0,9.20129208e-06,9.9563,649.14
NMC811,battery_active,140.0,9.26064631e-06,10.0259,670.4
NMC811,battery_active,160.0,9.32000054e-06,10.0955,691.66
NMC811,battery_active,180.0,9.37935477e-06,10.1651,712.92
NMC811,battery_active,200.0,9.43870899e-06,10.2347,734.19
LLZO,solid_electrolyte,-20.0,1.01715804e-05,0.8447,585.0
LLZO,solid_electrolyte,0.0,1.02488137e-05,1.3538,608.62
LLZO,solid_electrolyte,20.0,1.03260469e-05,1.863,632.25
LLZO,solid_electrolyte,40.0,1.04032801e-05,2.3721,655.88
LLZO,solid_electrolyte,60.0,1.04805134e-05,2.8812,679.51
LLZO,solid_electrolyte,80.0,1.05577466e-05,3.3904,703.13
LLZO,solid_electrolyte,100.0,1.06349798e-05,3.8995,726.76
LLZO,solid_electrolyte,120.0,1.0712213e-05,4.4087,750.39
LLZO,solid_electrolyte,140.0,1.07894463e-05,4.9178,774.02
LLZO,solid_electrolyte,160.0,1.08666795e-05,5.4269,797.64
LLZO,solid_electrolyte,180.0,1.09439127e-05,5.9361,821.27
LLZO,solid_electrolyte,200.0,1.10211459e-05,6.4452,844.9
LiPF6_EC_DMC_1M,liquid_electrolyte,-20.0,0.000479688948,0.4043,1676.71
LiPF6_EC_DMC_1M,liquid_electrolyte,-10.0,0.000480846063,0.4831,1688.71
LiPF6_EC_DMC_1M,liquid_electrolyte,0.0,0.000482003179,0.5618,1700.71
LiPF6_EC_DMC_1M,liquid_electrolyte,10.0,0.000483160294,0.6406,1712.71
LiPF6_EC_DMC_1M,liquid_electrolyte,20.0,0.000484317409,0.7194,1724.7
LiPF6_EC_DMC_1M,liquid_electrolyte,30.0,0.000485474524,0.7981,1736.7
LiPF6_EC_DMC_1M,liquid_electrolyte,40.0,0.000486631639,0.8769,1748.7
LiPF6_EC_DMC_1M,liquid_electrolyte,50.0,0.000487788754,0.9557,1760.69
LiPF6_EC_DMC_1M,liquid_electrolyte,60.0,0.000488945869,1.0344,1772.69
LiPF6_EC_DMC_1M,liquid_electrolyte,70.0,0.000490102984,1.1132,1784.69
LiPF6_EC_DMC_1M,liquid_electrolyte,80.0,0.000491260099,1.192,1796.69
LiPF6_EC_DMC_1M,liquid_electrolyte,90.0,0.000492417214,1.2707,1808.68
LiPF6_EC_DMC_1M,liquid_electrolyte,100.0,0.000493574329,1.3495,1820.68
