material,category,temperature_C,stress_MPa,time_h,creep_strain
SS304,metal,500.0,50.0,0.03,1e-08
SS304,metal,500.0,50.0,0.1,1e-08
SS304,metal,500.0,50.0,0.3,1e-08
SS304,metal,500.0,50.0,1.0,1e-08
SS304,metal,500.0,50.0,3.0,1e-08
SS304,metal,500.0,50.0,10.0,1e-08
SS304,metal,500.0,50.0,30.0,1e-08
SS304,metal,500.0,50.0,100.0,1e-08
SS304,metal,500.0,50.0,300.0,1e-08
SS304,metal,500.0,50.0,1000.0,1e-08
SS304,metal,500.0,150.0,0.01,1e-08
SS304,metal,500.0,150.0,0.03,1e-08
SS304,metal,500.0,150.0,0.1,1e-08
SS304,metal,500.0,150.0,0.3,1e-08
SS304,metal,500.0,150.0,1.0,1e-08
SS304,metal,500.0,150.0,3.0,1e-08
SS304,metal,500.0,150.0,10.0,1e-08
SS304,metal,500.0,150.0,30.0,1e-08
SS304,metal,500.0,150.0,100.0,1e-08
SS304,metal,500.0,150.0,300.0,1e-08
SS304,metal,500.0,150.0,1000.0,1e-08
SS304,metal,500.0,300.0,0.01,1e-08
SS304,metal,500.0,300.0,0.03,1e-08
SS304,metal,500.0,300.0,0.1,1e-08
SS304,metal,500.0,300.0,0.3,1e-08
SS304,metal,500.0,300.0,1.0,1e-08
SS304,metal,500.0,300.0,3.0,1e-08
SS304,metal,500.0,300.0,10.0,1e-08
SS304,metal,500.0,300.0,30.0,1e-08
SS304,metal,500.0,300.0,100.0,1e-08
SS304,metal,500.0,300.0,300.0,1e-08
SS304,metal,500.0,300.0,1000.0,1e-08
SS304,metal,650.0,50.0,0.01,1e-08
SS304,metal,650.0,50.0,0.03,1e-08
SS304,metal,650.0,50.0,0.1,1e-08
SS304,metal,650.0,50.0,0.3,1e-08
SS304,metal,650.0,50.0,1.0,1e-08
SS304,metal,650.0,50.0,3.0,1e-08
SS304,metal,650.0,50.0,10.0,1e-08
SS304,metal,650.0,50.0,30.0,1e-08
SS304,metal,650.0,50.0,100.0,1e-08
SS304,metal,650.0,50.0,300.0,1e-08
SS304,metal,650.0,50.0,1000.0,1e-08
SS304,metal,650.0,150.0,0.01,1e-08
SS304,metal,650.0,150.0,0.03,1e-08
SS304,metal,650.0,150.0,0.1,1e-08
SS304,metal,650.0,150.0,0.3,1e-08
SS304,metal,650.0,150.0,1.0,1e-08
SS304,metal,650.0,150.0,3.0,1e-08
SS304,metal,650.0,150.0,10.0,1e-08
SS304,metal,650.0,150.0,30.0,1e-08
SS304,metal,650.0,150.0,100.0,1e-08
SS304,metal,650.0,150.0,300.0,1e-08
SS304,metal,650.0,150.0,1000.0,1e-08
SS304,metal,650.0,300.0,0.01,1e-08
SS304,metal,650.0,300.0,0.03,1e-08
SS304,metal,650.0,300.0,0.1,1e-08
SS304,metal,650.0,300.0,0.3,1e-08
SS304,metal,650.0,300.0,1.0,1e-08
SS304,metal,650.0,300.0,3.0,1e-08
SS304,metal,650.0,300.0,10.0,1e-08
SS304,metal,650.0,300.0,30.0,1e-08
SS304,metal,650.0,300.0,100.0,1e-08
SS304,metal,650.0,300.0,300.0,1e-08
SS304,metal,650.0,300.0,1000.0,1e-08
SS304,metal,800.0,50.0,0.01,1e-08
SS304,metal,800.0,50.0,0.03,1e-08
SS304,metal,800.0,50.0,0.1,1e-08
SS304,metal,800.0,50.0,0.3,1e-08
SS304,metal,800.0,50.0,1.0,1e-08
SS304,metal,800.0,50.0,3.0,1e-08
SS304,metal,800.0,50.0,10.0,1e-08
SS304,metal,800.0,50.0,30.0,1e-08
SS304,metal,800.0,50.0,100.0,1e-08
SS304,metal,800.0,50.0,300.0,1e-08
SS304,metal,800.0,50.0,1000.0,1e-08
SS304,metal,800.0,150.0,0.01,1e-08
SS304,metal,800.0,150.0,0.03,1e-08
SS304,metal,800.0,150.0,0.1,1e-08
SS304,metal,800.0,150.0,0.3,1e-08
SS304,metal,800.0,150.0,1.0,1e-08
SS304,metal,800.0,150.0,3.0,1e-08
SS304,metal,800.0,150.0,10.0,1e-08
SS304,metal,800.0,150.0,30.0,1e-08
SS304,metal,800.0,150.0,100.0,1e-08
SS304,metal,800.0,150.0,300.0,1e-08
SS304,metal,800.0,150.0,1000.0,1e-08
SS304,metal,800.0,300.0,0.01,1e-08
SS304,metal,800.0,300.0,0.03,1e-08
SS304,metal,800.0,300.0,0.1,1e-08
SS304,metal,800.0,300.0,0.3,1.06931e-08
SS304,metal,800.0,300.0,1.0,1.86996e-08
SS304,metal,800.0,300.0,3.0,2.83101e-08
SS304,metal,800.0,300.0,10.0,3.3651e-08
SS304,metal,800.0,300.0,30.0,4.53461e-08
SS304,metal,800.0,300.0,100.0,7.81574e-08
SS304,metal,800.0,300.0,300.0,1.05091e-07
SS304,metal,800.0,300.0,1000.0,1.80098e-07
Inconel718,superalloy,20.0,100.0,0.01,1e-08
Inconel718,superalloy,20.0,100.0,0.03,1e-08
Inconel718,superalloy,20.0,100.0,0.1,1e-08
Inconel718,superalloy,20.0,100.0,0.3,1e-08
Inconel718,superalloy,20.0,100.0,1.0,1e-08
Inconel718,superalloy,20.0,100.0,3.0,1e-08
Inconel718,superalloy,20.0,100.0,10.0,1e-08
Inconel718,superalloy,20.0,100.0,30.0,1e-08
Inconel718,superalloy,20.0,100.0,100.0,1e-08
Inconel718,superalloy,20.0,100.0,300.0,1e-08
Inconel718,superalloy,20.0,100.0,1000.0,1e-08
Inconel718,superalloy,20.0,200.0,0.01,1e-08
Inconel718,superalloy,20.0,200.0,0.03,1e-08
Inconel718,superalloy,20.0,200.0,0.1,1e-08
Inconel718,superalloy,20.0,200.0,0.3,1e-08
Inconel718,superalloy,20.0,200.0,1.0,1e-08
Inconel718,superalloy,20.0,200.0,3.0,1e-08
Inconel718,superalloy,20.0,200.0,10.0,1e-08
Inconel718,superalloy,20.0,200.0,30.0,1e-08
Inconel718,superalloy,20.0,200.0,100.0,1e-08
Inconel718,superalloy,20.0,200.0,300.0,1e-08
Inconel718,superalloy,20.0,200.0,1000.0,1e-08
Inconel718,superalloy,20.0,400.0,0.01,1e-08
Inconel718,superalloy,20.0,400.0,0.03,1e-08
Inconel718,superalloy,20.0,400.0,0.1,1e-08
Inconel718,superalloy,20.0,400.0,0.3,1e-08
Inconel718,superalloy,20.0,400.0,1.0,1e-08
Inconel718,superalloy,20.0,400.0,3.0,1e-08
Inconel718,superalloy,20.0,400.0,10.0,1e-08
Inconel718,superalloy,20.0,400.0,30.0,1e-08
Inconel718,superalloy,20.0,400.0,100.0,1e-08
Inconel718,superalloy,20.0,400.0,300.0,1e-08
Inconel718,superalloy,20.0,400.0,1000.0,1e-08
Inconel718,superalloy,170.0,100.0,0.01,1e-08
Inconel718,superalloy,170.0,100.0,0.03,1e-08
Inconel718,superalloy,170.0,100.0,0.1,1e-08
Inconel718,superalloy,170.0,100.0,0.3,1e-08
Inconel718,superalloy,170.0,100.0,1.0,1e-08
Inconel718,superalloy,170.0,100.0,3.0,1e-08
Inconel718,superalloy,170.0,100.0,10.0,1e-08
Inconel718,superalloy,170.0,100.0,30.0,1e-08
Inconel718,superalloy,170.0,100.0,100.0,1e-08
Inconel718,superalloy,170.0,100.0,300.0,1e-08
Inconel718,superalloy,170.0,100.0,1000.0,1e-08
Inconel718,superalloy,170.0,200.0,0.01,1e-08
Inconel718,superalloy,170.0,200.0,0.03,1e-08
Inconel718,superalloy,170.0,200.0,0.1,1e-08
Inconel718,superalloy,170.0,200.0,0.3,1e-08
Inconel718,superalloy,170.0,200.0,1.0,1e-08
Inconel718,superalloy,170.0,200.0,3.0,1e-08
Inconel718,superalloy,170.0,200.0,10.0,1e-08
Inconel718,superalloy,170.0,200.0,30.0,1e-08
Inconel718,superalloy,170.0,200.0,100.0,1e-08
Inconel718,superalloy,170.0,200.0,300.0,1e-08
Inconel718,superalloy,170.0,200.0,1000.0,1e-08
Inconel718,superalloy,170.0,400.0,0.01,1e-08
Inconel718,superalloy,170.0,400.0,0.03,1e-08
Inconel718,superalloy,170.0,400.0,0.1,1e-08
Inconel718,superalloy,170.0,400.0,0.3,1e-08
Inconel718,superalloy,170.0,400.0,1.0,1e-08
Inconel718,superalloy,170.0,400.0,3.0,1e-08
Inconel718,superalloy,170.0,400.0,10.0,1e-08
Inconel718,superalloy,170.0,400.0,30.0,1e-08
Inconel718,superalloy,170.0,400.0,100.0,1e-08
Inconel718,superalloy,170.0,400.0,300.0,1e-08
Inconel718,superalloy,170.0,400.0,1000.0,1e-08
Inconel718,superalloy,320.0,100.0,0.01,1e-08
Inconel718,superalloy,320.0,100.0,0.03,1e-08
Inconel718,superalloy,320.0,100.0,0.1,1e-08
Inconel718,superalloy,320.0,100.0,0.3,1e-08
Inconel718,superalloy,320.0,100.0,1.0,1e-08
Inconel718,superalloy,320.0,100.0,3.0,1e-08
Inconel718,superalloy,320.0,100.0,10.0,1e-08
Inconel718,superalloy,320.0,100.0,30.0,1e-08
Inconel718,superalloy,320.0,100.0,100.0,1e-08
Inconel718,superalloy,320.0,100.0,300.0,1e-08
Inconel718,superalloy,320.0,100.0,1000.0,1e-08
Inconel718,superalloy,320.0,200.0,0.01,1e-08
Inconel718,superalloy,320.0,200.0,0.03,1e-08
Inconel718,superalloy,320.0,200.0,0.1,1e-08
Inconel718,superalloy,320.0,200.0,0.3,1e-08
Inconel718,superalloy,320.0,200.0,1.0,1e-08
Inconel718,superalloy,320.0,200.0,3.0,1e-08
Inconel718,superalloy,320.0,200.0,10.0,1e-08
Inconel718,superalloy,320.0,200.0,30.0,1e-08
Inconel718,superalloy,320.0,200.0,100.0,1e-08
Inconel718,superalloy,320.0,200.0,300.0,1e-08
Inconel718,superalloy,320.0,200.0,1000.0,1e-08
Inconel718,superalloy,320.0,400.0,0.01,1e-08
Inconel718,superalloy,320.0,400.0,0.03,1e-08
Inconel718,superalloy,320.0,400.0,0.1,1e-08
Inconel718,superalloy,320.0,400.0,0.3,1e-08
Inconel718,superalloy,320.0,400.0,1.0,1e-08
Inconel718,superalloy,320.0,400.0,3.0,1e-08
Inconel718,superalloy,320.0,400.0,10.0,1e-08
Inconel718,superalloy,320.0,400.0,30.0,1e-08
Inconel718,superalloy,320.0,400.0,100.0,1e-08
Inconel718,superalloy,320.0,400.0,300.0,1e-08
Inconel718,superalloy,320.0,400.0,1000.0,1e-08
Inconel718,superalloy,470.0,100.0,0.01,1e-08
Inconel718,superalloy,470.0,100.0,0.03,1e-08
Inconel718,superalloy,470.0,100.0,0.1,1e-08
Inconel718,superalloy,470.0,100.0,0.3,1e-08
Inconel718,superalloy,470.0,100.0,1.0,1e-08
Inconel718,superalloy,470.0,100.0,3.0,1e-08
Inconel718,superalloy,470.0,100.0,10.0,1e-08
Inconel718,superalloy,470.0,100.0,30.0,1e-08
Inconel718,superalloy,470.0,100.0,100.0,1e-08
Inconel718,superalloy,470.0,100.0,300.0,1e-08
Inconel718,superalloy,470.0,100.0,1000.0,1e-08
Inconel718,superalloy,470.0,200.0,0.01,1e-08
Inconel718,superalloy,470.0,200.0,0.03,1e-08
Inconel718,superalloy,470.0,200.0,0.1,1e-08
Inconel718,superalloy,470.0,200.0,0.3,1e-08
Inconel718,superalloy,470.0,200.0,1.0,1e-08
Inconel718,superalloy,470.0,200.0,3.0,1e-08
Inconel718,superalloy,470.0,200.0,10.0,1e-08
Inconel718,superalloy,470.0,200.0,30.0,1e-08
Inconel718,superalloy,470.0,200.0,100.0,1e-08
Inconel718,superalloy,470.0,200.0,300.0,1e-08
Inconel718,superalloy,470.0,200.0,1000.0,1e-08
Inconel718,superalloy,470.0,400.0,0.01,1e-08
Inconel718,superalloy,470.0,400.0,0.03,1e-08
Inconel718,superalloy,470.0,400.0,0.1,1e-08
Inconel718,superalloy,470.0,400.0,0.3,1e-08
Inconel718,superalloy,470.0,400.0,1.0,1e-08
Inconel718,superalloy,470.0,400.0,3.0,1e-08
Inconel718,superalloy,470.0,400.0,10.0,1e-08
Inconel718,superalloy,470.0,400.0,30.0,1e-08
Inconel718,superalloy,470.0,400.0,100.0,1e-08
Inconel718,superalloy,470.0,400.0,300.0,1e-08
Inconel718,superalloy,470.0,400.0,1000.0,1e-08
Inconel718,superalloy,620.0,100.0,0.01,1e-08
Inconel718,superalloy,620.0,100.0,0.03,1e-08
Inconel718,superalloy,620.0,100.0,0.1,1e-08
Inconel718,superalloy,620.0,100.0,0.3,1e-08
Inconel718,superalloy,620.0,100.0,1.0,1e-08
Inconel718,superalloy,620.0,100.0,3.0,1e-08
Inconel718,superalloy,620.0,100.0,10.0,1e-08
Inconel718,superalloy,620.0,100.0,30.0,1e-08
Inconel718,superalloy,620.0,100.0,100.0,1e-08
Inconel718,superalloy,620.0,100.0,300.0,1e-08
Inconel718,superalloy,620.0,100.0,1000.0,1e-08
Inconel718,superalloy,620.0,200.0,0.01,1e-08
Inconel718,superalloy,620.0,200.0,0.03,1e-08
Inconel718,superalloy,620.0,200.0,0.1,1e-08
Inconel718,superalloy,620.0,200.0,0.3,1e-08
Inconel718,superalloy,620.0,200.0,1.0,1e-08
Inconel718,superalloy,620.0,200.0,3.0,1e-08
Inconel718,superalloy,620.0,200.0,10.0,1e-08
Inconel718,superalloy,620.0,200.0,30.0,1e-08
Inconel718,superalloy,620.0,200.0,100.0,1e-08
Inconel718,superalloy,620.0,200.0,300.0,1e-08
Inconel718,superalloy,620.0,200.0,1000.0,1e-08
Inconel718,superalloy,620.0,400.0,0.01,1e-08
Inconel718,superalloy,620.0,400.0,0.03,1e-08
Inconel718,superalloy,620.0,400.0,0.1,1e-08
Inconel718,superalloy,620.0,400.0,0.3,1e-08
Inconel718,superalloy,620.0,400.0,1.0,1e-08
Inconel718,superalloy,620.0,400.0,3.0,1e-08
Inconel718,superalloy,620.0,400.0,10.0,1e-08
Inconel718,superalloy,620.0,400.0,30.0,1e-08
Inconel718,superalloy,620.0,400.0,100.0,1e-08
Inconel718,superalloy,620.0,400.0,300.0,1e-08
Inconel718,superalloy,620.0,400.0,1000.0,1e-08
Inconel718,superalloy,770.0,100.0,0.01,1e-08
Inconel718,superalloy,770.0,100.0,0.03,1e-08
Inconel718,superalloy,770.0,100.0,0.1,1e-08
Inconel718,superalloy,770.0,100.0,0.3,1e-08
Inconel718,superalloy,770.0,100.0,1.0,1e-08
Inconel718,superalloy,770.0,100.0,3.0,1e-08
Inconel718,superalloy,770.0,100.0,10.0,1e-08
Inconel718,superalloy,770.0,100.0,30.0,1e-08
Inconel718,superalloy,770.0,100.0,100.0,1e-08
Inconel718,superalloy,770.0,100.0,300.0,1e-08
Inconel718,superalloy,770.0,100.0,1000.0,1e-08
Inconel718,superalloy,770.0,200.0,0.01,1e-08
Inconel718,superalloy,770.0,200.0,0.03,1e-08
Inconel718,superalloy,770.0,200.0,0.1,1e-08
Inconel718,superalloy,770.0,200.0,0.3,1e-08
Inconel718,superalloy,770.0,200.0,1.0,1e-08
Inconel718,superalloy,770.0,200.0,3.0,1e-08
Inconel718,superalloy,770.0,200.0,10.0,1e-08
Inconel718,superalloy,770.0,200.0,30.0,1e-08
Inconel718,superalloy,770.0,200.0,100.0,1e-08
Inconel718,superalloy,770.0,200.0,300.0,1e-08
Inconel718,superalloy,770.0,200.0,1000.0,1e-08
Inconel718,superalloy,770.0,400.0,0.01,1e-08
Inconel718,superalloy,770.0,400.0,0.03,1e-08
Inconel718,superalloy,770.0,400.0,0.1,1e-08
Inconel718,superalloy,770.0,400.0,0.3,1e-08
Inconel718,superalloy,770.0,400.0,1.0,1e-08
Inconel718,superalloy,770.0,400.0,3.0,1e-08
Inconel718,superalloy,770.0,400.0,10.0,1e-08
Inconel718,superalloy,770.0,400.0,30.0,1e-08
Inconel718,superalloy,770.0,400.0,100.0,1e-08
Inconel718,superalloy,770.0,400.0,300.0,1e-08
Inconel718,superalloy,770.0,400.0,1000.0,1e-08
Inconel718,superalloy,920.0,100.0,0.01,1e-08
Inconel718,superalloy,920.0,100.0,0.03,1e-08
Inconel718,superalloy,920.0,100.0,0.1,1e-08
Inconel718,superalloy,920.0,100.0,0.3,1e-08
Inconel718,superalloy,920.0,100.0,1.0,1e-08
Inconel718,superalloy,920.0,100.0,3.0,1e-08
Inconel718,superalloy,920.0,100.0,10.0,1e-08
Inconel718,superalloy,920.0,100.0,30.0,1e-08
Inconel718,superalloy,920.0,100.0,100.0,1e-08
Inconel718,superalloy,920.0,100.0,300.0,1e-08
Inconel718,superalloy,920.0,100.0,1000.0,1e-08
Inconel718,superalloy,920.0,200.0,0.01,1e-08
Inconel718,superalloy,920.0,200.0,0.03,1e-08
Inconel718,superalloy,920.0,200.0,0.1,1e-08
Inconel718,superalloy,920.0,200.0,0.3,1e-08
Inconel718,superalloy,920.0,200.0,1.0,1e-08
Inconel718,superalloy,920.0,200.0,3.0,1e-08
Inconel718,superalloy,920.0,200.0,10.0,1e-08
Inconel718,superalloy,920.0,200.0,30.0,1e-08
Inconel718,superalloy,920.0,200.0,100.0,1e-08
Inconel718,superalloy,920.0,200.0,300.0,1e-08
Inconel718,superalloy,920.0,200.0,1000.0,1e-08
Inconel718,superalloy,920.0,400.0,0.01,1e-08
Inconel718,superalloy,920.0,400.0,0.03,1e-08
Inconel718,superalloy,920.0,400.0,0.1,1e-08
Inconel718,superalloy,920.0,400.0,0.3,1e-08
Inconel718,superalloy,920.0,400.0,1.0,1e-08
Inconel718,superalloy,920.0,400.0,3.0,1e-08
Inconel718,superalloy,920.0,400.0,10.0,1e-08
Inconel718,superalloy,920.0,400.0,30.0,1e-08
Inconel718,superalloy,920.0,400.0,100.0,1e-08
Inconel718,superalloy,920.0,400.0,300.0,1e-08
Inconel718,superalloy,920.0,400.0,1000.0,1e-08
Al6061T6,metal,-100.0,50.0,0.01,1e-08
Al6061T6,metal,-100.0,50.0,0.03,1e-08
Al6061T6,metal,-100.0,50.0,0.1,1e-08
Al6061T6,metal,-100.0,50.0,0.3,1e-08
Al6061T6,metal,-100.0,50.0,1.0,1e-08
Al6061T6,metal,-100.0,50.0,3.0,1e-08
Al6061T6,metal,-100.0,50.0,10.0,1e-08
Al6061T6,metal,-100.0,50.0,30.0,1e-08
Al6061T6,metal,-100.0,50.0,100.0,1e-08
Al6061T6,metal,-100.0,50.0,300.0,1e-08
Al6061T6,metal,-100.0,50.0,1000.0,1e-08
Al6061T6,metal,-100.0,150.0,0.01,1e-08
Al6061T6,metal,-100.0,150.0,0.03,1e-08
Al6061T6,metal,-100.0,150.0,0.1,1e-08
Al6061T6,metal,-100.0,150.0,0.3,1e-08
Al6061T6,metal,-100.0,150.0,1.0,1e-08
Al6061T6,metal,-100.0,150.0,3.0,1e-08
Al6061T6,metal,-100.0,150.0,10.0,1e-08
Al6061T6,metal,-100.0,150.0,30.0,1e-08
Al6061T6,metal,-100.0,150.0,100.0,1e-08
Al6061T6,metal,-100.0,150.0,300.0,1e-08
Al6061T6,metal,-100.0,150.0,1000.0,1e-08
Al6061T6,metal,-100.0,300.0,0.01,1e-08
Al6061T6,metal,-100.0,300.0,0.03,1e-08
Al6061T6,metal,-100.0,300.0,0.1,1e-08
Al6061T6,metal,-100.0,300.0,0.3,1e-08
Al6061T6,metal,-100.0,300.0,1.0,1e-08
Al6061T6,metal,-100.0,300.0,3.0,1e-08
Al6061T6,metal,-100.0,300.0,10.0,1e-08
Al6061T6,metal,-100.0,300.0,30.0,1e-08
Al6061T6,metal,-100.0,300.0,100.0,1e-08
Al6061T6,metal,-100.0,300.0,300.0,1e-08
Al6061T6,metal,-100.0,300.0,1000.0,1e-08
Al6061T6,metal,50.0,50.0,0.01,1e-08
Al6061T6,metal,50.0,50.0,0.03,1e-08
Al6061T6,metal,50.0,50.0,0.1,1e-08
Al6061T6,metal,50.0,50.0,0.3,1e-08
Al6061T6,metal,50.0,50.0,1.0,1e-08
Al6061T6,metal,50.0,50.0,3.0,1e-08
Al6061T6,metal,50.0,50.0,10.0,1e-08
Al6061T6,metal,50.0,50.0,30.0,1e-08
Al6061T6,metal,50.0,50.0,100.0,1e-08
Al6061T6,metal,50.0,50.0,300.0,1e-08
Al6061T6,metal,50.0,50.0,1000.0,1e-08
Al6061T6,metal,50.0,150.0,0.01,1e-08
Al6061T6,metal,50.0,150.0,0.03,1e-08
Al6061T6,metal,50.0,150.0,0.1,1e-08
Al6061T6,metal,50.0,150.0,0.3,1e-08
Al6061T6,metal,50.0,150.0,1.0,1e-08
Al6061T6,metal,50.0,150.0,3.0,1e-08
Al6061T6,metal,50.0,150.0,10.0,1e-08
Al6061T6,metal,50.0,150.0,30.0,1e-08
Al6061T6,metal,50.0,150.0,100.0,1e-08
Al6061T6,metal,50.0,150.0,300.0,1e-08
Al6061T6,metal,50.0,150.0,1000.0,1e-08
Al6061T6,metal,50.0,300.0,0.01,1e-08
Al6061T6,metal,50.0,300.0,0.03,1e-08
Al6061T6,metal,50.0,300.0,0.1,1e-08
Al6061T6,metal,50.0,300.0,0.3,1e-08
Al6061T6,metal,50.0,300.0,1.0,1e-08
Al6061T6,metal,50.0,300.0,3.0,1e-08
Al6061T6,metal,50.0,300.0,10.0,1e-08
Al6061T6,metal,50.0,300.0,30.0,1e-08
Al6061T6,metal,50.0,300.0,100.0,1e-08
Al6061T6,metal,50.0,300.0,300.0,1e-08
Al6061T6,metal,50.0,300.0,1000.0,1e-08
