material,crystal_structure,miller_indices,surface_energy_J_m2,temperature_K,atmosphere,surface_area_A2,relaxation_layers,slab_thickness_A,vacuum_thickness_A
Ti,bcc,(210),4.003349080000237,469.024785152385,reducing,344.00058574188665,6,35.026898006237346,29.145177787397493
Mg,hcp,(111),0.743745728653305,561.8133481520338,inert,797.2090915361086,6,20.633218158219382,18.256978919076477
Fe,bcc,(100),0.9612173263753327,516.9267591023331,inert,621.0900243988211,9,38.86884197364893,25.742025947303546
Ni,hcp,(110),1.4054139302719402,668.7721981716466,air,591.1997368650495,6,36.02084227285215,21.405237246861827
Zn,hcp,(211),1.6719580601346848,534.5663680874698,reducing,742.6115211234411,9,34.13108307151896,25.962776597781996
Al,bcc,(110),0.876578802072521,522.5259808954033,air,239.58484377463853,8,16.07918785703058,27.011456798573374
Mg,fcc,(210),1.0953895164125362,865.7680940120036,vacuum,562.3725615136816,5,18.261559035493153,15.933340430682641
Zn,bcc,(110),0.5895664125944748,588.7785405215727,vacuum,388.9479568419868,5,17.306466868103907,18.89049303116225
Fe,fcc,(211),5.04446792392336,1084.3068581569587,reducing,448.4092050914889,5,33.336037345266455,15.947238028602952
Zn,fcc,(211),1.6847689843211893,1155.1515066867842,inert,827.3903028852129,6,32.89673858958088,27.18156808296135
Mg,bcc,(110),0.3794272146322612,1192.166226210358,inert,582.9588125694627,6,32.315467291151336,18.47125639938725
Ti,bcc,(111),2.5458346985118276,932.1363660954369,vacuum,996.8399795591383,6,27.78659810818794,27.57449329804261
Fe,fcc,(211),5.478623506986413,338.55692157655244,reducing,661.4762874555964,6,24.059164546786015,19.600459055804976
Fe,hcp,(211),5.968276327680985,986.9641973030527,inert,239.08545822623446,3,26.68850655667173,27.745695668705913
Ni,bcc,(211),5.043315417267942,1010.7889390151997,reducing,826.8014273300112,3,17.23789249487214,22.389963387457932
Ti,fcc,(310),6.217239473469522,442.58443446556146,inert,255.0383329202094,8,33.62278137067556,27.570076139268245
Zn,hcp,(310),3.5727533684926462,874.0025870866478,inert,473.0290546668123,5,24.802766728383933,16.046302279805086
Ti,hcp,(100),0.6448709057768168,1106.3376282724112,inert,317.54235888218614,7,22.995898082299178,19.897414914948776
Cu,hcp,(111),1.7828641424577025,324.1324180359039,air,806.9005277670154,8,33.1057059326709,20.784880346641238
Fe,fcc,(110),1.872235013649441,940.8316248779558,air,140.7324824834963,3,33.801173195146525,25.640668954648337
Mg,fcc,(110),0.39080196874091017,1101.7137465212913,inert,482.90420489663524,6,31.42530392218836,28.431953366384604
Fe,fcc,(211),6.560338506010676,1121.5935707004273,reducing,167.61559747943664,9,34.32579746764293,28.798412712284467
Ti,fcc,(100),0.725764382984461,894.9211890823856,air,819.3554269008848,6,15.858290896795296,18.053301842662062
Ni,fcc,(211),4.625427485339141,671.5733435553656,air,813.9186838011105,8,17.105336351767175,22.87335424132726
Mg,fcc,(211),1.3716053350858015,936.2108115081487,air,683.2729673341332,4,29.93031735464983,29.20871815059394
Ti,bcc,(310),7.8330301816708205,348.10996258487853,air,710.4250544168237,4,37.05869029599384,27.42827112697562
Al,bcc,(110),0.7843859034294193,1180.7367005216847,reducing,515.8761441624071,5,27.474853861299998,21.142817208902837
Cu,bcc,(211),4.329761712505945,845.9600266286238,vacuum,654.3812569694005,6,38.778175806684445,27.467224007455282
Al,bcc,(211),2.418338025223371,367.3093480525787,reducing,999.300440821509,3,27.321979488602096,25.320557003296933
Ni,bcc,(110),1.7281535862573902,1132.3394417380528,inert,448.10406796613375,5,30.82553048845046,18.898194396747105
Fe,hcp,(310),7.845359276095804,570.6220680513679,reducing,679.1819304571578,7,24.17025236888672,19.08381539076699
Cu,fcc,(110),1.2538016793374438,717.5046183963841,vacuum,217.93798823088918,5,15.907406960268736,18.36855258596607
Fe,bcc,(310),11.257292883153887,1175.095839279354,air,578.3535860525591,7,32.71483269055007,15.606685921845012
Zn,hcp,(100),0.34955054903170085,323.31117673107553,inert,825.3503998427378,8,34.240082633768324,18.62929364261396
Fe,hcp,(310),9.015229264052753,738.7644403512729,inert,774.2336713128363,9,31.7748620507079,23.97068733700535
Zn,hcp,(111),1.1751304301193477,380.94948412935105,air,849.8307734761828,9,22.0580599372502,17.73163893514599
Mg,bcc,(210),1.331872372588229,1035.5648354297894,reducing,267.0532216357566,8,28.387959111517922,29.854891417902984
Ti,hcp,(100),0.536217990507422,1044.4843200780617,inert,796.2088376756487,6,36.932654757801444,27.548445529573076
Zn,fcc,(110),0.6620439882867458,666.7737807707549,vacuum,310.16067273393816,8,15.086062473610243,28.759470712434187
Ni,bcc,(210),3.6094245398644036,599.9860336487177,reducing,875.4729610188779,6,29.34014465309508,22.617300220362033
Cu,bcc,(310),7.265769620112514,358.26398946883256,air,579.0671357348758,7,23.201980447429165,21.070879671674035
Zn,fcc,(110),0.6667463412167852,694.2136586322731,reducing,402.3084431053064,5,15.68219126626414,18.452719183068865
Ti,bcc,(100),0.7264462602814967,964.9282036450228,reducing,478.459322268879,7,35.9293642586111,25.21977456069545
Fe,bcc,(210),5.545611571260746,501.6743324202029,vacuum,585.4189744062068,6,21.768545337237278,15.35557864349623
Zn,fcc,(310),3.1362729974226182,848.6231666732406,vacuum,502.44589957496225,3,35.82977011089116,19.853210374449763
Ti,hcp,(210),3.238612840071868,1154.218937624998,inert,777.3721168141612,9,18.21420661507422,29.773563737023686
Zn,fcc,(210),1.9252335137717729,720.5257633296187,vacuum,783.2071860258341,8,23.202714027662978,21.585033262350084
Fe,hcp,(111),2.584529221962742,988.9126025221775,vacuum,406.49564029518217,5,15.843252686442975,23.26746902210479
Al,bcc,(110),0.9238033295561962,367.7146569767217,air,952.0905569472002,5,38.52142842168509,27.438787372806868
Ti,bcc,(100),0.673887291722689,841.6288279712826,reducing,202.893171041082,6,25.577637031908246,18.78460711137957
Mg,hcp,(211),1.460828151734637,1142.2314826344539,air,410.44609397956793,5,25.404691523342393,26.85040142463427
Ti,bcc,(110),1.438604803658033,707.8566260718594,vacuum,377.51989530605636,9,21.65906156710046,29.219543483167463
Fe,bcc,(100),0.9373238135145336,884.8196641908685,inert,132.94874425798076,9,25.42101648150919,27.582773763965662
Ti,fcc,(211),3.990959255719553,614.1937039046229,vacuum,201.78741528663204,3,32.65948024757604,21.25552836769756
Mg,fcc,(210),1.3525265597384648,623.6306165279361,inert,953.3465245182753,9,25.596138112514417,21.4964175678051
Mg,hcp,(110),0.46200969279821025,835.6054177421435,air,472.26557629886867,3,16.05046478165899,16.041254378852063
Ni,hcp,(100),0.758843142365138,599.8620551887768,inert,366.8809864193312,6,22.708085545493283,24.274729533472982
Zn,fcc,(111),1.0933005045067505,540.9634968971083,reducing,292.40931428218244,3,17.278304330844993,17.208036916468636
Fe,bcc,(100),1.1902313206515798,862.5206990383429,air,389.272690918007,4,26.063430394432338,22.85400859588856
Cu,bcc,(211),4.540409248589469,1093.3502000354574,vacuum,534.4390416152277,3,15.509428677005792,27.657884819343835
Al,bcc,(210),2.3727549701595607,827.3722608299059,inert,383.0686909013829,9,17.196404608162865,27.868959805028005
Ni,bcc,(210),4.035707882549084,390.4783957075972,reducing,306.6802101911321,8,17.112252606120723,16.027544446531962
Ti,bcc,(111),2.149724336099072,895.8083087411691,vacuum,489.652409075862,6,17.623066131866093,15.609109716785898
Al,bcc,(110),0.8611634600696401,884.9735600254993,vacuum,261.0553962674596,8,26.77780050680603,19.603397732836193
Mg,bcc,(100),0.2176224027720354,1172.1016867279377,inert,996.2023550213211,3,34.13970594109204,27.28422561467008
Fe,hcp,(100),0.8941957298290862,778.8160372007454,reducing,623.8083527937216,4,32.74887763074574,17.67932110544403
Ti,bcc,(111),2.2417138266123393,316.0154010115427,reducing,575.7470404227361,3,15.565538928177517,23.84940969714133
Cu,bcc,(111),2.1023276515494227,332.79553749305467,reducing,140.38071675633984,4,21.19656991388259,18.68889891797376
Ni,hcp,(210),3.5486994693690326,419.65704368937025,air,632.82233487495,5,30.260280092341652,23.624323283292846
Fe,fcc,(211),5.529229309346784,625.7586644834059,reducing,646.1998135724868,5,29.90491116806231,29.13572047101308
Zn,fcc,(210),1.2204702351452519,713.8041976582493,reducing,402.517432434831,9,27.79316310811284,26.435908587842942
Fe,bcc,(100),1.0891528794717233,637.0202002174981,vacuum,273.29630981922946,5,27.26316842563683,25.22336301944093
Ti,fcc,(111),2.08726887515531,509.66177414049554,air,967.6254617491957,3,31.859917788382642,17.93521628175023
Ti,hcp,(310),7.207686480399544,1046.7171404007308,air,942.4780623214538,5,30.789452736977164,20.972239259014955
Al,fcc,(211),2.0161350514519096,846.3781030822956,inert,643.5354559467789,6,34.958754328901605,29.000581096383293
Al,hcp,(111),1.0209312150880565,1154.237748013246,vacuum,499.94877845092805,3,30.013655975025905,17.015544208380355
Al,fcc,(110),0.8229977947078184,1047.847256815176,air,207.1848971680795,4,34.13511098135553,16.222665540509148
Zn,hcp,(310),3.0749129707395837,956.9330470715832,air,436.94450624315687,6,34.651080243349114,21.89590235923803
Ti,bcc,(211),3.840383818460849,451.2961750855203,vacuum,224.91067036241293,3,39.16634178319356,27.73019347062835
Zn,fcc,(100),0.27966661014069416,770.4192590819786,vacuum,460.96237959110425,3,19.27979198976313,24.460731317991453
Ni,fcc,(110),1.4409426942892298,520.3996765292821,reducing,530.3488269490224,4,38.910177177747926,24.90834066901818
Fe,fcc,(210),4.06478505898915,584.5602457885875,vacuum,760.024254415964,6,36.12781032677903,29.738817173277013
Fe,fcc,(310),10.496436144956405,1182.7349242457733,inert,813.012550519842,7,37.656880989733835,26.353000529367282
Ti,fcc,(111),1.9024754055021225,330.6148939614291,inert,492.0578314929545,7,38.835048656299676,19.676561811241804
Mg,hcp,(111),0.8130620793466241,720.8133254519672,air,577.2638381182063,7,39.61854017841685,22.534201939027916
Ti,hcp,(110),1.6051554155507635,543.1750135472947,inert,580.3313474588965,3,28.06362078278267,19.372646241683725
Cu,bcc,(310),6.830293075039833,987.3147904047547,inert,109.89856096341381,3,26.7699853733952,28.430423142788776
Fe,fcc,(100),0.9503381561313434,1115.9900133935425,vacuum,619.137808832127,3,16.04715076137755,19.185265256480495
Al,bcc,(210),2.000191458098595,642.6642538923497,air,223.10500952846746,9,23.160778713080955,15.754243055317177
Ni,bcc,(211),5.735968011552191,1193.66850163739,vacuum,915.1160378145623,9,19.226795063919127,26.318957978366882
Al,fcc,(211),2.2652874415931485,996.0839010544316,inert,383.6794119889142,3,34.559144878778994,29.00848456955954
Al,bcc,(111),1.3977321780822123,791.3937238803912,inert,260.4639354728971,6,31.189877940325385,22.168244919479847
Mg,hcp,(310),1.9752160692782916,1080.2945853823408,reducing,521.0491054345682,4,15.386519367615252,16.727436020830687
Mg,hcp,(211),1.3367421588032755,857.0518465249355,reducing,205.05235636968132,4,28.40824563215265,29.85561784450818
Ti,bcc,(100),0.6816866878530163,609.6123374440702,air,282.61521599966005,7,22.419903512004115,29.956123153697156
Mg,fcc,(210),1.2424284064897761,1116.5385725350293,vacuum,301.8723641424771,9,31.6628419628277,21.16975497910755
Fe,fcc,(110),1.8442068444572,763.8802032062217,vacuum,402.11689733192406,6,26.171031361632423,21.434489635301457
Al,bcc,(310),4.192847559546847,392.597620789846,vacuum,693.7699854425144,6,22.069780131699112,21.413413501810457
Cu,hcp,(111),1.5757263173128102,569.6989457744655,vacuum,665.5667467946981,8,36.78242458056431,16.029099548099452
Zn,bcc,(211),1.9120714423657286,313.34865820912285,reducing,849.4813502839339,8,16.763070034969903,17.577650463362883
Zn,fcc,(100),0.35474044655480824,395.28593001526895,inert,951.8585870618789,7,28.69170586280866,25.668608877044093
Al,bcc,(310),4.630234606373014,1006.1759230220392,air,262.8094348219295,5,39.818432611887175,26.051408920981498
Ni,bcc,(100),0.9463412757878515,947.7532520406377,inert,193.13130398839576,8,20.921000921735235,19.834827484054095
Fe,bcc,(210),5.531700657019303,664.6317945222806,inert,950.238301353231,3,29.604865883364045,24.507416804159142
Cu,fcc,(310),6.306006887421006,442.06134408245975,inert,833.8028297419892,9,39.82659291793402,26.55820567151791
Mg,hcp,(310),2.2795348009071157,544.6008967874711,air,541.4142844083133,5,39.38331075266447,29.82432884030859
Ni,bcc,(100),0.7009921344702882,891.7743312273958,vacuum,400.3973130426091,6,17.20746475269178,29.558679827965186
Zn,hcp,(100),0.30105366078779483,1133.772490725328,air,801.0075678238516,8,27.609312328478808,29.506734260570422
Al,hcp,(210),1.5742882677836851,950.9080358592411,vacuum,928.2363381954585,7,22.874305013768172,19.725311298220362
Al,fcc,(310),3.5831717125342046,370.66009638966955,air,315.11588203585814,4,32.445077122631965,15.511467925001298
Cu,fcc,(211),3.7431879465542126,582.2948182581017,vacuum,738.7617501097167,6,20.293787843269904,28.52475265319578
Fe,hcp,(211),6.062003363323491,447.2696033662711,inert,842.9971414759176,8,18.99271905355418,22.191959168764917
Fe,fcc,(211),5.334635572403592,1149.4242380925657,air,215.68660975148129,7,22.725670315510786,27.661181015733526
Ti,hcp,(111),1.8442347353298225,999.5858605329486,inert,283.3329624909187,8,27.014607943849754,24.582118023965677
Al,bcc,(111),1.2967409831962646,647.8107726005164,inert,657.6854051514842,7,28.774055535468104,29.40160558752843
Mg,hcp,(211),1.2581684089652576,587.8382581207618,reducing,970.7947225618072,3,22.895787378826427,24.174268241312447
Ti,bcc,(211),4.569727648102972,317.57635226722715,reducing,817.46025243518,9,22.63593755737143,28.872082187874703
Cu,hcp,(111),1.4950329119119292,446.89796935506433,vacuum,699.7388717731635,7,29.493234678075133,17.17521252483673
Mg,hcp,(111),0.7303981327883216,843.8863214237549,inert,718.0833403742183,9,37.44101733315803,21.86786285607188
Fe,bcc,(210),5.127560438158667,421.58510093577877,inert,316.6404029854789,7,37.8173093361104,15.233813771630459
Ni,bcc,(211),4.922654543869572,856.0128379881899,air,310.8986127694071,9,22.740041203324587,15.877370666618537
Ni,bcc,(111),3.0985207027742123,604.7020312994814,air,448.29080815274995,9,15.34359586727393,21.60545896768197
Fe,bcc,(210),5.9088318443063805,661.9103323946805,reducing,643.1549531046578,5,26.248457318826393,25.73811625397563
Zn,hcp,(111),0.8248713159825048,543.9854487718947,inert,131.44132802634343,6,20.594314227130166,23.026953004795395
Cu,bcc,(100),0.5718757295743125,860.2066870413107,vacuum,391.5947763584249,4,29.65375810407566,29.168448953733787
Cu,bcc,(211),3.5270856099083843,612.9090059830501,vacuum,470.95574212865046,8,32.54884443321466,25.625834521640535
Cu,hcp,(100),0.4865398014502891,444.8147555671503,reducing,875.8126962204761,9,21.847561776723595,29.606110506485965
Fe,bcc,(211),6.291008000644888,1027.8377803386697,inert,607.3420729516841,6,17.17011434286588,15.32461034961877
Fe,fcc,(310),8.794502783879155,453.43637750646394,inert,255.27853061839778,9,28.116886575281377,18.95104483209577
Ti,hcp,(110),1.4311852193897017,616.8672956510823,inert,865.993101368631,6,15.711780646920529,25.353651451375406
Al,fcc,(211),2.1280934260155604,385.03548766106724,inert,837.8599165531604,4,32.244386399901735,15.160842043415776
Mg,hcp,(110),0.4352116131216814,1051.7222539969514,inert,878.0569847601032,4,38.72511966681934,29.115514556843173
Cu,fcc,(210),3.269332340318218,835.2475463164126,vacuum,423.89021110045087,4,33.78768401427274,26.870443110827388
Ni,bcc,(210),4.29400754505008,635.4540343506849,air,554.4596130330706,5,17.19642533953364,25.688115833154228
Ti,bcc,(210),3.2654480149304987,870.4093790165626,vacuum,529.8364169437523,8,29.873371087434325,18.112952031192034
Fe,fcc,(110),1.957091248968857,308.87475043944585,air,366.09271465878834,4,33.592654049583956,20.925175050205453
Fe,hcp,(100),0.8047353698871784,449.01401323758705,vacuum,348.0798072180496,8,33.73318784206138,25.72185867656711
Fe,hcp,(211),5.218687750123339,753.3693258372557,air,141.64885946372414,7,34.99197008187035,16.80377660229865
Ti,bcc,(310),7.3829789440100235,1007.7990635296194,inert,308.9250571287995,4,33.98951875037682,20.173571924911535
Ni,hcp,(310),7.892746407983927,1173.438381573358,reducing,912.8257664267626,3,32.720157449260284,29.342501767460774
Ni,bcc,(211),4.58534598371311,554.4879916953714,inert,669.2803919239957,9,23.637124781638448,21.795102205401886
Al,bcc,(310),4.195857670219566,1198.2641282330135,reducing,390.926328400532,8,38.44134463894946,18.177998095984535
Ni,hcp,(211),4.158888602846586,1087.4549923412521,inert,565.8389423878945,8,26.387004309816046,20.055625327322176
Mg,bcc,(110),0.47441680003912684,907.0151550999361,reducing,475.10829241116045,8,16.95743167467262,23.3425510207463
Ti,bcc,(100),0.7098472125572889,440.4124344211841,air,175.2787815249403,8,36.528444541971226,25.767276181472656
Mg,hcp,(211),1.3447864369110367,303.93358030741103,vacuum,486.0504980292967,8,35.78886720453944,27.571383400604272
Al,fcc,(210),1.9248120852815565,576.2590517339581,inert,757.5322897869554,3,38.70633213383255,25.330904233225787
Ti,fcc,(100),0.7382151211825251,1071.4061555615117,reducing,614.8893934452313,8,33.410422794411225,15.275248146811402
Al,fcc,(100),0.30925618025007706,967.5097136834994,vacuum,536.5474012859254,5,20.317301519253245,17.24652191011855
Ni,hcp,(211),4.770075665775094,489.9207687049563,vacuum,880.6138196836217,5,37.942353834875604,23.781724372269345
Fe,bcc,(210),5.057290812951029,818.7490651842288,vacuum,370.4008415950202,4,24.186490828261952,22.60787832027197
Mg,fcc,(310),3.3683199384065006,1092.56116437752,inert,212.35824982791502,6,15.807547822883711,17.00554023164505
Al,hcp,(211),2.3026964367023846,747.8580587921823,vacuum,116.39262783878014,5,20.32309705929277,26.192930239493702
Ni,fcc,(210),3.8837515655257318,359.3828128045919,inert,875.3753172682345,4,15.524624543907118,19.094323014607067
Al,fcc,(210),1.9040309907695523,1105.1582421612604,vacuum,615.3615561632541,5,17.75238263154716,25.04622176531736
Mg,hcp,(110),0.4291657310949303,1156.6954251850175,vacuum,900.9359354696559,4,19.488596769854173,28.573449172096893
Zn,fcc,(211),1.8014966080776824,745.0169938510705,vacuum,699.564999565531,8,34.048444379009865,17.88093922623319
Fe,hcp,(210),4.949677734513907,429.1313427710474,air,226.5547211940555,6,31.14758649151919,16.51373975331629
Al,bcc,(211),2.774362646566668,487.203429382771,air,258.48683224071317,5,30.539894273617442,25.938113838447197
Al,bcc,(211),2.4399085338051454,335.1505609347952,reducing,301.76789566803103,6,35.487489573725455,27.86105520016786
Ti,fcc,(111),2.0708254970247175,1001.6319864067896,inert,611.9747176250598,4,39.279989197902225,29.93961087771975
Ni,fcc,(211),5.093127684989162,1066.7884963662937,inert,951.6890598980876,5,19.453212696581403,16.400849663557313
Zn,hcp,(100),0.3429050796700732,456.7813578088346,inert,947.5610768940018,9,30.240507094972024,22.055945292659587
Zn,fcc,(210),1.403030442105946,992.6457508024721,reducing,265.5806478498179,4,36.30347250648895,21.811883637780625
Fe,bcc,(211),5.916170311468384,1033.8258031240616,reducing,598.615317196857,6,37.38689014380985,27.75537157859305
Al,bcc,(210),1.963715533589796,780.8535707054857,inert,167.84582917937968,4,29.05595482096068,28.866106810754818
Cu,bcc,(210),3.3945357063067947,1082.9922320231353,vacuum,419.6949527184036,9,37.80621175016101,15.921261624657301
Zn,hcp,(100),0.2642008763848335,982.8187991834467,vacuum,268.731397748728,3,31.856311982121277,15.102299175038292
Cu,bcc,(110),1.0832789065161819,825.5265406880835,inert,107.8130883036778,5,30.577328182847644,17.819899794445266
Mg,bcc,(100),0.23451504220970745,747.4177231357914,vacuum,238.31274154495378,8,38.69440078668678,25.81597660954331
Cu,bcc,(110),1.4781864827154814,636.8370434835704,inert,108.93088644677913,3,34.69695254258134,16.56788071530149
Fe,bcc,(211),5.782893180045086,796.521941497592,inert,291.6689050012908,3,28.384927525602258,25.61788800410458
Zn,hcp,(210),1.6842128370244762,373.2528522161624,vacuum,849.4446622938044,8,30.52860972673284,22.1938604875956
Al,fcc,(110),0.6232597800290637,607.9017710027556,inert,757.8824726289052,3,39.95397883292179,27.35508892140618
Ni,fcc,(110),1.4773932875632454,979.6669588375821,air,777.0321338264434,7,20.406411980698813,22.256878591945767
Ti,hcp,(210),3.08413932150043,661.358010427058,vacuum,357.50881704140846,6,33.08189851226928,29.052382095221816
Ni,hcp,(211),4.726638893251004,659.9785341784279,vacuum,311.17589948175504,6,16.13648063975961,27.578405450970266
Ti,hcp,(210),3.0492062829486204,857.4323547827549,vacuum,398.2642882547095,6,26.741821324419305,25.363140900239447
Cu,bcc,(211),4.419511780502419,563.4748426683058,reducing,767.0749850045781,9,21.51566283342689,15.724982096834866
Mg,fcc,(111),0.770845876731886,615.9674150954099,air,156.92862778686313,7,28.594431049243845,28.495389304164092
Al,fcc,(100),0.39796059879847606,1180.34118807314,air,983.3397972955479,6,23.918283202807636,29.783619448565194
Fe,fcc,(210),5.070882330134463,870.4576783694606,vacuum,570.7548180757467,6,21.3229853328492,23.0911419191998
Ti,bcc,(210),4.092918270945949,527.1255135709677,reducing,736.3443744306895,8,35.1769789064683,16.704953773499888
Ni,hcp,(310),9.23178375162428,1052.4027349277667,inert,660.1853368626917,5,29.95947357998741,21.446622516620494
Ni,bcc,(100),0.8112282368596884,310.11508439883926,reducing,682.1041960054167,6,29.22000872209395,16.455536677648876
Ni,bcc,(100),0.6561565165661156,895.1797650444543,reducing,366.38489234458723,9,20.854018502541674,29.83724866000009
Ni,fcc,(210),3.6835584754412056,577.5435361737617,air,656.4817732385651,6,32.327776488676434,21.094060524709263
Ni,hcp,(100),0.6015141329465051,499.97025858747065,vacuum,366.05292418976137,7,36.360510234534864,21.30643434210677
Zn,bcc,(211),2.0243107633262984,326.27175644502125,reducing,677.2068653409968,4,19.520633278809346,15.32851613889552
Ni,bcc,(310),9.37622180057022,1113.7892822461135,inert,558.3059324633,6,24.12446351171867,21.12912209879556
Fe,bcc,(211),6.792294453112634,607.1606250239704,inert,811.3314023785788,9,39.807743197083866,26.10591045011807
Fe,hcp,(111),2.5560823095849505,864.5489765368628,inert,960.0797625650166,5,36.576849964764335,17.707606797665957
Fe,fcc,(110),2.21637112842887,365.4228053269168,air,515.2650704546651,9,26.143715576701805,25.432657146874124
Cu,fcc,(111),2.01273880542396,796.6507749035397,vacuum,836.0617987543872,5,24.760003294643646,15.69854204793656
Al,bcc,(100),0.3571418766723696,1060.1458343556383,inert,167.7810911114168,3,34.893680194737755,26.664871578911864
Cu,bcc,(111),2.1756694125904237,1177.6470419232915,reducing,100.27636753037994,5,26.904836588913888,28.8087557863363
Ti,fcc,(211),4.223403306832138,1062.7104167070172,inert,347.5060895995943,8,32.25723824833958,15.000721858414677
Ni,bcc,(110),1.5704786999384897,635.1412695519996,reducing,871.0874987855168,8,31.720439849004144,23.903942024223312
Al,bcc,(110),0.7908610380530985,445.9305032114205,air,315.1858536879537,9,34.123480991797834,16.747811209370646
Mg,bcc,(210),1.2947375651750597,866.1272982161225,air,647.0687359970123,4,18.17425373709832,17.812502195204775
Cu,bcc,(310),6.173299417536292,1157.5988515963736,reducing,331.4799373058856,7,38.0153474487587,28.726498614117943
Ti,fcc,(100),0.6215167746994497,1151.99042779726,air,413.2350490793851,5,35.963429744939944,17.719762141231534
Mg,bcc,(211),1.4982713817950843,988.1723948564763,vacuum,965.165069026825,7,34.99465478650265,29.71114087837796
Al,hcp,(211),1.4903998216740135,689.7490965853434,inert,817.4859145354293,4,27.310390353213673,22.811180420792894
Zn,fcc,(100),0.4038509082871615,566.593735486535,air,437.4470317173823,3,39.207980155802545,15.829510294925226
Cu,fcc,(111),1.4619652040921525,1187.2212156736696,air,451.3631353274739,4,29.39452537063501,29.65577789181353
Cu,fcc,(100),0.62490264734112,631.870305884994,inert,521.5869464457255,5,19.750460122886526,25.789069556830565
Ti,fcc,(110),1.4331497405491453,1128.401961506207,vacuum,214.02154801467321,7,32.956050656803015,19.123276374110993
Zn,hcp,(211),1.8270070288514126,1129.367273103679,reducing,103.12161331914584,4,16.55813755960193,20.681057208906584
Ti,bcc,(111),2.3996078232908262,859.4964310832539,air,574.5580516303158,8,23.76219556549782,17.428302350348805
