material,diffusion_mechanism,activation_barrier_eV,attempt_frequency_Hz,applied_stress_MPa,grain_size_nm,temperature_K,migration_path_length_A,coordination_number,elastic_modulus_GPa
Mg,grain_boundary_diffusion,0.16457777430683818,52860464794947.64,221.85542760949312,31.81881163095789,336.2531323496443,5.777408333887001,10,165.70766429970195
Zn,grain_boundary_diffusion,0.1,34186451797774.82,387.6176139789647,410.8482244747728,1155.8805911793838,2.3818507147993135,6,218.25227524076308
Ni,pipe_diffusion,0.5159401775638197,37235523371595.71,74.5675539237689,831.2279338457471,1052.8681750028209,3.216281139121028,6,252.2057749956987
Zn,surface_diffusion,0.1,7244442259953.705,315.3774990203838,509.03419737168747,774.020423033716,5.156575805171649,5,115.53276261135707
Fe,interstitial_migration,0.1,54935395849321.71,363.1128959351385,118.95761843324527,848.8789931109861,2.331217098858183,8,292.3105326145095
Cu,vacancy_migration,0.6969057213977631,1877761535228.7163,66.73450223482952,294.58254236904213,743.5883074217694,3.3790407490771823,9,186.64856587431115
Ti,interstitial_migration,0.42899234394861246,15411208106597.615,221.05187310388945,658.6801597305806,606.2856638683722,5.32455585774153,8,118.4551548215552
Fe,interstitial_migration,0.1,37864263524631.664,248.3119070315857,548.8113702573543,1160.8483122993887,3.4862924340648003,5,200.51341823176128
Ni,interstitial_migration,0.3187065317384784,58924889955953.625,20.058289144257724,985.5830105259636,606.4056259892452,2.8594846953965383,4,217.67755708351888
Cu,surface_diffusion,0.1,8971139300559.674,431.1258141512436,396.61054070755006,771.665201856034,4.247191410648552,5,62.050560511459196
Zn,grain_boundary_diffusion,0.20152120596075299,62056263602165.16,119.72004670019709,194.98052925875416,619.9154762300808,3.274810623845534,4,241.5199997795553
Mg,surface_diffusion,0.13206906594903955,47372544957411.516,173.00120648613822,456.69335413027255,973.703087103609,5.5411313163876015,10,56.46216596001836
Al,grain_boundary_diffusion,0.40907077019714894,16241775249432.375,90.14773034839018,72.2692750307906,640.5198816564188,5.639217315800762,11,158.43197072399443
Mg,pipe_diffusion,0.21658519593988657,58653809858261.61,154.60386826466333,380.9573262675177,722.1926774563409,3.862382019351697,6,163.03476378061185
Ni,pipe_diffusion,0.8149619164857903,33577218873190.047,75.58097909411326,615.4162786686262,515.5183015810201,4.392775514071574,9,168.23172734098253
Zn,interstitial_migration,0.1,31467202144174.203,176.81893157005518,529.6284458255266,839.6761296620697,2.505704908620112,8,214.03626063983955
Ni,interstitial_migration,0.1,76106210681502.28,275.7937294741229,124.55527032088686,661.544327716849,4.4057063408992025,11,162.80382831959906
Cu,interstitial_migration,0.1,94199706960431.62,492.51692250297987,890.3926074535207,994.1822699025126,4.129404506068556,9,135.40056523325853
Mg,vacancy_migration,0.22641798804969698,36139254484434.94,240.9721396963604,52.046201383527226,716.2805868404705,5.930195046158397,5,264.8276448081931
Mg,interstitial_migration,0.1,66124443327396.85,423.82257332602137,596.7736314595203,1138.1686973365006,2.8526568095676326,6,297.30163144952326
Ti,grain_boundary_diffusion,1.4384495174815506,96457799783965.08,8.574077009180614,299.71130490495386,681.646966693043,4.315492174288758,11,147.70838731680544
Mg,grain_boundary_diffusion,0.15455646846357501,38733617682744.02,338.5950469883927,700.8266515094645,782.3423938161641,5.110570278710757,9,128.2469285451137
Fe,surface_diffusion,0.43687122235104275,20020803392984.793,221.87968889016773,332.21143924417595,350.94221904491883,4.668344205342182,11,223.50498645614135
Mg,surface_diffusion,0.24469221112333278,53691249919993.09,92.26752536832205,280.47147098973016,668.0878533604509,5.073642172456137,5,143.84880516279327
Mg,interstitial_migration,0.1,12423632671982.455,246.26589050482988,644.2153335671118,672.6009465131997,3.385574272200436,7,168.94844793368395
Ti,grain_boundary_diffusion,0.9171607242321215,33691307290842.715,342.27221651566197,224.98378015615432,1185.8247898421614,4.142526611388927,9,151.2232742057666
Fe,vacancy_migration,1.631957108515015,17904700548623.445,195.09798362495118,503.5594295479803,1088.0880489071274,2.1468319312185136,5,188.73572231278416
Ni,surface_diffusion,0.5523420746133098,56380129219208.53,58.4173682053406,410.4354648251866,337.7551363410451,5.730929081681447,10,136.36159645137838
Ni,surface_diffusion,0.1379120886375288,30947892074789.746,414.7001100994679,198.88434282108034,1026.461793182242,2.527083554388144,10,81.00074865603564
Mg,interstitial_migration,0.1,39441480016905.37,286.4433005899532,588.5079028122917,632.6448970757419,3.020461573352003,6,117.22607614037035
Fe,grain_boundary_diffusion,1.0500884420535028,61735784413345.98,153.64682162114656,538.2663775101736,420.867267955668,2.382744829223625,5,143.03004900200716
Al,pipe_diffusion,0.2477155368963464,55993874557045.71,137.17369307767834,701.5857702794254,437.5652735554553,2.4266202785187625,8,90.13945269079255
Cu,vacancy_migration,0.7534679688375143,59773832365392.28,30.987517994759685,889.199578436217,1081.9837159854478,5.2236225880756075,5,111.9325714435397
Fe,pipe_diffusion,0.5563879752957132,49677090817343.36,451.00129973495075,952.556556645981,1057.8977599163477,5.490448699510341,6,159.95518445831107
Mg,pipe_diffusion,0.44124301406251343,92696517570377.17,12.512550781933307,574.9377407195943,1095.7750241055323,3.412617609130151,8,188.06693811256696
Zn,pipe_diffusion,0.1,68284454544967.63,242.26924056282334,232.3229330839839,783.5500618936032,5.91213675554274,4,116.28725055425267
Zn,vacancy_migration,0.1871027924601593,77710134806875.81,447.9173383450811,956.6639351053923,1091.6069138515031,4.959286537462386,5,180.91491551571966
Fe,pipe_diffusion,1.057802974537577,54545098303682.695,154.46017479748474,459.9628111697766,943.0036445454556,2.901347645817312,4,96.67098147857918
Zn,interstitial_migration,0.1,50622807265109.98,414.0274864846364,675.2679926883028,1173.6553475872151,2.956707179429505,11,146.76919215039533
Ni,surface_diffusion,0.34612051869501076,81817105490613.19,146.79281921214104,755.6705394890909,497.159954681141,5.177122869450698,4,148.36203830590895
Ni,interstitial_migration,0.11715259348839412,43342415911104.62,315.09278452728626,805.7173980934988,706.8074591883731,4.806397399598388,9,178.18678546275234
Zn,interstitial_migration,0.1,25390761981615.1,368.5624829487387,568.7588962554939,1098.0027809869873,3.5794278621128437,4,246.65326530447547
Ti,pipe_diffusion,1.0871977968707849,50715933012373.625,33.598549051356564,717.3962844355051,932.8246889587327,4.583059802771747,8,220.86318585526257
Al,surface_diffusion,0.1,73464815996918.5,421.17839385919103,291.7152313639866,817.9277500977283,2.1713492847559936,5,235.269701135699
Mg,grain_boundary_diffusion,0.3349634834865603,2414786234029.334,57.16103590425708,884.9209430551036,479.4064808363153,4.930131317204101,4,254.70822480352945
Al,pipe_diffusion,0.21060577835620908,8459067639741.923,289.6105947855534,471.9680262506853,677.854904119569,5.78655490885981,10,120.23435958555469
Mg,pipe_diffusion,0.1,92006170406104.84,447.8717225621563,196.28987988766264,598.0698949370194,3.578156832969702,7,90.12885382017281
Ni,vacancy_migration,0.7420789533942915,4232848424826.0576,102.54687686180498,718.3293379766454,1028.0345764960123,2.2772650454852674,7,285.70137199740566
Zn,interstitial_migration,0.1116276105718095,74127543302620.7,59.16203650156909,782.9655025383175,627.4074464391514,5.629158245810288,8,66.42020891440433
Zn,surface_diffusion,0.22754101618868616,13578271773562.393,132.83923275141862,936.4418332139984,712.1272504796589,4.0101267370283,9,146.5077622565548
Mg,pipe_diffusion,0.1,95265209908171.84,416.7360508400242,690.7066189736106,620.4953095670635,5.834295372517433,11,84.38802786878492
Al,vacancy_migration,0.3933551127185051,43948324587995.75,255.77809825965608,632.7690937189204,676.8790481281931,4.693959246052733,11,197.83564744966043
Zn,pipe_diffusion,0.1,61125877001142.27,336.973959164296,249.401287497376,782.8061304380096,2.6335570447479664,9,157.91294064849023
Ti,vacancy_migration,1.4314831832727022,17121810952630.379,205.6613484116348,606.8162993184873,1199.8246297204214,2.169398989905657,5,209.49484434830413
Ni,pipe_diffusion,0.48316739993666175,84328870757071.8,166.16859011016118,460.71170390143067,780.0666376309432,2.6804049847526796,6,242.25580969566198
Zn,vacancy_migration,0.2727008347343781,99720139663200.56,291.69493518478606,483.28191916781276,794.0771714875252,4.264190291696737,5,62.809885286606175
Mg,interstitial_migration,0.1,26528561110839.645,373.3733862562971,567.0401128497698,374.9723248006168,4.2616135678020175,4,289.478137722537
Al,vacancy_migration,0.34411367096495016,63874953210968.14,302.00899828758907,990.7218271831981,538.7940006084162,5.620106389772793,9,118.09614481582238
Ti,vacancy_migration,1.056449653042775,68060159326238.21,135.70750375983624,649.3765033977274,508.11324365193263,4.911022869314339,5,202.27041375525337
Fe,vacancy_migration,1.3887973755487184,16701202577966.188,235.92148741880686,870.1622442831524,673.3631728288408,4.566746031899199,9,222.3185956154036
Al,interstitial_migration,0.1,14863883895170.861,247.83067201754417,871.6257442085533,998.2752947927867,4.682878102828193,11,87.70735941525716
Cu,vacancy_migration,0.6949858160185073,75576414934359.11,54.989617882708565,370.0225231882906,822.1546829921734,4.783454466394797,4,85.17695770639357
Al,surface_diffusion,0.1,90255240467251.06,341.15273143353056,357.99246856920905,502.28290014481973,2.676150065450204,4,217.48158554033077
Mg,surface_diffusion,0.2179443879568445,59941963288340.45,59.578522770232404,252.48965523671976,390.128958964516,3.3709616543553835,11,141.38219922681978
Mg,interstitial_migration,0.1,19454135992742.996,245.63381424500037,310.44936646604515,803.1551589887265,4.242034936311892,8,106.43269211576447
Ti,interstitial_migration,0.465235476834617,49008964027693.57,64.00803260171817,479.8992660431296,802.3273440626481,3.8757713737632633,5,104.17106099725066
Ni,pipe_diffusion,0.3724628414040887,64575761783081.19,204.20539392409626,120.52032029916981,696.9313252610584,5.803645952591328,10,264.5034143920817
Zn,vacancy_migration,0.1,3721034288107.724,492.4329701724214,912.0244124287825,326.0934704990819,3.0947820638653956,5,283.4360495569534
Cu,interstitial_migration,0.11399272974832272,65078196626033.484,17.59267137080933,69.04117061928929,636.1698933116058,3.493874287932196,6,175.98225193106106
Zn,vacancy_migration,0.29818200867997613,73652127150350.97,203.49404439506253,436.795422472082,1171.0988849409769,3.321069553291664,8,124.64718907207316
Ti,grain_boundary_diffusion,1.4298290322297853,71717479090426.94,84.62379872144726,117.46980419492198,974.3613244943252,3.3070241889721235,11,241.9370228866085
Zn,surface_diffusion,0.1,21817996477172.793,279.80747117726696,174.5531488515384,553.0377127025369,2.3510242230799845,10,177.7130912409495
Zn,vacancy_migration,0.49051682342152403,81992868689672.58,36.72234550288073,291.07822566778634,518.6978335747468,5.651434759857549,7,201.51617404622945
Mg,surface_diffusion,0.25671518553723244,99514409218704.94,8.546760060177682,413.467508554874,505.26983469275694,2.7110128144621455,4,72.1297631407669
Ti,grain_boundary_diffusion,1.5161969296796376,86718306066574.28,29.075560283200574,531.250460356414,785.4838631186127,5.755533260282268,10,292.88025677053906
Cu,surface_diffusion,0.2698467746622477,91818836521462.38,23.85417072693602,156.13075096601278,613.9758870932458,3.854926943725283,7,294.12679757515644
Fe,interstitial_migration,0.1,16038699047905.021,456.0339225628129,715.4800128512215,680.5041065090436,3.306015357882223,8,99.17160853171535
Al,pipe_diffusion,0.1452898718007432,64531967436588.305,320.59981661607407,924.3666412981386,1004.6895215391623,4.6758065670425,9,213.40911122751248
Ti,interstitial_migration,0.3475532634418378,40196615310189.27,77.7561820395184,83.09035577194359,964.5191424374545,5.816948126618527,6,238.07774266836398
Al,vacancy_migration,0.576638699799694,74467166663266.2,203.54248640769245,654.0690431982526,620.5252458134714,4.784583699754164,9,170.09927205058005
Al,vacancy_migration,0.6697714554307392,7452027593823.494,196.25215864790536,895.3398914968413,1062.0806402955354,5.85274155811956,10,148.0337072756938
Al,surface_diffusion,0.20122256244796088,93191251158710.9,114.16008689847135,388.0390489696142,888.4545508349636,5.401451150631402,5,133.9898120488783
Al,grain_boundary_diffusion,0.5099399778926441,74868899878852.0,10.81966247258187,240.8158305819057,981.5750358013879,2.202405548487219,10,271.21821013657717
Al,surface_diffusion,0.1,93788942433006.2,322.1440782638894,176.94192877624442,1178.6081310308768,4.345071372773072,4,166.52863123486895
Cu,vacancy_migration,0.34115968909969707,56857579726303.19,352.95333466332914,399.72677991508436,545.4011912413296,2.9107465037183937,5,162.66678015168281
Cu,pipe_diffusion,0.5058947623530354,62903091337080.22,68.90149384063393,674.4742609375897,1181.2588474800525,4.051718751165131,10,271.7854996735359
Ni,vacancy_migration,0.7157493229893759,15608206357756.875,412.9317105211594,272.0513939338965,953.1808697144763,3.8942153341889525,11,219.83969748041164
Zn,pipe_diffusion,0.2999973338494165,20850442831537.86,20.259762719834985,659.5675163235298,1057.834905244969,5.55555175862593,7,280.61242329590914
Zn,vacancy_migration,0.38648602633208345,81050030773480.69,115.71831523171234,259.2270196397051,719.9335860920576,5.681084790406155,8,108.25012245224909
Cu,vacancy_migration,0.6259204773889868,20381736029900.484,264.741441189697,687.6045579785651,860.5463132650616,5.729128576283124,4,159.17664642237307
Zn,interstitial_migration,0.1,11241165552600.557,178.11575438042075,132.9379572812242,344.9135288198084,3.390257124646965,10,150.14733932995279
Al,interstitial_migration,0.1,93569375442682.33,177.84369494718715,328.8914700094467,917.7779045978778,4.2607900847110045,7,69.14658596540372
Ni,surface_diffusion,0.6281383008700894,37174059323685.875,20.497955304057015,881.4947402443556,360.2763895112167,4.171189517825807,6,225.16445722196352
Al,surface_diffusion,0.1,94984294543967.48,347.91161551190925,584.6249598199782,924.1154211568506,2.04488355990985,6,191.55120587678633
Cu,vacancy_migration,0.16608512766020397,70581824010508.06,447.1678043792648,238.95165665262175,470.6828670175829,5.074385577961101,11,142.2211555935014
Zn,vacancy_migration,0.1,83808143729701.67,414.0625959284505,642.139795729748,1108.433175307342,2.2189585436397476,5,69.05342119504971
Ni,interstitial_migration,0.1,21946631322478.645,367.9736008616112,551.0366967589042,1158.2161836710675,4.456259938909593,4,97.6876007808453
Cu,vacancy_migration,0.47239622763415023,36410032039271.64,165.22367699918044,542.8362493949717,1127.3494900644591,5.00652317426907,9,147.5095694135763
Zn,pipe_diffusion,0.1,48391517884227.766,469.30015789736376,666.1750555119785,1059.9001942794039,2.744528617472398,11,76.27978246309917
Zn,vacancy_migration,0.2377098729295387,81650790608811.0,319.8222209679351,44.37563941271569,921.5536801357443,3.1602028491831007,6,51.6223803467493
Ni,grain_boundary_diffusion,0.6066645554613773,21337990731653.82,196.1240906634445,275.94523610295147,1185.9744307629599,2.832320627638935,11,121.08597745494832
Zn,interstitial_migration,0.1,67401848267793.6,207.89445078862656,306.991555848174,343.6801056567021,4.574535152478482,11,238.55027299811118
Cu,pipe_diffusion,0.31490046309526654,31211780702487.734,235.20380973340477,302.27596705990914,965.3386356532628,3.979107373894649,10,103.42824371314475
Mg,surface_diffusion,0.23480267117109038,87516816639731.53,116.62716091127423,519.8325796588477,589.6447573521718,4.282211419799889,8,160.93384063965112
Ti,interstitial_migration,0.20911100897889084,86168439216640.34,249.77271166185773,259.73681638269534,1119.9589763464837,5.934767433668706,4,101.97201381578611
Ni,vacancy_migration,0.9368407292427762,13575056208842.496,6.369471668607519,612.7140715735112,358.91791693288144,3.1854704273632883,5,236.7259138388808
Cu,interstitial_migration,0.1,68901373067912.57,297.0796789398257,803.1440413281457,538.1319312918563,4.723911716847055,10,296.8361250377788
Zn,vacancy_migration,0.3227266888619631,70561306936661.72,135.00124056059764,359.24078119838623,1084.4730934680497,5.9996993073327065,6,182.84957674908054
Ni,surface_diffusion,0.17701528880398815,50338773099641.016,421.0039059193046,480.5506379209438,946.4612465192187,3.4684570261344394,7,166.18048904968737
Ti,grain_boundary_diffusion,0.7314889737063147,83610545777428.55,338.99900762129226,413.17395308944987,323.4520973870337,5.010074642281449,11,91.51611110048512
Ni,vacancy_migration,0.8283724674843461,40735381085998.75,270.30844218729965,581.5333540078503,842.2602037978398,2.1492746543002577,4,243.54762292858118
Zn,grain_boundary_diffusion,0.1,11852873646670.227,364.5516417974381,259.3891827137473,655.7632481556045,3.9595765685232998,5,161.842119497968
Ni,surface_diffusion,0.21252114226391583,65426565588379.414,311.1456879188208,467.6086562487245,1142.1046767735534,4.107944873305712,8,253.2717410284549
Fe,vacancy_migration,0.9716819663183539,17082602256621.82,138.76439599251427,865.7833522368824,303.03564919549996,5.943215690894353,10,247.24429696307345
Fe,grain_boundary_diffusion,0.6474005150515588,29241102532211.754,451.8624601869038,185.46383579462992,914.0063408189255,4.0814888657638715,11,80.45977783862219
Mg,vacancy_migration,0.3766570415250555,93903211286782.12,250.60537568734574,700.5466697219942,365.54945609098985,2.42959369476453,9,61.0738577492481
Fe,grain_boundary_diffusion,0.495959660699334,40772775337072.87,471.58152623021965,108.38895116135151,1069.3507361136026,2.283631689327367,4,270.1884595141796
Mg,grain_boundary_diffusion,0.39062330471816853,76150005178206.67,25.48701789583069,484.5320249938003,950.7309877657161,5.137178819154906,11,145.8379085663056
Cu,vacancy_migration,0.9281047173620605,54460154748423.14,19.495702352497535,753.1823263038347,1154.2654960254913,4.819651712976576,10,167.89564902355815
Ti,grain_boundary_diffusion,0.8197335589421837,82759489999557.52,320.48566206106875,70.00425354663534,386.0972277769575,3.252332677405408,6,290.6842278493142
Al,grain_boundary_diffusion,0.24063415144765063,89742598920516.6,347.2398709766964,355.23004270844507,1095.6771269188155,3.793664831876221,7,203.9474497450311
Ti,surface_diffusion,0.9847465083759309,35349930838631.83,41.72605786889672,773.7253714034172,343.0347174690256,2.4082471405513073,7,210.68547510035629
Mg,pipe_diffusion,0.25863273621786215,34110172500954.15,126.41810153739502,398.06130177789055,881.3407663208444,3.3661924676927053,4,269.79535147289374
Cu,vacancy_migration,0.6712909623316254,88154471389347.02,99.91046017068206,812.9059491600294,441.46422444753614,2.527146674536441,8,212.21208217362872
Al,interstitial_migration,0.1,73507109539868.31,349.8173335006799,37.096985212365,926.5577705721909,3.3774855616181374,11,228.8383031250514
Al,vacancy_migration,0.20567808434984663,9282677595067.133,339.8379337453198,715.8292274039309,1141.8080532572149,3.0932494346148784,9,196.72983914752152
Ti,pipe_diffusion,0.7815272100761951,35387159251061.7,249.07421861728346,253.4778421103206,919.8573218456913,3.932951061172058,10,272.9670510953315
Ni,pipe_diffusion,0.5372863008621993,49908721793820.016,231.2915933247236,608.1985544561277,605.249031938092,3.639522736011337,4,276.04092098901873
Ni,interstitial_migration,0.1,56808050275214.16,229.23380507286188,33.7559863420723,745.1276260823812,2.3074684135270194,7,176.47933499017367
Ti,interstitial_migration,0.5759766531237059,83198176029885.48,23.69036652802525,908.1682769396189,1086.028580602846,3.298400429118602,5,91.96972527071158
Cu,vacancy_migration,0.4565169730580246,49858181685752.45,398.6866343872387,387.7949631284888,559.1428992333613,3.6663899227757724,10,177.95694016563863
Ti,pipe_diffusion,0.8309696888062553,40370432379358.4,18.675817407906415,505.26186240268726,1068.9806642948565,4.721062514914298,9,182.5436924417808
Al,grain_boundary_diffusion,0.2923375450426114,25380306674097.785,132.465443111203,229.0572986396221,476.24254396964193,5.732059492521682,7,57.35651662517231
