material,defect_type,crystal_structure,formation_energy_eV,temperature_K,defect_concentration,supercell_size,k_points,exchange_correlation,cutoff_energy_eV,convergence_threshold
Al,grain_boundary,bcc,1.0582404295463677,365.48670572777417,0.008218778732844273,64,9x6x11,LDA,745.2554087956016,8.815563689520327e-05
Al,vacancy,fcc,0.8871129612722611,375.1506450288019,0.007771692012358442,108,6x10x9,HSE06,501.4728695492555,4.111500659136029e-05
Mg,interstitial,fcc,2.546342689964481,912.9354843872181,0.0023758272064534074,64,11x4x9,PBE,785.2890157762445,2.2032929942918176e-06
Ti,grain_boundary,hcp,1.966977780946885,1193.6683165073703,0.0007388918507892533,108,10x4x4,PBEsol,517.7975787357719,9.95873061279077e-05
Mg,substitutional,hcp,0.6638944442507235,549.6430646830195,0.0018820234760778894,108,7x7x8,PBE,503.97994514170506,4.5870843836054274e-05
Zn,vacancy,fcc,0.972926587532597,916.2580552984914,0.001627006776509568,512,9x5x6,PBE,465.93370445480036,4.1714256541951535e-05
Mg,vacancy,bcc,1.0546237896985111,1172.922958033143,0.008421347112433952,216,10x4x8,LDA,430.1436241409849,6.94797253197223e-05
Ti,grain_boundary,bcc,2.042257943289968,953.5087596646632,0.007571054939222517,64,9x4x6,PBE,642.469853780352,2.3635637744842812e-05
Al,interstitial,hcp,3.211554152811551,768.276930813414,0.007723411598964659,108,7x8x9,PBEsol,716.7271357878532,5.940563381662597e-05
Zn,grain_boundary,fcc,0.9069575107898598,1112.8359528089636,0.006173019857260824,108,9x10x6,HSE06,761.6634777974994,3.547729123530674e-05
Mg,vacancy,hcp,1.2359337399374315,1076.1273378720707,0.009495256715952763,512,8x5x9,PBE,538.9653632901657,2.1703948316772906e-05
Fe,substitutional,hcp,1.2482526532598393,826.2894953542383,0.004003604588613904,512,11x4x6,LDA,589.584656105149,6.70882161135817e-05
Cu,grain_boundary,bcc,1.2970289953966052,610.574365040148,0.003476844525612353,64,4x7x5,PBEsol,545.7079444192302,5.083830981463083e-05
Ti,substitutional,fcc,1.7674677742260259,919.0062453864747,0.005117058478459066,64,5x7x4,LDA,699.3038761534633,1.9267580916281357e-05
Zn,interstitial,hcp,2.6132076457075555,356.1072262601173,0.0014782431799703608,216,9x6x10,LDA,442.86880453591044,4.529382431552201e-05
Fe,substitutional,hcp,1.466756197195285,464.05549062836224,0.005640086955096346,64,7x4x7,PBEsol,715.6684954429353,5.0345777693976674e-05
Zn,dislocation,hcp,1.217960093070066,827.8818911946831,0.005645020966683891,512,5x11x5,HSE06,542.4386903591385,9.866500963050499e-05
Ti,vacancy,fcc,2.2215736522024048,1065.7357660525317,0.0008797883577768987,216,9x9x4,PBEsol,468.3550349560263,6.719567877251867e-05
Al,interstitial,hcp,2.6093006563843844,1054.7243028323624,0.002051570523934442,512,10x4x5,PBEsol,515.4522212961023,5.854258392083862e-05
Fe,dislocation,fcc,2.1581993751323174,602.9438503745284,0.0013450123547128034,64,10x8x4,PBE,446.6784256566725,4.784345390413733e-05
Mg,substitutional,bcc,0.7302911112419573,1139.644260389959,0.009909303835097449,64,11x11x9,LDA,736.7315107033088,1.4837465286002663e-05
Al,grain_boundary,bcc,1.0565677833423917,467.7644881093297,0.002357681768903933,64,8x5x4,PBEsol,726.6397757886309,4.447435594845162e-05
Mg,substitutional,fcc,0.6981131734193643,752.4483510832313,0.0023228947387730265,108,8x11x11,HSE06,617.1397242453636,4.372128617050782e-05
Fe,substitutional,bcc,1.5469621018030641,858.0654803356622,0.00533507745867124,108,4x4x8,PBE,711.4287756203005,1.5169670569298494e-05
Ni,interstitial,bcc,4.598235351623577,392.6244276697305,0.005365277033494463,512,11x10x8,LDA,459.9669709395095,2.369588812803151e-05
Ni,grain_boundary,bcc,1.5344823511322456,808.9575125906765,0.00716207456825479,108,5x11x9,PBEsol,560.340566705456,4.673857456076914e-05
Mg,substitutional,bcc,0.5833845517508665,850.308811891183,0.00018208372802458426,512,8x11x10,PBEsol,708.4986674078953,3.806910160232178e-05
Al,substitutional,fcc,0.6965662455859736,467.6887915447086,0.008375070399235919,216,11x10x8,HSE06,421.90465552881255,3.418452692294419e-05
Ni,vacancy,fcc,1.9473055549377805,673.0541257832649,0.008635317887988957,216,5x6x4,LDA,489.8419291759928,4.5791512097136644e-05
Fe,vacancy,hcp,2.5772816636650644,549.8284553664763,0.00220175204359689,64,7x4x4,LDA,565.8496494908095,9.449617139785744e-06
Ti,vacancy,hcp,2.185169392363763,974.96442335926,0.0020998460253627625,64,4x8x8,PBEsol,734.6259253169331,5.915790681917336e-05
Al,substitutional,hcp,0.9248342866106569,732.9791535488273,0.004970622476263669,512,8x10x10,HSE06,549.3237265119012,2.7803722641211825e-05
Mg,interstitial,fcc,2.5526866560243784,324.3863932531351,0.0022204996471675616,64,11x9x4,HSE06,627.7774071054001,8.88585877688368e-05
Ni,interstitial,hcp,4.443487170739362,1070.126821295657,0.008302368425805349,64,9x10x10,LDA,434.77000598013973,6.369083671618509e-05
Al,grain_boundary,hcp,1.2606832956287668,1119.5616031862735,0.006247987949161468,216,10x10x7,LDA,649.6595631396536,4.1531753566932805e-05
Mg,vacancy,bcc,1.1042831310433683,1177.092538678983,0.007797807989105521,216,9x10x11,LDA,570.0854017876934,3.2244615236916224e-06
Mg,vacancy,bcc,0.9494137858068081,425.4204666655417,0.008349467437756192,64,5x10x8,HSE06,729.0335503646695,5.343650618685303e-05
Cu,dislocation,fcc,1.8945290796126149,886.2783495166778,0.00829758829526831,512,8x4x8,HSE06,629.3177512717602,8.397258935465129e-05
Ti,dislocation,bcc,2.3988398840940692,449.6550318804715,0.007380598130647279,108,8x8x6,LDA,574.8773585428974,9.163585405189949e-05
Fe,substitutional,bcc,1.7702986372066631,1143.1467653922823,0.007325988400005294,216,4x9x6,PBE,461.8688563532945,6.270992253959409e-05
Cu,grain_boundary,fcc,1.293122620539597,745.9421845855786,0.006884335561880933,216,5x8x7,LDA,787.0797552828346,1.5201280372801066e-06
Ni,substitutional,fcc,1.1205730664250348,787.7108526405223,0.008729585412928207,216,8x9x11,PBEsol,792.2307200719953,9.043301745096647e-05
Ni,substitutional,bcc,1.103264629974051,339.7488939390902,0.005883049305942341,216,8x10x4,HSE06,769.7584781506122,9.713476627137141e-05
Zn,grain_boundary,bcc,0.8241762179913501,880.09198556324,0.006502023337081839,64,5x6x8,HSE06,535.9499855072264,7.275191038134738e-05
Ni,vacancy,fcc,2.3176455119901287,768.1512988908587,0.0042687437494919895,216,5x5x9,HSE06,749.8806690736798,5.336477626869399e-05
Fe,substitutional,hcp,1.73595249059858,544.5182739621036,0.003983475552372381,512,8x4x9,PBE,444.18964525255785,3.610759360643688e-05
Mg,interstitial,bcc,2.008703809079812,911.6825544237629,0.002183320624762777,512,10x9x11,HSE06,761.4895868701083,9.892930607152254e-05
Zn,dislocation,hcp,1.2675717220158296,507.5122762245171,0.008306594534988495,108,6x11x9,PBE,423.13707062535855,9.694116038394032e-05
Al,vacancy,hcp,0.99351744230888,534.2100311563745,0.005152963995222945,216,11x6x9,PBE,489.5270459290492,5.4160467866447946e-05
Al,dislocation,bcc,1.4301388943417828,652.0527894723418,0.0027303207891882933,108,7x5x4,HSE06,662.0967922556088,5.553487969030479e-05
Fe,interstitial,hcp,4.472172961083346,1165.9097753328447,0.0010955791316844845,216,11x11x5,LDA,626.2927855983164,2.7435798746772714e-05
Mg,substitutional,fcc,0.6200708240273975,600.607990870714,0.0023876616229788743,64,6x8x5,PBE,411.69891321382363,8.275585830591151e-05
Cu,substitutional,fcc,1.000462398356362,1036.1703217071558,0.00832150964539946,512,8x9x6,PBE,623.9377249235317,1.246854182124551e-05
Cu,dislocation,fcc,1.7795168999523574,984.9251122518252,0.005413124520182428,512,10x9x8,PBE,715.5227927482977,1.8201594055449113e-05
Ni,interstitial,hcp,4.318895492402083,937.7148041423665,0.004736265310462451,216,6x7x8,LDA,409.8347665835206,3.1902316013707287e-06
Mg,substitutional,hcp,0.6184761273461664,546.2639996534992,0.009971247877076954,216,10x10x8,PBE,519.3497723959971,8.415476930257472e-05
Zn,dislocation,bcc,1.3246989515242675,1071.6240828832488,0.009645240202229816,216,4x5x7,PBEsol,491.98184235643447,2.209736569848325e-05
Al,vacancy,bcc,0.9835381659486278,1171.3740851232496,0.0018560696315155084,216,6x9x5,LDA,407.14475699132777,7.988298495853873e-05
Ni,grain_boundary,bcc,1.5539930157582211,733.370116361295,0.0011739645814349824,512,4x9x11,PBE,464.33018763127603,6.55004272134242e-05
Ti,grain_boundary,bcc,1.6808979677262341,709.6981341736212,0.00011719377854109826,108,10x10x9,LDA,662.7935430257972,7.59488674935111e-05
Ni,vacancy,hcp,1.8776178754111355,517.8405142762747,0.009866639270078198,108,7x7x4,PBEsol,710.3218943171823,9.418251291900627e-05
Al,interstitial,fcc,2.8319854249194933,329.88279791222993,0.0007867063930530525,216,5x9x5,PBEsol,728.5762912039465,5.077166032647896e-06
Ni,vacancy,hcp,2.4051853419624862,851.6497573790454,0.0029890600274868014,216,6x10x10,HSE06,757.926662424211,5.521164523921989e-05
Cu,interstitial,hcp,3.454951286858193,958.4305695797987,0.0008172181903238653,216,8x10x11,HSE06,464.66901765872103,3.0652527898622718e-06
Fe,grain_boundary,fcc,1.5895688661840832,662.9352250114487,0.002206390688098311,216,7x4x9,PBE,690.8676279065232,7.452794559879813e-05
Ni,grain_boundary,bcc,1.5446864437818792,694.7538772706314,0.007252851346490951,108,7x9x10,PBEsol,796.8533265362689,2.910159833225586e-05
Ti,dislocation,hcp,2.909225208737756,959.8017201737529,0.001316545283587471,216,5x7x9,PBEsol,605.0460820823221,4.189008629012201e-05
Mg,grain_boundary,fcc,0.8879030308153869,700.7747295023989,0.005148658721942973,108,4x6x4,PBE,559.6183784548444,8.594063913834787e-05
Ti,vacancy,fcc,2.1572346420865007,1095.3387026946773,0.004420801713454793,512,9x4x4,PBE,499.48570903505197,6.209735367379897e-05
Al,vacancy,bcc,1.0887483827648103,727.1677881748325,0.008441860319243003,216,9x7x6,PBE,413.6751063756633,9.868260505535901e-05
Al,grain_boundary,bcc,1.1370260929900724,584.5404944790755,0.005072840852075236,216,11x10x6,PBEsol,537.0613952483661,5.369225389380361e-05
Zn,grain_boundary,bcc,0.799440108418763,1172.9208414965433,0.0009399132571783946,64,10x9x10,PBEsol,664.6529401484587,9.788449745265252e-05
Fe,interstitial,bcc,5.574102948541093,1082.0144860308465,0.005706526856641659,216,10x11x9,PBE,666.788606796363,5.814133843446307e-05
Mg,dislocation,bcc,1.3708907501866314,1083.6781053035334,0.007824072455098677,512,5x8x9,PBEsol,770.2699323522847,4.437906229478678e-05
Cu,interstitial,fcc,3.272348857073786,1036.0507945575196,0.0012029703446507138,216,4x7x5,HSE06,625.3755709393836,3.866155071904697e-05
Ti,vacancy,fcc,2.092085329000216,504.54266453683636,0.000732886041760668,108,5x9x4,HSE06,616.9454659918954,9.519637740693313e-05
Cu,dislocation,fcc,1.721579077467014,521.4626929181984,0.004767478054936551,108,5x7x6,HSE06,407.29303307054465,2.0382020582671065e-05
Zn,grain_boundary,hcp,0.7344276519902814,354.24065126060475,0.009344425832028337,64,7x11x8,LDA,668.0384138443767,9.303098186477694e-05
Ni,substitutional,bcc,1.2823763932518248,545.3616006601803,0.00413607746615199,216,7x5x10,PBE,473.83405181481317,3.02325506328107e-05
Al,interstitial,fcc,3.3660626091619634,795.2038879406356,0.00043508191601533686,216,9x9x8,PBEsol,637.4154276492588,7.958064118767112e-05
Zn,interstitial,bcc,2.543190272802981,992.950230226511,0.005566813942309236,512,6x7x7,HSE06,667.0199597165881,1.045799606963215e-05
Ni,interstitial,fcc,3.631013197179073,511.7120263217863,0.008692726986885875,108,11x8x10,HSE06,642.8376144355123,5.512304385869293e-05
Cu,vacancy,bcc,1.4439385764492174,427.59695417439167,0.0027461279997472543,108,9x8x10,PBE,676.9744605297478,9.913434337651665e-05
Ni,substitutional,bcc,1.2853979646435725,995.3604547044442,0.002649689576920098,64,11x4x6,PBEsol,541.9985223327749,7.872960431863244e-06
Al,dislocation,bcc,1.4432374916752513,876.1514014453495,0.0027122032175653484,512,8x5x6,PBEsol,667.794782079276,9.941979676089559e-05
Cu,vacancy,hcp,1.4701925757877397,354.1281083407067,0.005623405861963221,512,5x9x9,PBE,728.7225775604347,1.1224312961815347e-06
Ni,dislocation,hcp,1.9801189923176945,1193.2351519425376,0.009270082678275029,64,7x9x9,PBEsol,715.1607953169059,8.660393301132049e-05
Ti,dislocation,bcc,2.457323222514825,607.5070517072288,0.0038097143455843615,64,6x6x7,PBEsol,578.8810162019342,6.045883900270111e-05
Zn,substitutional,bcc,0.6062190301822497,1066.2824619705862,0.002085896633059001,512,5x9x9,PBEsol,456.51121971020234,2.1986266599321618e-05
Mg,vacancy,hcp,0.9859028300711533,925.4559800122155,0.0034616511656513182,64,5x4x8,PBEsol,525.4910764776384,6.103072349890418e-05
Al,grain_boundary,hcp,1.0219248326261314,730.4106207432651,0.005061569440912662,512,11x11x11,LDA,524.7264532341038,5.1108044421184165e-05
Cu,grain_boundary,hcp,1.226695410195717,857.6291594080466,0.006502360722889136,108,9x6x5,PBE,647.799100563035,3.0438149775447052e-05
Zn,substitutional,fcc,0.4829108347838583,922.9452075247187,0.000623855689502497,64,8x10x7,LDA,469.50103826491784,6.591664358360398e-05
Mg,interstitial,hcp,2.442882450672639,888.6682158347983,0.003543008168207301,216,8x8x9,PBE,404.4125057714589,4.219924581979639e-05
Fe,grain_boundary,bcc,1.8410901893115594,912.8773445144201,0.0018977587868985973,108,5x8x8,PBE,720.6148447531958,9.599808778778232e-05
Ni,vacancy,hcp,2.187602781522503,749.4004514807564,0.0026609267607758023,108,11x6x4,PBE,557.7905114280142,4.648523007219268e-05
Ti,interstitial,fcc,4.9345422693662915,1027.9951154726953,0.0007650921775210764,512,7x11x8,LDA,654.8805907233121,6.627603829837249e-05
Fe,vacancy,hcp,2.408116931229469,1094.2134964104898,0.0010578291055828347,512,8x11x4,HSE06,686.5293552250729,8.136349263868664e-06
Fe,vacancy,fcc,1.9771203152778634,715.7522430038603,0.00991589250029387,108,8x8x9,PBEsol,705.7490648886944,2.72395964041754e-05
Mg,dislocation,fcc,1.3713720541541827,862.1972119688375,0.003820014456889307,108,7x9x4,PBE,783.9306072303716,4.834727416301645e-05
Zn,interstitial,bcc,2.34539035239645,1181.9732964229656,0.006019214014773585,512,11x7x5,HSE06,417.4942503519878,1.1969988255800898e-05
Cu,vacancy,fcc,1.5896016894750038,649.7875187668624,0.0016376743308515495,512,11x6x9,PBE,658.3243250620824,2.9304772134676857e-05
Mg,vacancy,fcc,1.2779813649671272,498.9570343083556,0.009783994390727158,216,7x11x6,LDA,618.0107675587753,9.848230421292632e-05
Mg,dislocation,fcc,1.1827935252307207,916.768214504286,0.0009196170062127371,216,11x7x8,PBEsol,616.8948821967393,5.9444421355418515e-05
Fe,substitutional,hcp,1.5918739244082871,872.6622185813233,0.007611454248894538,512,11x4x7,PBE,752.5803118700085,2.8512307627637916e-05
Fe,interstitial,bcc,4.5880111755536355,959.7641664267073,0.006160238517151531,64,4x7x7,PBEsol,739.2191164523088,8.415643404793607e-05
Ni,vacancy,bcc,1.6854439860324046,433.9992452992002,0.003056736550686659,512,5x11x9,HSE06,455.12915966369417,6.664115844554873e-05
Mg,grain_boundary,bcc,0.8053418155842642,1014.7775981493759,0.0009308134075914986,108,6x11x8,LDA,490.1755021854775,7.0591400656889e-05
Mg,interstitial,bcc,2.3907722757631635,1042.544469162056,0.004983058566952274,108,8x10x7,LDA,608.1186307674616,3.797279701827317e-05
Mg,vacancy,hcp,0.9998164865955389,356.2880042076316,0.008013867791279371,108,8x4x4,PBEsol,654.4709458832931,7.877951018994297e-05
Fe,dislocation,hcp,2.4608411302976325,1181.682043530495,0.0016537758155907754,108,8x9x4,HSE06,519.4902294355093,9.412724526641872e-05
Cu,substitutional,bcc,0.933102477638579,715.559532251144,0.004809579101529944,512,9x5x7,PBEsol,691.1757227895062,5.014965408317468e-05
Al,vacancy,bcc,0.9452131541856741,1130.3607522790107,0.004721132281535786,108,11x5x11,LDA,703.7593049671855,4.552424440260346e-05
Ti,dislocation,fcc,2.400073726683473,356.3878831098191,0.009064468095990765,64,6x10x9,HSE06,494.71372372455414,7.35124244519709e-05
Fe,dislocation,hcp,2.4464085508786524,1045.0815377899555,0.00787734244226156,64,5x8x6,HSE06,479.239053103896,5.696769520258938e-05
Fe,substitutional,fcc,1.3705065174928288,379.9562205788079,0.006837857301664849,64,5x7x5,HSE06,427.06734476000065,7.10756746257471e-05
Al,interstitial,bcc,3.1713371571411066,685.7674922734282,0.0014104553155901709,108,5x11x11,HSE06,660.3893868603816,5.4997755071283644e-05
Zn,dislocation,hcp,1.0968089117054738,1007.6503794456298,0.0020144364575776083,216,7x9x7,PBEsol,407.17827142739674,1.3499124496468734e-05
Zn,dislocation,bcc,1.2151022976023134,1186.4906905267876,0.007720352750623594,64,5x7x6,PBEsol,548.7730671667459,4.571798510393659e-05
Fe,interstitial,hcp,4.561505862979469,558.4241622761181,0.00792875133591936,216,4x10x10,LDA,758.7831721694138,5.249886180190389e-05
Ni,dislocation,bcc,2.0380584171878855,1071.4613312988777,0.009061526404402899,512,11x8x11,LDA,728.1510029795893,3.200303748691095e-05
Mg,substitutional,fcc,0.7416027588515353,1170.4139537332535,0.004178192031771722,108,5x10x6,HSE06,451.93057958068704,6.899923876982788e-05
Fe,vacancy,fcc,2.3355540622366413,641.1244135971876,0.009734600442371755,108,5x9x6,LDA,525.7400452734994,4.764562199434865e-05
Zn,dislocation,fcc,1.1522830433158198,1045.4243271934965,0.003352745265661357,512,5x9x4,PBE,568.04749113909,9.063062755350916e-05
Fe,interstitial,bcc,4.068387831961947,819.5247576917518,0.007380953164261834,216,6x4x7,PBE,670.4710248301735,3.31852975277382e-05
Ni,vacancy,fcc,2.008663742567433,878.5937190528368,0.006941811584524801,216,8x6x4,PBE,563.3225371037804,7.616562457302344e-05
Ni,dislocation,fcc,2.225468327836904,898.4864131283957,0.0026036082888024645,216,6x6x5,LDA,551.8011613498875,2.3446307909427558e-05
Ti,substitutional,hcp,1.760863160953818,965.9137086902373,0.009180847445439308,216,9x6x6,PBEsol,679.7261500504815,8.410663004057593e-05
Ti,vacancy,hcp,2.478264146286376,871.5801953187469,0.0044989722375176205,512,11x4x9,PBE,404.9616145109259,4.740802858098608e-05
Al,substitutional,fcc,0.6686614784575426,968.873878858443,0.0004823802169475562,64,11x10x10,HSE06,612.5266082272236,8.397706617164053e-05
Mg,dislocation,hcp,1.3650761714508106,816.0144110716961,0.006588591876330566,512,4x8x8,PBE,763.8507277746369,6.725082603086977e-05
Al,interstitial,fcc,2.7006831075440405,606.734129810862,0.0016490819287922737,216,7x10x10,LDA,441.68992112333905,3.906662143683644e-05
Ti,substitutional,bcc,1.6370156756815744,725.6074195298144,0.009838419288241524,108,4x5x4,PBE,588.9973420026054,5.51922580473599e-06
Fe,dislocation,bcc,2.0461996299137644,849.7020639681914,0.0028075514719442273,108,4x9x4,PBEsol,733.326828589205,8.454853664856068e-05
Al,interstitial,hcp,3.1760399202465384,761.4009533607748,0.0029355947432580087,64,4x4x4,LDA,612.6397858417723,8.810640505875485e-05
Zn,vacancy,hcp,0.9929395545766605,1193.5351550991634,0.0013157597098599184,512,6x7x11,LDA,668.3772018970031,2.6559152164925755e-05
Ti,vacancy,fcc,2.412821978151929,301.89345885829505,0.007176003675191213,512,9x4x10,LDA,547.6212087043666,1.2981475048034113e-05
Ni,dislocation,fcc,2.1889474929811112,901.7153820506227,0.006787020896768976,108,9x5x6,PBEsol,446.2950426714821,1.627783496302486e-05
Fe,dislocation,bcc,2.1398078864973953,427.9234114141119,0.00011805440069830976,64,10x8x10,PBEsol,764.0538547128538,8.099424036074874e-05
Zn,vacancy,hcp,0.8946598534346529,663.5080777531114,0.0007770688326696772,108,7x7x5,LDA,728.9689494673114,8.58986714284671e-05
Zn,vacancy,hcp,0.9069810883711094,773.2313389859914,0.0051173021844285365,64,11x4x4,HSE06,461.7838988893295,3.519328230669337e-06
Ni,interstitial,hcp,3.8773607295895127,668.6660054057088,0.003112863733138873,108,11x7x11,LDA,623.875377935176,1.1420659334504228e-05
Al,grain_boundary,bcc,1.0754911390671678,754.909606119405,0.009640210053769907,108,6x11x6,PBEsol,558.1737071971658,3.200741984594723e-05
Ti,grain_boundary,bcc,1.9151989963391531,633.3572876477758,0.0037486608742501822,108,7x4x4,PBE,515.3621751274983,9.61524130553517e-05
Ni,vacancy,fcc,2.021954333014028,779.0317780340786,0.0016842012222353833,216,5x5x11,PBE,477.84953468194874,6.7071106377034635e-06
Mg,dislocation,fcc,1.2601801135269122,612.5493351274567,0.005805095542335967,216,5x6x7,HSE06,712.9553317840349,7.372321438901991e-05
Cu,vacancy,bcc,1.769229745050942,433.1857326292513,0.008525725261233633,216,11x6x8,PBEsol,688.8572941823624,5.38052762477709e-05
Ni,grain_boundary,bcc,1.4232440470865013,1014.7895962944649,0.0027583999149453186,512,7x7x7,LDA,596.7724400422916,3.094230035064861e-05
Ni,substitutional,fcc,1.0850852615566235,845.179772825151,0.009187428371353168,64,9x6x5,LDA,731.0075688425212,7.668825167081705e-05
Ni,grain_boundary,hcp,1.437350831655031,1068.56577025988,0.00439205901652085,108,8x10x10,LDA,705.0385578776701,9.29964824027157e-05
Mg,substitutional,hcp,0.626428320884207,569.4560295345132,0.003587796538644718,512,9x4x9,HSE06,796.2184131080534,2.0864450722972365e-05
Cu,vacancy,hcp,1.4260170685903397,362.1265867990647,5.7652479481143134e-05,216,5x10x11,HSE06,595.0511238668844,8.687284132488903e-06
Ni,substitutional,hcp,1.4304750082499944,819.3365980157197,0.006977865004458223,64,10x5x5,LDA,682.8345909066793,5.972375134933403e-06
Cu,interstitial,fcc,3.0623541620962786,1077.0606901713018,0.004013658936172903,216,6x9x8,HSE06,590.5747945375167,2.3376870783783975e-05
Al,grain_boundary,fcc,0.9343209532056759,883.0357013914755,0.0012300838639754104,108,5x5x7,LDA,621.8629392140383,6.407199287100959e-05
Cu,interstitial,bcc,3.5416305974212765,797.2508706671002,0.005202178753215201,108,7x10x10,PBEsol,752.7968678886543,8.255403092001536e-05
Zn,substitutional,fcc,0.47195783219405374,300.12122370403677,0.005111780263233061,108,11x4x9,PBE,776.179402294469,9.188830690910997e-06
Ni,substitutional,fcc,1.0730001041597976,1058.4407119444995,0.0031341658279338464,64,6x4x9,LDA,774.5284615876627,6.783886605381715e-05
Al,interstitial,hcp,2.4698004499303483,869.4406908737408,0.007038867059251678,64,11x7x6,PBE,670.4432925657645,9.445424823095775e-05
Al,grain_boundary,hcp,1.0797797011863144,646.60810791225,0.00865833583205833,512,9x6x7,PBE,420.94200807498896,7.698919522327391e-05
Cu,grain_boundary,fcc,1.4911120220627991,634.0454533071677,0.008697762003640426,512,8x10x8,PBE,518.1205910287331,1.452348946146609e-05
Zn,dislocation,bcc,1.2206648206623703,721.3387271709273,0.0057921733784918475,108,5x8x7,HSE06,734.1920902968777,2.4546454768404307e-06
