building_id,building_name,address,latitude,longitude,building_type,primary_use,occupancy_class,construction_year,construction_period,architectural_style,heritage_status,gross_floor_area_m2,footprint_area_m2,number_of_floors,building_height_m,floor_to_ceiling_height_m,building_length_m,building_width_m,total_wall_area_m2,total_window_area_m2,window_wall_ratio,roof_area_m2,usable_roof_area_m2,building_volume_m3,shape_factor,has_basement,number_of_units,material_structure,material_facade,material_insulation,material_windows,material_roof,thermal_u_value_wall,thermal_u_value_roof,thermal_u_value_floor,thermal_u_value_window,thermal_r_value_wall,thermal_r_value_roof,thermal_r_value_floor,thermal_r_value_window,thermal_thermal_mass_kj_k_m2,thermal_air_leakage_m3_h_m2,thermal_thermal_bridge_coefficient,thermal_solar_heat_gain_coefficient,thermal_infiltration_rate_ach,quality_overall_condition,quality_condition_score,quality_maintenance_backlog_cost_eur,quality_structure_condition,quality_structure_remaining_life_years,quality_envelope_condition,quality_envelope_remaining_life_years,quality_roof_condition,quality_roof_remaining_life_years,quality_windows_condition,quality_windows_remaining_life_years,quality_hvac_condition,quality_hvac_remaining_life_years,quality_electrical_condition,quality_electrical_remaining_life_years,quality_plumbing_condition,quality_plumbing_remaining_life_years,energy_rating,leed_certification,breeam_rating,last_major_renovation,retrofit_potential
BLD_00011,Taylor-White Building,"8108 Tanya Terrace, East Richard, NJ 28517",17.653432,-148.520358,retail,shopping_mall,M,1993,1980_1999,Deconstructivist,none,11226.19,5613.1,2,6.8,3.4,101.5,55.3,2138.28,528.43,0.247,6267.9,4810.93,38274.61,0.19,False,1,concrete,metal_panel,fiberglass,double_glazed,metal_standing_seam,0.755,0.798,0.434,2.643,1.325,1.253,2.304,0.378,440.1,3.54,0.115,0.43,0.74,very_good,4,347440,very_good,22,very_good,18,good,27,excellent,10,very_good,20,good,27,excellent,11,C,None,None,0,low
BLD_00012,Gray Group House,"6872 Kenneth Centers Apt. 500, Shawhaven, GA 07956",46.319174,-136.990486,residential,multi_family,R,1988,1980_1999,Deconstructivist,none,3951.04,1317.01,3,13.3,4.4,51.2,25.7,2051.34,602.42,0.294,1624.32,918.56,17564.75,0.519,False,14,concrete,metal_panel,polyurethane,low_e_double,flat_membrane,0.446,0.814,0.651,2.153,2.242,1.229,1.536,0.464,397.6,12.9,0.2,0.35,1.48,good,3,1685840,good,28,fair,43,good,30,good,24,fair,45,good,29,good,32,D,None,None,0,low
BLD_00013,Jones Inc Complex,"1939 Christine Manor, Sarahborough, TN 94373",-5.661910,-51.856453,office,professional,B,1974,1946_1979,Brutalist,none,13705.45,806.2,17,68.0,4.0,39.6,20.4,8156.13,3003.07,0.368,925.76,583.23,54853.09,0.595,False,1,concrete,concrete,mineral_wool,double_glazed,metal_standing_seam,1.68,1.641,0.921,2.83,0.595,0.609,1.086,0.353,476.6,2.2,0.23,0.5,1.16,excellent,5,997474,excellent,10,very_good,20,very_good,17,very_good,19,excellent,9,excellent,9,excellent,10,E,None,None,0,medium
BLD_00014,Foster-Powers Building,"07991 Amanda Parkways Suite 251, West Justin, NV 71701",-8.793674,148.391997,retail,supermarket,M,1918,pre_1920,Art Nouveau,none,19066.67,9533.33,2,8.2,4.1,117.5,81.1,3264.06,670.11,0.205,11219.55,9021.45,78324.11,0.171,False,1,masonry,brick,mineral_wool,single_glazed,flat_membrane,1.679,1.814,1.627,4.857,0.596,0.551,0.615,0.206,488.4,8.75,0.224,0.35,1.32,fair,2,5789855,poor,42,fair,41,fair,40,poor,44,fair,36,poor,42,poor,48,E,None,None,0,high
BLD_00015,"Rice, Contreras and Spencer Complex","USS Mcmillan, FPO AE 35165",-59.014854,-122.535499,educational,training_center,E,1994,1980_1999,Deconstructivist,none,11028.53,2205.71,5,19.7,3.9,59.4,37.2,3794.51,1031.83,0.272,2695.43,2369.38,43359.12,0.344,True,1,concrete,metal_panel,fiberglass,double_glazed,flat_membrane,0.504,0.445,0.401,2.676,1.984,2.247,2.494,0.374,317.2,5.08,0.108,0.58,1.08,very_good,4,1013366,good,25,excellent,12,good,31,excellent,10,good,27,good,35,good,25,D,None,None,0,low
BLD_00016,"Tran, Nelson and Jacobs Complex","487 Whitehead Vista, North Cynthiaview, AZ 00965",-0.461599,-109.766732,healthcare,medical_office,I,1905,pre_1920,Art Nouveau,none,38054.03,6342.34,6,20.1,3.3,88.5,71.7,6425.56,1830.38,0.285,7979.65,5863.84,127229.33,0.169,True,1,timber,brick,none,single_glazed,flat_membrane,2.416,1.981,1.668,5.325,0.414,0.505,0.6,0.188,271.3,2.28,0.137,0.43,1.04,poor,1,8844619,fair,37,fair,40,fair,47,poor,41,poor,46,poor,42,poor,57,E,None,None,1998,high
BLD_00017,"Whitney, Martin and Ramos House","12805 Russell Canyon, Michaelton, MH 47399",-33.608010,-46.034744,retail,supermarket,M,1995,1980_1999,High-Tech,none,3307.1,1653.55,2,6.9,3.5,59.2,27.9,1208.37,184.56,0.153,1855.94,1094.78,11462.82,0.365,True,1,steel,glass,fiberglass,low_e_double,metal_standing_seam,0.705,0.564,0.734,3.47,1.418,1.773,1.362,0.288,159.7,8.72,0.146,0.67,0.81,very_good,4,1042777,very_good,23,very_good,22,excellent,9,good,27,very_good,18,excellent,11,very_good,24,C,None,None,0,low
BLD_00018,"Garcia, Deleon and Henson Center","22602 Patton Loop, West Erik, UT 14669",12.687762,-159.209887,residential,multi_family,R,1981,1980_1999,High-Tech,none,1931.79,386.36,5,21.1,4.2,28.6,13.5,1775.74,403.48,0.227,463.28,383.74,8146.58,0.919,True,64,concrete,glass,polyurethane,double_glazed,metal_standing_seam,0.46,0.946,0.406,2.216,2.174,1.057,2.463,0.451,441.9,14.58,0.069,0.61,0.47,excellent,5,622099,excellent,11,excellent,8,excellent,11,excellent,10,excellent,11,very_good,23,very_good,21,E,None,None,0,low
BLD_00019,Walker-Velasquez Complex,"30365 Lin Trail Suite 586, Sheilaville, FM 34738",-42.066066,131.701739,office,professional,B,1949,1946_1979,Post-Modern,none,16081.65,1148.69,14,47.1,3.4,45.0,25.5,6646.01,2698.45,0.406,1383.64,791.47,54135.6,0.413,True,1,concrete,metal_panel,mineral_wool,single_glazed,metal_standing_seam,1.713,0.972,1.069,3.562,0.584,1.029,0.935,0.281,164.9,1.13,0.251,0.66,1.05,fair,2,4073652,fair,33,fair,48,fair,42,fair,43,poor,57,fair,48,fair,34,E,None,None,0,medium
BLD_00020,Johnson-Carlson Tower,"9816 Jonathan Station Suite 088, West Ryan, TN 43780",77.277006,-11.467824,industrial,distribution,F,1989,1980_1999,Neo-Modern,none,31478.16,31478.16,1,5.7,5.7,250.2,125.8,4311.63,1195.72,0.277,37341.51,28794.26,180468.17,0.137,True,1,concrete,composite_panel,fiberglass,low_e_double,metal_standing_seam,0.42,0.619,0.453,3.364,2.381,1.616,2.208,0.297,197.0,6.82,0.1,0.61,1.33,very_good,4,1141859,very_good,20,very_good,23,very_good,23,very_good,24,very_good,22,very_good,22,good,36,D,None,None,0,low
BLD_00021,"Charles, Cortez and Evans Center","6482 Robert Light Apt. 994, Kelleytown, ME 38107",-33.579516,50.794441,industrial,manufacturing,F,2021,2011_present,Smart,none,11962.13,5981.06,2,15.6,7.8,116.5,51.3,5230.54,897.92,0.172,6400.62,3264.38,93197.21,0.437,False,1,timber,glass,aerogel,low_e_triple,flat_membrane,0.315,0.239,0.195,1.127,3.175,4.184,5.128,0.887,112.9,14.25,0.126,0.5,0.24,excellent,5,16472,excellent,9,excellent,9,excellent,11,excellent,10,excellent,11,excellent,11,excellent,10,B,Gold,Pass,0,minimal
BLD_00022,"Lawson, Morris and Ramos Complex","214 Davis Terrace Apt. 433, North Brandon, NJ 80621",-70.450321,64.499692,mixed_use,mixed_commercial_residential,Mixed,1982,1980_1999,Neo-Modern,none,27522.44,1196.63,23,102.5,4.5,49.3,24.3,15083.02,2415.03,0.16,1316.35,1178.83,122657.61,0.548,True,1,concrete,composite_panel,fiberglass,double_glazed,flat_membrane,0.597,0.489,0.76,2.004,1.675,2.045,1.316,0.499,436.3,3.03,0.082,0.4,0.34,excellent,5,700151,very_good,23,very_good,16,very_good,21,very_good,17,excellent,9,excellent,10,excellent,8,D,None,None,2017,low
BLD_00023,Mercado-Johnston Building,"6320 Kimberly Forges Apt. 870, Port David, DC 61402",89.201532,105.149257,mixed_use,mixed_commercial_residential,Mixed,1993,1980_1999,Neo-Modern,none,28385.61,1576.98,18,66.0,3.7,57.9,27.2,11234.19,3705.64,0.33,1729.37,967.29,104043.01,0.396,True,1,steel,composite_panel,polyurethane,low_e_double,metal_standing_seam,0.672,0.763,0.44,3.053,1.488,1.311,2.273,0.328,433.8,10.11,0.242,0.59,0.4,very_good,4,372434,very_good,23,very_good,19,excellent,10,very_good,17,very_good,19,good,28,very_good,21,D,None,None,0,low
BLD_00024,"Larson, Dodson and Vance Building","727 Green Gateway Suite 873, Scottport, IA 36115",0.153388,-8.357236,educational,training_center,E,1973,1946_1979,Brutalist,none,26438.49,13219.25,2,7.8,3.9,180.3,73.3,3956.99,871.84,0.22,15511.14,9075.5,103126.37,0.15,False,1,concrete,brick,mineral_wool,double_glazed,flat_membrane,1.563,1.489,1.346,5.335,0.64,0.672,0.743,0.187,488.5,12.46,0.203,0.56,0.14,excellent,5,739377,excellent,11,excellent,8,excellent,11,excellent,12,very_good,16,excellent,10,excellent,8,F,None,None,2003,medium
BLD_00025,"Miller, Hernandez and Reyes Complex","66587 Brown Village, Priceshire, UT 03061",64.535702,24.215510,mixed_use,mixed_commercial_residential,Mixed,2009,2000_2010,Sustainable,none,6143.41,1535.85,4,16.5,4.1,46.4,33.1,2627.81,420.33,0.16,1573.44,1065.61,25382.44,0.428,False,1,steel,metal_panel,eps,triple_glazed,green_roof,0.304,0.302,0.336,1.489,3.289,3.311,2.976,0.672,355.2,9.3,0.182,0.42,0.41,excellent,5,126775,very_good,16,very_good,18,excellent,11,very_good,18,excellent,8,very_good,19,excellent,10,B,None,None,0,minimal
BLD_00026,Smith-Bell Complex,"893 Robinson Mews Suite 065, Ramseymouth, PW 17229",77.035832,106.755443,industrial,manufacturing,F,2017,2011_present,Net-Zero,none,13001.58,6500.79,2,11.3,5.6,89.3,72.8,3654.83,1133.96,0.31,7706.28,6417.87,73285.86,0.281,False,1,steel,composite_panel,polyurethane,low_e_triple,solar_integrated,0.268,0.193,0.209,1.048,3.731,5.181,4.785,0.954,202.8,5.66,0.092,0.5,0.26,excellent,5,86882,excellent,9,excellent,9,very_good,23,excellent,8,excellent,9,excellent,9,excellent,8,B,None,None,0,minimal
BLD_00027,Meadows PLC House,"62720 Gray Forest, Murphyfurt, KY 99068",23.162947,-44.562755,retail,shopping_mall,M,2001,2000_2010,Contemporary,none,6897.75,1724.44,4,14.2,3.6,46.4,37.2,2375.35,492.68,0.207,2057.94,1833.52,24508.44,0.344,True,1,composite,metal_panel,xps,triple_glazed,green_roof,0.395,0.391,0.435,1.433,2.532,2.558,2.299,0.698,459.1,9.0,0.097,0.54,0.8,very_good,4,863376,very_good,20,good,36,good,30,excellent,8,very_good,20,excellent,10,very_good,17,C,Silver,None,2023,minimal
BLD_00028,Ruiz Ltd Complex,"10033 Christine Garden Apt. 719, South Holly, WI 48852",-44.959445,145.286162,industrial,warehouse,F,1931,1920_1945,Bauhaus,none,13788.81,4596.27,3,17.6,5.9,98.4,46.7,5113.0,1375.44,0.269,5889.66,3674.16,80965.86,0.371,False,1,steel,stucco,mineral_wool,single_glazed,flat_membrane,1.758,1.518,1.247,5.737,0.569,0.659,0.802,0.174,203.8,11.73,0.098,0.7,0.32,fair,2,6498905,poor,57,good,30,good,34,fair,33,good,35,fair,34,poor,43,F,None,None,2005,high
BLD_00029,"Stuart, Higgins and Strickland Center","90496 David Flat Apt. 931, Melissaville, WY 74678",-78.975588,6.403601,retail,shopping_mall,M,1986,1980_1999,Neo-Modern,none,7988.98,1997.24,4,13.7,3.4,60.0,33.3,2553.86,578.13,0.226,2313.28,2050.74,27343.54,0.32,True,1,concrete,metal_panel,fiberglass,low_e_double,metal_standing_seam,0.733,0.462,0.738,3.277,1.364,2.165,1.355,0.305,178.3,11.68,0.118,0.66,0.31,very_good,4,1441142,good,25,very_good,23,very_good,23,excellent,8,very_good,19,very_good,24,very_good,18,E,None,None,0,low
BLD_00030,"Patterson, Wood and Hunter House","1657 Ryan Street Suite 987, Grahamshire, KY 42746",-24.100394,-133.473212,office,corporate,B,1852,pre_1920,Georgian,none,14284.35,492.56,29,127.9,4.4,26.2,18.8,11511.54,5806.88,0.504,555.11,449.9,62998.82,0.806,True,1,timber,brick,none,single_glazed,flat_membrane,2.139,2.423,1.25,5.588,0.468,0.413,0.8,0.179,274.9,8.5,0.208,0.53,1.11,poor,1,11448560,fair,39,fair,38,fair,39,fair,43,poor,59,fair,47,fair,40,F,None,None,1996,high
BLD_00031,Keith-Sanchez Tower,"0752 Lewis Union Suite 549, Angelahaven, ID 11722",-25.211479,38.199436,mixed_use,mixed_commercial_residential,Mixed,2005,2000_2010,Contemporary,none,7936.15,566.87,14,59.1,4.2,32.9,17.2,5923.91,1096.03,0.185,699.37,479.66,33492.64,0.746,False,1,composite,glass,polyurethane,low_e_double,metal_standing_seam,0.444,0.292,0.323,1.435,2.252,3.425,3.096,0.697,139.8,1.59,0.283,0.51,1.48,excellent,5,191625,very_good,20,very_good,22,very_good,18,excellent,11,excellent,9,excellent,10,excellent,11,C,None,None,0,minimal
BLD_00032,Peters-Allen Building,"0143 Holt Inlet Suite 788, Ronaldside, MA 46613",31.801317,-34.552852,healthcare,medical_office,I,1966,1946_1979,Brutalist,none,9616.91,1373.84,7,24.2,3.5,53.2,25.8,3827.36,1035.39,0.271,1549.47,1202.24,33272.04,0.398,False,1,steel,brick,mineral_wool,double_glazed,metal_standing_seam,1.439,1.75,0.746,4.814,0.695,0.571,1.34,0.208,232.8,8.18,0.237,0.36,0.14,excellent,5,613652,excellent,11,very_good,16,excellent,9,excellent,9,very_good,24,excellent,10,excellent,10,E,None,None,0,medium
BLD_00033,King-Martinez House,"823 Joanna Harbor, Tinaborough, LA 30317",6.873274,-83.663054,educational,university,E,2006,2000_2010,Minimalist,none,27665.65,13832.83,2,6.8,3.4,146.0,94.8,3264.78,781.11,0.239,17967.59,11036.25,93798.58,0.118,False,1,concrete,glass,polyurethane,low_e_double,green_roof,0.293,0.343,0.499,2.048,3.413,2.915,2.004,0.488,485.4,14.81,0.217,0.58,0.87,excellent,5,244515,very_good,23,excellent,11,excellent,11,very_good,20,very_good,24,excellent,9,excellent,8,C,None,None,0,minimal
BLD_00034,Smith-Ferguson Complex,"427 Monique Ports, Taylormouth, MA 24665",-76.208666,-44.451700,retail,shopping_mall,M,2012,2011_present,Net-Zero,none,9549.52,3183.17,3,12.7,4.2,66.0,48.3,2908.2,756.89,0.26,3744.48,3022.22,40524.16,0.305,True,1,composite,metal_panel,polyurethane,low_e_triple,flat_membrane,0.181,0.15,0.198,1.367,5.525,6.667,5.051,0.732,205.7,14.17,0.274,0.64,0.45,excellent,5,120772,excellent,12,excellent,9,very_good,21,very_good,20,excellent,10,excellent,9,excellent,10,A,None,None,0,minimal
BLD_00035,Wilson-Jones House,"29413 Angela Mall, Port Alexandra, NV 58529",-10.179878,135.962025,retail,boutique,M,1987,1980_1999,Neo-Modern,none,16289.07,4072.27,4,12.4,3.1,80.4,50.7,3259.8,528.03,0.162,4609.32,3197.49,50650.2,0.2,True,1,steel,composite_panel,fiberglass,low_e_double,metal_standing_seam,0.841,0.916,0.79,2.196,1.189,1.092,1.266,0.455,216.7,8.86,0.13,0.49,0.47,good,3,2213289,fair,34,good,27,good,34,fair,36,very_good,23,fair,44,good,33,E,None,None,0,low
BLD_00036,Torres-Oliver Center,"34123 Andrea Estate, South Shannonfort, LA 04779",-27.863572,-25.324868,residential,condo,R,2005,2000_2010,Contemporary,none,718.96,179.74,4,17.3,4.3,18.2,9.9,971.13,272.74,0.281,205.11,146.59,3108.43,1.351,True,56,concrete,composite_panel,xps,triple_glazed,green_roof,0.341,0.28,0.393,1.556,2.933,3.571,2.545,0.643,299.0,2.03,0.176,0.61,0.49,excellent,5,106090,very_good,21,very_good,17,excellent,10,excellent,10,very_good,22,excellent,10,very_good,20,C,None,None,0,minimal
BLD_00037,"Campbell, Heath and Jones Complex","936 Amy Rue Apt. 421, East Laurashire, PW 38329",27.884357,-113.238140,retail,department_store,M,2005,2000_2010,Minimalist,none,10638.98,2659.74,4,13.8,3.4,75.1,35.4,3050.19,955.16,0.313,2953.67,2272.91,36701.14,0.287,False,1,composite,composite_panel,xps,low_e_double,metal_standing_seam,0.369,0.393,0.446,2.021,2.71,2.545,2.242,0.495,309.9,11.1,0.196,0.37,0.98,excellent,5,211958,excellent,11,excellent,9,excellent,9,very_good,24,excellent,9,very_good,19,very_good,19,C,None,None,0,minimal
BLD_00038,Barker-Lyons Center,"USCGC Kim, FPO AP 05725",25.971812,-6.954920,healthcare,hospital,I,1968,1946_1979,Post-Modern,none,35414.09,5902.35,6,19.7,3.3,108.5,54.4,6427.39,1281.0,0.199,6890.55,4065.06,116455.56,0.181,False,1,steel,metal_panel,fiberglass,double_glazed,metal_standing_seam,1.28,1.473,1.448,4.965,0.781,0.679,0.691,0.201,179.5,9.03,0.186,0.66,0.65,very_good,4,2127480,good,35,very_good,18,good,35,very_good,19,excellent,11,good,30,very_good,23,E,None,None,2016,medium
BLD_00039,"Wright, Davis and Hayden Center","490 Thomas Run, Moonburgh, OR 57633",80.398724,83.993279,retail,boutique,M,2018,2011_present,Biophilic,none,2910.35,1455.17,2,7.7,3.8,41.9,34.7,1172.61,393.79,0.336,1632.81,1427.1,11133.63,0.403,False,1,composite,metal_panel,polyurethane,triple_glazed,solar_integrated,0.207,0.137,0.265,1.322,4.831,7.299,3.774,0.756,154.5,11.34,0.263,0.31,1.39,excellent,5,39657,very_good,23,very_good,23,excellent,12,very_good,22,excellent,12,very_good,23,excellent,9,A,None,None,0,minimal
BLD_00040,Harrison Group Center,"56746 Shawn Island, Marcusfurt, VI 67950",-89.691014,173.078729,industrial,warehouse,F,1920,1920_1945,Bauhaus,none,29991.48,14995.74,2,14.3,7.2,170.5,88.0,7391.95,1368.24,0.185,18847.31,16186.39,214453.77,0.246,False,1,steel,stucco,mineral_wool,single_glazed,pitched_tile,1.466,1.641,1.259,4.822,0.682,0.609,0.794,0.207,167.4,4.3,0.238,0.68,0.52,good,3,2109506,good,31,very_good,21,very_good,18,good,25,very_good,17,very_good,20,very_good,22,F,None,None,0,high
BLD_00041,"Murray, Brown and Stone House","703 Dunn Heights Suite 710, Lake Eric, OH 02293",58.243859,39.038335,healthcare,care_facility,I,1997,1980_1999,Deconstructivist,none,41089.77,8217.95,5,20.1,4.0,134.2,61.3,7856.83,2114.77,0.269,10159.13,7215.04,165201.95,0.191,False,1,concrete,composite_panel,fiberglass,double_glazed,flat_membrane,0.744,0.49,0.531,2.781,1.344,2.041,1.883,0.36,102.3,3.88,0.196,0.34,0.81,very_good,4,329154,excellent,10,excellent,10,very_good,16,very_good,21,very_good,22,good,27,excellent,11,D,None,None,2018,low
BLD_00042,Walker Inc Building,"274 Perry Orchard, Sanchezside, FL 50778",-38.833419,141.788396,mixed_use,mixed_commercial_residential,Mixed,2022,2011_present,Parametric,none,26897.59,1681.1,16,69.4,4.3,53.3,31.6,11771.71,2821.77,0.24,2143.63,1395.5,116654.86,0.438,True,1,timber,metal_panel,aerogel,low_e_triple,flat_membrane,0.322,0.144,0.299,1.114,3.106,6.944,3.344,0.898,107.3,14.7,0.259,0.6,1.47,excellent,5,28448,excellent,11,excellent,10,very_good,23,very_good,20,excellent,9,very_good,22,excellent,11,A,None,None,0,minimal
BLD_00043,"Francis, Taylor and Jones Complex","8404 Monroe Prairie Suite 278, Reedside, WV 71729",11.256553,64.461278,residential,condo,R,1867,pre_1920,Edwardian,none,2767.53,691.88,4,17.5,4.4,32.3,21.4,1879.6,498.51,0.265,811.75,656.71,12106.82,0.679,False,31,timber,brick,none,single_glazed,flat_membrane,1.775,2.357,1.673,5.456,0.563,0.424,0.598,0.183,128.8,10.5,0.189,0.32,0.58,fair,2,11756862,good,32,fair,37,fair,39,good,29,poor,49,good,28,fair,34,E,None,None,0,high
BLD_00044,Kane-Pollard Center,"60576 Mcneil Turnpike Apt. 702, Mollymouth, CT 69438",32.655697,-171.760321,mixed_use,mixed_commercial_residential,Mixed,1951,1946_1979,Mid-Century Modern,none,22818.51,2535.39,9,32.1,3.6,56.7,44.7,6508.92,1763.88,0.271,2565.47,1357.43,81365.15,0.285,True,1,steel,brick,mineral_wool,double_glazed,flat_membrane,1.012,1.028,1.293,5.041,0.988,0.973,0.773,0.198,389.4,13.8,0.224,0.58,0.66,fair,2,5464768,fair,41,good,29,fair,42,good,27,fair,46,good,25,fair,40,F,None,None,2002,high
