Material_ID,Temperature_C,Applied_Stress_MPa,Time_Hours,Creep_Strain_Percent,Strain_Rate_per_Hour,Test_Method,Sample_ID
Inconel718_001,650,400,200,0.0556,0.000073,ASTM_E139,CREEP_004
Inconel718_001,650,400,500,0.0798,0.000081,ASTM_E139,CREEP_004
Inconel718_001,650,400,1000,0.1109,0.000062,ASTM_E139,CREEP_004
Inconel718_001,650,400,2000,0.1512,0.000040,ASTM_E139,CREEP_004
Inconel718_001,650,400,5000,0.2223,0.000024,ASTM_E139,CREEP_004
Inconel718_001,700,300,0.1,0.0011,0.011,ASTM_E139,CREEP_005
Inconel718_001,700,300,1,0.0078,0.0067,ASTM_E139,CREEP_005
Inconel718_001,700,300,10,0.0203,0.00125,ASTM_E139,CREEP_005
Inconel718_001,700,300,50,0.0389,0.00037,ASTM_E139,CREEP_005
Inconel718_001,700,300,100,0.0575,0.00019,ASTM_E139,CREEP_005
Inconel718_001,700,300,200,0.0778,0.000102,ASTM_E139,CREEP_005
Inconel718_001,700,300,500,0.1117,0.000113,ASTM_E139,CREEP_005
Inconel718_001,700,300,1000,0.1553,0.000087,ASTM_E139,CREEP_005
Inconel718_001,700,300,2000,0.2118,0.000056,ASTM_E139,CREEP_005
Inconel718_001,700,300,5000,0.3112,0.000033,ASTM_E139,CREEP_005
Ti6Al4V_001,500,300,0.1,0.0014,0.014,ASTM_E139,CREEP_006
Ti6Al4V_001,500,300,1,0.0098,0.0084,ASTM_E139,CREEP_006
Ti6Al4V_001,500,300,10,0.0256,0.00158,ASTM_E139,CREEP_006
Ti6Al4V_001,500,300,50,0.0491,0.00047,ASTM_E139,CREEP_006
Ti6Al4V_001,500,300,100,0.0726,0.00024,ASTM_E139,CREEP_006
Ti6Al4V_001,500,300,200,0.0984,0.000129,ASTM_E139,CREEP_006
Ti6Al4V_001,500,300,500,0.1412,0.000143,ASTM_E139,CREEP_006
Ti6Al4V_001,500,300,1000,0.1964,0.000110,ASTM_E139,CREEP_006
Ti6Al4V_001,500,300,2000,0.2684,0.000072,ASTM_E139,CREEP_006
Ti6Al4V_001,500,300,5000,0.3956,0.000042,ASTM_E139,CREEP_006
Ti6Al4V_001,550,250,0.1,0.0017,0.017,ASTM_E139,CREEP_007
Ti6Al4V_001,550,250,1,0.0119,0.0102,ASTM_E139,CREEP_007
Ti6Al4V_001,550,250,10,0.0311,0.00192,ASTM_E139,CREEP_007
Ti6Al4V_001,550,250,50,0.0596,0.00057,ASTM_E139,CREEP_007
Ti6Al4V_001,550,250,100,0.0881,0.00029,ASTM_E139,CREEP_007
Ti6Al4V_001,550,250,200,0.1194,0.000157,ASTM_E139,CREEP_007
Ti6Al4V_001,550,250,500,0.1713,0.000173,ASTM_E139,CREEP_007
Ti6Al4V_001,550,250,1000,0.2384,0.000134,ASTM_E139,CREEP_007
Ti6Al4V_001,550,250,2000,0.3256,0.000087,ASTM_E139,CREEP_007
Ti6Al4V_001,550,250,5000,0.4798,0.000051,ASTM_E139,CREEP_007
