FirmID,Firm_Name,Subsector,Location_Zone,Year_Established,Firm_Age,Firm_Size,Employees,Total_Assets_USD,Ownership_Type,FDI_Presence,FDI_Type,FDI_Origin_Country,FDI_Ownership_Percentage,Years_With_FDI,Knowledge_Absorption,Task_Performance,Innovation_Score,Firm_Resources_Score,Skilled_Labor_Ratio,Employee_Training_Hours,IoT_Adoption,RD_Spend_Ratio,Automation_Level,Liquidity_Ratio,Debt_Equity_Ratio,ROI_Percentage,ROA_Percentage,Revenue_USD,Revenue_Growth_Rate,Export_Intensity,Market_Share_Percentage,Operational_Efficiency,Employee_Productivity_USD,Tax_Incentives_Score,Regulatory_Stability,Infrastructure_Support,Corruption_Experience,Bureaucratic_Efficiency,Trade_Policy_Support,Govt_Policy_Score,Policy_Effectiveness_Index,EEG_Beneficiary,Pioneer_Tax_Status,Power_Access_Hours_Daily,Generator_Reliance,Port_Distance_KM,ISO_Certified,NAFDAC_Compliant,Halal_Certified,FDI_Inflow_Lagos_BillionUSD,Corruption_Perception_Index,Ease_Doing_Business_Rank,Avg_Power_Reliability_Hours,Logistics_Quality_Index,FDI_Policy_Interaction,Innovation_Policy_Interaction
FIRM_016,MeatProcessing_FIRM_016,Meat Processing,Ikorodu,1990,34,SME,242,1812157.85,Joint Venture,1,Joint Venture,USA,38.06,11,4.1,3.55,3.85,3.83,0.714,152.2,1,0.0251,2,2.78,1.38,15.17,11.6,2315046.97,15.9,0.269,0.75,9.61,9566.31,3.73,5.06,1.89,4.83,2.5,4.69,3.51,50.12,0,0,9.4,0.607,33.0,0,1,0,1.2,24,131,3.2,2.8,3.51,13.51
FIRM_017,BakeryProducts_FIRM_017,Bakery Products,Badagry,2006,18,SME,147,3956397.63,Local,1,Greenfield,France,55.65,2,5.0,4.6,2.29,4.54,0.386,180.9,0,0.0293,3,3.46,1.55,13.38,10.8,2247744.18,4.97,0.152,1.01,7.15,15290.78,3.49,1.0,4.23,5.57,3.39,4.28,3.14,44.82,0,0,18.7,0.221,55.9,0,1,1,1.2,24,131,3.2,2.8,3.14,7.2
FIRM_018,Seasoning&Condiments_FIRM_018,Seasoning & Condiments,Apapa,1998,26,SME,53,1065133.92,Foreign-Owned,1,M&A,Netherlands,46.16,1,3.96,4.01,4.9,4.49,0.211,106.2,0,0.0385,3,0.66,0.91,19.94,10.09,9934912.1,31.53,0.364,3.83,7.16,187451.17,1.9,2.35,3.45,5.21,4.13,5.9,3.42,48.88,0,0,20.7,0.136,13.7,0,1,0,1.2,24,131,3.2,2.8,3.42,16.75
FIRM_019,BakeryProducts_FIRM_019,Bakery Products,Lagos Island,2020,4,SME,132,3187104.89,Foreign-Owned,1,M&A,China,60.01,2,3.65,4.55,3.23,2.56,0.361,152.0,1,0.0279,1,1.67,1.38,3.17,17.02,4534936.34,11.21,0.387,0.92,9.28,34355.58,5.57,4.47,5.57,6.26,4.44,3.58,4.23,60.4,0,0,20.1,0.164,8.0,0,1,0,1.2,24,131,3.2,2.8,4.23,13.64
FIRM_020,DairyProducts_FIRM_020,Dairy Products,Lagos Island,1995,29,SME,189,2016572.09,Public Listed,1,Joint Venture,India,51.34,4,3.54,4.38,4.38,4.73,0.53,57.8,1,0.0218,2,1.53,0.65,21.66,6.18,9230175.92,4.82,0.159,4.57,9.75,48836.91,3.06,4.09,2.3,6.66,2.68,3.41,2.81,40.17,0,0,13.3,0.445,20.1,0,1,0,1.2,24,131,3.2,2.8,2.81,12.32
FIRM_021,OtherFoodProducts_FIRM_021,Other Food Products,Apapa,1998,26,SME,62,1709226.35,Joint Venture,1,Greenfield,South Africa,43.84,9,2.87,2.51,3.81,4.37,0.173,183.4,1,0.0693,4,1.76,2.3,20.84,4.57,8882988.33,11.72,0.21,0.52,6.31,143274.01,4.41,2.85,3.42,4.16,4.38,3.86,3.79,54.19,0,1,15.6,0.352,34.8,1,1,0,1.2,24,131,3.2,2.8,3.79,14.46
FIRM_022,Fruits&VegetablesProcessing_FIRM_022,Fruits & Vegetables Processing,Ikorodu,1994,30,SME,203,2695556.66,Family Business,0,None,None,0.0,0,3.09,3.03,2.54,2.16,0.601,87.7,1,0.0187,2,3.1,1.08,7.66,2.35,2234684.08,17.86,0.101,2.58,3.86,11008.3,5.45,4.04,5.77,5.63,5.12,4.5,4.54,64.92,0,0,10.3,0.573,25.6,0,1,0,1.2,24,131,3.2,2.8,0.0,11.54
FIRM_023,FishProcessing_FIRM_023,Fish Processing,Lagos Island,2005,19,SME,170,1079036.96,Joint Venture,1,Joint Venture,India,84.5,13,4.35,3.81,3.33,4.53,0.332,82.1,1,0.0322,5,1.54,1.96,20.34,10.63,3227146.73,1.12,0.275,4.93,6.57,18983.22,4.04,6.99,1.0,6.14,4.87,2.37,3.52,50.32,0,0,10.1,0.578,54.2,0,1,0,1.2,24,131,3.2,2.8,3.52,11.74
FIRM_024,MeatProcessing_FIRM_024,Meat Processing,Ikeja,1988,36,SME,137,632867.86,Joint Venture,1,M&A,France,15.71,5,3.52,4.41,4.03,4.05,0.57,136.4,1,0.1097,2,1.71,1.95,21.1,5.13,13952052.41,10.31,0.102,1.0,8.49,101839.8,5.27,3.63,4.32,6.9,3.33,4.67,3.72,53.14,0,0,15.7,0.344,17.7,0,1,0,1.2,24,131,3.2,2.8,3.72,14.99
FIRM_025,Sugar&Confectionery_FIRM_025,Sugar & Confectionery,Apapa,1981,43,SME,90,2507012.92,Local,1,M&A,Netherlands,75.53,5,3.04,3.24,4.86,3.48,0.569,97.3,1,0.0093,4,2.58,0.75,7.49,17.22,1507459.83,20.67,0.239,1.01,9.25,16749.55,4.36,4.94,4.13,6.64,4.88,3.46,3.85,55.05,0,0,23.8,0.008,56.8,1,1,0,1.2,24,131,3.2,2.8,3.85,18.72
FIRM_026,AnimalFeeds_FIRM_026,Animal Feeds,Apapa,2002,22,SME,160,2801242.58,Foreign-Owned,0,None,None,0.0,0,3.38,3.42,2.65,3.68,0.741,70.6,0,0.0044,3,2.18,1.25,12.24,10.04,5249511.43,12.87,0.202,2.08,8.86,32809.45,6.86,4.48,3.42,7.0,4.81,3.76,4.05,57.93,0,0,23.8,0.006,2.0,0,1,0,1.2,24,131,3.2,2.8,0.0,10.75
FIRM_027,Seasoning&Condiments_FIRM_027,Seasoning & Condiments,Badagry,1995,29,SME,132,4989773.85,Family Business,0,None,None,0.0,0,2.69,1.96,3.44,3.19,0.839,156.0,0,0.0506,5,2.7,0.11,3.69,8.8,10251709.77,8.54,0.15,1.46,9.42,77664.47,3.05,2.89,4.4,5.43,3.57,4.29,3.46,49.47,0,0,19.9,0.171,5.8,0,1,1,1.2,24,131,3.2,2.8,0.0,11.92
FIRM_028,GrainMilling_FIRM_028,Grain Milling,Apapa,1981,43,SME,246,645676.87,Foreign-Owned,1,Joint Venture,Netherlands,28.74,1,4.36,4.16,4.54,3.96,0.568,109.8,1,0.0618,2,2.59,0.47,8.88,10.5,3434257.71,26.56,0.345,2.73,10.0,13960.4,3.4,3.26,3.63,5.5,4.36,6.41,3.93,56.09,1,0,14.0,0.418,17.1,0,1,1,1.2,24,131,3.2,2.8,3.93,17.81
FIRM_029,FishProcessing_FIRM_029,Fish Processing,Ikorodu,1996,28,SME,69,591870.86,Public Listed,1,Greenfield,India,82.35,8,3.83,4.42,3.81,4.42,0.613,113.3,0,0.0881,3,3.1,0.69,15.01,11.6,5022385.62,20.49,0.298,1.03,7.39,72788.2,4.08,4.12,2.97,4.13,4.62,4.78,4.07,58.21,1,0,8.1,0.661,49.5,1,1,1,1.2,24,131,3.2,2.8,4.07,15.51
FIRM_030,OtherFoodProducts_FIRM_030,Other Food Products,Badagry,1996,28,SME,242,4816810.42,Public Listed,0,None,None,0.0,0,1.86,3.29,3.09,2.89,0.646,22.8,0,0.0415,2,0.72,2.15,10.26,17.5,6847583.3,6.48,0.0,1.98,8.42,28295.8,4.05,2.09,3.33,6.5,2.79,5.05,3.14,44.81,0,0,11.7,0.513,9.6,0,0,1,1.2,24,131,3.2,2.8,0.0,9.68
FIRM_031,AnimalFeeds_FIRM_031,Animal Feeds,Ikorodu,2008,16,SME,230,4720898.8,Family Business,0,None,None,0.0,0,1.89,2.92,3.61,2.44,0.672,48.1,0,0.0858,2,3.09,1.24,14.09,11.33,8897040.62,11.76,0.119,3.17,7.66,38682.79,5.12,3.67,5.36,4.29,5.84,3.95,4.61,65.86,1,0,12.3,0.487,48.3,0,1,1,1.2,24,131,3.2,2.8,0.0,16.66
FIRM_032,FishProcessing_FIRM_032,Fish Processing,Ikeja,2006,18,SME,27,3418260.3,Family Business,1,Greenfield,UK,61.0,11,2.94,4.29,4.0,3.32,0.319,197.5,1,0.0599,4,2.61,1.44,15.06,8.33,4964352.53,5.79,0.256,0.26,7.65,183864.91,4.45,2.31,4.68,5.85,2.86,3.47,3.32,47.44,1,0,19.3,0.196,3.8,0,1,0,1.2,24,131,3.2,2.8,3.32,13.28
FIRM_033,MeatProcessing_FIRM_033,Meat Processing,Apapa,2016,8,SME,123,4679248.99,Local,0,None,None,0.0,0,2.65,3.74,2.88,3.57,0.722,95.9,0,0.0632,2,1.82,1.84,21.33,14.04,5700953.59,14.9,0.0,2.4,8.45,46349.22,4.69,3.01,3.08,3.53,5.06,3.41,3.95,56.48,1,0,11.5,0.52,26.3,0,1,1,1.2,24,131,3.2,2.8,0.0,11.39
FIRM_034,Seasoning&Condiments_FIRM_034,Seasoning & Condiments,Epe,2000,24,SME,222,3649486.9,Family Business,1,Joint Venture,UK,39.4,12,5.0,3.91,4.81,4.47,0.562,15.6,1,0.0727,2,2.88,1.67,31.49,7.9,7091907.45,6.64,0.018,4.2,9.63,31945.53,6.35,1.64,1.12,6.83,1.0,4.45,2.62,37.48,1,0,9.6,0.602,25.5,0,1,0,1.2,24,131,3.2,2.8,2.62,12.61
FIRM_035,DairyProducts_FIRM_035,Dairy Products,Badagry,1999,25,SME,240,859443.17,Family Business,0,None,None,0.0,0,3.48,2.58,3.58,2.58,0.242,194.3,0,0.0283,3,1.83,0.89,21.31,6.49,1696815.14,3.84,0.378,4.75,4.53,7070.06,2.5,5.77,1.0,5.7,1.0,4.85,2.9,41.46,0,0,16.9,0.295,33.3,1,0,1,1.2,24,131,3.2,2.8,0.0,10.38
FIRM_036,AnimalFeeds_FIRM_036,Animal Feeds,Epe,1995,29,SME,46,4686198.18,Family Business,0,None,None,0.0,0,3.58,2.89,2.42,4.03,0.428,101.2,0,0.0021,1,2.42,2.18,15.94,13.26,5579605.65,1.72,0.0,3.37,8.3,121295.77,5.0,2.33,2.26,7.0,3.25,4.26,3.02,43.09,0,0,23.1,0.037,41.6,0,1,0,1.2,24,131,3.2,2.8,0.0,7.31
FIRM_037,Sugar&Confectionery_FIRM_037,Sugar & Confectionery,Ikeja,1997,27,SME,241,3854170.85,Public Listed,0,None,None,0.0,0,3.66,3.79,3.25,2.31,0.426,133.7,1,0.0789,2,2.31,0.86,9.96,9.73,3245271.31,8.92,0.095,3.85,5.27,13465.86,5.2,4.91,2.61,3.34,2.33,2.39,3.68,52.62,0,0,17.0,0.291,24.1,0,1,0,1.2,24,131,3.2,2.8,0.0,11.96
FIRM_038,Seasoning&Condiments_FIRM_038,Seasoning & Condiments,Lagos Island,1998,26,SME,44,1174984.65,Local,0,None,None,0.0,0,3.7,3.43,2.07,3.0,0.53,190.8,0,0.1097,5,1.52,1.01,19.7,14.66,5866001.24,14.4,0.0,3.08,7.46,133318.21,3.87,4.35,2.92,5.76,3.46,2.86,3.28,46.88,0,0,12.9,0.462,48.6,0,1,0,1.2,24,131,3.2,2.8,0.0,6.78
FIRM_039,Sugar&Confectionery_FIRM_039,Sugar & Confectionery,Ikeja,2011,13,SME,155,2029530.77,Foreign-Owned,1,Joint Venture,France,20.36,11,3.48,4.16,4.36,3.5,0.28,184.4,1,0.0104,1,1.62,1.36,16.73,21.0,8377229.89,17.66,0.337,0.96,9.74,54046.64,3.87,4.24,5.46,4.07,2.12,4.83,4.08,58.24,0,0,20.3,0.156,10.7,0,1,1,1.2,24,131,3.2,2.8,4.08,17.79
FIRM_040,GrainMilling_FIRM_040,Grain Milling,Ikeja,2003,21,SME,117,4320845.53,Family Business,1,M&A,Netherlands,12.01,3,4.07,4.38,5.0,3.57,0.566,104.4,0,0.0164,5,2.53,1.16,9.57,19.57,414313.3,21.84,0.188,1.77,8.95,3541.14,5.09,3.42,2.08,6.14,4.97,6.06,3.91,55.87,0,0,13.5,0.438,37.8,0,1,0,1.2,24,131,3.2,2.8,3.91,19.56
FIRM_041,Sugar&Confectionery_FIRM_041,Sugar & Confectionery,Apapa,2003,21,SME,181,1206874.81,Public Listed,1,Joint Venture,India,60.39,3,2.6,4.09,4.56,3.17,0.846,135.7,1,0.0877,4,0.68,1.45,11.61,15.36,8041507.56,22.79,0.233,3.81,7.07,44428.22,2.62,3.05,1.09,5.19,4.51,4.09,3.03,43.28,0,0,20.1,0.163,9.4,0,1,0,1.2,24,131,3.2,2.8,3.03,13.81
FIRM_042,Seasoning&Condiments_FIRM_042,Seasoning & Condiments,Lagos Island,2001,23,SME,151,632362.69,Foreign-Owned,1,Joint Venture,USA,40.61,5,4.54,3.29,3.2,4.69,0.346,189.1,0,0.0194,3,2.22,1.46,15.83,12.21,5709080.26,20.49,0.0,2.74,10.0,37808.48,6.51,4.16,2.66,4.56,2.79,5.18,4.12,58.9,1,0,11.6,0.518,57.5,0,0,0,1.2,24,131,3.2,2.8,4.12,13.18
FIRM_043,BakeryProducts_FIRM_043,Bakery Products,Ikorodu,1993,31,SME,63,1602952.07,Joint Venture,1,Joint Venture,South Africa,61.53,6,3.49,4.37,3.14,4.11,0.485,106.2,1,0.0096,4,3.4,1.14,15.92,4.17,6285239.24,24.04,0.292,1.16,6.85,99765.7,5.78,3.5,5.44,5.28,3.06,3.26,3.96,56.59,0,1,16.2,0.327,59.8,0,1,0,1.2,24,131,3.2,2.8,3.96,12.44
FIRM_044,FishProcessing_FIRM_044,Fish Processing,Epe,1986,38,SME,61,3295832.18,Local,1,Greenfield,South Africa,21.11,4,3.62,4.76,2.96,4.13,0.487,43.6,1,0.1157,2,0.9,1.1,4.65,13.56,9599127.51,20.02,0.455,1.03,5.71,157362.75,4.74,5.31,3.02,4.58,4.56,2.43,3.91,55.9,0,0,10.4,0.567,9.4,0,1,0,1.2,24,131,3.2,2.8,3.91,11.58
FIRM_045,MeatProcessing_FIRM_045,Meat Processing,Ikorodu,1995,29,SME,236,1910647.01,Local,1,M&A,Netherlands,76.73,13,4.08,3.98,3.93,3.8,0.327,158.4,0,0.0595,3,1.85,0.64,14.9,15.92,12387784.42,18.1,0.159,0.29,7.89,52490.61,5.8,3.63,3.34,5.11,2.79,3.08,3.59,51.25,0,0,23.1,0.038,47.5,0,1,0,1.2,24,131,3.2,2.8,3.59,14.09
FIRM_046,MeatProcessing_FIRM_046,Meat Processing,Epe,2014,10,SME,105,390128.52,Joint Venture,1,M&A,UK,16.98,10,2.44,3.99,3.87,3.38,0.198,192.4,1,0.1075,2,2.9,0.8,10.62,11.85,8003476.57,20.09,0.29,3.77,8.62,76223.59,3.73,2.63,1.63,2.74,6.17,2.68,3.68,52.6,0,0,9.9,0.586,13.5,0,1,1,1.2,24,131,3.2,2.8,3.68,14.26
FIRM_047,DairyProducts_FIRM_047,Dairy Products,Lagos Island,1985,39,SME,41,1618766.26,Local,0,None,None,0.0,0,2.9,3.34,2.63,3.96,0.739,148.4,0,0.0787,3,1.46,1.91,14.25,2.95,8643922.81,10.28,0.098,0.55,5.89,210827.39,4.9,3.21,1.79,6.87,2.86,4.79,3.11,44.45,1,0,9.5,0.604,35.5,0,1,1,1.2,24,131,3.2,2.8,0.0,8.17
FIRM_048,Fruits&VegetablesProcessing_FIRM_048,Fruits & Vegetables Processing,Epe,2023,1,SME,195,96191.52,Local,0,None,None,0.0,0,3.86,3.02,3.23,3.15,0.61,69.1,0,0.0978,3,1.06,0.95,11.42,10.64,203600.55,1.35,0.268,3.83,4.59,1044.11,3.61,2.65,1.97,2.59,4.27,4.41,3.72,53.14,0,0,14.6,0.392,42.3,1,1,0,1.2,24,131,3.2,2.8,0.0,12.01
FIRM_049,GrainMilling_FIRM_049,Grain Milling,Lagos Island,2007,17,SME,66,1968984.29,Joint Venture,0,None,None,0.0,0,4.33,3.05,2.89,2.59,0.543,116.5,0,0.0812,2,2.31,0.16,17.28,3.38,1765454.33,14.34,0.21,4.91,7.8,26749.31,3.56,1.0,3.75,5.53,2.75,3.23,2.79,39.91,1,0,20.3,0.156,44.5,0,1,0,1.2,24,131,3.2,2.8,0.0,8.07
FIRM_050,Fruits&VegetablesProcessing_FIRM_050,Fruits & Vegetables Processing,Apapa,1997,27,SME,157,3938975.51,Public Listed,0,None,None,0.0,0,2.21,3.35,1.84,3.43,0.561,142.6,0,0.0939,3,1.28,1.13,20.13,11.06,5116275.7,24.06,0.0,2.47,6.46,32587.74,6.36,3.16,2.3,5.66,2.2,4.36,3.45,49.33,0,0,23.3,0.029,6.0,1,1,1,1.2,24,131,3.2,2.8,0.0,6.34
FIRM_051,AnimalFeeds_FIRM_051,Animal Feeds,Apapa,2010,14,SME,172,1414281.08,Family Business,1,M&A,South Africa,33.12,6,4.5,3.78,3.2,3.61,0.747,18.8,0,0.0674,5,2.1,1.09,19.58,11.19,487544.15,-0.55,0.287,2.84,8.29,2834.56,3.51,4.91,1.32,5.45,1.74,4.56,3.1,44.25,0,0,9.8,0.591,10.8,0,1,0,1.2,24,131,3.2,2.8,3.1,9.91
FIRM_052,OtherFoodProducts_FIRM_052,Other Food Products,Lagos Island,1990,34,SME,42,2640785.01,Joint Venture,1,Joint Venture,France,56.12,7,3.78,4.09,4.97,3.85,0.489,41.5,0,0.102,2,0.79,2.17,12.24,19.24,4405059.8,5.67,0.211,3.96,7.9,104882.38,1.43,3.75,3.39,6.38,4.53,4.97,3.28,46.89,1,0,18.6,0.227,11.4,0,0,0,1.2,24,131,3.2,2.8,3.28,16.31
FIRM_053,Seasoning&Condiments_FIRM_053,Seasoning & Condiments,Badagry,2022,2,SME,37,3871461.76,Foreign-Owned,1,M&A,Netherlands,49.43,2,3.34,3.14,3.34,4.62,0.466,85.5,1,0.0529,3,1.11,1.36,20.51,9.66,8352918.86,12.5,0.428,2.04,8.97,225754.56,5.31,4.48,1.93,4.33,4.84,3.6,3.97,56.73,0,0,18.5,0.23,10.8,0,1,1,1.2,24,131,3.2,2.8,3.97,13.25
FIRM_054,DairyProducts_FIRM_054,Dairy Products,Apapa,2013,11,SME,41,632337.74,Joint Venture,1,Joint Venture,Netherlands,92.21,11,3.56,3.37,4.0,3.79,0.264,12.4,1,0.0633,1,2.97,0.6,20.35,13.11,4809977.62,17.57,0.239,1.55,8.38,117316.53,2.76,2.62,3.4,5.24,1.39,4.19,2.86,40.79,1,0,19.5,0.187,26.4,0,1,1,1.2,24,131,3.2,2.8,2.86,11.42
FIRM_055,DairyProducts_FIRM_055,Dairy Products,Ikeja,2002,22,SME,84,3273180.55,Foreign-Owned,0,None,None,0.0,0,3.26,3.39,2.46,3.18,0.37,10.7,0,0.0201,4,1.18,2.11,15.92,3.46,7571002.79,13.89,0.0,1.14,6.61,90130.99,4.43,4.29,3.93,5.86,4.94,4.49,4.04,57.69,0,0,9.8,0.593,27.9,0,0,0,1.2,24,131,3.2,2.8,0.0,9.93
FIRM_056,BakeryProducts_FIRM_056,Bakery Products,Apapa,2010,14,SME,44,2093167.59,Public Listed,1,Joint Venture,South Africa,11.53,8,3.66,4.07,3.83,4.33,0.355,183.0,0,0.0966,4,3.45,1.59,13.61,20.4,7663583.91,9.8,0.391,3.21,5.91,174172.36,1.99,4.54,4.32,4.04,2.65,4.18,3.61,51.52,0,0,13.3,0.446,21.7,0,1,0,1.2,24,131,3.2,2.8,3.61,13.82
