country,year,quarter,date,cyber_incidents_total,phishing_attacks,malware_incidents,data_breaches,mobile_fraud_search_trend,sentiment_score,trust_index,social_media_mentions,complaint_rate_per_10k,hhi_index,new_licenses_issued_annual,total_active_licenses,top3_market_share_pct,new_entrants_quarter,financial_inclusion_rate,transaction_volume_millions,regulatory_risk_score,tech_adoption_index
Cameroon,2023,3,2023-Q3,26,11,5,4,100,0.488,74,1864,28,0.115,0,60,12.08,6,76,103,36,65
Cameroon,2023,4,2023-Q4,38,15,7,5,100,0.399,69,3480,31,0.13,42,64,13.91,0,71,97,42,77
Cameroon,2024,1,2024-Q1,24,10,5,3,100,0.388,69,3669,30,0.1,0,63,9.18,6,75,98,26,67
Cameroon,2024,2,2024-Q2,29,13,10,4,100,0.523,76,4488,25,0.124,0,65,11.57,9,77,140,34,82
Cameroon,2024,3,2024-Q3,32,12,6,3,100,0.502,75,4329,21,0.108,0,66,10.38,13,79,101,28,74
Ethiopia,2018,1,2018-Q1,31,10,11,3,100,-0.028,48,957,50,0.367,0,14,37.06,1,42,59,45,52
Ethiopia,2018,2,2018-Q2,19,9,5,2,80,-0.081,45,841,58,0.354,0,18,32.29,7,43,73,57,43
Ethiopia,2018,3,2018-Q3,16,6,6,2,92,0.116,55,2041,43,0.363,0,18,39.7,6,43,71,21,54
Ethiopia,2018,4,2018-Q4,19,5,6,2,82,-0.004,49,2293,59,0.334,16,20,32.63,2,49,77,57,55
Ethiopia,2019,1,2019-Q1,18,5,6,2,83,0.11,55,2170,47,0.332,0,23,31.99,2,47,66,24,52
Ethiopia,2019,2,2019-Q2,23,7,7,4,88,0.182,59,1431,47,0.344,0,26,32.0,1,43,80,47,45
Ethiopia,2019,3,2019-Q3,17,6,6,3,77,0.002,50,2103,56,0.326,0,26,30.52,0,45,53,59,54
Ethiopia,2019,4,2019-Q4,24,8,4,2,92,0.147,57,946,48,0.305,24,28,29.86,5,50,55,28,51
Ethiopia,2020,1,2020-Q1,29,9,9,3,100,-0.024,48,1071,60,0.294,0,34,31.52,4,55,76,51,56
Ethiopia,2020,2,2020-Q2,27,13,8,4,100,0.109,55,2256,36,0.264,0,37,28.38,5,50,93,58,48
Ethiopia,2020,3,2020-Q3,29,9,8,5,100,0.151,57,1393,36,0.265,0,38,28.64,7,54,93,22,57
Ethiopia,2020,4,2020-Q4,27,11,7,3,100,-0.071,46,1829,62,0.291,30,36,28.08,1,57,90,26,61
Ethiopia,2021,1,2021-Q1,63,27,21,12,100,-0.251,37,2120,51,0.238,0,45,25.48,1,54,72,53,52
Ethiopia,2021,2,2021-Q2,31,11,7,5,100,0.213,60,833,43,0.218,0,44,23.15,3,60,103,27,63
Ethiopia,2021,3,2021-Q3,27,8,10,3,100,0.116,55,2941,39,0.218,0,45,20.29,10,56,102,43,59
Ethiopia,2021,4,2021-Q4,55,19,18,9,100,-0.117,44,3411,61,0.219,31,51,21.12,5,66,108,51,68
Ethiopia,2022,1,2022-Q1,44,16,12,5,100,-0.193,40,2442,71,0.219,0,53,22.36,5,66,116,38,69
Ethiopia,2022,2,2022-Q2,32,15,10,4,100,0.152,57,2306,47,0.23,0,51,21.62,3,61,114,50,69
Ethiopia,2022,3,2022-Q3,34,10,9,6,100,-0.001,49,2775,53,0.183,0,53,18.44,11,69,83,33,64
Ethiopia,2022,4,2022-Q4,42,14,15,8,100,0.081,54,2362,37,0.165,36,57,17.76,1,72,98,51,74
Ethiopia,2023,1,2023-Q1,68,27,13,10,100,0.048,52,3387,39,0.156,0,58,15.24,6,70,91,43,63
Ethiopia,2023,2,2023-Q2,40,18,13,5,100,-0.033,48,3721,48,0.187,0,62,17.49,2,70,93,28,63
Ethiopia,2023,3,2023-Q3,42,13,11,6,100,0.205,60,2027,36,0.173,0,70,17.4,4,77,99,20,69
Ethiopia,2023,4,2023-Q4,28,8,10,5,100,0.045,52,3942,40,0.163,44,60,17.17,8,75,91,27,69
Ethiopia,2024,1,2024-Q1,43,15,9,4,100,0.235,61,2946,32,0.14,0,65,15.23,11,79,132,25,70
Ethiopia,2024,2,2024-Q2,39,11,14,4,100,0.064,53,1415,44,0.14,0,73,14.49,18,76,129,32,70
Ethiopia,2024,3,2024-Q3,46,22,16,7,100,-0.021,48,3918,55,0.1,0,75,10.53,4,78,168,25,82
Ghana,2018,1,2018-Q1,20,8,6,2,65,0.001,50,1316,55,0.279,0,11,25.37,4,38,53,49,42
Ghana,2018,2,2018-Q2,36,14,12,4,100,-0.352,32,1537,76,0.28,0,12,26.21,1,37,75,61,38
Ghana,2018,3,2018-Q3,25,9,6,3,95,-0.037,48,1331,42,0.268,0,15,24.34,6,44,54,52,46
Ghana,2018,4,2018-Q4,22,8,5,3,91,-0.169,41,1950,52,0.224,13,15,24.59,3,41,52,24,45
Ghana,2019,1,2019-Q1,23,7,6,3,97,-0.059,47,2240,55,0.235,0,18,21.41,1,47,65,41,53
Ghana,2019,2,2019-Q2,17,7,4,1,100,-0.204,39,1834,56,0.256,0,17,25.32,1,46,76,24,45
Ghana,2019,3,2019-Q3,23,11,4,2,88,-0.118,44,2431,47,0.235,0,19,24.05,0,50,97,28,46
Ghana,2019,4,2019-Q4,45,20,17,8,100,-0.292,35,1788,59,0.197,15,23,20.46,4,47,63,30,61
Ghana,2020,1,2020-Q1,23,8,7,3,100,0.026,51,972,56,0.173,0,25,17.2,2,51,76,42,48
Ghana,2020,2,2020-Q2,21,8,4,3,100,-0.102,44,2003,60,0.167,0,27,17.75,5,53,80,27,62
Ghana,2020,3,2020-Q3,38,13,8,4,100,0.022,51,1367,51,0.186,0,28,18.9,7,55,68,44,63
Ghana,2020,4,2020-Q4,38,17,8,7,85,-0.032,48,1390,45,0.173,21,26,18.66,1,56,87,32,54
Ghana,2021,1,2021-Q1,30,13,6,4,100,-0.122,43,1616,48,0.18,0,33,17.49,0,56,106,41,53
Ghana,2021,2,2021-Q2,25,8,5,4,100,0.0,50,1859,59,0.173,0,35,18.06,8,56,82,59,60
Ghana,2021,3,2021-Q3,33,12,9,4,100,-0.082,45,974,49,0.145,0,35,13.84,8,56,74,25,58
Ghana,2021,4,2021-Q4,32,9,9,4,96,-0.169,41,1889,57,0.132,26,36,13.47,1,58,68,36,70
Ghana,2022,1,2022-Q1,33,13,9,3,100,-0.241,37,2826,69,0.12,0,40,11.13,0,68,92,37,66
Ghana,2022,2,2022-Q2,39,15,11,6,100,-0.109,44,971,51,0.1,0,37,10.8,3,69,126,44,61
Ghana,2022,3,2022-Q3,48,16,10,7,100,-0.092,45,3005,60,0.1,0,38,10.15,3,69,88,38,65
Ghana,2022,4,2022-Q4,32,13,9,5,100,-0.029,48,3039,51,0.1,30,42,9.75,3,73,98,41,68
Ghana,2023,1,2023-Q1,48,22,12,7,100,0.042,52,1837,44,0.105,0,46,10.96,12,71,114,38,69
Ghana,2023,2,2023-Q2,46,19,14,8,100,-0.125,43,2086,62,0.1,0,49,9.16,12,75,141,51,65
Ghana,2023,3,2023-Q3,36,12,7,6,100,-0.169,41,1209,67,0.1,0,43,9.66,10,72,134,26,78
Ghana,2023,4,2023-Q4,34,16,10,5,100,-0.012,49,2001,46,0.1,33,50,9.46,10,76,134,21,79
Ghana,2024,1,2024-Q1,52,15,19,9,100,-0.181,40,3571,67,0.1,0,48,10.21,0,80,113,39,76
Ghana,2024,2,2024-Q2,55,22,14,9,100,-0.136,43,3592,60,0.1,0,50,9.59,4,79,115,45,77
Ghana,2024,3,2024-Q3,44,16,9,8,100,-0.09,45,4378,43,0.1,0,51,9.66,11,79,138,31,73
Ivory Coast,2018,1,2018-Q1,20,7,5,2,62,-0.342,32,1580,55,0.411,0,6,39.95,1,40,50,50,46
Ivory Coast,2018,2,2018-Q2,27,12,5,3,71,-0.276,36,1701,71,0.407,0,7,39.1,3,45,85,57,48
Ivory Coast,2018,3,2018-Q3,16,5,3,2,82,-0.221,38,1453,50,0.359,0,8,33.84,3,47,76,26,42
Ivory Coast,2018,4,2018-Q4,20,8,6,2,56,-0.112,44,2282,56,0.375,5,8,35.65,1,41,62,59,46
Ivory Coast,2019,1,2019-Q1,21,6,5,3,71,-0.237,38,1786,66,0.336,0,10,36.64,2,42,61,53,53
Ivory Coast,2019,2,2019-Q2,22,9,5,3,84,-0.2,39,2077,59,0.323,0,9,30.88,5,50,97,28,54
Ivory Coast,2019,3,2019-Q3,31,14,10,5,97,-0.158,42,2149,51,0.309,0,12,31.11,2,50,58,36,58
Ivory Coast,2019,4,2019-Q4,34,13,7,4,67,-0.326,33,1158,78,0.355,10,12,32.98,6,47,72,45,59
Ivory Coast,2020,1,2020-Q1,33,10,11,4,100,-0.248,37,1191,66,0.318,0,12,34.41,0,55,57,48,48
Ivory Coast,2020,2,2020-Q2,32,14,10,5,94,-0.213,39,1548,62,0.33,0,13,36.16,4,50,86,54,53
Ivory Coast,2020,3,2020-Q3,38,18,10,4,78,-0.169,41,1381,50,0.276,0,15,28.48,3,54,77,25,59
Ivory Coast,2020,4,2020-Q4,34,12,8,3,96,-0.144,42,1088,57,0.31,10,14,33.61,0,56,75,60,60
Ivory Coast,2021,1,2021-Q1,38,18,9,6,100,-0.178,41,1956,52,0.271,0,17,28.56,3,59,92,27,62
Ivory Coast,2021,2,2021-Q2,36,13,8,3,97,-0.161,41,3075,62,0.286,0,16,30.91,3,60,128,42,64
Ivory Coast,2021,3,2021-Q3,92,27,35,15,100,-0.376,31,3080,74,0.252,0,18,26.58,6,59,115,60,67
Ivory Coast,2021,4,2021-Q4,35,15,13,3,92,-0.134,43,2302,51,0.217,14,17,21.78,3,62,83,28,67
Ivory Coast,2022,1,2022-Q1,28,11,7,4,100,-0.142,42,2552,68,0.23,0,20,23.3,1,60,107,40,72
Ivory Coast,2022,2,2022-Q2,45,14,16,5,100,-0.241,37,3098,73,0.203,0,22,21.47,1,66,130,23,63
Ivory Coast,2022,3,2022-Q3,47,18,15,5,100,-0.229,38,2006,64,0.23,0,21,23.71,0,64,140,23,70
Ivory Coast,2022,4,2022-Q4,40,18,15,6,91,-0.247,37,3268,62,0.218,16,23,21.23,3,70,130,24,64
Ivory Coast,2023,1,2023-Q1,46,15,9,7,100,-0.028,48,2648,56,0.2,0,23,21.27,8,67,147,38,67
Ivory Coast,2023,2,2023-Q2,65,26,17,7,100,-0.427,28,2679,79,0.171,0,24,17.09,6,68,117,55,73
Ivory Coast,2023,3,2023-Q3,53,18,14,9,100,-0.234,38,3258,69,0.171,0,25,17.81,10,70,105,37,75
Ivory Coast,2023,4,2023-Q4,46,16,11,7,100,-0.243,37,3481,72,0.148,18,25,14.03,10,72,92,55,77
Ivory Coast,2024,1,2024-Q1,53,16,20,7,100,-0.294,35,3928,76,0.177,0,26,19.15,6,79,132,32,68
Ivory Coast,2024,2,2024-Q2,47,21,10,7,100,-0.167,41,4296,47,0.137,0,30,13.61,9,73,143,33,67
Ivory Coast,2024,3,2024-Q3,44,16,16,5,100,-0.213,39,2079,71,0.127,0,28,12.5,2,81,121,37,75
Kenya,2018,1,2018-Q1,48,21,17,8,66,0.087,54,763,42,0.184,0,16,18.09,0,47,88,43,43
Kenya,2018,2,2018-Q2,39,14,13,5,59,0.024,51,1891,41,0.166,0,16,16.82,1,41,108,25,48
Kenya,2018,3,2018-Q3,62,28,17,10,100,-0.214,39,1027,49,0.151,0,18,15.56,4,50,103,52,57
Kenya,2018,4,2018-Q4,31,10,10,4,57,0.044,52,2672,52,0.119,19,22,10.96,3,52,114,24,43
Kenya,2019,1,2019-Q1,51,19,17,5,90,0.188,59,2593,34,0.145,0,24,13.4,1,55,121,32,51
Kenya,2019,2,2019-Q2,48,22,17,5,82,0.271,63,2725,41,0.131,0,27,14.33,8,50,140,39,53
Kenya,2019,3,2019-Q3,57,26,20,6,75,0.249,62,1688,37,0.115,0,25,12.34,3,50,92,49,52
Kenya,2019,4,2019-Q4,59,17,22,6,70,0.203,60,2496,43,0.11,24,30,11.66,5,51,87,45,52
Kenya,2020,1,2020-Q1,53,20,18,7,90,0.2,59,1903,36,0.1,0,30,10.07,2,59,97,27,56
Kenya,2020,2,2020-Q2,72,25,15,8,100,0.059,52,1672,37,0.1,0,38,10.11,1,60,106,54,58
Kenya,2020,3,2020-Q3,61,23,14,6,94,0.275,63,2737,40,0.1,0,38,9.11,6,56,134,30,67
Kenya,2020,4,2020-Q4,70,32,17,10,93,0.13,56,2706,49,0.1,27,40,10.22,6,63,153,27,56
Kenya,2021,1,2021-Q1,49,15,9,7,89,0.175,58,2248,36,0.1,0,41,10.37,1,67,162,43,64
Kenya,2021,2,2021-Q2,61,26,23,11,100,0.02,51,1853,45,0.1,0,42,9.25,3,66,175,57,63
Kenya,2021,3,2021-Q3,49,18,12,6,88,0.028,51,4954,55,0.1,0,51,10.34,5,63,105,49,63
Kenya,2021,4,2021-Q4,85,35,27,12,87,0.03,51,2682,45,0.1,35,47,10.39,8,65,172,52,66
Kenya,2022,1,2022-Q1,62,30,17,9,100,0.301,65,4013,35,0.1,0,49,10.51,9,70,179,26,67
Kenya,2022,2,2022-Q2,69,22,27,11,100,0.079,53,2046,47,0.1,0,58,10.83,5,70,134,52,67
Kenya,2022,3,2022-Q3,74,34,29,9,100,0.174,58,3064,48,0.1,0,59,9.55,3,74,155,55,69
Kenya,2022,4,2022-Q4,66,27,26,9,100,0.055,52,3825,44,0.1,38,57,9.64,5,70,169,42,66
Kenya,2023,1,2023-Q1,56,24,20,7,100,0.212,60,5193,46,0.1,0,60,10.18,6,78,211,36,71
Kenya,2023,2,2023-Q2,90,38,20,13,100,0.306,65,3099,37,0.1,0,66,10.72,2,75,172,45,76
Kenya,2023,3,2023-Q3,59,25,22,11,100,0.241,62,3625,31,0.1,0,63,10.39,12,82,131,49,70
Kenya,2023,4,2023-Q4,66,27,23,7,100,0.042,52,5825,50,0.1,45,61,9.92,2,77,142,20,79
Kenya,2024,1,2024-Q1,94,36,25,14,100,0.212,60,3750,35,0.1,0,67,9.97,11,78,198,41,84
Kenya,2024,2,2024-Q2,112,39,35,18,100,0.246,62,1935,39,0.1,0,68,10.6,9,83,194,43,79
Kenya,2024,3,2024-Q3,101,47,32,19,100,0.219,60,3323,38,0.1,0,67,9.59,6,86,159,24,79
Mozambique,2018,1,2018-Q1,50,21,18,7,95,-0.364,31,1306,58,0.323,0,1,30.57,5,39,60,39,48
Mozambique,2018,2,2018-Q2,30,10,7,4,59,-0.197,40,1928,49,0.346,0,2,32.65,0,42,53,36,45
Mozambique,2018,3,2018-Q3,35,12,7,5,60,-0.171,41,733,57,0.326,0,2,31.28,2,39,74,60,53
Mozambique,2018,4,2018-Q4,41,15,12,7,56,-0.188,40,1391,58,0.292,2,3,27.72,3,43,49,59,55
Mozambique,2019,1,2019-Q1,52,16,20,9,70,-0.1,45,1366,52,0.33,0,2,32.93,2,41,79,48,48
Mozambique,2019,2,2019-Q2,40,19,8,6,75,-0.2,39,1486,61,0.306,0,3,28.39,2,49,63,57,53
Mozambique,2019,3,2019-Q3,31,11,10,4,83,-0.158,42,2118,62,0.298,0,3,30.88,1,50,67,59,52
Mozambique,2019,4,2019-Q4,43,16,12,4,60,-0.135,43,1987,61,0.285,4,3,27.53,1,50,76,50,57
Mozambique,2020,1,2020-Q1,54,24,14,10,94,-0.092,45,1588,44,0.263,0,4,28.08,4,51,82,53,60
Mozambique,2020,2,2020-Q2,46,20,18,8,100,-0.184,40,2647,49,0.254,0,5,23.3,1,50,70,26,50
Mozambique,2020,3,2020-Q3,66,25,22,12,74,-0.097,45,1695,60,0.222,0,4,23.58,3,58,87,34,58
Mozambique,2020,4,2020-Q4,63,27,19,9,84,-0.1,45,2093,63,0.229,5,5,22.36,0,54,97,26,54
Mozambique,2021,1,2021-Q1,59,24,13,6,84,-0.023,48,2971,57,0.211,0,6,21.39,1,57,84,28,62
Mozambique,2021,2,2021-Q2,74,28,29,11,95,-0.196,40,886,70,0.237,0,6,22.08,11,64,107,41,62
Mozambique,2021,3,2021-Q3,73,32,29,12,100,0.009,50,2707,57,0.201,0,6,18.28,10,62,74,20,63
Mozambique,2021,4,2021-Q4,56,23,13,8,89,0.005,50,2888,43,0.176,6,6,19.22,1,67,84,39,64
Mozambique,2022,1,2022-Q1,46,17,15,6,100,-0.111,44,932,52,0.18,0,6,16.93,1,67,118,37,63
Mozambique,2022,2,2022-Q2,73,32,20,13,100,-0.046,47,1323,48,0.21,0,6,22.86,7,66,108,20,67
Mozambique,2022,3,2022-Q3,53,21,20,6,100,0.027,51,1774,48,0.19,0,7,19.02,9,69,90,51,61
Mozambique,2022,4,2022-Q4,74,24,24,9,100,-0.167,41,3627,61,0.133,6,7,14.52,9,69,92,40,66
Mozambique,2023,1,2023-Q1,77,35,21,13,100,-0.214,39,1778,62,0.13,0,8,12.61,0,65,105,47,76
Mozambique,2023,2,2023-Q2,128,43,41,22,100,-0.387,30,2017,64,0.162,0,7,16.81,10,70,132,36,64
Mozambique,2023,3,2023-Q3,63,24,24,7,100,-0.15,42,2635,65,0.149,0,8,16.22,6,76,136,49,76
Mozambique,2023,4,2023-Q4,94,30,19,12,99,-0.006,49,1523,49,0.15,6,9,14.04,15,72,127,24,66
Mozambique,2024,1,2024-Q1,85,29,33,12,100,0.018,50,1468,39,0.11,0,8,9.98,6,77,133,38,80
Mozambique,2024,2,2024-Q2,92,29,29,14,100,-0.148,42,1223,49,0.116,0,9,11.24,6,81,166,45,75
Mozambique,2024,3,2024-Q3,212,93,83,24,100,-0.456,27,3652,85,0.116,0,9,12.09,6,75,146,26,81
Nigeria,2018,1,2018-Q1,51,20,16,5,40,-0.352,32,1273,70,0.236,0,5,23.24,4,44,74,58,51
Nigeria,2018,2,2018-Q2,67,22,23,7,38,-0.264,36,1635,59,0.208,0,5,19.27,1,50,74,33,50
Nigeria,2018,3,2018-Q3,68,21,22,12,35,-0.08,45,2941,61,0.205,0,6,19.15,3,46,104,48,52
Nigeria,2018,4,2018-Q4,163,63,41,31,70,-0.546,22,1701,85,0.176,8,7,17.24,3,45,111,47,54
Nigeria,2019,1,2019-Q1,80,34,18,9,51,-0.148,42,2355,63,0.188,0,7,20.69,2,47,103,51,58
Nigeria,2019,2,2019-Q2,67,28,18,10,54,-0.23,38,1644,62,0.209,0,8,22.51,3,55,137,35,50
Nigeria,2019,3,2019-Q3,61,27,24,10,52,-0.216,39,1286,63,0.193,0,8,18.81,2,50,143,59,61
Nigeria,2019,4,2019-Q4,90,33,35,16,37,-0.294,35,1744,66,0.137,9,10,15.04,4,55,80,49,63
Nigeria,2020,1,2020-Q1,96,47,37,16,54,-0.157,42,3295,55,0.163,0,11,16.12,0,54,88,21,57
Nigeria,2020,2,2020-Q2,68,21,14,7,63,-0.263,36,2764,57,0.142,0,12,15.25,2,59,116,40,56
Nigeria,2020,3,2020-Q3,193,91,40,31,100,-0.571,21,3582,87,0.109,0,12,10.12,6,56,126,61,52
Nigeria,2020,4,2020-Q4,126,54,38,12,43,-0.33,33,3790,59,0.117,9,14,12.63,3,58,83,37,67
Nigeria,2021,1,2021-Q1,94,41,33,15,63,-0.21,39,1883,53,0.1,0,12,9.63,1,58,136,59,62
Nigeria,2021,2,2021-Q2,257,80,95,36,100,-0.471,26,3386,60,0.1,0,14,9.63,4,62,172,35,59
Nigeria,2021,3,2021-Q3,124,60,48,12,61,-0.166,41,3428,48,0.1,0,14,9.7,6,61,123,32,63
Nigeria,2021,4,2021-Q4,104,47,31,17,69,-0.184,40,4981,49,0.105,10,17,11.03,7,64,117,29,62
Nigeria,2022,1,2022-Q1,147,51,56,15,66,-0.158,42,4708,47,0.1,0,18,9.32,1,68,174,43,60
Nigeria,2022,2,2022-Q2,139,42,38,21,64,-0.217,39,1561,57,0.1,0,16,9.72,3,72,193,35,68
Nigeria,2022,3,2022-Q3,164,79,40,19,77,-0.104,44,2181,53,0.1,0,19,9.82,5,73,187,30,63
Nigeria,2022,4,2022-Q4,122,48,29,23,52,-0.237,38,5062,71,0.1,13,18,9.56,3,69,176,35,70
Nigeria,2023,1,2023-Q1,162,49,60,20,69,-0.166,41,5925,47,0.1,0,21,9.87,6,79,132,57,66
Nigeria,2023,2,2023-Q2,255,111,98,44,100,-0.348,32,5914,78,0.1,0,19,10.8,8,76,214,35,75
Nigeria,2023,3,2023-Q3,115,43,40,13,82,-0.165,41,3493,66,0.1,0,22,10.21,2,76,174,48,74
Nigeria,2023,4,2023-Q4,185,79,47,30,78,-0.148,42,2064,67,0.1,13,23,9.29,6,74,216,45,79
Nigeria,2024,1,2024-Q1,182,80,50,25,83,-0.288,35,5053,74,0.1,0,24,9.44,6,84,212,40,77
Nigeria,2024,2,2024-Q2,117,45,35,18,78,-0.235,38,5510,60,0.1,0,23,10.81,6,81,169,57,76
Nigeria,2024,3,2024-Q3,186,84,55,23,77,-0.196,40,5417,53,0.1,0,22,9.3,11,82,156,29,77
Rwanda,2018,1,2018-Q1,35,10,12,6,49,0.084,54,1735,43,0.323,0,3,30.73,4,43,40,22,51
Rwanda,2018,2,2018-Q2,24,11,6,2,77,0.185,59,789,41,0.324,0,3,33.62,1,38,54,26,42
Rwanda,2018,3,2018-Q3,23,8,5,3,66,0.214,60,650,35,0.273,0,4,27.47,2,44,74,49,55
Rwanda,2018,4,2018-Q4,31,12,11,4,61,0.167,58,885,38,0.268,6,4,24.45,1,49,60,48,56
Rwanda,2019,1,2019-Q1,27,9,9,5,73,0.07,53,2393,41,0.296,0,4,31.59,2,49,55,43,54
Rwanda,2019,2,2019-Q2,46,20,17,7,64,0.224,61,977,46,0.288,0,5,28.74,3,43,66,27,51
