date,country,herfindahl_hirschman_index,market_concentration_level,number_of_active_fintech_companies,new_fintech_licenses_issued,market_entries_quarter,market_exits_quarter,net_market_change,market_leader_share,top_3_market_share,innovation_index,regulatory_clarity_score,market_maturity_score,competitive_intensity
2019-09-30,Ghana,1112.99,Competitive,16,1,1,0,1,20.0,45.73,89.09,91.11,60.0,88.87
2019-09-30,Uganda,4343.43,Highly Concentrated,6,1,1,0,1,59.15,93.7,70.99,93.37,50.0,56.57
2019-09-30,Tanzania,2312.66,Moderately Concentrated,7,0,2,0,2,35.32,74.3,53.18,78.71,50.0,76.87
2019-09-30,Rwanda,2742.17,Highly Concentrated,8,0,0,0,0,43.2,79.96,70.42,80.05,60.0,72.58
2019-09-30,Zambia,2275.9,Moderately Concentrated,6,0,1,0,1,29.56,76.98,53.47,83.66,40.0,77.24
2019-09-30,Botswana,2305.02,Moderately Concentrated,6,2,0,0,0,33.29,76.12,85.43,100.0,60.0,76.95
2019-09-30,Ethiopia,4977.11,Highly Concentrated,5,1,3,1,2,65.83,99.23,51.18,100.0,40.0,50.23
2019-09-30,Senegal,4529.01,Highly Concentrated,5,1,0,0,0,62.1,93.09,99.03,92.19,40.0,54.71
2019-09-30,Ivory Coast,2516.05,Highly Concentrated,6,0,3,0,3,33.93,79.36,54.17,88.04,40.0,74.84
2019-09-30,Mali,4852.88,Highly Concentrated,4,0,0,0,0,65.92,93.15,63.97,76.75,30.0,51.47
2019-09-30,Burkina Faso,3572.03,Highly Concentrated,5,0,0,1,-1,42.64,96.58,63.56,51.23,30.0,64.28
2019-09-30,Cameroon,3145.51,Highly Concentrated,5,0,2,0,2,45.1,87.28,67.83,100.0,40.0,68.54
2019-12-31,Nigeria,941.03,Competitive,16,1,0,0,0,15.71,40.14,94.1,100.0,70.0,90.59
2019-12-31,Kenya,1502.12,Moderately Concentrated,17,0,0,0,0,23.27,61.01,49.48,67.47,90.0,84.98
2019-12-31,South Africa,1507.33,Moderately Concentrated,16,1,0,0,0,25.69,59.31,58.67,100.0,80.0,84.93
2019-12-31,Ghana,1211.72,Competitive,17,0,1,0,1,23.03,48.62,60.19,70.96,60.0,87.88
2019-12-31,Uganda,1689.12,Moderately Concentrated,8,1,2,0,2,24.83,61.13,84.73,55.16,50.0,83.11
2019-12-31,Tanzania,2231.65,Moderately Concentrated,7,0,0,0,0,34.87,74.51,61.92,100.0,50.0,77.68
2019-12-31,Rwanda,2601.52,Highly Concentrated,7,2,1,1,0,39.87,79.71,72.2,71.75,60.0,73.98
2019-12-31,Zambia,2073.24,Moderately Concentrated,7,0,7,0,7,29.06,72.06,60.21,59.88,40.0,79.27
2019-12-31,Botswana,2261.21,Moderately Concentrated,6,1,1,2,-1,35.61,72.72,76.28,100.0,60.0,77.39
2019-12-31,Ethiopia,2433.24,Moderately Concentrated,6,1,0,0,0,38.41,74.33,66.8,79.34,40.0,75.67
2019-12-31,Senegal,2572.4,Highly Concentrated,6,1,0,1,-1,33.71,85.47,57.13,82.43,40.0,74.28
2019-12-31,Ivory Coast,2943.77,Highly Concentrated,5,0,4,0,4,36.21,90.41,63.92,82.41,40.0,70.56
2019-12-31,Mali,4196.55,Highly Concentrated,5,1,1,0,1,61.23,86.72,61.28,100.0,30.0,58.03
2019-12-31,Burkina Faso,2532.43,Highly Concentrated,6,1,1,0,1,35.11,81.21,95.1,90.08,30.0,74.68
2019-12-31,Cameroon,4876.8,Highly Concentrated,5,0,2,2,0,66.78,94.69,64.11,57.25,40.0,51.23
2020-03-31,Nigeria,1479.39,Competitive,16,1,0,0,0,25.44,57.92,97.39,75.58,70.0,85.21
2020-03-31,Kenya,1417.95,Competitive,18,0,1,0,1,23.67,56.05,83.74,69.71,90.0,85.82
2020-03-31,South Africa,1191.5,Competitive,17,0,0,0,0,19.61,51.17,70.03,92.45,80.0,88.08
2020-03-31,Ghana,1673.98,Moderately Concentrated,15,3,1,0,1,25.7,63.28,100.0,79.27,60.0,83.26
2020-03-31,Uganda,1794.7,Moderately Concentrated,7,1,0,0,0,25.99,62.38,85.25,76.26,50.0,82.05
2020-03-31,Tanzania,1995.67,Moderately Concentrated,7,0,2,1,1,25.38,67.52,49.82,89.24,50.0,80.04
2020-03-31,Rwanda,2495.86,Moderately Concentrated,6,1,1,0,1,32.38,79.73,69.47,92.61,60.0,75.04
2020-03-31,Zambia,3095.96,Highly Concentrated,4,0,1,0,1,45.28,87.05,40.85,36.21,40.0,69.04
2020-03-31,Botswana,2505.89,Highly Concentrated,5,1,2,0,2,38.76,75.02,64.36,74.34,60.0,74.94
2020-03-31,Ethiopia,3427.59,Highly Concentrated,5,1,1,1,0,48.54,91.83,70.21,58.04,40.0,65.72
2020-03-31,Senegal,3315.19,Highly Concentrated,5,1,3,2,1,49.19,88.19,60.19,76.1,40.0,66.85
2020-03-31,Ivory Coast,2916.03,Highly Concentrated,4,0,1,0,1,36.52,89.6,70.07,73.06,40.0,70.84
2020-03-31,Mali,3087.53,Highly Concentrated,4,0,1,0,1,34.48,95.62,49.11,48.96,30.0,69.12
2020-03-31,Burkina Faso,2934.56,Highly Concentrated,5,0,0,1,-1,42.37,84.52,78.73,77.81,30.0,70.65
2020-03-31,Cameroon,3639.76,Highly Concentrated,4,0,1,0,1,46.57,97.4,55.51,62.98,40.0,63.6
2020-06-30,Nigeria,1037.89,Competitive,16,0,1,0,1,19.5,44.3,63.97,100.0,70.0,89.62
2020-06-30,Kenya,1543.96,Moderately Concentrated,20,2,0,1,-1,25.22,61.85,74.57,68.34,90.0,84.56
2020-06-30,South Africa,1034.47,Competitive,18,1,0,0,0,14.17,41.73,84.3,80.76,80.0,89.66
2020-06-30,Ghana,1412.36,Competitive,16,1,1,0,1,25.42,58.41,100.0,74.37,60.0,85.88
2020-06-30,Uganda,2751.91,Highly Concentrated,7,0,0,0,0,43.87,78.16,43.69,69.12,50.0,72.48
2020-06-30,Tanzania,3536.33,Highly Concentrated,7,0,0,1,-1,51.64,89.84,94.32,63.39,50.0,64.64
2020-06-30,Rwanda,2475.91,Moderately Concentrated,6,2,0,2,-2,39.78,76.14,73.34,82.32,60.0,75.24
2020-06-30,Zambia,3008.59,Highly Concentrated,7,0,3,1,2,40.78,91.97,87.85,100.0,40.0,69.91
2020-06-30,Botswana,3762.89,Highly Concentrated,4,1,0,0,0,51.16,93.5,77.08,89.04,60.0,62.37
2020-06-30,Ethiopia,3044.66,Highly Concentrated,5,0,2,0,2,45.12,83.54,94.11,92.74,40.0,69.55
2020-06-30,Senegal,2124.92,Moderately Concentrated,6,0,1,0,1,28.46,74.19,57.68,64.24,40.0,78.75
2020-06-30,Ivory Coast,2069.49,Moderately Concentrated,5,0,2,2,0,27.22,64.96,61.73,74.89,40.0,79.31
2020-06-30,Mali,3266.68,Highly Concentrated,5,0,1,0,1,36.04,98.54,56.96,50.27,30.0,67.33
2020-06-30,Burkina Faso,3367.32,Highly Concentrated,6,0,0,0,0,47.89,93.37,53.97,77.67,30.0,66.33
2020-06-30,Cameroon,3767.74,Highly Concentrated,4,0,0,0,0,53.73,92.92,65.44,69.74,40.0,62.32
2020-09-30,Nigeria,1325.81,Competitive,15,1,0,1,-1,26.68,51.26,57.32,80.45,70.0,86.74
2020-09-30,Kenya,1744.91,Moderately Concentrated,18,0,1,0,1,32.53,60.87,100.0,79.32,90.0,82.55
2020-09-30,South Africa,1898.74,Moderately Concentrated,16,1,0,0,0,38.58,56.87,56.02,100.0,80.0,81.01
2020-09-30,Ghana,1032.44,Competitive,17,3,1,0,1,18.82,44.63,71.58,85.14,60.0,89.68
2020-09-30,Uganda,2461.77,Moderately Concentrated,6,2,3,0,3,36.42,77.56,66.17,77.38,50.0,75.38
2020-09-30,Tanzania,2502.99,Highly Concentrated,7,2,2,3,-1,36.16,77.72,46.56,100.0,50.0,74.97
2020-09-30,Rwanda,1956.86,Moderately Concentrated,8,1,3,0,3,30.93,66.82,74.63,97.76,60.0,80.43
2020-09-30,Zambia,5161.67,Highly Concentrated,4,0,1,1,0,66.22,99.42,87.82,39.84,40.0,48.38
2020-09-30,Botswana,4911.89,Highly Concentrated,4,1,0,1,-1,66.51,96.24,72.09,91.44,60.0,50.88
2020-09-30,Ethiopia,3270.08,Highly Concentrated,5,0,0,0,0,39.19,96.04,64.53,87.69,40.0,67.3
2020-09-30,Senegal,4624.47,Highly Concentrated,4,2,0,2,-2,50.64,98.75,70.52,67.01,40.0,53.76
2020-09-30,Ivory Coast,3190.68,Highly Concentrated,4,0,2,0,2,42.38,93.41,54.6,40.73,40.0,68.09
2020-09-30,Mali,3597.56,Highly Concentrated,4,1,2,0,2,45.0,93.01,89.17,55.72,30.0,64.02
2020-09-30,Burkina Faso,2279.42,Moderately Concentrated,6,0,2,0,2,30.6,75.46,37.83,54.82,30.0,77.21
2020-09-30,Cameroon,3440.25,Highly Concentrated,5,2,2,1,1,44.89,97.03,31.4,63.58,40.0,65.6
2020-12-31,Nigeria,971.87,Competitive,18,0,1,1,0,16.73,42.17,75.52,74.6,70.0,90.28
2020-12-31,Kenya,2001.15,Moderately Concentrated,17,0,0,0,0,33.61,66.8,93.8,100.0,90.0,79.99
2020-12-31,South Africa,1327.54,Competitive,16,4,1,1,0,20.6,52.3,83.97,69.16,80.0,86.72
2020-12-31,Ghana,1378.99,Competitive,16,0,1,0,1,20.91,55.83,69.29,65.73,60.0,86.21
2020-12-31,Uganda,3321.21,Highly Concentrated,7,0,0,0,0,40.58,96.58,64.04,59.38,50.0,66.79
2020-12-31,Tanzania,2532.45,Highly Concentrated,7,1,0,1,-1,35.24,78.59,49.1,65.94,50.0,74.68
2020-12-31,Rwanda,1804.98,Moderately Concentrated,7,2,0,0,0,22.68,66.7,80.57,100.0,60.0,81.95
2020-12-31,Zambia,3118.73,Highly Concentrated,5,0,0,0,0,42.44,87.92,62.22,72.93,40.0,68.81
2020-12-31,Botswana,4236.14,Highly Concentrated,4,1,1,1,0,47.06,98.67,77.24,100.0,60.0,57.64
2020-12-31,Ethiopia,4371.8,Highly Concentrated,4,0,0,0,0,56.29,98.92,62.03,58.46,40.0,56.28
2020-12-31,Senegal,4680.81,Highly Concentrated,4,2,1,0,1,65.16,92.88,46.43,63.07,40.0,53.19
2020-12-31,Ivory Coast,2929.12,Highly Concentrated,4,0,0,0,0,34.91,92.39,78.54,79.18,40.0,70.71
2020-12-31,Mali,2803.05,Highly Concentrated,6,0,0,1,-1,41.22,86.28,63.45,80.48,30.0,71.97
2020-12-31,Burkina Faso,2377.28,Moderately Concentrated,5,1,0,0,0,30.79,75.64,43.22,92.77,30.0,76.23
2020-12-31,Cameroon,1970.23,Moderately Concentrated,6,1,0,1,-1,27.34,66.5,71.14,63.47,40.0,80.3
2021-03-31,Nigeria,1189.64,Competitive,15,1,1,0,1,17.15,50.27,75.06,49.15,70.0,88.1
2021-03-31,Kenya,1452.78,Competitive,18,0,1,0,1,28.8,58.02,72.68,68.94,90.0,85.47
2021-03-31,South Africa,1454.62,Competitive,16,1,0,2,-2,27.04,55.97,52.07,78.83,80.0,85.45
2021-03-31,Ghana,1023.18,Competitive,15,0,0,0,0,17.23,43.07,77.22,69.22,60.0,89.77
2021-03-31,Uganda,2365.24,Moderately Concentrated,8,0,2,0,2,36.57,76.43,69.09,67.28,50.0,76.35
2021-03-31,Tanzania,2081.9,Moderately Concentrated,6,0,1,0,1,29.08,72.77,50.16,54.6,50.0,79.18
2021-03-31,Rwanda,2076.36,Moderately Concentrated,7,2,2,3,-1,29.4,71.41,77.5,100.0,60.0,79.24
2021-03-31,Zambia,2546.8,Highly Concentrated,6,0,2,0,2,39.46,76.96,91.59,100.0,40.0,74.53
2021-03-31,Botswana,3259.88,Highly Concentrated,5,1,0,2,-2,45.18,93.77,84.15,74.93,60.0,67.4
2021-03-31,Ethiopia,2592.42,Highly Concentrated,5,0,2,0,2,36.04,82.82,78.04,100.0,40.0,74.08
2021-03-31,Senegal,3885.01,Highly Concentrated,4,1,0,0,0,53.68,98.38,58.53,80.13,40.0,61.15
2021-03-31,Ivory Coast,2402.17,Moderately Concentrated,6,1,1,1,0,40.03,71.67,52.01,93.72,40.0,75.98
2021-03-31,Mali,3277.88,Highly Concentrated,4,0,0,0,0,40.48,91.21,57.79,81.21,30.0,67.22
2021-03-31,Burkina Faso,3516.85,Highly Concentrated,4,0,0,0,0,50.87,88.68,42.48,26.04,30.0,64.83
2021-03-31,Cameroon,2410.63,Moderately Concentrated,6,0,1,1,0,32.57,79.13,50.7,90.01,40.0,75.89
2021-06-30,Nigeria,1224.42,Competitive,16,0,0,0,0,20.76,53.35,76.63,87.67,70.0,87.76
2021-06-30,Kenya,1886.07,Moderately Concentrated,19,2,0,0,0,28.76,69.45,70.01,100.0,90.0,81.14
2021-06-30,South Africa,1527.99,Moderately Concentrated,16,0,0,0,0,23.85,57.98,51.5,100.0,80.0,84.72
2021-06-30,Ghana,1376.76,Competitive,16,3,2,0,2,29.08,50.34,69.33,100.0,60.0,86.23
2021-06-30,Uganda,2830.78,Highly Concentrated,7,2,0,1,-1,43.65,82.65,69.84,58.14,50.0,71.69
2021-06-30,Tanzania,2905.18,Highly Concentrated,6,1,0,0,0,38.02,86.84,60.73,59.38,50.0,70.95
2021-06-30,Rwanda,2289.91,Moderately Concentrated,8,0,0,0,0,39.34,72.09,50.95,89.91,60.0,77.1
2021-06-30,Zambia,2255.37,Moderately Concentrated,5,1,0,1,-1,32.46,71.78,54.8,77.76,40.0,77.45
2021-06-30,Botswana,2040.99,Moderately Concentrated,6,0,0,1,-1,30.17,69.37,50.36,100.0,60.0,79.59
2021-06-30,Ethiopia,2255.87,Moderately Concentrated,6,1,0,0,0,28.97,74.66,69.16,24.98,40.0,77.44
2021-06-30,Senegal,2024.16,Moderately Concentrated,6,0,0,0,0,26.98,70.83,61.35,83.54,40.0,79.76
2021-06-30,Ivory Coast,3363.97,Highly Concentrated,5,0,2,0,2,50.4,88.59,76.81,86.33,40.0,66.36
2021-06-30,Mali,3167.57,Highly Concentrated,5,0,2,0,2,36.4,96.69,59.66,87.79,30.0,68.32
2021-06-30,Burkina Faso,4596.55,Highly Concentrated,4,0,0,0,0,48.78,98.72,80.67,62.06,30.0,54.03
2021-06-30,Cameroon,2510.88,Highly Concentrated,6,0,2,0,2,36.81,80.33,39.53,100.0,40.0,74.89
2021-09-30,Nigeria,907.92,Competitive,15,2,0,0,0,16.75,37.49,53.91,77.17,70.0,90.92
2021-09-30,Kenya,1707.31,Moderately Concentrated,17,1,0,0,0,30.1,61.77,71.43,97.75,90.0,82.93
2021-09-30,South Africa,1244.92,Competitive,17,0,1,2,-1,22.37,48.21,85.57,100.0,80.0,87.55
2021-09-30,Ghana,1081.41,Competitive,15,1,3,0,3,17.51,46.05,64.65,66.05,60.0,89.19
2021-09-30,Uganda,2227.66,Moderately Concentrated,6,1,1,2,-1,37.16,69.66,23.78,84.08,50.0,77.72
2021-09-30,Tanzania,2430.71,Moderately Concentrated,8,2,0,0,0,38.56,74.82,64.92,69.01,50.0,75.69
2021-09-30,Rwanda,2444.9,Moderately Concentrated,7,0,0,1,-1,39.12,77.13,62.09,86.9,60.0,75.55
2021-09-30,Zambia,4273.47,Highly Concentrated,4,0,0,0,0,59.06,98.3,40.68,94.72,40.0,57.27
2021-09-30,Botswana,3419.64,Highly Concentrated,4,2,1,0,1,39.04,98.46,84.61,100.0,60.0,65.8
2021-09-30,Ethiopia,3767.24,Highly Concentrated,5,0,0,1,-1,54.85,88.59,70.35,40.43,40.0,62.33
2021-09-30,Senegal,3994.47,Highly Concentrated,4,1,1,0,1,53.81,96.38,60.8,100.0,40.0,60.06
2021-09-30,Ivory Coast,4176.6,Highly Concentrated,4,0,3,1,2,57.36,93.87,83.36,100.0,40.0,58.23
2021-09-30,Mali,3715.4,Highly Concentrated,5,1,2,0,2,49.86,91.39,61.13,95.38,30.0,62.85
2021-09-30,Burkina Faso,3584.62,Highly Concentrated,6,0,0,2,-2,53.01,90.28,65.33,86.96,30.0,64.15
2021-09-30,Cameroon,3716.62,Highly Concentrated,5,0,1,0,1,50.3,95.19,50.43,83.72,40.0,62.83
2021-12-31,Nigeria,1142.6,Competitive,15,0,0,0,0,20.58,46.64,73.12,47.51,70.0,88.57
2021-12-31,Kenya,1173.19,Competitive,19,2,0,0,0,18.0,47.82,73.96,66.66,90.0,88.27
2021-12-31,South Africa,937.04,Competitive,16,2,1,0,1,13.22,37.15,63.24,100.0,80.0,90.63
2021-12-31,Ghana,845.25,Competitive,15,0,2,1,1,14.62,33.79,68.31,94.0,60.0,91.55
2021-12-31,Uganda,1733.85,Moderately Concentrated,8,4,2,0,2,24.87,62.21,61.99,67.55,50.0,82.66
2021-12-31,Tanzania,1730.39,Moderately Concentrated,8,0,0,0,0,27.62,60.6,70.39,76.91,50.0,82.7
2021-12-31,Rwanda,2831.58,Highly Concentrated,7,2,0,2,-2,42.73,85.99,77.35,67.86,60.0,71.68
2021-12-31,Zambia,3369.7,Highly Concentrated,4,1,1,1,0,44.8,96.47,65.71,92.34,40.0,66.3
2021-12-31,Botswana,2844.62,Highly Concentrated,4,0,0,0,0,40.96,82.07,48.48,78.79,60.0,71.55
2021-12-31,Ethiopia,5103.38,Highly Concentrated,5,1,0,0,0,68.56,95.97,61.2,65.17,40.0,48.97
2021-12-31,Senegal,2276.04,Moderately Concentrated,6,1,2,1,1,37.78,71.22,74.01,89.12,40.0,77.24
2021-12-31,Ivory Coast,2264.03,Moderately Concentrated,5,0,0,0,0,30.02,76.37,70.91,100.0,40.0,77.36
2021-12-31,Mali,3116.35,Highly Concentrated,4,0,0,1,-1,45.13,87.59,43.58,48.62,30.0,68.84
2021-12-31,Burkina Faso,4236.43,Highly Concentrated,4,0,0,0,0,60.01,93.88,57.78,50.38,30.0,57.64
2021-12-31,Cameroon,2674.15,Highly Concentrated,6,0,0,0,0,40.96,83.37,40.65,55.94,40.0,73.26
2022-03-31,Nigeria,1074.11,Competitive,15,0,0,0,0,14.95,42.78,81.37,100.0,70.0,89.26
2022-03-31,Kenya,2078.16,Moderately Concentrated,18,2,1,1,0,35.64,66.45,100.0,78.13,90.0,79.22
2022-03-31,South Africa,2311.78,Moderately Concentrated,15,0,0,0,0,41.53,71.8,55.36,100.0,80.0,76.88
2022-03-31,Ghana,948.33,Competitive,15,1,0,0,0,15.08,39.6,72.51,100.0,60.0,90.52
2022-03-31,Uganda,2994.37,Highly Concentrated,7,1,2,0,2,41.18,91.13,94.77,99.31,50.0,70.06
2022-03-31,Tanzania,2467.08,Moderately Concentrated,8,1,0,0,0,40.96,75.3,40.25,86.36,50.0,75.33
2022-03-31,Rwanda,2510.13,Highly Concentrated,7,3,0,2,-2,34.71,79.85,65.32,100.0,60.0,74.9
2022-03-31,Zambia,2330.54,Moderately Concentrated,6,0,1,1,0,35.58,75.94,73.64,50.45,40.0,76.69
2022-03-31,Botswana,2793.89,Highly Concentrated,4,1,1,2,-1,36.59,87.58,56.07,99.57,60.0,72.06
2022-03-31,Ethiopia,4753.69,Highly Concentrated,4,0,2,2,0,63.47,96.06,82.11,89.65,40.0,52.46
2022-03-31,Senegal,3564.8,Highly Concentrated,5,0,0,1,-1,47.61,96.46,47.59,88.8,40.0,64.35
2022-03-31,Ivory Coast,4200.56,Highly Concentrated,5,1,3,0,3,57.04,95.29,44.93,68.41,40.0,57.99
2022-03-31,Mali,5270.58,Highly Concentrated,4,0,1,1,0,70.2,95.46,51.88,34.81,30.0,47.29
2022-03-31,Burkina Faso,3613.95,Highly Concentrated,5,0,0,1,-1,49.46,93.92,66.89,87.39,30.0,63.86
2022-03-31,Cameroon,3131.84,Highly Concentrated,4,0,1,0,1,43.25,90.65,71.37,49.17,40.0,68.68
2022-06-30,Nigeria,1181.44,Competitive,16,1,0,0,0,18.89,52.02,62.79,50.04,70.0,88.19
2022-06-30,Kenya,2757.71,Highly Concentrated,18,1,3,0,3,37.37,85.2,87.43,100.0,90.0,72.42
2022-06-30,South Africa,1517.9,Moderately Concentrated,16,0,0,0,0,26.88,58.36,53.09,64.91,80.0,84.82
2022-06-30,Ghana,1811.1,Moderately Concentrated,15,1,1,0,1,29.91,70.28,60.93,90.39,60.0,81.89
2022-06-30,Uganda,2094.56,Moderately Concentrated,7,1,2,2,0,33.84,69.97,65.61,100.0,50.0,79.05
2022-06-30,Tanzania,2019.17,Moderately Concentrated,8,0,1,1,0,28.25,69.41,78.3,95.05,50.0,79.81
2022-06-30,Rwanda,2206.52,Moderately Concentrated,6,4,0,1,-1,31.2,71.49,61.66,85.07,60.0,77.93
2022-06-30,Zambia,3744.26,Highly Concentrated,5,2,1,0,1,53.77,89.6,79.29,71.65,40.0,62.56
2022-06-30,Botswana,3924.84,Highly Concentrated,5,0,0,2,-2,58.79,86.0,59.55,75.81,60.0,60.75
2022-06-30,Ethiopia,3649.76,Highly Concentrated,4,0,0,0,0,51.21,95.9,41.83,87.85,40.0,63.5
2022-06-30,Senegal,3012.29,Highly Concentrated,4,0,1,0,1,39.76,86.5,73.28,96.82,40.0,69.88
2022-06-30,Ivory Coast,2283.11,Moderately Concentrated,6,0,1,0,1,32.81,77.77,88.59,85.34,40.0,77.17
2022-06-30,Mali,5366.9,Highly Concentrated,4,0,1,1,0,67.71,99.77,75.78,60.77,30.0,46.33
2022-06-30,Burkina Faso,4125.58,Highly Concentrated,4,0,1,2,-1,47.47,98.11,53.5,100.0,30.0,58.74
2022-06-30,Cameroon,4115.14,Highly Concentrated,4,0,1,1,0,55.81,99.44,67.21,53.55,40.0,58.85
2022-09-30,Nigeria,1414.19,Competitive,17,0,0,0,0,29.55,51.72,61.1,64.51,70.0,85.86
2022-09-30,Kenya,1627.2,Moderately Concentrated,19,2,0,0,0,32.16,59.49,91.1,100.0,90.0,83.73
2022-09-30,South Africa,1603.41,Moderately Concentrated,16,0,0,0,0,29.55,59.18,68.54,42.02,80.0,83.97
2022-09-30,Ghana,1746.59,Moderately Concentrated,16,1,2,0,2,36.64,55.83,69.68,100.0,60.0,82.53
2022-09-30,Uganda,2691.72,Highly Concentrated,6,0,0,0,0,34.19,85.1,69.45,64.87,50.0,73.08
2022-09-30,Tanzania,3136.42,Highly Concentrated,6,1,1,0,1,39.52,91.48,70.47,100.0,50.0,68.64
2022-09-30,Rwanda,2215.42,Moderately Concentrated,7,2,0,0,0,31.8,73.07,77.59,58.17,60.0,77.85
2022-09-30,Zambia,3070.39,Highly Concentrated,4,1,2,1,1,39.53,87.65,49.52,63.29,40.0,69.3
2022-09-30,Botswana,2185.73,Moderately Concentrated,7,2,0,0,0,35.0,71.14,78.0,100.0,60.0,78.14
2022-09-30,Ethiopia,2552.59,Highly Concentrated,5,1,0,0,0,33.58,79.83,45.44,78.41,40.0,74.47
2022-09-30,Senegal,3373.03,Highly Concentrated,4,0,0,0,0,46.91,94.45,46.22,93.21,40.0,66.27
2022-09-30,Ivory Coast,4075.86,Highly Concentrated,5,0,0,0,0,59.27,88.32,40.18,45.13,40.0,59.24
2022-09-30,Mali,2119.64,Moderately Concentrated,6,0,0,1,-1,27.19,75.04,38.56,63.76,30.0,78.8
2022-09-30,Burkina Faso,3139.06,Highly Concentrated,4,0,0,0,0,38.8,92.73,66.38,80.49,30.0,68.61
2022-09-30,Cameroon,2164.16,Moderately Concentrated,6,0,0,0,0,28.01,72.25,48.56,100.0,40.0,78.36
2022-12-31,Nigeria,1651.69,Moderately Concentrated,15,1,0,0,0,26.89,61.02,56.78,60.09,70.0,83.48
2022-12-31,Kenya,1417.88,Competitive,17,1,0,0,0,28.34,52.97,68.77,100.0,90.0,85.82
