respondent_id,oi_adoption_score,oi_customer_collab,oi_supplier_collab,oi_competitor_collab,oi_university_collab,oi_consultant_use,oi_joint_rd,oi_licensing_in,oi_licensing_out,oi_crowdsourcing,new_products_last_year,process_improvements,revenue_from_innovation_pct,oi_breadth,oi_depth
SME_0070,4.435747131927216,1,0,0,1,1,1,0,0,0,1,4,15.834780183740627,3,1
SME_0071,5.055312556706465,1,1,1,1,0,1,1,0,1,0,1,19.05562650802093,4,3
SME_0072,4.563671965033231,0,1,0,0,1,1,0,1,1,2,0,21.232569638837447,2,3
SME_0073,6.574118055697314,1,1,1,0,1,1,1,0,1,1,0,10.249448414730429,4,3
SME_0074,7.0,1,1,1,1,1,1,0,0,1,1,6,5.907216147161037,5,2
SME_0075,4.947623502483203,1,1,0,0,0,0,0,0,0,1,3,8.468842431085225,2,0
SME_0076,3.941950745501637,1,0,1,0,0,0,0,0,0,2,0,10.532030177143017,2,0
SME_0077,4.03346344294778,0,0,0,0,0,1,0,0,0,2,2,11.865173087350934,0,1
SME_0078,7.0,1,1,1,1,1,0,1,1,1,5,4,23.044216059072518,5,3
SME_0079,4.935745484285572,1,1,1,0,0,1,1,0,0,1,4,11.673064848399331,3,2
SME_0080,5.61769293144967,1,0,0,0,1,0,0,1,0,1,2,22.66403405761192,2,1
SME_0081,4.7416783778629314,1,1,1,1,1,1,0,0,0,1,0,10.799105741536255,5,1
SME_0082,5.487263823171854,0,0,0,1,1,0,1,0,0,9,1,12.207877726374793,2,1
SME_0083,4.489198510857372,0,1,0,0,1,1,0,0,0,6,3,5.914865280724635,2,1
SME_0084,5.23260429721074,1,1,0,1,1,1,0,1,1,2,1,15.324849506591837,4,3
SME_0085,5.397929811140589,1,1,0,1,1,1,1,1,0,6,1,12.337442350034362,4,3
SME_0086,4.266207098914475,1,1,0,0,0,1,1,0,0,0,2,13.141762296407205,2,2
SME_0087,5.292764323687818,1,1,1,1,0,0,0,0,1,3,3,5.110352406340693,4,1
SME_0088,5.491525366898818,1,0,0,1,0,1,1,0,0,0,2,13.987705352445012,2,2
SME_0089,5.981699166454254,0,1,0,1,1,0,1,1,0,5,3,22.66617170062183,3,2
SME_0090,7.0,1,1,0,1,0,1,1,1,1,2,0,12.241220416050586,3,4
SME_0091,5.31881223206551,0,1,0,0,1,0,0,0,0,1,0,12.608995871185627,2,0
SME_0092,4.120762441821917,0,1,0,0,0,0,0,0,0,2,2,15.135480866124787,1,0
SME_0093,3.9370199067608733,0,1,0,0,0,0,0,0,0,4,1,7.420451202255356,1,0
SME_0094,4.618140479794211,0,1,1,1,1,1,1,0,1,4,2,15.120348615085593,4,3
SME_0095,3.8953489452436627,1,0,0,0,0,0,0,0,0,2,0,8.826404104738824,1,0
SME_0096,7.0,1,1,1,1,1,1,1,1,1,5,2,17.72336238399603,5,4
SME_0097,3.9065626988137696,1,1,1,1,0,1,0,0,0,1,3,11.801031085032703,4,1
SME_0098,5.293697544877945,1,0,0,0,1,0,1,0,1,2,2,19.273840907739093,2,2
SME_0099,7.0,1,1,0,1,1,1,0,1,1,7,6,17.493752277979617,4,3
SME_0100,5.131393703686231,1,1,0,1,0,0,1,0,1,2,1,9.566973479953408,3,2
SME_0101,7.0,1,1,1,1,1,1,0,1,1,4,1,24.277771791442262,5,3
SME_0102,4.932050851305477,1,0,0,1,1,0,0,1,1,3,1,19.909955337122554,3,2
SME_0103,4.983573036437067,1,1,1,0,1,0,0,1,0,1,1,19.96754857295693,4,1
SME_0104,7.0,1,1,1,1,1,1,1,1,0,5,2,27.82780185216089,5,3
SME_0105,4.122191180352616,1,1,1,0,0,0,0,0,0,6,0,10.940631307339553,3,0
SME_0106,4.841030628028816,1,1,1,1,1,0,0,0,0,3,0,9.800208284481904,5,0
SME_0107,5.557574113857282,0,0,0,0,1,1,1,0,0,3,0,14.413262495457632,1,2
SME_0108,4.509597686889856,0,1,0,0,0,0,0,0,0,1,3,9.231494443429485,1,0
SME_0109,4.777335286867789,0,1,0,1,1,1,1,0,1,1,4,19.804818133672345,3,3
SME_0110,6.104026025564589,1,1,1,0,0,1,0,1,1,2,1,27.758490347945028,3,3
SME_0111,7.0,1,1,1,1,1,1,1,1,1,2,4,21.265203921352235,5,4
SME_0112,7.0,1,0,0,1,1,1,1,1,1,1,5,16.03565647310651,3,4
SME_0113,7.0,1,0,0,1,1,1,1,1,1,3,7,22.36879852731977,3,4
SME_0114,7.0,1,0,0,0,1,0,1,0,0,3,3,22.746817767411898,2,1
SME_0115,5.2667424862211965,0,1,1,1,1,0,1,0,0,2,1,15.408573214012803,4,1
SME_0116,6.653756319502076,1,1,1,1,1,1,0,1,0,5,4,16.557391126880326,5,2
SME_0117,4.832641673202773,1,0,0,1,0,1,0,0,1,4,2,8.94932087814215,2,2
SME_0118,5.251977036908491,0,1,1,0,1,0,0,0,1,3,1,20.0108445032593,3,1
SME_0119,4.797973312823012,0,0,1,1,0,1,1,0,0,3,5,13.005826442786447,2,2
SME_0120,5.638795406588914,1,1,1,1,0,1,1,0,0,1,3,13.705750350608726,4,2
SME_0121,3.534237997950706,0,0,1,0,1,0,0,0,0,3,0,4.8353013394089,2,0
SME_0122,6.973056394641156,1,1,0,1,1,0,0,1,1,4,2,28.65954117664401,4,2
SME_0123,4.593802419673112,1,0,1,0,1,1,0,1,0,2,3,15.52689727104686,3,2
SME_0124,3.7433037195564567,0,1,0,0,0,0,1,0,1,3,4,11.485168692386111,1,2
SME_0125,5.686426826751318,0,1,1,0,1,1,1,0,1,3,3,18.191994234908933,3,3
SME_0126,5.158946150691853,1,0,0,0,1,0,1,1,1,5,4,20.518918301790514,2,3
SME_0127,5.091906353761207,1,1,0,1,0,1,1,0,0,2,1,16.72590807655313,3,2
SME_0128,7.0,1,1,1,1,1,1,0,0,1,8,2,19.83224228211809,5,2
SME_0129,5.7332235189775345,0,1,0,1,0,0,0,1,0,2,3,14.52123496621477,2,1
SME_0130,5.2265639181509425,1,1,0,1,0,0,1,0,1,2,4,18.456686057711526,3,2
SME_0131,4.813596197019413,1,1,1,1,1,0,0,1,0,4,1,11.48971553005579,5,1
SME_0132,4.315657385130052,1,1,0,1,0,0,1,0,0,0,1,16.263339061712546,3,1
SME_0133,5.902493761175933,0,0,0,1,1,0,0,1,1,6,1,28.594083188738907,2,2
SME_0134,3.6959771038379503,1,0,0,1,0,0,0,0,0,2,2,14.680913927764037,2,0
SME_0135,5.235955101397581,1,1,0,1,1,0,0,0,0,3,6,19.39985754949543,4,0
SME_0136,5.204250326662261,1,1,0,1,1,0,0,1,0,1,5,16.11986580118507,4,1
SME_0137,4.633523938139748,1,0,0,0,1,0,0,1,0,2,0,3.499631951209885,2,1
SME_0138,4.720629505506531,1,1,1,1,1,0,0,0,0,3,2,10.823465243053482,5,0
SME_0139,5.023389741379493,1,1,1,1,0,0,0,0,0,5,4,12.618168191272666,4,0
SME_0140,5.127719180587781,1,1,0,0,1,0,0,1,0,2,3,16.37763590350922,3,1
SME_0141,7.0,1,1,1,1,1,1,0,1,1,4,1,21.327424297286058,5,3
SME_0142,4.522989875042596,1,1,0,1,1,1,1,0,0,2,0,15.067943995943606,4,2
SME_0143,3.88154942645036,0,0,0,1,0,0,0,0,0,4,2,6.463789403014422,1,0
SME_0144,4.587290333913886,1,0,1,1,0,0,0,0,0,1,0,9.277949073129589,3,0
SME_0145,4.5579229986568786,0,1,0,0,1,0,1,0,0,5,3,20.288399797648296,2,1
SME_0146,4.874491834344478,1,1,0,0,0,0,1,1,1,2,2,21.28165265287263,2,3
SME_0147,4.949264451926838,1,0,0,0,0,0,0,1,0,3,2,16.870169970033217,1,1
SME_0148,5.653239058178658,1,1,1,1,1,1,1,1,1,6,3,15.489945213464893,5,4
SME_0149,6.579898624262671,1,1,0,1,1,1,0,1,0,5,1,21.846497144321553,4,2
SME_0150,3.857159332363695,0,0,1,0,1,0,0,0,1,3,1,9.964622487830127,2,1
SME_0151,4.488133661576199,1,1,1,1,0,1,0,1,0,3,2,10.471160293731913,4,2
SME_0152,7.0,1,1,1,1,1,1,1,0,1,3,3,23.716284824871366,5,3
SME_0153,5.989680088370312,1,1,1,1,1,1,0,0,1,2,3,20.840972020780313,5,2
SME_0154,6.8029235160190025,1,0,1,1,1,1,1,0,1,4,3,18.529129320700225,4,3
SME_0155,7.0,1,1,1,0,1,0,0,1,0,8,3,16.875196567043794,4,1
SME_0156,4.878179253886424,1,1,0,1,1,1,1,1,0,2,4,15.671640686466437,4,3
SME_0157,6.063308319454607,1,1,1,0,1,1,0,1,0,3,1,14.873233340802312,4,2
SME_0158,4.281167032401733,0,0,1,0,0,0,0,1,0,3,0,13.230319748625682,1,1
SME_0159,4.981191318179082,0,1,0,0,0,1,1,0,0,3,0,12.912816871668229,1,2
SME_0160,4.738059385896091,0,0,1,0,0,0,1,0,0,2,4,16.785575821030687,1,1
SME_0161,6.398592062240305,1,1,1,1,1,1,0,0,0,5,3,21.35219527115241,5,1
SME_0162,4.179317245203203,1,1,1,0,1,0,0,0,0,6,4,15.118226809487432,4,0
SME_0163,5.351565316349093,1,1,0,0,1,0,1,0,0,2,0,19.421840012815746,3,1
SME_0164,6.32446798386687,1,1,0,1,1,1,1,0,1,5,3,15.479919275306568,4,3
SME_0165,5.109347480127274,0,1,0,1,0,1,1,0,1,2,0,19.27999782305917,2,3
SME_0166,4.796442644525593,1,1,1,0,1,0,0,0,0,4,1,13.639937765965938,4,0
SME_0167,5.912381380373967,1,1,1,1,1,1,1,0,0,4,0,11.761601339820874,5,2
SME_0168,7.0,1,1,0,1,1,1,0,0,1,5,3,16.442033117069272,4,2
SME_0169,5.075114192268061,1,1,0,0,0,1,0,0,1,2,2,16.91058603102791,2,2
SME_0170,4.627353614462488,1,0,1,0,1,0,0,0,0,1,1,13.50256691798916,3,0
SME_0171,6.833473730359654,1,1,1,1,1,1,1,1,1,3,2,23.06802803735264,5,4
SME_0172,5.1217099803546695,1,0,1,1,0,0,0,0,0,1,2,11.123240921653316,3,0
SME_0173,7.0,1,1,0,1,1,1,1,0,0,3,3,12.4582051688043,4,2
SME_0174,6.908213247175544,1,1,1,1,0,0,0,1,0,5,5,19.94212059048058,4,1
SME_0175,4.5330372187129475,1,0,1,0,1,0,0,1,0,3,2,15.863483290113297,3,1
SME_0176,4.60214929929367,1,0,0,0,1,1,1,0,0,3,2,19.36668210839704,2,2
SME_0177,6.57102946106451,1,0,0,0,1,1,0,1,1,3,4,21.07964463111935,2,3
SME_0178,4.593125663759503,1,0,0,0,0,1,1,0,1,1,1,14.136501893462535,1,3
SME_0179,6.836630300333817,1,1,1,1,1,1,0,0,1,5,6,24.90803738394802,5,2
SME_0180,3.992912850281286,1,0,0,0,0,0,0,0,0,2,2,5.996163310089193,1,0
SME_0181,3.8183201634461774,0,0,0,1,0,1,0,0,0,2,2,9.044247435315036,1,1
SME_0182,7.0,1,1,1,1,1,1,1,1,0,2,1,28.490421808528527,5,3
SME_0183,3.7862198376222453,0,0,1,0,1,0,0,0,0,3,3,15.060765583105495,2,0
SME_0184,4.686831544231186,0,1,1,0,1,0,0,1,0,5,0,12.085160102057511,3,1
SME_0185,5.188563087264558,1,1,1,1,1,0,1,0,1,1,1,12.10495400991331,5,2
SME_0186,6.785302916035903,1,1,1,1,1,0,1,1,0,5,2,16.481822430105133,5,2
SME_0187,4.721761396735922,1,1,0,0,0,0,0,0,1,1,2,18.02902587873131,2,1
SME_0188,4.777256877983863,0,0,1,1,1,1,1,0,1,1,3,10.447460140844628,3,3
SME_0189,4.286970615010323,1,0,0,0,0,0,1,0,1,2,2,6.753559459414346,1,2
SME_0190,3.8424910658819,0,0,0,1,0,1,0,0,0,0,0,2.561705685374948,1,1
SME_0191,4.944049644310899,1,1,0,1,1,0,0,1,1,0,3,16.418962099209505,4,2
SME_0192,4.862684898662853,1,1,1,0,0,0,1,1,0,2,2,15.870052492207753,3,2
SME_0193,4.846848498748878,1,0,0,0,0,0,0,0,0,0,3,8.140639128117657,1,0
SME_0194,5.206539074632446,1,1,0,1,1,0,0,1,0,2,2,13.848524144314137,4,1
SME_0195,6.190794691149549,1,1,0,1,1,0,1,1,1,1,2,14.711639254888933,4,3
SME_0196,5.1097565681960315,1,1,0,0,1,0,0,0,1,3,0,9.728275697382198,3,1
SME_0197,4.268124735481609,1,1,1,1,0,1,1,0,0,2,2,19.057160438996824,4,2
SME_0198,5.885937223813653,1,0,0,1,1,1,0,1,0,2,2,15.571484844828992,3,2
SME_0199,6.875849066835132,1,1,1,0,1,1,1,1,1,5,1,16.262855727219094,4,4
SME_0200,5.751547268414394,1,0,1,1,1,1,0,0,1,4,2,17.354710830251236,4,2
SME_0201,5.131226144555781,1,0,0,0,1,1,0,0,0,4,3,15.770724078290673,2,1
SME_0202,4.7138878957652395,0,1,0,0,0,0,1,1,0,0,2,14.321993989207336,1,2
SME_0203,4.174904291482141,1,1,0,1,0,1,0,0,0,4,2,17.70429392160659,3,1
SME_0204,5.263734278040664,1,0,0,1,0,1,0,0,0,3,1,13.990993964959742,2,1
SME_0205,4.818749460294351,1,0,1,0,0,0,0,0,0,5,1,12.623078987538387,2,0
SME_0206,4.661676960630576,1,0,1,1,1,1,1,0,0,3,0,6.058800828242441,4,2
SME_0207,7.0,1,0,0,0,1,0,1,0,1,6,3,19.23439909998777,2,2
SME_0208,4.248987846402147,0,1,0,0,1,1,0,0,0,5,2,9.63899331335302,2,1
SME_0209,4.321875524219062,1,0,0,1,0,0,0,0,0,0,1,22.656101069622885,2,0
SME_0210,3.726532581009136,0,1,0,1,0,0,0,1,0,4,1,3.8931013051082504,2,1
SME_0211,5.725887443201216,1,1,1,1,1,0,0,1,0,5,5,27.869073911897424,5,1
SME_0212,3.948594923397466,1,0,0,0,1,1,0,0,0,3,5,18.335485737868062,2,1
SME_0213,4.785671655014643,0,0,1,0,0,1,0,0,0,2,2,9.879723396446924,1,1
SME_0214,5.468580939577931,1,0,0,0,1,1,0,1,0,2,2,11.5236151200758,2,2
SME_0215,7.0,1,1,1,0,1,1,1,0,1,3,2,16.198234739289433,4,3
SME_0216,4.397983221412604,1,1,1,0,0,1,1,0,0,3,4,20.351894190308368,3,2
SME_0217,5.002091365482323,0,0,0,1,1,0,1,0,1,3,3,17.648838500476714,2,2
SME_0218,4.069160631176238,0,1,0,1,0,0,0,0,0,2,1,10.320475968272362,2,0
SME_0219,4.594968352966898,1,0,0,1,1,1,0,0,0,5,2,20.401039797775255,3,1
SME_0220,5.186557380852341,0,0,0,1,1,0,1,1,0,4,0,10.426119683630692,2,2
SME_0221,4.991075281730905,1,0,1,0,1,0,1,0,0,2,2,23.00452774882608,3,1
SME_0222,6.282719701759004,1,1,1,1,0,1,1,1,1,2,1,22.068501820251797,4,4
SME_0223,6.132090379269884,1,0,1,1,1,1,1,1,1,2,3,18.923467268716507,4,4
SME_0224,5.8547973760438365,1,1,1,0,0,1,1,0,0,5,5,21.667429507674864,3,2
SME_0225,4.436575470758851,1,0,1,0,1,0,0,0,0,1,4,6.025438271036363,3,0
SME_0226,6.89354641867756,1,1,1,0,1,0,0,1,0,1,1,16.60405307269338,4,1
SME_0227,5.199257825020863,1,1,0,1,0,1,1,0,1,2,2,13.284627092098138,3,3
SME_0228,5.66893873296951,1,1,1,1,1,0,1,0,1,5,1,13.836098972546937,5,2
SME_0229,4.452138472161544,1,1,1,1,0,1,0,0,0,1,2,23.57803442835862,4,1
SME_0230,4.498162136752723,1,0,0,0,0,0,1,1,0,4,1,6.236895818116305,1,2
SME_0231,6.3459061840252495,1,1,0,1,1,1,0,1,1,5,1,17.17242521375617,4,3
SME_0232,5.2076411999153445,1,0,0,1,0,0,0,0,1,8,1,17.032595115771844,2,1
SME_0233,5.398526943855894,1,0,0,0,1,1,0,0,0,3,1,9.513724315183334,2,1
SME_0234,4.754717973801119,0,0,0,0,1,1,0,0,0,4,3,3.579663274592649,1,1
SME_0235,4.957793538587885,1,1,1,0,1,1,1,1,0,5,3,16.447193423039472,4,3
SME_0236,4.476032297466552,1,1,0,0,0,1,0,0,0,3,3,13.132897734446221,2,1
SME_0237,4.714485934070557,0,0,0,0,1,1,1,0,1,3,3,5.651204960210416,1,3
SME_0238,4.687458562581692,0,0,0,1,0,1,1,0,0,1,2,17.310400013309504,1,2
SME_0239,3.3114225899029353,0,0,0,0,0,1,0,0,0,2,1,11.160652430796842,0,1
SME_0240,5.945014006434969,1,1,0,0,1,1,0,1,0,4,2,24.940937503290485,3,2
SME_0241,4.391064525598949,0,0,0,1,1,0,0,0,1,4,3,13.527488100898427,2,1
SME_0242,5.21002052994675,0,1,0,0,1,0,1,0,0,2,4,16.205823162042627,2,1
SME_0243,4.2148936467276865,0,1,0,1,0,0,0,0,0,3,2,6.810567092512728,2,0
SME_0244,3.4649310841108436,1,0,0,0,0,0,0,0,0,0,2,10.859899693439688,1,0
SME_0245,4.349093923428703,0,0,0,0,0,0,0,0,1,4,0,10.679664862515121,0,1
SME_0246,6.3074658512080095,1,0,1,1,1,1,1,1,0,0,1,16.928888641208083,4,3
SME_0247,5.08926259918173,1,0,0,1,0,0,1,0,0,7,2,16.05328105076434,2,1
SME_0248,7.0,1,0,1,1,1,1,1,1,1,4,4,21.349439979347043,4,4
SME_0249,5.614744778973381,1,1,1,1,1,1,0,0,0,4,2,21.860800900994647,5,1
SME_0250,5.50475312454402,1,1,0,0,1,1,0,1,0,2,1,17.17300992236852,3,2
SME_0251,6.7582239433686935,1,1,1,1,1,1,0,0,0,5,1,22.824051744639878,5,1
SME_0252,7.0,1,1,1,1,1,1,1,0,1,1,2,22.791933065640873,5,3
SME_0253,4.779396617324658,1,0,0,0,1,1,1,0,0,6,2,18.976417510990476,2,2
SME_0254,4.706866583747241,0,0,1,0,1,0,1,0,0,3,0,8.862861959540918,2,1
SME_0255,4.8625125725142375,0,0,1,1,0,1,0,0,0,2,6,17.75584782400476,2,1
SME_0256,4.130945455885948,0,0,0,0,1,1,0,0,1,3,1,9.10334392478414,1,2
SME_0257,5.249924388977117,0,0,0,1,1,1,1,0,0,2,4,13.52241873309699,2,2
SME_0258,5.215759109189032,1,1,0,1,1,0,1,1,1,1,3,19.13319043153136,4,3
SME_0259,4.0524805098818275,0,1,0,0,0,0,0,0,0,2,1,10.397193249484022,1,0
SME_0260,6.578025738869563,1,0,1,1,1,0,1,0,0,3,6,18.614380095042318,4,1
SME_0261,5.059594310725539,0,0,0,1,1,0,0,0,0,6,0,17.063701436809595,2,0
SME_0262,6.202748091922239,1,1,1,1,0,1,0,1,1,4,5,23.43391489758898,4,3
SME_0263,4.917081772230443,0,1,0,0,0,0,1,0,1,5,3,25.280527038507962,1,2
SME_0264,5.040721871349065,1,0,0,0,0,0,0,1,0,1,1,12.311696563306267,1,1
SME_0265,5.4880922314921445,1,0,0,0,0,1,1,1,1,2,1,11.953027317155092,1,4
SME_0266,5.818258339412576,1,1,1,1,1,1,0,0,0,2,3,20.029151199885032,5,1
SME_0267,5.307733180271725,1,1,1,0,1,1,0,0,1,0,4,22.75693322428716,4,2
SME_0268,4.518057332827008,1,1,0,0,0,0,0,0,1,3,2,25.980741621149456,2,1
SME_0269,4.733378485806277,1,0,0,0,1,0,0,0,0,1,5,18.36665072412032,2,0
SME_0270,4.444723404898253,1,1,0,1,1,0,0,0,0,1,2,10.528579978410201,4,0
SME_0271,4.462768935844709,1,1,0,1,0,0,1,0,0,2,5,11.339842426067381,3,1
SME_0272,5.40975716434235,1,1,1,0,1,1,0,1,1,5,3,14.460317837315479,4,3
SME_0273,5.257654978497663,1,0,0,1,0,1,0,0,1,3,1,20.74282525587038,2,2
SME_0274,5.657556674837135,1,1,0,1,0,0,1,0,0,2,2,19.58064582627394,3,1
SME_0275,7.0,1,1,0,1,1,0,0,0,0,2,0,15.272112322826224,4,0
SME_0276,5.140784168430374,0,1,0,0,1,0,0,1,0,4,4,16.782055459993824,2,1
SME_0277,4.304568641189257,1,0,1,0,0,0,1,0,0,2,0,4.823110071600084,2,1
SME_0278,4.364670913106697,1,1,1,1,0,0,0,0,0,2,2,10.989083399254213,4,0
SME_0279,4.268637941819969,1,1,0,0,1,0,0,0,0,1,0,13.005447298058712,3,0
SME_0280,5.4326961802476035,1,1,0,1,1,1,1,0,0,1,1,19.2115233491509,4,2
SME_0281,3.412656661350825,1,0,0,0,1,0,0,0,0,2,0,14.329538665652285,2,0
SME_0282,3.9223265332028014,0,1,0,0,0,1,0,0,0,4,1,12.322316965586568,1,1
SME_0283,3.5695255318854118,1,0,0,0,1,0,0,1,0,3,1,7.1097823720218125,2,1
SME_0284,7.0,1,1,0,1,1,0,1,1,1,4,5,22.50273724200499,4,3
SME_0285,3.6394913850473176,0,0,0,0,0,0,0,0,0,1,3,5.972701565177019,0,0
SME_0286,5.156081945510853,1,0,0,0,1,1,0,0,0,6,2,15.512613130794623,2,1
SME_0287,6.328423445999227,1,1,0,1,1,1,0,1,0,3,3,21.306589054176644,4,2
