firm_id,firm_size,has_fdi,years_fdi,fdi_type,ka1_technical_manuals,ka2_staff_training,ka3_adapt_technology,ka4_commercialize_knowledge,tp1_production_efficiency,tp2_quality_control,tp3_order_fulfillment,tp4_employee_productivity,rd_spending_pct,new_products_3yr,innovation_iot,innovation_automation,innovation_quality_mgmt,gp1_tax_incentives,gp2_regulatory_stability,gp3_infrastructure_support,gp4_permit_ease,skilled_workforce_pct,training_hours_annual,modern_equipment,reinvestment_rate_pct,avg_roi_pct,avg_roa_pct,export_intensity_pct,capacity_utilization_pct,market_share_lagos_pct,knowledge_absorption,task_performance,innovation_score,government_policy,firm_resources,overall_performance
SME022,SME,0,,,2,3,3,4,3,3,2,3,0.0,2,1,0,0,5,6,7,5,22.3,14,1,2.0,16.8,4.5,1.6,67.3,1.2,3.0,2.75,-0.7590987863648282,5.75,-0.5412935717474733,-0.6261046944030875
SME023,SME,1,5.0,Equity,3,3,3,2,3,3,4,3,1.4,3,0,1,1,6,6,4,5,35.0,20,1,9.0,9.0,8.7,28.2,74.9,5.8,2.75,3.25,-0.16570341219969997,5.25,-0.43198697061210256,0.06378105362429692
SME024,SME,0,,,2,2,2,1,2,3,2,2,1.8,4,0,0,1,3,3,2,4,12.3,18,1,4.6,1.5,11.2,16.1,47.5,0.1,1.75,2.25,-0.07227846790015384,3.0,-0.9111893492381459,-0.9483943509377034
SME025,SME,0,,,3,3,2,3,2,2,2,2,2.8,2,0,0,1,5,5,5,4,34.5,21,1,4.4,8.9,3.3,0.9,65.0,0.1,2.75,2.0,-0.13938152108643453,4.75,-0.5573064096098663,-1.0720143029624956
SME026,SME,0,,,3,3,3,3,3,4,3,4,0.0,1,0,1,0,4,5,3,5,47.4,5,0,16.1,6.0,10.7,6.5,66.2,0.5,3.0,3.5,-1.145293414515133,4.25,-1.1307868490844306,-0.6971785677882488
SME027,SME,0,,,2,2,3,2,3,3,2,3,0.8,4,0,0,0,4,3,4,4,46.5,24,1,8.0,29.9,2.8,0.0,65.8,0.2,2.25,2.75,-0.5722488977657362,3.75,0.12750468693927347,-0.3455931404529522
SME028,SME,0,,,2,2,3,2,3,3,3,4,1.0,2,0,0,1,4,4,4,4,47.2,7,0,10.6,12.9,4.3,13.0,77.0,2.9,2.25,3.25,-0.46444412974799243,4.0,-0.9762523072246906,-0.38464995558842335
SME029,SME,0,,,3,2,2,2,3,3,3,3,0.0,3,0,0,0,4,5,4,3,23.8,41,1,19.2,6.7,-0.3,47.4,79.9,0.9,2.25,3.0,-0.7835357047120165,4.0,-0.28737251277297204,-0.41749882543225847
SME030,SME,0,,,3,3,3,3,5,5,4,5,1.9,1,0,1,0,4,5,6,2,57.0,26,1,5.9,2.1,5.5,0.0,82.8,3.4,3.0,4.75,-0.585449566943145,4.25,0.023814013255261446,-0.797386945478486
SME031,SME,1,1.0,Joint venture,4,4,4,3,3,4,3,4,1.1,2,0,0,1,3,4,4,5,58.6,30,1,14.9,1.5,11.1,0.0,91.9,1.8,3.75,3.5,-0.6402944373350553,4.0,0.26364155160190356,-0.5361245592166923
SME032,SME,1,2.0,Joint venture,5,5,5,5,4,4,4,4,1.8,4,0,1,0,2,4,3,6,66.0,26,1,19.9,7.4,10.0,0.0,90.9,4.0,5.0,4.0,-0.07227846790015384,3.75,0.1673008215625067,-0.2547452917447396
SME033,SME,1,2.0,Equity,3,3,3,4,4,4,4,3,1.5,4,0,1,0,4,3,4,3,26.6,34,1,2.0,14.3,13.3,21.2,80.5,4.9,3.25,3.75,-0.16067486488520458,3.5,-0.13334249717295152,0.3858715363484553
SME034,SME,0,,,2,3,3,2,3,3,2,3,0.3,3,1,0,0,3,4,3,6,49.7,27,0,2.0,17.8,5.2,0.0,66.4,0.1,2.5,2.75,-0.48982353447821925,4.0,-0.5362974670193019,-0.6593100782359245
SME035,SME,0,,,2,2,2,2,3,3,3,3,1.2,1,0,0,1,4,5,4,5,27.2,20,1,14.8,15.1,3.6,7.5,75.8,2.8,2.0,3.0,-0.79170782657493,4.5,-0.3581175236638753,-0.44080373005101575
SME036,SME,0,,,4,3,4,4,4,3,3,3,0.9,0,0,0,1,2,3,4,4,39.0,17,0,15.9,9.4,14.1,6.6,82.9,1.5,3.75,3.25,-1.0609830784615388,3.25,-1.0505666405374967,-0.14344621219601458
SME037,SME,1,4.0,Technology transfer,4,4,4,5,4,4,3,4,1.6,3,0,0,0,3,2,2,3,63.0,36,1,33.5,11.3,9.1,0.0,98.0,5.4,4.25,3.75,-0.5174040273738257,2.5,0.5359432883751574,0.01476972837842186
SME038,SME,1,2.0,Equity,5,5,5,4,4,4,4,4,1.1,5,1,0,1,4,4,5,5,56.4,28,1,18.3,15.6,14.7,1.2,98.0,3.1,4.75,4.0,0.3129736738671123,4.5,-0.2244779979943337,0.31269052084217575
SME039,SME,1,2.0,Technology transfer,4,4,4,4,4,3,3,3,2.4,3,0,0,0,4,3,2,3,42.2,31,0,23.6,10.1,6.9,16.6,77.5,3.7,4.0,3.25,-0.07636452883161064,3.0,-0.7692386197179035,-0.25074362272228506
SME040,SME,1,1.0,Joint venture,4,4,4,4,5,4,4,4,4.0,3,0,1,0,4,5,4,5,55.1,10,1,15.4,23.5,13.3,34.6,86.8,3.6,4.0,4.25,0.39508292175532655,4.5,-0.034457961971915585,0.9041518788644219
SME041,SME,1,3.0,Equity,4,4,5,4,4,4,4,4,2.2,5,0,1,0,3,3,4,4,32.0,47,1,19.4,12.9,13.7,7.9,92.1,3.3,4.25,4.0,0.22646224964813869,3.5,0.1102439950900466,0.20544663465546392
SME042,SME,1,4.0,Equity,3,4,4,3,4,4,4,4,3.2,2,0,0,0,7,7,6,4,72.3,39,1,30.3,12.3,10.8,13.1,96.8,4.0,3.5,4.0,-0.22683543168844664,6.0,0.489967446682935,0.22062431908892213
SME043,SME,1,1.0,Technology transfer,5,4,4,3,4,4,3,3,0.3,0,0,0,1,4,4,4,4,51.9,26,1,2.0,-1.3,-0.4,38.7,95.3,4.2,4.0,3.5,-1.2377758724316403,4.0,-0.02109912737110184,-0.4391699777961019
SME044,SME,0,,,3,3,3,2,3,2,4,3,1.4,2,0,0,1,3,3,3,3,61.8,43,0,15.3,7.6,5.1,30.3,71.2,0.1,2.75,3.0,-0.5518980403500047,3.0,-0.3720779116018401,-0.5290960017182449
SME045,SME,1,2.0,Joint venture,4,5,5,5,4,4,3,4,0.7,3,0,1,0,2,2,2,4,47.1,36,1,34.1,18.2,14.4,16.3,69.0,6.2,4.75,3.75,-0.5772774450802315,2.5,0.25008420101900464,0.4464627441365753
SME046,SME,0,,,2,2,2,2,3,3,2,3,0.0,0,0,1,0,2,3,4,3,37.1,8,0,14.3,1.6,6.6,0.0,60.0,0.1,2.0,2.75,-1.326172269416691,3.0,-1.3557518445246308,-1.2469507381377567
SME047,SME,0,,,2,2,2,2,2,2,2,3,0.3,2,0,0,0,4,3,5,2,33.5,30,1,25.2,4.3,5.3,5.5,71.3,0.1,2.0,2.25,-1.0813339358772704,3.5,-0.6948052054840801,-0.9952070976219677
SME048,SME,1,4.0,Management contract,3,4,4,4,4,3,4,4,3.4,4,1,0,1,1,2,2,2,68.1,40,1,12.0,18.4,2.6,6.6,88.1,3.1,3.75,3.75,0.6044847559355297,1.75,0.24092753446548698,-0.21507817687887512
SME049,SME,0,,,2,2,2,3,4,3,4,3,2.3,2,0,1,0,4,3,5,3,34.4,25,1,11.7,-0.1,3.1,27.7,62.8,2.4,2.25,3.5,-0.2867088493948524,3.75,-0.05329040093441739,-0.8976022321255659
SME050,SME,1,3.0,Technology transfer,3,3,3,3,4,3,4,4,2.3,4,0,1,1,4,6,4,7,64.7,30,1,17.3,19.9,11.1,34.0,84.5,6.5,3.0,3.75,0.2803646336570105,5.25,0.26379654363675575,0.8130820845867778
SME051,SME,1,5.0,Equity,4,4,4,4,4,3,3,3,0.2,7,0,0,1,6,5,4,2,49.3,40,1,2.0,11.6,10.1,11.8,91.6,0.1,4.0,3.25,0.20422641946633002,4.25,0.10302816495711653,-0.1631341976974762
SME052,SME,1,5.0,Management contract,5,4,4,4,3,3,3,3,1.8,3,0,1,0,4,4,4,4,25.4,32,1,7.7,10.9,12.9,29.4,66.2,1.7,4.25,3.0,-0.2531573228017121,4.0,-0.4072943872538771,-0.009963034367865164
SME053,SME,0,,,4,3,3,3,2,1,2,3,1.6,3,0,0,0,6,5,5,4,36.4,27,0,3.2,2.5,2.4,10.6,81.3,0.1,3.25,2.0,-0.5174040273738257,5.0,-1.4280193300204185,-1.0026654101436958
SME054,SME,1,10.0,Technology transfer,5,4,4,4,4,4,3,4,2.2,2,1,0,0,6,5,5,4,37.3,12,1,23.6,15.1,11.1,19.0,79.5,3.4,4.25,3.75,-0.3161743150565359,5.0,-0.5246034808620046,0.17073603628837863
SME055,SME,0,,,3,4,3,3,3,3,3,3,0.0,0,1,1,1,4,5,4,6,45.5,15,1,19.0,22.8,5.1,1.7,87.1,1.7,3.25,3.0,-0.9155407229191981,4.75,-0.09457005945604077,-0.10804600577114859
SME056,SME,0,,,3,2,1,1,3,4,3,3,0.1,1,0,1,0,4,5,4,5,27.1,41,1,14.6,13.1,1.6,0.0,65.6,4.6,1.75,3.25,-0.9105121756047028,4.5,-0.2064252817813522,-0.7305927010039853
SME057,SME,0,,,2,2,2,3,4,4,4,4,1.1,1,0,0,0,3,5,5,3,58.9,11,1,18.6,3.2,-2.0,11.8,63.7,2.2,2.25,4.0,-1.02648906548536,4.0,-0.41891017742413567,-1.2582605583372009
SME058,SME,0,,,3,3,2,2,4,4,3,4,1.8,3,0,1,1,4,3,3,5,43.6,13,0,10.7,16.0,8.2,0.0,70.5,3.9,2.5,3.75,-0.0478415495529656,3.75,-0.7343972220178184,-0.29205350211969533
SME059,SME,0,,,1,2,2,1,3,4,4,3,0.0,7,0,0,0,4,3,3,2,42.3,15,0,21.6,8.9,6.7,0.0,70.9,2.8,1.5,3.5,-0.2653360583545301,3.0,-0.9938493183579771,-0.6806893939247852
SME060,SME,1,2.0,Equity,3,3,3,3,4,4,3,3,1.8,2,0,1,0,7,5,4,4,64.8,20,1,17.1,21.0,6.5,28.5,79.3,2.2,3.0,3.5,-0.4340361777032703,5.0,0.3060699275130996,0.2193457863217089
SME061,SME,0,,,2,2,2,2,3,3,3,3,1.4,1,0,0,1,4,4,3,2,59.5,5,0,12.5,13.2,-1.5,16.8,69.4,0.1,2.0,3.0,-0.7327768952515629,3.25,-0.9338464820703002,-0.8662136736915163
SME062,SME,1,3.0,Joint venture,5,4,4,5,5,5,5,5,3.0,3,1,1,1,3,4,3,3,54.7,32,1,14.9,-4.5,14.5,28.4,92.0,4.9,4.5,5.0,0.5110598116359838,3.25,0.16096239145415847,0.02004720746275357
SME063,SME,0,,,2,2,1,1,4,4,3,4,2.0,3,0,1,1,6,6,5,6,33.4,22,1,17.5,3.2,5.4,25.9,73.9,0.1,1.5,3.75,0.011089381770401557,5.75,-0.23504114690678393,-0.7018994724167147
SME064,SME,0,,,2,2,2,2,5,5,4,4,1.9,3,1,0,0,2,2,3,3,18.4,19,0,8.6,14.9,10.2,10.1,79.2,5.0,2.0,4.5,-0.2236918571400285,2.5,-1.2576649149219217,0.08689765916630672
SME065,SME,0,,,4,4,3,3,5,5,5,5,0.2,5,0,1,0,4,3,5,3,34.7,18,1,19.8,10.9,16.5,9.1,59.5,2.5,3.5,5.0,-0.36284706358553287,3.75,-0.4609997730344443,-0.16291899075341276
SME066,SME,0,,,2,2,2,2,4,3,3,3,0.0,0,0,1,0,2,2,1,2,35.7,21,0,2.9,1.9,-3.0,3.5,80.7,3.8,2.0,3.25,-1.326172269416691,1.75,-1.188211881413754,-1.1650967005697284
SME067,SME,1,3.0,Technology transfer,3,4,4,4,2,4,4,4,1.5,0,1,1,1,4,3,3,3,56.6,47,0,8.2,8.2,6.2,32.2,74.9,2.1,3.75,3.5,-0.47355873799394443,3.25,-0.2123272271417089,-0.25737688151577687
SME068,SME,0,,,3,3,3,4,4,4,5,4,2.4,1,0,0,1,6,7,7,7,39.8,18,1,17.5,-3.0,6.7,1.8,95.3,2.7,3.25,4.25,-0.4381222386347271,6.75,-0.3432945309125962,-0.785021168524609
SME069,SME,1,2.0,Joint venture,4,4,4,4,4,4,4,4,3.7,6,1,1,1,3,5,4,4,65.3,28,0,16.3,13.9,15.8,29.4,72.7,3.9,4.0,4.0,1.2599546359724436,4.0,-0.43327035021306803,0.4533513921391753
SME070,SME,0,,,2,2,2,2,4,4,4,4,2.1,0,0,1,0,5,5,5,3,35.8,17,0,8.4,21.3,0.5,11.4,54.3,1.9,2.0,4.0,-0.5020817172725894,4.5,-1.2674431271812265,-0.6330003801188049
SME071,SME,1,2.0,Technology transfer,4,4,4,5,4,4,5,4,2.5,0,1,0,0,5,6,3,4,54.1,42,1,24.1,16.8,18.2,21.8,91.4,2.8,4.25,4.25,-0.5895356278746017,4.5,0.40200905234758744,0.7234028340572934
SME072,SME,0,,,4,4,4,4,3,4,4,4,1.7,3,0,1,0,3,3,3,1,62.8,37,0,7.1,22.3,7.0,2.1,76.2,2.6,4.0,3.75,-0.28262278846339567,2.5,-0.39645893332398263,-0.1061272638372675
SME073,SME,1,2.0,Technology transfer,4,4,4,4,4,4,4,4,1.3,4,0,0,1,4,6,4,5,60.1,27,1,15.4,18.9,9.6,19.5,71.9,1.6,4.0,4.0,-0.014290022959825233,4.75,0.052986475620454304,0.03570303265400428
SME074,SME,0,,,2,2,2,2,4,3,4,4,1.0,0,0,0,0,6,5,6,4,44.1,21,0,23.2,14.2,5.7,29.5,57.6,0.1,2.0,3.75,-1.2368333860486018,5.25,-0.8924622302602274,-0.4436575136178782
SME075,SME,0,,,3,4,3,3,3,3,3,3,3.2,0,0,0,1,3,3,3,5,36.0,24,0,24.3,19.8,3.3,11.4,90.4,3.7,3.25,3.0,-0.38327736824281655,3.5,-1.2805773533731633,0.0036574175889037223
SME076,SME,0,,,3,2,2,2,2,2,3,2,0.1,0,0,0,0,5,4,4,4,35.5,8,1,24.6,10.3,7.7,8.7,85.0,2.1,2.25,2.25,-1.5020225770037539,4.25,-0.6341263861610066,-0.32692594285797183
SME077,SME,1,1.0,Technology transfer,4,4,4,5,4,4,5,5,3.9,4,0,1,0,3,3,4,2,42.2,35,1,14.7,12.5,6.7,20.3,54.2,4.0,4.25,4.5,0.7518120842439477,3.0,-0.03434570510110707,-0.3885988792523094
SME078,SME,1,2.0,Joint venture,5,5,5,5,4,4,4,4,1.6,2,0,0,0,3,1,1,2,46.9,17,1,26.8,19.0,11.4,20.5,78.5,6.8,5.0,4.0,-0.49296710902663743,1.75,-0.24624466127732011,0.544840550192645
SME079,SME,0,,,2,3,2,3,3,3,2,3,2.8,3,1,1,1,4,4,3,3,56.3,5,1,4.4,17.9,3.0,3.6,92.0,0.5,2.5,2.75,0.45212888031261667,3.5,0.053561744492211294,-0.3707857659734396
SME080,SME,1,1.0,Joint venture,5,5,5,5,4,3,3,4,0.3,0,0,0,0,5,4,5,3,51.7,39,1,9.7,9.1,6.0,35.6,78.3,5.7,5.0,3.5,-1.4430916456803868,4.25,0.2950353142341524,0.07975534349228952
SME081,SME,0,,,2,3,3,2,3,4,3,4,1.9,0,0,0,0,2,3,3,3,24.8,15,1,2.0,3.7,16.3,0.0,66.1,2.0,2.5,3.5,-0.9716441950934497,2.75,-0.4893211705894105,-0.5108937015715388
SME082,SME,1,9.0,Technology transfer,4,5,5,5,3,4,4,3,1.1,1,1,0,0,4,4,6,6,81.5,37,1,30.4,13.2,10.7,34.9,76.6,1.1,4.75,3.5,-0.8211732922366135,5.0,0.48295003786483004,0.1357509639168799
SME083,SME,0,,,3,3,2,3,3,2,2,3,0.0,1,0,0,1,5,4,5,5,49.8,20,1,5.1,13.4,6.5,0.0,58.5,4.5,2.75,2.5,-1.145293414515133,4.75,-0.15963483509244572,-0.5766590053416633
SME084,SME,0,,,2,1,1,1,4,4,3,4,1.5,1,1,1,0,3,2,2,2,23.9,8,1,11.0,13.2,11.1,0.0,55.5,3.8,1.25,3.75,-0.49799565634113274,2.25,-1.1791182499716157,-0.4419881690159095
SME085,SME,1,1.0,Equity,4,4,4,5,3,3,3,3,3.2,5,0,1,0,6,5,6,4,48.4,34,1,9.7,5.5,2.3,41.8,92.6,2.5,4.25,3.0,0.5211169062649745,5.25,0.01598975769009159,-0.16057558427958124
SME086,SME,0,,,3,3,2,2,4,5,5,4,0.2,0,0,1,0,3,2,2,4,46.7,5,0,17.6,19.5,15.0,0.0,53.9,3.9,2.5,4.5,-1.2672413380933238,2.75,-1.1095812081616414,-0.042823685628880545
SME087,SME,1,5.0,Equity,4,4,5,4,4,4,5,5,0.2,4,0,0,1,2,3,3,2,80.6,52,1,14.0,9.8,1.0,39.8,87.0,3.1,4.25,4.5,-0.5437259184870911,2.5,0.7797885771782679,-0.13069212958921275
SME088,SME,0,,,3,3,3,3,2,3,2,3,1.1,3,0,0,0,3,5,3,3,28.4,5,1,2.0,7.6,0.9,13.2,78.6,2.5,3.0,2.5,-0.6647313556822436,3.5,-0.8807635761949311,-0.7398187632281567
SME089,SME,0,,,3,4,4,3,3,3,3,3,1.1,6,0,0,1,5,3,3,2,59.6,18,1,15.5,5.0,3.2,0.0,54.6,0.1,3.5,3.0,0.0832209822711775,3.25,-0.3229454114912216,-1.3563461700622133
SME090,SME,1,4.0,Joint venture,4,4,5,5,5,5,4,5,2.7,3,0,0,1,4,3,3,4,76.0,22,1,5.5,29.4,13.8,13.2,76.9,2.1,4.5,4.75,0.21734764140218665,3.5,0.5088611977742161,0.6133890521297471
SME091,SME,1,3.0,Equity,4,4,4,3,4,4,5,5,3.1,4,1,0,0,4,4,5,5,45.6,42,1,10.3,15.1,11.9,30.3,98.0,5.9,3.75,4.5,0.3107725857017327,4.5,0.03590332656288531,0.7555679660137965
SME092,SME,1,4.0,Joint venture,5,4,4,4,4,4,4,3,1.9,0,0,1,0,5,4,5,5,50.8,31,1,2.0,6.9,8.8,36.4,90.4,2.8,4.25,3.75,-0.7663284218447032,4.75,-0.010427357925089836,0.1164787810412643
SME093,SME,0,,,3,2,3,3,3,3,3,3,3.4,0,0,0,0,2,3,3,2,29.5,14,1,2.0,13.2,5.0,3.2,64.6,1.6,2.75,3.0,-0.529662210168196,2.5,-0.9524163907841015,-0.7151962864402405
SME094,SME,1,1.0,Management contract,2,2,3,2,5,5,5,5,2.3,5,0,1,1,4,4,3,6,51.9,45,1,18.4,18.6,8.1,38.2,98.0,1.6,2.25,5.0,0.46124348855856867,4.25,0.3061821843839081,0.5439630134318127
SME095,SME,1,3.0,Technology transfer,5,5,5,5,4,3,3,4,1.6,3,1,0,0,5,4,4,3,54.5,35,1,2.0,12.1,3.0,34.2,98.0,6.8,5.0,3.5,-0.10677248087633273,4.0,0.38831301501226456,0.3315103067894989
SME096,SME,0,,,4,4,4,3,2,3,2,3,0.0,4,0,0,0,4,3,5,4,54.9,26,0,2.0,14.6,6.9,0.0,71.2,3.2,3.75,2.5,-0.8079726230592048,4.0,-0.8862633703547527,-0.43957703082823013
SME097,SME,1,6.0,Joint venture,3,3,3,3,5,5,4,4,1.7,1,0,1,0,4,4,6,3,71.4,23,1,17.0,7.4,13.8,2.4,77.2,3.5,3.0,4.5,-0.6443804982665121,4.25,0.28177949535540947,-0.23566195501306042
SME098,SME,0,,,4,4,4,4,4,5,3,4,0.8,3,0,0,0,3,2,3,3,33.8,5,0,7.7,6.2,13.3,14.9,71.0,1.2,4.0,4.0,-0.7531277526672944,2.75,-1.218148455361968,-0.34033994384522637
SME099,SME,1,2.0,Technology transfer,4,4,4,4,3,3,3,3,3.2,7,0,1,1,1,2,1,3,25.5,36,1,32.9,2.7,4.8,43.2,83.4,4.8,4.0,3.0,1.0881903893168374,1.75,-0.12664986493173697,-0.08919633144682879
SME100,SME,1,1.0,Equity,4,4,4,3,5,5,5,5,2.6,4,0,1,0,4,4,4,4,54.7,31,1,31.7,5.7,14.8,17.7,85.7,8.3,3.75,5.0,0.3687610306420612,4.0,0.3106760671148725,0.37652809138213067
SME101,SME,0,,,3,2,2,3,4,4,4,3,0.0,3,1,0,0,5,5,6,4,49.4,28,1,5.1,20.0,5.4,0.0,87.3,3.7,2.5,3.75,-0.7835357047120165,5.0,-0.3684445749133218,-0.09112839848381793
SME102,SME,1,4.0,Technology transfer,4,4,4,3,3,4,3,4,2.2,4,0,1,1,4,5,4,5,58.7,34,1,21.5,23.4,13.8,11.5,61.6,7.4,3.75,3.5,0.25089916799532697,4.5,0.2125681643217363,0.5167954119942396
SME103,SME,1,1.0,Equity,5,5,5,5,4,4,4,4,2.8,0,1,0,1,3,5,4,5,50.1,37,1,23.0,12.4,14.1,9.6,66.1,1.7,5.0,4.0,-0.2958234576408045,4.25,-0.11475667138050658,-0.18688512587920758
SME104,SME,1,8.0,Equity,3,4,4,4,3,4,4,3,3.8,6,0,0,1,4,5,5,4,56.9,16,1,12.2,24.4,9.8,40.7,82.2,1.5,3.75,3.5,0.8787885551366339,4.5,-0.06253377792757744,0.6686629140385331
SME105,SME,1,2.0,Equity,4,3,4,4,4,4,2,4,3.1,2,1,1,1,7,4,6,6,77.7,58,1,5.0,11.8,7.6,6.8,78.1,0.7,3.75,3.5,0.5649621956448556,5.75,1.0368340722100933,-0.4775805669363168
SME106,SME,0,,,2,2,2,2,3,3,4,2,2.1,3,1,0,1,4,3,5,3,50.7,18,1,11.9,7.7,8.8,21.4,64.5,2.1,2.0,3.0,0.04055484743208515,3.75,-0.4001064699016807,-0.4338213358528184
SME107,SME,1,3.0,Equity,5,5,5,4,4,4,3,5,2.1,0,0,1,1,4,3,3,4,49.4,43,1,15.6,12.3,12.6,20.9,62.8,3.9,4.75,4.0,-0.29676594402384293,3.5,0.17333305205870014,-0.002824430166079351
