firm_code,survey_date,firm_size,years_operation,num_employees,annual_revenue,ownership_type,has_fdi,fdi_type,years_fdi,ka1_technical_manuals,ka2_staff_training,ka3_adapt_technology,ka4_commercialize_knowledge,tp1_production_efficiency,tp2_quality_control,tp3_order_fulfillment,tp4_employee_productivity,rd_spending_pct,new_products_3yrs,innov_iot,innov_automation,innov_quality_mgmt,innov_other,skilled_workforce_pct,training_hours_per_emp,modern_equipment,machinery_age_years,access_credit,reinvestment_rate_pct,gp1_tax_incentives,gp2_regulatory_stability,gp3_infrastructure,gp4_permits_ease,avg_roi_pct,avg_roa_pct,export_intensity_pct,capacity_utilization_pct,market_share_pct
FIRM014,05/07/2024,SME,16,1-50,<50M,Foreign-owned,Yes,Technology transfer,13,5,4,5,3,5,3,5,4,1.78,8,0,1,1,0,46.3,65,No,2,Moderate,12.6,5,3,3,4,18.53,15.16,32.8,50.8,2.98
FIRM015,04/07/2024,SME,14,1-50,50M-500M,Local,No,,0,3,4,3,2,3,4,4,4,0.42,2,1,0,0,0,48.9,26,Yes,3,Easy,17.8,2,3,5,1,4.27,0.04,3.2,61.0,0.98
FIRM016,12/07/2024,SME,19,1-50,50M-500M,Foreign-owned,Yes,Equity,3,3,5,4,4,4,4,5,4,0.07,5,0,0,0,0,61.1,71,Yes,2,Moderate,5.0,5,3,3,3,11.19,8.75,7.7,45.1,2.07
FIRM017,28/07/2024,SME,14,1-50,50M-500M,Local,No,,0,4,3,4,2,3,3,3,4,0.41,3,0,1,1,0,68.7,25,Yes,2,Moderate,27.2,3,5,1,5,-5.0,-3.0,4.8,61.4,1.24
FIRM018,30/07/2024,SME,16,1-50,50M-500M,Local,No,,0,4,2,2,4,5,3,2,3,1.02,4,0,0,0,0,67.8,63,Yes,4,Moderate,16.3,4,3,2,6,6.63,3.38,1.6,81.2,1.4
FIRM019,03/09/2024,SME,18,1-50,50M-500M,Local,No,,0,4,3,4,3,2,2,3,2,1.23,2,1,1,0,0,55.4,20,No,8,Moderate,20.2,5,3,4,4,18.63,13.43,7.1,65.7,3.26
FIRM020,16/09/2024,SME,11,1-50,50M-500M,Joint venture,Yes,Equity,1,4,4,3,4,4,3,4,2,1.43,5,1,0,1,1,47.8,52,Yes,3,Difficult,19.6,4,4,3,2,9.66,6.89,7.9,53.9,0.87
FIRM021,04/07/2024,SME,26,51-250,<50M,Local,No,,0,4,3,4,3,3,2,4,2,0.56,1,0,1,1,0,24.6,21,No,20,Easy,26.8,6,4,5,2,0.87,-1.02,6.3,70.7,2.18
FIRM022,10/09/2024,SME,10,1-50,50M-500M,Local,Yes,Management contract,5,3,3,4,3,4,4,5,5,2.08,1,1,0,0,0,32.3,58,Yes,5,Difficult,5.0,3,2,3,4,15.61,9.21,10.7,69.7,4.05
FIRM023,26/07/2024,SME,10,1-50,50M-500M,Foreign-owned,Yes,Technology transfer,3,4,4,4,5,4,4,4,3,3.0,4,0,0,1,0,78.5,36,No,8,Moderate,18.8,4,3,3,4,20.72,11.36,15.3,91.5,3.18
FIRM024,30/09/2024,SME,20,51-250,50M-500M,Local,Yes,Joint venture,3,4,4,4,4,5,4,4,2,1.33,5,0,1,1,0,24.5,50,Yes,3,Moderate,26.0,5,3,2,6,12.48,9.35,20.8,77.5,1.0
FIRM025,22/09/2024,SME,25,51-250,50M-500M,Foreign-owned,Yes,Technology transfer,9,3,5,2,4,5,4,4,4,2.06,4,0,1,0,0,40.2,71,No,9,Difficult,17.3,5,4,3,5,11.91,5.83,9.3,71.7,2.4
FIRM026,28/09/2024,SME,19,1-50,50M-500M,Local,No,,0,4,4,3,3,2,3,2,4,0.27,1,0,0,1,0,69.2,33,Yes,2,Difficult,11.3,5,5,1,4,11.58,8.11,6.6,78.9,0.5
FIRM027,08/09/2024,SME,17,1-50,<50M,Local,No,,0,1,3,4,4,3,3,3,4,0.11,1,0,0,1,0,55.1,31,Yes,3,Difficult,13.8,6,4,3,3,7.07,6.13,0.3,66.4,3.33
FIRM028,23/08/2024,SME,16,51-250,50M-500M,Local,Yes,Joint venture,5,2,4,5,4,5,3,5,4,0.92,6,0,1,1,0,65.9,97,No,4,Difficult,15.2,4,6,3,7,21.0,15.12,29.0,67.1,7.92
FIRM029,29/07/2024,SME,14,1-50,50M-500M,Local,Yes,Joint venture,3,4,4,4,5,3,5,4,4,3.47,8,0,1,0,0,60.1,72,No,4,Moderate,13.0,3,4,3,4,31.62,20.69,22.6,87.9,2.09
FIRM030,27/08/2024,SME,28,51-250,50M-500M,Local,No,,0,3,2,2,2,3,4,4,4,0.79,2,0,1,0,0,74.0,49,Yes,1,Difficult,16.9,5,6,6,3,-5.0,-1.68,3.1,48.4,4.18
FIRM031,14/09/2024,SME,21,51-250,50M-500M,Local,No,,0,4,2,4,3,3,4,3,2,0.13,2,0,0,0,0,56.4,68,No,14,Difficult,28.6,4,3,6,3,16.38,10.65,8.6,79.6,0.5
FIRM032,05/08/2024,SME,15,1-50,50M-500M,Local,No,,0,3,4,4,2,4,4,3,2,0.82,5,0,0,0,1,62.0,41,Yes,5,Moderate,13.8,6,3,3,2,9.63,4.07,7.9,66.7,0.68
FIRM033,01/07/2024,SME,13,1-50,50M-500M,Local,No,,0,4,3,3,2,3,3,3,2,0.14,1,0,0,1,0,41.1,14,No,16,Moderate,14.6,5,5,1,1,16.33,10.86,3.4,64.5,1.27
FIRM034,21/07/2024,SME,23,1-50,<50M,Joint venture,Yes,Technology transfer,2,4,4,5,4,3,5,3,4,1.76,3,0,0,1,0,60.8,68,Yes,1,Difficult,21.2,3,6,3,4,21.35,16.12,12.9,61.4,1.47
FIRM035,28/09/2024,SME,28,51-250,50M-500M,Local,No,,0,3,4,3,4,2,3,3,4,0.18,0,0,0,1,0,46.1,29,Yes,3,Difficult,16.8,5,2,4,6,10.37,5.91,1.3,69.8,2.1
FIRM036,24/08/2024,SME,27,51-250,50M-500M,Local,Yes,Joint venture,11,4,5,4,5,5,5,4,4,0.44,4,0,1,1,0,45.2,103,No,8,Moderate,8.7,3,4,2,1,22.56,17.55,13.4,67.5,1.01
FIRM037,13/08/2024,SME,12,51-250,50M-500M,Local,No,,0,3,3,1,3,4,4,4,3,1.6,0,0,1,1,1,65.4,26,No,10,Moderate,17.6,5,3,2,4,3.64,1.01,0.6,63.0,1.85
FIRM038,05/08/2024,SME,15,51-250,<50M,Local,No,,0,3,3,4,2,3,2,3,2,0.34,2,0,0,1,0,65.5,18,No,8,Difficult,17.3,2,4,6,3,3.35,1.08,6.3,59.6,3.25
FIRM039,20/07/2024,SME,14,51-250,50M-500M,Local,No,,0,2,2,3,3,3,4,2,2,0.78,1,0,0,1,0,77.3,22,No,12,Moderate,24.8,6,4,3,4,10.87,5.52,6.4,45.1,2.39
FIRM040,28/07/2024,SME,16,1-50,50M-500M,Local,No,,0,3,4,2,2,2,4,3,2,0.48,1,0,0,0,1,76.3,14,Yes,1,Difficult,11.2,5,6,4,3,1.93,2.72,0.4,59.3,1.24
FIRM041,13/08/2024,SME,26,1-50,50M-500M,Local,No,,0,3,4,2,3,4,3,3,4,0.15,2,0,0,0,0,65.8,10,No,19,Easy,24.9,4,4,2,2,11.85,8.19,9.8,61.9,2.82
FIRM042,14/07/2024,SME,32,1-50,50M-500M,Local,No,,0,3,4,2,2,2,3,3,4,0.37,1,0,1,0,0,26.2,63,Yes,7,Moderate,17.3,5,6,3,2,7.18,3.07,1.8,69.8,1.2
FIRM043,12/07/2024,SME,21,51-250,<50M,Foreign-owned,Yes,Equity,14,4,5,5,4,3,4,4,4,0.55,7,0,1,0,0,79.4,61,Yes,4,Easy,10.2,5,3,3,2,4.02,2.02,52.2,91.6,1.78
FIRM044,18/08/2024,SME,13,51-250,50M-500M,Local,No,,0,1,2,3,4,3,4,4,2,2.48,1,0,1,1,0,65.8,15,Yes,6,Difficult,8.8,6,5,3,5,2.55,-3.0,4.1,60.6,3.14
FIRM045,13/07/2024,SME,18,1-50,50M-500M,Local,No,,0,2,3,2,3,3,4,3,4,0.89,3,0,1,1,1,40.5,56,Yes,1,Difficult,31.5,6,4,5,5,8.01,7.16,9.9,55.7,1.44
FIRM046,15/08/2024,SME,35,1-50,50M-500M,Local,No,,0,3,2,2,3,3,3,3,3,0.48,1,0,0,0,0,62.9,60,Yes,7,Difficult,16.9,5,6,2,3,3.56,2.15,1.2,59.4,0.54
FIRM047,14/08/2024,SME,19,1-50,50M-500M,Local,No,,0,3,2,2,3,3,2,3,2,0.75,1,0,0,0,1,36.4,30,Yes,4,Moderate,24.6,3,2,4,5,-5.0,-3.0,2.5,69.8,1.74
FIRM048,16/09/2024,SME,16,1-50,50M-500M,Local,No,,0,3,3,2,1,3,4,4,2,0.85,1,1,1,0,0,61.3,14,No,7,Moderate,6.0,3,2,3,3,12.92,6.13,2.0,75.1,3.16
FIRM049,03/08/2024,SME,16,51-250,50M-500M,Foreign-owned,Yes,Equity,1,4,5,3,3,4,4,5,3,2.22,5,0,1,1,0,32.3,51,Yes,1,Moderate,36.5,4,6,4,3,16.02,10.37,4.5,76.7,3.36
FIRM050,06/07/2024,SME,21,1-50,50M-500M,Local,No,,0,4,2,2,1,4,5,2,3,0.82,1,0,1,1,1,39.9,25,Yes,9,Difficult,24.3,6,3,3,4,7.66,2.73,0.8,77.9,0.65
FIRM051,28/08/2024,SME,12,51-250,50M-500M,Local,No,,0,3,1,4,4,3,4,3,3,0.77,1,0,0,0,0,62.6,28,No,16,Difficult,16.2,4,3,5,4,5.16,5.2,3.0,79.6,2.74
FIRM052,07/09/2024,SME,14,1-50,50M-500M,Local,No,,0,3,3,3,3,4,2,3,2,0.51,3,0,0,0,0,68.1,16,No,10,Moderate,15.9,4,3,2,3,11.19,8.67,4.7,64.7,1.37
FIRM053,16/07/2024,SME,27,51-250,50M-500M,Joint venture,Yes,Technology transfer,3,3,5,3,5,5,4,4,5,3.66,1,0,1,1,1,56.9,85,No,4,Moderate,23.1,7,5,5,4,27.01,19.63,6.5,92.6,4.37
FIRM054,18/08/2024,SME,21,51-250,<50M,Local,No,,0,2,3,5,1,2,5,5,3,0.54,5,0,0,0,1,47.7,10,No,20,Difficult,22.7,4,2,3,5,2.59,-3.0,2.4,63.7,0.55
FIRM055,11/07/2024,SME,19,1-50,50M-500M,Local,No,,0,3,3,3,2,2,4,3,2,0.49,2,1,1,0,0,20.3,45,Yes,1,Difficult,19.3,3,4,2,4,17.0,10.85,1.6,69.3,2.71
FIRM056,09/09/2024,SME,27,1-50,50M-500M,Local,No,,0,4,4,4,3,4,4,2,4,0.55,3,0,1,1,0,48.9,50,Yes,2,Difficult,18.1,5,3,4,4,13.39,7.98,3.2,83.5,1.26
FIRM057,07/08/2024,SME,13,51-250,<50M,Local,No,,0,4,3,4,3,5,4,4,2,0.58,0,0,0,0,0,60.0,23,No,10,Easy,21.9,4,5,3,4,4.78,1.44,5.9,74.8,1.02
FIRM058,19/09/2024,SME,15,1-50,50M-500M,Local,No,,0,2,3,2,3,3,3,3,2,0.06,3,0,0,1,0,47.2,27,Yes,1,Difficult,5.8,2,3,1,5,19.27,12.66,3.7,41.1,3.24
FIRM059,18/09/2024,SME,20,1-50,<50M,Foreign-owned,Yes,Management contract,1,4,4,4,3,5,4,4,5,0.65,5,0,0,0,0,51.7,101,Yes,2,Moderate,15.4,6,4,4,4,17.35,9.89,9.0,68.1,3.59
FIRM060,16/08/2024,SME,20,1-50,50M-500M,Local,No,,0,3,3,3,4,3,3,5,5,0.42,1,0,0,0,0,49.2,37,No,10,Easy,6.5,3,2,5,3,13.06,9.57,7.7,78.3,0.5
FIRM061,12/09/2024,SME,9,1-50,50M-500M,Foreign-owned,Yes,Equity,3,5,3,4,4,3,4,4,3,0.25,6,0,1,1,1,47.2,54,Yes,2,Moderate,22.2,4,7,5,4,14.38,11.6,15.9,51.9,3.28
FIRM062,25/07/2024,SME,15,1-50,<50M,Joint venture,Yes,Technology transfer,13,4,3,4,4,3,5,4,4,1.36,3,0,1,1,0,53.1,56,Yes,4,Easy,13.3,4,3,3,1,10.22,8.51,14.1,77.0,1.58
FIRM063,29/09/2024,SME,17,1-50,<50M,Foreign-owned,Yes,Joint venture,13,5,5,4,3,4,3,2,3,1.59,4,1,0,1,0,47.9,73,Yes,9,Moderate,7.0,4,4,4,3,18.01,12.33,6.5,72.7,1.7
FIRM064,09/07/2024,SME,21,51-250,50M-500M,Local,No,,0,3,3,3,3,2,4,3,3,0.11,2,0,0,0,0,73.6,61,No,4,Moderate,12.4,1,6,4,1,17.49,16.24,7.1,82.2,0.52
FIRM065,06/07/2024,SME,20,51-250,50M-500M,Foreign-owned,Yes,Equity,4,5,4,4,3,4,4,5,3,0.79,0,1,0,1,0,20.0,57,Yes,3,Moderate,19.0,4,3,5,1,14.14,12.18,16.9,59.7,2.58
FIRM066,23/09/2024,SME,17,51-250,50M-500M,Local,No,,0,4,3,3,1,4,4,3,3,1.27,3,0,1,0,1,43.8,23,No,5,Difficult,16.6,6,6,2,1,6.84,4.58,5.2,80.0,6.83
FIRM067,30/07/2024,SME,8,1-50,50M-500M,Local,No,,0,3,4,2,3,3,2,1,3,0.75,5,0,0,0,0,38.9,28,Yes,1,Moderate,9.8,6,3,3,5,16.74,10.75,2.7,69.9,1.07
FIRM068,07/08/2024,SME,18,51-250,50M-500M,Foreign-owned,Yes,Technology transfer,10,3,5,5,4,5,4,3,3,1.92,5,0,1,0,0,55.3,62,No,17,Moderate,6.1,3,5,2,4,15.2,13.32,10.1,89.2,3.82
FIRM069,11/07/2024,SME,18,1-50,50M-500M,Local,No,,0,3,3,4,4,2,4,4,3,1.15,7,0,0,0,0,53.2,32,Yes,4,Difficult,18.5,5,3,2,2,13.06,11.16,12.6,95.0,1.66
FIRM070,30/07/2024,SME,40,1-50,50M-500M,Joint venture,Yes,Technology transfer,6,5,4,4,2,3,3,4,2,0.66,5,0,0,1,0,76.3,59,No,4,Moderate,13.9,3,2,4,4,20.26,11.36,10.0,86.5,1.11
FIRM071,13/07/2024,SME,16,51-250,50M-500M,Foreign-owned,Yes,Management contract,1,5,4,4,4,3,3,3,4,0.41,4,0,0,0,0,81.3,92,Yes,2,Moderate,16.2,4,4,6,5,15.82,13.25,5.7,73.8,0.5
FIRM072,18/08/2024,SME,20,1-50,50M-500M,Local,Yes,Joint venture,3,3,5,3,3,4,4,3,4,2.64,3,0,0,1,1,40.4,43,Yes,1,Moderate,16.9,4,5,3,4,15.86,10.79,14.5,95.0,4.19
FIRM073,05/08/2024,SME,30,51-250,<50M,Local,No,,0,3,2,3,3,4,4,3,3,0.43,4,0,0,0,0,52.0,34,No,2,Moderate,21.0,4,2,2,3,10.97,5.96,3.3,75.2,1.81
FIRM074,28/08/2024,SME,25,51-250,50M-500M,Local,Yes,Joint venture,5,2,5,5,4,4,3,3,4,0.64,6,0,1,1,1,54.9,72,No,10,Moderate,23.9,6,3,4,4,13.59,5.55,23.5,57.1,1.16
FIRM075,20/09/2024,SME,33,51-250,50M-500M,Foreign-owned,Yes,Joint venture,1,5,2,5,4,5,3,2,5,0.27,8,0,0,1,0,40.0,45,Yes,5,Moderate,19.0,5,5,4,5,20.89,14.09,11.8,67.5,1.32
FIRM076,16/08/2024,SME,9,51-250,50M-500M,Local,No,,0,4,3,2,3,3,3,4,2,0.55,0,0,1,0,0,61.4,33,No,14,Moderate,15.8,4,5,3,3,4.72,3.28,5.7,77.1,2.73
FIRM077,21/07/2024,SME,11,51-250,50M-500M,Local,No,,0,3,3,3,2,3,3,4,2,0.39,2,0,1,0,0,48.4,35,No,8,Difficult,18.2,5,3,5,4,2.95,5.24,10.4,77.9,1.16
FIRM078,17/08/2024,SME,14,51-250,50M-500M,Local,Yes,Technology transfer,3,4,5,4,5,3,3,3,4,1.0,2,0,1,1,1,36.0,21,Yes,6,Moderate,15.6,3,3,2,3,8.84,8.1,16.3,54.5,0.73
FIRM079,15/08/2024,SME,9,1-50,<50M,Local,No,,0,1,2,4,2,3,2,4,1,0.01,2,0,1,1,0,47.8,17,Yes,8,Moderate,6.5,4,7,3,1,1.98,0.22,1.2,54.9,1.52
FIRM080,27/07/2024,SME,18,1-50,50M-500M,Joint venture,Yes,Technology transfer,12,3,3,4,2,4,4,4,4,3.63,4,0,0,1,0,37.0,104,Yes,5,Easy,25.6,5,2,4,5,7.11,5.76,3.5,63.9,1.49
FIRM081,24/09/2024,SME,12,51-250,50M-500M,Local,Yes,Joint venture,7,5,4,5,3,4,4,5,3,0.34,7,0,0,1,0,67.5,49,Yes,2,Moderate,24.3,5,4,4,6,14.59,11.87,16.6,74.4,1.46
FIRM082,04/08/2024,SME,35,1-50,50M-500M,Foreign-owned,Yes,Technology transfer,9,5,3,3,2,3,3,4,5,1.08,7,0,0,0,0,80.5,38,Yes,3,Moderate,31.9,4,2,4,2,16.67,11.84,10.4,76.0,1.17
FIRM083,28/09/2024,SME,12,1-50,50M-500M,Local,No,,0,3,3,3,3,2,4,3,3,0.3,0,1,0,1,0,55.7,10,No,23,Difficult,34.0,2,6,2,5,-2.35,-2.82,4.2,69.7,3.91
FIRM084,26/09/2024,SME,15,1-50,50M-500M,Local,Yes,Management contract,2,4,4,3,3,3,5,4,4,2.04,2,0,0,0,0,53.7,40,Yes,2,Moderate,9.8,5,4,7,2,2.15,0.44,13.0,58.0,8.45
FIRM085,21/09/2024,SME,26,51-250,<50M,Local,Yes,Technology transfer,12,4,3,3,5,4,3,3,5,0.27,6,0,0,1,0,54.3,59,Yes,5,Moderate,15.7,2,4,3,4,10.51,8.13,5.6,88.8,0.65
FIRM086,10/07/2024,SME,10,1-50,<50M,Local,No,,0,3,4,4,3,3,4,4,2,0.7,3,1,0,0,1,69.7,14,No,7,Moderate,35.6,4,7,4,6,12.77,9.76,2.9,55.1,0.5
FIRM087,16/09/2024,SME,9,1-50,50M-500M,Local,No,,0,1,3,2,2,4,3,2,2,0.55,5,0,0,0,0,69.4,37,Yes,6,Easy,17.7,6,3,4,3,5.73,3.43,1.1,83.6,1.38
FIRM088,20/09/2024,SME,19,51-250,50M-500M,Joint venture,Yes,Technology transfer,2,4,5,3,3,3,4,3,3,0.76,8,1,1,0,0,50.3,45,Yes,1,Difficult,19.7,5,6,3,4,10.41,2.05,9.5,76.9,0.5
FIRM089,22/07/2024,SME,20,1-50,50M-500M,Local,Yes,Equity,8,4,3,4,4,3,3,4,3,1.82,10,0,0,0,0,55.8,68,Yes,3,Moderate,7.4,2,3,4,1,22.02,12.83,21.6,83.4,0.5
FIRM090,07/09/2024,SME,25,1-50,50M-500M,Joint venture,Yes,Management contract,8,5,3,5,4,5,5,3,4,1.35,6,0,0,1,0,61.8,99,Yes,4,Difficult,19.1,4,3,3,3,13.05,10.37,13.6,62.7,1.09
FIRM091,01/08/2024,SME,23,1-50,50M-500M,Local,No,,0,2,3,2,4,2,3,4,3,1.76,3,0,0,0,0,34.9,49,No,25,Easy,31.5,4,7,4,1,9.77,2.58,5.5,66.3,2.71
FIRM092,21/07/2024,SME,20,1-50,50M-500M,Local,No,,0,3,2,1,4,4,3,4,4,0.39,1,0,1,1,0,70.2,32,No,12,Easy,27.0,3,4,3,4,3.82,5.04,3.9,68.7,1.37
FIRM093,29/08/2024,SME,13,1-50,50M-500M,Local,No,,0,3,3,2,3,3,3,4,2,0.16,1,0,0,1,0,78.0,15,Yes,2,Moderate,13.7,5,2,4,5,1.79,3.33,2.6,62.3,0.5
FIRM094,18/08/2024,SME,20,1-50,50M-500M,Local,No,,0,2,3,4,3,3,5,2,3,0.7,4,0,1,0,1,69.5,27,Yes,2,Moderate,15.2,4,4,2,3,4.37,3.14,4.2,70.7,1.35
FIRM095,04/08/2024,SME,20,1-50,50M-500M,Foreign-owned,Yes,Equity,13,4,4,4,5,4,5,4,3,1.04,3,0,1,1,1,33.3,69,Yes,6,Moderate,10.1,4,4,2,4,21.4,16.18,4.0,86.9,1.44
FIRM096,20/09/2024,SME,13,51-250,50M-500M,Local,Yes,Joint venture,6,4,3,5,3,4,5,5,4,1.33,7,0,0,1,0,22.4,135,Yes,4,Easy,12.0,4,4,2,3,17.17,13.08,19.9,52.4,1.45
FIRM097,27/09/2024,SME,40,1-50,50M-500M,Foreign-owned,Yes,Joint venture,9,4,4,3,4,4,5,3,5,0.41,5,0,1,1,0,62.6,28,Yes,5,Easy,5.0,3,4,3,5,20.81,14.33,7.6,60.1,3.53
FIRM098,10/09/2024,SME,22,1-50,<50M,Joint venture,Yes,Management contract,10,5,3,3,3,4,3,4,4,2.06,2,0,1,0,1,40.6,60,Yes,9,Moderate,17.4,4,7,1,4,16.17,8.57,17.4,58.8,3.13
FIRM099,29/07/2024,SME,11,1-50,50M-500M,Local,No,,0,3,3,3,2,4,4,4,4,0.29,4,0,0,1,0,56.3,37,No,11,Moderate,28.6,3,5,3,1,-2.67,0.07,2.5,66.9,1.76
FIRM100,26/09/2024,SME,25,1-50,50M-500M,Local,No,,0,2,3,3,3,4,3,2,5,0.59,3,0,0,1,0,75.0,29,Yes,4,Difficult,20.5,4,2,3,5,19.69,16.6,0.8,66.4,5.98
FIRM101,11/08/2024,SME,27,51-250,50M-500M,Local,No,,0,2,3,3,2,4,4,4,4,2.09,3,0,0,0,0,42.1,31,Yes,2,Difficult,27.6,5,4,4,3,8.25,3.36,1.7,77.3,1.09
FIRM102,08/07/2024,SME,21,51-250,50M-500M,Local,No,,0,2,5,4,3,3,4,3,3,0.37,5,0,1,1,0,46.3,19,Yes,1,Easy,25.5,6,3,4,2,13.09,6.34,5.2,68.4,1.51
FIRM103,30/07/2024,SME,16,51-250,<50M,Local,No,,0,2,2,3,2,3,3,4,2,0.87,1,0,0,0,0,56.2,42,Yes,2,Moderate,14.2,2,3,5,3,2.74,1.64,15.7,71.6,1.64
FIRM104,05/07/2024,SME,13,1-50,50M-500M,Local,No,,0,2,4,3,3,2,4,2,3,0.39,4,0,0,1,0,32.5,28,Yes,1,Difficult,12.7,5,3,7,1,14.68,9.02,3.2,72.8,0.5
FIRM105,10/08/2024,SME,17,51-250,50M-500M,Foreign-owned,Yes,Technology transfer,2,4,2,5,4,4,4,4,3,0.77,2,0,1,0,0,40.6,66,Yes,4,Difficult,13.0,6,7,5,2,8.44,6.2,36.3,70.9,1.66
FIRM106,21/08/2024,SME,21,1-50,<50M,Local,No,,0,3,1,4,2,2,1,2,2,1.3,1,0,0,1,0,52.4,44,Yes,4,Moderate,6.0,6,3,3,4,9.66,9.18,0.4,76.4,0.5
FIRM107,04/08/2024,SME,18,51-250,50M-500M,Joint venture,Yes,Equity,8,2,3,5,4,5,5,2,4,0.19,2,0,0,1,0,47.5,54,Yes,4,Difficult,18.2,5,5,3,4,1.52,-3.0,11.1,66.5,0.95
FIRM108,09/07/2024,SME,34,51-250,50M-500M,Local,No,,0,3,2,4,3,3,3,3,3,1.05,2,0,0,0,0,61.1,48,Yes,1,Moderate,5.0,3,3,5,4,12.06,11.6,3.2,87.8,1.82
FIRM109,28/07/2024,SME,24,1-50,<50M,Local,No,,0,3,3,4,3,3,3,4,4,0.03,2,0,0,0,1,90.0,14,Yes,2,Moderate,22.1,5,2,1,4,2.52,0.95,5.4,95.0,0.5
FIRM110,11/09/2024,SME,12,51-250,50M-500M,Local,No,,0,3,3,3,3,3,3,3,3,0.97,2,1,0,0,0,53.5,31,Yes,1,Difficult,18.5,3,4,3,3,9.66,7.79,1.8,76.5,2.13
FIRM111,30/09/2024,SME,11,51-250,50M-500M,Local,No,,0,4,3,3,4,3,3,3,3,0.47,1,0,0,1,1,39.4,18,Yes,7,Moderate,21.3,4,4,3,4,18.14,13.94,4.5,70.7,0.82
FIRM112,10/08/2024,SME,22,51-250,<50M,Local,No,,0,3,3,3,1,5,4,3,2,0.16,1,1,1,0,0,73.3,16,No,12,Moderate,25.4,5,5,4,3,10.94,9.13,2.8,75.5,1.24
FIRM113,28/07/2024,SME,16,1-50,<50M,Joint venture,Yes,Management contract,9,3,4,3,5,4,3,3,4,0.96,4,0,0,1,1,28.2,114,No,11,Moderate,19.4,3,1,4,1,22.35,15.77,25.4,54.8,2.41
