Gc_YSZ_threshold_J_per_m2,Gc_GDC_LSCF_threshold_J_per_m2,P_joint_failure_independent_rho_0,P_joint_failure_correlated_rho_05,delta_correlated_minus_independent
0.840741,0.910204,0.00015,0.00035,0.0002
0.840741,0.936735,0.00015,0.00035,0.0002
0.840741,0.963265,0.00015,0.00035,0.0002
0.840741,0.989796,0.00015,0.00035,0.0002
0.840741,1.016327,0.00015,0.00035,0.0002
0.840741,1.042857,0.0002,0.00035,0.00015
0.840741,1.069388,0.0002,0.00035,0.00015
0.840741,1.095918,0.00025,0.00035,0.0001
0.840741,1.122449,0.00025,0.00035,0.0001
0.840741,1.14898,0.00025,0.00035,0.0001
0.840741,1.17551,0.00025,0.00035,0.0001
0.840741,1.202041,0.00025,0.00035,0.0001
0.840741,1.228571,0.00025,0.00035,0.0001
0.840741,1.255102,0.0003,0.00035,5e-05
0.840741,1.281633,0.0003,0.00035,5e-05
0.840741,1.308163,0.0003,0.00035,5e-05
0.840741,1.334694,0.0003,0.00035,5e-05
0.840741,1.361224,0.0003,0.00035,5e-05
0.840741,1.387755,0.0003,0.00035,5e-05
0.840741,1.414286,0.0003,0.00035,5e-05
0.840741,1.440816,0.0003,0.00035,5e-05
0.840741,1.467347,0.0003,0.00035,5e-05
0.840741,1.493878,0.0003,0.00035,5e-05
0.840741,1.520408,0.0003,0.00035,5e-05
0.840741,1.546939,0.0003,0.00035,5e-05
0.840741,1.573469,0.0003,0.00035,5e-05
0.840741,1.6,0.0003,0.00035,5e-05
0.881481,0.3,0.0,0.0,0.0
0.881481,0.326531,0.0,0.0,0.0
0.881481,0.353061,0.0,0.0,0.0
0.881481,0.379592,0.0,0.0,0.0
0.881481,0.406122,0.0,0.0,0.0
0.881481,0.432653,0.0,5e-05,5e-05
0.881481,0.459184,0.0,5e-05,5e-05
0.881481,0.485714,0.0,5e-05,5e-05
0.881481,0.512245,0.0,0.0001,0.0001
0.881481,0.538776,0.0,0.00015,0.00015
0.881481,0.565306,0.0,0.00015,0.00015
0.881481,0.591837,0.0,0.0002,0.0002
0.881481,0.618367,0.0,0.00025,0.00025
0.881481,0.644898,0.0,0.00035,0.00035
0.881481,0.671429,0.0,0.0004,0.0004
0.881481,0.697959,0.0,0.00045,0.00045
0.881481,0.72449,0.0,0.00045,0.00045
0.881481,0.75102,5e-05,0.0005,0.00045
0.881481,0.777551,5e-05,0.0005,0.00045
0.881481,0.804082,0.0001,0.0005,0.0004
0.881481,0.830612,0.0001,0.00055,0.00045
0.881481,0.857143,0.0001,0.00055,0.00045
0.881481,0.883673,0.0001,0.0006,0.0005
0.881481,0.910204,0.00015,0.0006,0.00045
0.881481,0.936735,0.0002,0.0006,0.0004
0.881481,0.963265,0.0002,0.0006,0.0004
0.881481,0.989796,0.0003,0.0006,0.0003
0.881481,1.016327,0.0003,0.00065,0.00035
0.881481,1.042857,0.00045,0.00065,0.0002
0.881481,1.069388,0.00045,0.00065,0.0002
0.881481,1.095918,0.0005,0.00065,0.00015
0.881481,1.122449,0.0005,0.00065,0.00015
0.881481,1.14898,0.0005,0.00065,0.00015
0.881481,1.17551,0.0005,0.00065,0.00015
0.881481,1.202041,0.0005,0.00065,0.00015
0.881481,1.228571,0.0005,0.00065,0.00015
0.881481,1.255102,0.0006,0.00065,5e-05
0.881481,1.281633,0.0006,0.00065,5e-05
0.881481,1.308163,0.0006,0.00065,5e-05
0.881481,1.334694,0.0006,0.00065,5e-05
0.881481,1.361224,0.0006,0.00065,5e-05
0.881481,1.387755,0.0006,0.00065,5e-05
0.881481,1.414286,0.0006,0.00065,5e-05
0.881481,1.440816,0.0006,0.00065,5e-05
0.881481,1.467347,0.0006,0.00065,5e-05
0.881481,1.493878,0.0006,0.00065,5e-05
0.881481,1.520408,0.0006,0.00065,5e-05
0.881481,1.546939,0.0006,0.00065,5e-05
0.881481,1.573469,0.0006,0.00065,5e-05
0.881481,1.6,0.0006,0.00065,5e-05
0.922222,0.3,0.0,0.0,0.0
0.922222,0.326531,0.0,0.0,0.0
0.922222,0.353061,0.0,0.0,0.0
0.922222,0.379592,0.0,0.0,0.0
0.922222,0.406122,0.0,0.0,0.0
0.922222,0.432653,0.0,5e-05,5e-05
0.922222,0.459184,0.0,0.0001,0.0001
0.922222,0.485714,0.0,0.0001,0.0001
0.922222,0.512245,0.0,0.00015,0.00015
0.922222,0.538776,0.0,0.0002,0.0002
0.922222,0.565306,0.0,0.0002,0.0002
0.922222,0.591837,0.0,0.00025,0.00025
0.922222,0.618367,0.0,0.0004,0.0004
0.922222,0.644898,0.0,0.00055,0.00055
0.922222,0.671429,0.0,0.0006,0.0006
0.922222,0.697959,0.0,0.00065,0.00065
0.922222,0.72449,0.0,0.0007,0.0007
0.922222,0.75102,5e-05,0.00075,0.0007
0.922222,0.777551,5e-05,0.00075,0.0007
0.922222,0.804082,0.0001,0.00075,0.00065
0.922222,0.830612,0.0001,0.0008,0.0007
0.922222,0.857143,0.0001,0.0008,0.0007
0.922222,0.883673,0.0001,0.00085,0.00075
0.922222,0.910204,0.0002,0.00085,0.00065
0.922222,0.936735,0.00025,0.00085,0.0006
0.922222,0.963265,0.0003,0.00085,0.00055
0.922222,0.989796,0.0004,0.00085,0.00045
0.922222,1.016327,0.0004,0.0009,0.0005
0.922222,1.042857,0.00055,0.00095,0.0004
0.922222,1.069388,0.00055,0.00095,0.0004
0.922222,1.095918,0.0006,0.00095,0.00035
0.922222,1.122449,0.0006,0.00095,0.00035
0.922222,1.14898,0.0006,0.00095,0.00035
0.922222,1.17551,0.0006,0.00095,0.00035
0.922222,1.202041,0.0006,0.00095,0.00035
0.922222,1.228571,0.0006,0.00095,0.00035
0.922222,1.255102,0.0007,0.00095,0.00025
0.922222,1.281633,0.0007,0.00095,0.00025
0.922222,1.308163,0.0007,0.00095,0.00025
0.922222,1.334694,0.0007,0.00095,0.00025
0.922222,1.361224,0.0007,0.00095,0.00025
0.922222,1.387755,0.0007,0.00095,0.00025
0.922222,1.414286,0.0007,0.00095,0.00025
0.922222,1.440816,0.0007,0.00095,0.00025
0.922222,1.467347,0.00075,0.00095,0.0002
0.922222,1.493878,0.00075,0.00095,0.0002
0.922222,1.520408,0.00075,0.00095,0.0002
0.922222,1.546939,0.00075,0.00095,0.0002
0.922222,1.573469,0.00075,0.00095,0.0002
0.922222,1.6,0.00075,0.00095,0.0002
0.962963,0.3,0.0,0.0,0.0
0.962963,0.326531,0.0,0.0,0.0
0.962963,0.353061,0.0,0.0,0.0
0.962963,0.379592,0.0,0.0,0.0
0.962963,0.406122,0.0,0.0,0.0
0.962963,0.432653,0.0,5e-05,5e-05
0.962963,0.459184,0.0,0.0001,0.0001
0.962963,0.485714,0.0,0.0001,0.0001
0.962963,0.512245,0.0,0.00015,0.00015
0.962963,0.538776,0.0,0.00025,0.00025
0.962963,0.565306,0.0,0.00025,0.00025
0.962963,0.591837,0.0,0.0003,0.0003
0.962963,0.618367,5e-05,0.00045,0.0004
0.962963,0.644898,0.0001,0.0006,0.0005
0.962963,0.671429,0.0001,0.0007,0.0006
0.962963,0.697959,0.0001,0.00075,0.00065
0.962963,0.72449,0.0001,0.00085,0.00075
0.962963,0.75102,0.0002,0.0009,0.0007
0.962963,0.777551,0.0002,0.0009,0.0007
0.962963,0.804082,0.00025,0.0009,0.00065
0.962963,0.830612,0.00025,0.00095,0.0007
0.962963,0.857143,0.00025,0.00095,0.0007
0.962963,0.883673,0.0003,0.001,0.0007
0.962963,0.910204,0.0004,0.001,0.0006
0.962963,0.936735,0.0005,0.00105,0.00055
0.962963,0.963265,0.00055,0.00105,0.0005
0.962963,0.989796,0.00065,0.00105,0.0004
0.962963,1.016327,0.00065,0.00115,0.0005
0.962963,1.042857,0.00085,0.0012,0.00035
0.962963,1.069388,0.00085,0.0012,0.00035
0.962963,1.095918,0.00095,0.0012,0.00025
0.962963,1.122449,0.001,0.0012,0.0002
0.962963,1.14898,0.001,0.0012,0.0002
0.962963,1.17551,0.001,0.0012,0.0002
0.962963,1.202041,0.001,0.0012,0.0002
0.962963,1.228571,0.001,0.0012,0.0002
0.962963,1.255102,0.0011,0.0012,0.0001
0.962963,1.281633,0.00115,0.0012,5e-05
0.962963,1.308163,0.0012,0.0012,0.0
0.962963,1.334694,0.0012,0.0012,0.0
0.962963,1.361224,0.0012,0.0012,0.0
0.962963,1.387755,0.0012,0.0012,0.0
0.962963,1.414286,0.0012,0.0012,0.0
0.962963,1.440816,0.0012,0.0012,0.0
0.962963,1.467347,0.00125,0.0012,-5e-05
0.962963,1.493878,0.00125,0.0012,-5e-05
0.962963,1.520408,0.00125,0.0012,-5e-05
0.962963,1.546939,0.00125,0.0012,-5e-05
0.962963,1.573469,0.00125,0.0012,-5e-05
0.962963,1.6,0.00125,0.0012,-5e-05
1.003704,0.3,0.0,0.0,0.0
1.003704,0.326531,0.0,0.0,0.0
1.003704,0.353061,0.0,0.0,0.0
1.003704,0.379592,0.0,0.0,0.0
1.003704,0.406122,0.0,0.0,0.0
1.003704,0.432653,0.0,5e-05,5e-05
1.003704,0.459184,0.0,0.00015,0.00015
1.003704,0.485714,0.0,0.00015,0.00015
1.003704,0.512245,0.0,0.0002,0.0002
1.003704,0.538776,0.0,0.0003,0.0003
1.003704,0.565306,0.0,0.0003,0.0003
1.003704,0.591837,0.0,0.00045,0.00045
1.003704,0.618367,5e-05,0.00065,0.0006
1.003704,0.644898,0.0001,0.0008,0.0007
1.003704,0.671429,0.0001,0.0009,0.0008
1.003704,0.697959,0.0001,0.00095,0.00085
1.003704,0.72449,0.0001,0.00105,0.00095
1.003704,0.75102,0.00025,0.0012,0.00095
1.003704,0.777551,0.0003,0.0012,0.0009
1.003704,0.804082,0.0004,0.0013,0.0009
1.003704,0.830612,0.0004,0.0014,0.001
1.003704,0.857143,0.00045,0.0014,0.00095
1.003704,0.883673,0.0005,0.0015,0.001
1.003704,0.910204,0.0007,0.0015,0.0008
1.003704,0.936735,0.00085,0.0016,0.00075
1.003704,0.963265,0.00095,0.0016,0.00065
1.003704,0.989796,0.00105,0.0016,0.00055
1.003704,1.016327,0.00105,0.00175,0.0007
1.003704,1.042857,0.00135,0.0018,0.00045
1.003704,1.069388,0.0014,0.0018,0.0004
1.003704,1.095918,0.00155,0.0018,0.00025
1.003704,1.122449,0.00165,0.0018,0.00015
1.003704,1.14898,0.00165,0.0018,0.00015
1.003704,1.17551,0.00165,0.0018,0.00015
1.003704,1.202041,0.00165,0.0018,0.00015
1.003704,1.228571,0.00165,0.0018,0.00015
1.003704,1.255102,0.0018,0.0018,0.0
1.003704,1.281633,0.0019,0.0018,-0.0001
1.003704,1.308163,0.00195,0.0018,-0.00015
1.003704,1.334694,0.00195,0.0018,-0.00015
1.003704,1.361224,0.00195,0.0018,-0.00015
1.003704,1.387755,0.00195,0.0018,-0.00015
1.003704,1.414286,0.00195,0.0018,-0.00015
1.003704,1.440816,0.00195,0.0018,-0.00015
1.003704,1.467347,0.00205,0.0018,-0.00025
1.003704,1.493878,0.00205,0.0018,-0.00025
1.003704,1.520408,0.00205,0.0018,-0.00025
1.003704,1.546939,0.00205,0.0018,-0.00025
1.003704,1.573469,0.00205,0.0018,-0.00025
1.003704,1.6,0.00205,0.0018,-0.00025
1.044444,0.3,5e-05,0.0,-5e-05
1.044444,0.326531,5e-05,0.0,-5e-05
1.044444,0.353061,5e-05,0.0,-5e-05
1.044444,0.379592,5e-05,0.0,-5e-05
1.044444,0.406122,5e-05,0.0,-5e-05
1.044444,0.432653,5e-05,0.0001,5e-05
1.044444,0.459184,5e-05,0.00025,0.0002
1.044444,0.485714,5e-05,0.00025,0.0002
1.044444,0.512245,5e-05,0.0003,0.00025
1.044444,0.538776,5e-05,0.0005,0.00045
1.044444,0.565306,5e-05,0.00055,0.0005
1.044444,0.591837,5e-05,0.0007,0.00065
1.044444,0.618367,0.0001,0.00095,0.00085
1.044444,0.644898,0.00015,0.00125,0.0011
1.044444,0.671429,0.00015,0.0014,0.00125
1.044444,0.697959,0.00015,0.00145,0.0013
1.044444,0.72449,0.00015,0.0016,0.00145
1.044444,0.75102,0.0003,0.00175,0.00145
1.044444,0.777551,0.00035,0.0018,0.00145
1.044444,0.804082,0.00045,0.00195,0.0015
1.044444,0.830612,0.00045,0.00205,0.0016
1.044444,0.857143,0.00055,0.0021,0.00155
1.044444,0.883673,0.0006,0.00225,0.00165
1.044444,0.910204,0.0009,0.00225,0.00135
1.044444,0.936735,0.00105,0.0024,0.00135
1.044444,0.963265,0.0012,0.0024,0.0012
1.044444,0.989796,0.0013,0.0024,0.0011
1.044444,1.016327,0.00135,0.00255,0.0012
1.044444,1.042857,0.0017,0.0026,0.0009
1.044444,1.069388,0.0018,0.00265,0.00085
1.044444,1.095918,0.002,0.00265,0.00065
1.044444,1.122449,0.0021,0.00265,0.00055
1.044444,1.14898,0.0021,0.00265,0.00055
1.044444,1.17551,0.00215,0.00265,0.0005
1.044444,1.202041,0.0022,0.00265,0.00045
1.044444,1.228571,0.00225,0.00265,0.0004
1.044444,1.255102,0.0024,0.00265,0.00025
1.044444,1.281633,0.0025,0.00265,0.00015
1.044444,1.308163,0.00255,0.00265,0.0001
1.044444,1.334694,0.00255,0.00265,0.0001
1.044444,1.361224,0.00255,0.00265,0.0001
1.044444,1.387755,0.00255,0.00265,0.0001
1.044444,1.414286,0.00255,0.00265,0.0001
1.044444,1.440816,0.00255,0.00265,0.0001
1.044444,1.467347,0.00265,0.00265,0.0
1.044444,1.493878,0.00265,0.00265,0.0
1.044444,1.520408,0.00265,0.00265,0.0
1.044444,1.546939,0.00265,0.00265,0.0
1.044444,1.573469,0.00265,0.00265,0.0
1.044444,1.6,0.00265,0.00265,0.0
1.085185,0.3,5e-05,0.0,-5e-05
1.085185,0.326531,5e-05,0.0,-5e-05
1.085185,0.353061,5e-05,5e-05,0.0
1.085185,0.379592,5e-05,5e-05,0.0
1.085185,0.406122,5e-05,5e-05,0.0
1.085185,0.432653,5e-05,0.00015,0.0001
1.085185,0.459184,5e-05,0.00035,0.0003
1.085185,0.485714,5e-05,0.00035,0.0003
1.085185,0.512245,5e-05,0.0004,0.00035
1.085185,0.538776,5e-05,0.00065,0.0006
1.085185,0.565306,5e-05,0.00075,0.0007
1.085185,0.591837,5e-05,0.0009,0.00085
1.085185,0.618367,0.0001,0.00115,0.00105
1.085185,0.644898,0.00015,0.0015,0.00135
1.085185,0.671429,0.0002,0.00165,0.00145
1.085185,0.697959,0.00025,0.0017,0.00145
1.085185,0.72449,0.0003,0.00185,0.00155
1.085185,0.75102,0.00045,0.0021,0.00165
1.085185,0.777551,0.0006,0.00225,0.00165
1.085185,0.804082,0.0008,0.00245,0.00165
1.085185,0.830612,0.0008,0.0027,0.0019
1.085185,0.857143,0.00095,0.0028,0.00185
1.085185,0.883673,0.00105,0.003,0.00195
1.085185,0.910204,0.00135,0.003,0.00165
1.085185,0.936735,0.0015,0.00315,0.00165
1.085185,0.963265,0.00165,0.00315,0.0015
1.085185,0.989796,0.0018,0.0032,0.0014
1.085185,1.016327,0.00185,0.00335,0.0015
1.085185,1.042857,0.0022,0.00345,0.00125
1.085185,1.069388,0.00235,0.0035,0.00115
1.085185,1.095918,0.00255,0.0035,0.00095
1.085185,1.122449,0.00265,0.0035,0.00085
1.085185,1.14898,0.00265,0.0035,0.00085
1.085185,1.17551,0.0027,0.0035,0.0008
1.085185,1.202041,0.00275,0.0035,0.00075
1.085185,1.228571,0.0028,0.0035,0.0007
1.085185,1.255102,0.003,0.0035,0.0005
1.085185,1.281633,0.00315,0.0035,0.00035
1.085185,1.308163,0.0032,0.0035,0.0003
1.085185,1.334694,0.0032,0.0035,0.0003
1.085185,1.361224,0.0032,0.0035,0.0003
1.085185,1.387755,0.0032,0.0035,0.0003
1.085185,1.414286,0.0032,0.0035,0.0003
1.085185,1.440816,0.0032,0.0035,0.0003
1.085185,1.467347,0.0033,0.0035,0.0002
1.085185,1.493878,0.0033,0.0035,0.0002
1.085185,1.520408,0.0033,0.0035,0.0002
1.085185,1.546939,0.0033,0.0035,0.0002
1.085185,1.573469,0.0033,0.0035,0.0002
1.085185,1.6,0.0033,0.0035,0.0002
1.125926,0.3,5e-05,0.0,-5e-05
1.125926,0.326531,5e-05,0.0,-5e-05
1.125926,0.353061,5e-05,5e-05,0.0
1.125926,0.379592,5e-05,5e-05,0.0
1.125926,0.406122,5e-05,5e-05,0.0
1.125926,0.432653,5e-05,0.0002,0.00015
1.125926,0.459184,5e-05,0.0004,0.00035
1.125926,0.485714,5e-05,0.0004,0.00035
1.125926,0.512245,5e-05,0.0005,0.00045
1.125926,0.538776,5e-05,0.00075,0.0007
1.125926,0.565306,5e-05,0.0009,0.00085
1.125926,0.591837,0.0001,0.00105,0.00095
1.125926,0.618367,0.00015,0.0014,0.00125
1.125926,0.644898,0.0003,0.0018,0.0015
1.125926,0.671429,0.00035,0.002,0.00165
1.125926,0.697959,0.0005,0.0022,0.0017
1.125926,0.72449,0.00065,0.00235,0.0017
1.125926,0.75102,0.0008,0.0026,0.0018
1.125926,0.777551,0.00095,0.0028,0.00185
1.125926,0.804082,0.00115,0.0031,0.00195
1.125926,0.830612,0.00115,0.00335,0.0022
1.125926,0.857143,0.00135,0.0036,0.00225
1.125926,0.883673,0.0015,0.00385,0.00235
1.125926,0.910204,0.0018,0.0039,0.0021
1.125926,0.936735,0.00195,0.0041,0.00215
1.125926,0.963265,0.00215,0.0042,0.00205
1.125926,0.989796,0.00245,0.00425,0.0018
1.125926,1.016327,0.00255,0.00445,0.0019
1.125926,1.042857,0.00305,0.0046,0.00155
1.125926,1.069388,0.0033,0.0047,0.0014
1.125926,1.095918,0.00355,0.0047,0.00115
1.125926,1.122449,0.00375,0.0047,0.00095
1.125926,1.14898,0.00385,0.0047,0.00085
1.125926,1.17551,0.0039,0.0047,0.0008
1.125926,1.202041,0.004,0.0047,0.0007
1.125926,1.228571,0.00405,0.0047,0.00065
1.125926,1.255102,0.0043,0.0047,0.0004
1.125926,1.281633,0.0045,0.0047,0.0002
1.125926,1.308163,0.00455,0.0047,0.00015
1.125926,1.334694,0.00455,0.0047,0.00015
1.125926,1.361224,0.00465,0.0047,5e-05
1.125926,1.387755,0.00465,0.0047,5e-05
1.125926,1.414286,0.00465,0.0047,5e-05
1.125926,1.440816,0.00465,0.0047,5e-05
1.125926,1.467347,0.00475,0.0047,-5e-05
1.125926,1.493878,0.00475,0.0047,-5e-05
1.125926,1.520408,0.00475,0.0047,-5e-05
1.125926,1.546939,0.00475,0.0047,-5e-05
1.125926,1.573469,0.00475,0.0047,-5e-05
1.125926,1.6,0.00475,0.0047,-5e-05
1.166667,0.3,5e-05,0.0,-5e-05
1.166667,0.326531,5e-05,0.0,-5e-05
1.166667,0.353061,5e-05,5e-05,0.0
1.166667,0.379592,5e-05,5e-05,0.0
1.166667,0.406122,5e-05,5e-05,0.0
1.166667,0.432653,5e-05,0.00025,0.0002
1.166667,0.459184,5e-05,0.0005,0.00045
1.166667,0.485714,5e-05,0.0005,0.00045
1.166667,0.512245,5e-05,0.00065,0.0006
1.166667,0.538776,5e-05,0.00095,0.0009
1.166667,0.565306,5e-05,0.0012,0.00115
1.166667,0.591837,0.00015,0.00145,0.0013
1.166667,0.618367,0.0002,0.0019,0.0017
1.166667,0.644898,0.00035,0.0023,0.00195
1.166667,0.671429,0.00045,0.0027,0.00225
1.166667,0.697959,0.0006,0.00305,0.00245
1.166667,0.72449,0.0008,0.00335,0.00255
1.166667,0.75102,0.00095,0.00365,0.0027
1.166667,0.777551,0.0011,0.004,0.0029
1.166667,0.804082,0.00135,0.0045,0.00315
1.166667,0.830612,0.0014,0.005,0.0036
1.166667,0.857143,0.00165,0.00535,0.0037
1.166667,0.883673,0.00185,0.00565,0.0038
1.166667,0.910204,0.0023,0.00575,0.00345
1.166667,0.936735,0.00255,0.006,0.00345
1.166667,0.963265,0.00275,0.00615,0.0034
1.166667,0.989796,0.00305,0.0063,0.00325
1.166667,1.016327,0.0033,0.00665,0.00335
1.166667,1.042857,0.00385,0.0068,0.00295
1.166667,1.069388,0.00415,0.0069,0.00275
1.166667,1.095918,0.00445,0.0069,0.00245
1.166667,1.122449,0.00475,0.0069,0.00215
1.166667,1.14898,0.0049,0.007,0.0021
1.166667,1.17551,0.005,0.00705,0.00205
1.166667,1.202041,0.0052,0.00705,0.00185
1.166667,1.228571,0.00525,0.00705,0.0018
1.166667,1.255102,0.0056,0.00705,0.00145
1.166667,1.281633,0.00585,0.00705,0.0012
1.166667,1.308163,0.00595,0.00705,0.0011
1.166667,1.334694,0.00595,0.00705,0.0011
1.166667,1.361224,0.00605,0.00705,0.001
1.166667,1.387755,0.00605,0.00705,0.001
1.166667,1.414286,0.0061,0.00705,0.00095
1.166667,1.440816,0.0061,0.00705,0.00095
1.166667,1.467347,0.0062,0.00705,0.00085
1.166667,1.493878,0.0062,0.00705,0.00085
1.166667,1.520408,0.0062,0.00705,0.00085
1.166667,1.546939,0.0062,0.00705,0.00085
1.166667,1.573469,0.0062,0.00705,0.00085
1.166667,1.6,0.0062,0.00705,0.00085
1.207407,0.3,5e-05,0.0,-5e-05
1.207407,0.326531,5e-05,0.0,-5e-05
1.207407,0.353061,5e-05,0.0001,5e-05
1.207407,0.379592,5e-05,0.0001,5e-05
1.207407,0.406122,5e-05,0.0001,5e-05
1.207407,0.432653,5e-05,0.0003,0.00025
1.207407,0.459184,5e-05,0.00055,0.0005
1.207407,0.485714,5e-05,0.0006,0.00055
1.207407,0.512245,5e-05,0.00075,0.0007
1.207407,0.538776,5e-05,0.00105,0.001
1.207407,0.565306,5e-05,0.0013,0.00125
1.207407,0.591837,0.00015,0.0016,0.00145
1.207407,0.618367,0.00025,0.00215,0.0019
1.207407,0.644898,0.0004,0.0027,0.0023
1.207407,0.671429,0.0005,0.0032,0.0027
1.207407,0.697959,0.00065,0.00365,0.003
1.207407,0.72449,0.00085,0.0042,0.00335
1.207407,0.75102,0.00105,0.00455,0.0035
1.207407,0.777551,0.0012,0.00495,0.00375
1.207407,0.804082,0.00145,0.0058,0.00435
1.207407,0.830612,0.00155,0.00635,0.0048
1.207407,0.857143,0.0019,0.00675,0.00485
1.207407,0.883673,0.0022,0.00715,0.00495
1.207407,0.910204,0.0027,0.0073,0.0046
1.207407,0.936735,0.003,0.0076,0.0046
1.207407,0.963265,0.0033,0.0078,0.0045
1.207407,0.989796,0.0037,0.00795,0.00425
1.207407,1.016327,0.0041,0.00835,0.00425
1.207407,1.042857,0.00465,0.0086,0.00395
1.207407,1.069388,0.00505,0.0088,0.00375
1.207407,1.095918,0.0055,0.0089,0.0034
1.207407,1.122449,0.00585,0.00895,0.0031
1.207407,1.14898,0.0061,0.00905,0.00295
1.207407,1.17551,0.0062,0.0091,0.0029
1.207407,1.202041,0.0065,0.0091,0.0026
1.207407,1.228571,0.00675,0.0091,0.00235
1.207407,1.255102,0.0072,0.0091,0.0019
1.207407,1.281633,0.0075,0.0091,0.0016
1.207407,1.308163,0.0076,0.0091,0.0015
1.207407,1.334694,0.0077,0.0091,0.0014
1.207407,1.361224,0.0078,0.0091,0.0013
1.207407,1.387755,0.00785,0.0091,0.00125
1.207407,1.414286,0.0079,0.0091,0.0012
1.207407,1.440816,0.0079,0.0091,0.0012
1.207407,1.467347,0.00805,0.0091,0.00105
1.207407,1.493878,0.00805,0.0091,0.00105
1.207407,1.520408,0.00805,0.0091,0.00105
1.207407,1.546939,0.00805,0.0091,0.00105
1.207407,1.573469,0.00805,0.0091,0.00105
1.207407,1.6,0.00805,0.0091,0.00105
1.248148,0.3,5e-05,0.0,-5e-05
1.248148,0.326531,5e-05,0.0,-5e-05
1.248148,0.353061,5e-05,0.0001,5e-05
1.248148,0.379592,5e-05,0.0001,5e-05
1.248148,0.406122,5e-05,0.0001,5e-05
1.248148,0.432653,5e-05,0.0003,0.00025
1.248148,0.459184,5e-05,0.00055,0.0005
1.248148,0.485714,5e-05,0.0006,0.00055
1.248148,0.512245,5e-05,0.0008,0.00075
1.248148,0.538776,5e-05,0.00115,0.0011
1.248148,0.565306,0.0001,0.00155,0.00145
1.248148,0.591837,0.00025,0.00195,0.0017
