Sample_ID,Batch_ID,Ramp_Rate_C_per_min,Hold_Temperature_C,Hold_Time_hours,Cooling_Rate_C_per_min,Applied_Pressure_MPa,Atmosphere,Initial_Relative_Density,Initial_Porosity_percent,Initial_Mean_Pore_Size_um,Final_Relative_Density,Final_Porosity_percent,Mean_Grain_Size_um,Grain_Size_Std_um,Grain_Size_D10_um,Grain_Size_D90_um,Mean_Pore_Size_um,Pore_Size_Std_um,Pore_Connectivity_percent,GB_Thickness_nm,GB_Energy_J_per_m2,GB_Phase_Coverage_percent,Coordination_Number,Thermal_Load_C_hours,Densification_Percent,Grain_Growth_Factor
SINT_046,2,7.3,1571.3,5.71,13.69,0,Vacuum,0.483,51.67,2.68,0.651,34.86,1.722,0.524,0.737,3.751,0.742,0.333,11.05,1.03,0.707,10.36,8.6,8.972123,16.8,3.44
SINT_047,2,4.49,1371.3,5.92,10.12,5,Nitrogen,0.598,40.24,0.57,0.705,29.51,1.11,0.351,0.562,2.261,0.286,0.163,6.99,1.43,0.673,10.46,9.3,8.118096,10.7,2.22
SINT_048,2,6.16,1586.7,4.64,11.15,10,Argon,0.467,53.34,2.56,0.655,34.46,1.588,0.784,0.766,2.83,0.597,0.377,14.15,1.0,0.658,9.73,8.3,7.3622879999999995,18.8,3.18
SINT_049,1,6.37,1585.4,2.57,12.47,25,Argon,0.571,42.94,0.82,0.71,29.04,1.161,0.417,0.545,2.435,0.251,0.138,10.01,1.6,0.62,4.13,9.1,4.074478,13.9,2.32
SINT_050,2,3.48,1541.2,0.96,8.98,5,Air,0.499,50.09,1.34,0.584,41.58,0.952,0.432,0.552,1.684,0.754,0.304,16.57,1.11,0.609,2.34,7.5,1.479552,8.5,1.9
SINT_051,1,9.76,1317.8,4.77,4.04,30,Air,0.528,47.21,2.36,0.631,36.88,0.715,0.304,0.289,1.517,1.526,0.615,14.84,0.6,0.745,9.54,7.3,6.285905999999999,10.3,1.43
SINT_052,4,8.2,1354.0,3.57,9.45,5,Nitrogen,0.508,49.23,0.9,0.613,38.68,0.982,0.37,0.523,1.637,0.549,0.278,14.04,1.68,0.727,8.99,8.2,4.83378,10.5,1.96
SINT_053,3,9.52,1540.5,2.83,10.04,10,Argon,0.521,47.89,2.54,0.649,35.06,1.208,0.412,0.716,2.444,1.046,0.709,13.14,0.93,0.794,2.69,8.2,4.359615,12.8,2.42
SINT_054,1,9.16,1326.8,5.48,11.95,5,Argon,0.594,40.62,2.58,0.68,32.03,0.948,0.307,0.485,1.825,1.743,0.817,11.51,1.15,0.774,10.58,8.3,7.270864,8.6,1.9
SINT_055,4,6.78,1267.8,1.11,8.18,10,Air,0.509,49.06,1.77,0.567,43.32,0.537,0.227,0.316,0.891,1.551,0.916,22.12,1.53,0.706,6.83,6.8,1.4072580000000001,5.8,1.07
SINT_056,1,9.37,1422.7,3.21,4.53,0,Argon,0.563,43.67,0.52,0.664,33.61,1.189,0.541,0.488,2.074,0.307,0.143,10.85,1.0,0.688,10.02,9.3,4.566867,10.1,2.38
SINT_057,1,2.71,1574.5,0.56,6.41,10,Vacuum,0.545,45.48,1.22,0.659,34.12,0.759,0.326,0.367,1.22,0.747,0.371,12.96,0.58,0.711,12.56,8.3,0.8817200000000001,11.4,1.52
SINT_058,3,3.57,1478.4,3.08,7.36,10,Air,0.583,41.73,2.04,0.692,30.75,1.134,0.46,0.512,2.133,0.997,0.652,8.57,1.06,0.8,2.55,9.3,4.553472000000001,10.9,2.27
SINT_059,5,2.36,1428.0,0.81,10.75,15,Nitrogen,0.637,36.26,2.95,0.701,29.95,0.599,0.185,0.327,1.067,1.902,1.177,10.73,1.92,0.635,0.29,8.8,1.1566800000000002,6.4,1.2
SINT_060,5,4.6,1238.9,1.15,9.85,10,Air,0.597,40.35,2.08,0.647,35.32,0.511,0.252,0.304,1.0,2.014,0.863,10.11,1.46,0.691,11.69,8.7,1.4247349999999999,5.0,1.02
SINT_061,1,5.11,1446.0,1.15,7.27,10,Argon,0.493,50.7,1.15,0.591,40.86,0.717,0.33,0.324,1.276,0.743,0.393,17.38,1.51,0.801,9.15,7.8,1.6628999999999998,9.8,1.43
SINT_062,2,4.17,1596.0,4.07,14.84,25,Nitrogen,0.456,54.38,2.09,0.66,34.01,1.252,0.449,0.664,2.228,0.456,0.186,12.31,1.45,0.671,10.49,9.5,6.49572,20.4,2.5
SINT_063,4,8.63,1256.0,4.6,10.27,0,Air,0.502,49.75,1.85,0.584,41.61,0.92,0.457,0.405,1.883,1.586,0.863,18.62,0.8,0.736,12.57,7.3,5.7776,8.2,1.84
SINT_064,2,4.85,1407.3,3.71,5.85,30,Vacuum,0.569,43.1,2.45,0.721,27.89,0.766,0.322,0.393,1.248,1.17,0.701,6.6,1.13,0.749,12.04,9.9,5.221082999999999,15.2,1.53
SINT_065,2,4.25,1550.9,5.79,4.22,15,Vacuum,0.46,53.97,0.77,0.673,32.7,1.491,0.621,0.735,3.193,0.161,0.07,12.57,1.63,0.537,14.41,8.8,8.979711000000002,21.3,2.98
SINT_066,1,6.34,1496.3,2.56,4.83,25,Air,0.549,45.07,2.4,0.662,33.8,0.942,0.424,0.56,1.989,0.922,0.449,9.96,0.65,0.689,8.04,9.2,3.8305279999999997,11.3,1.88
SINT_067,1,3.13,1478.8,2.07,5.95,20,Vacuum,0.569,43.06,1.85,0.713,28.68,0.929,0.429,0.484,1.858,0.938,0.487,8.63,0.92,0.712,7.33,9.1,3.0611159999999997,14.4,1.86
SINT_068,1,8.42,1481.0,5.28,4.93,0,Vacuum,0.517,48.32,2.91,0.666,33.42,1.383,0.597,0.65,2.706,1.141,0.771,9.93,0.91,0.741,6.03,9.0,7.81968,14.9,2.77
SINT_069,1,2.6,1343.8,1.73,5.24,0,Vacuum,0.604,39.58,1.35,0.684,31.58,0.773,0.252,0.327,1.651,1.115,0.778,9.21,1.15,0.695,2.31,8.8,2.3247739999999997,8.0,1.55
SINT_070,5,9.9,1317.4,5.8,6.42,20,Nitrogen,0.471,52.87,2.08,0.608,39.21,0.809,0.298,0.348,1.385,1.317,0.544,15.66,1.97,0.76,8.59,7.7,7.64092,13.7,1.62
SINT_071,1,8.18,1523.7,0.57,5.08,30,Vacuum,0.465,53.5,2.83,0.612,38.77,0.608,0.295,0.271,1.002,1.918,1.205,14.53,0.6,0.632,4.16,7.8,0.8685089999999999,14.7,1.22
SINT_072,5,3.59,1524.0,5.83,13.76,10,Vacuum,0.596,40.44,0.76,0.735,26.53,1.56,0.538,0.702,2.72,0.216,0.111,6.08,1.28,0.691,13.82,9.9,8.88492,13.9,3.12
SINT_073,5,2.04,1546.8,0.74,3.96,25,Vacuum,0.549,45.09,2.84,0.682,31.83,0.689,0.258,0.393,1.431,1.561,0.808,8.8,0.77,0.625,8.75,8.8,1.144632,13.3,1.38
SINT_074,1,8.52,1565.3,5.4,9.29,5,Nitrogen,0.588,41.23,2.22,0.726,27.43,1.725,0.667,0.884,2.796,0.537,0.336,7.28,1.96,0.643,8.89,9.7,8.452620000000001,13.8,3.45
SINT_075,3,7.65,1404.5,3.4,7.92,15,Air,0.537,46.3,0.67,0.648,35.2,0.927,0.36,0.468,1.807,0.369,0.249,13.67,0.67,0.674,5.32,9.2,4.7753000000000005,11.1,1.85
SINT_076,4,7.83,1400.6,5.96,14.79,5,Argon,0.499,50.07,1.25,0.643,35.68,1.236,0.522,0.523,2.716,0.596,0.408,14.76,1.11,0.757,0.78,8.8,8.347575999999998,14.4,2.47
SINT_077,2,8.17,1519.3,0.91,4.34,20,Vacuum,0.614,38.62,2.27,0.724,27.63,0.687,0.336,0.393,1.452,1.195,0.685,6.36,1.61,0.723,0.48,10.0,1.3825630000000002,11.0,1.37
SINT_078,5,2.59,1460.0,3.55,7.77,0,Air,0.61,39.01,0.67,0.69,31.03,1.28,0.446,0.697,2.448,0.312,0.158,9.22,1.56,0.691,6.35,8.8,5.183,8.0,2.56
SINT_079,4,4.87,1480.8,5.83,14.63,30,Vacuum,0.589,41.11,1.96,0.743,25.71,0.98,0.318,0.405,1.605,0.569,0.362,5.56,1.13,0.697,1.27,9.4,8.633064000000001,15.4,1.96
SINT_080,3,2.93,1518.3,3.38,13.39,0,Nitrogen,0.504,49.56,1.36,0.629,37.07,1.433,0.486,0.776,3.007,0.568,0.27,11.08,1.02,0.608,9.1,8.5,5.131854,12.5,2.87
SINT_081,2,8.9,1556.0,3.96,12.8,15,Air,0.568,43.2,2.05,0.682,31.83,1.368,0.653,0.696,2.681,0.596,0.339,10.78,1.1,0.652,13.21,9.3,6.16176,11.4,2.74
SINT_082,2,6.99,1335.2,4.33,6.09,0,Nitrogen,0.522,47.78,0.61,0.621,37.86,1.051,0.451,0.437,1.754,0.4,0.203,14.92,0.9,0.747,13.24,8.7,5.781416,9.9,2.1
SINT_083,5,4.65,1350.2,3.0,5.05,0,Vacuum,0.468,53.17,2.68,0.582,41.82,0.869,0.31,0.427,1.44,1.708,1.019,15.13,0.81,0.875,9.89,7.0,4.0506,11.4,1.74
SINT_084,1,2.51,1237.6,3.95,11.02,15,Vacuum,0.633,36.65,2.93,0.74,25.99,0.67,0.31,0.333,1.438,2.511,1.186,6.04,1.22,0.73,3.17,9.7,4.88852,10.7,1.34
SINT_085,3,4.49,1431.3,3.71,14.15,25,Nitrogen,0.477,52.26,2.92,0.63,36.99,0.849,0.401,0.368,1.7,1.234,0.564,11.08,0.9,0.786,12.94,7.3,5.310123,15.3,1.7
SINT_086,5,4.6,1214.4,5.46,9.68,25,Argon,0.64,36.0,2.37,0.724,27.58,0.628,0.295,0.37,1.317,2.03,1.371,8.62,0.93,0.844,13.29,9.4,6.630624000000001,8.4,1.26
SINT_087,3,7.84,1386.2,0.75,9.86,15,Nitrogen,0.539,46.08,0.83,0.623,37.72,0.528,0.256,0.301,1.124,0.658,0.283,16.93,1.49,0.744,2.95,8.5,1.0396500000000002,8.4,1.06
SINT_088,1,7.1,1417.1,2.05,6.36,30,Vacuum,0.487,51.3,2.4,0.626,37.39,0.716,0.251,0.382,1.392,1.286,0.71,11.94,1.95,0.807,11.06,7.8,2.9050549999999995,13.9,1.43
SINT_089,1,9.1,1314.6,5.73,12.23,20,Nitrogen,0.558,44.16,0.56,0.676,32.41,0.856,0.386,0.422,1.636,0.365,0.17,9.38,1.41,0.776,4.3,9.1,7.5326580000000005,11.8,1.71
SINT_090,5,5.78,1436.3,5.4,5.24,0,Argon,0.625,37.54,0.56,0.732,26.77,1.289,0.505,0.622,2.395,0.261,0.107,8.22,0.62,0.731,12.04,9.6,7.75602,10.7,2.58
SINT_091,1,2.96,1212.2,3.01,6.88,30,Nitrogen,0.596,40.36,1.31,0.682,31.8,0.491,0.23,0.26,0.879,1.184,0.486,11.84,0.61,0.793,14.96,9.1,3.648722,8.6,0.98
SINT_092,4,7.71,1214.9,3.91,8.11,0,Argon,0.611,38.87,1.72,0.675,32.47,0.769,0.343,0.391,1.431,1.699,0.769,10.2,1.93,0.856,0.45,8.2,4.750259000000001,6.4,1.54
SINT_093,2,8.09,1529.0,2.03,9.09,20,Argon,0.582,41.82,2.43,0.716,28.4,0.97,0.442,0.4,2.002,1.038,0.685,6.62,0.95,0.731,13.46,9.5,3.1038699999999997,13.4,1.94
SINT_094,5,6.49,1344.1,1.53,5.91,25,Nitrogen,0.588,41.15,2.21,0.687,31.28,0.57,0.246,0.287,1.118,1.7,0.824,7.98,0.64,0.715,9.34,7.5,2.056473,9.9,1.14
SINT_095,3,8.17,1250.8,3.05,4.38,30,Nitrogen,0.62,38.02,1.61,0.711,28.91,0.578,0.194,0.324,1.234,1.281,0.878,8.6,1.4,0.715,14.6,9.3,3.8149399999999996,9.1,1.16
SINT_096,4,5.95,1408.9,2.44,10.33,10,Air,0.5,50.01,1.18,0.6,39.98,0.893,0.365,0.439,1.666,0.715,0.411,15.3,1.44,0.712,6.98,6.8,3.4377160000000004,10.0,1.79
SINT_097,5,6.18,1508.0,3.71,6.46,10,Vacuum,0.548,45.21,2.99,0.699,30.14,1.332,0.662,0.547,2.616,1.149,0.61,7.37,1.47,0.644,12.71,9.8,5.59468,15.1,2.66
SINT_098,1,5.42,1286.3,0.93,9.97,10,Argon,0.494,50.58,1.57,0.556,44.44,0.552,0.269,0.308,1.093,1.309,0.751,20.41,0.9,0.764,0.94,7.3,1.196259,6.2,1.1
SINT_099,1,2.2,1449.2,5.86,4.85,25,Air,0.648,35.25,1.63,0.749,25.08,1.0,0.309,0.44,1.955,0.487,0.271,5.06,0.52,0.768,5.03,10.2,8.492312,10.1,2.0
SINT_100,1,2.86,1234.1,5.92,8.77,25,Nitrogen,0.639,36.12,0.91,0.719,28.11,0.732,0.244,0.331,1.479,0.802,0.503,8.81,1.95,0.764,1.01,10.3,7.305871999999999,8.0,1.46
SINT_101,1,2.25,1220.7,4.34,9.39,20,Vacuum,0.458,54.21,2.49,0.586,41.41,0.608,0.198,0.263,1.059,2.411,1.169,15.82,0.88,0.79,14.63,6.9,5.297838,12.8,1.22
SINT_102,3,7.09,1412.5,3.45,3.62,0,Air,0.591,40.89,2.23,0.674,32.63,1.165,0.519,0.543,2.222,1.19,0.602,8.69,1.51,0.723,12.25,9.7,4.873125,8.3,2.33
SINT_103,4,4.51,1416.3,2.2,7.04,20,Argon,0.635,36.5,1.05,0.72,27.97,0.766,0.355,0.422,1.274,0.607,0.406,8.1,1.56,0.761,12.79,10.0,3.11586,8.5,1.53
SINT_104,2,6.07,1455.0,4.98,4.61,20,Air,0.486,51.39,0.71,0.641,35.9,1.143,0.392,0.576,2.093,0.248,0.17,12.36,1.42,0.592,14.07,8.1,7.245900000000001,15.5,2.29
SINT_105,3,9.26,1490.4,4.27,3.76,25,Argon,0.564,43.64,2.2,0.718,28.25,1.097,0.44,0.484,2.076,0.745,0.498,9.49,0.97,0.661,1.28,10.0,6.364008,15.4,2.19
SINT_106,3,3.99,1590.3,1.39,14.88,10,Nitrogen,0.633,36.69,2.14,0.741,25.87,1.138,0.533,0.655,2.267,0.938,0.493,6.81,0.91,0.664,5.78,9.3,2.210517,10.8,2.28
SINT_107,2,5.28,1406.5,5.51,6.87,5,Vacuum,0.457,54.32,1.18,0.617,38.35,1.253,0.56,0.722,2.72,0.594,0.377,13.38,1.4,0.783,1.07,7.5,7.749815,16.0,2.51
SINT_108,2,8.04,1329.2,5.02,12.72,0,Vacuum,0.589,41.05,2.88,0.709,29.13,1.018,0.416,0.584,1.995,1.784,0.969,9.2,1.8,0.727,3.16,9.0,6.672584,12.0,2.04
SINT_109,1,3.83,1518.1,5.72,6.06,25,Vacuum,0.509,49.05,0.88,0.687,31.3,1.116,0.466,0.499,2.282,0.205,0.113,8.9,1.92,0.587,3.44,8.7,8.683532,17.8,2.23
SINT_110,3,2.62,1308.3,4.49,11.18,10,Nitrogen,0.635,36.51,1.58,0.73,26.98,0.863,0.347,0.423,1.644,0.987,0.455,8.46,0.66,0.79,7.04,9.2,5.874267,9.5,1.73
SINT_111,5,4.32,1375.6,3.87,12.12,30,Argon,0.644,35.58,2.86,0.738,26.22,0.707,0.254,0.422,1.401,1.344,0.776,6.53,0.73,0.702,4.03,10.4,5.323572,9.4,1.41
SINT_112,2,3.29,1231.4,2.8,10.15,5,Nitrogen,0.639,36.11,1.55,0.709,29.15,0.71,0.293,0.394,1.167,1.431,0.652,8.66,1.92,0.729,1.51,9.2,3.44792,7.0,1.42
SINT_113,2,9.44,1210.1,5.63,8.66,5,Vacuum,0.545,45.52,2.1,0.644,35.58,0.794,0.348,0.322,1.392,1.925,0.961,10.39,1.6,0.765,2.51,8.5,6.812862999999999,9.9,1.59
SINT_114,4,8.46,1585.1,5.26,7.94,25,Nitrogen,0.622,37.76,1.49,0.778,22.22,1.435,0.681,0.593,2.607,0.304,0.2,4.79,1.82,0.646,2.21,10.2,8.337625999999998,15.6,2.87
SINT_115,5,7.07,1534.4,0.75,7.19,15,Nitrogen,0.619,38.11,1.19,0.723,27.72,0.778,0.332,0.383,1.465,0.65,0.3,8.71,0.8,0.644,14.6,8.7,1.1508000000000003,10.4,1.56
SINT_116,5,8.97,1478.4,0.65,14.15,0,Nitrogen,0.514,48.62,2.96,0.591,40.95,0.804,0.364,0.468,1.309,2.065,0.87,18.82,1.38,0.585,11.39,7.6,0.96096,7.7,1.61
SINT_117,2,8.43,1363.6,2.57,12.97,5,Argon,0.616,38.42,1.52,0.696,30.37,0.823,0.273,0.418,1.386,0.975,0.41,8.21,1.55,0.784,14.52,8.2,3.5044519999999997,8.0,1.65
SINT_118,1,3.49,1269.3,4.96,14.58,25,Air,0.457,54.26,2.74,0.587,41.28,0.737,0.289,0.368,1.301,1.851,1.263,15.17,1.52,0.838,6.6,7.4,6.295728,13.0,1.47
SINT_119,4,9.14,1262.6,5.93,4.49,25,Air,0.569,43.07,1.07,0.667,33.28,0.774,0.234,0.326,1.69,0.747,0.412,12.48,1.11,0.809,4.18,8.0,7.487217999999999,9.8,1.55
SINT_120,5,6.31,1300.1,1.33,11.77,10,Nitrogen,0.496,50.4,1.03,0.582,41.76,0.597,0.209,0.317,1.074,0.839,0.439,20.44,0.52,0.706,11.97,8.3,1.729133,8.6,1.19
