country,date,year,quarter,year_quarter,cyber_incidents_reported,google_trend_mobile_fraud,data_breach_severity_index,phishing_attempts_per_1000_users,social_media_sentiment_score,consumer_trust_index,net_promoter_score,customer_complaint_rate,herfindahl_hirschman_index,new_fintech_licenses_issued,market_entry_rate,innovation_index,system_interconnectedness_score,regulatory_compliance_score,operational_risk_index,liquidity_risk_indicator,tech_maturity_score,market_size_score,regulatory_strength_score,composite_cyber_risk,market_health_score,risk_adjusted_growth_potential,cyber_incidents_reported_yoy_change,consumer_trust_index_yoy_change,herfindahl_hirschman_index_yoy_change,new_fintech_licenses_issued_yoy_change
Kenya,2021-03-31,2021,1,2021-Q1,19,62.4,5.38,0.98,50.7,98.3,51.8,2.5,1039.0,16,9.42,58.8,64.3,70.9,1.1,0.048,85.0,80.0,90.0,29.409999999999997,79.4025,57.61504,137.5,20.910209102091027,-26.46850672328379,77.77777777777777
Kenya,2021-06-30,2021,2,2021-Q2,7,49.1,4.02,0.32,63.4,75.3,48.2,0.86,885.0,0,5.78,70.9,51.6,54.4,1.0,0.098,85.0,80.0,90.0,16.3775,72.9375,55.202400000000004,-75.86206896551724,-4.683544303797471,-42.82945736434108,-100.0
Kenya,2021-09-30,2021,3,2021-Q3,8,47.3,4.32,0.69,54.3,97.2,71.1,1.2,1278.0,4,5.32,60.1,56.0,69.9,1.0,0.0,85.0,80.0,90.0,19.4325,78.605,61.2,700.0,5.882352941176472,-10.5668299510147,0.0
Kenya,2021-12-31,2021,4,2021-Q4,1,51.4,2.88,0.93,28.4,98.3,100.0,1.34,1377.0,0,9.62,55.4,55.4,69.2,1.0,0.024,85.0,80.0,90.0,13.635,77.2825,59.7312,0.0,3.039832285115285,-1.7130620985010725,-100.0
Kenya,2022-03-31,2022,1,2022-Q1,10,42.9,3.43,0.55,56.8,100.0,73.1,1.77,1059.0,12,6.85,64.3,57.5,64.0,1.0,0.158,85.0,80.0,90.0,17.3975,79.4275,51.5304,-47.36842105263158,1.729399796541209,1.9249278152069227,-25.0
Kenya,2022-06-30,2022,2,2022-Q2,8,57.1,5.41,0.54,44.5,86.8,52.0,2.64,1034.0,0,6.25,73.5,54.6,57.5,2.1,0.061,85.0,80.0,90.0,21.6525,76.865,50.44308,14.28571428571428,15.272244355909702,16.836158192090387,
Kenya,2022-09-30,2022,3,2022-Q3,17,55.1,4.23,1.12,41.9,93.1,83.7,1.18,996.0,16,6.79,68.8,51.1,70.4,1.0,0.125,85.0,80.0,90.0,26.052500000000002,80.58500000000001,53.550000000000004,112.5,-4.218106995884785,-22.065727699530512,300.0
Kenya,2022-12-31,2022,4,2022-Q4,21,51.7,5.1,1.8,61.6,100.0,48.1,1.15,1006.0,17,7.76,58.5,51.8,57.6,2.21,0.015,85.0,80.0,90.0,33.542500000000004,76.51,52.17742,2000.0,1.729399796541209,-26.942628903413212,inf
Kenya,2023-03-31,2023,1,2023-Q1,10,53.1,4.45,0.78,38.5,94.5,75.1,0.82,1251.0,0,10.27,63.9,44.4,73.9,1.0,0.187,85.0,80.0,90.0,21.3525,79.9475,49.7556,0.0,-5.500000000000005,18.130311614730886,-100.0
Kenya,2023-06-30,2023,2,2023-Q2,8,42.4,5.29,0.62,46.5,86.6,62.7,4.0,1365.0,6,7.45,74.5,51.7,70.9,1.46,0.035,85.0,80.0,90.0,21.385,79.5875,56.03948,0.0,-0.23041474654378336,32.01160541586074,inf
Kenya,2023-09-30,2023,3,2023-Q3,18,79.3,4.15,0.74,42.5,100.0,53.2,0.92,1196.0,6,6.8,72.7,54.4,78.0,2.18,0.0,85.0,80.0,90.0,25.0575,84.685,53.176,5.882352941176472,7.411385606874332,20.080321285140567,-62.5
Kenya,2023-12-31,2023,4,2023-Q4,11,27.2,8.05,1.65,43.3,91.7,67.0,1.18,801.0,19,5.31,66.5,51.1,63.4,1.0,0.092,85.0,80.0,90.0,34.555,78.3975,55.5696,-47.61904761904761,-8.299999999999997,-20.37773359840954,11.764705882352944
Kenya,2024-03-31,2024,1,2024-Q1,11,48.8,6.07,0.43,55.0,100.0,62.6,1.8,941.0,15,9.01,85.3,61.3,64.3,1.0,0.003,85.0,80.0,90.0,24.044999999999998,85.0475,61.016400000000004,10.000000000000009,5.820105820105814,-24.780175859312546,inf
Kenya,2024-06-30,2024,2,2024-Q2,1,56.8,7.35,0.91,40.4,92.0,37.0,1.25,1272.0,6,11.85,75.7,67.3,52.0,1.0,0.024,85.0,80.0,90.0,24.845000000000002,76.745,59.7312,-87.5,6.235565819861444,-6.813186813186811,0.0
Kenya,2024-09-30,2024,3,2024-Q3,19,64.0,3.14,0.44,48.8,87.6,48.7,2.93,752.0,6,8.14,71.5,42.8,58.5,1.0,0.011,85.0,80.0,90.0,21.15,77.52,60.5268,5.555555555555558,-12.400000000000011,-37.12374581939799,0.0
Nigeria,2018-03-31,2018,1,2018-Q1,7,56.6,5.96,1.3,22.3,81.0,44.8,4.6,1592.0,2,2.81,26.4,68.7,46.5,1.0,0.0,75.0,95.0,70.0,26.315,59.495,64.125,,,,
Nigeria,2018-06-30,2018,2,2018-Q2,6,71.0,4.42,1.63,60.4,88.5,55.9,3.69,1430.0,0,2.55,25.7,38.5,40.3,3.78,0.178,75.0,95.0,70.0,23.975,60.05,36.428985000000004,,,,
Nigeria,2018-09-30,2018,3,2018-Q3,13,94.0,7.42,1.18,19.5,78.3,29.4,3.93,1330.0,2,4.27,42.5,41.4,47.1,1.0,0.027,75.0,95.0,70.0,33.3,63.65,62.393625,,,,
Nigeria,2018-12-31,2018,4,2018-Q4,1,49.6,4.6,0.6,5.1,85.6,59.3,4.86,1575.0,2,5.37,32.7,46.0,55.0,1.0,0.144,75.0,95.0,70.0,16.240000000000002,64.3875,54.891,,,,
Nigeria,2019-03-31,2019,1,2019-Q1,8,47.2,3.19,0.85,25.9,78.0,19.1,3.68,1737.0,0,10.09,27.6,43.5,45.7,1.0,0.166,75.0,95.0,70.0,17.405,58.4825,53.48025,14.28571428571428,-3.703703703703709,9.108040201005018,-100.0
Nigeria,2019-06-30,2019,2,2019-Q2,21,32.2,4.35,1.83,34.5,75.9,40.2,3.63,1532.0,2,3.49,50.8,41.8,46.4,2.07,0.193,75.0,95.0,70.0,31.33,64.445,45.59650875,250.0,-14.237288135593218,7.132867132867138,inf
Nigeria,2019-09-30,2019,3,2019-Q3,7,54.8,7.32,1.35,10.7,73.0,6.4,4.12,1478.0,3,4.36,54.5,53.9,49.8,1.0,0.119,75.0,95.0,70.0,29.92,65.63,56.494125,-46.15384615384615,-6.76883780332056,11.127819548872186,50.0
Nigeria,2019-12-31,2019,4,2019-Q4,18,64.1,5.28,0.98,41.0,82.0,40.7,3.07,1614.0,0,8.02,51.5,41.5,55.6,3.18,0.046,75.0,95.0,70.0,28.7025,68.24000000000001,46.35724499999999,1700.0,-4.2056074766355085,2.4761904761904763,-100.0
Nigeria,2020-03-31,2020,1,2020-Q1,1,70.5,4.52,1.14,45.5,89.7,35.0,3.09,1575.0,0,5.49,57.1,36.1,30.4,1.52,0.354,75.0,95.0,70.0,19.2625,65.3625,39.03132,-87.5,15.000000000000014,-9.32642487046632,
Nigeria,2020-06-30,2020,2,2020-Q2,7,86.0,6.79,1.78,24.0,85.7,81.8,3.18,1774.0,10,10.39,55.2,39.1,47.9,2.86,0.032,75.0,95.0,70.0,31.525,67.765,49.24457999999999,-66.66666666666667,12.9117259552042,15.796344647519579,400.0
Nigeria,2020-09-30,2020,3,2020-Q3,1,44.2,3.42,0.89,29.9,87.2,74.9,3.19,1326.0,0,3.22,49.7,44.9,38.4,2.46,0.074,75.0,95.0,70.0,14.605,65.50999999999999,49.747035000000004,-85.71428571428572,19.452054794520546,-10.284167794316645,-100.0
Nigeria,2020-12-31,2020,4,2020-Q4,9,44.2,6.68,2.12,29.8,73.6,74.1,2.62,1487.0,3,5.39,54.0,70.7,40.1,3.33,0.0,75.0,95.0,70.0,32.905,63.207499999999996,47.52375,-50.0,-10.2439024390244,-7.86864931846345,inf
Nigeria,2021-03-31,2021,1,2021-Q1,9,42.0,6.21,0.6,18.7,76.6,23.2,2.54,1811.0,0,7.65,66.4,52.2,40.0,1.0,0.139,75.0,95.0,70.0,24.075,66.2225,55.211625,800.0,-14.604236343366782,14.984126984126988,
Nigeria,2021-06-30,2021,2,2021-Q2,8,56.1,5.34,1.14,35.4,85.1,77.3,2.71,1245.0,0,2.59,72.6,32.6,42.5,3.22,0.0,75.0,95.0,70.0,24.452499999999997,71.9375,48.3075,14.28571428571428,-0.7001166861143604,-29.819616685456594,-100.0
Nigeria,2021-09-30,2021,3,2021-Q3,1,40.7,8.53,0.9,15.8,79.0,58.1,4.05,1425.0,4,6.71,39.1,31.5,54.9,1.51,0.072,75.0,95.0,70.0,27.3425,64.6875,56.13588,0.0,-9.403669724770648,7.466063348416285,inf
Nigeria,2021-12-31,2021,4,2021-Q4,20,35.6,6.73,0.9,44.0,87.4,60.0,3.32,1613.0,4,5.93,65.6,48.8,30.0,1.0,0.11,75.0,95.0,70.0,32.215,66.7175,57.07125,122.22222222222223,18.75000000000002,8.473436449226623,33.33333333333333
Nigeria,2022-03-31,2022,1,2022-Q1,10,37.3,4.7,0.72,24.2,92.4,49.3,3.45,1929.0,11,5.25,59.9,70.6,48.2,2.97,0.02,75.0,95.0,70.0,21.2825,70.30250000000001,49.086974999999995,11.111111111111116,20.626631853785927,6.515737161789059,inf
Nigeria,2022-06-30,2022,2,2022-Q2,1,62.9,5.4,0.84,28.0,98.7,83.7,3.93,1275.0,4,3.03,71.4,31.8,47.2,2.85,0.102,75.0,95.0,70.0,19.7725,76.1375,45.7474875,-87.5,15.981198589894262,2.4096385542168752,inf
Nigeria,2022-09-30,2022,3,2022-Q3,26,53.6,6.85,0.84,38.8,86.2,58.4,4.76,1118.0,0,4.55,71.8,44.6,54.5,1.29,0.093,75.0,95.0,70.0,35.665,75.33,56.28728625,2500.0,9.113924050632916,-21.54385964912281,-100.0
Nigeria,2022-12-31,2022,4,2022-Q4,11,61.9,5.21,0.63,24.4,95.1,63.7,2.63,1386.0,10,8.61,65.3,31.5,53.7,2.32,0.095,75.0,95.0,70.0,23.222499999999997,75.06,49.5216,-44.99999999999999,8.810068649885562,-14.073155610663356,150.0
Nigeria,2023-03-31,2023,1,2023-Q1,22,52.9,8.01,0.83,44.3,87.6,31.2,3.55,992.0,0,6.43,55.7,34.9,40.6,1.0,0.0,75.0,95.0,70.0,36.497499999999995,68.495,64.125,120.00000000000001,-5.194805194805207,-48.5743908761016,-100.0
Nigeria,2023-06-30,2023,2,2023-Q2,9,58.3,4.66,1.56,34.9,90.8,44.4,6.91,1406.0,0,7.52,69.9,47.9,68.6,1.0,0.037,75.0,95.0,70.0,25.407500000000002,78.81,61.752375,800.0,-8.004052684903751,10.274509803921571,-100.0
Nigeria,2023-09-30,2023,3,2023-Q3,1,69.2,4.97,0.72,49.9,81.1,34.2,3.83,1409.0,0,7.75,51.1,60.5,63.4,1.0,0.051,75.0,95.0,70.0,18.255,70.3775,60.854625,-96.15384615384616,-5.916473317865433,26.028622540250446,
Nigeria,2023-12-31,2023,4,2023-Q4,58,58.3,4.7,0.73,44.8,78.4,30.0,2.35,1299.0,5,7.46,79.4,70.3,44.8,1.0,0.194,75.0,95.0,70.0,45.857499999999995,72.4025,51.68475,427.27272727272725,-17.560462670872756,-6.277056277056281,-50.0
Nigeria,2024-03-31,2024,1,2024-Q1,23,64.7,6.36,1.04,44.5,90.3,76.5,3.03,1520.0,7,6.91,60.4,38.1,53.0,1.88,0.13,75.0,95.0,70.0,34.2175,72.125,50.333850000000005,4.545454545454541,3.082191780821919,53.2258064516129,inf
Nigeria,2024-06-30,2024,2,2024-Q2,9,73.5,3.67,2.49,23.0,92.5,73.5,3.54,1704.0,0,8.31,85.7,44.0,51.2,2.16,0.109,75.0,95.0,70.0,27.962500000000002,78.09,49.77126,0.0,1.8722466960352513,21.194879089615924,
Nigeria,2024-09-30,2024,3,2024-Q3,1,64.0,6.51,0.54,47.6,78.7,45.0,2.41,1116.0,6,8.7,66.0,43.7,32.7,2.35,0.198,75.0,95.0,70.0,21.075,66.56,43.7140125,0.0,-2.95930949445129,-20.794889992902764,inf
South Africa,2018-03-31,2018,1,2018-Q1,8,30.6,5.18,0.99,25.1,91.0,65.2,2.54,1250.0,0,5.98,45.2,72.5,50.9,1.0,0.0,90.0,85.0,85.0,22.665,68.64999999999999,68.85000000000001,,,,
South Africa,2018-06-30,2018,2,2018-Q2,21,30.4,7.62,1.2,40.8,85.5,57.2,2.96,1299.0,7,5.26,54.6,53.1,71.0,1.0,0.225,90.0,85.0,85.0,36.31,74.5275,53.35875000000001,,,,
South Africa,2018-09-30,2018,3,2018-Q3,1,38.1,5.43,0.64,44.5,80.8,39.6,1.46,949.0,0,4.15,24.5,38.2,65.6,1.68,0.088,90.0,85.0,85.0,18.2275,65.35249999999999,58.04697600000001,,,,
South Africa,2018-12-31,2018,4,2018-Q4,9,34.7,5.38,0.34,60.4,86.2,62.2,1.44,1666.0,0,3.49,50.4,51.3,58.8,1.0,0.0,90.0,85.0,85.0,20.5175,69.685,68.85000000000001,,,,
South Africa,2019-03-31,2019,1,2019-Q1,1,76.3,6.41,1.01,31.8,83.2,53.9,2.63,1132.0,0,9.06,54.8,57.9,65.0,1.0,0.154,90.0,85.0,85.0,23.482499999999998,72.92,58.2471,-87.5,-8.571428571428562,-9.440000000000005,
South Africa,2019-06-30,2019,2,2019-Q2,7,51.1,6.88,1.05,57.9,81.6,73.4,1.47,1314.0,0,4.32,47.6,50.8,62.9,1.28,0.0,90.0,85.0,85.0,27.2275,69.74,66.708,-66.66666666666667,-4.561403508771933,1.1547344110854452,-100.0
South Africa,2019-09-30,2019,3,2019-Q3,15,35.4,6.58,3.0,37.9,88.4,66.8,1.44,1052.0,0,5.29,37.0,58.0,64.7,1.0,0.202,90.0,85.0,85.0,39.835,69.895,54.94230000000001,1400.0,9.405940594059414,10.853530031612223,
South Africa,2019-12-31,2019,4,2019-Q4,9,52.9,7.02,0.49,36.8,100.0,50.5,2.25,1124.0,3,8.95,68.8,47.7,62.7,1.24,0.071,90.0,85.0,85.0,25.822499999999994,80.065,62.256006,0.0,16.009280742459396,-32.53301320528211,inf
South Africa,2020-03-31,2020,1,2020-Q1,1,54.4,5.01,0.54,43.6,85.2,64.4,1.78,651.0,4,6.93,55.4,62.1,49.5,2.16,0.0,90.0,85.0,85.0,17.084999999999997,70.89750000000001,59.976,0.0,2.4038461538461453,-42.49116607773852,inf
South Africa,2020-06-30,2020,2,2020-Q2,1,48.9,6.17,0.33,17.6,90.6,57.0,1.6,1450.0,8,8.06,69.7,66.1,58.8,1.04,0.175,90.0,85.0,85.0,18.7975,76.15,56.54879999999999,-85.71428571428572,11.029411764705888,10.350076103500761,inf
South Africa,2020-09-30,2020,3,2020-Q3,8,44.8,4.62,0.23,46.2,89.3,69.9,1.67,1169.0,4,6.84,63.3,52.7,68.2,1.0,0.339,90.0,85.0,85.0,17.82,77.2775,45.50985000000001,-46.666666666666664,1.0180995475113086,11.12167300380229,inf
South Africa,2020-12-31,2020,4,2020-Q4,10,35.7,6.42,0.76,33.0,100.0,72.1,2.45,1211.0,13,8.67,63.1,49.5,60.0,1.0,0.09,90.0,85.0,85.0,25.742500000000003,77.7475,62.65350000000001,11.111111111111116,0.0,7.740213523131678,333.3333333333333
South Africa,2021-03-31,2021,1,2021-Q1,10,33.5,7.9,0.73,42.6,83.6,49.4,3.3,1216.0,11,6.44,70.9,65.9,49.7,1.4,0.115,90.0,85.0,85.0,29.237499999999997,73.01,58.224149999999995,900.0,-1.8779342723004744,86.78955453149003,175.0
South Africa,2021-06-30,2021,2,2021-Q2,17,51.7,3.91,0.2,29.0,78.4,66.6,1.73,963.0,4,4.53,56.5,55.7,53.9,2.13,0.198,90.0,85.0,85.0,20.567500000000003,69.7925,48.284811000000005,1600.0,-13.465783664459153,-33.58620689655173,-50.0
South Africa,2021-09-30,2021,3,2021-Q3,9,50.8,7.14,0.53,26.4,77.1,56.1,2.16,1603.0,19,8.83,66.5,55.0,59.0,1.0,0.017,90.0,85.0,85.0,26.269999999999996,71.6425,67.67955,12.5,-13.661814109742442,37.125748502994014,375.0
South Africa,2021-12-31,2021,4,2021-Q4,11,35.2,3.79,1.01,21.5,93.8,88.5,1.52,1251.0,5,8.6,55.3,55.1,48.8,1.0,0.077,90.0,85.0,85.0,20.905,71.3475,63.54855000000001,10.000000000000009,-6.2000000000000055,3.303055326176718,-61.53846153846154
South Africa,2022-03-31,2022,1,2022-Q1,11,49.8,6.28,1.02,35.2,91.5,69.4,2.1,1107.0,12,8.68,53.3,65.5,57.1,1.0,0.12,90.0,85.0,85.0,27.545,72.70750000000001,60.58800000000001,10.000000000000009,9.449760765550241,-8.963815789473683,9.090909090909083
South Africa,2022-06-30,2022,2,2022-Q2,1,39.3,6.79,1.06,59.6,84.7,55.7,1.76,905.0,5,9.14,71.6,52.1,58.5,1.0,0.03,90.0,85.0,85.0,23.757500000000004,76.4375,66.78450000000001,-94.11764705882352,8.03571428571428,-6.022845275181721,25.0
South Africa,2022-09-30,2022,3,2022-Q3,19,72.1,2.92,0.54,33.7,100.0,100.0,2.32,933.0,5,8.66,63.4,37.8,64.0,1.0,0.0,90.0,85.0,85.0,21.3025,79.51750000000001,68.85000000000001,111.11111111111111,29.70168612191959,-41.796631316281974,-73.6842105263158
South Africa,2022-12-31,2022,4,2022-Q4,11,38.9,5.5,1.01,44.4,79.6,49.4,1.89,1193.0,0,10.7,57.9,70.7,62.9,1.0,0.039,90.0,85.0,85.0,25.2725,72.11749999999999,66.16485,0.0,-15.138592750533054,-4.63629096722622,-100.0
South Africa,2023-03-31,2023,1,2023-Q1,24,35.5,6.39,0.58,41.3,85.2,41.8,2.2,1256.0,14,6.25,68.1,66.1,60.6,3.98,0.084,90.0,85.0,85.0,31.762499999999996,75.335,42.184548,118.18181818181816,-6.885245901639337,13.459801264679317,16.666666666666675
South Africa,2023-06-30,2023,2,2023-Q2,1,42.5,5.99,1.07,49.9,100.0,63.2,1.18,725.0,12,6.41,50.9,57.9,79.4,1.0,0.129,90.0,85.0,85.0,21.887500000000003,80.7625,59.96835000000001,0.0,18.063754427390787,-19.889502762430944,140.0
South Africa,2023-09-30,2023,3,2023-Q3,20,43.9,7.2,1.25,45.8,95.7,58.5,1.15,1172.0,6,6.73,86.9,54.5,60.9,1.0,0.065,90.0,85.0,85.0,35.3475,82.945,64.37475,5.263157894736836,-4.299999999999993,25.616291532690248,19.999999999999996
South Africa,2023-12-31,2023,4,2023-Q4,37,40.7,6.24,0.55,32.8,91.1,52.4,1.08,918.0,0,9.11,80.3,53.3,63.4,1.0,0.0,90.0,85.0,85.0,37.8675,81.40499999999999,68.85000000000001,236.36363636363637,14.447236180904532,-23.05113160100587,
South Africa,2024-03-31,2024,1,2024-Q1,12,32.4,6.35,0.68,34.2,97.2,60.4,6.3,925.0,0,8.06,72.1,50.3,53.8,1.0,0.0,90.0,85.0,85.0,26.085,78.46249999999999,68.85000000000001,-50.0,14.084507042253524,-26.35350318471338,-100.0
South Africa,2024-06-30,2024,2,2024-Q2,1,53.0,5.45,1.04,28.9,100.0,82.5,1.57,1378.0,0,9.11,87.4,48.9,50.1,2.31,0.013,90.0,85.0,85.0,20.65,80.93,58.0637295,0.0,0.0,90.06896551724137,-100.0
South Africa,2024-09-30,2024,3,2024-Q3,21,42.0,1.56,0.21,53.2,88.2,58.9,1.24,678.0,0,7.57,78.4,34.4,76.0,1.0,0.041,90.0,85.0,85.0,16.5,83.95500000000001,66.02715,5.000000000000004,-7.836990595611281,-42.15017064846417,-100.0
Ghana,2018-03-31,2018,1,2018-Q1,5,20.6,5.08,0.85,44.0,77.6,31.4,3.63,1933.0,1,3.47,45.4,56.1,62.2,1.91,0.155,70.0,65.0,75.0,19.965,66.4675,31.104027499999997,,,,
Ghana,2018-06-30,2018,2,2018-Q2,4,37.3,5.84,1.27,49.7,80.7,40.6,2.51,1746.0,0,1.09,27.7,54.0,47.2,1.0,0.129,70.0,65.0,75.0,23.8825,59.535,35.66745,,,,
Ghana,2018-09-30,2018,3,2018-Q3,1,59.5,4.69,1.32,39.9,73.9,14.5,2.64,1994.0,0,6.59,44.3,46.6,69.8,1.0,0.168,70.0,65.0,75.0,20.312500000000004,67.015,34.0704,,,,
Ghana,2018-12-31,2018,4,2018-Q4,16,63.5,7.36,0.67,35.8,78.6,33.9,2.94,1421.0,2,3.64,37.2,45.1,59.0,2.79,0.017,70.0,65.0,75.0,31.337500000000006,65.1475,32.2478065,,,,
Ghana,2019-03-31,2019,1,2019-Q1,16,51.8,8.16,1.52,39.4,86.4,39.1,3.13,1763.0,5,4.04,40.4,50.1,57.1,1.55,0.0,70.0,65.0,75.0,37.295,66.56750000000001,38.4475,220.00000000000003,11.340206185567038,-8.794619762027933,400.0
Ghana,2019-06-30,2019,2,2019-Q2,13,27.1,5.87,1.02,38.4,83.9,70.2,2.49,1781.0,2,6.03,33.2,54.9,49.1,1.89,0.0,70.0,65.0,75.0,26.9525,62.097500000000004,36.900499999999994,225.0,3.9653035935563796,2.004581901489111,inf
Ghana,2019-09-30,2019,3,2019-Q3,9,73.7,4.84,1.0,16.7,72.3,26.7,4.37,1467.0,4,5.7,47.1,25.0,64.2,4.02,0.0,70.0,65.0,75.0,23.4425,67.2325,27.209000000000003,800.0,-2.165087956698253,-26.429287863590766,inf
Ghana,2019-12-31,2019,4,2019-Q4,1,32.9,7.64,1.39,33.3,74.8,70.4,2.32,1556.0,2,8.79,57.1,52.2,57.2,2.67,0.02,70.0,65.0,75.0,27.3725,68.385,32.68447,-93.75,-4.834605597964369,9.500351864883893,0.0
Ghana,2020-03-31,2020,1,2020-Q1,5,53.4,5.07,1.37,41.3,87.3,14.3,2.38,1760.0,0,3.12,44.9,46.8,41.6,1.78,0.133,70.0,65.0,75.0,23.360000000000003,64.05,32.426667,-68.75,1.0416666666666519,-0.1701644923425949,-100.0
Ghana,2020-06-30,2020,2,2020-Q2,4,50.8,6.14,0.86,28.4,90.8,89.5,2.39,1893.0,2,3.9,55.2,23.0,53.9,3.05,0.056,70.0,65.0,75.0,22.92,70.24249999999999,29.85164,-69.23076923076923,8.224076281287228,6.288601909039859,0.0
Ghana,2020-09-30,2020,3,2020-Q3,5,53.3,7.84,0.93,32.2,96.6,94.8,3.61,1477.0,0,3.11,51.7,49.7,62.3,1.35,0.055,70.0,65.0,75.0,28.082500000000003,73.9575,37.1928375,-44.44444444444444,33.60995850622406,0.6816632583503734,-100.0
Ghana,2020-12-31,2020,4,2020-Q4,1,61.6,5.42,0.74,41.9,76.3,61.9,2.19,1498.0,3,5.45,38.7,24.4,44.3,1.87,0.084,70.0,65.0,75.0,19.29,61.08,33.884214,0.0,2.0053475935828846,-3.7275064267352165,50.0
Ghana,2021-03-31,2021,1,2021-Q1,12,32.9,4.96,1.26,22.0,87.6,36.4,5.67,2020.0,4,3.92,43.1,44.0,61.7,1.0,0.081,70.0,65.0,75.0,25.5225,68.05,37.633050000000004,140.0,0.3436426116838476,14.77272727272727,inf
Ghana,2021-06-30,2021,2,2021-Q2,10,62.1,8.47,0.64,22.6,60.0,21.5,2.68,1702.0,3,4.12,53.2,56.0,53.0,1.0,0.069,70.0,65.0,75.0,30.9275,62.295,38.12445,150.0,-33.920704845814974,-10.089804543053349,50.0
Ghana,2021-09-30,2021,3,2021-Q3,5,45.9,4.98,0.8,34.9,96.7,74.9,4.15,1455.0,3,6.32,53.4,41.4,46.6,1.63,0.163,70.0,65.0,75.0,20.0975,70.53750000000001,31.8758895,0.0,0.10351966873707319,-1.4895057549085933,inf
Ghana,2021-12-31,2021,4,2021-Q4,6,72.2,6.51,0.84,35.1,72.5,47.5,2.86,1357.0,7,5.97,63.5,46.8,45.7,1.0,0.178,70.0,65.0,75.0,25.279999999999998,67.0325,33.660900000000005,500.0,-4.980340760157276,-9.412550066755676,133.33333333333334
