# Comprehensive SOFC Materials Database - All Materials
# Format: Material,Temperature(°C),E(GPa),ν,CTE(10^-6/K),ρ(kg/m³),k(W/mK),KIC(MPa√m),σ0(MPa)

# 8mol% Yttria-Stabilized Zirconia (8YSZ) - Electrolyte
LSCF-6428,200,92.0,0.282,16.0,6195,1.7,1.15,115
LSCF-6428,400,88.0,0.284,16.5,6190,1.6,1.1,110
LSCF-6428,600,83.0,0.286,17.0,6185,1.5,1.05,105
LSCF-6428,800,77.0,0.288,17.5,6180,1.4,1.0,100
LSCF-6428,1000,70.0,0.290,18.0,6175,1.3,0.95,95

# NiO-YSZ Cermet (60:40 vol%) - Anode (before reduction)
NiO-YSZ,25,165.0,0.290,12.8,6450,4.5,2.8,180
NiO-YSZ,200,162.0,0.291,13.0,6445,4.2,2.7,175
NiO-YSZ,400,158.0,0.292,13.2,6440,3.9,2.6,170
NiO-YSZ,600,153.0,0.293,13.4,6435,3.6,2.5,165
NiO-YSZ,800,147.0,0.294,13.6,6430,3.3,2.4,160
NiO-YSZ,1000,140.0,0.295,13.8,6425,3.0,2.3,155
NiO-YSZ,1200,132.0,0.296,14.0,6420,2.7,2.2,150
NiO-YSZ,1400,123.0,0.297,14.2,6415,2.4,2.1,145

# Ni-YSZ Cermet (After Reduction) - Active Anode
Ni-YSZ,25,145.0,0.285,13.5,5800,11.0,3.2,150
Ni-YSZ,200,142.0,0.286,13.7,5795,10.5,3.1,145
Ni-YSZ,400,138.0,0.287,13.9,5790,10.0,3.0,140
Ni-YSZ,600,133.0,0.288,14.1,5785,9.5,2.9,135
Ni-YSZ,800,127.0,0.289,14.3,5780,9.0,2.8,130
Ni-YSZ,1000,120.0,0.290,14.5,5775,8.5,2.7,125

# Crofer 22 APU - Metallic Interconnect
Crofer22APU,25,220.0,0.280,11.9,7700,20.0,50.0,385
Crofer22APU,200,210.0,0.285,12.3,7690,22.0,48.0,340
Crofer22APU,400,195.0,0.290,12.7,7680,24.0,45.0,280
Crofer22APU,600,175.0,0.295,13.1,7670,26.0,42.0,200
Crofer22APU,800,150.0,0.300,13.5,7660,28.0,38.0,120

# 3mol% Yttria-Stabilized Zirconia (3YSZ) - High Strength Variant
YSZ-3mol,25,205.0,0.310,9.8,6000,2.2,3.5,350
YSZ-3mol,200,202.0,0.311,9.9,5997,2.1,3.4,340
YSZ-3mol,400,198.0,0.312,10.0,5994,2.0,3.3,330
YSZ-3mol,600,193.0,0.313,10.1,5991,1.9,3.2,320
YSZ-3mol,800,187.0,0.314,10.2,5988,1.8,3.1,310
YSZ-3mol,1000,180.0,0.315,10.3,5985,1.7,3.0,300
YSZ-3mol,1200,172.0,0.316,10.4,5982,1.6,2.9,290
YSZ-3mol,1400,163.0,0.317,10.5,5979,1.5,2.8,280

# Scandia-Stabilized Zirconia (10Sc1CeSZ) - High Conductivity Electrolyte
ScSZ,25,195.0,0.315,10.5,5800,2.3,2.2,220
ScSZ,200,192.0,0.316,10.6,5797,2.2,2.1,215
ScSZ,400,188.0,0.317,10.7,5794,2.1,2.0,210
ScSZ,600,183.0,0.318,10.8,5791,2.0,1.9,205
ScSZ,800,177.0,0.319,10.9,5788,1.9,1.8,200
ScSZ,1000,170.0,0.320,11.0,5785,1.8,1.7,195
ScSZ,1200,162.0,0.321,11.1,5782,1.7,1.6,190
ScSZ,1400,153.0,0.322,11.2,5779,1.6,1.5,185

# La0.8Sr0.2MnO3 (LSM) - Traditional Cathode
LSM,25,120.0,0.275,11.0,6500,1.5,1.5,150
LSM,200,117.0,0.277,11.2,6495,1.45,1.45,145
LSM,400,113.0,0.279,11.4,6490,1.4,1.4,140
LSM,600,108.0,0.281,11.6,6485,1.35,1.35,135
LSM,800,102.0,0.283,11.8,6480,1.3,1.3,130
LSM,1000,95.0,0.285,12.0,6475,1.25,1.25,125

# Ba0.5Sr0.5Co0.8Fe0.2O3-δ (BSCF) - High Performance Cathode
BSCF,25,80.0,0.285,19.0,5500,1.2,0.8,90
BSCF,200,77.0,0.287,19.5,5495,1.15,0.77,87
BSCF,400,73.0,0.289,20.0,5490,1.1,0.74,84
BSCF,600,68.0,0.291,20.5,5485,1.05,0.71,81
BSCF,800,62.0,0.293,21.0,5480,1.0,0.68,78

# SrTi0.3Fe0.7O3-δ (STF) - Mixed Conductor
STF,25,150.0,0.290,12.5,5200,2.5,1.3,140
STF,200,147.0,0.291,12.7,5195,2.4,1.27,137
STF,400,143.0,0.292,12.9,5190,2.3,1.24,134
STF,600,138.0,0.293,13.1,5185,2.2,1.21,131
STF,800,132.0,0.294,13.3,5180,2.1,1.18,128
STF,1000,125.0,0.295,13.5,5175,2.0,1.15,125
