experiment_id,timestamp,fixture_type,fixture_material,clamping_force_N,stack_pressure_MPa,temperature_C,humidity_percent,preload_N,boundary_type,constraint_x,constraint_y,constraint_z,rotation_x_constrained,rotation_y_constrained,rotation_z_constrained,applied_load_type,applied_load_magnitude,load_direction,load_frequency_Hz,sample_thickness_mm,sample_area_mm2,notes
EXP011,2024-01-18 08:30:00,Ball Joint Support,Brass,300,1.9,23,46,75,Spherical,False,False,True,False,False,False,Static,400,Multi,-,14.5,825,Multi-directional freedom
EXP012,2024-01-18 10:45:00,Vacuum Chuck,Ceramic,0,4.0,24,41,0,Vacuum,True,True,True,True,True,True,Ramp,1500,Z,-,3.2,200,Vacuum pressure -85 kPa
EXP013,2024-01-18 13:20:00,Collet Chuck,Tool Steel,1200,3.8,26,44,400,Radial,True,True,True,True,True,True,Static,1800,Radial,-,22.0,1520,Uniform radial clamping
EXP014,2024-01-19 09:15:00,Edge Clamps,Aluminum 6061,450,2.6,23,48,120,Edge,True,True,False,False,True,True,Cyclic,700,X,0.25,9.5,580,Edge boundary conditions
EXP015,2024-01-19 11:50:00,Roller Support,Hardened Steel,0,1.2,22,49,0,Rolling,False,True,True,False,True,True,Static,550,Y,-,16.8,1050,Low friction support
EXP016,2024-01-19 14:30:00,Fixed-Fixed,Stainless Steel 304,550,3.0,25,45,180,Clamped,True,True,True,True,True,True,Sinusoidal,1100,Z,5.0,10.5,625,Vibration test
EXP017,2024-01-22 08:45:00,Pin Joint,Titanium Alloy,200,2.4,24,46,60,Pinned,True,False,True,True,False,True,Static,650,Y,-,13.2,790,Single axis rotation allowed
EXP018,2024-01-22 10:30:00,Hydraulic Press,Steel Plate,2000,8.5,23,44,0,Compression,False,False,True,True,True,False,Ramp,5000,Z,-,25.0,2000,High pressure test
EXP019,2024-01-22 13:15:00,Electromagnetic,Ferromagnetic,0,3.3,26,42,0,Magnetic,True,True,True,False,False,False,Cyclic,950,Z,10.0,8.8,480,Variable magnetic field
EXP020,2024-01-23 09:00:00,Flexible Membrane,Rubber,100,1.0,22,51,20,Flexible,False,False,False,False,False,False,Static,200,Multi,-,4.5,250,Compliant boundary
EXP021,2024-01-23 11:45:00,Threaded Fixture,Stainless Steel 316,700,4.5,24,47,350,Threaded,True,True,True,True,True,True,Stepped,1600,Z,-,17.5,1150,Multiple load steps
EXP022,2024-01-23 14:20:00,Adhesive Bond,Epoxy,0,2.1,25,43,0,Bonded,True,True,True,True,True,True,Static,450,X,-,2.8,180,Adhesive shear test
EXP023,2024-01-24 08:30:00,Spring Loaded,Spring Steel,Variable,2.7,23,45,300,Elastic,True,True,False,True,True,False,Cyclic,850,Z,0.1,12.5,720,Variable stiffness boundary
EXP024,2024-01-24 10:15:00,Knife Edge,Hardened Steel,350,1.6,24,48,80,Line Contact,True,False,True,False,False,True,Static,520,Y,-,7.2,410,Line contact support
EXP025,2024-01-24 13:00:00,Hydraulic Grips,Titanium Alloy,1100,5.2,26,44,280,Tensile,True,True,False,True,True,True,Random,1350,Z,-,15.8,950,Random vibration test
EXP026,2024-01-25 09:30:00,Fixed-Sliding,Aluminum 7075,480,2.9,22,46,140,Mixed,True,True,True,True,True,False,Cyclic,720,X,3.0,11.0,650,One end sliding
EXP027,2024-01-25 11:15:00,Pivoting Clamp,Brass,320,2.3,25,49,90,Pivot,True,False,True,False,True,True,Static,580,Y,-,9.2,530,Allows rotation about one axis
EXP028,2024-01-25 14:00:00,Cryogenic Fixture,Invar,650,3.6,-180,0,200,Clamped,True,True,True,True,True,True,Static,1000,Z,-,10.5,625,Low temperature test
EXP029,2024-01-26 08:45:00,High-Temp Fixture,Inconel,750,4.8,450,10,400,Clamped,True,True,True,True,True,True,Ramp,2200,Z,-,14.0,840,High temperature test
EXP030,2024-01-26 11:30:00,Acoustic Fixture,Damped Steel,500,2.5,23,45,150,Isolated,True,True,True,True,True,True,Acoustic,800,Multi,1000,8.5,500,Acoustic isolation mounts
