respondent_id,sector,location,firm_size,firm_age_years,owner_age,owner_gender,owner_education,employee_count,annual_revenue_tzs,export_activity,formal_registration
SME_0031,ICT/Business Services,Arusha,Small (5-49 employees),7,33,Female,University,34,304716744.7223343,No,Yes
SME_0032,Manufacturing,Dar es Salaam,Small (5-49 employees),1,37,Female,Diploma,14,133456999.70212504,No,Yes
SME_0033,Manufacturing,Mwanza,Small (5-49 employees),24,41,Male,Secondary,32,40957541.14547164,No,Yes
SME_0034,Retail/Wholesale,Arusha,Small (5-49 employees),19,33,Female,Secondary,5,128928537.31929883,No,Yes
SME_0035,Manufacturing,Dar es Salaam,Small (5-49 employees),19,28,Male,Secondary,14,73945300.82885803,No,Yes
SME_0036,Manufacturing,Arusha,Small (5-49 employees),24,55,Male,Secondary,40,162661376.7731212,No,Yes
SME_0037,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),7,25,Female,Secondary,17,174752155.3698472,No,Yes
SME_0038,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),13,43,Female,Secondary,16,83948318.95949098,No,Yes
SME_0039,Agriculture/Agribusiness,Arusha,Small (5-49 employees),15,51,Female,University,25,27423787.979111407,No,Yes
SME_0040,Manufacturing,Dar es Salaam,Small (5-49 employees),5,61,Male,Secondary,15,113723996.3313479,Yes,Yes
SME_0041,ICT/Business Services,Dar es Salaam,Small (5-49 employees),8,35,Male,University,41,419837026.6806603,No,No
SME_0042,Agriculture/Agribusiness,Dar es Salaam,Medium (50-99 employees),13,42,Male,Secondary,80,81489321.250874,No,Yes
SME_0043,Manufacturing,Dar es Salaam,Small (5-49 employees),13,43,Female,University,5,99045521.978884,No,Yes
SME_0044,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),21,31,Male,Primary,36,12309350.191065105,No,Yes
SME_0045,Agriculture/Agribusiness,Mwanza,Small (5-49 employees),19,54,Female,Primary,35,109388590.39232826,No,Yes
SME_0046,ICT/Business Services,Mwanza,Medium (50-99 employees),8,49,Male,University,57,98040229.67114797,No,Yes
SME_0047,Manufacturing,Dar es Salaam,Small (5-49 employees),4,25,Male,Primary,24,142650725.66375157,No,Yes
SME_0048,Manufacturing,Mwanza,Small (5-49 employees),5,43,Female,Secondary,34,89466176.89521758,Yes,Yes
SME_0049,Retail/Wholesale,Mwanza,Medium (50-99 employees),17,51,Female,Diploma,98,152419876.99545372,No,Yes
SME_0050,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),17,36,Male,Secondary,52,152483042.39929464,No,No
SME_0051,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),14,43,Male,Diploma,44,62199041.43492267,No,Yes
SME_0052,ICT/Business Services,Arusha,Medium (50-99 employees),2,37,Male,Diploma,54,298358077.4485185,No,Yes
SME_0053,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),14,50,Male,Secondary,79,50463190.68669304,Yes,Yes
SME_0054,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),23,25,Male,Secondary,78,142551955.58375803,No,Yes
SME_0055,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),21,25,Male,Diploma,96,49734850.30491769,Yes,Yes
SME_0056,Manufacturing,Arusha,Small (5-49 employees),24,49,Female,Diploma,31,176120344.92233926,No,Yes
SME_0057,Manufacturing,Dar es Salaam,Small (5-49 employees),22,25,Male,University,38,32920815.50911415,No,Yes
SME_0058,Manufacturing,Dar es Salaam,Small (5-49 employees),24,38,Male,Secondary,21,184965756.1010445,No,Yes
SME_0059,Manufacturing,Dar es Salaam,Small (5-49 employees),22,57,Male,Diploma,30,154391527.69814125,No,Yes
SME_0060,Agriculture/Agribusiness,Arusha,Small (5-49 employees),13,42,Male,Secondary,19,77287867.45069383,No,Yes
SME_0061,Retail/Wholesale,Mwanza,Small (5-49 employees),12,25,Male,Diploma,45,75156104.21286945,Yes,Yes
SME_0062,Retail/Wholesale,Arusha,Small (5-49 employees),19,36,Male,Diploma,30,74114898.43566445,No,Yes
SME_0063,Retail/Wholesale,Mwanza,Small (5-49 employees),21,36,Male,Diploma,34,56731968.39305655,No,Yes
SME_0064,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),6,35,Male,Diploma,53,194199382.32232007,No,Yes
SME_0065,ICT/Business Services,Mwanza,Medium (50-99 employees),8,30,Male,University,69,427362151.41618115,Yes,Yes
SME_0066,Retail/Wholesale,Arusha,Small (5-49 employees),4,46,Male,Diploma,10,122837788.53600077,Yes,Yes
SME_0067,Agriculture/Agribusiness,Dar es Salaam,Medium (50-99 employees),1,39,Male,University,87,10515070.888722636,No,No
SME_0068,Agriculture/Agribusiness,Mwanza,Small (5-49 employees),24,29,Male,Primary,39,48950343.91011508,No,Yes
SME_0069,Agriculture/Agribusiness,Dar es Salaam,Medium (50-99 employees),14,34,Male,Secondary,63,166775208.5716315,No,No
SME_0070,Retail/Wholesale,Mwanza,Small (5-49 employees),14,33,Female,Secondary,37,128579293.39454916,No,Yes
SME_0071,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),8,25,Female,Diploma,12,113141369.0165477,No,No
SME_0072,Retail/Wholesale,Arusha,Small (5-49 employees),6,32,Female,Secondary,31,144326287.6362572,Yes,Yes
SME_0073,ICT/Business Services,Mwanza,Small (5-49 employees),6,62,Female,University,19,220469704.50061208,Yes,Yes
SME_0074,ICT/Business Services,Arusha,Small (5-49 employees),3,30,Male,University,31,372280583.62982845,No,No
SME_0075,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),14,48,Female,Secondary,47,183251957.6801633,No,Yes
SME_0076,Agriculture/Agribusiness,Arusha,Small (5-49 employees),9,30,Female,Diploma,44,149924404.76869735,No,Yes
SME_0077,Manufacturing,Dar es Salaam,Small (5-49 employees),23,65,Male,Primary,25,175280308.79180437,No,Yes
SME_0078,ICT/Business Services,Arusha,Small (5-49 employees),4,45,Male,University,6,463935027.3857422,No,No
SME_0079,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),22,48,Female,Diploma,98,104689876.82050115,No,Yes
SME_0080,Manufacturing,Arusha,Medium (50-99 employees),9,38,Male,University,77,88778583.5081345,No,Yes
SME_0081,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),24,65,Male,Secondary,22,48976531.69158136,No,Yes
SME_0082,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),19,28,Male,Diploma,33,44566344.794101514,No,Yes
SME_0083,Agriculture/Agribusiness,Arusha,Medium (50-99 employees),23,39,Male,Diploma,52,146034723.48100552,No,Yes
SME_0084,Manufacturing,Mwanza,Small (5-49 employees),1,40,Male,Secondary,39,146954488.29899627,No,No
SME_0085,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),21,42,Male,Diploma,37,71558111.61029193,Yes,Yes
SME_0086,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),15,32,Male,Secondary,51,73814512.85846868,Yes,Yes
SME_0087,Retail/Wholesale,Mwanza,Small (5-49 employees),21,34,Male,Diploma,14,190206128.3228098,No,Yes
SME_0088,Manufacturing,Dar es Salaam,Small (5-49 employees),9,43,Male,Secondary,43,130360861.76696798,No,Yes
SME_0089,Manufacturing,Mwanza,Small (5-49 employees),5,41,Male,University,42,183716773.2464948,No,Yes
SME_0090,ICT/Business Services,Dar es Salaam,Small (5-49 employees),9,30,Male,University,38,379483060.30657804,No,Yes
SME_0091,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),14,36,Female,University,40,41593840.063655086,Yes,Yes
SME_0092,Retail/Wholesale,Mwanza,Medium (50-99 employees),8,41,Female,Secondary,96,100449576.41782893,Yes,Yes
SME_0093,Retail/Wholesale,Arusha,Small (5-49 employees),20,25,Male,University,30,104309586.96823491,No,Yes
SME_0094,Retail/Wholesale,Arusha,Small (5-49 employees),7,49,Female,University,48,24775415.375001844,No,Yes
SME_0095,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),17,41,Female,Primary,73,94741096.86201158,No,Yes
SME_0096,ICT/Business Services,Arusha,Medium (50-99 employees),2,26,Male,University,75,149544248.818821,No,Yes
SME_0097,Retail/Wholesale,Mwanza,Small (5-49 employees),22,29,Female,Primary,12,16449735.931301782,No,Yes
SME_0098,Agriculture/Agribusiness,Mwanza,Small (5-49 employees),10,50,Male,Secondary,28,133531796.58421335,Yes,Yes
SME_0099,ICT/Business Services,Dar es Salaam,Medium (50-99 employees),7,33,Male,University,67,292771081.5689018,No,No
SME_0100,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),23,50,Female,Diploma,81,82953139.0847479,No,Yes
SME_0101,ICT/Business Services,Dar es Salaam,Small (5-49 employees),9,31,Male,University,43,172259136.98105183,No,Yes
SME_0102,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),18,37,Female,Diploma,50,17997706.03090876,Yes,Yes
SME_0103,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),5,49,Male,Secondary,95,26988090.439329308,No,No
SME_0104,ICT/Business Services,Dar es Salaam,Small (5-49 employees),6,37,Male,Diploma,14,280709829.9574288,No,Yes
SME_0105,Agriculture/Agribusiness,Mwanza,Medium (50-99 employees),22,36,Male,Primary,99,177919318.14305088,No,No
SME_0106,Retail/Wholesale,Arusha,Medium (50-99 employees),9,28,Female,Secondary,60,173424095.1194055,No,Yes
SME_0107,Agriculture/Agribusiness,Mwanza,Medium (50-99 employees),9,30,Male,Diploma,64,187002002.7806081,No,Yes
SME_0108,Retail/Wholesale,Mwanza,Small (5-49 employees),5,49,Male,Primary,49,21688234.98545466,No,Yes
SME_0109,Retail/Wholesale,Arusha,Small (5-49 employees),13,36,Male,Secondary,45,109039459.31427883,No,No
SME_0110,Manufacturing,Arusha,Small (5-49 employees),5,45,Female,Secondary,35,175650270.27159408,Yes,Yes
SME_0111,ICT/Business Services,Dar es Salaam,Medium (50-99 employees),7,46,Male,University,89,87844201.0105931,No,Yes
SME_0112,ICT/Business Services,Dar es Salaam,Medium (50-99 employees),9,25,Female,Secondary,64,203842474.71740875,Yes,No
SME_0113,ICT/Business Services,Dar es Salaam,Small (5-49 employees),1,33,Female,Diploma,22,368857402.0711832,No,No
SME_0114,ICT/Business Services,Dar es Salaam,Medium (50-99 employees),7,39,Male,University,96,419680826.3333484,No,Yes
SME_0115,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),17,52,Male,University,60,172299857.14769754,Yes,Yes
SME_0116,ICT/Business Services,Dar es Salaam,Medium (50-99 employees),8,41,Female,University,65,474627164.0754195,No,Yes
SME_0117,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),6,40,Male,Diploma,16,50489893.76476582,No,Yes
SME_0118,Manufacturing,Dar es Salaam,Small (5-49 employees),8,37,Male,Secondary,11,170508813.34220865,Yes,Yes
SME_0119,Agriculture/Agribusiness,Arusha,Medium (50-99 employees),14,43,Male,Secondary,97,125388225.16990753,Yes,Yes
SME_0120,Retail/Wholesale,Mwanza,Small (5-49 employees),13,25,Male,University,34,98273733.36080393,No,Yes
SME_0121,Retail/Wholesale,Arusha,Medium (50-99 employees),6,33,Female,Primary,61,147614208.54401827,Yes,Yes
SME_0122,ICT/Business Services,Arusha,Small (5-49 employees),2,44,Female,University,37,282970239.52312016,Yes,Yes
SME_0123,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),14,41,Male,Secondary,89,166073738.32187462,No,Yes
SME_0124,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),18,37,Female,Primary,32,189996587.89989734,No,Yes
SME_0125,Manufacturing,Mwanza,Small (5-49 employees),22,57,Female,Diploma,15,132279762.08733974,No,Yes
SME_0126,Retail/Wholesale,Arusha,Small (5-49 employees),14,41,Male,Diploma,36,44602403.980852865,No,Yes
SME_0127,Manufacturing,Mwanza,Medium (50-99 employees),3,35,Male,University,64,86619658.61352804,No,No
SME_0128,ICT/Business Services,Arusha,Small (5-49 employees),4,25,Male,Diploma,28,395475749.6300511,No,Yes
SME_0129,Manufacturing,Dar es Salaam,Small (5-49 employees),15,46,Male,Primary,16,90126976.10595652,No,Yes
SME_0130,Manufacturing,Mwanza,Small (5-49 employees),23,25,Male,Secondary,6,80841241.06589755,No,Yes
SME_0131,Manufacturing,Mwanza,Small (5-49 employees),24,42,Female,Secondary,29,135898043.01158085,No,Yes
SME_0132,Retail/Wholesale,Mwanza,Small (5-49 employees),13,32,Male,Diploma,14,54588067.2696947,No,Yes
SME_0133,Retail/Wholesale,Mwanza,Small (5-49 employees),20,32,Male,Secondary,32,190230837.42177242,No,Yes
SME_0134,Retail/Wholesale,Mwanza,Medium (50-99 employees),15,26,Male,Secondary,69,49109829.90698597,Yes,Yes
SME_0135,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),6,41,Male,Diploma,16,26825561.002415862,No,No
SME_0136,Manufacturing,Mwanza,Small (5-49 employees),7,31,Female,Diploma,27,107963245.43005754,Yes,Yes
SME_0137,Retail/Wholesale,Arusha,Small (5-49 employees),23,32,Female,Diploma,42,45786325.915464275,No,Yes
SME_0138,Agriculture/Agribusiness,Mwanza,Small (5-49 employees),18,44,Female,Diploma,44,167866666.35492402,Yes,Yes
SME_0139,Agriculture/Agribusiness,Arusha,Medium (50-99 employees),14,43,Male,Diploma,99,133734265.63788348,No,No
SME_0140,Agriculture/Agribusiness,Mwanza,Small (5-49 employees),9,32,Male,University,42,133597213.08042601,No,Yes
SME_0141,ICT/Business Services,Mwanza,Small (5-49 employees),1,27,Male,University,25,295020094.08238226,No,Yes
SME_0142,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),11,25,Female,Secondary,14,136960431.72545308,No,Yes
SME_0143,Agriculture/Agribusiness,Mwanza,Medium (50-99 employees),12,38,Female,University,92,110058521.48110232,No,Yes
SME_0144,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),23,25,Male,Secondary,19,23543251.310481142,No,Yes
SME_0145,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),4,49,Male,Diploma,39,64125851.37276534,Yes,Yes
SME_0146,Retail/Wholesale,Mwanza,Medium (50-99 employees),11,33,Male,University,88,173289000.72331193,No,Yes
SME_0147,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),4,44,Female,University,96,164992242.26581335,No,Yes
SME_0148,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),10,25,Female,Diploma,46,78546778.63101396,No,Yes
SME_0149,ICT/Business Services,Dar es Salaam,Medium (50-99 employees),7,31,Male,Diploma,99,92990891.22560067,No,No
SME_0150,Retail/Wholesale,Arusha,Small (5-49 employees),5,61,Male,Secondary,36,125347866.85686836,No,Yes
SME_0151,Manufacturing,Dar es Salaam,Small (5-49 employees),7,56,Female,Secondary,15,86820565.9398155,Yes,Yes
SME_0152,ICT/Business Services,Arusha,Small (5-49 employees),4,34,Male,University,7,452385893.59885323,No,Yes
SME_0153,ICT/Business Services,Dar es Salaam,Medium (50-99 employees),5,46,Male,University,52,338075700.7226747,No,Yes
SME_0154,ICT/Business Services,Mwanza,Small (5-49 employees),1,25,Male,Secondary,12,250858558.03893897,Yes,No
SME_0155,ICT/Business Services,Mwanza,Small (5-49 employees),9,25,Male,Diploma,27,50556505.89173425,No,No
SME_0156,Agriculture/Agribusiness,Arusha,Medium (50-99 employees),21,35,Female,University,57,58838980.622095175,Yes,Yes
SME_0157,ICT/Business Services,Arusha,Small (5-49 employees),1,25,Male,University,13,203753525.8536144,No,Yes
SME_0158,Agriculture/Agribusiness,Mwanza,Small (5-49 employees),22,28,Male,Diploma,41,198510022.8164294,No,Yes
SME_0159,Retail/Wholesale,Arusha,Small (5-49 employees),10,33,Male,Secondary,13,163125826.02234802,Yes,Yes
SME_0160,Manufacturing,Mwanza,Small (5-49 employees),10,49,Female,Secondary,37,35179687.8209512,No,Yes
SME_0161,ICT/Business Services,Dar es Salaam,Small (5-49 employees),9,39,Male,Diploma,8,349838098.6257679,No,Yes
SME_0162,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),14,29,Male,Secondary,10,62772998.51235961,Yes,Yes
SME_0163,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),2,34,Female,Diploma,13,21051121.146040402,No,Yes
SME_0164,ICT/Business Services,Arusha,Small (5-49 employees),8,35,Male,Diploma,33,326848747.2039549,No,Yes
SME_0165,Manufacturing,Mwanza,Small (5-49 employees),3,45,Female,Diploma,26,88684652.98049614,No,Yes
SME_0166,Retail/Wholesale,Mwanza,Small (5-49 employees),23,47,Male,University,5,111708924.97599241,No,Yes
SME_0167,Manufacturing,Dar es Salaam,Small (5-49 employees),17,51,Male,University,30,114112302.90500166,No,Yes
SME_0168,ICT/Business Services,Mwanza,Small (5-49 employees),6,38,Male,University,45,480299985.79202676,No,No
SME_0169,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),18,61,Male,University,38,181334778.50573048,No,Yes
SME_0170,Agriculture/Agribusiness,Dar es Salaam,Medium (50-99 employees),5,33,Male,Secondary,86,107322164.95440815,Yes,Yes
SME_0171,ICT/Business Services,Mwanza,Small (5-49 employees),1,26,Female,Secondary,15,381878761.7565531,No,Yes
SME_0172,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),22,30,Male,Secondary,42,60358821.38175076,No,No
SME_0173,ICT/Business Services,Dar es Salaam,Medium (50-99 employees),2,37,Male,University,74,164936068.10834876,Yes,No
SME_0174,ICT/Business Services,Dar es Salaam,Medium (50-99 employees),6,38,Female,University,65,464133731.5487335,No,Yes
SME_0175,Retail/Wholesale,Mwanza,Small (5-49 employees),8,45,Female,Diploma,34,93486948.04194592,No,Yes
SME_0176,Manufacturing,Mwanza,Small (5-49 employees),23,41,Male,Secondary,22,59102007.85544544,No,No
SME_0177,ICT/Business Services,Arusha,Small (5-49 employees),6,57,Male,Diploma,6,171199084.2359113,No,Yes
SME_0178,Manufacturing,Arusha,Medium (50-99 employees),13,43,Male,Diploma,82,154055152.10454208,No,Yes
SME_0179,ICT/Business Services,Mwanza,Small (5-49 employees),5,37,Female,University,46,257700863.48890543,No,Yes
SME_0180,Agriculture/Agribusiness,Arusha,Small (5-49 employees),16,31,Female,Secondary,26,115303037.68508315,No,Yes
SME_0181,Manufacturing,Arusha,Medium (50-99 employees),20,47,Male,Diploma,86,38288729.56316449,No,Yes
SME_0182,ICT/Business Services,Dar es Salaam,Small (5-49 employees),6,36,Male,University,25,363028165.9235631,No,Yes
SME_0183,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),14,47,Female,Secondary,73,29786098.004854616,No,Yes
SME_0184,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),22,30,Male,Secondary,42,151725789.67459816,No,Yes
SME_0185,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),1,55,Female,University,60,51916271.01513013,No,Yes
SME_0186,ICT/Business Services,Dar es Salaam,Small (5-49 employees),6,46,Male,Secondary,43,386248814.48391694,No,Yes
SME_0187,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),17,44,Male,Secondary,23,121431027.51585433,No,No
SME_0188,Agriculture/Agribusiness,Dar es Salaam,Medium (50-99 employees),10,41,Male,Primary,75,144143611.4561647,No,Yes
SME_0189,Retail/Wholesale,Arusha,Medium (50-99 employees),22,47,Female,Diploma,74,34956387.547532275,Yes,Yes
SME_0190,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),14,38,Male,Diploma,35,61670447.964439884,No,Yes
SME_0191,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),11,25,Male,University,19,111159929.63229126,No,No
SME_0192,Retail/Wholesale,Mwanza,Small (5-49 employees),12,29,Female,Secondary,41,128640834.82962832,No,Yes
SME_0193,Manufacturing,Arusha,Small (5-49 employees),21,32,Female,Secondary,11,76406210.69649556,No,No
SME_0194,Manufacturing,Dar es Salaam,Small (5-49 employees),7,31,Male,Secondary,10,113272261.29510275,No,Yes
SME_0195,Manufacturing,Arusha,Small (5-49 employees),10,46,Female,Diploma,28,88235452.90105662,Yes,Yes
SME_0196,Agriculture/Agribusiness,Mwanza,Small (5-49 employees),7,60,Female,Secondary,8,113521074.22605798,No,Yes
SME_0197,Agriculture/Agribusiness,Mwanza,Medium (50-99 employees),9,58,Female,Secondary,52,152638606.32987595,No,Yes
SME_0198,Manufacturing,Arusha,Medium (50-99 employees),18,60,Male,University,60,93803710.0676489,No,Yes
SME_0199,ICT/Business Services,Arusha,Small (5-49 employees),7,40,Male,Diploma,24,138128365.6641135,No,Yes
SME_0200,Retail/Wholesale,Mwanza,Small (5-49 employees),6,49,Female,University,12,48382976.9964731,No,Yes
SME_0201,Retail/Wholesale,Arusha,Small (5-49 employees),9,39,Female,Secondary,25,105989286.97956127,No,No
SME_0202,Agriculture/Agribusiness,Arusha,Small (5-49 employees),5,44,Female,Secondary,29,110205928.20330851,No,Yes
SME_0203,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),6,36,Male,Secondary,48,144946131.7384292,No,Yes
SME_0204,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),21,25,Male,University,37,26564098.888047922,Yes,Yes
SME_0205,Retail/Wholesale,Arusha,Small (5-49 employees),16,44,Male,Secondary,31,150233133.43431827,Yes,Yes
SME_0206,Retail/Wholesale,Arusha,Small (5-49 employees),7,43,Female,Diploma,5,134503657.84141505,No,Yes
SME_0207,ICT/Business Services,Arusha,Small (5-49 employees),5,45,Male,University,16,186775880.55832574,No,Yes
SME_0208,Agriculture/Agribusiness,Arusha,Medium (50-99 employees),23,41,Male,Diploma,95,84054283.6110335,No,Yes
SME_0209,Retail/Wholesale,Mwanza,Small (5-49 employees),20,43,Female,University,7,90074367.90005702,No,Yes
SME_0210,Agriculture/Agribusiness,Arusha,Small (5-49 employees),23,33,Male,Secondary,18,130666930.12284656,Yes,Yes
SME_0211,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),20,29,Male,Diploma,34,123687922.01657417,Yes,No
SME_0212,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),24,29,Female,Diploma,33,25004140.816257436,No,Yes
SME_0213,Retail/Wholesale,Mwanza,Small (5-49 employees),21,30,Female,University,13,167960967.73328486,No,Yes
SME_0214,Agriculture/Agribusiness,Arusha,Small (5-49 employees),15,42,Male,University,19,183028550.09267652,No,Yes
SME_0215,ICT/Business Services,Arusha,Small (5-49 employees),3,37,Female,University,49,280563699.8956058,No,Yes
SME_0216,Retail/Wholesale,Mwanza,Small (5-49 employees),6,31,Male,University,21,58334400.35995093,No,No
SME_0217,Manufacturing,Dar es Salaam,Small (5-49 employees),13,25,Male,Diploma,17,47258565.42029466,No,Yes
SME_0218,Agriculture/Agribusiness,Mwanza,Small (5-49 employees),7,47,Male,Secondary,46,118689242.24016716,No,Yes
SME_0219,Manufacturing,Arusha,Small (5-49 employees),19,39,Male,Secondary,49,119208115.31023888,No,Yes
SME_0220,Agriculture/Agribusiness,Arusha,Small (5-49 employees),16,34,Female,Diploma,32,146501553.6655597,Yes,Yes
SME_0221,Manufacturing,Dar es Salaam,Small (5-49 employees),15,50,Male,Secondary,40,58771903.37890871,Yes,Yes
SME_0222,ICT/Business Services,Dar es Salaam,Small (5-49 employees),9,45,Male,Secondary,45,350857691.02531135,No,Yes
SME_0223,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),7,40,Female,Secondary,44,147554880.53855783,No,Yes
SME_0224,Retail/Wholesale,Dar es Salaam,Small (5-49 employees),5,32,Male,University,35,116142055.32558082,No,Yes
SME_0225,Retail/Wholesale,Mwanza,Small (5-49 employees),13,37,Male,Diploma,38,68199564.76786041,No,Yes
SME_0226,ICT/Business Services,Dar es Salaam,Medium (50-99 employees),9,54,Male,University,73,226838401.40538105,No,Yes
SME_0227,Manufacturing,Mwanza,Small (5-49 employees),20,52,Male,Diploma,15,108275482.52572307,No,Yes
SME_0228,Retail/Wholesale,Dar es Salaam,Medium (50-99 employees),1,35,Male,University,99,41798349.29633931,Yes,Yes
SME_0229,Agriculture/Agribusiness,Dar es Salaam,Small (5-49 employees),22,25,Male,Primary,19,88688542.62236309,Yes,Yes
