date,country,total_cyber_incidents,mobile_money_fraud_incidents,sim_swap_incidents,phishing_incidents,data_breach_incidents,api_vulnerability_incidents,social_engineering_incidents,malware_incidents,ddos_incidents,account_takeover_incidents,transaction_fraud_incidents,identity_theft_incidents,card_skimming_incidents,search_mobile_money_fraud,search_sim_swap_fraud,search_fintech_scam,search_digital_payment_security,search_mobile_banking_safety,avg_incident_severity_score,cyber_risk_index
2019-03-31,Cameroon,8,3,2,1,0,1,0,0,1,0,0,0,0,23.19003824793059,20.3228433901335,20.837239682209486,44.80038221256284,46.18661959709932,8.43,6.74
2019-04-30,Nigeria,15,5,5,0,1,2,0,1,0,1,0,0,0,34.03255550028114,14.597921131455037,16.741848723171625,45.638208950828655,25.9484007763554,7.25,10.88
2019-04-30,Kenya,3,0,1,0,0,1,1,0,0,0,0,0,0,13.115517015704224,16.335251329346296,26.22741556936406,35.98740787130509,50.654803750653514,5.72,1.72
2019-04-30,South Africa,12,1,2,2,1,1,0,0,4,0,0,1,0,32.87457918781267,13.930055778872456,19.65375403243297,43.097833905999245,28.772779784377015,7.07,8.49
2019-04-30,Ghana,11,2,1,3,1,0,3,1,0,0,0,0,0,15.611438343902998,18.97953252423737,27.339716569553204,39.12342307442261,36.23447348977734,5.44,5.99
2019-04-30,Uganda,9,1,4,3,1,0,0,0,0,0,0,0,0,29.347992822314737,20.418048269527354,14.04610478936463,36.256823583657564,22.514530150424736,4.61,4.15
2019-04-30,Tanzania,7,2,0,2,1,0,1,1,0,0,0,0,0,15.945470862938434,6.803018661679719,23.237839868532784,37.88027285222056,43.05554320377259,7.9,5.53
2019-04-30,Rwanda,13,5,1,1,2,0,2,1,0,0,0,1,0,25.197136787428676,15.44978074063395,25.273129883543547,18.7970190566861,54.95133745517411,6.82,8.87
2019-04-30,Zambia,11,5,2,0,0,1,0,1,0,1,0,1,0,28.017695000516166,22.827620146171704,19.539748172489084,28.33760567968162,58.8115706944059,4.33,4.76
2019-04-30,Botswana,4,1,1,0,2,0,0,0,0,0,0,0,0,23.220697772355475,9.265206856332803,19.19786789784422,42.59921002764291,27.727402190791427,8.99,3.6
2019-04-30,Ethiopia,10,0,3,1,3,1,2,0,0,0,0,0,0,23.159548515228938,18.538577706248102,25.05778056203054,40.519148309865734,46.075143271495044,5.08,5.08
2019-04-30,Senegal,7,0,2,1,0,1,0,1,0,1,0,0,1,21.381549446007387,2.880603366855217,8.912680235599936,44.12497587373157,47.85800158650832,7.14,5.0
2019-04-30,Ivory Coast,4,0,3,0,0,0,1,0,0,0,0,0,0,25.215086711956246,16.04191403973776,5.7078559210299655,32.033871409752834,33.180157520022014,5.0,2.0
2019-04-30,Mali,9,3,2,0,2,0,1,1,0,0,0,0,0,28.14610521106942,18.40722540178643,15.943757081509508,48.06811978141729,41.14533366215464,7.93,7.13
2019-04-30,Burkina Faso,11,2,1,4,0,3,0,0,1,0,0,0,0,42.13816286889491,23.637715850503557,23.054265687718225,35.456041738018406,41.200313267182615,7.42,8.16
2019-04-30,Cameroon,1,0,0,1,0,0,0,0,0,0,0,0,0,32.46303267462897,19.365792743095746,6.949679301836337,24.18079104757313,24.381931386045284,9.5,0.95
2019-05-31,Nigeria,20,6,4,4,0,2,3,0,0,1,0,0,0,22.66808016805208,6.747543949811192,19.647040037949587,33.11923522132969,50.6240150987512,3.15,6.3
2019-05-31,Kenya,9,2,3,0,3,0,0,0,0,0,0,1,0,12.547344810721992,12.859424195170437,30.50531853444018,45.20266090536192,36.51347865592141,5.98,5.38
2019-05-31,South Africa,7,2,2,0,0,0,0,1,2,0,0,0,0,24.35426735913134,15.393175951580453,6.012595208275247,45.995932096429776,43.46488475897993,8.0,5.6
2019-05-31,Ghana,5,1,1,0,1,2,0,0,0,0,0,0,0,27.21255322075942,11.746432313274553,27.511611417872192,33.03246944477694,45.47215938057004,5.12,2.56
2019-05-31,Uganda,13,6,2,2,0,1,0,1,0,1,0,0,0,27.630099282427842,16.606786077251364,22.953445279646992,54.364535228703765,44.5353430151398,6.13,7.97
2019-05-31,Tanzania,12,3,0,2,1,1,2,1,0,0,1,0,1,26.357550338816157,11.499420633974959,27.62765405511523,53.4077374501948,17.509042719440608,5.48,6.57
2019-05-31,Rwanda,3,0,0,1,1,0,0,1,0,0,0,0,0,31.827324470242463,18.794642948933827,21.96833996778563,36.250413247422514,39.374068721004775,5.37,1.61
2019-05-31,Zambia,8,1,2,2,0,1,0,0,1,0,1,0,0,20.18905884839029,16.598909670712686,8.849043865278315,40.28569685552479,39.803622010733186,7.33,5.86
2019-05-31,Botswana,7,3,0,0,1,1,1,1,0,0,0,0,0,19.45675841763274,11.407963672154013,26.264470638611087,31.460603860495667,52.477420726737336,5.49,3.84
2019-05-31,Ethiopia,12,1,0,3,2,2,1,1,1,0,1,0,0,28.316334515038307,11.138479873367624,9.95066820250592,12.0427228978517,49.76383953462103,8.16,9.79
2019-05-31,Senegal,5,1,0,0,2,0,0,0,0,0,1,0,1,30.61098451871378,20.155314569940266,20.75979873219907,40.55151602457323,61.1785594962589,4.74,2.37
2019-05-31,Ivory Coast,9,2,4,0,1,0,1,0,0,1,0,0,0,35.5120757971512,8.927282551367966,16.2626362907824,18.114271685421002,40.72996755973357,7.67,6.9
2019-05-31,Mali,9,3,2,2,0,0,0,0,0,2,0,0,0,29.06393061530035,9.483166969130632,4.92976584933262,39.66294325437157,64.9299951743279,6.49,5.84
2019-05-31,Burkina Faso,11,4,3,2,1,0,0,0,0,1,0,0,0,25.225449258953027,14.954405016778983,27.601268960821045,40.696378794559436,39.74973041254856,7.73,8.5
2019-05-31,Cameroon,8,2,0,0,0,4,1,1,0,0,0,0,0,19.827763830460498,0.5586439740363769,22.052885198934522,38.39959302128189,32.06718106166326,7.31,5.85
2019-06-30,Nigeria,6,2,1,0,3,0,0,0,0,0,0,0,0,31.427207589140266,15.977484173291764,18.847417626256107,37.64443651457095,43.34187817750526,6.76,4.05
2019-06-30,Kenya,17,6,3,1,1,1,3,1,1,0,0,0,0,28.32658843166642,15.650611162021173,23.87237771833209,54.428643256857086,38.442717827285044,6.66,11.33
2019-06-30,South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,20.45658016279495,17.814366017066256,7.534672730331811,71.67204407927115,33.68328054107717,6.44,0.64
2019-06-30,Ghana,12,5,4,1,0,1,0,0,1,0,0,0,0,24.185136739167948,22.45257223205584,26.51405767541453,60.74507456734269,66.73813436072223,6.55,7.86
2019-06-30,Uganda,9,1,3,0,0,0,3,1,0,0,0,1,0,19.949654566253376,21.219916515163714,33.95991489916917,52.35292767357696,59.9525722296698,5.36,4.83
2019-06-30,Tanzania,6,2,2,1,0,0,1,0,0,0,0,0,0,38.90726522957987,18.342078749382505,26.256175142451358,64.00994534034045,54.09402907547548,7.31,4.38
2019-06-30,Rwanda,6,1,1,1,2,0,0,0,1,0,0,0,0,17.130689471963247,23.4780013216458,26.5546598336264,45.82893810931942,58.05075244030047,5.28,3.17
2019-06-30,Zambia,17,3,2,4,3,1,1,2,1,0,0,0,0,40.324157405808364,6.604941672507195,24.658806951756596,68.08380041277573,55.48258628281964,6.99,11.89
2019-06-30,Botswana,4,0,2,2,0,0,0,0,0,0,0,0,0,27.99337673005416,12.896877274744199,19.123603021640328,50.475529023656776,68.03885405221688,7.09,2.84
2019-06-30,Ethiopia,12,4,0,3,0,3,0,0,0,0,2,0,0,26.163492618099816,19.348108354511314,31.833762987733955,21.57553344576434,26.870294256230686,4.21,5.05
2019-06-30,Senegal,8,2,2,1,1,1,1,0,0,0,0,0,0,37.47226633119972,14.692885702028798,17.12712937925262,41.95140781328229,45.95778452970086,5.82,4.66
2019-06-30,Ivory Coast,11,2,1,1,2,2,3,0,0,0,0,0,0,35.53687743545349,29.17083470201779,14.955802578508909,36.96558451039962,51.13995567235774,8.22,9.04
2019-06-30,Mali,10,0,0,4,1,1,1,2,0,0,1,0,0,26.459229795911615,20.410627695351444,22.3862671571399,62.02319684986674,34.66304385438678,6.42,6.42
2019-06-30,Burkina Faso,13,4,1,3,2,2,0,0,0,0,0,1,0,21.1408301786224,16.177014912082704,37.172080275632965,34.42447633614779,47.83176554090893,6.65,8.65
2019-06-30,Cameroon,6,2,3,0,1,0,0,0,0,0,0,0,0,28.948326801895647,14.375926350449237,31.43069703484662,28.763806002421678,34.67520579244775,7.35,4.41
2019-07-31,Nigeria,15,2,2,2,4,1,1,0,2,1,0,0,0,26.476532744800107,13.034458676107683,24.723608617589548,26.56119822740726,12.943794198064714,7.15,10.73
2019-07-31,Kenya,8,2,3,1,0,1,0,0,0,0,1,0,0,16.117170887422443,18.569962508137827,20.97202340468139,49.36438321339133,51.809663216773075,6.45,5.16
2019-07-31,South Africa,3,1,1,0,0,0,0,1,0,0,0,0,0,24.545833633590387,7.015389309630803,25.68547515322777,47.221019736381386,64.4210634536721,8.28,2.48
2019-07-31,Ghana,12,5,3,0,3,0,0,0,1,0,0,0,0,20.830823238246214,20.541594393560768,41.32520932164242,26.62752603473847,48.2906334800731,8.62,10.34
2019-07-31,Uganda,18,1,5,3,3,3,0,1,0,2,0,0,0,42.64893634183641,11.960744608322152,33.57497991348398,60.96645696969406,46.58317767610705,3.32,5.97
2019-07-31,Tanzania,12,2,1,2,2,2,1,1,0,1,0,0,0,33.87580886723145,17.854826361654503,16.408904369866924,46.670773656791084,33.85152250608237,8.28,9.94
2019-07-31,Rwanda,6,3,0,1,1,0,0,0,0,0,1,0,0,36.4076235037374,10.727460648370407,31.00755439221735,45.92684822683106,55.80458146465522,5.05,3.03
2019-07-31,Zambia,11,2,0,3,3,0,2,0,1,0,0,0,0,37.09258061652003,21.69220490407832,16.1423149028254,57.638142472920464,41.56843865863142,7.71,8.48
2019-07-31,Botswana,5,1,0,1,0,1,0,0,1,0,1,0,0,38.631702851399915,23.414815335010697,25.801387005361786,52.57398732808556,40.20802425695527,6.62,3.31
2019-07-31,Ethiopia,14,1,6,2,2,2,0,0,0,0,0,1,0,38.50371012097651,19.380057142577016,41.68370017014728,25.97201625028255,62.661606630225755,9.12,12.77
2019-07-31,Senegal,6,1,2,2,0,1,0,0,0,0,0,0,0,31.02760686795565,17.366819687986155,22.451404133976393,35.66992256114246,21.506989003409174,6.17,3.7
2019-07-31,Ivory Coast,7,0,0,1,0,0,1,3,1,0,0,1,0,22.520144141488345,16.83401072747803,16.55574911368099,45.86872454424633,49.24252966367271,3.26,2.28
2019-07-31,Mali,12,3,2,4,1,1,0,1,0,0,0,0,0,24.098180494493583,13.75026922439002,26.879647364182038,30.014968083098314,21.49018057093559,5.17,6.2
2019-07-31,Burkina Faso,6,1,3,1,0,0,0,0,0,1,0,0,0,39.150111685567154,19.722744991210945,18.85552605302032,47.20565076296786,34.27528551215206,6.66,4.0
2019-07-31,Cameroon,2,0,0,1,0,0,0,0,1,0,0,0,0,34.101065873968174,14.12263614093718,38.9126114979199,24.811629622706686,59.029850083320014,8.0,1.6
2019-08-31,Nigeria,27,8,6,3,1,2,1,3,1,0,0,1,1,16.438383185558138,25.279898455113848,22.734910276730513,31.721944469702628,61.32362834379316,4.72,12.76
2019-08-31,Kenya,12,3,0,2,4,0,0,0,1,0,0,2,0,26.592122072512435,17.439395574498004,25.923452370513054,45.4499021812302,58.847073008842266,4.19,5.03
2019-08-31,South Africa,9,3,1,1,0,0,0,1,0,3,0,0,0,10.998721820392438,22.4874615367052,14.988958583785625,45.445154843200555,72.88899203699968,5.12,4.61
2019-08-31,Ghana,16,1,4,3,1,4,2,1,0,0,0,0,0,30.940638273320594,19.848303237024613,20.710152033656954,45.875427953929545,43.881692694031074,7.43,11.89
2019-08-31,Uganda,15,3,2,4,1,1,1,1,1,1,0,0,0,41.46198009588747,15.978613046499053,27.48346764133945,63.483642907371916,61.98967223050062,6.19,9.29
2019-08-31,Tanzania,12,0,3,3,2,1,0,1,0,1,0,0,1,38.2235242044065,21.090256039657127,30.01152925596628,48.067869279812385,40.873918053040335,7.55,9.05
2019-08-31,Rwanda,7,1,1,0,1,0,2,2,0,0,0,0,0,11.821299197243658,19.27976224423763,24.01012599304268,30.233923712618054,55.91094802118886,7.91,5.53
2019-08-31,Zambia,1,0,0,0,0,1,0,0,0,0,0,0,0,36.72706833727581,16.329652975134128,29.32023504468668,19.812580188995515,46.40979984549724,6.62,0.66
2019-08-31,Botswana,8,2,2,0,1,0,1,1,1,0,0,0,0,40.17801511198925,34.55796023346647,27.296294124301642,34.670923789812015,47.69310825369607,3.85,3.08
2019-08-31,Ethiopia,7,2,1,0,1,0,0,1,0,2,0,0,0,40.8056426019873,16.362147600480988,17.46867206530219,52.493061079923585,42.14163603321304,8.04,5.63
2019-08-31,Senegal,11,2,3,2,0,0,2,1,1,0,0,0,0,19.86828463591212,24.35090726118195,25.707744725980227,37.9005642863148,42.74268210907686,6.71,7.38
2019-08-31,Ivory Coast,11,2,0,3,1,2,2,0,0,0,1,0,0,19.710170562814504,8.677447403903614,30.870273127410243,47.42029717580424,37.17538134770987,5.2,5.72
2019-08-31,Mali,12,1,1,3,1,3,0,1,0,0,0,1,1,5.401596875565019,16.853833424398985,44.26596954154849,53.298301745731536,47.76887544318726,6.11,7.33
2019-08-31,Burkina Faso,18,1,6,4,0,1,0,1,2,1,1,0,1,30.488521937817772,19.04004998622245,26.0492068624314,38.78588753325881,65.87836126322499,4.1,7.38
2019-08-31,Cameroon,4,1,1,0,0,2,0,0,0,0,0,0,0,30.200510287641233,19.384205434312097,13.414615972550326,33.12439572423152,43.49764343611275,6.02,2.41
2019-09-30,Nigeria,17,3,3,5,1,1,2,1,0,0,0,1,0,23.75342820536718,15.189309575044751,24.092008395646978,35.04563691347825,23.73680646038416,5.71,9.7
2019-09-30,Kenya,9,1,2,1,0,2,3,0,0,0,0,0,0,28.58289398201435,16.85547025656961,20.335730121870828,38.98212635910219,35.762235885519694,4.07,3.67
2019-09-30,South Africa,6,2,2,2,0,0,0,0,0,0,0,0,0,29.57674222723937,14.575550907488234,11.296732501157308,23.462139564133548,48.30852324279367,8.59,5.15
2019-09-30,Ghana,6,0,1,3,0,1,0,0,1,0,0,0,0,21.23966281792399,16.329391148260243,16.942961847715832,34.20640862449013,60.99721789166516,6.13,3.68
2019-09-30,Uganda,9,3,1,1,2,1,1,0,0,0,0,0,0,33.06010951869538,11.57685087119998,25.53437919413938,11.358754187457976,48.92597338299309,4.68,4.21
2019-09-30,Tanzania,7,0,0,1,3,0,2,0,0,1,0,0,0,37.93770059974899,15.521779687616064,13.708511661738102,19.036236491132122,38.10879609222967,7.88,5.52
2019-09-30,Rwanda,6,1,2,0,0,0,2,0,0,1,0,0,0,32.66182122929608,20.185236443699647,25.18413607672133,23.573854319127808,44.22655065501604,6.66,4.0
2019-09-30,Zambia,3,0,1,0,0,0,0,2,0,0,0,0,0,19.147892768829358,9.884022443408528,12.790457303659771,26.011622348538854,52.1737356975163,7.73,2.32
2019-09-30,Botswana,7,1,3,1,2,0,0,0,0,0,0,0,0,36.37895889358806,23.694498318987897,26.852006355472568,36.023817710780285,31.917342783590737,5.25,3.68
2019-09-30,Ethiopia,8,2,1,2,1,0,1,0,0,1,0,0,0,29.276045187844403,19.43827712936918,17.75532662109966,56.54253627094786,42.30070759191402,7.25,5.8
2019-09-30,Senegal,8,5,2,0,0,0,1,0,0,0,0,0,0,24.400992494348085,17.27091583594919,16.25686726708286,26.45006968630115,54.444203881536914,6.41,5.13
2019-09-30,Ivory Coast,8,2,2,2,0,1,0,0,0,1,0,0,0,21.169300351932765,10.686121179784397,24.854352383397956,30.295848320970443,50.59936384046622,7.43,5.94
2019-09-30,Mali,9,3,0,2,0,1,1,1,0,1,0,0,0,23.787556359920163,11.481727252167444,26.523858284717026,56.76012742379331,33.42567842446862,5.85,5.27
2019-09-30,Burkina Faso,13,1,2,2,2,4,0,1,0,1,0,0,0,23.15679428635386,10.378834278658477,26.231388877873506,47.42299201668503,21.538121377619063,5.11,6.64
2019-09-30,Cameroon,6,1,2,2,0,0,0,1,0,0,0,0,0,22.826759117391575,23.367260451492683,29.383227362532438,19.405025156868827,48.29732417879175,7.72,4.63
2019-10-31,Nigeria,17,2,7,3,2,0,1,1,0,0,0,1,0,22.3830544272895,6.882223809884334,19.231613473287002,40.96982308766789,36.14616672474784,7.13,12.12
2019-10-31,Kenya,5,1,0,2,1,0,0,0,1,0,0,0,0,24.305953995608444,22.841198794598256,29.03257685536269,44.690371997825714,30.267576866274663,7.04,3.52
2019-10-31,South Africa,1,0,0,0,0,0,1,0,0,0,0,0,0,37.919814551289186,19.98546877747267,22.85513747662725,40.43037723631382,25.99580439669232,6.81,0.68
2019-10-31,Ghana,8,4,1,1,0,0,1,0,1,0,0,0,0,18.995176819350277,19.153549252480445,12.878732645418166,15.615602584679287,19.64469157182127,7.31,5.85
2019-10-31,Uganda,7,1,2,0,1,2,0,1,0,0,0,0,0,38.99379362021723,9.90875177835886,15.105332479004106,29.091703112077845,45.42704397976724,4.94,3.46
2019-10-31,Tanzania,9,1,2,2,1,0,2,1,0,0,0,0,0,22.96035365157042,14.3727286999855,22.295156669115503,36.03071607551996,17.80699627252465,6.16,5.54
2019-10-31,Rwanda,11,1,3,1,2,0,0,0,0,2,1,1,0,22.751842821827314,17.124830581237728,14.542406036775033,31.545283922704467,41.05749479444353,4.21,4.63
2019-10-31,Zambia,4,0,0,3,0,0,0,0,0,1,0,0,0,29.27703268897948,1.8212613049156108,20.023628546180127,38.93385407411702,49.2427013953783,4.98,1.99
2019-10-31,Botswana,3,1,0,0,1,0,0,0,0,1,0,0,0,24.634398151225767,11.175040256219363,34.20040246988911,46.50171833125705,29.035975138485988,7.76,2.33
2019-10-31,Ethiopia,4,2,1,1,0,0,0,0,0,0,0,0,0,23.505043225196808,13.805435790079857,30.011089455919148,39.004734362742475,37.02389037883305,6.36,2.55
2019-10-31,Senegal,5,0,2,1,0,2,0,0,0,0,0,0,0,26.53231439555864,12.20128763202259,18.642354196901426,27.040348138705795,37.05220715700256,8.52,4.26
2019-10-31,Ivory Coast,8,0,2,1,2,1,1,0,0,1,0,0,0,24.947829478164337,17.993971947809552,24.678383421026567,26.189914414658052,40.819955564135604,7.19,5.75
2019-10-31,Mali,14,2,5,3,2,1,0,0,1,0,0,0,0,39.91700045458463,20.54964797940168,19.353210929776562,20.394555171765138,30.121693190795344,7.9,11.06
2019-10-31,Burkina Faso,5,1,2,0,0,0,1,0,1,0,0,0,0,29.77426223739981,19.633027540222034,12.310144114355236,36.17972230685723,39.47171995425231,4.37,2.18
2019-10-31,Cameroon,6,1,2,1,1,1,0,0,0,0,0,0,0,17.404605386193886,22.17367489832172,16.77946622106551,34.203348588920335,36.67362681649041,7.24,4.34
2019-11-30,Nigeria,10,4,3,0,2,1,0,0,0,0,0,0,0,38.54094672044711,24.284873128659683,12.951393192570361,61.714049823781295,64.57456311619042,4.97,4.97
2019-11-30,Kenya,5,1,1,1,0,0,1,0,1,0,0,0,0,46.9998065811399,35.14034374850753,37.47425253356767,54.55363299610731,78.87527456933107,9.13,4.57
2019-11-30,South Africa,18,5,2,7,3,0,1,0,0,0,0,0,0,52.89057524746816,20.53699700588433,21.599701718766703,68.9838527167727,72.39568883447498,7.34,13.21
2019-11-30,Ghana,14,4,3,1,2,1,1,1,0,0,1,0,0,52.406596712005474,26.97783183586556,32.065681903546725,56.78324730598418,56.60920536100853,7.34,10.27
2019-11-30,Uganda,10,4,2,1,0,0,0,1,0,1,1,0,0,43.950802782940464,24.001534479571067,24.65714255502257,46.203318645648146,58.966301501125514,5.16,5.16
2019-11-30,Tanzania,15,5,1,2,0,4,2,1,0,0,0,0,0,27.537616954289046,19.756142160206196,21.535897768511514,37.15820997589975,31.78143035582414,6.15,9.23
