Temperature_C,Material_ID,Ionic_Conductivity_S_m,Electronic_Conductivity_S_m,Activation_Energy_eV,Electrolyte_Type,Test_Method,Sample_ID,Atmosphere
25,Ni_YSZ_Cermet,0.0045,2340.5,0.85,Mixed_Conductor,EIS,ELECTRO_035,H2_H2O
50,Ni_YSZ_Cermet,0.0123,2456.8,0.85,Mixed_Conductor,EIS,ELECTRO_036,H2_H2O
100,Ni_YSZ_Cermet,0.0534,2689.2,0.85,Mixed_Conductor,EIS,ELECTRO_037,H2_H2O
150,Ni_YSZ_Cermet,0.1234,2923.1,0.85,Mixed_Conductor,EIS,ELECTRO_038,H2_H2O
200,Ni_YSZ_Cermet,0.2456,3158.4,0.85,Mixed_Conductor,EIS,ELECTRO_039,H2_H2O
250,Ni_YSZ_Cermet,0.4234,3395.2,0.85,Mixed_Conductor,EIS,ELECTRO_040,H2_H2O
300,Ni_YSZ_Cermet,0.6789,3633.4,0.85,Mixed_Conductor,EIS,ELECTRO_041,H2_H2O
350,Ni_YSZ_Cermet,0.9923,3873.1,0.85,Mixed_Conductor,EIS,ELECTRO_042,H2_H2O
400,Ni_YSZ_Cermet,1.3834,4114.2,0.85,Mixed_Conductor,EIS,ELECTRO_043,H2_H2O
450,Ni_YSZ_Cermet,1.8723,4356.8,0.85,Mixed_Conductor,EIS,ELECTRO_044,H2_H2O
500,Ni_YSZ_Cermet,2.4789,4600.9,0.85,Mixed_Conductor,EIS,ELECTRO_045,H2_H2O
550,Ni_YSZ_Cermet,3.2234,4846.4,0.85,Mixed_Conductor,EIS,ELECTRO_046,H2_H2O
600,Ni_YSZ_Cermet,4.1267,5093.4,0.85,Mixed_Conductor,EIS,ELECTRO_047,H2_H2O
650,Ni_YSZ_Cermet,5.2123,5341.9,0.85,Mixed_Conductor,EIS,ELECTRO_048,H2_H2O
700,Ni_YSZ_Cermet,6.5034,5591.8,0.85,Mixed_Conductor,EIS,ELECTRO_049,H2_H2O
750,Ni_YSZ_Cermet,8.0234,5843.2,0.85,Mixed_Conductor,EIS,ELECTRO_050,H2_H2O
800,Ni_YSZ_Cermet,9.7923,6096.1,0.85,Mixed_Conductor,EIS,ELECTRO_051,H2_H2O
25,CGO_10mol,0.0089,2.3E-06,0.68,Oxide_Ion,EIS,ELECTRO_052,Air
50,CGO_10mol,0.0234,6.7E-06,0.68,Oxide_Ion,EIS,ELECTRO_053,Air
100,CGO_10mol,0.0923,2.1E-05,0.68,Oxide_Ion,EIS,ELECTRO_054,Air
150,CGO_10mol,0.2456,5.8E-05,0.68,Oxide_Ion,EIS,ELECTRO_055,Air
200,CGO_10mol,0.5234,1.4E-04,0.68,Oxide_Ion,EIS,ELECTRO_056,Air
250,CGO_10mol,0.9678,3.1E-04,0.68,Oxide_Ion,EIS,ELECTRO_057,Air
300,CGO_10mol,1.6234,6.2E-04,0.68,Oxide_Ion,EIS,ELECTRO_058,Air
350,CGO_10mol,2.5678,1.1E-03,0.68,Oxide_Ion,EIS,ELECTRO_059,Air
400,CGO_10mol,3.8923,1.9E-03,0.68,Oxide_Ion,EIS,ELECTRO_060,Air
450,CGO_10mol,5.6789,3.1E-03,0.68,Oxide_Ion,EIS,ELECTRO_061,Air
500,CGO_10mol,8.0234,4.8E-03,0.68,Oxide_Ion,EIS,ELECTRO_062,Air
550,CGO_10mol,11.1234,7.2E-03,0.68,Oxide_Ion,EIS,ELECTRO_063,Air
600,CGO_10mol,15.2345,1.0E-02,0.68,Oxide_Ion,EIS,ELECTRO_064,Air
650,CGO_10mol,20.5678,1.4E-02,0.68,Oxide_Ion,EIS,ELECTRO_065,Air
700,CGO_10mol,27.3456,1.9E-02,0.68,Oxide_Ion,EIS,ELECTRO_066,Air
