firm_code,firm_size,survey_date,industrial_zone,response_time_minutes,years_operation,employees_category,revenue_category,ownership_type,has_fdi,fdi_equity,fdi_joint_venture,fdi_tech_transfer,fdi_mgmt_contract,years_fdi_partnership,ka_technical_manuals,ka_staff_training,ka_tech_adaptation,ka_knowledge_commercialization,ka_average,tp_production_efficiency,tp_quality_control,tp_order_fulfillment,tp_employee_productivity,tp_average,rd_spending_percent,new_products_3years,process_inn_iot,process_inn_automation,process_inn_quality,process_inn_other,innovation_score,hr_skilled_workforce_percent,hr_training_hours,tech_modern_equipment,tech_machinery_age,fin_access_credit,fin_reinvestment_rate,firm_resources_score,gp_tax_incentives,gp_regulatory_stability,gp_infrastructure_support,gp_ease_permits,gp_average,perf_roi,perf_roa,perf_export_intensity,perf_capacity_utilization,perf_market_share,performance_composite
SME011,SME,2025-04-30,Lagos Island,20.36449240200447,6.0,2.0,2.0,1.0,1,1.0,1.0,0.0,0.0,1.0,4.0,4.0,2.0,4.0,3.5,4.0,4.0,3.0,3.0,3.5,1.5,3.0,1.0,1.0,0.0,0.0,1.3333333333333333,47.8,24.0,1.0,4.0,2.0,38.8,1.9428538351585198,4.0,4.0,5.0,4.0,4.25,23.3,15.5,22.7,95.0,52.6,56.1
SME012,SME,2025-08-18,Victoria Island,24.842850812984228,2.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.25,3.0,3.0,3.0,3.0,3.0,0.3,3.0,1.0,1.0,0.0,0.0,1.1333333333333333,40.7,28.0,1.0,5.0,2.0,6.1,1.5251395052376286,5.0,4.0,6.0,3.0,4.5,10.8,4.0,0.0,95.0,21.9,31.5
SME013,SME,2025-05-16,Agege,29.33725593885048,6.0,2.0,,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,2.5,2.0,5.0,3.0,3.0,3.25,1.4,4.0,1.0,1.0,1.0,0.0,1.8166666666666664,44.4,34.0,1.0,2.0,3.0,5.2,1.712982183132211,3.0,2.0,4.0,3.0,3.0,21.4,11.3,0.0,85.6,21.5,39.6
SME014,SME,2025-10-12,Oshodi,18.68042227377499,6.0,1.0,2.0,1.0,1,0.0,0.0,1.0,0.0,2.0,5.0,1.0,2.0,3.0,2.75,3.0,4.0,4.0,4.0,3.75,3.2,2.0,0.0,1.0,1.0,0.0,1.5333333333333334,57.5,19.0,1.0,8.0,1.0,12.9,1.6395754565175078,5.0,6.0,,3.0,4.25,16.6,8.3,58.6,95.0,59.1,56.4
SME015,SME,2025-04-18,Lagos Island,25.740084209588762,1.0,1.0,2.0,2.0,1,0.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,2.0,3.25,4.0,4.0,4.0,4.0,4.0,4.2,1.0,1.0,0.0,1.0,0.0,1.6166666666666665,74.5,62.0,1.0,13.0,2.0,60.0,1.722333602943418,4.0,4.0,2.0,5.0,3.75,12.3,7.0,57.5,95.0,28.5,47.0
SME016,SME,2025-07-18,Agege,24.100929638226972,8.0,,1.0,1.0,1,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,4.0,3.25,3.0,5.0,3.0,5.0,4.0,1.7,8.0,1.0,1.0,0.0,1.0,2.2,53.1,18.0,1.0,8.0,3.0,25.7,1.3904281202062487,4.0,2.0,5.0,3.0,3.5,26.5,18.0,17.8,95.0,33.9,54.6
SME017,SME,2025-09-04,Mushin,24.140198770616337,6.0,2.0,2.0,2.0,1,1.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.5,,3.0,3.0,4.0,3.25,4.0,5.0,1.0,1.0,1.0,0.0,2.333333333333333,54.8,24.0,1.0,5.0,1.0,34.0,2.10425687121637,4.0,4.0,3.0,3.0,3.5,31.0,23.6,13.7,95.0,40.3,61.1
SME018,SME,2025-07-19,Apapa,19.60510826638464,9.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,3.25,3.0,3.0,4.0,4.0,3.5,0.3,11.0,1.0,1.0,0.0,1.0,2.216666666666667,56.0,17.0,1.0,6.0,3.0,27.1,1.6120338568436898,4.0,5.0,4.0,4.0,4.25,17.2,13.1,0.0,95.0,39.2,44.2
SME019,SME,2025-09-20,Lagos Island,22.526637489671526,7.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,2.5,4.0,3.0,3.0,5.0,3.75,0.3,3.0,1.0,1.0,0.0,0.0,1.1333333333333333,48.2,21.0,1.0,3.0,2.0,30.5,1.9428271535185078,4.0,,5.0,3.0,3.75,18.9,13.2,0.0,95.0,10.7,39.4
SME020,SME,2025-09-19,Ikorodu,23.343125680051944,3.0,2.0,3.0,2.0,1,1.0,0.0,0.0,1.0,3.0,4.0,3.0,4.0,3.0,3.5,5.0,4.0,4.0,3.0,4.0,2.7,4.0,1.0,0.0,1.0,1.0,2.033333333333333,10.4,30.0,0.0,15.0,2.0,7.8,0.14721203710682823,3.0,6.0,5.0,3.0,4.25,24.7,20.1,24.5,95.0,31.6,55.9
SME021,SME,2025-07-17,Agege,25.952182196902978,7.0,2.0,,2.0,1,0.0,0.0,1.0,0.0,1.0,4.0,3.0,3.0,4.0,3.5,5.0,5.0,4.0,3.0,4.25,5.3,5.0,0.0,1.0,1.0,1.0,2.55,35.1,34.0,1.0,11.0,3.0,20.6,1.0311013800911348,6.0,6.0,3.0,4.0,4.75,25.7,18.5,23.8,95.0,41.2,57.2
SME022,SME,2025-10-02,Victoria Island,25.18720452962536,11.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,,1.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.75,0.2,3.0,0.0,1.0,1.0,0.0,1.1166666666666665,58.9,,0.0,14.0,3.0,18.1,0.6120672869586136,2.0,4.0,1.0,5.0,3.0,15.8,13.0,0.0,55.1,39.7,35.5
SME023,SME,2025-05-29,Apapa,25.32454845021255,3.0,2.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,2.75,3.0,5.0,4.0,4.0,4.0,0.5,0.0,1.0,1.0,1.0,0.0,1.3333333333333333,22.7,37.0,1.0,6.0,3.0,5.3,1.2262602280776176,4.0,4.0,5.0,3.0,4.0,17.3,10.0,0.0,87.3,4.4,33.7
SME024,SME,2025-07-09,Apapa,15.539829659188856,3.0,2.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,5.0,2.0,2.0,4.0,3.25,0.6,4.0,0.0,0.0,1.0,1.0,1.2666666666666668,74.0,30.0,0.0,11.0,3.0,4.6,0.8647355349030829,4.0,2.0,3.0,4.0,3.25,10.0,7.2,0.0,75.8,8.6,26.7
SME025,SME,2025-05-25,Agege,21.941086603219958,8.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,4.25,4.1,5.0,0.0,0.0,1.0,0.0,1.5166666666666664,33.9,35.0,1.0,6.0,2.0,31.6,1.6349334319322975,4.0,3.0,2.0,5.0,3.5,14.3,8.6,19.3,95.0,31.6,42.0
SME026,SME,2025-05-06,Ikorodu,24.500586884826774,3.0,2.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.25,0.2,4.0,1.0,,0.0,,0.7833333333333332,42.4,17.0,0.0,15.0,3.0,10.4,0.21776532963221618,4.0,4.0,2.0,2.0,3.0,24.9,15.1,0.0,92.8,14.7,44.0
SME027,SME,2025-05-19,Mushin,21.703331040426573,8.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,3.75,0.2,2.0,0.0,0.0,0.0,0.0,0.2,50.5,24.0,1.0,,2.0,21.9,1.8656802998864421,4.0,3.0,5.0,4.0,4.0,,8.9,0.0,93.5,10.6,33.9
SME028,SME,2025-04-16,Apapa,23.310814509239048,11.0,2.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,1.0,2.0,4.0,3.0,4.0,4.0,3.75,0.1,2.0,0.0,1.0,0.0,0.0,0.6,38.1,14.0,1.0,6.0,2.0,20.9,1.5224619596873648,5.0,2.0,2.0,3.0,3.0,14.6,12.1,0.0,95.0,20.9,38.6
SME029,SME,2025-10-02,Mushin,26.684533590180557,3.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.25,3.0,4.0,3.0,3.0,3.25,0.2,2.0,0.0,0.0,0.0,1.0,0.6166666666666667,49.3,42.0,0.0,21.0,3.0,16.7,-0.0879361754703331,6.0,4.0,5.0,3.0,4.5,11.8,6.2,0.0,76.3,6.3,26.5
SME030,SME,2025-07-31,Apapa,21.16956010033324,3.0,2.0,3.0,3.0,1,0.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.25,6.7,9.0,1.0,0.0,1.0,1.0,3.116666666666667,63.2,21.0,1.0,9.0,2.0,47.8,1.7423142209818046,4.0,2.0,3.0,3.0,3.0,17.5,10.6,3.0,95.0,52.8,46.0
SME031,SME,2025-08-15,Apapa,25.499645772931018,4.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,4.0,4.5,4.0,4.0,4.0,3.0,3.75,0.4,1.0,0.0,1.0,1.0,1.0,1.4,11.7,16.0,1.0,6.0,3.0,17.0,1.1349847831641229,3.0,4.0,5.0,3.0,3.75,23.6,12.7,0.0,93.4,17.6,42.5
SME032,SME,2025-07-08,Agege,16.694681903311444,10.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.25,0.8,3.0,0.0,0.0,0.0,1.0,0.8,43.6,17.0,0.0,12.0,3.0,37.7,0.7127528000180477,5.0,4.0,4.0,4.0,4.25,17.6,12.1,0.0,95.0,30.4,41.9
SME033,SME,2025-06-19,Ikorodu,18.66880144811194,8.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,2.75,3.0,3.0,4.0,4.0,3.5,0.1,2.0,0.0,0.0,0.0,1.0,0.6,45.1,31.0,1.0,16.0,2.0,14.6,0.7440397515270321,4.0,5.0,4.0,3.0,4.0,13.9,6.6,0.0,95.0,18.4,34.1
SME034,SME,2025-09-02,Ikorodu,21.983807870915395,5.0,2.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,3.75,4.0,4.0,3.0,3.0,3.5,0.7,6.0,0.0,0.0,1.0,0.0,1.0333333333333332,31.5,15.0,1.0,8.0,3.0,24.8,1.1675177666668528,4.0,2.0,3.0,4.0,3.25,15.1,14.1,0.0,95.0,6.6,37.3
SME035,SME,2025-07-15,Mushin,27.42362847639757,7.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.5,4.0,4.0,3.0,3.0,3.5,0.2,4.0,0.0,1.0,0.0,1.0,1.2,35.5,19.0,1.0,7.0,3.0,40.4,1.4450425315678121,2.0,3.0,4.0,4.0,3.25,17.5,13.2,0.0,95.0,25.2,41.6
SME036,SME,2025-04-25,Agege,23.951145366163807,5.0,2.0,2.0,1.0,1,0.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,3.0,3.5,5.0,4.0,3.0,5.0,4.25,2.6,3.0,0.0,0.0,1.0,0.0,1.1,84.9,20.0,1.0,8.0,3.0,40.9,1.792044546546875,4.0,4.0,3.0,3.0,3.5,20.1,14.8,34.0,95.0,17.9,49.3
SME037,SME,2025-04-17,Apapa,26.42216815746424,5.0,2.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,2.75,3.0,3.0,5.0,3.0,3.5,1.6,4.0,0.0,0.0,0.0,0.0,0.6,53.3,13.0,0.0,14.0,3.0,18.4,0.4774713745266485,1.0,4.0,,4.0,3.0,15.9,9.7,0.0,86.1,8.0,33.2
SME038,SME,2025-05-11,Oshodi,25.22843893792004,4.0,1.0,2.0,2.0,1,1.0,0.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,3.5,3.0,2.0,3.0,4.0,3.0,7.8,7.0,1.0,1.0,1.0,1.0,3.55,52.1,22.0,1.0,6.0,1.0,18.3,1.8338868383892188,5.0,5.0,5.0,3.0,4.5,31.9,19.9,43.4,95.0,27.4,62.4
SME039,SME,2025-05-30,Mushin,24.38046616165664,2.0,2.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.75,3.0,3.0,2.0,4.0,3.0,0.1,3.0,0.0,0.0,1.0,0.0,0.6833333333333335,35.7,30.0,0.0,14.0,2.0,9.4,0.4450029647380535,4.0,3.0,5.0,4.0,4.0,13.5,10.4,0.0,68.6,5.5,
SME040,SME,2025-09-02,Victoria Island,18.45912118123032,8.0,1.0,1.0,1.0,0,0.0,0.0,,0.0,0.0,3.0,1.0,2.0,3.0,2.25,4.0,4.0,2.0,3.0,3.25,0.6,6.0,0.0,0.0,0.0,0.0,0.6,33.7,29.0,0.0,13.0,2.0,19.0,0.630231107772869,3.0,4.0,5.0,2.0,3.5,10.3,8.5,0.0,79.8,33.7,33.5
SME041,SME,2025-07-08,Agege,25.581868779964836,5.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,2.5,4.0,3.0,3.0,3.0,3.25,0.7,3.0,0.0,1.0,0.0,0.0,0.7833333333333332,34.7,29.0,1.0,9.0,3.0,22.1,1.152053927250373,3.0,3.0,2.0,2.0,2.5,13.8,8.5,0.0,89.4,23.4,35.2
SME042,SME,2025-05-03,Mushin,22.639881122118815,12.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,2.5,3.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.9999999999999999,32.5,19.0,1.0,7.0,2.0,35.2,1.5318668296392515,1.0,4.0,2.0,3.0,2.5,14.9,12.3,0.0,78.6,5.5,32.5
SME043,SME,2025-04-21,Ikorodu,24.186054391650746,4.0,2.0,3.0,1.0,1,0.0,1.0,0.0,1.0,1.0,3.0,4.0,3.0,4.0,3.5,4.0,3.0,5.0,,4.0,3.0,3.0,1.0,0.0,1.0,0.0,1.5833333333333333,54.7,35.0,1.0,7.0,3.0,47.9,1.6908730501286764,4.0,3.0,3.0,5.0,3.75,14.1,13.2,10.9,95.0,38.9,44.8
SME044,SME,2025-09-29,Mushin,,5.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,3.5,2.0,1.0,1.0,1.0,0.0,0.0,1.25,55.5,17.0,1.0,7.0,1.0,15.2,1.7381615342470482,4.0,2.0,3.0,3.0,3.0,8.0,5.2,0.0,95.0,14.0,29.3
SME045,SME,2025-10-05,Ikorodu,18.21950570448226,4.0,1.0,1.0,2.0,1,1.0,0.0,1.0,1.0,6.0,3.0,4.0,4.0,4.0,3.75,3.0,4.0,4.0,3.0,3.5,3.2,4.0,0.0,1.0,1.0,0.0,1.7000000000000002,53.0,37.0,1.0,8.0,3.0,26.6,1.4839730640664859,3.0,4.0,4.0,4.0,3.75,22.5,14.6,22.0,95.0,10.1,46.4
SME046,SME,2025-07-03,Agege,18.12018112638651,7.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.4,2.0,0.0,1.0,1.0,0.0,1.0666666666666667,66.1,13.0,1.0,2.0,2.0,21.5,2.0835888300989027,2.0,4.0,2.0,3.0,2.75,18.3,13.0,0.0,95.0,50.7,47.0
SME047,SME,2025-09-27,Mushin,19.303647855030615,3.0,2.0,3.0,1.0,1,1.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,6.6,5.0,1.0,0.0,1.0,0.0,2.3499999999999996,64.7,52.0,1.0,9.0,2.0,34.4,1.7095157535506014,6.0,2.0,3.0,4.0,3.75,29.3,21.3,40.1,95.0,38.6,63.6
SME048,SME,2025-05-21,Ikorodu,22.750600618755083,6.0,2.0,3.0,1.0,1,1.0,1.0,1.0,0.0,,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.25,2.8,2.0,1.0,0.0,1.0,1.0,1.8833333333333333,41.7,38.0,1.0,6.0,3.0,39.7,1.5965849178212543,3.0,3.0,5.0,4.0,3.75,26.2,19.6,54.2,95.0,35.8,63.1
SME049,SME,2025-08-20,Victoria Island,18.69462040624032,2.0,1.0,1.0,2.0,1,0.0,0.0,1.0,0.0,5.0,4.0,4.0,5.0,5.0,4.5,3.0,5.0,5.0,4.0,4.25,3.0,,1.0,0.0,1.0,1.0,2.0833333333333335,81.5,21.0,1.0,2.0,2.0,33.1,2.3225015753817204,4.0,4.0,4.0,4.0,4.0,17.8,15.4,36.7,95.0,7.3,47.0
SME050,SME,2025-07-04,Victoria Island,21.355268934549766,7.0,2.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,2.25,4.0,3.0,4.0,3.0,3.5,2.0,1.0,0.0,0.0,1.0,1.0,1.25,34.4,23.0,1.0,6.0,3.0,18.9,1.3513746819439039,,2.0,6.0,3.0,3.5,23.7,18.6,0.0,95.0,,47.0
SME051,SME,2025-09-07,Agege,24.22804725507917,12.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,4.0,5.0,4.0,5.0,3.0,4.25,5.0,3.0,3.0,3.0,3.5,4.7,3.0,1.0,1.0,0.0,0.0,1.8666666666666667,59.1,26.0,1.0,5.0,1.0,24.1,1.9900391438206766,4.0,4.0,3.0,3.0,3.5,16.3,17.3,34.4,95.0,34.4,52.4
SME052,SME,2025-09-08,Mushin,22.25767901887999,10.0,1.0,2.0,1.0,1,1.0,1.0,1.0,,1.0,3.0,4.0,3.0,4.0,3.5,4.0,5.0,4.0,4.0,4.25,2.3,3.0,1.0,0.0,1.0,1.0,1.8833333333333333,88.5,57.0,1.0,4.0,2.0,30.8,2.3532733728431228,7.0,3.0,4.0,3.0,4.25,21.1,12.8,37.7,95.0,22.7,50.2
SME053,SME,2025-05-23,Agege,29.862379273089925,3.0,2.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.25,2.0,3.0,3.0,4.0,3.0,0.2,3.0,0.0,1.0,1.0,0.0,1.1166666666666665,83.8,18.0,1.0,7.0,3.0,2.3,1.523708403804804,3.0,3.0,3.0,1.0,2.5,20.0,,0.0,95.0,5.3,41.1
SME054,SME,2025-05-17,Lagos Island,26.539027798011965,7.0,2.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,3.5,4.0,4.0,3.0,4.0,3.75,0.8,5.0,0.0,1.0,0.0,0.0,0.9666666666666668,61.6,17.0,1.0,4.0,3.0,29.9,1.830473594229509,2.0,4.0,4.0,2.0,3.0,12.2,9.7,0.0,90.4,28.0,36.2
SME055,SME,2025-05-17,Lagos Island,23.65689981303857,8.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.25,3.0,3.0,2.0,4.0,3.0,1.2,7.0,0.0,0.0,1.0,0.0,1.2,51.5,15.0,1.0,6.0,3.0,43.3,1.709641072540278,4.0,5.0,4.0,5.0,4.5,27.3,21.1,0.0,95.0,17.3,50.2
SME056,SME,2025-07-13,Mushin,,8.0,2.0,,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,2.75,4.0,3.0,3.0,4.0,3.5,0.3,4.0,1.0,0.0,0.0,0.0,0.8,56.2,16.0,1.0,8.0,3.0,34.2,1.454238884084095,4.0,2.0,3.0,2.0,2.75,18.1,13.0,0.0,95.0,2.0,37.1
SME057,SME,2025-09-08,Victoria Island,19.577693795591156,5.0,2.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,2.5,3.0,4.0,3.0,4.0,3.5,1.0,1.0,0.0,1.0,1.0,1.0,1.5,44.0,12.0,0.0,13.0,3.0,4.3,0.32934881304213665,2.0,3.0,3.0,3.0,2.75,22.0,13.2,0.0,87.4,18.2,40.9
SME058,SME,2025-09-20,Ikeja,19.454714097427555,12.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,3.25,0.4,5.0,0.0,1.0,1.0,1.0,1.7333333333333334,42.9,13.0,1.0,5.0,2.0,20.9,1.6541425097528908,3.0,4.0,2.0,3.0,3.0,28.9,17.8,0.0,95.0,1.3,45.6
SME059,SME,2025-09-15,Oshodi,18.125423194695397,7.0,1.0,1.0,2.0,1,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,4.0,3.25,4.0,4.0,4.0,3.0,3.75,5.1,3.0,1.0,,1.0,1.0,2.7666666666666666,75.8,44.0,1.0,6.0,1.0,21.7,2.1050616754364486,4.0,3.0,6.0,2.0,3.75,26.6,17.9,27.5,,57.7,61.2
SME060,SME,2025-05-06,Oshodi,27.174089949283324,2.0,2.0,2.0,1.0,0,0.0,0.0,,0.0,0.0,2.0,2.0,1.0,2.0,1.75,4.0,3.0,3.0,,3.25,0.7,3.0,0.0,1.0,0.0,1.0,1.2,60.4,23.0,1.0,9.0,2.0,6.9,1.3912782693235146,5.0,5.0,5.0,2.0,4.25,10.4,7.0,0.0,92.7,11.5,30.7
SME061,SME,2025-04-22,Lagos Island,20.5946984551589,3.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.75,4.0,4.0,3.0,4.0,3.75,1.3,2.0,0.0,0.0,1.0,0.0,0.8,62.6,,0.0,10.0,2.0,35.3,1.2512710966306135,1.0,4.0,1.0,3.0,2.25,7.8,9.4,0.0,95.0,12.6,31.7
SME062,SME,2025-05-14,Apapa,25.754369265442794,7.0,2.0,2.0,1.0,0,0.0,0.0,0.0,,0.0,4.0,3.0,3.0,3.0,3.25,3.0,3.0,3.0,4.0,3.25,0.8,0.0,1.0,0.0,0.0,0.0,0.55,38.2,22.0,0.0,14.0,1.0,26.1,0.7701848139427665,6.0,2.0,4.0,1.0,3.25,20.3,15.1,0.0,95.0,1.6,39.6
