firm_id,survey_date,subsector,ownership_type,firm_age,num_employees,firm_size,total_assets_mn,export_intensity,knowledge_acquisition,knowledge_assimilation,knowledge_transformation,knowledge_exploitation,knowledge_absorption_avg,task_quality,task_efficiency,task_innovation,task_performance_avg,product_innovation,process_innovation,marketing_innovation,organizational_innovation,innovation_avg,fdi_ownership_pct,roi_pct,roa_pct,revenue_growth_pct,market_share_pct,operational_efficiency,productivity_index,skilled_labor_ratio,training_hours_per_emp,management_quality,iot_adoption,rd_spend_pct,tech_sophistication,erp_adoption,liquidity_ratio,access_to_credit,investment_capacity_mn,tax_incentives_eff,regulatory_stability,infrastructure_support,trade_facilitation,investment_protection,bureaucratic_burden,corruption_experience,policy_consistency,govt_support_utilized,policy_effectiveness_index,fdi_composite,performance_composite,fdi_x_policy,performance_adjusted,fdi_x_policy_x_size
FIRM_0015,2024-09-15,Grain Milling,Fully Nigerian,5.0,59,Medium,432.99,38.9,2.0,3.0,4.0,4.0,3.25,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.25,0.0,41.42,30.27,37.58,14.29,4.0,150.0,27.9,36.6,4.0,1,2.85,,1,1.07,4.0,103.31,5.0,5.0,4.0,6.0,5.0,1.0,2.0,5.0,1,5.38,0.45499999999999996,0.8792249999999999,2.4478999999999997,0.8789090551288501,1.640093
FIRM_0016,2024-01-14,Grain Milling,Fully Nigerian,28.0,48,Small,320.2,32.4,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.33,4.0,4.0,4.0,4.0,4.0,0.0,41.84,26.35,36.02,3.14,4.0,150.0,38.7,41.3,5.0,1,3.55,4.0,0,1.06,3.0,59.37,4.0,6.0,5.0,3.0,5.0,3.0,2.0,5.0,1,4.88,0.49,0.870475,2.3912,0.8864012676950532,0.789096
FIRM_0017,2024-04-11,Beverages,Foreign Majority,12.0,670,Large,3480.61,8.5,4.0,5.0,4.0,2.0,3.75,4.0,3.0,3.0,3.33,3.0,5.0,4.0,4.0,4.0,78.4,39.25,33.88,40.94,36.33,4.0,150.0,50.0,72.4,3.0,1,3.58,3.0,0,1.18,3.0,646.01,6.0,6.0,7.0,3.0,7.0,3.0,3.0,5.0,1,5.5,0.7776999999999998,0.882825,4.277349999999999,1.1069658324387925,4.277349999999999
FIRM_0018,2024-08-02,Meat Processing,Foreign Subsidiary,21.0,104,Medium,448.25,76.0,3.0,4.0,4.0,3.0,3.5,3.0,4.0,3.0,3.33,4.0,4.0,3.0,4.0,3.75,96.2,30.68,20.47,34.71,5.62,4.0,150.0,59.7,36.2,3.0,1,3.59,4.0,1,1.4,4.0,158.86,,5.0,2.0,7.0,4.0,3.0,3.0,4.0,1,4.38,0.7960999999999999,0.827875,3.4869179999999997,0.9475426952315497,2.33623506
FIRM_0019,2024-04-22,Beverages,Nigerian Majority JV,12.0,109,Medium,871.11,30.4,3.0,2.0,4.0,2.0,2.75,4.0,3.0,4.0,3.67,3.0,3.0,3.0,4.0,3.25,15.9,36.78,24.82,26.89,5.37,5.0,150.0,48.9,31.4,5.0,1,3.22,3.0,0,0.88,4.0,145.11,4.0,5.0,3.0,5.0,6.0,2.0,3.0,6.0,1,5.0,0.4677,0.904,2.3385,0.8843710054479756,1.566795
FIRM_0020,2024-08-17,Beverages,Fully Nigerian,12.0,116,Medium,558.31,29.7,4.0,4.0,3.0,3.0,3.5,4.0,3.0,4.0,3.67,5.0,3.0,4.0,5.0,4.25,,44.63,30.2,38.18,10.65,4.0,150.0,30.2,50.1,3.0,0,3.64,4.0,1,0.5,5.0,88.33,5.0,6.0,6.0,7.0,6.0,3.0,4.0,4.0,1,5.38,0.5425,0.8870750000000001,2.91865,0.9836236970678381,1.9554955
FIRM_0021,2024-05-22,Fish Processing,Joint Venture,26.0,26,Small,90.58,13.7,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.33,5.0,5.0,5.0,3.0,4.5,56.7,50.0,33.07,34.67,2.73,5.0,150.0,30.1,61.9,4.0,0,3.87,4.0,0,1.15,2.0,0.0,7.0,5.0,7.0,6.0,7.0,3.0,2.0,6.0,1,6.12,0.7650999999999999,0.9576749999999999,4.682411999999999,1.2520233669618828,1.5451959599999998
FIRM_0022,2024-01-04,Dairy Processing,Foreign Majority,8.0,732,Large,4236.25,67.4,3.0,4.0,4.0,3.0,3.5,5.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,86.6,50.0,32.81,44.1,29.5,4.0,150.0,59.7,70.9,4.0,1,3.43,5.0,1,1.34,3.0,880.59,5.0,7.0,4.0,6.0,7.0,2.0,2.0,5.0,1,5.75,0.7847999999999999,0.907025,4.5126,1.1434438827887656,4.5126
FIRM_0023,2024-03-22,Beverages,Nigerian Majority JV,13.0,67,Medium,247.41,,4.0,4.0,3.0,2.0,3.25,3.0,5.0,3.0,3.67,4.0,5.0,4.0,4.0,4.25,15.3,44.68,29.7,35.03,13.27,4.0,150.0,27.6,50.6,4.0,1,3.78,4.0,0,0.66,3.0,48.96,7.0,5.0,7.0,6.0,5.0,4.0,,6.0,0,5.75,0.5709,0.88595,3.282675,0.960175505652201,2.19939225
FIRM_0024,2024-08-04,Beverages,Foreign Subsidiary,8.0,89,Medium,403.31,25.4,3.0,5.0,5.0,4.0,4.25,5.0,5.0,4.0,4.67,5.0,5.0,5.0,4.0,4.75,94.9,42.75,25.83,53.68,13.32,4.0,150.0,67.1,56.4,5.0,1,4.1,5.0,1,1.35,5.0,137.86,7.0,7.0,5.0,6.0,7.0,2.0,3.0,5.0,1,6.0,0.9147000000000001,0.8714500000000001,5.488200000000001,1.157981673753233,3.6770940000000008
FIRM_0025,2024-06-23,Meat Processing,Foreign Subsidiary,9.0,282,Large,1463.14,12.0,4.0,5.0,,4.0,4.0,4.0,3.0,4.0,3.67,3.0,5.0,4.0,3.0,3.75,92.6,35.08,22.2,52.38,37.57,4.0,150.0,64.7,63.1,4.0,0,4.1,3.0,1,0.91,4.0,141.82,5.0,5.0,2.0,5.0,7.0,3.0,3.0,5.0,1,4.88,0.8202999999999999,0.8432,4.003063999999999,0.9523836899747997,4.003063999999999
FIRM_0026,2024-05-22,Bakery Products,Foreign Majority,10.0,50,Small,417.58,34.9,4.0,3.0,4.0,3.0,3.5,4.0,3.0,3.0,3.33,3.0,5.0,5.0,4.0,4.25,79.7,35.34,30.58,43.58,2.32,5.0,150.0,68.6,59.7,4.0,0,4.0,5.0,0,0.5,4.0,85.0,4.0,5.0,6.0,6.0,7.0,2.0,3.0,6.0,1,5.62,0.7816,0.9148000000000001,4.392592,1.1156286825706192,1.44955536
FIRM_0027,2024-03-20,Grain Milling,Foreign Majority,15.0,153,Medium,800.34,72.6,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.67,4.0,4.0,5.0,3.0,4.0,78.4,36.71,27.9,26.2,5.7,3.0,150.0,62.6,64.4,4.0,0,4.34,5.0,0,3.62,4.0,390.63,6.0,3.0,4.0,7.0,7.0,2.0,4.0,5.0,1,5.25,0.7951999999999999,0.811525,4.174799999999999,1.0128833286605845,2.797116
FIRM_0028,2024-04-20,Meat Processing,Fully Nigerian,8.0,54,Medium,384.21,16.9,4.0,3.0,4.0,4.0,3.75,4.0,3.0,4.0,3.67,5.0,5.0,4.0,4.0,4.5,0.0,34.66,27.04,49.62,9.89,4.0,150.0,40.9,55.7,4.0,1,4.22,4.0,1,0.63,3.0,153.34,4.0,6.0,5.0,5.0,6.0,2.0,3.0,3.0,1,5.0,0.5774999999999999,0.85425,2.8874999999999993,0.8982550599803654,1.9346249999999996
FIRM_0029,2024-06-21,Fish Processing,Fully Nigerian,33.0,180,Medium,1524.24,7.5,2.0,3.0,5.0,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,38.32,30.36,51.27,4.51,5.0,150.0,23.3,35.4,5.0,0,4.97,4.0,0,0.5,5.0,69.89,5.0,5.0,2.0,5.0,5.0,3.0,3.0,6.0,1,4.75,0.5249999999999999,0.9217,2.4937499999999995,0.9212150079922098,1.6708124999999998
FIRM_0030,2024-02-22,Dairy Processing,Foreign Subsidiary,6.0,393,Large,1141.11,27.8,5.0,3.0,5.0,5.0,4.5,3.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.5,91.4,49.02,39.82,43.33,17.63,4.0,150.0,65.5,55.8,4.0,1,4.1,5.0,1,0.5,5.0,27.24,4.0,6.0,4.0,5.0,4.0,2.0,3.0,6.0,1,5.0,0.9041999999999999,0.9220999999999999,4.520999999999999,1.1885294304441192,4.520999999999999
FIRM_0031,2024-02-17,Fish Processing,Foreign Subsidiary,10.0,144,Medium,568.2,25.2,3.0,4.0,5.0,5.0,4.25,3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.5,98.8,46.4,27.17,54.14,6.02,4.0,150.0,79.3,76.7,4.0,0,5.26,4.0,0,0.5,3.0,28.09,7.0,5.0,3.0,5.0,5.0,1.0,3.0,4.0,1,5.12,0.9089,0.8839250000000001,4.653568,1.154682917359102,3.11789056
FIRM_0032,2024-07-13,Grain Milling,Nigerian Majority JV,9.0,134,Medium,622.29,27.6,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.67,4.0,4.0,2.0,3.0,3.25,17.1,36.19,21.64,33.68,8.03,4.0,150.0,28.2,51.9,4.0,0,2.69,3.0,0,0.67,4.0,114.96,6.0,6.0,2.0,7.0,5.0,3.0,4.0,4.0,1,4.88,0.48879999999999996,0.8445750000000001,2.385344,0.8437993393710665,1.5981804800000001
FIRM_0033,2024-02-19,Dairy Processing,Nigerian Majority JV,39.0,377,Large,1773.06,13.1,3.0,4.0,3.0,3.0,3.25,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.25,41.1,29.72,18.39,19.15,10.73,4.0,150.0,60.3,49.3,4.0,1,3.43,5.0,1,2.08,4.0,570.95,7.0,6.0,4.0,4.0,5.0,5.0,4.0,5.0,0,4.75,0.6483,0.8202750000000001,3.079425,0.9112779529353202,3.079425
FIRM_0034,2024-07-02,Oil & Fats,Joint Venture,14.0,151,Medium,720.76,15.4,4.0,4.0,2.0,3.0,3.25,4.0,3.0,4.0,3.67,4.0,5.0,3.0,4.0,4.0,49.1,40.9,27.22,38.9,3.76,4.0,150.0,39.2,63.7,4.0,1,3.63,,0,0.97,4.0,188.85,5.0,6.0,5.0,6.0,5.0,2.0,5.0,3.0,0,4.88,0.6547999999999999,0.8703000000000001,3.1954239999999996,0.9416299355053616,2.14093408
FIRM_0035,2024-06-25,Other Food,Joint Venture,28.0,55,Medium,446.52,9.0,3.0,2.0,5.0,3.0,3.25,3.0,4.0,4.0,3.67,3.0,4.0,5.0,4.0,4.0,46.6,42.31,28.72,57.35,11.91,4.0,150.0,35.5,41.2,4.0,1,5.25,3.0,1,0.5,5.0,18.46,5.0,7.0,4.0,5.0,6.0,2.0,2.0,6.0,0,5.62,0.6473,0.877575,3.637826,1.0030443587170061,2.43734342
FIRM_0036,2024-05-15,Bakery Products,Nigerian Majority JV,4.0,12,Small,151.84,34.7,3.0,3.0,4.0,4.0,3.5,3.0,4.0,3.0,3.33,4.0,5.0,4.0,4.0,4.25,16.2,46.72,31.36,29.8,3.27,4.0,150.0,37.8,52.7,3.0,1,3.67,5.0,0,0.81,2.0,0.0,5.0,5.0,3.0,7.0,6.0,2.0,2.0,5.0,1,5.38,0.5911,0.8952,3.180118,0.9387546995688116,1.04943894
FIRM_0037,2024-01-23,Beverages,Foreign Subsidiary,15.0,62,Medium,428.53,24.7,4.0,4.0,3.0,3.0,3.5,4.0,3.0,4.0,3.67,3.0,4.0,4.0,3.0,3.5,91.7,41.18,29.48,45.82,12.88,5.0,150.0,64.7,56.4,4.0,0,2.92,2.0,0,0.81,3.0,15.34,4.0,4.0,3.0,6.0,6.0,4.0,3.0,6.0,1,4.75,0.7651,0.92665,3.634225,1.0845600559293929,2.43493075
FIRM_0038,2024-08-23,Dairy Processing,Fully Nigerian,25.0,58,Medium,261.65,14.5,3.0,3.0,4.0,3.0,3.25,4.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,3.5,0.0,39.49,27.75,37.59,11.21,4.0,150.0,39.1,48.1,4.0,1,3.17,4.0,1,0.65,4.0,,7.0,6.0,5.0,4.0,6.0,2.0,3.0,4.0,0,5.38,0.4724999999999999,0.8681000000000001,2.5420499999999997,0.8928507288229471,1.7031735
FIRM_0039,2024-10-01,Fruits & Vegetables,Foreign Majority,13.0,71,Medium,505.6,67.7,5.0,4.0,3.0,5.0,4.25,4.0,5.0,5.0,4.67,4.0,4.0,5.0,4.0,4.25,76.2,48.8,31.99,45.72,5.09,,150.0,43.2,63.5,5.0,1,3.92,5.0,1,1.61,4.0,52.24,7.0,6.0,5.0,7.0,6.0,4.0,2.0,7.0,1,6.0,0.8236,0.901975,4.9416,1.1498798988563317,3.3108720000000003
FIRM_0040,2024-03-04,Beverages,Fully Nigerian,29.0,66,Medium,580.35,52.9,4.0,3.0,4.0,4.0,3.75,5.0,4.0,5.0,4.67,3.0,4.0,3.0,4.0,3.5,0.0,38.94,20.73,35.91,6.81,5.0,150.0,34.3,55.6,4.0,1,2.99,4.0,1,1.08,3.0,61.58,5.0,6.0,5.0,7.0,7.0,1.0,2.0,4.0,1,5.88,0.5075,0.8991750000000001,2.9840999999999998,0.968508674911419,1.999347
FIRM_0041,2024-07-12,Dairy Processing,Nigerian Majority JV,8.0,87,Medium,638.97,37.7,4.0,3.0,3.0,3.0,3.25,4.0,4.0,3.0,3.67,4.0,4.0,4.0,4.0,4.0,31.5,44.63,28.26,41.55,4.86,4.0,150.0,32.6,38.5,4.0,1,3.83,4.0,0,0.5,4.0,0.0,6.0,4.0,7.0,5.0,5.0,2.0,,5.0,1,5.38,0.6019999999999999,0.882225,3.238759999999999,0.9734392634771847,2.1699691999999997
FIRM_0042,2024-02-10,Meat Processing,Joint Venture,38.0,97,Medium,260.72,49.8,3.0,3.0,4.0,4.0,3.5,4.0,4.0,3.0,3.67,4.0,4.0,4.0,4.0,4.0,42.4,33.27,21.64,32.39,13.39,4.0,150.0,27.8,56.8,4.0,0,5.05,4.0,1,1.58,3.0,97.74,5.0,3.0,5.0,7.0,5.0,1.0,4.0,6.0,1,5.25,0.6521999999999999,0.837275,3.4240499999999994,0.9265378240212461,2.2941135
FIRM_0043,2024-05-30,Dairy Processing,Fully Nigerian,60.0,75,Medium,446.98,42.3,,2.0,3.0,3.0,2.75,3.0,3.0,4.0,3.33,3.0,4.0,2.0,3.0,3.0,0.0,34.28,23.25,26.21,12.31,3.0,150.0,20.7,34.2,4.0,0,3.54,3.0,1,1.94,3.0,204.08,6.0,5.0,5.0,7.0,6.0,2.0,3.0,4.0,0,5.5,0.40249999999999997,0.793825,2.2137499999999997,0.7990935214699062,1.4832124999999998
FIRM_0044,2024-07-04,Oil & Fats,Joint Venture,9.0,139,Medium,388.5,21.7,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,42.3,38.91,23.85,41.48,5.7,3.0,150.0,35.2,51.7,4.0,1,3.37,4.0,0,1.1,3.0,75.18,7.0,3.0,7.0,6.0,4.0,2.0,3.0,5.0,0,5.38,0.6169,0.8069,3.318922,0.8955837890352085,2.2236777400000003
FIRM_0045,2024-04-08,Grain Milling,Joint Venture,9.0,58,Medium,231.42,,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.67,4.0,3.0,3.0,2.0,3.0,41.4,34.42,22.62,46.73,7.34,4.0,150.0,47.6,63.7,3.0,1,2.6,4.0,0,0.7,5.0,0.0,4.0,5.0,4.0,6.0,5.0,3.0,3.0,6.0,0,5.0,0.5442,0.8426,2.721,0.8839065563844543,1.8230700000000002
FIRM_0046,2024-02-05,Fruits & Vegetables,Foreign Majority,39.0,13,Small,95.26,26.6,4.0,4.0,5.0,5.0,4.5,5.0,4.0,5.0,4.67,5.0,5.0,4.0,5.0,4.75,79.3,47.83,30.09,54.3,4.98,5.0,150.0,65.3,62.2,5.0,0,4.03,4.0,1,0.54,5.0,44.93,5.0,5.0,7.0,4.0,7.0,3.0,2.0,4.0,0,5.38,0.8854,0.9448,4.763452,1.1689567522614257,1.5719391600000001
FIRM_0047,2024-01-24,Beverages,Fully Nigerian,43.0,29,Small,213.35,15.6,3.0,3.0,3.0,5.0,3.5,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.5,0.0,36.43,25.12,34.52,3.18,4.0,150.0,15.3,43.3,4.0,1,3.05,,1,2.39,3.0,74.52,7.0,4.0,6.0,6.0,5.0,2.0,3.0,4.0,1,5.38,0.48999999999999994,0.853875,2.6361999999999997,0.886667009145312,0.8699459999999999
FIRM_0048,2024-04-26,Meat Processing,Joint Venture,8.0,46,Small,312.42,35.8,4.0,3.0,4.0,4.0,3.75,5.0,4.0,4.0,4.33,4.0,5.0,5.0,4.0,4.5,54.2,41.45,25.8,31.37,4.02,4.0,150.0,49.8,56.2,5.0,0,3.65,5.0,0,1.04,3.0,99.48,6.0,4.0,4.0,7.0,4.0,3.0,,6.0,1,5.0,0.7401,0.868125,3.7005,1.0064470404428565,1.221165
FIRM_0049,2024-05-28,Fish Processing,Foreign Majority,9.0,34,Small,133.21,35.7,3.0,4.0,3.0,4.0,3.5,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,53.2,38.33,24.28,37.33,1.83,5.0,150.0,34.2,46.7,5.0,0,3.92,4.0,0,0.9,3.0,0.0,6.0,5.0,6.0,7.0,5.0,1.0,3.0,6.0,1,5.88,0.6845999999999999,0.906525,4.025447999999999,1.0607012400136429,1.3283978399999998
FIRM_0050,2024-02-10,Grain Milling,Joint Venture,10.0,105,Medium,515.54,4.4,4.0,4.0,3.0,4.0,3.75,5.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,51.2,43.73,26.68,56.73,6.08,5.0,150.0,51.7,63.4,4.0,0,3.43,4.0,1,0.5,4.0,0.0,6.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,1,4.75,0.6960999999999999,0.926025,3.306475,1.0536084166774589,2.21533825
FIRM_0051,2024-04-29,Other Food,Foreign Majority,4.0,931,Large,4462.66,26.6,3.0,4.0,3.0,4.0,3.5,4.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,54.2,41.32,28.46,44.5,32.51,4.0,150.0,40.0,53.5,4.0,1,4.26,4.0,1,0.5,5.0,371.01,6.0,4.0,3.0,5.0,7.0,4.0,3.0,7.0,1,5.12,0.6876,0.87445,3.520512,0.9444143410608977,3.520512
FIRM_0052,2024-02-21,Bakery Products,Foreign Subsidiary,6.0,640,Large,2758.85,12.2,4.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,4.67,5.0,4.0,4.0,5.0,4.5,99.0,48.1,31.07,52.38,31.74,5.0,150.0,49.2,77.1,4.0,0,4.91,4.0,0,0.5,3.0,205.9,7.0,5.0,5.0,4.0,7.0,3.0,2.0,6.0,1,5.62,0.8919999999999999,0.947925,5.013039999999999,1.2246423913090816,5.013039999999999
FIRM_0053,2024-07-13,Oil & Fats,Joint Venture,5.0,64,Medium,264.0,23.3,4.0,4.0,3.0,3.0,3.5,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.5,58.1,43.29,33.02,51.49,12.33,4.0,150.0,55.4,66.6,5.0,1,2.81,5.0,0,0.69,4.0,73.67,6.0,5.0,3.0,4.0,4.0,3.0,3.0,6.0,0,4.75,0.6642999999999999,0.8907750000000001,3.1554249999999993,0.9920714108014876,2.11413475
FIRM_0054,2024-05-22,Confectionery,Joint Venture,7.0,281,Large,1287.06,45.6,3.0,3.0,4.0,3.0,3.25,4.0,3.0,3.0,3.33,4.0,4.0,3.0,4.0,3.75,54.0,40.46,29.54,37.7,23.9,4.0,150.0,40.3,51.0,4.0,1,5.23,4.0,1,0.53,3.0,59.4,6.0,5.0,5.0,6.0,4.0,2.0,3.0,6.0,1,5.38,0.6519999999999999,0.875,3.5077599999999993,1.052631964388971,3.5077599999999993
