Specimen_ID,Mix_ID,Curing_Age_days,Test_Type,Compressive_Strength_MPa,Tensile_Strength_MPa,Modulus_of_Elasticity_MPa,Dry_Density_kgm3,UPV_mps
R10S-28-A-1,R10S,28,Ambient,47.01919067291169,4.752483429186147,30061.866456534408,2320,4227.615093211413
R10S-28-A-2,R10S,28,Ambient,47.70208750077076,5.050900625335327,29112.609957243727,2320,4281.366179204762
R10S-28-A-3,R10S,28,Ambient,47.27996992000048,4.803667328900256,28545.154542366698,2320,4077.0647443569023
R10S-56-A-1,R10S,56,Ambient,52.21176941274863,5.1260527575215145,29586.050241899356,2320,4180.294680796487
R10S-56-A-2,R10S,56,Ambient,47.808958766075314,4.919620183360195,29174.500184045526,2320,4132.608709385384
R10S-56-A-3,R10S,56,Ambient,51.0350925067392,5.169354680460579,31811.735158312298,2320,4214.6645362778745
R15S-7-A-1,R15S,7,Ambient,31.145983725736247,3.0612647285411425,20403.806245675645,2280,4047.8523760886133
R15S-7-A-2,R15S,7,Ambient,30.84260394778433,3.5294681697535357,21929.952907133487,2280,4074.4253347290223
R15S-7-A-3,R15S,7,Ambient,30.69663065407819,2.8593789020591966,23110.255368031278,2280,4110.906575647628
R15S-28-A-1,R15S,28,Ambient,42.62161549143824,3.8762906861204947,27458.906083373546,2280,3936.450063913825
R15S-28-A-2,R15S,28,Ambient,42.20305704229055,4.6388520839492555,24969.842221864084,2280,4004.1298839021756
R15S-28-A-3,R15S,28,Ambient,41.20428529842966,3.976144989087415,24387.310031691224,2280,4055.5536009592884
R15S-56-A-1,R15S,56,Ambient,40.763391256204564,4.342998850074343,25544.674772324783,2280,4175.544686806421
R15S-56-A-2,R15S,56,Ambient,41.364047288246255,4.141396053023807,27382.979064185743,2280,3950.2999903688496
R15S-56-A-3,R15S,56,Ambient,43.539607509235395,4.554203831080082,24814.78178477745,2280,4064.9553425411164
R20S-7-A-1,R20S,7,Ambient,25.071604957882425,2.591100696458931,18582.70454409334,2240,3797.0043841794263
R20S-7-A-2,R20S,7,Ambient,25.395902687450914,2.5191022239751284,19745.885408970476,2240,3927.022960340764
R20S-7-A-3,R20S,7,Ambient,23.908469407046617,2.509489674028409,19779.18267411957,2240,3844.2805893939435
R20S-28-A-1,R20S,28,Ambient,36.07852794338885,3.3938189183405343,21904.000782573563,2240,3951.2111814734385
R20S-28-A-2,R20S,28,Ambient,31.39177524412492,3.455842751541006,24065.907932686812,2240,3835.9867791685665
R20S-28-A-3,R20S,28,Ambient,34.58957061325313,3.3817306235334272,23756.295347194933,2240,4047.949852647008
R20S-56-A-1,R20S,56,Ambient,34.22486508902502,3.245283046640934,22625.279659239408,2240,3836.3667977726955
R20S-56-A-2,R20S,56,Ambient,34.516421288440064,3.468574533744107,23719.646646091292,2240,3964.52029342481
R20S-56-A-3,R20S,56,Ambient,34.67252577767847,3.695433739695464,23211.6460276895,2240,4112.17319499399
R10L-7-A-1,R10L,7,Ambient,19.33656313852969,1.7785697749031681,16271.793101318442,2200,3786.185431143239
R10L-7-A-2,R10L,7,Ambient,18.540503638757013,1.9553250555853605,17321.80158471001,2200,3744.5378315507346
R10L-7-A-3,R10L,7,Ambient,17.95613088931087,1.7045796872228403,16696.369832594428,2200,3814.2299095742605
R10L-28-A-1,R10L,28,Ambient,25.267617180162755,2.313139183193202,20138.544740680944,2200,3778.8988034796625
R10L-28-A-2,R10L,28,Ambient,23.895178204748586,2.523058765891829,20046.566974756803,2200,3664.277227662703
R10L-28-A-3,R10L,28,Ambient,25.447234200435354,2.584117678955235,20866.440994540222,2200,3829.035153902618
R10L-56-A-1,R10L,56,Ambient,24.44180895455632,2.4301060313331138,20820.268778042264,2200,3788.5339463184155
R10L-56-A-2,R10L,56,Ambient,26.92600008827669,3.170247015306155,20865.846656725626,2200,3835.167423013545
R10L-56-A-3,R10L,56,Ambient,27.50212731458483,2.6756399483267463,20142.74029637348,2200,3806.922691536995
