firm_id,survey_date,location,firm_age_years,firm_size_category,num_employees,total_assets_million_ngn,subsector,ownership_type,has_fdi,years_fdi_involvement,knowledge_absorption,task_performance,innovation_capability,skilled_labor_ratio_pct,iot_automation_use,rd_expenditure_pct_revenue,liquidity_ratio,tax_incentives_effectiveness,regulatory_stability,infrastructure_support,corruption_experience,policy_effectiveness_index,roi_percent,roa_percent,export_intensity_pct,market_share_pct,operational_efficiency
FIRM_0011,2024-01-18 00:17:20.963855421,Other,29,Small,14,20.35,Dairy Products,Foreign-Owned,1,10,3.69,3.82,3.61,44.1,2.19,6.01,1.52,3.4,2.33,4.43,7.0,2.98,14.3,12.7,30.26,21.87,4.37
FIRM_0012,2024-01-18 07:31:05.060240963,Oshodi,3,Medium,96,125.74,Grain Milling,Fully Local,1,3,4.18,3.56,3.64,36.2,4.18,3.81,2.31,5.8,6.31,5.67,1.66,6.0,30.85,15.72,40.53,9.54,4.56
FIRM_0013,2024-01-18 14:44:49.156626506,Alimosho,3,Large,699,641.02,Other Food Products,Joint Venture,1,3,3.74,4.12,3.61,59.7,5.0,4.07,1.71,4.01,2.27,3.6,6.43,3.02,31.12,14.55,38.53,19.41,4.23
FIRM_0014,2024-01-18 21:58:33.253012048,Agbara,3,Medium,59,107.97,Other Food Products,Foreign-Owned,1,3,3.5,3.6,3.36,44.6,2.41,3.89,1.13,6.65,4.7,7.0,1.78,6.09,22.07,17.55,45.54,7.34,3.99
FIRM_0015,2024-01-19 05:12:17.349397590,Ikorodu,8,Medium,105,123.62,Beverages,Family Business,0,0,2.62,3.04,2.18,25.6,2.02,0.0,1.65,3.57,3.54,4.98,4.61,3.88,10.87,8.25,13.08,12.98,3.85
FIRM_0016,2024-01-19 12:26:01.445783132,Isolo,8,Medium,79,140.39,Dairy Products,Joint Venture,1,8,2.58,3.29,3.17,37.9,3.25,2.75,1.77,1.04,2.77,2.13,5.21,2.1,14.58,8.63,25.0,13.56,3.15
FIRM_0017,2024-01-19 19:39:45.542168674,Ilupeju,8,Small,14,26.48,Oil & Fats,Joint Venture,1,8,3.71,3.68,3.27,40.4,3.57,7.23,1.75,4.75,3.89,3.18,2.61,4.19,22.05,22.87,32.94,11.33,4.17
FIRM_0018,2024-01-20 02:53:29.638554216,Alimosho,3,Small,42,29.75,Dairy Products,Joint Venture,1,3,3.46,4.12,3.22,32.0,2.35,3.17,1.37,2.51,4.82,4.11,4.55,3.75,21.82,12.05,54.44,11.48,4.41
FIRM_0019,2024-01-20 10:07:13.734939759,Ilupeju,8,Medium,167,204.44,Dairy Products,Foreign-Owned,1,4,3.85,3.3,3.13,20.1,3.86,3.07,1.8,5.03,3.7,5.57,2.23,4.88,19.35,15.28,36.12,10.64,4.65
FIRM_0020,2024-01-20 17:20:57.831325301,Isolo,3,Medium,114,107.23,Bakery & Confectionery,Joint Venture,1,3,3.29,3.06,3.34,58.2,2.68,3.03,1.45,4.27,4.59,4.89,2.43,4.72,27.42,14.75,37.42,11.8,4.18
FIRM_0021,2024-01-21 00:34:41.927710843,Ilupeju,3,Large,395,261.52,Fruit & Vegetable Processing,Fully Local,0,0,2.64,3.05,2.51,27.2,1.65,3.37,1.54,4.14,4.74,5.65,3.52,4.75,13.43,11.94,29.87,10.56,2.99
FIRM_0022,2024-01-21 07:48:26.024096385,Isolo,8,Large,473,1252.99,Oil & Fats,Family Business,0,0,3.06,2.85,2.7,33.2,3.14,0.94,0.62,4.66,2.19,3.65,5.79,3.3,9.63,14.15,16.57,15.21,5.0
FIRM_0023,2024-01-21 15:02:10.120481927,Ilupeju,8,Medium,226,313.54,Beverages,Joint Venture,1,8,3.92,3.88,3.96,41.2,4.11,5.31,1.46,6.37,4.92,5.24,1.44,5.68,30.43,22.46,58.84,12.26,5.0
FIRM_0024,2024-01-21 22:15:54.216867469,Ikeja Industrial Estate,8,Medium,60,117.94,Meat Processing,Joint Venture,1,8,3.89,3.35,3.15,32.7,4.51,6.32,2.29,3.97,3.32,4.59,3.93,3.94,12.67,15.46,45.54,7.87,4.56
FIRM_0025,2024-01-22 05:29:38.313253012,Ikorodu,3,Medium,134,117.77,Bakery & Confectionery,Fully Local,0,0,2.59,2.85,1.87,21.2,1.13,0.0,0.95,4.74,4.68,4.66,5.66,4.34,14.11,7.16,22.69,4.22,3.18
FIRM_0026,2024-01-22 12:43:22.409638554,Ilupeju,8,Medium,75,175.06,Other Food Products,Joint Venture,1,5,3.18,3.83,3.49,24.3,3.41,4.54,1.36,3.3,1.0,1.0,7.0,1.69,28.98,16.19,24.78,12.85,3.49
FIRM_0027,2024-01-22 19:57:06.506024096,Isolo,8,Medium,112,214.28,Meat Processing,Fully Local,0,0,1.86,2.57,1.52,48.4,1.63,0.0,1.13,5.06,2.04,3.54,5.22,3.43,13.68,9.7,13.83,14.51,3.1
FIRM_0028,2024-01-23 03:10:50.602409638,Ikeja Industrial Estate,3,Medium,135,225.26,Fruit & Vegetable Processing,Joint Venture,1,3,3.32,3.61,3.66,25.7,3.53,3.6,1.07,2.91,3.67,3.93,4.8,3.44,14.94,19.73,37.45,15.86,4.57
FIRM_0029,2024-01-23 10:24:34.698795180,Ikeja Industrial Estate,8,Large,938,1424.01,Bakery & Confectionery,Fully Local,0,0,3.81,3.48,2.41,23.6,2.9,1.96,0.59,4.56,6.93,4.68,2.43,5.45,20.15,8.4,48.24,16.49,4.29
FIRM_0030,2024-01-23 17:38:18.795180722,Apapa,3,Small,22,27.03,Oil & Fats,Joint Venture,1,3,3.73,3.92,3.32,32.5,2.04,5.07,1.45,5.14,3.36,4.02,4.56,4.07,20.22,15.87,32.65,14.92,3.68
FIRM_0031,2024-01-24 00:52:02.891566265,Oshodi,3,Small,42,45.25,Beverages,Family Business,0,0,2.55,2.82,2.04,35.0,1.18,0.0,1.3,5.12,3.69,2.74,5.74,3.67,15.53,16.65,17.58,4.79,3.27
FIRM_0032,2024-01-24 08:05:46.987951807,Ikeja Industrial Estate,29,Small,43,188.04,Bakery & Confectionery,Fully Local,0,0,2.53,2.95,2.27,36.9,2.08,0.0,1.51,3.95,4.64,5.87,1.0,5.09,20.58,12.14,14.65,17.46,4.46
FIRM_0033,2024-01-24 15:19:31.084337349,Alimosho,29,Medium,154,716.46,Dairy Products,Family Business,0,0,2.54,3.07,3.07,25.5,1.9,1.23,1.5,3.09,3.33,3.98,3.49,3.6,12.54,11.67,14.31,12.3,4.48
FIRM_0034,2024-01-24 22:33:15.180722891,Apapa,29,Small,44,192.91,Beverages,Fully Local,0,0,2.24,3.04,2.08,49.3,2.43,0.0,1.55,5.58,3.21,4.56,3.75,4.42,23.97,13.58,13.9,14.9,4.55
FIRM_0035,2024-01-25 05:46:59.277108433,Apapa,8,Medium,178,175.61,Beverages,Foreign-Owned,1,8,3.68,3.38,3.17,48.6,3.85,3.12,2.03,6.21,5.03,6.04,1.25,5.89,25.52,16.75,46.52,13.42,4.97
FIRM_0036,2024-01-25 13:00:43.373493975,Ikeja Industrial Estate,3,Medium,198,360.0,Bakery & Confectionery,Foreign-Owned,1,3,3.58,3.25,2.67,44.1,3.56,2.46,1.5,1.98,3.77,3.29,2.66,3.35,21.55,12.99,32.07,2.68,3.73
FIRM_0037,2024-01-25 20:14:27.469879518,Ikeja Industrial Estate,8,Small,15,42.68,Other Food Products,Joint Venture,1,8,3.54,3.56,3.65,46.8,3.83,3.72,1.36,5.69,6.45,6.02,1.0,6.2,22.91,18.09,42.47,12.85,3.07
FIRM_0038,2024-01-26 03:28:11.566265060,Agbara,8,Medium,246,312.27,Bakery & Confectionery,Foreign-Owned,1,7,3.52,4.06,3.47,65.9,3.64,5.52,1.53,4.29,6.02,3.33,3.96,4.53,28.69,15.87,62.53,20.14,4.56
FIRM_0039,2024-01-26 10:41:55.662650602,Ikorodu,3,Small,40,30.15,Meat Processing,Foreign-Owned,1,3,3.7,3.59,3.62,58.9,2.11,3.73,1.77,2.41,2.47,3.36,3.13,3.03,18.48,18.33,30.88,7.89,3.92
FIRM_0040,2024-01-26 17:55:39.759036144,Isolo,8,Small,14,27.99,Other Food Products,Fully Local,1,8,3.14,3.45,2.97,32.8,3.67,2.79,2.16,4.1,2.06,3.88,6.67,3.02,19.46,15.1,31.06,15.74,3.88
FIRM_0041,2024-01-27 01:09:23.855421686,Ikeja Industrial Estate,3,Medium,151,192.12,Meat Processing,Fully Local,0,0,2.37,2.5,2.21,39.4,1.53,0.11,1.01,3.77,4.7,6.96,3.45,4.96,12.76,12.82,14.98,6.91,3.78
FIRM_0042,2024-01-27 08:23:07.951807228,Apapa,29,Small,12,46.9,Beverages,Joint Venture,1,15,3.4,3.74,3.86,55.3,3.71,6.55,1.87,3.89,4.81,2.0,4.4,3.65,18.05,19.04,32.88,20.5,3.55
FIRM_0043,2024-01-27 15:36:52.048192771,Ilupeju,3,Small,32,27.11,Meat Processing,Foreign-Owned,1,3,3.3,3.83,3.28,42.0,3.76,3.25,1.68,4.43,4.47,2.43,4.12,3.86,23.52,14.79,36.28,0.5,4.38
FIRM_0044,2024-01-27 22:50:36.144578313,Other,8,Medium,102,198.37,Bakery & Confectionery,Foreign-Owned,1,2,3.98,3.32,3.78,23.6,3.33,3.56,1.21,3.43,2.98,3.47,4.88,3.26,17.71,12.29,43.88,23.43,4.25
FIRM_0045,2024-01-28 06:04:20.240963855,Apapa,8,Medium,214,240.06,Other Food Products,Foreign-Owned,1,8,3.8,3.81,2.82,39.9,2.41,2.95,1.64,4.13,3.65,1.0,6.43,2.82,14.57,11.64,32.31,19.91,4.1
FIRM_0046,2024-01-28 13:18:04.337349397,Oshodi,8,Small,19,20.6,Meat Processing,Fully Local,0,0,2.52,2.67,2.17,16.6,1.11,1.07,0.71,5.55,5.12,2.63,4.77,4.34,12.38,10.9,18.17,6.12,4.03
FIRM_0047,2024-01-28 20:31:48.433734939,Ilupeju,8,Medium,132,128.79,Grain Milling,Foreign-Owned,1,8,3.21,4.03,3.74,49.1,3.92,4.59,0.91,4.43,3.5,3.53,2.14,4.14,24.84,13.4,33.74,1.85,4.54
FIRM_0048,2024-01-29 03:45:32.530120482,Apapa,3,Small,26,57.06,Bakery & Confectionery,Fully Local,0,0,2.79,2.45,1.81,32.7,1.5,1.12,1.39,4.7,4.36,2.78,3.41,4.1,12.85,9.74,11.28,7.32,3.38
FIRM_0049,2024-01-29 10:59:16.626506024,Ilupeju,29,Small,30,92.76,Bakery & Confectionery,Joint Venture,1,17,3.59,4.12,3.62,30.9,3.25,8.05,1.68,5.92,6.28,3.93,3.62,5.3,23.85,16.75,40.06,9.45,4.49
FIRM_0050,2024-01-29 18:13:00.722891566,Ikeja Industrial Estate,8,Medium,127,189.59,Dairy Products,Fully Local,0,0,2.82,2.67,2.62,25.5,2.37,1.9,1.4,3.18,3.66,2.56,4.78,3.17,15.83,18.02,11.71,11.92,3.6
FIRM_0051,2024-01-30 01:26:44.819277108,Agbara,29,Medium,159,441.36,Beverages,Fully Local,1,3,4.2,3.72,3.3,64.1,3.92,4.25,1.85,2.87,4.18,3.56,3.43,3.69,14.53,8.42,33.5,20.53,4.28
FIRM_0052,2024-01-30 08:40:28.915662650,Apapa,29,Medium,50,222.03,Meat Processing,Fully Local,0,0,2.84,3.65,2.44,34.9,2.22,0.35,1.15,3.6,1.87,1.92,5.92,2.43,9.34,10.73,14.34,10.59,3.95
FIRM_0053,2024-01-30 15:54:13.012048192,Oshodi,8,Medium,100,163.9,Grain Milling,Fully Local,0,0,3.29,2.56,2.42,32.8,1.72,0.0,1.29,2.09,3.84,3.06,6.36,2.79,16.23,16.14,11.02,14.96,3.76
FIRM_0054,2024-01-30 23:07:57.108433735,Ikeja Industrial Estate,29,Large,934,3844.19,Fruit & Vegetable Processing,Joint Venture,1,6,3.91,3.77,3.92,64.2,5.0,9.84,1.52,2.89,1.49,1.98,2.45,2.64,18.93,16.94,37.46,34.49,5.0
FIRM_0055,2024-01-31 06:21:41.204819277,Other,3,Medium,53,63.46,Other Food Products,Fully Local,0,0,2.11,3.15,1.74,25.6,2.18,0.0,1.8,5.51,3.1,2.1,6.06,3.4,18.89,13.0,13.11,11.12,4.56
FIRM_0056,2024-01-31 13:35:25.301204819,Ikeja Industrial Estate,3,Small,10,13.82,Bakery & Confectionery,Fully Local,0,0,2.12,2.84,1.97,19.1,1.9,0.0,0.69,3.64,1.4,3.21,4.35,2.86,17.0,9.86,12.8,5.65,3.31
FIRM_0057,2024-01-31 20:49:09.397590361,Ikorodu,3,Medium,162,249.09,Grain Milling,Fully Local,0,0,2.39,2.91,1.67,11.1,1.76,0.05,1.19,3.36,4.72,1.3,5.18,3.17,16.25,7.73,23.25,0.77,1.39
FIRM_0058,2024-02-01 04:02:53.493975903,Agbara,8,Small,49,70.4,Oil & Fats,Fully Local,0,0,2.81,2.77,1.91,13.8,2.38,0.0,0.88,2.8,4.39,2.12,4.01,3.29,21.61,3.75,15.17,12.9,4.04
FIRM_0059,2024-02-01 11:16:37.590361445,Other,8,Medium,81,167.11,Oil & Fats,Fully Local,0,0,2.87,2.66,2.25,32.4,1.73,0.42,1.53,5.0,4.84,3.46,6.48,4.05,15.9,12.56,14.41,7.38,3.39
FIRM_0060,2024-02-01 18:30:21.686746988,Ilupeju,3,Small,43,64.25,Oil & Fats,Fully Local,1,3,3.53,3.55,3.39,37.3,2.33,4.29,1.41,1.0,2.39,2.09,7.0,1.69,18.85,9.83,36.59,1.56,3.12
FIRM_0061,2024-02-02 01:44:05.783132530,Oshodi,29,Small,37,72.62,Oil & Fats,Joint Venture,1,7,3.87,4.0,4.1,50.3,2.76,4.7,1.63,4.36,3.6,6.93,4.38,4.67,21.43,15.51,43.23,24.02,4.24
FIRM_0062,2024-02-02 08:57:49.879518072,Apapa,8,Large,344,745.15,Beverages,Joint Venture,1,2,3.99,3.6,3.77,38.7,3.02,6.14,2.0,2.66,4.41,2.65,6.88,2.95,29.97,13.68,32.6,25.63,3.76
FIRM_0063,2024-02-02 16:11:33.975903614,Ikeja Industrial Estate,3,Medium,121,174.69,Dairy Products,Joint Venture,1,3,3.51,3.39,3.31,34.8,2.86,3.33,1.57,5.35,5.49,4.25,4.45,4.85,29.32,21.23,35.08,9.3,4.53
FIRM_0064,2024-02-02 23:25:18.072289156,Ilupeju,8,Medium,88,138.51,Dairy Products,Joint Venture,1,8,3.73,3.49,3.29,50.8,3.76,3.74,1.81,5.31,5.29,3.84,3.51,4.82,23.01,24.47,39.93,21.48,3.59
FIRM_0065,2024-02-03 06:39:02.168674698,Ikeja Industrial Estate,3,Medium,203,512.34,Grain Milling,Fully Local,0,0,2.63,3.0,2.09,20.4,1.53,0.06,0.88,4.08,3.03,4.04,4.9,3.61,16.23,11.39,16.38,9.45,2.94
FIRM_0066,2024-02-03 13:52:46.265060241,Other,29,Small,43,148.05,Beverages,Foreign-Owned,1,4,4.13,3.75,3.84,38.3,3.35,5.15,1.27,5.62,4.65,6.48,3.64,5.35,29.99,17.09,45.41,15.25,4.73
FIRM_0067,2024-02-03 21:06:30.361445783,Ikeja Industrial Estate,3,Small,12,8.15,Oil & Fats,Joint Venture,1,3,3.69,3.56,3.13,44.2,2.38,4.96,1.58,3.97,4.45,1.95,3.02,3.76,19.33,11.38,36.4,4.78,4.32
FIRM_0068,2024-02-04 04:20:14.457831325,Isolo,29,Small,21,99.9,Fruit & Vegetable Processing,Joint Venture,1,10,3.51,3.93,3.25,49.5,3.03,3.55,1.7,3.11,1.82,2.88,5.56,2.56,15.97,15.37,31.11,24.26,4.13
FIRM_0069,2024-02-04 11:33:58.554216867,Isolo,8,Medium,242,561.26,Dairy Products,Fully Local,1,8,2.99,3.88,3.49,42.2,2.47,4.65,1.89,6.69,7.0,7.0,1.34,6.86,28.84,24.34,64.72,9.04,4.34
FIRM_0070,2024-02-04 18:47:42.650602409,Isolo,3,Medium,103,129.76,Dairy Products,Fully Local,0,0,2.43,3.01,2.09,38.8,1.65,0.0,1.22,5.2,4.11,4.02,2.66,4.6,16.91,11.44,16.08,11.06,3.25
FIRM_0071,2024-02-05 02:01:26.746987951,Oshodi,3,Medium,182,166.57,Beverages,Fully Local,0,0,2.48,3.25,2.38,23.3,1.85,3.31,1.35,4.79,1.0,4.97,5.85,3.3,16.41,4.42,12.83,6.18,3.3
FIRM_0072,2024-02-05 09:15:10.843373494,Ikeja Industrial Estate,29,Small,39,171.84,Meat Processing,Fully Local,0,0,2.55,3.29,2.38,39.6,2.35,0.0,0.88,5.65,5.26,4.03,2.92,5.04,14.95,15.51,21.99,12.39,4.05
FIRM_0073,2024-02-05 16:28:54.939759036,Isolo,8,Large,983,2119.49,Bakery & Confectionery,Joint Venture,1,8,4.44,3.87,4.11,37.5,5.0,5.79,2.54,3.94,3.58,3.77,6.36,3.44,16.6,20.74,42.56,30.57,5.0
FIRM_0074,2024-02-05 23:42:39.036144578,Apapa,8,Medium,106,219.9,Fruit & Vegetable Processing,Joint Venture,1,8,3.7,3.82,3.33,38.4,2.34,2.93,1.55,5.22,4.09,4.01,1.41,4.78,22.58,11.44,42.39,9.27,3.21
FIRM_0075,2024-02-06 06:56:23.132530120,Alimosho,8,Medium,194,449.91,Dairy Products,Joint Venture,1,2,3.71,3.52,3.48,47.5,3.92,3.42,1.91,6.9,6.25,4.27,1.0,6.06,29.08,19.68,56.07,10.41,4.58
FIRM_0076,2024-02-06 14:10:07.228915662,Agbara,3,Medium,161,310.27,Fruit & Vegetable Processing,Foreign-Owned,1,3,3.51,3.7,3.15,22.7,3.24,3.68,1.23,2.59,4.34,2.0,4.37,3.12,17.48,15.1,34.96,15.82,3.15
FIRM_0077,2024-02-06 21:23:51.325301204,Other,8,Medium,96,86.87,Bakery & Confectionery,Foreign-Owned,1,8,3.55,3.8,3.01,42.5,3.16,5.67,1.73,3.22,4.66,2.02,5.86,3.19,25.23,14.4,33.08,18.64,3.1
FIRM_0078,2024-02-07 04:37:35.421686747,Ikeja Industrial Estate,3,Small,32,42.55,Oil & Fats,Foreign-Owned,1,3,3.59,3.94,3.74,38.0,2.81,4.51,1.02,4.22,4.18,4.46,4.38,4.18,18.56,13.67,35.78,12.11,4.66
FIRM_0079,2024-02-07 11:51:19.518072289,Apapa,29,Small,24,60.43,Bakery & Confectionery,Family Business,0,0,2.28,3.39,1.89,37.0,1.68,2.65,1.71,6.2,4.58,5.66,3.12,5.38,14.01,16.47,14.5,10.7,4.23
FIRM_0080,2024-02-07 19:05:03.614457831,Ikeja Industrial Estate,8,Medium,134,247.3,Fruit & Vegetable Processing,Fully Local,0,0,3.26,2.97,2.87,36.2,2.06,0.84,1.17,2.01,1.84,2.02,4.34,2.21,14.92,10.05,13.61,7.89,3.66
FIRM_0081,2024-02-08 02:18:47.710843373,Ikeja Industrial Estate,8,Small,23,19.18,Dairy Products,Fully Local,0,0,2.56,2.83,2.72,28.1,1.96,0.67,1.31,1.0,1.36,1.97,4.85,1.67,13.05,5.41,13.8,8.55,3.67
FIRM_0082,2024-02-08 09:32:31.807228915,Apapa,3,Small,11,20.05,Dairy Products,Fully Local,0,0,2.47,2.94,2.11,36.6,1.0,0.0,1.52,3.35,2.03,2.63,5.12,2.7,16.92,3.99,16.03,7.6,3.09
FIRM_0083,2024-02-08 16:46:15.903614457,Oshodi,8,Small,20,40.14,Meat Processing,Joint Venture,1,8,3.61,3.95,3.77,29.8,2.54,5.86,1.1,2.15,2.43,2.74,4.19,2.63,15.49,17.72,32.97,5.31,3.59
FIRM_0084,2024-02-09 00:00:00.000000000,Apapa,8,Small,48,125.29,Fruit & Vegetable Processing,Foreign-Owned,1,8,3.85,3.54,2.78,41.3,2.78,2.66,1.33,3.68,3.74,3.0,3.82,3.6,24.55,16.11,30.24,13.4,5.0
FIRM_0085,2024-02-09 07:13:44.096385542,Ilupeju,8,Large,671,1109.9,Beverages,Fully Local,0,0,2.46,3.56,3.25,32.1,3.32,3.74,1.61,5.52,6.15,4.16,4.05,5.14,29.04,16.06,26.12,19.1,4.09
FIRM_0086,2024-02-09 14:27:28.192771084,Ikorodu,8,Medium,241,475.41,Bakery & Confectionery,Family Business,0,0,2.33,2.89,2.08,16.2,2.89,2.53,2.18,3.95,4.14,2.17,3.79,3.6,15.82,10.45,19.99,2.24,3.97
FIRM_0087,2024-02-09 21:41:12.289156626,Oshodi,29,Medium,87,153.16,Beverages,Fully Local,0,0,2.91,3.36,2.42,46.7,1.67,3.61,1.49,1.69,1.16,2.47,7.0,1.63,19.41,9.1,12.86,11.05,3.32
FIRM_0088,2024-02-10 04:54:56.385542168,Ilupeju,8,Small,43,97.9,Grain Milling,Family Business,0,0,2.69,2.5,2.32,48.2,1.42,0.28,1.54,3.47,4.77,3.16,5.51,3.63,11.51,8.35,14.37,5.49,2.66
FIRM_0089,2024-02-10 12:08:40.481927711,Apapa,3,Medium,131,121.81,Oil & Fats,Fully Local,0,0,2.44,2.71,2.41,22.8,1.54,0.99,1.22,3.99,3.59,5.51,1.0,4.7,20.72,10.73,20.28,7.52,2.71
FIRM_0090,2024-02-10 19:22:24.578313253,Ilupeju,8,Medium,79,144.05,Dairy Products,Fully Local,0,0,2.58,3.1,2.48,30.3,1.32,1.64,2.08,2.66,2.5,1.0,4.82,2.28,18.55,4.23,15.36,18.42,3.06
FIRM_0091,2024-02-11 02:36:08.674698795,Ikeja Industrial Estate,8,Small,24,67.11,Fruit & Vegetable Processing,Joint Venture,1,4,3.28,3.75,3.16,40.6,2.67,2.9,0.9,6.43,4.06,3.39,1.0,5.05,24.71,13.66,36.43,10.69,4.75
FIRM_0092,2024-02-11 09:49:52.771084337,Isolo,8,Medium,140,140.61,Dairy Products,Fully Local,0,0,2.79,3.1,1.96,18.8,2.4,0.13,1.36,4.67,3.45,5.17,2.0,4.63,16.77,11.44,24.39,5.4,4.16
FIRM_0093,2024-02-11 17:03:36.867469879,Apapa,8,Small,43,58.16,Bakery & Confectionery,Fully Local,0,0,2.59,3.07,1.93,6.7,1.09,0.0,0.65,4.9,5.18,4.56,3.85,4.79,3.27,12.79,12.71,9.09,4.06
FIRM_0094,2024-02-12 00:17:20.963855421,Ikorodu,8,Medium,101,254.75,Other Food Products,Fully Local,0,0,2.03,2.82,2.34,18.5,2.11,0.24,0.31,6.93,1.95,4.51,2.0,4.69,13.06,11.28,39.05,6.94,3.16
FIRM_0095,2024-02-12 07:31:05.060240964,Agbara,8,Medium,215,441.18,Dairy Products,Foreign-Owned,1,8,3.79,3.99,4.2,27.7,2.29,4.19,1.75,7.0,4.24,7.0,1.96,6.03,22.68,21.31,43.45,15.28,5.0
FIRM_0096,2024-02-12 14:44:49.156626506,Isolo,8,Small,42,97.26,Fruit & Vegetable Processing,Joint Venture,1,5,3.4,3.5,2.98,57.0,2.58,2.78,1.65,4.01,3.06,2.47,2.45,3.57,15.44,18.52,28.76,12.45,3.46
FIRM_0097,2024-02-12 21:58:33.253012048,Apapa,3,Small,33,47.65,Beverages,Fully Local,1,2,2.87,3.62,3.69,35.9,2.62,4.01,1.43,2.94,3.93,3.43,4.91,3.38,19.47,17.37,39.67,14.29,4.0
FIRM_0098,2024-02-13 05:12:17.349397590,Apapa,3,Medium,128,200.88,Beverages,Joint Venture,1,3,3.33,3.69,3.43,34.5,4.04,3.86,1.52,4.18,2.76,4.4,3.78,3.81,19.04,16.95,32.68,9.65,4.08
FIRM_0099,2024-02-13 12:26:01.445783132,Agbara,3,Medium,79,71.13,Fruit & Vegetable Processing,Foreign-Owned,1,3,3.84,3.42,3.34,46.4,2.76,4.37,2.79,3.07,1.81,5.04,4.01,3.32,16.95,15.25,35.78,17.31,3.93
FIRM_0100,2024-02-13 19:39:45.542168674,Ilupeju,8,Large,355,429.39,Dairy Products,Fully Local,0,0,2.67,3.35,2.18,16.8,1.12,0.0,1.26,4.71,4.56,6.91,2.04,5.4,13.03,9.71,25.7,17.63,4.53
FIRM_0101,2024-02-14 02:53:29.638554217,Apapa,8,Medium,100,89.84,Bakery & Confectionery,Fully Local,0,0,2.67,3.1,2.12,17.8,1.0,0.0,1.51,2.04,2.56,1.6,3.96,2.39,10.37,11.9,19.67,5.52,2.89
FIRM_0102,2024-02-14 10:07:13.734939759,Ikeja Industrial Estate,8,Small,26,73.12,Fruit & Vegetable Processing,Fully Local,0,0,2.63,2.79,2.27,25.4,1.7,0.0,1.04,2.38,3.36,3.7,3.53,3.32,19.15,15.78,34.06,18.9,2.78
FIRM_0103,2024-02-14 17:20:57.831325301,Ikeja Industrial Estate,29,Small,14,44.14,Dairy Products,Fully Local,0,0,2.94,2.53,1.6,46.7,2.34,0.0,1.65,5.43,5.33,4.2,3.61,4.94,14.73,13.81,12.53,15.11,3.85
