sample_id,temperature,cooling_rate,porosity,material,tec_mismatch,stress,strain,stress_hotspot_density,crack_risk,delamination_probability,material_E,material_nu,material_alpha,material_density,stress_strain_ratio,thermal_gradient,porosity_stress_factor
24,1336.8209952651107,7.624739299033768,0.08431310993265825,alumina,2.3e-06,2929659.446051821,7.91799850284276e-06,0.09,9.25318065927637e-05,0.07833700452619859,370000000000.0,0.22,8.1e-06,3950,369995327160.93555,0.7624739299033769,1.1686262198653166
25,1435.5527884179041,2.369330982275649,0.0639593849321302,zirconia,2.3e-06,721100.7337360672,3.605503668680336e-06,0.1,4.066715262719002e-05,0.009517065307554003,200000000000.0,0.31,1.05e-05,6100,199994453078.64154,0.23693309822756492,1.1279187698642603
26,1259.9021346475079,9.2100665979964,0.03087256762202032,titanium,2.3e-06,1320109.5457128177,1.2000995870116525e-05,0.12,0.00012741998983180043,0.06185710737237535,110000000000.0,0.34,8.6e-06,4500,109999083417.03798,0.92100665979964,1.0617451352440406
27,1354.2703315240835,9.035163456308972,0.013099482811900428,zirconia,2.3e-06,2749832.356267948,1.374916178133974e-05,0.08,0.00014109375598205136,0.04628710774085862,200000000000.0,0.31,1.05e-05,6100,199998545376.4487,0.9035163456308972,1.0261989656238009
28,1377.7243706586128,6.885110317323316,0.04063685486227696,alumina,2.3e-06,2645471.2334638434,7.149922252604982e-06,0.1,7.731022958316327e-05,0.039771962338798476,370000000000.0,0.22,8.1e-06,3950,369994825190.9305,0.6885110317323316,1.081273709724554
29,1213.9351238159993,7.050107348205446,0.025045996555615374,zirconia,2.3e-06,2145684.8451060057,1.0728424225530028e-05,0.11,0.00011265832377929639,0.15519464065083668,200000000000.0,0.31,1.05e-05,6100,199998135810.70615,0.7050107348205447,1.0500919931112307
30,1382.2634555704315,1.048052277727197,0.1199623043193135,silica,2.3e-06,4419.497556680952,6.313567938115645e-08,0.08,7.828348254781424e-07,8.44248994492011e-05,70000000000.0,0.17,5e-07,2200,69889303000.00722,0.10480522777271971,1.239924608638627
31,1251.1572371061875,9.863844095022419,0.02574971409394395,zirconia,2.3e-06,3002039.507180737,1.5010197535903684e-05,0.09,0.0001578321412598997,0.15011687758946396,200000000000.0,0.31,1.05e-05,6100,199998667581.37524,0.9863844095022419,1.051499428187888
32,1219.515477895584,8.90049343218233,0.11139195322295704,silica,2.3e-06,37532.20122004597,5.361743031435139e-07,0.11,6.556253089337416e-06,0.003552349979834007,70000000000.0,0.17,5e-07,2200,69986946978.51646,0.890049343218233,1.222783906445914
33,1484.665661176,9.055956031570828,0.06399221656865156,zirconia,2.3e-06,2756160.5313476436,1.3780802656738218e-05,0.11,0.00015544530872937896,0.03638024639447484,200000000000.0,0.31,1.05e-05,6100,199998548716.25626,0.9055956031570829,1.127984433137303
34,1489.6896099223677,6.933200833457848,0.020272974564128635,silica,2.3e-06,29236.389056749966,4.176627008107138e-07,0.1,4.345972314305556e-06,0.00032199931915222267,70000000000.0,0.17,5e-07,2200,69983244076.15515,0.6933200833457849,1.0405459491282574
35,1442.5192044349383,4.103082357890829,0.123782206920422,zirconia,2.3e-06,1248764.1958798175,6.2438209793990874e-06,0.08,7.789568860291187e-05,0.02021638136325867,200000000000.0,0.31,1.05e-05,6100,199996796884.51117,0.4103082357890829,1.247564413840844
36,1291.3841307520113,9.042837841814327,0.09114827983312586,titanium,2.3e-06,1296140.090660054,1.1783091733273218e-05,0.09,0.0001393110881848078,0.05590477493501272,110000000000.0,0.34,8.6e-06,4500,109999066466.85812,0.9042837841814327,1.1822965596662518
37,1229.3016342019152,3.623652353360731,0.04300661180090023,zirconia,2.3e-06,1102850.7162402226,5.514253581201113e-06,0.1,5.988552307477994e-05,0.0738649498753719,200000000000.0,0.31,1.05e-05,6100,199996373101.63275,0.3623652353360731,1.0860132236018005
38,1405.2699079536471,6.064403890079825,0.13525536440657351,alumina,2.3e-06,2330130.5716114407,6.297650193544435e-06,0.05,8.001232137210396e-05,0.039059438695024554,370000000000.0,0.22,8.1e-06,3950,369994124886.0525,0.6064403890079826,1.270510728813147
39,1332.0457481218805,1.8975787510949416,0.016336163941877202,alumina,2.3e-06,729108.1432091718,1.970562549213978e-06,0.11,2.034945414937344e-05,0.015560109317524658,370000000000.0,0.22,8.1e-06,3950,369981224588.6467,0.18975787510949416,1.0326723278837544
40,1236.6114704534336,9.297600671194752,0.0382547451476868,silica,2.3e-06,39206.74981829113,5.600964259755876e-07,0.06,6.029491180432402e-06,0.002393094080800285,70000000000.0,0.17,5e-07,2200,69987504382.97101,0.9297600671194752,1.0765094902953736
41,1348.553073033381,2.26693411994092,0.11528656989282053,alumina,2.3e-06,871025.8407003765,2.3541238937848016e-06,0.1,2.8969216314191623e-05,0.02296876690344828,370000000000.0,0.22,8.1e-06,3950,369984283567.88934,0.226693411994092,1.230573139785641
42,1210.3165563345656,3.024071251573665,0.10931291024338446,silica,2.3e-06,12752.107687358832,1.8217296696226904e-07,0.09,2.2200068133490415e-06,0.001314421795759432,70000000000.0,0.17,5e-07,2200,69961596060.47643,0.30240712515736656,1.218625820486769
43,1472.7961206236346,6.023207423153935,0.05049803712142692,titanium,2.3e-06,863326.3973187311,7.848421793806645e-06,0.11,8.641081583983175e-05,0.010813078396172763,110000000000.0,0.34,8.6e-06,4500,109998598462.19595,0.6023207423153936,1.100996074242854
44,1277.6339944800052,7.876837001916834,0.018683482549389636,alumina,2.3e-06,3026523.1403518915,8.179792271221328e-06,0.08,8.485446283535321e-05,0.11250162467547246,370000000000.0,0.22,8.1e-06,3950,369995476713.0455,0.7876837001916834,1.0373669650987793
45,1398.7566853061946,6.57416175342669,0.13013093011149213,alumina,2.3e-06,2525995.22756664,6.8270141285584865e-06,0.09,8.603825525425714e-05,0.0422170995540757,370000000000.0,0.22,8.1e-06,3950,369994580433.3568,0.657416175342669,1.2602618602229843
46,1293.5133228268232,3.0892052152014053,0.05391766932978636,silica,2.3e-06,13026.768979764964,1.8609669971092806e-07,0.1,2.061645003476848e-06,0.00047969523192597244,70000000000.0,0.17,5e-07,2200,69962405348.69379,0.30892052152014055,1.1078353386595727
47,1356.0204063533433,1.008487382747413,0.03739987808995713,titanium,2.3e-06,144549.85819379592,1.3140896199435993e-06,0.03,1.4123832031139368e-05,0.002663600662632894,110000000000.0,0.34,8.6e-06,4500,109991629822.79492,0.1008487382747413,1.0747997561799143
48,1364.0130838029838,7.814355222766952,0.08224865513053678,titanium,2.3e-06,1120057.5819299303,1.0182341653908457e-05,0.07,0.0001185730946813569,0.02265329742568351,110000000000.0,0.34,8.6e-06,4500,109998919709.00752,0.7814355222766953,1.1644973102610736
49,1255.456336657658,9.866865933199843,0.13743180789954262,zirconia,2.3e-06,3002959.1970608225,1.5014795985304112e-05,0.08,0.0001914181710031039,0.21500601416901202,200000000000.0,0.31,1.05e-05,6100,199998667989.44064,0.9866865933199844,1.2748636157990854
50,1490.8753883293675,8.289218082754815,0.01609652089807255,silica,2.3e-06,34954.53408390585,4.993504869129407e-07,0.06,5.154260980090544e-06,0.0003776776602572575,70000000000.0,0.17,5e-07,2200,69985984596.70494,0.8289218082754815,1.0321930417961451
51,1432.5398470083344,5.141859563409538,0.11721257232432426,silica,2.3e-06,21682.540327630584,3.097505761090083e-07,0.07,3.823638997183649e-06,0.0003438987195926797,70000000000.0,0.17,5e-07,2200,69977408465.43549,0.5141859563409538,1.2344251446486485
52,1481.8496824692568,9.13390535259196,0.09014625191141923,titanium,2.3e-06,1309193.1005381814,1.1901755459438013e-05,0.09,0.00014047552751107227,0.01899287355747216,110000000000.0,0.34,8.6e-06,4500,109999075774.35825,0.913390535259196,1.1802925038228385
53,1468.4482051282946,4.68862905806515,0.06956287631725436,silica,2.3e-06,19771.327353286782,2.824475336183826e-07,0.08,3.2174325931280077e-06,0.0002664807934980996,70000000000.0,0.17,5e-07,2200,69975225407.52576,0.468862905806515,1.1391257526345087
54,1379.3699936433254,5.724406758191208,0.11417126217470838,alumina,2.3e-06,2199493.212089622,5.94457624889087e-06,0.11,7.301975795750198e-05,0.04246724291726854,370000000000.0,0.22,8.1e-06,3950,369993775943.6425,0.5724406758191208,1.2283425243494168
55,1476.562270506935,5.2941679065611496,0.14521541942182853,alumina,2.3e-06,2034182.2071748418,5.497789749121194e-06,0.12,7.09451743774452e-05,0.0351115531915142,370000000000.0,0.22,8.1e-06,3950,369993270145.1487,0.529416790656115,1.290430838843657
56,1226.5477506155758,5.028614853989724,0.04208886956277674,alumina,2.3e-06,1932148.5535137441,5.222023117604714e-06,0.12,5.6616012173060535e-05,0.1325192254345561,370000000000.0,0.22,8.1e-06,3950,369992914759.157,0.5028614853989725,1.0841777391255536
57,1258.7948587257436,7.976716923645151,0.030110631110096743,silica,2.3e-06,33636.758111756666,4.805251158822381e-07,0.09,5.094629448891712e-06,0.0015884258886743404,70000000000.0,0.17,5e-07,2200,69985435634.20078,0.7976716923645152,1.0602212622201934
58,1213.5681866731613,5.740920165425428,0.13780344433117758,zirconia,2.3e-06,1747236.5720860001,8.73618286043e-06,0.1,0.00011143935037378505,0.19039207499651625,200000000000.0,0.31,1.05e-05,6100,199997710696.83533,0.5740920165425428,1.275606888662355
59,1297.5990992289794,3.850454098226945,0.10365343084402251,zirconia,2.3e-06,1171877.3342429835,5.8593866712149175e-06,0.09,7.074077733441242e-05,0.049539522095683255,200000000000.0,0.31,1.05e-05,6100,199996586731.71863,0.38504540982269453,1.207306861688045
60,1316.6031869068447,3.3234235089263047,0.07131804301867523,titanium,2.3e-06,476357.36961277045,4.330521541934277e-06,0.09,4.9482101851762143e-05,0.014878848648941552,110000000000.0,0.34,8.6e-06,4500,109997459948.90259,0.3323423508926305,1.1426360860373506
61,1281.4047095321687,1.3397258527069005,0.09025633983699961,silica,2.3e-06,5649.446366836329,8.07063766690904e-08,0.09,9.527490098840705e-07,0.0002684172428999474,70000000000.0,0.17,5e-07,2200,69913373173.15111,0.13397258527069006,1.1805126796739993
62,1448.6212527455789,6.248756456947413,0.11438594672467416,titanium,2.3e-06,895655.092162463,8.142319019658754e-06,0.07,0.00010005052758854729,0.01407906870441356,110000000000.0,0.34,8.6e-06,4500,109998649050.1197,0.6248756456947414,1.2287718934493483
63,1307.0259980080768,3.069652738609308,0.11822446581880039,silica,2.3e-06,12944.318777268167,1.8491883967525952e-07,0.12,2.2864270175613943e-06,0.0005218716805287827,70000000000.0,0.17,5e-07,2200,69962166015.02698,0.3069652738609308,1.2364489316376008
64,1284.2803529062141,2.3332052981474476,0.13878518531465503,zirconia,2.3e-06,710105.960305745,3.550529801528725e-06,0.1,4.536051674469464e-05,0.03826322882282177,200000000000.0,0.31,1.05e-05,6100,199994367196.4925,0.23332052981474477,1.27757037062931
65,1362.8088249474745,6.8844696744490985,0.06975799044538716,alumina,2.3e-06,2645225.0787594807,7.149256969620218e-06,0.08,8.146692568376988e-05,0.05175188517423255,370000000000.0,0.22,8.1e-06,3950,369994824709.3889,0.6884469674449099,1.1395159808907742
66,1242.2772674924288,7.13088332039394,0.051077527402715296,silica,2.3e-06,30069.989905275652,4.295712843610807e-07,0.11,4.734541624578261e-06,0.001827646729916776,70000000000.0,0.17,5e-07,2200,69983708476.09607,0.713088332039394,1.1021550548054306
67,1440.659094226212,7.769394030318994,0.09955299735057785,zirconia,2.3e-06,2364598.183140564,1.1822990915702819e-05,0.11,0.00014177019282316555,0.035416123664474324,200000000000.0,0.31,1.05e-05,6100,199998308394.97534,0.7769394030318995,1.1991059947011558
68,1222.3651931039312,5.5321920670473235,0.06820190589913425,zirconia,2.3e-06,1683710.6291013595,8.418553145506798e-06,0.08,9.566875884380228e-05,0.13340050753627158,200000000000.0,0.31,1.05e-05,6100,199997624323.07703,0.5532192067047323,1.1364038117982684
69,1496.0660809801552,9.04649144683498,0.0932437835528569,zirconia,2.3e-06,2753280.0055584726,1.3766400027792363e-05,0.11,0.00016333662476779393,0.04036911230051987,200000000000.0,0.31,1.05e-05,6100,199998547197.9109,0.904649144683498,1.1864875671057138
70,1431.6734307889972,9.42708478058405,0.06879801178383302,alumina,2.3e-06,3622176.0368474866,9.789664964452666e-06,0.1,0.00011136683935621052,0.04868168585178242,370000000000.0,0.22,8.1e-06,3950,369996220542.5632,0.942708478058405,1.137596023567666
71,1259.6147044602517,8.266338458132406,0.031419410134944425,zirconia,2.3e-06,2515842.139431602,1.257921069715801e-05,0.1,0.00013369673457293784,0.11850557058068005,200000000000.0,0.31,1.05e-05,6100,199998410087.76382,0.8266338458132406,1.0628388202698889
72,1201.6566351370807,6.720341338073685,0.07571974523225417,titanium,2.3e-06,963248.9251238952,8.756808410217229e-06,0.1,0.00010082935013955848,0.09650963980632733,110000000000.0,0.34,8.6e-06,4500,109998743848.91508,0.6720341338073685,1.1514394904645084
73,1444.6384285364502,3.733488582320698,0.10672849507174458,zirconia,2.3e-06,1136279.1337497777,5.681395668748888e-06,0.04,6.894129288014282e-05,0.017426459433824745,200000000000.0,0.31,1.05e-05,6100,199996479800.18536,0.3733488582320698,1.213456990143489
74,1412.0572031542852,9.84650429458199,0.12189973307347096,zirconia,2.3e-06,2996762.1766119106,1.4983810883059553e-05,0.1,0.00018636855977196212,0.04823284723680239,200000000000.0,0.31,1.05e-05,6100,199998665234.9873,0.984650429458199,1.243799466146942
75,1418.7021504122963,3.467225504727445,0.07906567875151654,silica,2.3e-06,14620.830441621758,2.0886900630888225e-07,0.07,2.4189774581681536e-06,0.00020400859855510055,70000000000.0,0.17,5e-07,2200,69966502209.47285,0.34672255047274453,1.158131357503033
76,1431.3811040057838,2.8239122979138793,0.03313330462945613,silica,2.3e-06,11908.063906865755,1.701151986695108e-07,0.08,1.8138815606874548e-06,0.00013880831451731828,70000000000.0,0.17,5e-07,2200,69958875587.75763,0.2823912297913879,1.0662666092589124
77,1222.213395520227,4.979387024079244,0.06805627935092042,silica,2.3e-06,20997.415161779947,2.999630737397135e-07,0.1,3.4079181522249485e-06,0.0016652492150116675,70000000000.0,0.17,5e-07,2200,69976671571.37079,0.4979387024079245,1.1361125587018408
78,1307.539718563282,1.5115651364114961,0.12008115003783774,zirconia,2.3e-06,460041.56325567275,2.300207816278364e-06,0.09,2.852631016087822e-05,0.018559961623352144,200000000000.0,0.31,1.05e-05,6100,199991305511.437,0.15115651364114963,1.2401623000756754
79,1234.760717857539,9.806450182046117,0.06780029788639019,zirconia,2.3e-06,2984571.794535775,1.4922858972678876e-05,0.12,0.00016946407540007312,0.20858744996779094,200000000000.0,0.31,1.05e-05,6100,199998659783.2215,0.9806450182046117,1.1356005957727804
80,1458.931027762678,6.295902007747824,0.10751431110459111,titanium,2.3e-06,902412.6211105217,8.203751101004742e-06,0.07,9.967792397200854e-05,0.013875239775644522,110000000000.0,0.34,8.6e-06,4500,109998659166.30318,0.6295902007747824,1.2150286222091822
81,1386.9894380482674,6.012568824977578,0.08100991543493255,alumina,2.3e-06,2310213.944674077,6.2438214720921e-06,0.08,7.255444370982093e-05,0.036969876703716466,370000000000.0,0.22,8.1e-06,3950,369994074236.8133,0.6012568824977578,1.162019830869865
82,1299.2694074557949,6.902166519097479,0.04377123751531554,zirconia,2.3e-06,2100659.375377494,1.050329687688747e-05,0.08,0.00011422781481471695,0.07010928016609866,200000000000.0,0.31,1.05e-05,6100,199998095854.10944,0.6902166519097479,1.087542475030631
83,1219.0675050858072,5.47321282999486,0.12146107112323039,alumina,2.3e-06,2102976.7758326405,5.683721015763893e-06,0.09,7.064422700844488e-05,0.2064014337588732,370000000000.0,0.22,8.1e-06,3950,369993490294.66315,0.547321282999486,1.2429221422464607
84,1293.2946965146987,1.2885716538508742,0.021789883569896182,zirconia,2.3e-06,392173.9816067879,1.9608699080339396e-06,0.09,2.0463241620174843e-05,0.012641708143881417,200000000000.0,0.31,1.05e-05,6100,199989800965.3702,0.12885716538508743,1.0435797671397924
85,1297.554996608024,6.510801599563571,0.08348463958572107,alumina,2.3e-06,2501650.306909234,6.761217045700632e-06,0.1,7.890132582142933e-05,0.09877320243634972,370000000000.0,0.22,8.1e-06,3950,369994527693.3843,0.6510801599563572,1.166969279171442
86,1418.8818535014193,7.445564892607876,0.03924474479407669,silica,2.3e-06,31396.96039051514,4.4852800557878775e-07,0.06,4.837327398026592e-06,0.00037557788879692645,70000000000.0,0.17,5e-07,2200,69984396872.43562,0.7445564892607877,1.0784894895881534
87,1391.267241406564,4.750741545616478,0.01938918799579259,zirconia,2.3e-06,1445877.861709363,7.229389308546815e-06,0.13,7.50973328534319e-05,0.017307834027909325,200000000000.0,0.31,1.05e-05,6100,199997233552.86295,0.4750741545616478,1.0387783759915852
88,1466.163822772898,7.815660148640736,0.08041075119165483,titanium,2.3e-06,1120244.6213051726,1.0184042011865205e-05,0.08,0.00011821854948548111,0.015706431788929717,110000000000.0,0.34,8.6e-06,4500,109998919889.37437,0.7815660148640737,1.1608215023833097
89,1341.6644775485847,3.0430116940457856,0.07993870183088929,alumina,2.3e-06,1169218.7239814384,3.160050605355239e-06,0.08,3.665271291579266e-05,0.029327609515302732,370000000000.0,0.22,8.1e-06,3950,369988291697.2573,0.3043011694045786,1.1598774036617785
90,1235.8782737814904,2.9914893195956562,0.1089661262346009,silica,2.3e-06,12614.713998294937,1.8021019997564196e-07,0.09,2.194838147742589e-06,0.0010058422668405215,70000000000.0,0.17,5e-07,2200,69961178014.32784,0.29914893195956566,1.2179322524692018
91,1413.9734361668984,2.4527528891881656,0.11426509702726667,titanium,2.3e-06,351561.2474503038,3.196011340457307e-06,0.09,3.9263964322925054e-05,0.0055241714770498315,110000000000.0,0.34,8.6e-06,4500,109996558317.64659,0.24527528891881656,1.2285301940545335
92,1428.2355145850693,4.347952838102456,0.11189080841700554,silica,2.3e-06,18334.740883564577,2.6192486976520823e-07,0.07,3.2053884061030427e-06,0.0002859218578145639,70000000000.0,0.17,5e-07,2200,69973284978.61186,0.4347952838102456,1.223781616834011
93,1368.3831592708489,8.623108318501751,0.0673382226083457,zirconia,2.3e-06,2624424.2708483594,1.3122121354241798e-05,0.07,0.00014889362011933117,0.048125505113821715,200000000000.0,0.31,1.05e-05,6100,199998475867.80774,0.8623108318501752,1.1346764452166913
94,1431.2901539863683,8.451208559341579,0.09843657021171874,titanium,2.3e-06,1211339.8935056266,1.101218085005115e-05,0.12,0.0001318018347691156,0.01807540615892239,110000000000.0,0.34,8.6e-06,4500,109999001115.19586,0.8451208559341579,1.1968731404234374
95,1348.1386789093172,4.445417871671534,0.09077233397015443,alumina,2.3e-06,1708066.3283845624,4.616395482120439e-06,0.09,5.4544774670031354e-05,0.04171177526478085,370000000000.0,0.22,8.1e-06,3950,369991985262.3829,0.4445417871671534,1.1815446679403088
96,1356.8198488145981,6.302068623822129,0.06901864585636873,alumina,2.3e-06,2421448.6750762723,6.54445587858452e-06,0.12,7.447834843797831e-05,0.05015990077129102,370000000000.0,0.22,8.1e-06,3950,369994346446.01,0.630206862382213,1.1380372917127375
97,1328.2623055075649,7.487346848274241,0.09360977718603904,titanium,2.3e-06,1073186.3815859747,9.75623983259977e-06,0.13,0.00011582798706406217,0.03228260107050145,110000000000.0,0.34,8.6e-06,4500,109998872527.99834,0.7487346848274241,1.187219554372078
98,1207.6257380232285,3.170860971652207,0.14261470273887675,alumina,2.3e-06,1218342.350261752,3.2928171628696003e-06,0.11,4.232025444581839e-05,0.14289470807710797,370000000000.0,0.22,8.1e-06,3950,369988763762.2904,0.31708609716522074,1.2852294054777536
99,1232.3674280979913,2.513269773052724,0.03700512411539283,silica,2.3e-06,10598.12554901751,1.51401793557393e-07,0.08,1.6260707788116181e-06,0.0006713914551762132,70000000000.0,0.17,5e-07,2200,69953795926.53238,0.25132697730527237,1.0740102482307856
100,1209.4287557060202,9.748863938910798,0.13680809340997369,titanium,2.3e-06,1397337.164577215,1.2703065132520136e-05,0.11,0.00016178829375005724,0.15823193219332482,110000000000.0,0.34,8.6e-06,4500,109999134074.0764,0.9748863938910799,1.2736161868199474
101,1390.923123379134,6.558015818886567,0.01748377195764777,alumina,2.3e-06,2519791.4627183382,6.810247196536049e-06,0.09,7.048384814454941e-05,0.030004185059632725,370000000000.0,0.22,8.1e-06,3950,369994567090.4974,0.6558015818886567,1.0349675439152954
102,1294.306794322898,9.832741496502974,0.05317448980623249,silica,2.3e-06,41463.367756337844,5.923338250905406e-07,0.08,6.5532792297886795e-06,0.0015103384594269337,70000000000.0,0.17,5e-07,2200,69988184334.34497,0.9832741496502975,1.106348979612465
103,1352.5712073494108,4.039803884190062,0.05034033480561395,alumina,2.3e-06,1552216.9539637968,4.19518095665891e-06,0.06,4.617554584515601e-05,0.031220070903311695,370000000000.0,0.22,8.1e-06,3950,369991180566.8363,0.4039803884190062,1.100680669611228
104,1472.269942177828,7.327285299767183,0.09769111510332679,silica,2.3e-06,30898.19102311463,4.414027289016375e-07,0.09,5.276449784937425e-06,0.00045990584701732974,70000000000.0,0.17,5e-07,2200,69984145058.36145,0.7327285299767183,1.1953822302066537
105,1274.7876687446624,3.0034327288711395,0.028371493248820642,zirconia,2.3e-06,914088.221830347,4.570441109151735e-06,0.09,4.8297815872965963e-05,0.03650818598306941,200000000000.0,0.31,1.05e-05,6100,199995624150.50592,0.300343272887114,1.0567429864976412
106,1323.114876910689,3.3508015414652164,0.13352866565756552,silica,2.3e-06,14129.886018226818,2.018555145460974e-07,0.11,2.557625095720208e-06,0.0005083346055085034,70000000000.0,0.17,5e-07,2200,69965338901.41235,0.33508015414652165,1.267057331315131
