firm_id,firm_size,firm_age,employees,total_assets_million_naira,subsector,ownership_type,ka_acquire_external_knowledge,ka_assimilate_new_info,ka_transform_knowledge,ka_exploit_knowledge_commercially,tp_work_quality_standards,tp_efficient_task_completion,tp_productivity_levels,tp_goal_achievement,inn_product_innovation,inn_process_innovation,inn_marketing_innovation,inn_organizational_innovation,fr_skilled_labor_ratio,fr_rd_spend_ratio,fr_iot_adoption,fr_liquidity_ratio,roi_percent,roa_percent,export_intensity_percent,market_share_percent,operational_efficiency_score,gp_tax_incentives_effectiveness,gp_regulatory_stability,gp_infrastructure_support,gp_ease_of_doing_business,gp_corruption_experience,gp_policy_consistency,gp_government_support_programs,policy_effectiveness_index,fdi_presence,fdi_type,fdi_amount_million_usd,fdi_origin_country,survey_date,respondent_position,response_completeness,response_time_minutes
FIRM_011,SME,5,17,999.0,Dairy Products,Local Private,3.2166349661403264,3.792643613558867,2.5226617818601214,3.932297516841369,3.5842221965285224,3.5093379271955913,5.0,4.2598768434046415,4.543378155804534,2.213810693637464,3.163958081675958,3.6038201234491876,71.53252145251618,1.452365069606867,0,5.0,22.02,13.6,21.0,5.55,8.3,3.5,3.8,1.4,4.1,2.8,3.1,3.3,3.49,0,None,0.0,None,2024-01-17 12:12:02.408026755,General Manager,0.8518624133754135,52
FIRM_012,Large,16,250,50000.0,Beverages,Local Private,2.6175976470166926,3.1931637773795876,3.539085056383967,3.572041035655112,3.980664403515045,4.005900099706593,3.176482061452831,3.566367579534036,3.260647891435795,2.3867288975963086,4.141211098888987,3.543411468250105,58.22079397366129,0.3338792837581529,1,2.818816447680562,17.07,11.46,3.2,2.28,8.4,5.4,1.8,1.0,2.7,3.1,3.8,4.2,3.4,0,None,0.0,None,2024-01-17 18:13:14.648829431,Finance Manager,0.8756923954438227,19
FIRM_013,SME,34,10,999.0,Grain Milling,Local Private,3.053682847116128,3.8878680831575148,4.723913298808069,3.7564903977756248,3.9103007097935025,3.105175202408856,3.89314356217616,4.339103179428632,2.036506395035066,2.7187612764446407,2.462443427614745,2.6473109111518203,59.97322663716073,5.095096680057117,0,4.447110252460777,18.41,16.05,5.6,2.95,8.1,3.0,3.1,3.8,2.8,5.4,2.6,4.4,3.19,0,None,0.0,None,2024-01-18 00:14:26.889632107,Finance Manager,0.9757263881028608,11
FIRM_014,Large,11,413,23901.87,Beverages,Foreign,4.299901135318548,3.166326357170793,2.928186587445431,4.074547728426289,5.0,4.198888961314498,3.9558082857589176,4.571570047291708,2.868796511060916,1.8709443362288656,3.7312252417576177,2.0840121218307424,14.819121090659234,2.833251901727956,0,2.140252219317317,31.37,18.66,0.1,1.32,5.5,6.0,1.7,4.4,4.1,4.6,1.9,3.0,3.5,1,Greenfield,12.08,Netherlands,2024-01-18 06:15:39.130434782,General Manager,0.8532458987417746,11
FIRM_015,Large,8,459,25948.02,Meat Processing,Local Private,2.683228656700372,4.221187246310649,3.7477821479333637,3.0349532934533414,4.0098800147407445,4.754636626026745,3.6563853852426327,3.1502074485559484,2.9180168720444466,2.2232903384052687,4.498573033980271,2.0753368036265902,28.003485907534554,2.6313383481697934,0,0.5,20.3,14.51,0.1,1.4,7.1,4.1,2.7,2.7,3.9,1.5,2.1,3.8,3.69,1,Joint Venture,17.78,France,2024-01-18 12:16:51.371237458,Production Manager,0.8849720955427129,52
FIRM_016,Large,14,256,28986.12,Beverages,Local Private,2.5606463946797975,3.6587495345386656,1.9360543379159527,2.8102106123937993,3.197567241894794,4.34942739198543,3.4209238390085552,3.197847577722232,3.3726303458434055,3.733085125108578,4.142862794199927,2.6640585786528175,62.253140656241634,2.4701063598682547,0,3.389548703388371,29.02,22.4,2.2,0.35,7.1,5.3,1.4,2.3,2.2,4.7,1.3,3.0,2.69,0,None,0.0,None,2024-01-18 18:18:03.612040133,CEO,0.9635958393002313,18
FIRM_017,Large,8,555,12387.46,Sugar & Confectionery,Local Private,2.813805182254374,3.3248884991970398,2.2392072608637923,2.4318795787537613,3.742721451746556,3.0892782711348135,3.848780311600037,3.6157749646567985,1.5331416367191735,1.9233671959921324,1.4986442472283936,3.5800666424807623,40.82134583013979,0.44713683585560293,0,5.0,23.6,13.53,0.9,2.75,8.1,3.9,1.3,2.0,5.1,3.8,1.6,4.1,3.17,1,Greenfield,19.67,UK,2024-01-19 00:19:15.852842809,Production Manager,0.9379165803847203,50
FIRM_018,SME,10,10,989.91,Meat Processing,Local Private,2.4373371133930304,3.7134018480671944,3.52516565009234,2.639671576016836,2.734252199920129,3.8529921220911723,1.4742031318242517,3.884567600913518,3.492567273847331,1.6619150789546462,2.420956314703381,3.835421122209892,42.598952545140165,0.47399487884769226,1,1.4687698854037765,12.3,10.17,2.4,0.73,8.6,2.9,3.6,1.6,2.7,4.0,1.3,3.7,2.83,1,Greenfield,11.86,South Africa,2024-01-19 06:20:28.093645484,Operations Manager,0.9674103565540287,10
FIRM_019,SME,13,31,893.4,Sugar & Confectionery,Foreign,3.2981362527958367,2.3003866935520505,4.435704425682369,5.0,3.7516401504219434,2.6948009193689466,4.045655592050105,3.3852597917397698,1.0,2.532977518419495,2.320318824005224,2.5531214380662277,65.20758634344199,2.3313832598484923,1,0.5,23.28,14.36,1.6,2.04,7.4,3.5,2.4,4.1,3.4,3.0,1.9,2.7,3.29,1,Greenfield,28.53,Other,2024-01-19 12:21:40.334448160,Finance Manager,0.9619225755740182,12
FIRM_020,SME,5,12,999.0,Grain Milling,Local Private,4.499742766775649,2.611262771763136,3.4200520139070942,4.29574366458943,3.300166365799545,4.000673217822973,3.6009423229295736,4.511321607320287,2.2701154476361896,3.7587599522588615,3.2381799885839606,1.9618568166136945,31.720581775499156,0.4962119477579301,0,0.85155215337972,20.19,13.1,0.2,4.79,8.4,2.1,2.6,2.5,5.2,4.7,1.8,2.6,2.87,1,M&A,36.81,South Africa,2024-01-19 18:22:52.575250836,CEO,0.8575902080682707,15
FIRM_021,Large,23,291,35321.68,Fish Processing,Local Private,3.4584634184928236,2.564252495520661,2.818247772529161,2.2191405070335826,4.349234165336097,3.915422389003777,3.322020082577388,3.954440116911071,2.4117261575484554,2.9227703728027996,3.4549889105159868,3.2410592740797,50.689306592695615,1.1548986678773745,0,4.59779111658691,23.19,14.31,19.2,0.22,9.1,3.7,2.4,3.2,1.4,5.7,3.6,3.7,2.9,1,Greenfield,22.31,Netherlands,2024-01-20 00:24:04.816053511,Production Manager,0.9838767128641227,28
FIRM_022,SME,4,34,999.0,Fruits & Vegetables,Local Private,2.9981171982989703,3.5000601663345945,3.0993622648810186,2.2420336346051437,3.470275835242679,2.2911285623274855,5.0,3.723668228944444,3.5333268260712383,2.6818770296959435,1.7772180585716901,2.2588185264367353,70.82496352771095,3.046537181024495,1,3.18145782820303,20.17,12.64,0.1,16.61,7.4,4.0,6.7,1.0,1.8,3.3,3.5,4.7,3.77,1,Greenfield,9.2,France,2024-01-20 06:25:17.056856187,CEO,0.8840547751423403,32
FIRM_023,Large,3,262,50000.0,Bakery Products,Local Private,2.966550984867565,4.612760499639564,1.9746330394272542,3.685492849374793,3.729940450522852,2.7867513092613456,2.960052784967558,2.8384542856788837,2.922630852676869,3.1399229177640464,2.7746223653086317,2.533572625024918,74.99659484054752,3.0645141436690744,0,5.0,23.67,21.65,10.7,1.06,8.3,3.9,4.0,4.0,3.9,1.8,3.6,4.4,4.29,0,None,0.0,None,2024-01-20 12:26:29.297658862,Finance Manager,0.9330088660344645,13
FIRM_024,Large,15,332,16339.11,Fruits & Vegetables,Foreign,1.9494473530426744,4.961910102334842,3.6440637937198304,3.7378118379023735,3.418665295157358,3.401802772279363,3.1775392087479752,2.910510510143496,1.4944369461437133,1.5288633104263132,1.0,4.192748481393334,22.565171329930717,1.2075703029661244,0,2.517057393548999,26.21,19.42,1.3,2.1,8.3,5.4,4.1,3.5,1.0,3.8,4.5,2.4,3.59,0,None,0.0,None,2024-01-20 18:27:41.538461538,Operations Manager,0.9466432234791669,14
FIRM_025,SME,22,74,999.0,Fish Processing,Joint Venture,3.9064878217177275,3.84663577100853,3.894099756091068,3.739107068253891,4.843310811111999,3.389398177001422,5.0,3.868605550169084,1.9150068741829847,3.545235088397529,4.286139506382079,3.7444038857091915,29.836855768184044,3.142261562509215,0,4.073467294086122,28.62,21.37,19.5,2.95,8.0,3.6,2.2,1.4,1.5,5.3,3.0,2.5,2.41,0,None,0.0,None,2024-01-21 00:28:53.779264214,Production Manager,0.8752942316327643,7
FIRM_026,SME,15,20,999.0,Grain Milling,Joint Venture,3.1377302423897584,3.75059113246112,2.6931187004502277,3.0960353651570416,3.607254340329253,2.7533661452068365,2.834350956120115,2.4204426243070984,3.0986800095474067,3.44509152826328,2.136388335255637,3.1421768810263067,55.761719229411646,3.648009153726514,0,1.7698406017548058,21.85,16.09,17.9,1.02,7.8,1.5,3.9,3.2,4.7,3.6,2.2,2.6,3.21,1,Joint Venture,11.85,UAE,2024-01-21 06:30:06.020066889,General Manager,0.9964346885051462,7
FIRM_027,Large,12,612,34906.52,Grain Milling,Foreign,3.0556160691275,2.1392595860930825,2.676962067016449,3.1996365919976797,4.899534226087521,3.8722851105465286,3.0599077736507687,4.307582445786443,2.8209326581354435,2.7316223733138507,2.7614503338289467,1.8552728989985494,77.84477902487727,2.1271221536587115,1,0.9186582958267859,18.32,9.78,8.5,1.46,9.6,7.0,2.9,2.9,3.1,2.1,5.8,2.7,4.33,1,Joint Venture,0.86,UK,2024-01-21 12:31:18.260869565,Operations Manager,0.9232233934130963,11
FIRM_028,Large,10,250,50000.0,Beverages,Local Private,5.0,3.0201283401861847,3.339290406686844,3.5623036193274857,4.28849105727096,3.7760315262583584,3.38237966125532,3.605107693376608,2.3208758903642535,4.005332060616775,2.359385314613133,3.190256910723593,20.91341544856452,0.5186450066360098,0,4.08145316206865,22.56,16.32,8.9,5.69,8.8,3.0,2.2,2.4,5.7,5.3,4.2,1.4,3.09,1,Greenfield,13.71,South Africa,2024-01-21 18:32:30.501672240,General Manager,0.858646404339609,47
FIRM_029,SME,9,50,774.9,Fruits & Vegetables,Foreign,3.4390023266925493,2.8485513736642325,2.7069522375634643,3.3687144050346642,4.089240036401232,3.4640116076150367,4.172587585703639,5.0,2.4191662104880205,2.085253510942265,3.9606303325147567,3.9563915617087737,54.91771946359522,0.6404429814307296,0,4.650033710694544,33.18,24.05,0.0,4.38,7.9,5.0,5.7,1.0,2.5,6.2,3.3,4.3,3.37,0,None,0.0,None,2024-01-22 00:33:42.742474916,Business Development Manager,0.990589306716676,11
FIRM_030,SME,27,104,999.0,Fruits & Vegetables,Local Private,2.598567159923853,2.9654066812242186,3.04048064683676,1.5245597018019716,4.021239888390512,3.070945949889146,3.666242005882651,5.0,3.596167997159289,4.115118093928213,1.0,2.661929700811018,36.33901416702989,0.7562091553759345,0,1.4987897999029227,24.83,15.19,33.5,1.83,6.9,2.0,3.9,2.2,3.2,4.2,3.2,2.9,3.03,1,Greenfield,5.46,South Africa,2024-01-22 06:34:54.983277592,CEO,0.9379401764789902,22
FIRM_031,Large,16,250,41488.09,Fruits & Vegetables,Local Private,2.8589139230355656,3.282299326990647,4.989749610249864,3.116160295539845,4.036278378929751,4.334094988491595,2.4658997222781895,3.59113055845149,2.3823074271307854,3.239044299035726,2.6817286234415003,4.216002680988043,68.44195582734052,0.24841650887401207,1,5.0,34.39,24.56,16.8,2.33,9.8,4.1,3.9,3.2,4.0,2.0,3.4,3.9,4.07,1,Greenfield,6.43,France,2024-01-22 12:36:07.224080267,Business Development Manager,0.9548789796972065,16
FIRM_032,SME,9,17,999.0,Grain Milling,Foreign,4.118756567357404,3.0695365956120106,2.877676869328603,2.618874852591749,2.6433964523926337,4.758784979161806,3.0742651494982485,3.636197798481211,2.8119087559709266,2.797102669109644,2.5835993667525323,4.163470760566386,23.644403285837253,0.6380967717986442,1,5.0,26.07,19.05,18.0,2.65,6.1,2.8,1.9,2.3,4.0,3.8,2.9,3.1,3.03,1,M&A,8.46,South Africa,2024-01-22 18:37:19.464882943,General Manager,0.9287763684901336,10
FIRM_033,SME,7,52,999.0,Fruits & Vegetables,Local Private,3.290616328430212,2.014490132736949,2.7774938631809,3.4401691351268093,3.632669963509546,3.261506961307424,3.0141164534302307,4.297348908401218,5.0,3.08211372816852,2.2009999736491492,4.497359548929126,68.81225769712415,0.4702278836185304,0,1.075842813959625,21.38,18.53,8.6,3.76,5.8,1.0,1.5,2.7,3.2,4.4,3.3,3.4,2.67,1,Greenfield,5.64,India,2024-01-23 00:38:31.705685618,Finance Manager,0.9752106932165452,30
FIRM_034,SME,20,28,999.0,Meat Processing,Joint Venture,2.0493776173461065,3.9235371792822735,2.5172123749283566,5.0,4.3070947827105925,3.1714831579916254,3.4382231638215637,4.721903565950823,1.4763173631160769,3.0034617107701527,4.598849200199196,3.2747188138782177,60.51084879737639,1.2151457539632453,0,1.1229279938166363,23.71,15.39,3.4,3.98,8.3,3.5,3.1,4.5,2.9,3.1,3.7,2.6,3.6,1,Greenfield,55.74,UK,2024-01-23 06:39:43.946488294,Operations Manager,0.8549700193289816,14
FIRM_035,Large,27,485,21803.11,Bakery Products,Local Private,3.935383147660163,2.6490798819821353,3.769772774349943,3.5939853323794435,3.7706616899155363,3.9438453657883974,3.8406749269038634,2.71718256553839,1.0481572684253413,4.198254606775945,1.7239375952586518,3.528652529825411,31.440714760371115,4.781468005215821,0,1.172387549153802,25.01,14.81,17.9,3.9,7.5,3.7,2.5,2.8,3.7,5.0,2.2,3.4,3.04,0,None,0.0,None,2024-01-23 12:40:56.187290969,General Manager,0.8902567547915722,36
FIRM_036,SME,25,20,999.0,Meat Processing,Local Private,2.665484731568805,3.5674728048778044,2.9368982441037073,3.0491762510620815,2.9568860919178546,3.3493794341771097,3.8345646047103776,2.628174720787188,3.683589664798607,2.130988785276088,3.5489757949592278,4.272768559497981,10.151859907826633,0.22070215509735983,1,2.2628887811485234,14.74,10.12,2.8,1.55,8.8,3.5,4.0,1.0,4.9,2.9,1.1,2.4,3.14,0,None,0.0,None,2024-01-23 18:42:08.428093645,Finance Manager,0.9204472534604038,36
FIRM_037,Large,6,421,22059.26,Grain Milling,Foreign,4.698638220974036,4.851857868824981,2.515564265510717,4.037441201581801,3.768557329653518,3.502421959535736,2.0791905967612783,3.3267791166673715,2.2213569387058967,2.413732684768062,3.091878067576692,3.402654543362078,50.59310214964956,2.5478460102942386,1,1.8408580179233676,23.17,18.77,6.6,2.57,6.3,4.1,4.1,2.7,4.3,4.2,1.0,3.4,3.34,0,None,0.0,None,2024-01-24 00:43:20.668896321,Operations Manager,0.8614905424470565,14
FIRM_038,SME,10,29,999.0,Grain Milling,Joint Venture,4.064038452571719,2.7564307858895036,4.289173629045711,3.68615030976737,4.822463309753294,4.11775720620727,4.351152790048685,4.049642549904319,2.5817624722573798,4.032672602865232,4.087671177789067,2.5488893029888087,35.80537218672114,2.3249133298040343,0,0.7289078500593854,27.39,14.78,0.8,5.22,8.9,3.5,3.3,3.0,2.9,3.9,4.2,5.0,3.71,1,Greenfield,18.21,South Africa,2024-01-24 06:44:32.909698996,General Manager,0.9558860003989987,33
FIRM_039,SME,8,84,999.0,Grain Milling,Local Private,2.8421424834729994,1.6287987340775691,4.377642704062273,3.6360755923614727,4.548135029320831,2.263450738744895,3.702055076797299,3.9981241543045583,2.1188436218688858,2.564018558334527,1.966092006744744,2.5963114471249247,8.150018923605524,0.2013081028314722,1,1.203724631229938,17.42,8.32,20.4,11.08,8.2,3.9,4.3,2.0,2.5,5.1,1.2,4.0,2.97,0,None,0.0,None,2024-01-24 12:45:45.150501672,CEO,0.9090495121083461,33
FIRM_040,SME,11,40,999.0,Beverages,Local Private,4.224813089388091,3.1997970446839226,2.5596187908351653,3.7854804745725366,3.762797594380381,4.522811627396869,4.607625638075125,4.34186287299031,2.6401998592324873,3.9104797695984326,1.8937342109638653,3.2146994583963653,70.05681981794012,5.116824072323614,0,0.5,23.72,16.41,1.2,2.51,7.9,4.0,3.5,3.7,2.8,4.2,3.7,3.7,3.6,1,M&A,24.5,South Africa,2024-01-24 18:46:57.391304347,CEO,0.8909001985402216,17
FIRM_041,Large,23,477,50000.0,Grain Milling,Local Private,3.2542844084219227,4.170671744499,1.4201140437754454,4.945234851863633,4.370869566234852,3.650876367030539,3.8553586618325375,2.9801814829808153,4.498538112096341,4.629492384707839,3.9056768982251384,1.8384947202484032,34.02103971147508,1.6808466982251624,0,0.5,29.41,18.76,2.0,1.35,6.5,3.8,2.1,1.3,2.2,3.9,1.7,1.9,2.44,1,Greenfield,9.0,UAE,2024-01-25 00:48:09.632107023,General Manager,0.8505068270212618,16
FIRM_042,Large,32,328,23003.53,Grain Milling,Local Private,3.8822189400977756,4.770843217954416,4.00676232085323,2.395289251739267,3.5800957877791686,3.311954798806474,4.3810583661886096,2.3103136822186743,3.702128458618119,2.7383844757525297,3.1678534391631215,2.8710669761722265,69.0222203958782,0.9042504764008378,0,0.5888412123099059,22.04,15.24,6.5,0.99,6.8,3.6,2.9,2.7,3.6,3.1,1.7,4.0,3.34,0,None,0.0,None,2024-01-25 06:49:21.872909699,Production Manager,0.957974546762493,25
FIRM_043,Large,17,316,18659.59,Dairy Products,Local Private,3.58778625383558,2.539315283883308,2.4838331568159964,3.6789056614491633,2.7776770479039685,3.5375360920449856,3.873236249160102,4.214808517181288,3.762223511886977,3.713226093917775,1.0005689186555655,3.9868924064072284,51.329648161896735,2.825593605588225,0,5.0,22.69,17.51,11.6,3.92,8.5,2.7,3.4,1.3,4.3,4.2,2.2,4.1,3.11,1,M&A,39.38,UAE,2024-01-25 12:50:34.113712374,General Manager,0.9750713963309292,58
FIRM_044,SME,7,23,999.0,Grain Milling,Foreign,2.5229146760073013,3.747689456265565,3.811563039246492,2.558895096014769,3.245320407122267,3.5737005485143634,4.576980604962198,3.2030822362208595,1.4837729442073544,2.0616769467941274,2.1067644840904025,1.027871533951247,68.59675698012998,0.5951024478285709,0,5.0,15.15,9.99,7.7,0.33,7.0,4.5,4.4,2.6,3.4,3.8,3.3,3.7,3.73,0,None,0.0,None,2024-01-25 18:51:46.354515050,CEO,0.9092560803522247,40
FIRM_045,Large,12,491,23346.95,Dairy Products,Local Private,2.6851601341460305,3.0742826802539627,1.326906564059348,3.7444101170737984,4.7377332611049185,2.3881590875885523,3.917800508814223,2.488907281366817,1.7488462634471307,3.7792599682610284,3.1250209192328673,4.381033891615063,5.0,2.365139237777371,0,4.249794166879688,20.07,10.3,2.1,3.95,8.8,3.5,3.5,3.7,5.2,3.0,1.6,3.6,3.73,0,None,0.0,None,2024-01-26 00:52:58.595317725,Operations Manager,0.9346326965550048,22
FIRM_046,SME,36,23,999.0,Meat Processing,Foreign,4.023968654064929,3.325836151987105,3.903337604469378,2.5650507908111244,3.6356041509024175,4.646456759217266,3.421667802845677,3.7870382475756292,1.0,3.2794815873880907,3.6215406437012483,4.010136796832843,42.719047012006136,0.08104242862716245,0,1.5122991798768273,17.81,16.77,0.0,4.01,7.9,3.4,2.5,2.7,5.3,4.4,2.4,3.2,3.3,1,M&A,16.68,UK,2024-01-26 06:54:10.836120401,Operations Manager,0.8841529938894398,4
FIRM_047,Large,14,466,42716.41,Beverages,Local Private,2.9321797343147673,5.0,2.009945263647297,2.966106549115932,3.653969612374989,3.628927942589433,5.0,4.175905412931207,2.0906191789172457,3.5257344539441937,1.9528462814877496,2.5862118457525716,80.0,3.657777052204323,0,0.578272857095983,21.04,12.63,11.3,1.4,8.2,4.4,4.5,2.7,3.8,4.7,3.1,4.1,3.7,0,None,0.0,None,2024-01-26 12:55:23.076923077,General Manager,0.9433296469420199,20
FIRM_048,SME,10,174,483.53,Beverages,Local Private,2.8770812294064028,2.347920770123393,3.757687707159872,3.0639280686096746,3.6200970822350715,3.9101014913131626,4.211229697823914,3.6267657207272337,3.8567031863856585,2.5189851351681445,1.0,3.4890517450846286,22.445089289028942,1.189033572170298,0,2.4762597012018683,26.33,15.68,33.7,2.89,5.1,4.1,3.7,2.9,4.2,3.7,1.6,4.9,3.67,1,Greenfield,8.65,USA,2024-01-26 18:56:35.317725752,Finance Manager,0.8518206187472801,4
FIRM_049,Large,11,623,50000.0,Beverages,Foreign,2.435901936520518,3.5776177630462014,3.1128457610527906,4.080653375475767,4.942481953743804,4.26608483940183,3.9589955368035303,3.425290968290507,3.416946515748371,1.6050249259895448,3.275545504310737,3.002832954215694,43.436167127145225,2.0250136727774453,0,3.458088986157974,20.96,16.78,13.3,1.89,9.1,3.0,5.2,3.0,2.6,5.5,4.8,3.8,3.56,1,Greenfield,11.22,Germany,2024-01-27 00:57:47.558528428,Production Manager,0.9232965845648138,6
FIRM_050,SME,17,25,999.0,Bakery Products,Local Private,3.538879252474769,3.727385220235803,2.2414545225430196,4.034763555153931,4.775575349217238,2.88518627970779,2.478956466769331,3.604382660712456,2.678486737047876,3.5529268582745543,1.3576472410616267,4.1069913315948146,16.506485094844958,0.5000991366102222,0,1.3098081947833764,21.92,14.38,4.9,0.48,7.0,5.3,3.3,3.7,3.1,4.6,1.0,2.3,3.16,1,Joint Venture,12.27,France,2024-01-27 06:58:59.799331103,CEO,0.9466308222761038,12
FIRM_051,SME,6,86,999.0,Grain Milling,Local Private,4.850019935394516,4.160050427457543,2.7336673183658977,2.303426098842892,5.0,3.9314303293246597,2.46935390602917,3.4776503425595306,2.877699716281947,1.242937162768491,1.0,3.884414828492947,78.93853205878074,2.2606623887375696,0,3.3243886933192828,17.97,12.66,18.7,3.72,7.0,2.4,1.9,3.7,4.8,2.4,2.8,2.4,3.37,1,Greenfield,1.38,UK,2024-01-27 13:00:12.040133779,Finance Manager,0.9877287659844601,22
