node_id,x,y,sigma_baseline,sigma_optimized,delta_sigma
44,58.536035,0.054319,139.444991,116.464921,22.980070
45,60.396292,0.390983,138.169018,113.303541,24.865477
46,62.106706,0.175850,141.233132,109.905351,31.327781
47,64.194688,-0.123724,135.442071,109.869994,25.572077
48,65.613290,0.077160,133.507953,112.723529,20.784424
49,66.613945,-0.072200,135.240492,113.400151,21.840341
50,68.872735,0.002364,139.339955,111.201551,28.138404
51,70.292639,-0.097683,130.908383,110.653676,20.254707
52,71.837740,-0.049301,129.988599,110.030879,19.957720
53,73.856972,0.063628,134.888562,110.942588,23.945974
54,75.615422,-0.298008,132.975708,104.502405,28.473303
55,77.218160,-0.304764,133.647846,107.241170,26.406676
56,78.319663,-0.416563,135.496336,107.983740,27.512596
57,80.111318,-0.480081,131.076855,111.923112,19.153743
58,81.936114,-0.365185,127.424644,106.417575,21.007069
59,83.762051,0.047839,137.005791,108.525953,28.479838
60,84.958289,-0.267836,129.108591,108.299611,20.808980
61,86.678996,0.154084,129.344666,110.998673,18.345993
62,88.035446,0.010414,135.948199,111.516620,24.431579
63,89.641138,-0.590551,134.594870,109.560047,25.034823
64,90.958043,0.196493,140.812432,111.889493,28.922939
65,91.835443,0.243240,146.617743,114.220271,32.397472
66,92.121254,-0.298159,149.781172,116.337680,33.443491
67,93.158203,0.126057,153.569959,120.535648,33.034311
68,93.679919,-0.256949,162.243222,125.596550,36.646672
69,94.092178,0.029301,156.725356,127.588839,29.136517
70,95.108419,-0.379350,172.733856,133.654765,39.079090
71,96.175697,-0.537932,178.046526,141.306384,36.740142
72,96.417824,-0.114845,186.301460,144.574152,41.727309
73,97.612250,-0.037119,192.397037,146.096838,46.300199
74,97.071219,-0.119304,186.484167,146.060155,40.424012
75,98.817999,-0.355209,199.500349,148.549461,50.950888
76,99.311828,-0.119970,201.614651,153.328311,48.286341
77,99.910298,0.080788,201.499866,153.264055,48.235811
78,0.027528,0.542088,201.628967,155.962624,45.666343
79,0.118015,0.610306,202.825325,153.579721,49.245604
80,1.362670,0.354521,201.565756,150.245402,51.320354
81,2.249991,0.907071,194.376667,143.879953,50.496714
82,3.300511,0.202704,189.081140,142.633052,46.448088
83,3.415948,0.701824,179.992710,145.142671,34.850039
84,4.043166,0.910123,178.774592,135.949165,42.825428
85,4.849473,0.699828,169.625677,133.802966,35.822711
86,5.988906,0.494798,157.521461,127.040301,30.481160
87,6.527197,0.397066,153.142496,121.254358,31.888137
88,6.983929,0.866382,149.331959,121.930423,27.401536
89,8.011123,0.128663,135.477477,107.972870,27.504607
90,8.600552,0.264518,139.353931,110.046119,29.307813
91,9.576308,0.436288,134.526796,108.054839,26.471957
92,9.789384,0.926852,135.778943,106.819087,28.959856
93,11.534354,0.669486,129.679160,108.141951,21.537209
94,13.147674,0.265142,130.879170,108.073666,22.805504
95,14.458905,0.462463,134.785957,108.183388,26.602570
96,16.619448,0.371259,134.032826,109.375880,24.656945
97,18.241582,0.342619,134.347779,106.070630,28.277149
98,19.797452,0.849222,129.867574,104.923131,24.944443
99,21.358195,0.144033,134.670620,110.608768,24.061852
100,22.636613,1.038190,130.516902,106.685098,23.831804
101,24.567684,0.804024,132.147550,105.553963,26.593587
102,26.223716,0.882814,133.742807,112.114317,21.628490
103,27.718500,0.416674,133.066179,114.544528,18.521650
104,29.543451,0.510573,138.445213,115.198030,23.247184
105,31.345705,0.125610,135.321705,112.596436,22.725269
106,33.422999,0.398157,137.202415,113.778558,23.423857
107,34.542169,0.703652,138.580439,115.216945,23.363494
108,36.199714,0.944374,136.736877,109.748150,26.988726
109,37.732768,0.223409,133.002917,115.816916,17.186000
110,38.812124,0.445904,137.320957,113.554665,23.766292
111,41.012454,0.510166,138.353356,115.243835,23.109521
112,42.671130,0.136819,139.274936,114.043487,25.231449
113,45.024687,0.732960,132.932846,115.954621,16.978225
114,45.860659,0.338358,135.249151,114.093124,21.156027
115,47.641485,0.496938,139.048840,109.617778,29.431062
116,49.173260,0.419971,134.873899,117.115212,17.758687
117,50.465723,0.318754,136.247814,111.269282,24.978532
118,52.791826,0.553442,140.331565,116.339198,23.992367
119,54.307213,0.490873,136.408866,113.054963,23.353903
120,55.951595,0.443998,134.766041,116.227435,18.538606
121,57.074123,0.337017,134.567444,116.221397,18.346047
122,59.400430,0.651413,136.592075,113.702282,22.889793
123,60.191690,1.051641,130.647595,112.663308,17.984287
124,62.420955,0.597522,135.044699,113.495848,21.548851
125,64.534688,0.854391,135.304151,106.490396,28.813754
126,65.213043,0.138489,139.507640,113.007452,26.500188
127,66.972968,0.602884,136.726740,108.990339,27.736400
128,68.805406,0.226345,133.800240,112.450423,21.349817
129,70.257121,0.112478,138.375523,108.956877,29.418645
130,71.575617,0.333744,134.126449,108.367593,25.758855
131,73.694038,0.913125,129.517319,113.630270,15.887049
132,74.987431,0.840560,132.173993,112.172815,20.001179
133,77.080853,0.628457,136.409694,109.427907,26.981787
134,78.295601,0.095745,133.864776,110.211011,23.653765
135,80.669062,0.496671,132.158034,107.973436,24.184598
136,81.601759,0.646066,135.524673,109.444209,26.080464
137,83.372769,0.608216,127.488109,105.872955,21.615154
138,85.346096,0.002417,128.531956,110.256698,18.275258
139,86.365435,0.288460,127.674379,106.977121,20.697257
140,88.435585,0.536332,133.982249,107.154478,26.827771
141,90.392143,0.716443,137.945589,110.934801,27.010788
142,90.232041,-0.103283,142.019755,109.855926,32.163829
143,91.483962,0.506918,143.612360,115.160749,28.451611
144,92.220822,0.598470,146.020884,115.544712,30.476172
145,93.091690,0.810439,152.393924,121.464377,30.929547
146,93.200343,0.763413,153.682529,123.976813,29.705717
147,93.889577,0.730327,154.895453,122.789330,32.106122
148,95.156582,0.315573,178.132165,132.180307,45.951858
149,95.803381,-0.016845,178.789807,137.612577,41.177231
150,96.503719,0.437640,183.694404,139.007047,44.687357
151,97.246792,0.856045,189.332750,144.192803,45.139947
152,97.653135,0.973592,191.881792,145.883935,45.997857
153,98.641105,0.768720,195.754156,151.010776,44.743380
154,99.373636,0.684358,196.842984,148.202802,48.640182
155,99.785695,0.669447,200.353790,147.583344,52.770446
156,0.559732,0.944275,203.410957,151.593856,51.817101
157,0.856436,1.072093,199.142648,149.144277,49.998371
158,1.071180,1.611832,200.814060,150.429811,50.384249
159,2.339823,0.828344,194.843718,144.232485,50.611233
160,2.564738,1.595545,190.001858,149.081567,40.920291
161,3.807554,1.014503,183.372240,141.216107,42.156133
162,4.633293,1.508741,168.632639,130.659736,37.972902
163,4.753795,0.689067,172.168215,134.670885,37.497330
164,6.003299,1.286882,158.281767,118.612442,39.669325
165,6.552406,0.890080,151.491152,127.150755,24.340397
166,7.389475,0.686531,147.619459,115.652998,31.966461
167,8.426181,1.176671,139.271129,111.343498,27.927631
168,8.497812,1.413953,134.820545,105.858254,28.962292
169,9.059593,0.857629,143.217418,111.945083,31.272335
170,9.733146,0.661406,132.089033,106.864943,25.224090
171,11.387910,1.083558,126.959386,106.544140,20.415246
172,13.242176,1.084881,132.071576,104.245673,27.825903
173,15.000305,1.275607,129.483580,102.420901,27.062679
174,16.613619,1.395989,124.768843,103.061723,21.707121
175,18.411420,1.093287,131.098549,107.348271,23.750278
176,19.799819,1.667762,130.108131,101.643068,28.465063
177,21.864632,1.178382,130.087761,105.681740,24.406021
178,22.981827,1.007183,137.841820,110.116467,27.725353
179,25.509928,0.627641,129.179406,116.647310,12.532096
180,26.514231,1.032313,133.834720,110.490111,23.344608
181,27.702036,1.010195,135.384144,107.350950,28.033193
182,29.270569,1.399203,132.813861,107.588700,25.225161
183,31.369232,1.249856,131.362307,109.602237,21.760070
184,32.790104,0.757300,133.763179,110.506368,23.256811
185,34.703996,1.162787,133.968411,112.652475,21.315936
186,36.264420,1.312570,134.202065,110.554224,23.647841
187,37.733253,1.569521,132.095148,111.292464,20.802685
188,39.133717,1.377362,134.626344,109.262499,25.363845
189,40.565954,1.339365,129.831259,113.652895,16.178364
190,42.519107,1.129137,133.179036,110.907418,22.271618
191,44.542634,1.227605,130.929519,108.627362,22.302157
192,45.982595,1.485963,130.693860,115.431645,15.262216
193,47.177299,0.711278,138.399245,108.281252,30.117992
194,49.235628,1.006279,134.867210,110.152556,24.714654
195,50.931922,0.879340,141.716219,110.839128,30.877091
196,52.183822,1.224857,133.867088,117.442249,16.424839
197,54.127750,1.480178,131.845560,114.528886,17.316674
198,55.731748,0.932019,135.105435,115.839125,19.266310
199,57.004048,0.394020,135.051258,112.479359,22.571899
200,59.086928,0.987445,134.241281,117.770693,16.470588
201,60.780480,1.385153,134.802000,110.943514,23.858487
202,62.569813,1.272400,132.815266,112.757625,20.057641
203,64.193692,1.239567,130.568688,110.698357,19.870331
204,65.096903,1.027113,131.287743,110.782541,20.505202
205,66.861510,0.727402,133.528508,110.884010,22.644498
206,68.930021,1.265699,131.914681,108.882208,23.032473
207,70.562299,0.860827,136.477456,111.993678,24.483778
208,72.195331,1.766340,124.343441,107.373339,16.970102
209,74.829289,1.282263,129.634770,107.980671,21.654099
210,75.477390,0.936917,132.431848,112.869158,19.562690
211,77.279445,0.927696,127.053829,101.211576,25.842252
212,78.857629,1.083228,128.374848,108.949768,19.425080
213,80.399499,1.039261,128.523175,109.142860,19.380315
214,81.742154,1.446161,125.534140,108.262394,17.271746
215,83.697079,1.167036,129.157692,105.766853,23.390839
216,84.870193,0.891622,129.430574,107.069853,22.360721
217,86.663648,1.678243,124.231384,105.977326,18.254058
218,88.221738,1.125904,131.525203,110.236287,21.288917
219,90.024562,1.341763,137.626938,107.390962,30.235976
220,91.408683,0.928643,145.300069,113.821798,31.478271
221,90.868392,1.220046,132.406718,114.791303,17.615416
222,92.348735,1.204444,146.788768,110.437993,36.350775
223,92.373328,0.544216,147.714804,115.886240,31.828565
224,93.429849,1.715694,150.325374,122.275845,28.049529
225,94.612399,1.498304,160.552340,128.833269,31.719071
226,95.019284,0.991953,168.343477,131.644189,36.699288
227,95.390962,0.780430,172.687262,131.973744,40.713518
228,96.213980,1.215380,176.288677,134.343220,41.945458
229,97.346736,1.137120,185.002425,141.172258,43.830167
230,97.638033,1.217812,187.682087,147.504847,40.177239
231,98.636366,1.168584,194.913246,145.556072,49.357174
232,99.299386,1.262983,197.236474,148.209144,49.027330
233,99.804520,1.545303,196.656922,145.189265,51.467657
234,0.643183,1.837098,195.631257,150.794192,44.837065
235,0.904461,1.351770,200.220929,149.129443,51.091486
236,0.821029,2.075436,196.918375,146.914885,50.003490
237,2.198793,2.158851,189.555666,137.965836,51.589830
238,2.658607,2.612284,178.660430,133.035221,45.625209
239,3.827159,1.329618,177.484016,136.770190,40.713826
240,4.047958,1.739531,173.524430,130.173665,43.350765
241,4.965579,1.042037,164.910646,135.423305,29.487341
242,5.865782,1.832611,153.383536,115.945325,37.438211
243,6.688298,1.502207,150.739426,115.932394,34.807031
244,6.782768,2.243700,143.915764,113.641281,30.274482
245,7.756792,1.434282,140.720530,112.239843,28.480687
246,8.428945,1.159912,139.575312,108.933751,30.641562
247,9.089716,1.525288,131.660169,105.883444,25.776725
248,10.529636,1.074020,133.546031,104.738291,28.807739
249,11.754148,1.891997,124.291688,101.829032,22.462656
250,12.887041,1.047142,128.406384,110.644176,17.762209
251,15.173318,1.675204,124.215194,103.615758,20.599435
252,17.167259,1.043323,129.292119,109.506447,19.785672
253,18.473005,1.570577,125.610785,106.158895,19.451890
254,19.340107,2.159680,123.969630,104.840705,19.128925
255,21.283301,1.774861,125.076764,97.757977,27.318788
256,23.441298,1.407619,133.215056,106.330139,26.884917
257,24.481577,1.657306,131.445219,109.490120,21.955099
258,26.459676,1.672072,125.899483,105.202889,20.696594
259,28.191574,1.808456,127.615652,110.723383,16.892269
260,29.313758,1.256609,129.844510,112.813407,17.031104
261,31.206632,1.844437,126.865995,105.529959,21.336036
262,31.884763,0.855349,138.958603,109.699941,29.258662
263,34.182480,1.477701,130.070895,106.474249,23.596646
264,36.046679,1.520185,131.669617,107.488746,24.180871
265,37.380767,1.856665,129.697640,104.418453,25.279186
266,39.877478,1.673456,127.494107,109.784006,17.710100
267,40.591366,1.244998,130.824088,107.092940,23.731148
268,42.521048,1.371169,129.278990,111.852346,17.426644
269,44.324936,1.726271,127.613154,110.297478,17.315676
270,46.350749,1.642946,123.404678,105.080462,18.324216
271,47.120262,1.492929,132.998137,113.862108,19.136029
272,49.532623,1.522417,136.590853,111.164259,25.426594
273,50.819396,1.875517,129.090017,109.914275,19.175743
274,52.154527,1.511359,127.978549,108.018484,19.960065
275,54.220264,1.640239,128.928600,110.785131,18.143469
276,55.774004,2.317648,123.492272,108.057181,15.435091
277,57.166874,1.239562,130.587051,110.668947,19.918104
278,59.000532,1.111114,135.903804,116.285588,19.618216
279,60.496651,1.901744,130.170778,107.565494,22.605284
280,62.278953,1.463074,128.444238,112.374187,16.070051
281,64.076190,1.571195,132.206821,109.537143,22.669678
282,65.986009,1.432320,134.939769,110.652169,24.287600
283,66.771512,1.588727,134.690723,104.165136,30.525588
284,69.415420,2.146228,132.173428,105.798863,26.374565
285,69.822537,1.907305,124.747762,104.337644,20.410118
286,71.995281,1.925334,133.521109,103.530383,29.990726
287,73.849965,1.241799,130.013748,112.819288,17.194460
288,75.390420,1.321321,128.583282,107.225228,21.358055
289,76.751966,0.814943,133.068309,106.583931,26.484378
290,78.508992,1.423852,127.147363,105.574388,21.572975
291,80.056181,1.953678,125.264046,100.164567,25.099479
292,81.659925,1.821751,121.565526,107.219135,14.346391
293,83.724268,1.600213,125.395258,102.398784,22.996473
294,85.209145,1.659977,128.635007,104.894851,23.740156
295,86.526821,1.460001,126.911685,107.874236,19.037449
296,88.637227,1.728094,127.673170,103.116156,24.557014
297,90.092190,1.896430,130.851763,107.037598,23.814165
298,90.958144,1.181901,140.743748,108.405757,32.337991
299,91.617460,1.756561,133.254744,116.709441,16.545303
300,91.894159,1.946397,138.942253,112.950440,25.991814
301,92.689089,1.542137,144.927954,115.377566,29.550387
302,93.795617,1.876877,152.120281,117.788275,34.332006
303,94.468825,2.511063,154.633788,119.510315,35.123473
304,94.993730,1.635364,161.090355,126.861354,34.229001
305,95.749484,1.784659,167.355629,136.313718,31.041911
306,96.811871,1.445250,176.575262,135.817893,40.757368
307,96.965386,1.721042,179.373631,138.752122,40.621508
308,98.021272,1.804748,190.610258,142.522196,48.088063
309,98.510771,1.725119,190.000887,144.192150,45.808737
310,99.220410,1.360758,191.664376,147.217589,44.446787
311,100.329633,1.728575,191.671351,145.620053,46.051299
312,0.247625,2.660881,186.382627,146.339107,40.043521
313,0.958339,2.356813,188.804606,146.789837,42.014768
314,1.820215,2.510818,186.987861,142.747515,44.240346
315,2.149158,2.151119,184.135427,134.864601,49.270826
316,3.061729,2.447192,179.590920,136.562076,43.028844
317,3.478349,2.306003,173.949241,129.967687,43.981554
318,4.382964,1.936949,168.264324,131.852763,36.411562
319,4.960957,2.317779,158.086330,127.887207,30.199124
320,5.743385,1.924713,156.248275,119.060022,37.188253
321,6.607119,2.032358,147.552796,115.090707,32.462088
322,6.897391,2.279021,141.906121,111.297180,30.608942
323,8.484859,2.311396,131.715062,109.007060,22.708002
324,8.269623,1.865452,134.720335,109.400245,25.320090
325,8.921458,2.538418,127.415599,107.495355,19.920244
326,10.347433,2.393824,121.718811,102.104184,19.614626
327,11.870152,2.010804,123.403027,102.445694,20.957333
328,13.452542,1.760947,123.791648,102.942493,20.849155
329,15.086463,2.178751,119.897850,102.744600,17.153249
330,16.526938,2.088439,120.411772,97.259595,23.152177
331,17.894089,2.256164,122.204997,101.248102,20.956895
332,19.818660,2.113287,126.147032,102.297357,23.849675
333,21.225423,1.619985,130.123735,107.319440,22.804295
334,23.353760,2.105718,120.752698,103.050552,17.702146
335,24.649760,2.130536,127.211888,101.108894,26.102994
336,26.078881,2.412321,120.910895,102.328419,18.582475
337,27.862768,2.012762,127.200063,102.418266,24.781797
338,29.715716,2.725825,116.983448,96.144101,20.839348
339,31.055372,1.648730,129.525785,109.506869,20.018916
340,32.610477,2.615572,121.579750,103.633416,17.946334
341,34.562902,2.154927,121.764610,106.601709,15.162901
342,36.195939,2.480098,124.074834,106.819926,17.254909
343,37.603019,2.246163,128.302682,103.563175,24.739507
344,39.246444,2.564089,121.516823,99.715663,21.801159
345,41.090023,2.106014,129.872316,106.213056,23.659260
346,42.218636,1.892636,127.913963,106.839696,21.074267
347,43.863475,2.648374,123.436485,100.896065,22.540420
348,45.702834,2.188178,120.360675,105.918909,14.441766
349,47.486986,2.288690,131.041173,103.998525,27.042648
350,49.276946,2.592648,125.725225,98.929556,26.795669
351,51.258933,1.912636,127.694064,106.723876,20.970187
352,52.706277,2.400869,118.971787,101.951795,17.019992
353,54.033651,2.045254,127.931521,107.577309,20.354212
354,55.708581,2.182571,122.307649,104.460078,17.847571
355,57.046180,2.243906,126.405629,108.429944,17.975686
356,58.974038,1.772156,130.333492,112.297314,18.036178
357,60.525647,1.988571,125.051164,108.655787,16.395377
358,62.341714,2.627544,123.992595,98.839341,25.153254
359,63.629382,2.488080,124.505030,107.291898,17.213132
360,65.666008,2.203430,127.446255,109.046022,18.400233
361,67.602679,2.295159,123.930616,104.302298,19.628319
362,68.742882,2.133949,121.686229,108.368685,13.317544
363,70.528677,2.629197,122.643615,100.195135,22.448479
364,72.247860,2.162116,123.692885,99.562430,24.130455
365,73.553103,2.291775,119.447910,101.252764,18.195146
366,75.373350,2.566031,123.269238,105.291771,17.977467
367,76.942553,1.989011,130.067888,100.380231,29.687657
368,78.600731,2.689859,117.754482,99.300510,18.453971
369,79.972179,1.763084,131.199615,104.532997,26.666618
370,81.844088,2.711115,116.990867,96.939898,20.050969
371,83.618787,2.110420,121.051496,100.389222,20.662274
372,85.537384,2.149413,119.951363,101.123218,18.828145
373,87.022475,1.655219,130.080615,102.303142,27.777473
374,89.013302,2.085784,123.243403,99.347307,23.896096
375,89.769796,1.910280,130.382537,105.551216,24.831321
376,90.975982,2.039928,130.552087,109.771799,20.780287
377,91.483574,2.181029,132.069697,110.025350,22.044347
378,92.799798,2.509560,140.971632,109.046679,31.924953
379,92.614653,2.284503,138.237155,108.496611,29.740544
380,93.319512,2.314525,143.109912,114.068052,29.041859
381,94.105896,1.893566,157.045715,125.250304,31.795411
382,94.362831,1.957996,159.940505,124.049707,35.890798
383,95.556559,2.761840,161.031910,126.298128,34.733781
384,96.200832,2.001662,170.563950,135.112274,35.451675
385,97.187975,2.719085,172.416943,134.767159,37.649784
386,97.959670,2.149304,184.334753,140.797339,43.537415
387,99.134280,2.222909,189.160749,144.758959,44.401790
388,99.570841,2.543332,183.671487,140.205234,43.466252
389,99.826929,2.603790,187.507385,137.703625,49.803761
390,-0.269524,2.744534,189.234230,145.170354,44.063876
391,0.861861,2.661305,184.732289,146.631230,38.101059
392,1.032501,2.761002,185.152599,139.745681,45.406918
393,2.692295,2.879165,174.590840,137.174197,37.416643
394,3.210975,3.045169,169.255797,135.164183,34.091614
395,3.430676,2.779047,174.779048,131.400911,43.378137
396,3.771774,2.963444,165.361818,125.918813,39.443006
397,5.406162,3.269286,142.594305,115.260730,27.333574
398,5.679924,2.892171,146.521024,114.464383,32.056641
399,6.799916,2.871274,135.239159,107.961082,27.278077
400,6.664529,2.322105,143.392823,114.841967,28.550856
401,7.677330,1.988559,139.324759,106.796404,32.528355
402,8.573002,2.894290,127.186354,98.254541,28.931813
403,9.299808,2.749331,122.337812,100.853710,21.484102
404,9.864980,2.623343,125.789556,100.365688,25.423868
405,11.819508,2.850837,117.833993,97.494687,20.339306
406,12.945020,2.759657,113.918814,101.557251,12.361562
407,14.855245,3.116112,117.273189,94.759555,22.513633
408,16.566701,2.803611,116.172665,98.597577,17.575088
409,18.317597,2.553701,116.260329,96.856676,19.403653
410,20.009403,3.074828,117.593624,98.149143,19.444481
411,21.091179,2.712638,122.737047,97.744223,24.992824
412,22.600990,2.935739,115.533837,98.107135,17.426702
413,25.077181,2.634555,118.045045,100.346875,17.698170
414,26.426225,2.582830,119.676596,103.854995,15.821601
415,27.734638,2.803028,119.895233,96.770111,23.125121
416,30.057182,2.781626,121.917308,94.921827,26.995481
417,31.259192,2.921726,118.842332,99.305245,19.537087
418,33.210932,2.697184,120.287295,102.883470,17.403824
419,34.510051,2.226870,128.555749,105.366037,23.189712
420,36.740673,2.647946,120.122547,105.564476,14.558071
421,38.281704,3.015923,119.679529,101.097953,18.581576
422,39.313066,2.688565,119.956193,101.030445,18.925748
423,41.311879,2.703863,121.706721,96.663267,25.043453
424,42.846674,3.073691,116.411280,99.288568,17.122712
425,44.696304,2.564186,122.066277,106.187765,15.878512
426,45.628890,2.314937,123.762861,104.331357,19.431504
427,47.756836,2.729588,123.907594,102.615597,21.291997
428,49.501201,2.632526,119.742518,104.297204,15.445314
429,50.288705,2.487904,121.203912,101.698657,19.505255
430,52.094002,2.725164,125.896322,104.136479,21.759843
431,53.469863,2.925229,120.869652,105.202957,15.666695
432,55.633464,2.774991,114.033392,101.697375,12.336016
433,57.562201,2.869872,117.499705,98.535634,18.964071
434,59.430299,3.321800,109.282424,97.717182,11.565242
435,60.634473,2.674914,118.445074,96.978562,21.466512
436,62.733483,2.861282,110.858711,101.876992,8.981719
437,63.463521,2.625014,120.780012,103.750885,17.029128
438,64.999189,2.523870,119.144151,107.318483,11.825667
439,67.126193,2.602305,121.113393,101.829512,19.283881
440,68.890730,2.634150,116.338729,102.846337,13.492392
441,70.398355,2.885621,117.763344,97.664364,20.098980
442,71.420584,3.482501,109.792233,94.356354,15.435879
443,73.646733,2.562965,124.045596,97.575684,26.469913
444,74.914782,2.652790,122.650333,100.011167,22.639167
445,77.139677,2.758841,119.488475,98.462646,21.025829
446,78.681408,2.896517,114.889365,98.608243,16.281122
447,79.922118,2.856843,120.753677,96.227945,24.525731
448,81.682575,3.163007,108.184113,95.325199,12.858914
449,83.151624,2.049860,119.111640,101.131799,17.979842
450,85.083237,2.061699,122.050018,100.658089,21.391930
451,87.021237,2.629014,123.205569,98.322133,24.883436
452,88.071629,3.106968,113.158639,95.488802,17.669837
453,90.151214,2.308083,125.885082,105.400383,20.484699
454,90.555208,1.875488,127.903725,106.558796,21.344928
455,91.190710,2.949132,126.685651,101.125392,25.560258
456,92.110748,2.850875,132.787565,105.435863,27.351702
457,92.546570,2.450715,139.156946,108.522411,30.634535
458,93.405334,2.482116,141.666462,113.280625,28.385837
459,93.926351,2.486855,145.716375,121.982862,23.733513
460,95.589418,2.810938,155.991401,122.121530,33.869871
461,95.724865,2.589883,162.860892,125.951631,36.909261
462,96.218654,2.925997,160.983871,126.283278,34.700594
463,97.207051,1.921390,178.107788,137.959523,40.148265
464,97.823444,2.520722,178.884238,136.918361,41.965877
465,98.505138,2.439962,183.044664,141.195648,41.849016
466,99.469964,2.700876,183.143827,136.218918,46.924909
467,100.227252,2.616363,186.528972,143.548999,42.979973
468,-0.159150,3.572686,180.627827,139.286476,41.341351
469,0.541540,2.775532,187.910877,140.122426,47.788451
470,1.346056,3.346981,180.506326,132.009480,48.496847
471,1.452281,3.500834,175.381831,133.809754,41.572077
472,2.402586,3.890328,167.619604,128.850182,38.769422
473,3.981491,3.188804,160.628515,131.462779,29.165736
474,4.779205,3.430671,145.598026,119.291910,26.306117
475,4.925289,2.792174,157.068911,116.895356,40.173555
476,5.887253,2.615746,144.550895,114.670217,29.880678
477,6.521946,3.586766,131.024151,105.801898,25.222253
478,8.066521,3.331665,125.222941,101.193739,24.029202
479,8.193015,3.686887,119.996822,94.225160,25.771662
480,8.533053,2.921312,124.173411,101.470590,22.702821
481,8.999052,3.489304,114.894120,94.593461,20.300659
482,9.518066,3.893979,111.644123,89.379819,22.264305
483,11.693692,3.459245,110.895453,93.051455,17.843998
484,13.038401,3.416308,107.138813,94.168140,12.970673
485,14.471283,3.335900,107.358880,94.957430,12.401450
486,16.336640,2.862069,109.514754,98.072372,11.442382
487,17.838801,3.740005,105.924415,89.477272,16.447142
488,20.302061,3.150076,112.523335,97.559669,14.963665
489,21.693063,3.484678,112.249552,94.475421,17.774130
490,23.058833,2.864423,117.375460,98.881881,18.493579
491,25.137861,2.979495,119.067610,96.712011,22.355599
492,26.349741,3.763860,105.519529,91.448583,14.070946
493,27.700798,3.229143,116.358861,97.158291,19.200570
494,30.048774,3.769316,106.462439,99.416142,7.046297
495,31.386163,3.309864,115.117995,97.763291,17.354704
496,32.545969,2.780764,115.433385,99.506340,15.927045
497,34.432694,3.600954,110.795191,93.123583,17.671608
498,35.859764,3.156366,110.403640,97.502449,12.901190
499,37.340262,3.542940,110.434508,101.387925,9.046583
500,39.665608,3.340897,114.651522,96.679271,17.972251
501,41.593233,2.870398,117.568877,103.573970,13.994907
502,42.233491,3.382622,110.560766,96.573690,13.987076
503,44.454605,3.992200,108.282795,93.506961,14.775834
504,45.723175,3.481229,111.884771,98.865037,13.019734
505,47.404883,3.316078,112.839891,96.764115,16.075775
506,49.005955,3.655936,110.253094,93.973625,16.279469
507,50.557129,3.396534,119.746509,101.742237,18.004272
508,52.463536,3.396194,116.031121,100.041652,15.989470
509,53.832348,3.005846,120.440261,102.484446,17.955816
510,55.795423,3.403488,114.095696,99.406865,14.688832
511,57.331867,3.643966,110.602982,96.661459,13.941523
512,58.907907,3.082515,110.535891,104.763908,5.771983
513,60.339976,3.760682,107.019544,94.546224,12.473320
