Material,Category,Property,Value,Uncertainty,Temperature_K,Source,Method,Notes
Ni-YSZ_40,thermal,thermal_expansion_coefficient_K_inv,1.3199999999999999e-05,1.4399999999999996e-06,1073.15,Rule of mixtures,Volume-weighted average,"Ni volume fraction: 0.40, CTE mismatch stress"
Ni-YSZ_40,chemical_expansion,chemical_expansion_coefficient,5.88e-05,1.6800000000000002e-05,1073.15,Constrained expansion model,Micromechanical analysis,"Ni volume fraction: 0.40, YSZ constraint effect"
Ni-YSZ_50,elastic_1073K,youngs_modulus_GPa,159.921875,0.0390625,1073.15,Voigt-Reuss-Hill micromechanical model,Homogenization theory,Ni volume fraction: 0.50
Ni-YSZ_50,elastic_1073K,poissons_ratio,0.33,0.0,1073.15,Voigt-Reuss-Hill micromechanical model,Homogenization theory,Ni volume fraction: 0.50
Ni-YSZ_50,fracture,critical_energy_release_rate_J_m2,125.0,37.5,1073.15,Micromechanical model with percolation,Rule of mixtures with network effects,"Ni volume fraction: 0.50, percolation considered"
Ni-YSZ_50,fracture,fracture_toughness_MPa_sqrt_m,6.2,1.55,1073.15,Micromechanical model,Modified rule of mixtures,Ni volume fraction: 0.50
Ni-YSZ_50,thermal,thermal_expansion_coefficient_K_inv,1.38e-05,1.4999999999999996e-06,1073.15,Rule of mixtures,Volume-weighted average,"Ni volume fraction: 0.50, CTE mismatch stress"
Ni-YSZ_50,chemical_expansion,chemical_expansion_coefficient,7.875e-05,2.1000000000000002e-05,1073.15,Constrained expansion model,Micromechanical analysis,"Ni volume fraction: 0.50, YSZ constraint effect"
Ni-YSZ_60,elastic_1073K,youngs_modulus_GPa,158.9254658385093,0.03726708074534457,1073.15,Voigt-Reuss-Hill micromechanical model,Homogenization theory,Ni volume fraction: 0.60
Ni-YSZ_60,elastic_1073K,poissons_ratio,0.33,0.0,1073.15,Voigt-Reuss-Hill micromechanical model,Homogenization theory,Ni volume fraction: 0.60
Ni-YSZ_60,fracture,critical_energy_release_rate_J_m2,145.0,43.5,1073.15,Micromechanical model with percolation,Rule of mixtures with network effects,"Ni volume fraction: 0.60, percolation considered"
Ni-YSZ_60,fracture,fracture_toughness_MPa_sqrt_m,7.0,1.75,1073.15,Micromechanical model,Modified rule of mixtures,Ni volume fraction: 0.60
Ni-YSZ_60,thermal,thermal_expansion_coefficient_K_inv,1.4399999999999998e-05,1.4399999999999998e-06,1073.15,Rule of mixtures,Volume-weighted average,"Ni volume fraction: 0.60, CTE mismatch stress"
Ni-YSZ_60,chemical_expansion,chemical_expansion_coefficient,0.00010080000000000001,2.5200000000000003e-05,1073.15,Constrained expansion model,Micromechanical analysis,"Ni volume fraction: 0.60, YSZ constraint effect"
Interface_Ni_YSZ,fracture,critical_energy_release_rate_J_m2,8.5,2.5,1073.15,"Malzbender & Steinbrech (2007), Yakabe et al. (2001)",Double cantilever beam on bi-material specimens,"Ni/YSZ interface, mode I fracture, weakest link"
Interface_Ni_YSZ,fracture,fracture_toughness_MPa_sqrt_m,0.8,0.3,1073.15,Estimated from G_c using plane strain,K_Ic = sqrt(G_c * E / (1-ν²)),Critical interface parameter for delamination
Interface_anode_electrolyte,fracture,critical_energy_release_rate_J_m2,12.0,4.0,1073.15,"Selçuk & Atkinson (2000), Nakajo et al. (2012)",Four-point bending of layered specimens,"Anode/electrolyte interface, thermal cycling critical"
Interface_anode_electrolyte,fracture,fracture_toughness_MPa_sqrt_m,1.1,0.4,1073.15,Derived from G_c measurements,Mode I fracture mechanics,Determines cell reliability under thermal stress
Interface_cathode_electrolyte,fracture,critical_energy_release_rate_J_m2,18.0,5.0,1073.15,"Yakabe et al. (2001), estimated from similar systems",Extrapolation from LSM/YSZ data,Typically stronger than anode/electrolyte
Interface_cathode_electrolyte,fracture,fracture_toughness_MPa_sqrt_m,1.4,0.4,1073.15,Derived from G_c,Mode I fracture mechanics,Less critical than anode interface
