Stress_MPa,Temperature_C,Time_min,Creep_Strain,Damage,Notes
100,1000,0.00,0.000000e+00,0.000000,
100,1000,1.00,2.393740e-14,0.057404,
100,1000,2.00,5.070034e-14,0.110014,
100,1000,3.00,7.952056e-14,0.158344,
100,1000,4.00,1.098155e-13,0.202830,
100,1000,5.00,1.411461e-13,0.243865,
100,1000,6.00,1.731841e-13,0.281803,
100,1000,7.00,2.056862e-13,0.316957,
100,1000,8.00,2.384741e-13,0.349602,
100,1000,9.00,2.714188e-13,0.379983,
100,1000,10.00,3.044288e-13,0.408298,
100,1000,11.00,3.374405e-13,0.434712,
100,1000,12.00,3.704113e-13,0.459381,
100,1000,13.00,4.033139e-13,0.482450,
100,1000,14.00,4.361324e-13,0.504056,
100,1000,15.00,4.688587e-13,0.524324,
100,1000,16.00,5.014905e-13,0.543369,
100,1000,17.00,5.340294e-13,0.561296,
100,1000,18.00,5.664795e-13,0.578202,
100,1000,19.00,5.988464e-13,0.594171,
100,1000,20.00,6.311367e-13,0.609270,
100,1000,21.00,6.633572e-13,0.623551,
100,1000,22.00,6.955149e-13,0.637063,
100,1000,23.00,7.276165e-13,0.649854,
100,1000,24.00,7.596683e-13,0.661969,
100,1000,25.00,7.916761e-13,0.673452,
100,1000,26.00,8.236455e-13,0.684344,
100,1000,27.00,8.555812e-13,0.694686,
100,1000,28.00,8.874876e-13,0.704515,
100,1000,29.00,9.193686e-13,0.713869,
100,1000,30.00,9.512277e-13,0.722781,
100,1000,31.00,9.830679e-13,0.731284,
100,1000,32.00,1.014892e-12,0.739409,
100,1000,33.00,1.046702e-12,0.747185,
100,1000,34.00,1.078500e-12,0.754638,
100,1000,35.00,1.110288e-12,0.761782,
100,1000,36.00,1.142067e-12,0.768628,
100,1000,37.00,1.173839e-12,0.775188,
100,1000,38.00,1.205604e-12,0.781475,
100,1000,39.00,1.237364e-12,0.787500,
100,1000,40.00,1.269120e-12,0.793275,
100,1000,41.00,1.300871e-12,0.798811,
100,1000,42.00,1.332620e-12,0.804120,
100,1000,43.00,1.364366e-12,0.809212,
100,1000,44.00,1.396109e-12,0.814099,
100,1000,45.00,1.427851e-12,0.818790,
100,1000,46.00,1.459590e-12,0.823297,
100,1000,47.00,1.491329e-12,0.827628,
100,1000,48.00,1.523066e-12,0.831795,
100,1000,49.00,1.554802e-12,0.835807,
100,1000,50.00,1.586538e-12,0.839673,
100,1000,51.00,1.618272e-12,0.843403,
100,1000,52.00,1.650007e-12,0.847005,
100,1000,53.00,1.681740e-12,0.850489,
100,1000,54.00,1.713474e-12,0.853862,
100,1000,55.00,1.745207e-12,0.857134,
100,1000,56.00,1.776939e-12,0.860312,
100,1000,57.00,1.808672e-12,0.863397,
100,1000,58.00,1.840404e-12,0.866388,
100,1000,59.00,1.872136e-12,0.869286,
100,1000,60.00,1.903868e-12,0.872095,
100,1000,61.00,1.935599e-12,0.874816,
100,1000,62.00,1.967331e-12,0.877452,
100,1000,63.00,1.999063e-12,0.880005,
100,1000,64.00,2.030794e-12,0.882478,
100,1000,65.00,2.062526e-12,0.884873,
100,1000,66.00,2.094257e-12,0.887192,
100,1000,67.00,2.125989e-12,0.889438,
100,1000,68.00,2.157720e-12,0.891612,
100,1000,69.00,2.189451e-12,0.893719,
100,1000,70.00,2.221182e-12,0.895758,
100,1000,71.00,2.252914e-12,0.897734,
100,1000,72.00,2.284645e-12,0.899649,
100,1000,73.00,2.316376e-12,0.901505,
100,1000,74.00,2.348108e-12,0.903303,
100,1000,75.00,2.379839e-12,0.905048,
100,1000,76.00,2.411570e-12,0.906741,
100,1000,77.00,2.443301e-12,0.908384,
100,1000,78.00,2.475032e-12,0.909980,
100,1000,79.00,2.506764e-12,0.911531,
100,1000,80.00,2.538495e-12,0.913040,
100,1000,81.00,2.570226e-12,0.914509,
100,1000,82.00,2.601957e-12,0.915940,
100,1000,83.00,2.633688e-12,0.917337,
100,1000,84.00,2.665420e-12,0.918701,
100,1000,85.00,2.697151e-12,0.920034,
100,1000,86.00,2.728882e-12,0.921340,
100,1000,87.00,2.760613e-12,0.922620,
100,1000,88.00,2.792344e-12,0.923878,
100,1000,89.00,2.824076e-12,0.925115,
100,1000,90.00,2.855807e-12,0.926329,
100,1000,91.00,2.887538e-12,0.927515,
100,1000,92.00,2.919269e-12,0.928673,
100,1000,93.00,2.951000e-12,0.929803,
100,1000,94.00,2.982732e-12,0.930907,
100,1000,95.00,3.014463e-12,0.931985,
100,1000,96.00,3.046194e-12,0.933038,
100,1000,97.00,3.077925e-12,0.934067,
100,1000,98.00,3.109656e-12,0.935072,
100,1000,99.00,3.141387e-12,0.936054,
100,1000,100.00,3.173119e-12,0.937013,
100,1000,101.00,3.204850e-12,0.937951,
100,1000,102.00,3.236581e-12,0.938868,
100,1000,103.00,3.268312e-12,0.939764,
100,1000,104.00,3.300043e-12,0.940641,
100,1000,105.00,3.331775e-12,0.941498,
100,1000,106.00,3.363506e-12,0.942336,
100,1000,107.00,3.395237e-12,0.943157,
100,1000,108.00,3.426968e-12,0.943960,
100,1000,109.00,3.458699e-12,0.944746,
100,1000,110.00,3.490430e-12,0.945515,
100,1000,111.00,3.522162e-12,0.946268,
100,1000,112.00,3.553893e-12,0.947006,
100,1000,113.00,3.585624e-12,0.947729,
100,1000,114.00,3.617355e-12,0.948437,
100,1000,115.00,3.649086e-12,0.949131,
100,1000,116.00,3.680818e-12,0.949811,
100,1000,117.00,3.712549e-12,0.950478,
100,1000,118.00,3.744280e-12,0.951132,
100,1000,119.00,3.776011e-12,0.951773,
100,1000,120.00,3.807742e-12,0.952402,
120,1100,0.00,0.000000e+00,0.000000,
120,1100,1.00,3.785737e-13,0.088328,
120,1100,2.00,8.018339e-13,0.165474,
120,1100,3.00,1.257630e-12,0.233221,
120,1100,4.00,1.736749e-12,0.292998,
120,1100,5.00,2.232247e-12,0.346031,
120,1100,6.00,2.738933e-12,0.393335,
120,1100,7.00,3.252960e-12,0.435736,
120,1100,8.00,3.771505e-12,0.473846,
120,1100,9.00,4.292532e-12,0.508186,
120,1100,10.00,4.814590e-12,0.539228,
120,1100,11.00,5.336675e-12,0.567394,
120,1100,12.00,5.858114e-12,0.593055,
120,1100,13.00,6.378474e-12,0.616534,
120,1100,14.00,6.897503e-12,0.638087,
120,1100,15.00,7.415074e-12,0.657890,
120,1100,16.00,7.931152e-12,0.676102,
120,1100,17.00,8.445759e-12,0.692870,
120,1100,18.00,8.958962e-12,0.708335,
120,1100,19.00,9.470850e-12,0.722628,
120,1100,20.00,9.981526e-12,0.735872,
120,1100,21.00,1.049110e-11,0.748181,
120,1100,22.00,1.099968e-11,0.759660,
120,1100,23.00,1.150737e-11,0.770405,
120,1100,24.00,1.201427e-11,0.780487,
120,1100,25.00,1.252048e-11,0.789940,
120,1100,26.00,1.302608e-11,0.798802,
120,1100,27.00,1.353115e-11,0.807110,
120,1100,28.00,1.403576e-11,0.814902,
120,1100,29.00,1.453996e-11,0.822214,
120,1100,30.00,1.504382e-11,0.829079,
120,1100,31.00,1.554737e-11,0.835532,
120,1100,32.00,1.605067e-11,0.841606,
120,1100,33.00,1.655375e-11,0.847332,
120,1100,34.00,1.705665e-11,0.852742,
120,1100,35.00,1.755938e-11,0.857866,
120,1100,36.00,1.806197e-11,0.862733,
120,1100,37.00,1.856444e-11,0.867371,
120,1100,38.00,1.906682e-11,0.871808,
120,1100,39.00,1.956911e-11,0.876053,
120,1100,40.00,2.007133e-11,0.880104,
120,1100,41.00,2.057349e-11,0.883967,
120,1100,42.00,2.107559e-11,0.887650,
120,1100,43.00,2.157766e-11,0.891160,
120,1100,44.00,2.207969e-11,0.894504,
120,1100,45.00,2.258168e-11,0.897689,
120,1100,46.00,2.308365e-11,0.900722,
120,1100,47.00,2.358560e-11,0.903612,
120,1100,48.00,2.408753e-11,0.906365,
120,1100,49.00,2.458944e-11,0.908988,
120,1100,50.00,2.509134e-11,0.911489,
120,1100,51.00,2.559323e-11,0.913877,
120,1100,52.00,2.609512e-11,0.916157,
120,1100,53.00,2.659699e-11,0.918339,
120,1100,54.00,2.709886e-11,0.920429,
120,1100,55.00,2.760072e-11,0.922435,
120,1100,56.00,2.810257e-11,0.924366,
120,1100,57.00,2.860443e-11,0.926229,
120,1100,58.00,2.910628e-11,0.928032,
120,1100,59.00,2.960812e-11,0.929782,
120,1100,60.00,3.010997e-11,0.931489,
120,1100,61.00,3.061181e-11,0.933155,
120,1100,62.00,3.111365e-11,0.934771,
120,1100,63.00,3.161549e-11,0.936336,
120,1100,64.00,3.211733e-11,0.937851,
120,1100,65.00,3.261917e-11,0.939315,
120,1100,66.00,3.312101e-11,0.940731,
120,1100,67.00,3.362284e-11,0.942098,
120,1100,68.00,3.412468e-11,0.943418,
120,1100,69.00,3.462652e-11,0.944691,
120,1100,70.00,3.512835e-11,0.945919,
120,1100,71.00,3.563019e-11,0.947103,
120,1100,72.00,3.613202e-11,0.948243,
120,1100,73.00,3.663386e-11,0.949341,
120,1100,74.00,3.713569e-11,0.950398,
120,1100,75.00,3.763753e-11,0.951415,
120,1100,76.00,3.813936e-11,0.952394,
120,1100,77.00,3.864119e-11,0.953336,
120,1100,78.00,3.914303e-11,0.954243,
120,1100,79.00,3.964486e-11,0.955116,
120,1100,80.00,4.014670e-11,0.955957,
120,1100,81.00,4.064853e-11,0.956767,
120,1100,82.00,4.115036e-11,0.957549,
120,1100,83.00,4.165220e-11,0.958303,
120,1100,84.00,4.215403e-11,0.959033,
120,1100,85.00,4.265587e-11,0.959739,
120,1100,86.00,4.315770e-11,0.960423,
120,1100,87.00,4.365953e-11,0.961089,
120,1100,88.00,4.416137e-11,0.961737,
120,1100,89.00,4.466320e-11,0.962371,
120,1100,90.00,4.516504e-11,0.962992,
120,1100,91.00,4.566687e-11,0.963602,
120,1100,92.00,4.616870e-11,0.964205,
120,1100,93.00,4.667054e-11,0.964801,
120,1100,94.00,4.717237e-11,0.965395,
120,1100,95.00,4.767420e-11,0.965988,
120,1100,96.00,4.817604e-11,0.966574,
120,1100,97.00,4.867787e-11,0.967145,
120,1100,98.00,4.917971e-11,0.967702,
120,1100,99.00,4.968154e-11,0.968245,
120,1100,100.00,5.018337e-11,0.968774,
120,1100,101.00,5.068521e-11,0.969290,
120,1100,102.00,5.118704e-11,0.969793,
120,1100,103.00,5.168887e-11,0.970284,
120,1100,104.00,5.219071e-11,0.970763,
120,1100,105.00,5.269254e-11,0.971231,
120,1100,106.00,5.319438e-11,0.971687,
120,1100,107.00,5.369621e-11,0.972132,
120,1100,108.00,5.419804e-11,0.972567,
120,1100,109.00,5.469988e-11,0.972992,
120,1100,110.00,5.520171e-11,0.973407,
120,1100,111.00,5.570354e-11,0.973812,
120,1100,112.00,5.620538e-11,0.974208,
120,1100,113.00,5.670721e-11,0.974596,
120,1100,114.00,5.720904e-11,0.974974,
120,1100,115.00,5.771088e-11,0.975344,
120,1100,116.00,5.821271e-11,0.975706,
120,1100,117.00,5.871455e-11,0.976061,
120,1100,118.00,5.921638e-11,0.976407,
120,1100,119.00,5.971821e-11,0.976746,
120,1100,120.00,6.022005e-11,0.977078,
