company_id,company_name,country,fintech_type,company_age,country_market_size,country_regulatory_strength,country_economic_stability,founding_year,initial_funding_stage,base_health_score,will_fail,failure_quarter
FT029,HubTech,Kenya,Crypto Exchange,1.1,0.4,0.8,0.7,2019,Seed,0.7081249541408599,False,
FT030,WaveHub,Senegal,Digital Lending,8.1,0.18,0.65,0.65,2012,Series A,0.95,False,
FT031,PrimeAfrica,Ghana,Remittance,2.6,0.3,0.65,0.6,2018,Series A,0.718574167130208,True,16.0
FT032,DigiFinance,Senegal,Payment Gateway,2.0,0.18,0.65,0.65,2018,Seed,0.95,False,
FT033,M-,Ethiopia,Remittance,9.0,0.5,0.55,0.5,2012,Bootstrapped,0.9326448331524806,False,
FT034,M-Pro,Nigeria,Remittance,5.9,1.0,0.7,0.6,2015,Series A,0.95,False,
FT035,InstantMoney,Kenya,Remittance,7.7,0.4,0.8,0.7,2013,Series B,0.95,False,
FT036,InstantPlus,South Africa,Crypto Exchange,2.1,0.8,0.9,0.75,2018,Series A,0.9325553293954834,False,
FT037,CashFinance,Ghana,Payment Gateway,1.8,0.3,0.65,0.6,2019,Series A,0.95,False,
FT038,Digi,Rwanda,Crypto Exchange,1.0,0.15,0.75,0.7,2019,Seed,0.7383047329174379,False,
FT039,EasyTech,Rwanda,Investment Platform,2.6,0.15,0.75,0.7,2018,Seed,0.7779483548419707,False,
FT040,QuickBank,Ghana,Crypto Exchange,9.6,0.3,0.65,0.6,2011,Series A,0.8685863143530059,False,
FT041,Plus,Ghana,Payment Gateway,3.2,0.3,0.65,0.6,2017,Seed,0.8531943191532738,False,
FT042,HubTech,Zambia,Mobile Money,10.8,0.2,0.6,0.5,2010,Seed,0.95,False,
FT043,PlusDigital,Rwanda,Crypto Exchange,3.1,0.15,0.75,0.7,2017,Seed,0.7602468165564342,True,10.0
FT044,SafeDigital,Rwanda,Mobile Money,3.8,0.15,0.75,0.7,2017,Series A,0.8682413820596808,False,
FT045,SmartMoney,Rwanda,Crypto Exchange,1.2,0.15,0.75,0.7,2019,Seed,0.8652754099433527,False,
FT046,Digi,Ethiopia,Mobile Money,1.5,0.5,0.55,0.5,2019,Series B,0.856597135526111,False,
FT047,SafeCash,Senegal,Digital Lending,13.7,0.18,0.65,0.65,2007,Bootstrapped,0.95,False,
FT048,TechTech,South Africa,Payment Gateway,1.8,0.8,0.9,0.75,2019,Series A,0.9000207422505643,False,
FT049,Digi,Kenya,Remittance,2.4,0.4,0.8,0.7,2018,Series A,0.95,False,
FT050,CashAfrica,Ethiopia,Investment Platform,1.3,0.5,0.55,0.5,2019,Seed,0.9217325753491904,False,
FT051,SwiftBank,Uganda,Digital Banking,2.2,0.2,0.6,0.55,2018,Series A,0.95,True,13.0
FT052,Money,Kenya,Mobile Money,3.2,0.4,0.8,0.7,2017,Seed,0.95,False,
FT053,SmartAfrica,Zambia,Remittance,4.1,0.2,0.6,0.5,2016,Seed,0.8636336032382065,False,
FT054,InstantPro,Ghana,Investment Platform,9.3,0.3,0.65,0.6,2011,Series B,0.8060309068738724,False,
FT055,WalletAfrica,Uganda,Mobile Money,2.3,0.2,0.6,0.55,2018,Bootstrapped,0.8343254974231806,False,
FT056,ZapCash,Kenya,Digital Lending,6.1,0.4,0.8,0.7,2014,Bootstrapped,0.95,False,
FT057,TrustMoney,Zambia,Digital Lending,3.3,0.2,0.6,0.5,2017,Bootstrapped,0.7775509042171106,False,
FT058,PlusAfrica,Tanzania,Remittance,7.9,0.25,0.6,0.6,2013,Series B,0.8644133282904495,False,
FT059,Plus,Senegal,Insurance Tech,2.2,0.18,0.65,0.65,2018,Seed,0.9254396814264488,False,
FT060,PayPlus,Rwanda,Insurance Tech,7.5,0.15,0.75,0.7,2013,Seed,0.8307853843950447,False,
FT061,WalletDigital,Uganda,Digital Lending,4.1,0.2,0.6,0.55,2016,Series B,0.8426288269498874,True,8.0
FT062,ConnectTech,Kenya,Payment Gateway,1.3,0.4,0.8,0.7,2019,Series B,0.95,False,
FT063,SmartDigital,Nigeria,Investment Platform,1.0,1.0,0.7,0.6,2019,Seed,0.842483301199147,False,
FT064,Express,Nigeria,Insurance Tech,4.2,1.0,0.7,0.6,2016,Series A,0.803314510764076,False,
FT065,FlashDigital,Ghana,Remittance,4.7,0.3,0.65,0.6,2016,Series B,0.7723820575336072,False,
FT066,ExpressTech,South Africa,Remittance,4.1,0.8,0.9,0.75,2016,Series A,0.8519571946879471,False,
FT067,SwiftDigital,Nigeria,Digital Lending,4.2,1.0,0.7,0.6,2016,Bootstrapped,0.8382358910020624,False,
FT068,FlashCash,Ghana,Insurance Tech,1.9,0.3,0.65,0.6,2019,Series A,0.812086185242831,False,
FT069,WaveConnect,Nigeria,Crypto Exchange,11.8,1.0,0.7,0.6,2009,Series A,0.95,False,
FT070,SwiftMoney,Uganda,Remittance,5.8,0.2,0.6,0.55,2015,Series A,0.846040549180619,False,
FT071,HubAfrica,Tanzania,Insurance Tech,3.6,0.25,0.6,0.6,2017,Series A,0.6943594732818451,False,
FT072,DirectAfrica,Zambia,Digital Banking,2.0,0.2,0.6,0.5,2019,Seed,0.8565470343905192,True,9.0
FT073,Safe,Uganda,Digital Lending,4.1,0.2,0.6,0.55,2016,Seed,0.807586761111834,False,
FT074,ExpressAfrica,Ethiopia,Digital Banking,10.9,0.5,0.55,0.5,2010,Series A,0.95,False,
FT075,MoneyTech,Ethiopia,Payment Gateway,2.0,0.5,0.55,0.5,2018,Series A,0.95,False,
FT076,ZapPlus,Nigeria,Digital Banking,1.6,1.0,0.7,0.6,2019,Series B,0.9407858287394618,False,
FT077,TechAfrica,Ghana,Investment Platform,9.3,0.3,0.65,0.6,2011,Series B,0.95,False,
FT078,TrustAfrica,Tanzania,Payment Gateway,3.9,0.25,0.6,0.6,2017,Bootstrapped,0.95,False,
FT079,TrustTech,Rwanda,Investment Platform,1.5,0.15,0.75,0.7,2019,Seed,0.9232423508862376,False,
FT080,ProTech,Rwanda,Digital Banking,4.6,0.15,0.75,0.7,2016,Series B,0.95,False,
FT081,Direct,Ethiopia,Insurance Tech,2.3,0.5,0.55,0.5,2018,Series A,0.873012195995656,False,
FT082,MoneyAfrica,Uganda,Remittance,7.1,0.2,0.6,0.55,2013,Series A,0.8096095627515472,False,
FT083,CashDigital,Senegal,Crypto Exchange,3.1,0.18,0.65,0.65,2017,Bootstrapped,0.95,False,
FT084,SwiftExpress,South Africa,Payment Gateway,4.6,0.8,0.9,0.75,2016,Series B,0.95,False,
FT085,HubTech,Tanzania,Payment Gateway,7.6,0.25,0.6,0.6,2013,Bootstrapped,0.8697434628339985,False,
FT086,Smart,Uganda,Remittance,3.6,0.2,0.6,0.55,2017,Seed,0.6699231606792826,True,11.0
FT087,ProTech,Senegal,Payment Gateway,2.9,0.18,0.65,0.65,2018,Bootstrapped,0.7166503495019504,False,
FT088,Smart,Rwanda,Crypto Exchange,1.1,0.15,0.75,0.7,2019,Bootstrapped,0.8532304541936634,True,9.0
FT089,FlashLink,Rwanda,Remittance,6.2,0.15,0.75,0.7,2014,Series A,0.8281879726370777,False,
FT090,EasyDigital,Nigeria,Remittance,5.4,1.0,0.7,0.6,2015,Seed,0.9415182752605266,False,
FT091,ProDigital,Senegal,Investment Platform,3.9,0.18,0.65,0.65,2017,Series B,0.95,False,
FT092,WalletDigital,Zambia,Digital Banking,4.9,0.2,0.6,0.5,2016,Seed,0.95,False,
FT093,EasyPro,Senegal,Crypto Exchange,3.2,0.18,0.65,0.65,2017,Bootstrapped,0.95,False,
FT094,SafeDigital,Uganda,Crypto Exchange,2.7,0.2,0.6,0.55,2018,Seed,0.7071430252524293,True,12.0
FT095,Pro,Ghana,Insurance Tech,1.1,0.3,0.65,0.6,2019,Seed,0.7203180922243246,False,
FT096,SmartTech,South Africa,Remittance,1.5,0.8,0.9,0.75,2019,Seed,0.95,False,
FT097,ZapDigital,Rwanda,Digital Banking,3.4,0.15,0.75,0.7,2017,Seed,0.95,False,
FT098,Hub,Ghana,Digital Banking,10.3,0.3,0.65,0.6,2010,Bootstrapped,0.95,False,
FT099,FlashAfrica,Ethiopia,Digital Banking,3.4,0.5,0.55,0.5,2017,Bootstrapped,0.7998168233864102,False,
FT100,LinkTech,Rwanda,Digital Banking,2.3,0.15,0.75,0.7,2018,Series A,0.95,False,
FT101,M-Digital,Ghana,Insurance Tech,1.0,0.3,0.65,0.6,2019,Series A,0.7237608038793332,True,14.0
FT102,Bank,South Africa,Crypto Exchange,3.0,0.8,0.9,0.75,2017,Series A,0.95,False,
FT103,CashWallet,Ethiopia,Mobile Money,1.6,0.5,0.55,0.5,2019,Bootstrapped,0.6830038428442351,False,
FT104,CashFinance,Senegal,Digital Lending,4.0,0.18,0.65,0.65,2016,Seed,0.715480715840656,True,15.0
FT105,PrimeAfrica,Tanzania,Investment Platform,2.4,0.25,0.6,0.6,2018,Bootstrapped,0.7908508902306844,False,
FT106,Pay,Rwanda,Insurance Tech,4.2,0.15,0.75,0.7,2016,Bootstrapped,0.95,False,
FT107,FlashTech,Zambia,Mobile Money,1.2,0.2,0.6,0.5,2019,Bootstrapped,0.8397542474168449,False,
FT108,InstantTech,Kenya,Mobile Money,9.5,0.4,0.8,0.7,2011,Bootstrapped,0.95,False,
FT109,InstantExpress,Nigeria,Digital Lending,2.5,1.0,0.7,0.6,2018,Seed,0.813486632222867,False,
FT110,SafeAfrica,Ethiopia,Remittance,9.5,0.5,0.55,0.5,2011,Seed,0.95,False,
FT111,PayAfrica,Ethiopia,Payment Gateway,10.7,0.5,0.55,0.5,2010,Seed,0.933856723394764,False,
FT112,MoneyDigital,Ethiopia,Mobile Money,6.6,0.5,0.55,0.5,2014,Series A,0.95,False,
FT113,DirectTech,Ghana,Payment Gateway,6.1,0.3,0.65,0.6,2014,Seed,0.9352762835093722,False,
FT114,Money,Uganda,Payment Gateway,4.0,0.2,0.6,0.55,2017,Series A,0.884451135908364,False,
FT115,QuickAfrica,Zambia,Digital Banking,5.0,0.2,0.6,0.5,2016,Seed,0.8470299142734886,False,
FT116,PayExpress,Rwanda,Crypto Exchange,5.2,0.15,0.75,0.7,2015,Bootstrapped,0.95,False,
FT117,LinkAfrica,Senegal,Digital Lending,15.0,0.18,0.65,0.65,2006,Series B,0.7167328388068219,False,
FT118,DirectAfrica,Zambia,Crypto Exchange,2.3,0.2,0.6,0.5,2018,Series A,0.6379429895718145,False,
FT119,InstantMoney,Ghana,Payment Gateway,6.9,0.3,0.65,0.6,2014,Bootstrapped,0.95,False,
FT120,PayAfrica,Senegal,Digital Banking,1.3,0.18,0.65,0.65,2019,Seed,0.8515482124525724,False,
FT121,SafeAfrica,Senegal,Remittance,3.1,0.18,0.65,0.65,2017,Series A,0.793181190641289,False,
FT122,CashTech,Ethiopia,Insurance Tech,2.5,0.5,0.55,0.5,2018,Seed,0.8774142987781,True,11.0
FT123,InstantDigital,Rwanda,Crypto Exchange,8.1,0.15,0.75,0.7,2012,Bootstrapped,0.8903959537711458,False,
FT124,QuickAfrica,Senegal,Crypto Exchange,10.0,0.18,0.65,0.65,2010,Seed,0.8341905317091622,False,
FT125,MoneyAfrica,Rwanda,Remittance,4.0,0.15,0.75,0.7,2017,Series A,0.6882954899864784,False,
FT126,LinkAfrica,Zambia,Investment Platform,4.3,0.2,0.6,0.5,2016,Series A,0.7653226488210092,False,
FT127,Instant,Senegal,Insurance Tech,5.7,0.18,0.65,0.65,2015,Bootstrapped,0.8255853421908084,False,
FT128,SafePlus,Ghana,Investment Platform,2.7,0.3,0.65,0.6,2018,Bootstrapped,0.7966182953754193,False,
FT129,InstantBank,South Africa,Remittance,2.3,0.8,0.9,0.75,2018,Bootstrapped,0.95,False,
FT130,DirectTech,Ethiopia,Insurance Tech,1.3,0.5,0.55,0.5,2019,Series A,0.918288078809999,False,
FT131,M-Direct,Ghana,Investment Platform,1.2,0.3,0.65,0.6,2019,Series B,0.8534109202614528,False,
FT132,M-Link,South Africa,Insurance Tech,1.3,0.8,0.9,0.75,2019,Series A,0.95,False,
FT133,M-Hub,South Africa,Crypto Exchange,2.4,0.8,0.9,0.75,2018,Series A,0.95,False,
FT134,Pay,Senegal,Crypto Exchange,13.8,0.18,0.65,0.65,2007,Series A,0.847761826942468,False,
FT135,PrimeDigital,Senegal,Payment Gateway,2.4,0.18,0.65,0.65,2018,Seed,0.6917924065027862,False,
FT136,PrimeHub,Ethiopia,Mobile Money,1.4,0.5,0.55,0.5,2019,Series A,0.95,False,
FT137,PrimeTech,Kenya,Remittance,1.0,0.4,0.8,0.7,2019,Series B,0.7317657398879847,False,
FT138,PrimeDigital,Ethiopia,Remittance,1.4,0.5,0.55,0.5,2019,Series A,0.7776804514464188,False,
FT139,Bank,Uganda,Digital Banking,5.1,0.2,0.6,0.55,2015,Series B,0.95,False,
FT140,Safe,Kenya,Remittance,2.0,0.4,0.8,0.7,2018,Seed,0.8588873006131744,False,
FT141,Pay,Ghana,Digital Lending,1.8,0.3,0.65,0.6,2019,Series A,0.804465266451888,False,
FT142,EasyBank,Senegal,Crypto Exchange,1.2,0.18,0.65,0.65,2019,Bootstrapped,0.8938504306358466,False,
FT143,EasyBank,Uganda,Crypto Exchange,11.5,0.2,0.6,0.55,2009,Bootstrapped,0.95,False,
FT144,WalletTech,Ethiopia,Remittance,2.8,0.5,0.55,0.5,2018,Bootstrapped,0.8231226685049929,False,
FT145,Quick,South Africa,Insurance Tech,3.6,0.8,0.9,0.75,2017,Seed,0.95,False,
FT146,ZapAfrica,Uganda,Insurance Tech,2.0,0.2,0.6,0.55,2019,Bootstrapped,0.8676309126481103,False,
FT147,PayDigital,Rwanda,Insurance Tech,2.9,0.15,0.75,0.7,2018,Seed,0.9207600404017977,False,
FT148,LinkAfrica,Ethiopia,Mobile Money,12.0,0.5,0.55,0.5,2009,Series B,0.8014868675003984,False,
FT149,SwiftPro,Uganda,Mobile Money,4.6,0.2,0.6,0.55,2016,Bootstrapped,0.728729348293578,False,
FT150,TechAfrica,Ethiopia,Mobile Money,4.5,0.5,0.55,0.5,2016,Series B,0.95,False,
