FirmID,Size,Employees,FirmAge,Subsector,OwnershipType,FDI_Presence,FDI_Percentage,FDI_Origin,FDI_Type,FDI_Years,Knowledge_Absorption,Task_Performance,Innovation_Score,Firm_Resources_Score,Skilled_Labor_Ratio,IoT_Adoption,RD_Spend_Percentage,Liquidity_Ratio,ROI,ROA,Market_Share,Export_Intensity,Operational_Efficiency,Revenue_Million_NGN,Assets_Million_NGN,Export_Value_Million_NGN,Tax_Incentives_Perception,Regulatory_Stability,Infrastructure_Support,Corruption_Experience,Policy_Effectiveness_Index,ISO_Certification,Export_Destination_Count,Local_Content_Percentage,Capacity_Utilization,NAFDAC_Compliance_Score,Quality_Certification,Training_Hours_Per_Employee,Female_Employment_Ratio,Youth_Employment_Ratio,ERP_System,Ecommerce_Adoption,Automation_Level,Local_Suppliers_Percentage,Supplier_Reliability_Score,Inventory_Turnover_Ratio,Survey_Year,Survey_Quarter,FDI_Inflow_Lagos_Million_USD,National_Corruption_Index,Regulatory_Quality_Index,Power_Supply_Hours,Logistics_Quality_Index,GDP_Growth_Rate,Inflation_Rate,Exchange_Rate,Interest_Rate,Ease_Doing_Business_Rank,Food_Sector_GDP_Billion_NGN,Manufacturing_Capacity_Utilization,Infrastructure_Index,Institutional_Quality_Index,Policy_Support_Received,Tax_Incentive_Beneficiary,Export_Grant_Recipient
FIRM_015,SME,156,21,Beverages,Private Nigerian,0,0.0,None,None,0,3.04,2.51,1.0,3.21,0.408,1,0.83,1.35,6.85,10.22,10.47,7.67,60.5,51.17,119.16,3.92,3.2,4.2,2.4,3.8,3.4,0,13,74.0,61.6,88.2,None,31.2,0.165,0.301,0,0,71.2,35.9,4.4,7.58,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_016,SME,236,15,Oils and Fats,Joint Venture,1,31.99463858873462,China,Greenfield,12,3.01,2.58,1.46,3.17,0.539,1,3.13,2.05,21.0,15.34,8.68,19.7,83.5,323.4,490.81,63.71,4.2,1.3,3.5,2.9,2.98,0,13,50.3,57.8,72.4,HACCP,72.8,0.182,0.41,0,0,36.4,83.3,2.77,10.92,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,1,0
FIRM_017,SME,143,30,Fruit and Vegetable Processing,Joint Venture,1,38.01983356262559,UK,M&A,19,3.2,3.6,3.71,2.91,0.468,0,3.96,0.95,19.66,22.07,5.15,30.88,66.0,296.87,568.09,91.67,1.9,4.8,2.1,7.0,3.95,0,14,91.1,82.4,79.0,None,18.7,0.442,0.575,1,1,47.3,76.3,4.76,5.12,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_018,SME,114,37,Bakery Products,Private Nigerian,0,0.0,None,None,0,3.2,4.05,3.4,2.7,0.207,0,1.1,1.44,14.25,7.52,11.34,7.54,68.9,222.75,424.7,16.8,4.2,4.3,4.6,1.6,3.68,1,14,88.3,67.3,96.4,None,25.1,0.549,0.501,0,0,19.7,69.3,3.16,7.95,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,1
FIRM_019,SME,83,33,Meat Processing,Joint Venture,1,43.01163937764621,South Africa,Greenfield,8,3.2,2.97,3.97,3.98,0.535,0,2.94,1.23,15.49,7.44,13.67,30.34,64.3,476.28,666.49,144.5,1.7,4.2,7.0,3.5,4.1,0,11,45.6,86.3,85.5,None,11.6,0.411,0.508,0,1,35.1,39.1,3.12,5.49,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_020,SME,224,1,Meat Processing,Private Foreign,1,45.910243348311724,China,Joint Venture,1,2.79,2.31,3.86,3.44,0.358,1,3.82,1.57,12.34,12.72,2.54,9.17,42.6,461.68,771.52,42.34,4.4,6.4,5.1,3.4,4.82,1,12,50.1,58.5,73.9,ISO 22000,37.8,0.321,0.52,0,0,18.5,76.0,4.67,8.7,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_021,SME,10,14,Bakery Products,Private Foreign,1,49.668647224440534,USA,M&A,14,3.26,3.08,2.07,2.93,0.536,1,0.61,1.07,25.12,16.75,0.89,11.54,83.7,58.87,78.61,6.79,3.1,3.3,4.2,2.0,3.15,1,7,79.7,83.5,92.1,None,37.8,0.417,0.282,1,0,44.9,53.2,2.5,11.14,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_022,SME,56,5,Sugar and Confectionery,Private Nigerian,0,0.0,None,None,0,2.77,2.74,2.32,3.51,0.36,0,2.15,1.17,24.49,14.7,2.16,8.49,64.8,131.95,241.5,11.2,4.9,6.2,3.6,2.6,4.32,1,5,85.9,89.3,100.0,None,11.0,0.259,0.207,0,1,0.6,60.5,3.94,9.21,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_023,SME,131,12,Fish Processing,Private Nigerian,1,20.28366830275004,Germany,Joint Venture,8,4.0,2.5,5.0,3.27,0.653,1,3.97,1.52,15.7,22.59,3.17,4.7,72.3,461.98,987.71,21.71,5.9,4.7,3.7,4.6,4.72,1,7,51.8,46.4,83.8,HACCP,51.7,0.171,0.399,0,1,34.7,34.1,3.69,9.83,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_024,SME,226,43,Fruit and Vegetable Processing,Private Foreign,1,83.71920859067798,India,Greenfield,19,3.94,2.36,2.62,3.25,0.7,1,4.78,1.56,11.31,14.47,13.16,38.08,81.7,361.52,832.93,137.67,5.8,3.9,1.2,4.4,3.82,1,4,66.0,59.1,87.1,ISO 9001,61.2,0.227,0.246,0,0,60.3,65.5,1.33,9.2,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_025,SME,161,35,Grain Mill Products,Government-owned,0,0.0,None,None,0,1.54,2.03,3.77,3.09,0.265,0,1.84,1.68,13.54,16.15,6.55,6.93,59.7,469.67,606.36,32.55,3.1,7.0,2.6,2.8,3.88,1,14,63.2,78.2,69.8,HACCP,8.9,0.292,0.315,1,1,24.5,51.1,3.69,9.44,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_026,SME,149,37,Beverages,Private Nigerian,0,0.0,None,None,0,4.62,2.4,3.63,3.87,0.255,1,0.44,1.17,8.73,14.69,5.58,0.87,60.5,391.21,823.43,3.4,3.1,4.4,3.0,2.7,3.3,0,8,89.2,83.7,78.0,None,18.7,0.259,0.391,1,0,24.0,81.2,3.35,9.88,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,1
FIRM_027,SME,235,24,Meat Processing,Private Nigerian,0,0.0,None,None,0,2.41,2.8,3.26,2.26,0.08,0,1.24,1.62,16.85,15.37,5.54,10.17,45.3,445.38,996.16,45.3,5.1,5.2,4.1,4.4,4.7,0,8,91.2,49.8,92.2,None,11.6,0.503,0.585,0,0,28.4,30.1,3.38,8.45,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_028,SME,86,29,Fish Processing,Private Nigerian,1,22.730909483628423,China,M&A,2,3.95,4.6,2.95,3.53,0.607,1,4.83,1.38,22.95,22.07,1.99,48.74,69.6,185.43,393.23,90.38,4.7,4.2,2.5,5.6,4.25,1,1,94.5,75.4,69.8,None,55.3,0.388,0.353,1,0,57.0,43.9,3.13,4.01,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_029,SME,235,34,Sugar and Confectionery,Private Foreign,1,24.726143907250226,Germany,Joint Venture,11,4.29,4.09,3.02,2.71,0.716,1,3.37,1.48,13.63,23.09,6.44,46.49,66.5,64.01,131.04,29.76,3.7,5.2,3.0,4.6,4.12,1,0,45.0,51.9,84.7,None,47.1,0.157,0.519,1,0,64.6,43.6,4.7,8.47,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,1
FIRM_030,SME,185,22,Meat Processing,Private Nigerian,0,0.0,None,None,0,3.21,2.78,2.6,2.19,0.322,0,2.44,2.03,18.14,14.36,14.31,13.62,76.3,115.66,154.25,15.75,5.5,3.6,3.6,1.6,3.58,0,7,40.5,59.7,84.1,None,8.1,0.29,0.213,1,1,27.9,67.9,2.65,10.4,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,1,0
FIRM_031,SME,235,42,Fish Processing,Joint Venture,0,0.0,None,None,0,4.19,3.63,1.47,3.42,0.424,0,1.56,2.13,17.25,10.27,10.08,8.3,81.2,266.41,333.81,22.11,5.1,3.7,1.8,4.8,3.85,0,8,87.9,54.9,100.0,None,16.8,0.223,0.516,0,0,50.9,42.6,3.85,11.97,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_032,SME,114,3,Other Food Products,Private Foreign,1,47.65598098008874,Germany,Greenfield,3,4.29,3.14,4.31,3.85,0.611,1,2.94,1.67,21.79,4.47,6.23,31.52,90.8,344.75,858.35,108.67,5.0,2.8,1.6,2.8,3.05,0,0,47.2,77.2,62.2,None,22.6,0.245,0.589,1,0,15.2,77.9,3.46,7.56,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,1,0
FIRM_033,SME,240,25,Sugar and Confectionery,Private Foreign,1,45.197338298658465,China,Greenfield,3,2.59,4.0,2.83,3.61,0.732,1,1.56,0.92,10.91,14.04,5.39,43.1,56.3,327.72,694.38,141.25,4.0,3.5,3.0,3.3,3.45,0,11,64.6,83.9,100.0,None,47.8,0.164,0.595,1,1,42.2,42.4,3.12,5.44,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,1
FIRM_034,SME,68,5,Dairy Products,Private Foreign,1,23.350888086587997,India,M&A,5,3.55,3.54,3.32,2.4,0.356,1,1.07,1.03,10.23,22.23,11.13,8.44,82.2,120.27,181.0,10.15,3.5,3.9,3.5,4.8,3.92,0,0,41.7,86.9,79.8,None,57.4,0.236,0.464,0,0,44.5,85.0,2.9,4.39,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_035,SME,82,33,Oils and Fats,Mixed Ownership,0,0.0,None,None,0,2.82,2.5,2.94,2.43,0.356,0,1.1,2.33,22.56,7.76,13.1,5.64,76.8,197.77,399.35,11.15,2.9,5.5,6.3,5.1,4.95,0,0,64.4,45.7,63.4,None,10.9,0.407,0.504,0,0,0.5,56.2,3.64,7.15,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,1,1
FIRM_036,SME,96,6,Grain Mill Products,Joint Venture,1,42.07334333386527,UK,Greenfield,6,2.67,4.22,3.12,2.55,0.267,1,3.28,1.69,23.92,22.03,8.22,30.21,78.1,229.96,567.94,69.47,3.9,4.1,5.3,3.0,4.08,1,0,71.2,56.5,90.1,None,43.8,0.472,0.42,1,0,41.8,75.1,3.93,11.07,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_037,SME,146,26,Oils and Fats,Joint Venture,1,24.07012824531339,USA,Joint Venture,16,2.37,3.53,4.06,2.85,0.661,0,4.14,2.1,10.39,12.17,2.72,12.23,74.0,290.91,416.58,35.58,5.8,2.6,2.5,4.6,3.88,1,12,72.7,67.4,73.1,None,19.6,0.428,0.362,0,0,48.5,45.1,4.8,4.64,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_038,SME,241,37,Dairy Products,Private Foreign,1,43.02604712843206,Netherlands,Greenfield,4,4.37,3.17,2.78,3.52,0.534,1,3.17,1.96,12.5,12.81,3.26,2.72,57.0,497.97,886.52,13.54,2.9,5.1,1.0,5.8,3.7,1,9,45.3,65.3,91.9,None,34.3,0.416,0.518,0,1,23.6,84.6,3.25,11.42,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_039,SME,117,1,Oils and Fats,Joint Venture,1,20.024843390851117,Germany,Joint Venture,1,2.63,3.31,2.65,2.7,0.379,1,1.58,1.67,27.96,9.35,14.16,45.41,80.4,308.56,597.54,140.12,3.9,4.0,1.0,5.1,3.5,0,13,88.3,84.1,62.1,None,65.3,0.272,0.232,0,1,24.5,83.7,4.55,9.13,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_040,SME,34,2,Oils and Fats,Private Foreign,1,64.57338499900379,China,M&A,2,3.51,2.51,2.35,3.22,0.371,1,0.62,1.03,31.54,14.62,14.5,22.49,75.8,247.78,331.37,55.73,2.1,2.4,4.3,6.1,3.72,1,2,71.0,53.6,97.2,HACCP,43.9,0.452,0.448,1,0,29.4,39.8,4.18,9.53,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_041,SME,106,4,Sugar and Confectionery,Mixed Ownership,0,0.0,None,None,0,1.93,3.35,3.1,4.27,0.22,1,2.22,1.56,8.89,8.52,6.5,12.41,75.5,54.96,95.69,6.82,5.4,3.5,3.5,5.1,4.38,1,6,74.0,59.6,77.0,None,27.0,0.23,0.226,1,1,37.2,57.5,2.45,6.13,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_042,SME,126,26,Sugar and Confectionery,Government-owned,1,35.41671526852777,UK,Greenfield,6,3.85,3.23,3.57,3.5,0.635,1,1.76,2.38,13.08,19.13,12.46,25.76,63.6,152.13,358.45,39.19,1.9,5.3,3.3,2.9,3.35,1,6,79.4,48.2,84.2,ISO 9001,10.8,0.533,0.495,0,1,58.0,66.4,2.97,5.48,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_043,SME,244,5,Beverages,Joint Venture,1,20.33681070467516,Netherlands,Greenfield,5,3.92,4.09,2.2,3.1,0.223,0,3.99,1.89,20.29,4.72,14.54,41.53,92.5,386.63,871.97,160.57,6.7,2.9,4.0,4.6,4.55,1,8,60.7,69.8,82.9,ISO 22000,21.5,0.26,0.571,0,0,21.8,78.4,4.41,6.07,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_044,SME,184,18,Beverages,Joint Venture,1,42.8379435627124,Netherlands,Joint Venture,12,3.4,3.08,2.54,3.95,0.474,0,0.99,1.97,8.89,22.72,7.58,7.84,63.3,391.18,847.47,30.67,2.4,2.9,3.8,5.3,3.6,0,7,65.4,45.4,87.1,HACCP,60.9,0.547,0.24,0,0,43.9,70.3,2.38,8.93,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_045,SME,164,2,Oils and Fats,Private Nigerian,0,0.0,None,None,0,3.84,2.85,2.95,3.09,0.054,0,1.9,1.95,20.13,15.63,7.32,7.53,61.5,339.51,751.85,25.57,3.4,3.4,3.0,3.2,3.25,0,0,72.4,66.6,80.9,None,7.3,0.382,0.425,0,0,40.4,44.8,3.97,10.6,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_046,SME,58,19,Meat Processing,Joint Venture,1,48.296798427399665,India,Joint Venture,19,2.7,3.18,2.63,2.28,0.203,1,3.19,2.05,32.46,22.1,9.82,21.9,89.7,103.25,178.92,22.61,5.2,3.5,5.0,6.6,5.07,1,12,93.9,52.4,100.0,None,51.0,0.385,0.479,0,0,31.2,55.4,2.46,7.85,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_047,SME,158,10,Beverages,Joint Venture,1,11.943839083534721,Germany,M&A,1,3.31,2.7,3.16,3.89,0.158,1,0.7,0.86,13.67,9.27,11.91,50.69,62.2,430.16,666.14,218.05,2.2,4.2,3.3,4.0,3.42,0,4,69.3,63.5,80.1,ISO 22000,73.0,0.159,0.466,0,0,16.6,70.2,3.08,11.85,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_048,SME,91,5,Bakery Products,Joint Venture,1,23.192261107961585,UK,Joint Venture,5,2.93,3.11,2.86,3.07,0.301,0,3.03,1.69,9.48,20.67,10.98,3.52,79.6,86.78,155.84,3.05,6.7,2.4,3.4,3.1,3.9,0,12,81.2,58.1,100.0,None,17.8,0.292,0.591,0,0,52.6,60.0,3.21,10.07,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_049,SME,125,22,Fruit and Vegetable Processing,Private Nigerian,0,0.0,None,None,0,2.65,2.39,2.77,3.28,0.35,0,1.38,0.96,11.87,7.24,6.17,11.98,55.4,228.82,302.37,27.41,1.9,2.2,3.1,5.7,3.22,1,7,83.9,62.8,77.9,None,23.7,0.213,0.478,0,1,20.0,40.1,3.18,11.15,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
