country,year,date,new_fintech_licenses,total_fintech_companies,hhi_index,market_concentration,top5_market_share,fintech_investment_millions_usd,partnerships_mergers,regulatory_changes,digital_adoption_rate,market_development_level
South Africa,2023,2023-10-12,3,38,207.64607458186944,Low,0.22926064059989804,19.306548643428666,2,0,0.20822553629313004,0.3072884620868232
South Africa,2024,2024-10-11,4,15,153.45526914235063,Low,0.24244203609779005,136.6595499738851,2,1,0.1658153898886595,0.3072884620868232
Ghana,2020,2020-10-12,3,52,291.35943623256554,Low,0.25710696787896736,135.48749886818345,3,0,0.15895391651753318,0.31179334467491
Ghana,2021,2021-10-12,1,18,165.01957971831428,Low,0.26064585814497415,103.06697026496863,0,0,0.19389148348519164,0.31179334467491
Ghana,2022,2022-10-12,4,45,190.20486325976668,Low,0.23349804936695123,16.679602659774385,1,1,0.07478264361006841,0.31179334467491
Ghana,2023,2023-10-12,1,21,211.01007940210172,Low,0.24861606694166602,125.61773890251243,0,0,0.1500764307746704,0.31179334467491
Ghana,2024,2024-10-11,1,32,221.04534342314997,Low,0.28159515683679814,130.18100560242755,2,0,0.18842516759947808,0.31179334467491
Uganda,2020,2020-10-12,5,93,662.6635739056412,Low,0.5144872477722655,124.58946235388366,3,0,0.4715684013982888,0.8390423417051891
Uganda,2021,2021-10-12,7,74,3325.3612796379075,High,0.7969102236672869,138.24668387792013,2,1,0.5365485505243062,0.8390423417051891
Uganda,2022,2022-10-12,3,51,1553.364843497925,Moderate,0.7130599017128114,78.67830193808771,4,0,0.39940726099237395,0.8390423417051891
Uganda,2023,2023-10-12,10,121,781.4169619422155,Low,0.5152193540968274,61.79131669914814,5,1,0.384483355176761,0.8390423417051891
Uganda,2024,2024-10-11,14,81,1399.046318317389,Low,0.7275960467070466,245.27095501385836,6,0,0.44403500663745377,0.8390423417051891
Tanzania,2020,2020-10-12,5,67,888.7917851183344,Low,0.6456405994316518,261.6419732572666,13,0,0.49800090134431657,0.7812860226079416
Tanzania,2021,2021-10-12,13,22,805.2490096329851,Low,0.4856053612244214,385.0262332666768,8,0,0.22103906360695966,0.7812860226079416
Tanzania,2022,2022-10-12,12,21,1973.1682917211838,Moderate,0.73330315913527,279.61087812484567,5,0,0.34198346532688767,0.7812860226079416
Tanzania,2023,2023-10-12,7,17,1597.4805126128997,Moderate,0.6112686970333923,92.44863098135332,4,0,0.3614500599048128,0.7812860226079416
Tanzania,2024,2024-10-11,4,58,1318.3145030141968,Low,0.629138706120902,119.80873118066029,2,1,0.42723127515571535,0.7812860226079416
Ethiopia,2020,2020-10-12,4,14,127.60697976786665,Low,0.19180712701656963,87.69392799422617,2,0,0.06320128116023159,0.30447609282294474
Ethiopia,2021,2021-10-12,0,16,116.83768027143489,Low,0.23517405632076202,29.899815940940556,6,0,0.18119926289654956,0.30447609282294474
Ethiopia,2022,2022-10-12,3,21,247.45832152348962,Low,0.22816817710350343,93.02420501910548,1,0,0.09384069658315984,0.30447609282294474
Ethiopia,2023,2023-10-12,4,30,172.40102299721747,Low,0.2120861010581515,21.67148339887511,1,0,0.20880377656589383,0.30447609282294474
Ethiopia,2024,2024-10-11,2,50,171.21665766129246,Low,0.24175188028399686,70.05294427565148,5,0,0.06317724542661608,0.30447609282294474
Angola,2020,2020-10-12,3,15,1123.6165265172824,Low,0.4443242190024484,79.43265283772777,0,0,0.15218343244021426,0.7231388807787815
Angola,2021,2021-10-12,6,64,853.5987434630371,Low,0.5658325535941644,85.19873982658208,6,1,0.4301314737699977,0.7231388807787815
Angola,2022,2022-10-12,5,88,496.934892212892,Low,0.44234873360907484,195.14774831150584,2,0,0.5676919407233387,0.7231388807787815
Angola,2023,2023-10-12,8,27,1153.0335422008336,Low,0.651335323024773,256.86570882949275,3,1,0.33657385014982893,0.7231388807787815
Angola,2024,2024-10-11,1,87,946.8413451507658,Low,0.6113416533062925,114.39740912610364,1,0,0.4738517634151089,0.7231388807787815
Mozambique,2020,2020-10-12,3,17,848.7180879270828,Low,0.4722192261122529,133.69422962792444,7,0,0.1850062269594024,0.5819498607583091
Mozambique,2021,2021-10-12,5,102,337.16877190799204,Low,0.34977087372630056,248.46533121340542,5,0,0.45333159589993915,0.5819498607583091
Mozambique,2022,2022-10-12,6,57,574.9264109328135,Low,0.4355919074692865,75.69650007646857,3,0,0.35132759795701285,0.5819498607583091
Mozambique,2023,2023-10-12,3,43,513.581302080333,Low,0.43903055565464294,235.01620341183138,4,0,0.4466479665365556,0.5819498607583091
Mozambique,2024,2024-10-11,11,33,470.2804218612576,Low,0.4003113031463994,191.7508422655038,1,0,0.12810875308346084,0.5819498607583091
Zambia,2020,2020-10-12,4,10,150.11300458838627,Low,0.2312169802298442,95.78335594273344,2,1,0.1555668702818741,0.35526086054051287
Zambia,2021,2021-10-12,4,65,155.01716111554222,Low,0.246727495088301,88.6557360797138,1,0,0.1780628650638589,0.35526086054051287
Zambia,2022,2022-10-12,9,20,388.84830480944805,Low,0.29145537502181573,130.05754530493118,2,1,0.20894074713579308,0.35526086054051287
Zambia,2023,2023-10-12,4,63,267.564939296167,Low,0.23313340952726647,166.74863194420797,1,0,0.17504007144875686,0.35526086054051287
Zambia,2024,2024-10-11,5,22,174.97710521582164,Low,0.22555271984384226,22.13303280738742,3,0,0.23306899735108327,0.35526086054051287
Zimbabwe,2020,2020-10-12,5,128,1037.8826467297442,Low,0.5910005795949579,319.6448276416162,4,0,0.4434711458893795,0.7275792897828619
Zimbabwe,2021,2021-10-12,2,77,1329.026998760563,Low,0.4860461966593098,44.33428724267782,2,0,0.2689551679051309,0.7275792897828619
Zimbabwe,2022,2022-10-12,7,87,1329.1366334044624,Low,0.5928446083972312,157.7390602686786,1,0,0.21414040654245486,0.7275792897828619
Zimbabwe,2023,2023-10-12,4,56,607.922269726554,Low,0.4935426603413655,293.41095299007907,3,0,0.2903359724018944,0.7275792897828619
Zimbabwe,2024,2024-10-11,1,27,689.2527591529105,Low,0.5178020738355434,8.380214707525617,1,0,0.2244247928699897,0.7275792897828619
Rwanda,2020,2020-10-12,8,78,698.2402463589016,Low,0.4426794687227248,128.13651292214215,3,0,0.2347298131793239,0.603856399016439
Rwanda,2021,2021-10-12,4,107,560.9271220585533,Low,0.5176789943683059,266.62559687057933,5,0,0.17623291108021844,0.603856399016439
Rwanda,2022,2022-10-12,9,102,535.3063838491639,Low,0.4272061781578763,203.78219493973293,0,0,0.16950197584592055,0.603856399016439
Rwanda,2023,2023-10-12,6,53,406.09612227600576,Low,0.41700343170876725,213.59523149470647,1,1,0.1985434320423021,0.603856399016439
Rwanda,2024,2024-10-11,4,97,1049.885861002551,Low,0.5077335833625525,195.181360910997,3,1,0.19033023060979387,0.603856399016439
Senegal,2020,2020-10-12,1,48,330.31420470388434,Low,0.3254698419076553,87.69553081009356,1,1,0.25625379811399235,0.37087244226398736
Senegal,2021,2021-10-12,4,57,382.7936145297597,Low,0.32917688162794606,91.18294901993238,0,0,0.1711874817252234,0.37087244226398736
Senegal,2022,2022-10-12,2,66,375.39990293479394,Low,0.2771534972172604,79.47358510174246,2,0,0.1108150290880417,0.37087244226398736
Senegal,2023,2023-10-12,0,49,162.84560982283546,Low,0.22817004478854802,35.13376233132389,2,0,0.16388310109567064,0.37087244226398736
Senegal,2024,2024-10-11,1,71,184.7106558894779,Low,0.2912481469236263,19.739391672885567,0,1,0.2230458018086952,0.37087244226398736
Burkina Faso,2020,2020-10-12,0,48,643.9135941186977,Low,0.448885738190183,121.21644301286649,3,0,0.4021131019595249,0.5391860063992894
Burkina Faso,2021,2021-10-12,0,103,522.7580204329578,Low,0.46245804200336715,233.85125788919683,1,0,0.27195022649454,0.5391860063992894
Burkina Faso,2022,2022-10-12,2,79,619.4546171575191,Low,0.45669215422006526,22.12186619376581,1,0,0.37965877883206306,0.5391860063992894
Burkina Faso,2023,2023-10-12,6,64,479.41049719044565,Low,0.3405739822056489,131.58908676791893,4,1,0.25472021949875595,0.5391860063992894
Burkina Faso,2024,2024-10-11,5,61,674.6320947523429,Low,0.43539122550480225,24.567967728844717,10,0,0.280206862731601,0.5391860063992894
Mali,2020,2020-10-12,4,18,545.9617538410814,Low,0.46527657953217566,92.29104112206902,7,0,0.38317278582026654,0.4993237605381784
Mali,2021,2021-10-12,3,67,285.73346870464985,Low,0.3110926098740653,181.25485680886015,3,0,0.3163228178828827,0.4993237605381784
Mali,2022,2022-10-12,5,46,638.5672543095287,Low,0.4658274481099323,68.36969127012105,0,0,0.37644308455206765,0.4993237605381784
Mali,2023,2023-10-12,3,31,585.2060823788278,Low,0.3272207517735406,169.6380416214076,4,1,0.3362011582650599,0.4993237605381784
Mali,2024,2024-10-11,9,27,486.6977363585695,Low,0.40278468153381036,126.16290599720686,5,0,0.3730969424689657,0.4993237605381784
Niger,2020,2020-10-12,10,20,344.0936479205753,Low,0.3933391413408805,19.429876868592324,5,1,0.36404276067234986,0.5062307420383179
Niger,2021,2021-10-12,2,97,280.1471847528914,Low,0.3450166648178331,188.683119197065,4,0,0.37579671307089124,0.5062307420383179
Niger,2022,2022-10-12,6,24,410.388777697112,Low,0.3438758672724278,95.60667253005123,6,0,0.350075355872651,0.5062307420383179
Niger,2023,2023-10-12,0,72,892.4005432367546,Low,0.46499301768918483,212.4960449059202,3,1,0.1078593765120067,0.5062307420383179
Niger,2024,2024-10-11,2,36,352.26822227376925,Low,0.3340956756340678,134.03177820615025,3,0,0.12522463681849333,0.5062307420383179
Chad,2020,2020-10-12,5,50,549.8388011564119,Low,0.38777066680935957,89.52384552749905,2,0,0.2675574941833469,0.6455281110289601
Chad,2021,2021-10-12,2,25,506.64812255584764,Low,0.4607917990968035,251.5061734783453,2,0,0.2842239257109077,0.6455281110289601
Chad,2022,2022-10-12,1,86,422.5367714820392,Low,0.4161092153338238,247.70621042524783,3,0,0.3893976643615994,0.6455281110289601
Chad,2023,2023-10-12,8,113,736.9947071197606,Low,0.4130282373865605,304.4053263494683,3,1,0.19877734999421445,0.6455281110289601
Chad,2024,2024-10-11,10,127,644.2051388056332,Low,0.4395360228420733,240.98093862656646,3,0,0.2553212970079658,0.6455281110289601
Cameroon,2020,2020-10-12,7,95,727.03728195566,Low,0.503027657159986,219.6707644454352,4,0,0.5014250411723835,0.7263381052921797
Cameroon,2021,2021-10-12,2,121,1449.3491814708862,Low,0.5783246049384815,286.57462388601596,3,1,0.22858600944892168,0.7263381052921797
Cameroon,2022,2022-10-12,2,45,769.0872267129098,Low,0.5160326718827958,226.0801860151757,1,0,0.4590589655177544,0.7263381052921797
Cameroon,2023,2023-10-12,4,137,1454.4003715492918,Low,0.6646705436567625,34.32595262110404,1,0,0.5663529103279639,0.7263381052921797
Cameroon,2024,2024-10-11,7,29,980.3177912690409,Low,0.6205095048882342,295.15997214431883,2,0,0.5241902415883986,0.7263381052921797
Côte d'Ivoire,2020,2020-10-12,8,16,1790.9512155760149,Moderate,0.6741489544458633,52.57937036329809,7,1,0.2135908705224201,0.7744414132828694
Côte d'Ivoire,2021,2021-10-12,5,23,594.7695126149005,Low,0.4737910947794607,358.55544820042456,7,0,0.1611552195248984,0.7744414132828694
Côte d'Ivoire,2022,2022-10-12,1,37,1589.5247765201484,Moderate,0.7304008242120883,119.59530432773018,13,1,0.4518684535350362,0.7744414132828694
Côte d'Ivoire,2023,2023-10-12,6,99,1002.3937325178379,Low,0.5952170768221792,146.98840776578382,4,0,0.4240151846665907,0.7744414132828694
Côte d'Ivoire,2024,2024-10-11,6,77,1356.8228278523745,Low,0.6381471340381637,253.6992072603113,2,0,0.4491088673276211,0.7744414132828694
Madagascar,2020,2020-10-12,1,75,170.5536532584824,Low,0.2677747073861602,100.23901952426539,0,1,0.29247035854413056,0.3829015761954214
Madagascar,2021,2021-10-12,1,62,185.93460839740936,Low,0.23634187982459,22.092421783587866,2,1,0.12958669028782724,0.3829015761954214
Madagascar,2022,2022-10-12,2,18,414.9427849026031,Low,0.3605918722611756,180.11009413116312,4,0,0.21789893827444914,0.3829015761954214
Madagascar,2023,2023-10-12,1,20,282.4635739127026,Low,0.28674299529623704,103.79445333841446,0,0,0.2304779950681117,0.3829015761954214
Madagascar,2024,2024-10-11,2,64,368.7626656174315,Low,0.34741321121048757,33.25594769554464,3,1,0.09627776208098027,0.3829015761954214
Malawi,2020,2020-10-12,10,12,627.1438082315861,Low,0.4058662857181906,180.74285352787606,7,1,0.33656156928896874,0.5160912589546109
Malawi,2021,2021-10-12,2,50,352.193535031544,Low,0.4043363347683793,197.71684439514462,3,0,0.4051488805419446,0.5160912589546109
Malawi,2022,2022-10-12,8,97,447.2842879732174,Low,0.407751146809457,164.43895847804157,2,0,0.3222283948906713,0.5160912589546109
Malawi,2023,2023-10-12,5,25,923.6026247763414,Low,0.4358030538015546,131.42043207100085,2,1,0.24421257833217042,0.5160912589546109
Malawi,2024,2024-10-11,6,31,942.6697354161718,Low,0.4845189801890255,51.25638523800679,0,0,0.2857882663228739,0.5160912589546109
Botswana,2020,2020-10-12,5,70,828.2477946755395,Low,0.47899409208574684,187.9050016961272,1,1,0.5491973515366559,0.7132320701449857
Botswana,2021,2021-10-12,7,92,648.0474001857731,Low,0.513878303254079,62.33741876707604,2,0,0.5364394154528247,0.7132320701449857
Botswana,2022,2022-10-12,7,54,705.9663262281501,Low,0.558529677654403,175.5509869308885,2,0,0.295990338921288,0.7132320701449857
Botswana,2023,2023-10-12,10,83,1166.8145499618481,Low,0.6043689526415331,276.9871313241235,2,0,0.21449563074548966,0.7132320701449857
Botswana,2024,2024-10-11,11,68,884.3238315063936,Low,0.5791960949172472,264.8325606840807,3,0,0.3701811015814639,0.7132320701449857
Namibia,2020,2020-10-12,3,80,1830.6020066594735,Moderate,0.7170488298665946,275.4001284826453,4,0,0.4786549028022128,0.8388717632200475
Namibia,2021,2021-10-12,10,86,1338.2116950424745,Low,0.6571863474627042,84.91525703500999,0,1,0.2679997170511772,0.8388717632200475
Namibia,2022,2022-10-12,8,59,2093.1313241517496,Moderate,0.6975476139886967,319.1169209526722,2,0,0.43015558540855076,0.8388717632200475
Namibia,2023,2023-10-12,7,98,1368.6133889957318,Low,0.6385603417804682,352.63924133673254,5,0,0.2657323267161013,0.8388717632200475
Namibia,2024,2024-10-11,9,57,844.7267049078378,Low,0.5270642693678053,38.37095147104538,7,0,0.43696490015850353,0.8388717632200475
Mauritius,2020,2020-10-12,3,19,350.0671901236364,Low,0.3389846840028229,28.40282590070375,3,0,0.29690545979185673,0.44072656547845307
Mauritius,2021,2021-10-12,0,69,373.3958658655634,Low,0.28932256266278517,23.448139358357583,4,1,0.2982740882306243,0.44072656547845307
Mauritius,2022,2022-10-12,3,52,250.0499630797374,Low,0.2683929445597069,82.05489148986844,3,0,0.15048492226281954,0.44072656547845307
Mauritius,2023,2023-10-12,4,81,484.064124324646,Low,0.37507187558688543,147.9725540387926,1,0,0.33111970130165,0.44072656547845307
Mauritius,2024,2024-10-11,0,20,400.1564852659711,Low,0.36194328626090033,192.88451546688455,7,0,0.12268517109734475,0.44072656547845307
Seychelles,2020,2020-10-12,6,124,1296.249366419509,Low,0.6196423603464977,246.54738384987937,2,0,0.2856709126642598,0.6635566550586819
Seychelles,2021,2021-10-12,12,37,1132.7115862239698,Low,0.5244465839611175,164.45632447391594,3,0,0.13872632635968013,0.6635566550586819
Seychelles,2022,2022-10-12,3,92,410.20304392037866,Low,0.4447845556016612,128.98691949397465,2,0,0.44331050907466385,0.6635566550586819
Seychelles,2023,2023-10-12,5,78,1005.6224907425558,Low,0.5684246077365449,46.34706836802137,5,1,0.385418411953301,0.6635566550586819
Seychelles,2024,2024-10-11,9,71,1713.1738744393665,Moderate,0.5899771889508786,177.87037345708063,4,1,0.1599712541486648,0.6635566550586819
Eswatini,2020,2020-10-12,11,118,1591.0460760830258,Moderate,0.7858398585235903,325.81362529037546,1,1,0.4922177596674891,0.892260575280591
Eswatini,2021,2021-10-12,8,82,1153.6964140251528,Low,0.6787318883207266,316.6693526508093,5,1,0.30288956284778273,0.892260575280591
Eswatini,2022,2022-10-12,4,173,1209.5286754237852,Low,0.7038371659399872,301.07953982474567,4,0,0.37731901781197047,0.892260575280591
Eswatini,2023,2023-10-12,4,90,1237.4801724372635,Low,0.6107087210941288,285.0705843216892,5,0,0.26835705142844735,0.892260575280591
Eswatini,2024,2024-10-11,3,20,1659.5759031777143,Moderate,0.6961565335519163,181.71255312712677,9,1,0.4693298817180058,0.892260575280591
Lesotho,2020,2020-10-12,9,62,1339.3430333971044,Low,0.5694273166617704,275.38765378898967,6,1,0.4170829407103798,0.6008992621369651
Lesotho,2021,2021-10-12,4,98,657.2073108785395,Low,0.4057198782609997,85.20337365287735,2,0,0.28060760982247346,0.6008992621369651
Lesotho,2022,2022-10-12,4,79,403.83975883603733,Low,0.37584766496506583,216.75919274143462,2,0,0.17227722278118443,0.6008992621369651
Lesotho,2023,2023-10-12,8,85,417.16278702115824,Low,0.3915440407035663,101.10752446945538,4,0,0.21547464008698172,0.6008992621369651
Lesotho,2024,2024-10-11,2,90,608.4951890644049,Low,0.39911096404265545,150.66174906022303,0,0,0.43726009520425646,0.6008992621369651
