firm_id,firm_size,survey_date,years_operation,employees_cat,revenue_cat,ownership_type,has_fdi,fdi_type,years_fdi,ka1_technical_manuals,ka2_staff_training,ka3_adapt_technology,ka4_commercialize_knowledge,tp1_production_efficiency,tp2_quality_control,tp3_order_fulfillment,tp4_employee_productivity,rd_spending_pct,new_products_3yr,innovation_iot,innovation_automation,innovation_quality_mgmt,innovation_other,skilled_workforce_pct,training_hours_annual,modern_equipment,machinery_age_years,credit_access,reinvestment_rate_pct,gp1_tax_incentives,gp2_regulatory_stability,gp3_infrastructure_support,gp4_permit_ease,avg_roi_pct,avg_roa_pct,export_intensity_pct,capacity_utilization_pct,market_share_lagos_pct,knowledge_absorption,task_performance,innovation_score,government_policy,firm_resources,overall_performance
SME011,SME,2024-06-14,3,1-50,<50M,Foreign-owned,1,Joint venture,2.0,5,5,5,5,3,4,4,3,0.8,5,0,0,0,0,93.6,37,1,8,Easy,18.2,5,5,4,5,1.7,10.9,27.2,82.9,2.5,5.0,3.5,-0.391370042864178,4.75,0.8093533089323718,-0.2112869102130232
SME012,SME,2024-05-02,23,1-50,50M-500M,Local,0,,,2,3,3,2,4,3,3,3,0.8,2,1,0,1,0,11.3,36,1,7,Difficult,6.6,4,5,3,5,5.3,11.0,16.3,79.3,0.1,2.5,3.25,-0.5233750610713596,4.25,-0.9436838801922987,-0.4296520439556874
SME013,SME,2024-01-23,16,1-50,50M-500M,Foreign-owned,1,Technology transfer,6.0,4,5,5,4,4,4,3,4,1.3,5,1,1,1,1,64.1,39,1,2,Easy,21.9,2,2,4,3,20.3,14.6,41.5,65.7,6.4,4.5,3.75,0.5772203784392258,2.75,0.5574597021508403,0.868129735522583
SME014,SME,2024-01-22,5,51-250,<50M,Local,1,Management contract,1.0,3,3,3,4,3,4,3,3,1.1,7,0,1,1,0,46.6,29,1,1,Difficult,21.1,5,2,4,3,19.5,11.3,12.8,73.6,0.1,3.25,3.25,0.4694156104214822,3.5,-0.2715070568161144,-0.030345432375140896
SME015,SME,2024-02-07,4,51-250,500M-5B,Foreign-owned,1,Equity,1.0,4,4,4,3,4,3,4,4,3.2,4,0,0,1,1,46.2,24,1,1,Moderate,23.5,4,3,4,4,19.1,12.1,26.4,81.7,3.5,3.75,3.75,0.5455538246121627,3.75,-0.1078686134988274,0.5019037972757228
SME016,SME,2024-03-10,4,51-250,500M-5B,Local,0,,,4,4,3,3,3,3,3,2,0.0,3,0,0,0,0,35.7,16,1,1,Moderate,14.7,4,6,4,5,3.3,11.3,0.0,84.6,0.8,3.5,2.75,-0.988851477960763,4.75,-0.37218952510568093,-0.6141189259952626
SME017,SME,2024-03-14,6,1-50,<50M,Local,0,,,3,3,2,3,3,3,3,3,3.1,0,0,0,1,0,31.4,8,1,6,Easy,35.5,3,3,4,5,17.7,6.3,22.0,64.7,2.9,2.75,3.0,-0.4127428339045002,3.75,-0.4689021920064479,-0.1376708902667133
SME018,SME,2024-05-23,9,1-50,<50M,Joint venture,1,Joint venture,8.0,3,3,2,3,3,4,3,3,3.0,0,1,1,0,0,80.3,36,1,1,Easy,8.8,5,4,6,3,6.2,11.1,30.1,89.6,2.7,2.75,3.25,-0.2368925263174373,4.5,0.8117568198990845,0.09525279108821733
SME019,SME,2024-06-17,7,1-50,50M-500M,Foreign-owned,1,Equity,6.0,3,3,3,3,3,3,4,4,3.3,4,1,0,1,1,67.6,28,0,9,Moderate,3.3,4,3,2,6,14.9,7.7,24.5,80.0,0.1,3.0,3.5,0.7803350635225927,3.75,-0.46536327596231164,-0.11977805271221958
SME020,SME,2024-01-21,6,1-50,50M-500M,Local,0,,,3,3,2,3,3,3,3,3,0.6,2,0,0,0,0,45.3,5,0,17,Easy,8.9,4,5,5,5,8.7,-0.4,13.6,69.9,0.7,2.75,3.0,-0.9929375388922197,4.75,-1.127871053608379,-0.9762600735674579
SME021,SME,2024-06-06,10,1-50,<50M,Joint venture,0,,,3,3,2,2,3,3,4,3,1.0,1,0,0,0,0,65.3,35,0,17,Moderate,2.0,4,4,3,4,7.4,2.8,14.2,75.0,0.1,2.5,3.25,-1.0559545311470435,3.75,-0.6761532542386354,-0.8340368938065695
SME022,SME,2024-03-05,4,51-250,<50M,Local,0,,,2,3,3,4,3,3,2,3,0.0,2,1,0,0,1,22.3,14,1,6,Easy,2.0,5,6,7,5,16.8,4.5,1.6,67.3,1.2,3.0,2.75,-0.7590987863648282,5.75,-0.5412935717474733,-0.6261046944030875
SME023,SME,2024-06-29,6,51-250,<50M,Joint venture,1,Equity,5.0,3,3,3,2,3,3,4,3,1.4,3,0,1,1,0,35.0,20,1,4,Moderate,9.0,6,6,4,5,9.0,8.7,28.2,74.9,5.8,2.75,3.25,-0.16570341219969997,5.25,-0.43198697061210256,0.06378105362429692
SME024,SME,2024-06-02,6,1-50,50M-500M,Foreign-owned,0,,,2,2,2,1,2,3,2,2,1.8,4,0,0,1,0,12.3,18,1,14,Easy,4.6,3,3,2,4,1.5,11.2,16.1,47.5,0.1,1.75,2.25,-0.07227846790015384,3.0,-0.9111893492381459,-0.9483943509377034
SME025,SME,2024-05-01,8,51-250,50M-500M,Local,0,,,3,3,2,3,2,2,2,2,2.8,2,0,0,1,0,34.5,21,1,8,Moderate,4.4,5,5,5,4,8.9,3.3,0.9,65.0,0.1,2.75,2.0,-0.13938152108643453,4.75,-0.5573064096098663,-1.0720143029624956
SME026,SME,2024-03-11,15,51-250,<50M,Local,0,,,3,3,3,3,3,4,3,4,0.0,1,0,1,0,0,47.4,5,0,11,Moderate,16.1,4,5,3,5,6.0,10.7,6.5,66.2,0.5,3.0,3.5,-1.145293414515133,4.25,-1.1307868490844306,-0.6971785677882488
SME027,SME,2024-05-08,4,1-50,50M-500M,Local,0,,,2,2,3,2,3,3,2,3,0.8,4,0,0,0,0,46.5,24,1,1,Easy,8.0,4,3,4,4,29.9,2.8,0.0,65.8,0.2,2.25,2.75,-0.5722488977657362,3.75,0.12750468693927347,-0.3455931404529522
SME028,SME,2024-06-13,9,51-250,50M-500M,Local,0,,,2,2,3,2,3,3,3,4,1.0,2,0,0,1,1,47.2,7,0,14,Easy,10.6,4,4,4,4,12.9,4.3,13.0,77.0,2.9,2.25,3.25,-0.46444412974799243,4.0,-0.9762523072246906,-0.38464995558842335
SME029,SME,2024-03-26,10,1-50,<50M,Foreign-owned,0,,,3,2,2,2,3,3,3,3,0.0,3,0,0,0,1,23.8,41,1,9,Easy,19.2,4,5,4,3,6.7,-0.3,47.4,79.9,0.9,2.25,3.0,-0.7835357047120165,4.0,-0.28737251277297204,-0.41749882543225847
SME030,SME,2024-01-16,3,1-50,<50M,Local,0,,,3,3,3,3,5,5,4,5,1.9,1,0,1,0,0,57.0,26,1,3,Moderate,5.9,4,5,6,2,2.1,5.5,0.0,82.8,3.4,3.0,4.75,-0.585449566943145,4.25,0.023814013255261446,-0.797386945478486
SME031,SME,2024-02-24,10,1-50,50M-500M,Local,1,Joint venture,1.0,4,4,4,3,3,4,3,4,1.1,2,0,0,1,0,58.6,30,1,5,Easy,14.9,3,4,4,5,1.5,11.1,0.0,91.9,1.8,3.75,3.5,-0.6402944373350553,4.0,0.26364155160190356,-0.5361245592166923
SME032,SME,2024-05-02,4,51-250,500M-5B,Joint venture,1,Joint venture,2.0,5,5,5,5,4,4,4,4,1.8,4,0,1,0,0,66.0,26,1,3,Moderate,19.9,2,4,3,6,7.4,10.0,0.0,90.9,4.0,5.0,4.0,-0.07227846790015384,3.75,0.1673008215625067,-0.2547452917447396
SME033,SME,2024-04-11,3,1-50,50M-500M,Joint venture,1,Equity,2.0,3,3,3,4,4,4,4,3,1.5,4,0,1,0,0,26.6,34,1,3,Easy,2.0,4,3,4,3,14.3,13.3,21.2,80.5,4.9,3.25,3.75,-0.16067486488520458,3.5,-0.13334249717295152,0.3858715363484553
SME034,SME,2024-03-26,22,1-50,50M-500M,Local,0,,,2,3,3,2,3,3,2,3,0.3,3,1,0,0,1,49.7,27,0,2,Moderate,2.0,3,4,3,6,17.8,5.2,0.0,66.4,0.1,2.5,2.75,-0.48982353447821925,4.0,-0.5362974670193019,-0.6593100782359245
SME035,SME,2024-02-23,23,1-50,<50M,Local,0,,,2,2,2,2,3,3,3,3,1.2,1,0,0,1,0,27.2,20,1,5,Easy,14.8,4,5,4,5,15.1,3.6,7.5,75.8,2.8,2.0,3.0,-0.79170782657493,4.5,-0.3581175236638753,-0.44080373005101575
SME036,SME,2024-03-10,15,1-50,50M-500M,Local,0,,,4,3,4,4,4,3,3,3,0.9,0,0,0,1,0,39.0,17,0,16,Easy,15.9,2,3,4,4,9.4,14.1,6.6,82.9,1.5,3.75,3.25,-1.0609830784615388,3.25,-1.0505666405374967,-0.14344621219601458
SME037,SME,2024-04-10,6,51-250,50M-500M,Local,1,Technology transfer,4.0,4,4,4,5,4,4,3,4,1.6,3,0,0,0,0,63.0,36,1,1,Easy,33.5,3,2,2,3,11.3,9.1,0.0,98.0,5.4,4.25,3.75,-0.5174040273738257,2.5,0.5359432883751574,0.01476972837842186
SME038,SME,2024-02-10,3,51-250,<50M,Joint venture,1,Equity,2.0,5,5,5,4,4,4,4,4,1.1,5,1,0,1,1,56.4,28,1,4,Difficult,18.3,4,4,5,5,15.6,14.7,1.2,98.0,3.1,4.75,4.0,0.3129736738671123,4.5,-0.2244779979943337,0.31269052084217575
SME039,SME,2024-02-07,12,1-50,<50M,Local,1,Technology transfer,2.0,4,4,4,4,4,3,3,3,2.4,3,0,0,0,1,42.2,31,0,7,Moderate,23.6,4,3,2,3,10.1,6.9,16.6,77.5,3.7,4.0,3.25,-0.07636452883161064,3.0,-0.7692386197179035,-0.25074362272228506
SME040,SME,2024-04-21,8,1-50,<50M,Foreign-owned,1,Joint venture,1.0,4,4,4,4,5,4,4,4,4.0,3,0,1,0,0,55.1,10,1,5,Easy,15.4,4,5,4,5,23.5,13.3,34.6,86.8,3.6,4.0,4.25,0.39508292175532655,4.5,-0.034457961971915585,0.9041518788644219
SME041,SME,2024-02-08,4,1-50,<50M,Local,1,Equity,3.0,4,4,5,4,4,4,4,4,2.2,5,0,1,0,0,32.0,47,1,3,Easy,19.4,3,3,4,4,12.9,13.7,7.9,92.1,3.3,4.25,4.0,0.22646224964813869,3.5,0.1102439950900466,0.20544663465546392
SME042,SME,2024-04-15,8,1-50,<50M,Foreign-owned,1,Equity,4.0,3,4,4,3,4,4,4,4,3.2,2,0,0,0,0,72.3,39,1,1,Moderate,30.3,7,7,6,4,12.3,10.8,13.1,96.8,4.0,3.5,4.0,-0.22683543168844664,6.0,0.489967446682935,0.22062431908892213
SME043,SME,2024-04-12,3,1-50,<50M,Foreign-owned,1,Technology transfer,1.0,5,4,4,3,4,4,3,3,0.3,0,0,0,1,0,51.9,26,1,9,Easy,2.0,4,4,4,4,-1.3,-0.4,38.7,95.3,4.2,4.0,3.5,-1.2377758724316403,4.0,-0.02109912737110184,-0.4391699777961019
SME044,SME,2024-06-17,20,1-50,<50M,Joint venture,0,,,3,3,3,2,3,2,4,3,1.4,2,0,0,1,0,61.8,43,0,16,Easy,15.3,3,3,3,3,7.6,5.1,30.3,71.2,0.1,2.75,3.0,-0.5518980403500047,3.0,-0.3720779116018401,-0.5290960017182449
SME045,SME,2024-03-22,5,1-50,<50M,Local,1,Joint venture,2.0,4,5,5,5,4,4,3,4,0.7,3,0,1,0,0,47.1,36,1,2,Easy,34.1,2,2,2,4,18.2,14.4,16.3,69.0,6.2,4.75,3.75,-0.5772774450802315,2.5,0.25008420101900464,0.4464627441365753
SME046,SME,2024-01-26,12,51-250,500M-5B,Local,0,,,2,2,2,2,3,3,2,3,0.0,0,0,1,0,0,37.1,8,0,14,Moderate,14.3,2,3,4,3,1.6,6.6,0.0,60.0,0.1,2.0,2.75,-1.326172269416691,3.0,-1.3557518445246308,-1.2469507381377567
SME047,SME,2024-05-11,6,51-250,50M-500M,Local,0,,,2,2,2,2,2,2,2,3,0.3,2,0,0,0,0,33.5,30,1,8,Difficult,25.2,4,3,5,2,4.3,5.3,5.5,71.3,0.1,2.0,2.25,-1.0813339358772704,3.5,-0.6948052054840801,-0.9952070976219677
SME048,SME,2024-05-31,9,1-50,50M-500M,Joint venture,1,Management contract,4.0,3,4,4,4,4,3,4,4,3.4,4,1,0,1,0,68.1,40,1,7,Moderate,12.0,1,2,2,2,18.4,2.6,6.6,88.1,3.1,3.75,3.75,0.6044847559355297,1.75,0.24092753446548698,-0.21507817687887512
SME049,SME,2024-02-15,9,1-50,50M-500M,Joint venture,0,,,2,2,2,3,4,3,4,3,2.3,2,0,1,0,0,34.4,25,1,1,Easy,11.7,4,3,5,3,-0.1,3.1,27.7,62.8,2.4,2.25,3.5,-0.2867088493948524,3.75,-0.05329040093441739,-0.8976022321255659
SME050,SME,2024-04-20,4,51-250,50M-500M,Foreign-owned,1,Technology transfer,3.0,3,3,3,3,4,3,4,4,2.3,4,0,1,1,0,64.7,30,1,8,Easy,17.3,4,6,4,7,19.9,11.1,34.0,84.5,6.5,3.0,3.75,0.2803646336570105,5.25,0.26379654363675575,0.8130820845867778
SME051,SME,2024-02-04,23,1-50,<50M,Foreign-owned,1,Equity,5.0,4,4,4,4,4,3,3,3,0.2,7,0,0,1,1,49.3,40,1,2,Moderate,2.0,6,5,4,2,11.6,10.1,11.8,91.6,0.1,4.0,3.25,0.20422641946633002,4.25,0.10302816495711653,-0.1631341976974762
SME052,SME,2024-06-04,14,51-250,50M-500M,Foreign-owned,1,Management contract,5.0,5,4,4,4,3,3,3,3,1.8,3,0,1,0,0,25.4,32,1,3,Moderate,7.7,4,4,4,4,10.9,12.9,29.4,66.2,1.7,4.25,3.0,-0.2531573228017121,4.0,-0.4072943872538771,-0.009963034367865164
SME053,SME,2024-03-30,21,51-250,50M-500M,Local,0,,,4,3,3,3,2,1,2,3,1.6,3,0,0,0,0,36.4,27,0,23,Moderate,3.2,6,5,5,4,2.5,2.4,10.6,81.3,0.1,3.25,2.0,-0.5174040273738257,5.0,-1.4280193300204185,-1.0026654101436958
SME054,SME,2024-06-23,19,1-50,50M-500M,Joint venture,1,Technology transfer,10.0,5,4,4,4,4,4,3,4,2.2,2,1,0,0,0,37.3,12,1,5,Moderate,23.6,6,5,5,4,15.1,11.1,19.0,79.5,3.4,4.25,3.75,-0.3161743150565359,5.0,-0.5246034808620046,0.17073603628837863
SME055,SME,2024-06-21,10,1-50,50M-500M,Local,0,,,3,4,3,3,3,3,3,3,0.0,0,1,1,1,0,45.5,15,1,4,Easy,19.0,4,5,4,6,22.8,5.1,1.7,87.1,1.7,3.25,3.0,-0.9155407229191981,4.75,-0.09457005945604077,-0.10804600577114859
SME056,SME,2024-04-16,20,51-250,<50M,Local,0,,,3,2,1,1,3,4,3,3,0.1,1,0,1,0,1,27.1,41,1,1,Moderate,14.6,4,5,4,5,13.1,1.6,0.0,65.6,4.6,1.75,3.25,-0.9105121756047028,4.5,-0.2064252817813522,-0.7305927010039853
SME057,SME,2024-06-10,3,1-50,<50M,Local,0,,,2,2,2,3,4,4,4,4,1.1,1,0,0,0,0,58.9,11,1,12,Moderate,18.6,3,5,5,3,3.2,-2.0,11.8,63.7,2.2,2.25,4.0,-1.02648906548536,4.0,-0.41891017742413567,-1.2582605583372009
SME058,SME,2024-03-04,4,1-50,<50M,Local,0,,,3,3,2,2,4,4,3,4,1.8,3,0,1,1,0,43.6,13,0,7,Easy,10.7,4,3,3,5,16.0,8.2,0.0,70.5,3.9,2.5,3.75,-0.0478415495529656,3.75,-0.7343972220178184,-0.29205350211969533
SME059,SME,2024-02-01,3,51-250,50M-500M,Local,0,,,1,2,2,1,3,4,4,3,0.0,7,0,0,0,0,42.3,15,0,8,Moderate,21.6,4,3,3,2,8.9,6.7,0.0,70.9,2.8,1.5,3.5,-0.2653360583545301,3.0,-0.9938493183579771,-0.6806893939247852
SME060,SME,2024-01-26,6,1-50,50M-500M,Foreign-owned,1,Equity,2.0,3,3,3,3,4,4,3,3,1.8,2,0,1,0,0,64.8,20,1,3,Easy,17.1,7,5,4,4,21.0,6.5,28.5,79.3,2.2,3.0,3.5,-0.4340361777032703,5.0,0.3060699275130996,0.2193457863217089
SME061,SME,2024-03-13,7,1-50,<50M,Local,0,,,2,2,2,2,3,3,3,3,1.4,1,0,0,1,0,59.5,5,0,18,Easy,12.5,4,4,3,2,13.2,-1.5,16.8,69.4,0.1,2.0,3.0,-0.7327768952515629,3.25,-0.9338464820703002,-0.8662136736915163
SME062,SME,2024-03-29,5,51-250,>5B,Foreign-owned,1,Joint venture,3.0,5,4,4,5,5,5,5,5,3.0,3,1,1,1,0,54.7,32,1,7,Easy,14.9,3,4,3,3,-4.5,14.5,28.4,92.0,4.9,4.5,5.0,0.5110598116359838,3.25,0.16096239145415847,0.02004720746275357
SME063,SME,2024-02-04,16,1-50,50M-500M,Local,0,,,2,2,1,1,4,4,3,4,2.0,3,0,1,1,0,33.4,22,1,5,Easy,17.5,6,6,5,6,3.2,5.4,25.9,73.9,0.1,1.5,3.75,0.011089381770401557,5.75,-0.23504114690678393,-0.7018994724167147
SME064,SME,2024-03-14,6,1-50,<50M,Local,0,,,2,2,2,2,5,5,4,4,1.9,3,1,0,0,0,18.4,19,0,13,Easy,8.6,2,2,3,3,14.9,10.2,10.1,79.2,5.0,2.0,4.5,-0.2236918571400285,2.5,-1.2576649149219217,0.08689765916630672
SME065,SME,2024-02-09,5,51-250,<50M,Local,0,,,4,4,3,3,5,5,5,5,0.2,5,0,1,0,0,34.7,18,1,4,Moderate,19.8,4,3,5,3,10.9,16.5,9.1,59.5,2.5,3.5,5.0,-0.36284706358553287,3.75,-0.4609997730344443,-0.16291899075341276
SME066,SME,2024-04-21,9,1-50,<50M,Local,0,,,2,2,2,2,4,3,3,3,0.0,0,0,1,0,0,35.7,21,0,13,Moderate,2.9,2,2,1,2,1.9,-3.0,3.5,80.7,3.8,2.0,3.25,-1.326172269416691,1.75,-1.188211881413754,-1.1650967005697284
SME067,SME,2024-03-26,4,51-250,<50M,Foreign-owned,1,Technology transfer,3.0,3,4,4,4,2,4,4,4,1.5,0,1,1,1,0,56.6,47,0,10,Easy,8.2,4,3,3,3,8.2,6.2,32.2,74.9,2.1,3.75,3.5,-0.47355873799394443,3.25,-0.2123272271417089,-0.25737688151577687
SME068,SME,2024-05-10,15,51-250,<50M,Local,0,,,3,3,3,4,4,4,5,4,2.4,1,0,0,1,0,39.8,18,1,10,Easy,17.5,6,7,7,7,-3.0,6.7,1.8,95.3,2.7,3.25,4.25,-0.4381222386347271,6.75,-0.3432945309125962,-0.785021168524609
SME069,SME,2024-06-25,3,1-50,<50M,Foreign-owned,1,Joint venture,2.0,4,4,4,4,4,4,4,4,3.7,6,1,1,1,0,65.3,28,0,14,Easy,16.3,3,5,4,4,13.9,15.8,29.4,72.7,3.9,4.0,4.0,1.2599546359724436,4.0,-0.43327035021306803,0.4533513921391753
SME070,SME,2024-04-17,24,1-50,<50M,Local,0,,,2,2,2,2,4,4,4,4,2.1,0,0,1,0,1,35.8,17,0,14,Moderate,8.4,5,5,5,3,21.3,0.5,11.4,54.3,1.9,2.0,4.0,-0.5020817172725894,4.5,-1.2674431271812265,-0.6330003801188049
SME071,SME,2024-02-25,14,1-50,<50M,Foreign-owned,1,Technology transfer,2.0,4,4,4,5,4,4,5,4,2.5,0,1,0,0,0,54.1,42,1,3,Easy,24.1,5,6,3,4,16.8,18.2,21.8,91.4,2.8,4.25,4.25,-0.5895356278746017,4.5,0.40200905234758744,0.7234028340572934
SME072,SME,2024-04-18,4,1-50,500M-5B,Joint venture,0,,,4,4,4,4,3,4,4,4,1.7,3,0,1,0,0,62.8,37,0,15,Easy,7.1,3,3,3,1,22.3,7.0,2.1,76.2,2.6,4.0,3.75,-0.28262278846339567,2.5,-0.39645893332398263,-0.1061272638372675
SME073,SME,2024-04-14,3,1-50,<50M,Foreign-owned,1,Technology transfer,2.0,4,4,4,4,4,4,4,4,1.3,4,0,0,1,1,60.1,27,1,4,Moderate,15.4,4,6,4,5,18.9,9.6,19.5,71.9,1.6,4.0,4.0,-0.014290022959825233,4.75,0.052986475620454304,0.03570303265400428
SME074,SME,2024-03-08,16,51-250,50M-500M,Local,0,,,2,2,2,2,4,3,4,4,1.0,0,0,0,0,0,44.1,21,0,8,Moderate,23.2,6,5,6,4,14.2,5.7,29.5,57.6,0.1,2.0,3.75,-1.2368333860486018,5.25,-0.8924622302602274,-0.4436575136178782
SME075,SME,2024-03-23,13,1-50,50M-500M,Local,0,,,3,4,3,3,3,3,3,3,3.2,0,0,0,1,0,36.0,24,0,10,Difficult,24.3,3,3,3,5,19.8,3.3,11.4,90.4,3.7,3.25,3.0,-0.38327736824281655,3.5,-1.2805773533731633,0.0036574175889037223
SME076,SME,2024-06-28,13,1-50,>5B,Local,0,,,3,2,2,2,2,2,3,2,0.1,0,0,0,0,0,35.5,8,1,6,Moderate,24.6,5,4,4,4,10.3,7.7,8.7,85.0,2.1,2.25,2.25,-1.5020225770037539,4.25,-0.6341263861610066,-0.32692594285797183
SME077,SME,2024-02-02,14,51-250,<50M,Foreign-owned,1,Technology transfer,1.0,4,4,4,5,4,4,5,5,3.9,4,0,1,0,1,42.2,35,1,8,Easy,14.7,3,3,4,2,12.5,6.7,20.3,54.2,4.0,4.25,4.5,0.7518120842439477,3.0,-0.03434570510110707,-0.3885988792523094
SME078,SME,2024-06-18,3,1-50,<50M,Local,1,Joint venture,2.0,5,5,5,5,4,4,4,4,1.6,2,0,0,0,1,46.9,17,1,3,Moderate,26.8,3,1,1,2,19.0,11.4,20.5,78.5,6.8,5.0,4.0,-0.49296710902663743,1.75,-0.24624466127732011,0.544840550192645
SME079,SME,2024-06-25,6,51-250,500M-5B,Local,0,,,2,3,2,3,3,3,2,3,2.8,3,1,1,1,0,56.3,5,1,1,Easy,4.4,4,4,3,3,17.9,3.0,3.6,92.0,0.5,2.5,2.75,0.45212888031261667,3.5,0.053561744492211294,-0.3707857659734396
SME080,SME,2024-02-27,4,1-50,500M-5B,Foreign-owned,1,Joint venture,1.0,5,5,5,5,4,3,3,4,0.3,0,0,0,0,0,51.7,39,1,4,Easy,9.7,5,4,5,3,9.1,6.0,35.6,78.3,5.7,5.0,3.5,-1.4430916456803868,4.25,0.2950353142341524,0.07975534349228952
SME081,SME,2024-05-30,17,1-50,50M-500M,Local,0,,,2,3,3,2,3,4,3,4,1.9,0,0,0,0,0,24.8,15,1,6,Easy,2.0,2,3,3,3,3.7,16.3,0.0,66.1,2.0,2.5,3.5,-0.9716441950934497,2.75,-0.4893211705894105,-0.5108937015715388
SME082,SME,2024-03-17,11,51-250,<50M,Foreign-owned,1,Technology transfer,9.0,4,5,5,5,3,4,4,3,1.1,1,1,0,0,0,81.5,37,1,5,Moderate,30.4,4,4,6,6,13.2,10.7,34.9,76.6,1.1,4.75,3.5,-0.8211732922366135,5.0,0.48295003786483004,0.1357509639168799
SME083,SME,2024-02-25,6,51-250,<50M,Local,0,,,3,3,2,3,3,2,2,3,0.0,1,0,0,1,0,49.8,20,1,10,Easy,5.1,5,4,5,5,13.4,6.5,0.0,58.5,4.5,2.75,2.5,-1.145293414515133,4.75,-0.15963483509244572,-0.5766590053416633
SME084,SME,2024-05-12,3,51-250,50M-500M,Local,0,,,2,1,1,1,4,4,3,4,1.5,1,1,1,0,0,23.9,8,1,10,Difficult,11.0,3,2,2,2,13.2,11.1,0.0,55.5,3.8,1.25,3.75,-0.49799565634113274,2.25,-1.1791182499716157,-0.4419881690159095
SME085,SME,2024-04-21,6,51-250,500M-5B,Foreign-owned,1,Equity,1.0,4,4,4,5,3,3,3,3,3.2,5,0,1,0,0,48.4,34,1,2,Moderate,9.7,6,5,6,4,5.5,2.3,41.8,92.6,2.5,4.25,3.0,0.5211169062649745,5.25,0.01598975769009159,-0.16057558427958124
