pair_id,temperature_C,rho_assumed,Gc_YSZ_GDC_J_per_m2,Gc_GDC_LSCF_J_per_m2
COR_00119,25,0.5,2.139731,0.808913
COR_00120,25,0.5,2.458948,0.974079
COR_00121,25,0.5,2.285357,0.889908
COR_00122,25,0.5,2.300642,1.127902
COR_00123,25,0.5,1.631399,0.772755
COR_00124,25,0.5,1.774362,1.131861
COR_00125,25,0.5,1.919245,1.030369
COR_00126,25,0.5,2.587661,1.175401
COR_00127,25,0.5,2.168867,1.01482
COR_00128,25,0.5,2.008331,1.072766
COR_00129,25,0.5,2.228252,1.313399
COR_00130,25,0.5,2.353993,1.074507
COR_00131,25,0.5,2.382625,0.953548
COR_00132,25,0.5,1.887133,0.788124
COR_00133,25,0.5,1.540947,0.849239
COR_00134,25,0.5,2.344821,0.960349
COR_00135,25,0.5,2.190077,0.964481
COR_00136,25,0.5,1.697617,0.983255
COR_00137,25,0.5,3.088022,0.924839
COR_00138,25,0.5,3.039511,1.244174
COR_00139,25,0.5,1.882427,0.931921
COR_00140,25,0.5,2.362004,0.889279
COR_00141,25,0.5,2.084961,0.828453
COR_00142,25,0.5,1.945965,0.877466
COR_00143,25,0.5,2.404384,1.043953
COR_00144,25,0.5,2.090877,1.126643
COR_00145,25,0.5,2.558956,1.310041
COR_00146,25,0.5,2.411686,1.152841
COR_00147,25,0.5,1.60868,1.015815
COR_00148,25,0.5,2.159363,0.758435
COR_00149,25,0.5,2.098616,1.023403
COR_00150,25,0.5,1.557947,1.116568
COR_00151,25,0.5,2.176263,1.02935
COR_00152,25,0.5,2.111337,0.954504
COR_00153,25,0.5,2.217809,0.850778
COR_00154,25,0.5,2.026302,0.907656
COR_00155,25,0.5,1.182237,0.588727
COR_00156,25,0.5,2.344461,1.086432
COR_00157,25,0.5,1.552613,0.835822
COR_00158,25,0.5,2.299665,1.232771
COR_00159,25,0.5,1.997425,1.049752
COR_00160,25,0.5,2.240015,1.33976
COR_00161,25,0.5,1.429807,0.789068
COR_00162,25,0.5,1.522641,0.640108
COR_00163,25,0.5,2.631542,1.166067
COR_00164,25,0.5,2.398647,1.269684
COR_00165,25,0.5,2.09497,1.21353
COR_00166,25,0.5,2.622035,1.274748
COR_00167,25,0.5,2.778714,0.901527
COR_00168,25,0.5,2.053828,0.626041
COR_00169,25,0.5,2.269069,1.140282
COR_00170,25,0.5,2.090855,1.037094
COR_00171,25,0.5,1.544426,0.740949
COR_00172,25,0.5,2.619027,1.171647
COR_00173,25,0.5,2.129506,1.117612
COR_00174,25,0.5,1.73296,1.088161
COR_00175,25,0.5,1.636397,0.726759
COR_00176,25,0.5,2.606464,1.288226
COR_00177,25,0.5,1.160879,0.7674
COR_00178,25,0.5,2.17991,1.016947
COR_00179,25,0.5,2.534799,1.152389
COR_00180,25,0.5,2.003686,0.990384
COR_00181,25,0.5,2.187657,0.9402
COR_00182,25,0.5,1.650886,1.004142
COR_00183,25,0.5,2.144749,1.028586
COR_00184,25,0.5,2.565745,1.411842
COR_00185,25,0.5,1.765043,0.732668
COR_00186,25,0.5,2.242538,1.184228
COR_00187,25,0.5,1.833227,0.89117
COR_00188,25,0.5,1.699211,0.807264
COR_00189,25,0.5,2.814884,1.257858
COR_00190,25,0.5,2.156179,0.904088
COR_00191,25,0.5,1.927776,0.900614
COR_00192,25,0.5,1.457008,0.895986
COR_00193,25,0.5,1.798382,0.814859
COR_00194,25,0.5,2.044165,1.105665
COR_00195,25,0.5,3.127252,1.461598
COR_00196,25,0.5,1.531601,1.07834
COR_00197,25,0.5,2.193272,0.55134
COR_00198,25,0.5,1.536729,0.551075
COR_00199,25,0.5,2.641191,1.146015
COR_00200,25,0.5,1.960595,1.196927
COR_00201,25,0.5,2.267794,0.831099
COR_00202,25,0.5,2.228528,1.086152
COR_00203,25,0.5,2.218026,0.950778
COR_00204,25,0.5,2.196601,1.216689
COR_00205,25,0.5,2.194313,0.797195
COR_00206,25,0.5,2.625301,1.275614
COR_00207,25,0.5,2.438028,0.765898
COR_00208,25,0.5,2.544485,1.444117
COR_00209,25,0.5,1.517161,1.186845
COR_00210,25,0.5,2.886283,1.174064
COR_00211,25,0.5,2.677829,1.162591
COR_00212,25,0.5,2.191711,1.006637
COR_00213,25,0.5,3.341807,1.360686
COR_00214,25,0.5,1.781615,1.305846
COR_00215,25,0.5,1.899169,0.762106
COR_00216,25,0.5,2.477491,1.1873
COR_00217,25,0.5,1.955172,1.113433
COR_00218,25,0.5,2.251174,1.09155
COR_00219,25,0.5,2.175744,1.130719
COR_00220,25,0.5,1.736566,0.747914
COR_00221,25,0.5,1.241906,0.876186
COR_00222,25,0.5,1.466034,0.725634
COR_00223,25,0.5,1.805473,1.094759
COR_00224,25,0.5,2.679581,0.98686
COR_00225,25,0.5,1.79173,0.933128
COR_00226,25,0.5,2.393401,0.687871
COR_00227,25,0.5,2.37996,1.362253
COR_00228,25,0.5,1.609324,0.840154
COR_00229,25,0.5,1.447444,0.618933
COR_00230,25,0.5,1.866425,1.0018
COR_00231,25,0.5,2.172982,0.846681
COR_00232,25,0.5,1.534876,0.993661
COR_00233,25,0.5,2.105722,1.029894
COR_00234,25,0.5,2.244999,0.495248
COR_00235,25,0.5,2.899155,1.185236
COR_00236,25,0.5,2.233414,0.97771
COR_00237,25,0.5,2.55163,1.112008
COR_00238,25,0.5,2.489721,1.072741
COR_00239,25,0.5,2.087158,1.140596
COR_00240,25,0.5,2.284544,1.192691
COR_00241,25,0.5,1.668997,0.912393
COR_00242,25,0.5,2.321139,1.085261
COR_00243,25,0.5,2.063558,1.095838
COR_00244,25,0.5,2.36277,1.018537
COR_00245,25,0.5,2.182668,1.095835
COR_00246,25,0.5,1.473407,0.956059
COR_00247,25,0.5,2.477752,0.915117
COR_00248,25,0.5,2.203903,1.052175
COR_00249,25,0.5,1.958423,0.949903
COR_00250,25,0.5,3.200733,0.959481
COR_00251,25,0.5,2.477292,1.007542
COR_00252,25,0.5,2.333484,1.2612
COR_00253,25,0.5,2.106066,1.379987
COR_00254,25,0.5,2.600547,0.926598
COR_00255,25,0.5,1.574962,0.867894
COR_00256,25,0.5,2.371943,0.923822
COR_00257,25,0.5,1.838329,0.860042
COR_00258,25,0.5,2.882584,1.23241
COR_00259,25,0.5,2.128699,0.955398
COR_00260,25,0.5,2.047084,0.758643
COR_00261,25,0.5,2.267524,0.899277
COR_00262,25,0.5,2.009395,0.970865
COR_00263,25,0.5,1.736587,0.838633
COR_00264,25,0.5,1.860599,1.004784
COR_00265,25,0.5,3.033332,1.219036
COR_00266,25,0.5,1.932707,0.997188
COR_00267,25,0.5,2.412091,1.604403
COR_00268,25,0.5,1.425923,0.549956
COR_00269,25,0.5,2.279115,1.281252
COR_00270,25,0.5,1.816298,1.150027
COR_00271,25,0.5,1.913982,1.124561
COR_00272,25,0.5,2.352615,0.913386
COR_00273,25,0.5,1.692152,1.005651
COR_00274,25,0.5,1.993249,1.011486
COR_00275,25,0.5,1.417653,0.794247
COR_00276,25,0.5,2.638623,1.131661
COR_00277,25,0.5,1.866984,0.894983
COR_00278,25,0.5,2.756085,0.93848
COR_00279,25,0.5,1.662522,0.789209
COR_00280,25,0.5,1.911514,1.109414
COR_00281,25,0.5,2.269106,0.749211
COR_00282,25,0.5,2.458451,1.370078
COR_00283,25,0.5,2.154125,1.140123
COR_00284,25,0.5,2.003122,0.857711
COR_00285,25,0.5,1.899141,1.086353
COR_00286,25,0.5,2.340655,1.166351
COR_00287,25,0.5,2.26363,1.215605
COR_00288,25,0.5,1.319859,0.558606
COR_00289,25,0.5,2.401547,1.520026
COR_00290,25,0.5,1.695385,0.887319
COR_00291,25,0.5,2.310403,0.967095
COR_00292,25,0.5,1.804253,1.06997
COR_00293,25,0.5,2.28585,0.782614
COR_00294,25,0.5,2.429046,1.004723
COR_00295,25,0.5,1.867654,0.716763
COR_00296,25,0.5,1.255901,0.977462
COR_00297,25,0.5,1.534387,1.064809
COR_00298,25,0.5,2.445322,0.988758
COR_00299,25,0.5,1.354082,0.748945
COR_00300,25,0.5,1.717252,0.875833
COR_00301,25,0.5,1.477127,0.78986
COR_00302,25,0.5,2.048641,1.247964
COR_00303,25,0.5,3.08237,1.466247
COR_00304,25,0.5,2.288227,1.416379
COR_00305,25,0.5,1.924253,0.733423
COR_00306,25,0.5,1.636309,0.806797
COR_00307,25,0.5,1.969192,0.822225
COR_00308,25,0.5,1.187448,0.685814
COR_00309,25,0.5,2.343628,0.940084
COR_00310,25,0.5,2.531805,1.051853
COR_00311,25,0.5,1.684956,1.116448
COR_00312,25,0.5,2.296988,1.290925
COR_00313,25,0.5,2.176657,1.247392
COR_00314,25,0.5,1.787614,1.131631
COR_00315,25,0.5,2.45861,1.502456
COR_00316,25,0.5,1.716174,0.769759
COR_00317,25,0.5,2.178921,0.87804
COR_00318,25,0.5,1.70918,0.980463
COR_00319,25,0.5,2.406771,0.930041
COR_00320,25,0.5,2.296513,1.193732
COR_00321,25,0.5,1.98707,1.116102
COR_00322,25,0.5,2.492503,1.354074
COR_00323,25,0.5,1.960046,1.29956
COR_00324,25,0.5,1.808851,0.991358
COR_00325,25,0.5,1.793497,0.599864
COR_00326,25,0.5,2.153325,1.060359
COR_00327,25,0.5,2.348037,1.387752
COR_00328,25,0.5,1.925242,0.706742
COR_00329,25,0.5,2.100582,1.194235
COR_00330,25,0.5,2.152589,1.280747
COR_00331,25,0.5,1.626809,1.048997
COR_00332,25,0.5,1.827686,0.801257
COR_00333,25,0.5,1.688237,1.28855
COR_00334,25,0.5,2.682512,1.268097
COR_00335,25,0.5,1.292761,0.884001
COR_00336,25,0.5,1.439212,0.790536
COR_00337,25,0.5,1.744578,0.935968
COR_00338,25,0.5,2.129151,0.523427
COR_00339,25,0.5,2.56592,0.814578
COR_00340,25,0.5,2.290512,0.975583
COR_00341,25,0.5,2.521668,0.908921
COR_00342,25,0.5,2.717527,1.268714
COR_00343,25,0.5,2.014668,1.041445
COR_00344,25,0.5,1.931415,1.236812
COR_00345,25,0.5,2.35092,0.930278
COR_00346,25,0.5,2.176254,1.080098
COR_00347,25,0.5,2.678108,0.812888
COR_00348,25,0.5,2.536425,0.877555
COR_00349,25,0.5,2.498696,0.845267
COR_00350,25,0.5,2.042614,1.112198
COR_00351,25,0.5,2.235349,0.552776
COR_00352,25,0.5,2.786709,1.356743
COR_00353,25,0.5,2.021268,0.717205
COR_00354,25,0.5,1.920859,1.046751
COR_00355,25,0.5,2.389149,1.115476
COR_00356,25,0.5,2.303201,1.120302
COR_00357,25,0.5,2.299485,0.812834
COR_00358,25,0.5,2.266054,1.057052
COR_00359,25,0.5,2.505455,1.241738
COR_00360,25,0.5,2.151869,0.812904
COR_00361,25,0.5,1.790162,1.014906
COR_00362,25,0.5,2.362442,1.083662
COR_00363,25,0.5,2.015783,0.772096
COR_00364,25,0.5,1.840652,0.75425
COR_00365,25,0.5,2.036696,0.784096
COR_00366,25,0.5,2.674742,0.967058
COR_00367,25,0.5,2.205581,0.944505
COR_00368,25,0.5,2.553217,1.381823
COR_00369,25,0.5,2.251799,1.040707
COR_00370,25,0.5,1.905452,1.016977
COR_00371,25,0.5,2.04882,1.463347
COR_00372,25,0.5,1.895473,0.764539
COR_00373,25,0.5,1.659691,1.075231
COR_00374,25,0.5,2.08867,0.779867
COR_00375,25,0.5,1.598121,1.048087
COR_00376,25,0.5,2.109717,0.926972
COR_00377,25,0.5,1.646432,0.956038
COR_00378,25,0.5,1.76323,0.903647
COR_00379,25,0.5,2.498077,1.159272
COR_00380,25,0.5,2.288351,0.937188
COR_00381,25,0.5,2.330261,1.07444
COR_00382,25,0.5,1.86698,1.079026
COR_00383,25,0.5,1.975943,1.023938
COR_00384,25,0.5,1.906972,0.84233
COR_00385,25,0.5,1.947579,1.066792
COR_00386,25,0.5,1.983722,1.004541
COR_00387,25,0.5,1.573125,0.661506
COR_00388,25,0.5,2.310766,0.736061
COR_00389,25,0.5,2.230682,1.048694
COR_00390,25,0.5,1.886271,1.029141
COR_00391,25,0.5,2.002596,0.815735
COR_00392,25,0.5,1.803505,0.910951
COR_00393,25,0.5,1.501139,0.773707
COR_00394,25,0.5,2.706283,0.876051
COR_00395,25,0.5,2.752823,1.022893
COR_00396,25,0.5,1.885284,1.137103
COR_00397,25,0.5,2.266358,1.087738
COR_00398,25,0.5,2.460935,0.990849
COR_00399,25,0.5,2.101022,1.001224
COR_00400,25,0.5,2.418267,1.07469
COR_00401,25,0.5,2.577057,1.095807
COR_00402,25,0.5,1.716199,1.031316
COR_00403,25,0.5,1.963197,0.918622
COR_00404,25,0.5,1.872908,1.049233
COR_00405,25,0.5,2.108094,0.876188
COR_00406,25,0.5,2.162274,0.877357
COR_00407,25,0.5,2.426407,1.051191
COR_00408,25,0.5,2.717106,1.263862
COR_00409,25,0.5,2.701076,1.066312
COR_00410,25,0.5,2.16266,1.396432
COR_00411,25,0.5,1.692036,1.034047
COR_00412,25,0.5,2.878245,0.949362
COR_00413,25,0.5,1.685244,0.831238
COR_00414,25,0.5,2.436816,1.104272
COR_00415,25,0.5,2.047526,0.826512
COR_00416,25,0.5,2.028641,0.992519
COR_00417,25,0.5,1.863701,1.032605
COR_00418,25,0.5,2.098677,1.068933
COR_00419,25,0.5,2.904346,1.097644
COR_00420,25,0.5,2.217245,0.731097
COR_00421,25,0.5,1.831406,0.986903
COR_00422,25,0.5,2.710547,1.05922
COR_00423,25,0.5,1.719898,0.530946
COR_00424,25,0.5,2.497225,1.016285
COR_00425,25,0.5,1.306174,1.00282
COR_00426,25,0.5,1.98303,0.84043
COR_00427,25,0.5,2.329054,0.878678
COR_00428,25,0.5,1.847097,0.974887
COR_00429,25,0.5,2.854213,0.999442
COR_00430,25,0.5,2.634721,1.115287
COR_00431,25,0.5,2.360746,1.191397
COR_00432,25,0.5,1.831636,1.005293
COR_00433,25,0.5,2.693596,0.874406
COR_00434,25,0.5,1.674379,0.730983
COR_00435,25,0.5,2.469764,1.254332
COR_00436,25,0.5,2.768558,0.837253
COR_00437,25,0.5,1.7535,1.176965
COR_00438,25,0.5,1.996633,1.063211
COR_00439,25,0.5,1.321026,0.737437
COR_00440,25,0.5,2.401108,0.911334
COR_00441,25,0.5,2.330562,0.934734
COR_00442,25,0.5,2.334066,1.166207
COR_00443,25,0.5,2.017042,0.909224
COR_00444,25,0.5,1.92551,0.990408
COR_00445,25,0.5,2.411321,1.059697
COR_00446,25,0.5,2.577709,1.149507
COR_00447,25,0.5,2.180308,1.086333
COR_00448,25,0.5,2.031346,0.725467
COR_00449,25,0.5,1.5015,0.721202
COR_00450,25,0.5,2.345694,1.18221
COR_00451,25,0.5,1.563602,0.58644
COR_00452,25,0.5,2.09343,1.087593
COR_00453,25,0.5,2.183092,0.874959
COR_00454,25,0.5,1.944241,0.938106
COR_00455,25,0.5,2.340082,0.918597
COR_00456,25,0.5,2.654989,1.278852
COR_00457,25,0.5,1.996375,0.954415
COR_00458,25,0.5,2.464308,1.374943
COR_00459,25,0.5,2.126195,0.906842
COR_00460,25,0.5,1.87257,1.042047
COR_00461,25,0.5,1.510579,0.639573
COR_00462,25,0.5,2.04053,1.16112
COR_00463,25,0.5,2.12032,1.407725
COR_00464,25,0.5,2.780064,1.074444
COR_00465,25,0.5,2.867544,1.293593
COR_00466,25,0.5,2.411343,1.197159
COR_00467,25,0.5,2.080225,1.060129
COR_00468,25,0.5,1.447906,0.99225
COR_00469,25,0.5,2.108194,1.013825
COR_00470,25,0.5,1.727327,0.779961
COR_00471,25,0.5,2.32094,1.318564
COR_00472,25,0.5,1.595166,0.989259
COR_00473,25,0.5,2.029243,1.09147
COR_00474,25,0.5,2.094138,1.157061
COR_00475,25,0.5,2.599472,0.910138
COR_00476,25,0.5,2.28501,1.108486
COR_00477,25,0.5,1.552973,0.444983
COR_00478,25,0.5,2.393749,0.854609
COR_00479,25,0.5,3.33159,1.378198
COR_00480,25,0.5,1.651815,0.585439
COR_00481,25,0.5,1.97266,0.758522
COR_00482,25,0.5,2.100378,0.84726
COR_00483,25,0.5,2.022618,0.671925
COR_00484,25,0.5,2.183884,0.913633
COR_00485,25,0.5,2.327932,1.002496
COR_00486,25,0.5,2.888893,1.116259
COR_00487,25,0.5,2.060998,0.755154
COR_00488,25,0.5,2.456235,0.75058
COR_00489,25,0.5,1.956991,0.866897
COR_00490,25,0.5,3.22015,1.247722
COR_00491,25,0.5,1.830843,0.836327
COR_00492,25,0.5,2.300249,0.942178
COR_00493,25,0.5,2.588142,1.192029
COR_00494,25,0.5,1.383443,0.677877
COR_00495,25,0.5,2.314941,0.88209
COR_00496,25,0.5,1.346957,1.053727
COR_00497,25,0.5,1.747084,0.775182
COR_00498,25,0.5,1.318988,0.850175
COR_00499,25,0.5,1.639615,0.980206
COR_00500,25,0.5,2.553159,1.169607
