country,year,quarter,bank_npl_ratio,bank_z_score,bank_roa,domestic_credit_private_sector_gdp,regulatory_quality_wgi,financial_regulation_index,digital_lending_guidelines,open_banking_regulation,fintech_sandbox,cybersecurity_regulation,data_protection_law,digital_identity_framework,central_bank_digital_currency,regulatory_sandbox_participants,financial_inclusion_index,credit_bureau_coverage,deposit_insurance_coverage,capital_adequacy_ratio,loan_loss_provision_ratio,interest_rate_spread,liquidity_ratio,financial_stability_index
Uganda,2020,Q4,5.7,9.3,2.0,11.5,0.17,0.64,0,0,0,0,0,0,0,0,0.65,51.2,75.0,14.2,2.4,7.7,22.6,0.68
Uganda,2021,Q1,6.2,8.8,1.8,11.2,0.20,0.66,1,0,0,0,0,0,0,0,0.66,52.1,75.0,14.1,2.6,8.0,22.0,0.67
Uganda,2021,Q2,6.7,8.3,1.6,10.9,0.23,0.68,1,0,0,0,0,0,0,0,0.67,52.9,75.0,14.0,2.8,8.3,21.5,0.66
Uganda,2021,Q3,7.2,7.8,1.4,10.6,0.26,0.70,1,0,0,0,0,0,0,0,0.68,53.8,75.0,13.9,3.0,8.6,20.9,0.65
Uganda,2021,Q4,7.7,7.3,1.2,10.3,0.29,0.72,1,0,0,0,0,0,0,0,0.69,54.6,75.0,13.8,3.2,8.9,20.4,0.64
Uganda,2022,Q1,8.2,6.8,1.0,10.0,0.32,0.74,1,0,0,0,0,0,0,0,0.70,55.5,75.0,13.7,3.4,9.2,19.8,0.63
Uganda,2022,Q2,8.7,6.3,0.8,9.7,0.35,0.76,1,0,0,0,0,0,0,0,0.71,56.3,75.0,13.6,3.6,9.5,19.3,0.62
Uganda,2022,Q3,9.2,5.8,0.6,9.4,0.38,0.78,1,0,0,0,0,0,0,0,0.72,57.2,75.0,13.5,3.8,9.8,18.7,0.61
Uganda,2022,Q4,9.7,5.3,0.4,9.1,0.41,0.80,1,0,0,0,0,0,0,0,0.73,58.0,75.0,13.4,4.0,10.1,18.2,0.60
Uganda,2023,Q1,10.2,4.8,0.2,8.8,0.44,0.82,1,1,0,0,0,0,0,0,0.74,58.9,75.0,13.3,4.2,10.4,17.6,0.59
Uganda,2023,Q2,10.7,4.3,0.0,8.5,0.47,0.84,1,1,0,0,0,0,0,0,0.75,59.7,75.0,13.2,4.4,10.7,17.1,0.58
Uganda,2023,Q3,11.2,3.8,-0.2,8.2,0.50,0.86,1,1,0,0,0,0,0,0,0.76,60.6,75.0,13.1,4.6,11.0,16.5,0.57
Uganda,2023,Q4,11.7,3.3,-0.4,7.9,0.53,0.88,1,1,0,0,0,0,0,0,0.77,61.4,75.0,13.0,4.8,11.3,16.0,0.56
Uganda,2024,Q1,12.2,2.8,-0.6,7.6,0.56,0.90,1,1,1,0,0,0,0,0,0.78,62.3,75.0,12.9,5.0,11.6,15.4,0.55
Uganda,2024,Q2,12.7,2.3,-0.8,7.3,0.59,0.92,1,1,1,0,0,0,0,0,0.79,63.1,75.0,12.8,5.2,11.9,14.9,0.54
Tanzania,2020,Q1,3.8,11.5,2.8,15.2,0.05,0.52,0,0,0,0,0,0,0,0,0.58,46.8,70.0,13.8,1.5,5.9,22.8,0.69
Tanzania,2020,Q2,4.2,11.0,2.6,14.9,0.08,0.54,0,0,0,0,0,0,0,0,0.59,47.6,70.0,13.7,1.7,6.2,22.3,0.68
Tanzania,2020,Q3,4.6,10.5,2.4,14.6,0.11,0.56,0,0,0,0,0,0,0,0,0.60,48.5,70.0,13.6,1.9,6.5,21.7,0.67
Tanzania,2020,Q4,5.0,10.0,2.2,14.3,0.14,0.58,0,0,0,0,0,0,0,0,0.61,49.3,70.0,13.5,2.1,6.8,21.2,0.66
Tanzania,2021,Q1,5.5,9.5,2.0,14.0,0.17,0.60,1,0,0,0,0,0,0,0,0.62,50.2,70.0,13.4,2.3,7.1,20.6,0.65
Tanzania,2021,Q2,6.0,9.0,1.8,13.7,0.20,0.62,1,0,0,0,0,0,0,0,0.63,51.0,70.0,13.3,2.5,7.4,20.1,0.64
Tanzania,2021,Q3,6.5,8.5,1.6,13.4,0.23,0.64,1,0,0,0,0,0,0,0,0.64,51.9,70.0,13.2,2.7,7.7,19.5,0.63
Tanzania,2021,Q4,7.0,8.0,1.4,13.1,0.26,0.66,1,0,0,0,0,0,0,0,0.65,52.7,70.0,13.1,2.9,8.0,19.0,0.62
Tanzania,2022,Q1,7.5,7.5,1.2,12.8,0.29,0.68,1,0,0,0,0,0,0,0,0.66,53.6,70.0,13.0,3.1,8.3,18.4,0.61
Tanzania,2022,Q2,8.0,7.0,1.0,12.5,0.32,0.70,1,0,0,0,0,0,0,0,0.67,54.4,70.0,12.9,3.3,8.6,17.9,0.60
Tanzania,2022,Q3,8.5,6.5,0.8,12.2,0.35,0.72,1,0,0,0,0,0,0,0,0.68,55.3,70.0,12.8,3.5,8.9,17.3,0.59
Tanzania,2022,Q4,9.0,6.0,0.6,11.9,0.38,0.74,1,0,0,0,0,0,0,0,0.69,56.1,70.0,12.7,3.7,9.2,16.8,0.58
Tanzania,2023,Q1,9.5,5.5,0.4,11.6,0.41,0.76,1,1,0,0,0,0,0,0,0.70,57.0,70.0,12.6,3.9,9.5,16.2,0.57
Tanzania,2023,Q2,10.0,5.0,0.2,11.3,0.44,0.78,1,1,0,0,0,0,0,0,0.71,57.8,70.0,12.5,4.1,9.8,15.7,0.56
Tanzania,2023,Q3,10.5,4.5,0.0,11.0,0.47,0.80,1,1,0,0,0,0,0,0,0.72,58.7,70.0,12.4,4.3,10.1,15.1,0.55
Tanzania,2023,Q4,11.0,4.0,-0.2,10.7,0.50,0.82,1,1,0,0,0,0,0,0,0.73,59.5,70.0,12.3,4.5,10.4,14.6,0.54
Tanzania,2024,Q1,11.5,3.5,-0.4,10.4,0.53,0.84,1,1,1,0,0,0,0,0,0.74,60.4,70.0,12.2,4.7,10.7,14.0,0.53
Tanzania,2024,Q2,12.0,3.0,-0.6,10.1,0.56,0.86,1,1,1,0,0,0,0,0,0.75,61.2,70.0,12.1,4.9,11.0,13.5,0.52
Rwanda,2020,Q1,2.8,13.2,3.5,18.9,0.25,0.72,1,0,1,0,0,0,0,0,0.78,65.4,85.0,16.2,1.2,4.5,26.8,0.81
Rwanda,2020,Q2,3.1,12.7,3.3,18.6,0.28,0.74,1,0,1,0,0,0,0,0,0.79,66.2,85.0,16.1,1.4,4.8,26.3,0.80
Rwanda,2020,Q3,3.4,12.2,3.1,18.3,0.31,0.76,1,0,1,0,0,0,0,0,0.80,67.1,85.0,16.0,1.6,5.1,25.7,0.79
Rwanda,2020,Q4,3.7,11.7,2.9,18.0,0.34,0.78,1,0,1,0,0,0,0,0,0.81,67.9,85.0,15.9,1.8,5.4,25.2,0.78
Rwanda,2021,Q1,4.1,11.2,2.7,17.7,0.37,0.80,1,0,1,0,0,0,0,0,0.82,68.8,85.0,15.8,2.0,5.7,24.6,0.77
Rwanda,2021,Q2,4.5,10.7,2.5,17.4,0.40,0.82,1,0,1,0,0,0,0,0,0.83,69.6,85.0,15.7,2.2,6.0,24.1,0.76
Rwanda,2021,Q3,4.9,10.2,2.3,17.1,0.43,0.84,1,0,1,0,0,0,0,0,0.84,70.5,85.0,15.6,2.4,6.3,23.5,0.75
Rwanda,2021,Q4,5.3,9.7,2.1,16.8,0.46,0.86,1,0,1,0,0,0,0,0,0.85,71.3,85.0,15.5,2.6,6.6,23.0,0.74
Rwanda,2022,Q1,5.7,9.2,1.9,16.5,0.49,0.88,1,0,1,0,0,0,0,0,0.86,72.2,85.0,15.4,2.8,6.9,22.4,0.73
Rwanda,2022,Q2,6.1,8.7,1.7,16.2,0.52,0.90,1,0,1,0,0,0,0,0,0.87,73.0,85.0,15.3,3.0,7.2,21.9,0.72
Rwanda,2022,Q3,6.5,8.2,1.5,15.9,0.55,0.92,1,0,1,0,0,0,0,0,0.88,73.9,85.0,15.2,3.2,7.5,21.3,0.71
Rwanda,2022,Q4,6.9,7.7,1.3,15.6,0.58,0.94,1,0,1,0,0,0,0,0,0.89,74.7,85.0,15.1,3.4,7.8,20.8,0.70
Rwanda,2023,Q1,7.3,7.2,1.1,15.3,0.61,0.96,1,1,1,0,0,0,0,0,0.90,75.6,85.0,15.0,3.6,8.1,20.2,0.69
Rwanda,2023,Q2,7.7,6.7,0.9,15.0,0.64,0.98,1,1,1,0,0,0,0,0,0.91,76.4,85.0,14.9,3.8,8.4,19.7,0.68
Rwanda,2023,Q3,8.1,6.2,0.7,14.7,0.67,1.00,1,1,1,0,0,0,0,0,0.92,77.3,85.0,14.8,4.0,8.7,19.1,0.67
Rwanda,2023,Q4,8.5,5.7,0.5,14.4,0.70,1.02,1,1,1,0,0,0,0,0,0.93,78.1,85.0,14.7,4.2,9.0,18.6,0.66
Rwanda,2024,Q1,8.9,5.2,0.3,14.1,0.73,1.04,1,1,1,1,0,0,0,0,0.94,79.0,85.0,14.6,4.4,9.3,18.0,0.65
Rwanda,2024,Q2,9.3,4.7,0.1,13.8,0.76,1.06,1,1,1,1,0,0,0,0,0.95,79.8,85.0,14.5,4.6,9.6,17.5,0.64
Ethiopia,2020,Q1,6.5,8.9,1.9,14.8,-0.15,0.48,0,0,0,0,0,0,0,0,0.52,38.2,60.0,12.5,2.5,8.2,23.6,0.65
Ethiopia,2020,Q2,7.0,8.4,1.7,14.5,-0.12,0.50,0,0,0,0,0,0,0,0,0.53,39.0,60.0,12.4,2.7,8.5,23.1,0.64
Ethiopia,2020,Q3,7.5,7.9,1.5,14.2,-0.09,0.52,0,0,0,0,0,0,0,0,0.54,39.9,60.0,12.3,2.9,8.8,22.5,0.63
Ethiopia,2020,Q4,8.0,7.4,1.3,13.9,-0.06,0.54,0,0,0,0,0,0,0,0,0.55,40.7,60.0,12.2,3.1,9.1,22.0,0.62
Ethiopia,2021,Q1,8.5,6.9,1.1,13.6,-0.03,0.56,1,0,0,0,0,0,0,0,0.56,41.6,60.0,12.1,3.3,9.4,21.4,0.61
Ethiopia,2021,Q2,9.0,6.4,0.9,13.3,0.00,0.58,1,0,0,0,0,0,0,0,0.57,42.4,60.0,12.0,3.5,9.7,20.9,0.60
Ethiopia,2021,Q3,9.5,5.9,0.7,13.0,0.03,0.60,1,0,0,0,0,0,0,0,0.58,43.3,60.0,11.9,3.7,10.0,20.3,0.59
Ethiopia,2021,Q4,10.0,5.4,0.5,12.7,0.06,0.62,1,0,0,0,0,0,0,0,0.59,44.1,60.0,11.8,3.9,10.3,19.8,0.58
Ethiopia,2022,Q1,10.5,4.9,0.3,12.4,0.09,0.64,1,0,0,0,0,0,0,0,0.60,45.0,60.0,11.7,4.1,10.6,19.2,0.57
Ethiopia,2022,Q2,11.0,4.4,0.1,12.1,0.12,0.66,1,0,0,0,0,0,0,0,0.61,45.8,60.0,11.6,4.3,10.9,18.7,0.56
Ethiopia,2022,Q3,11.5,3.9,-0.1,11.8,0.15,0.68,1,0,0,0,0,0,0,0,0.62,46.7,60.0,11.5,4.5,11.2,18.1,0.55
Ethiopia,2022,Q4,12.0,3.4,-0.3,11.5,0.18,0.70,1,0,0,0,0,0,0,0,0.63,47.5,60.0,11.4,4.7,11.5,17.6,0.54
Ethiopia,2023,Q1,12.5,2.9,-0.5,11.2,0.21,0.72,1,1,0,0,0,0,0,0,0.64,48.4,60.0,11.3,4.9,11.8,17.0,0.53
Ethiopia,2023,Q2,13.0,2.4,-0.7,10.9,0.24,0.74,1,1,0,0,0,0,0,0,0.65,49.2,60.0,11.2,5.1,12.1,16.5,0.52
Ethiopia,2023,Q3,13.5,1.9,-0.9,10.6,0.27,0.76,1,1,0,0,0,0,0,0,0.66,50.1,60.0,11.1,5.3,12.4,15.9,0.51
Ethiopia,2023,Q4,14.0,1.4,-1.1,10.3,0.30,0.78,1,1,0,0,0,0,0,0,0.67,50.9,60.0,11.0,5.5,12.7,15.4,0.50
Ethiopia,2024,Q1,14.5,0.9,-1.3,10.0,0.33,0.80,1,1,1,0,0,0,0,0,0.68,51.8,60.0,10.9,5.7,13.0,14.8,0.49
Ethiopia,2024,Q2,15.0,0.4,-1.5,9.7,0.36,0.82,1,1,1,0,0,0,0,0,0.69,52.6,60.0,10.8,5.9,13.3,14.3,0.48
