sample_id,sand_content_percent,fines_content_percent,D10_mm,D50_mm,D60_mm,Cu,Cc,relative_density_Dr,void_ratio_e,friction_angle_phi_deg,N1_60,Vs30_m_per_s
SAND-0020,74.1,25.9,0.2006,0.343,0.8194,1.71,0.716,0.832,0.615,39.95,33.6,306.5
SAND-0021,97.37,2.63,0.0141,0.1081,0.8144,7.672,1.019,0.545,0.784,38.15,23.4,223.1
SAND-0022,85.45,14.55,0.0888,0.4595,2.5375,5.176,0.937,0.395,0.812,34.94,18.3,211.9
SAND-0023,93.86,6.14,0.0282,0.2035,2.6064,7.208,0.563,0.262,0.872,33.95,14.7,163.9
SAND-0024,73.35,26.65,0.097,0.4112,2.0639,4.239,0.845,0.523,0.809,38.92,21.1,243.9
SAND-0025,86.17,13.83,0.0463,0.4017,5.1681,8.679,0.675,0.634,0.741,36.77,26.4,256.1
SAND-0026,80.12,19.88,0.0713,0.3777,3.0118,5.298,0.664,0.276,0.819,32.01,13.4,176.2
SAND-0027,75.19,24.81,0.0639,0.4058,3.1305,6.351,0.823,0.619,0.729,40.28,23.8,224.4
SAND-0028,96.47,3.53,0.1467,0.3699,0.7171,2.522,1.301,0.802,0.639,38.46,31.2,290.1
SAND-0029,73.99,26.01,0.0628,0.4054,3.0095,6.454,0.869,0.557,0.696,39.0,23.5,254.9
SAND-0030,75.58,24.42,0.0167,0.1271,0.7158,7.591,1.348,0.407,0.808,33.28,17.8,222.7
SAND-0031,78.48,21.52,0.1454,0.3998,1.5805,2.75,0.696,0.238,0.898,31.42,10.5,151.1
SAND-0032,72.99,27.01,0.1038,0.5258,2.3133,5.067,1.152,0.304,0.793,34.02,10.8,161.0
SAND-0033,80.67,19.33,0.0601,0.2193,1.0039,3.651,0.797,0.743,0.545,35.84,29.5,297.1
SAND-0034,78.42,21.58,0.194,0.4504,1.266,2.322,0.826,0.545,0.635,34.71,24.0,257.6
SAND-0035,85.57,14.43,0.0871,0.3212,1.6414,3.686,0.721,0.32,0.826,30.97,12.1,217.8
SAND-0036,85.47,14.53,0.0621,0.1603,0.3013,2.581,1.373,0.598,0.723,32.18,23.2,232.1
SAND-0037,90.19,9.81,0.037,0.2963,2.8758,8.003,0.825,0.205,0.941,33.38,10.9,146.6
SAND-0038,96.55,3.45,0.0705,0.2914,1.0612,4.131,1.135,0.288,0.769,34.98,16.6,162.6
SAND-0039,86.3,13.7,0.1138,0.6255,3.0781,5.497,1.117,0.473,0.73,34.82,20.4,243.5
SAND-0040,77.24,22.76,0.0456,0.2295,0.8663,5.038,1.335,0.463,0.745,37.7,16.3,224.1
SAND-0041,82.58,17.42,0.0815,0.3134,1.0495,3.846,1.148,0.653,0.753,34.67,24.3,293.4
SAND-0042,78.56,21.44,0.0299,0.1808,1.2979,6.052,0.843,0.395,0.771,34.36,15.8,220.6
SAND-0043,90.48,9.52,0.025,0.2037,1.1763,8.134,1.408,0.309,0.821,32.98,15.1,133.4
SAND-0044,98.47,1.53,0.2067,0.6327,1.4555,3.061,1.331,0.293,0.789,32.02,14.7,182.4
SAND-0045,86.66,13.34,0.0231,0.191,1.4259,8.286,1.11,0.232,0.837,34.51,11.5,161.5
SAND-0046,80.84,19.16,0.0894,0.4262,1.4035,4.766,1.447,0.284,0.857,31.08,11.6,187.0
SAND-0047,87.93,12.07,0.0301,0.2378,2.3756,7.913,0.792,0.375,0.757,35.0,18.4,221.5
SAND-0048,82.04,17.96,0.0647,0.3904,3.2723,6.03,0.719,0.74,0.693,39.07,31.6,290.6
SAND-0049,99.12,0.88,0.01,0.0854,0.5193,8.99,1.478,0.444,0.792,32.56,21.5,221.6
SAND-0050,80.51,19.49,0.0623,0.4491,2.9553,7.212,1.096,0.202,0.875,33.45,12.9,175.5
SAND-0051,95.02,4.98,0.0354,0.2425,1.6561,6.851,1.003,0.836,0.605,40.05,38.0,274.6
SAND-0052,72.57,27.43,0.039,0.176,0.9205,4.518,0.864,0.275,0.802,33.76,12.6,148.6
SAND-0053,98.75,1.25,0.1293,0.3729,1.0169,2.884,1.058,0.767,0.579,39.04,32.9,285.1
SAND-0054,87.89,12.11,0.0567,0.1559,0.5456,2.748,0.785,0.6,0.608,34.49,23.8,217.0
SAND-0055,77.51,22.49,0.1112,0.2885,0.5575,2.595,1.343,0.674,0.632,34.8,27.1,228.4
SAND-0056,78.46,21.54,0.0651,0.3996,2.6304,6.135,0.932,0.465,0.779,38.59,21.0,242.3
SAND-0057,76.18,23.82,0.1467,0.2983,0.5312,2.034,1.142,0.2,0.817,29.09,11.2,179.1
SAND-0058,71.32,28.68,0.0647,0.4524,3.3834,6.996,0.935,0.614,0.664,37.3,27.8,254.7
SAND-0059,75.15,24.85,0.12,0.2929,0.6721,2.441,1.064,0.354,0.779,32.99,16.1,198.9
SAND-0060,94.57,5.43,0.2925,0.4983,0.8612,1.703,0.986,0.755,0.651,37.24,34.2,286.3
SAND-0061,98.96,1.04,0.117,0.3471,1.3449,2.966,0.765,0.284,0.832,31.94,16.9,163.9
SAND-0062,79.87,20.13,0.1916,0.4417,1.1943,2.306,0.853,0.272,0.806,30.95,13.9,201.8
SAND-0063,95.01,4.99,0.0415,0.1462,0.5232,3.521,0.984,0.276,0.817,28.76,17.4,162.9
SAND-0064,88.85,11.15,0.0662,0.3433,1.5599,5.184,1.141,0.606,0.715,37.8,23.7,242.7
SAND-0065,97.0,3.0,0.1432,0.9832,7.459,6.868,0.905,0.497,0.764,37.66,24.7,196.7
SAND-0066,78.24,21.76,0.1589,0.9499,4.0819,5.979,1.391,0.738,0.623,40.82,30.7,323.0
SAND-0067,70.16,29.84,0.0418,0.3038,4.6544,7.264,0.474,0.411,0.737,35.34,15.5,205.1
SAND-0068,98.27,1.73,0.2234,0.7955,2.6047,3.561,1.088,0.849,0.555,38.37,32.9,310.6
SAND-0069,70.56,29.44,0.1597,0.951,6.9083,5.955,0.82,0.69,0.58,40.37,23.2,272.6
SAND-0070,80.89,19.11,0.0485,0.1412,0.5088,2.913,0.808,0.555,0.708,32.39,19.4,251.8
SAND-0071,99.65,0.35,0.0783,0.5265,3.5591,6.727,0.995,0.842,0.552,40.09,31.7,289.7
SAND-0072,71.81,28.19,0.119,0.263,0.5087,2.211,1.143,0.421,0.879,31.77,16.8,206.9
SAND-0073,94.73,5.27,0.0653,0.3639,2.4002,5.57,0.844,0.605,0.62,36.28,26.1,229.3
SAND-0074,80.32,19.68,0.082,0.5155,3.1359,6.29,1.034,0.575,0.592,37.14,23.0,246.1
SAND-0075,86.52,13.48,0.0652,0.1728,0.4431,2.649,1.033,0.536,0.739,34.68,21.9,250.8
SAND-0076,90.19,9.81,0.0199,0.165,1.0485,8.293,1.305,0.356,0.835,32.39,15.9,219.6
SAND-0077,70.99,29.01,0.0523,0.4169,2.2182,7.974,1.499,0.661,0.643,36.57,22.6,267.8
SAND-0078,88.24,11.76,0.0638,0.3904,3.1094,6.123,0.769,0.442,0.704,36.31,17.2,188.9
SAND-0079,91.08,8.92,0.0273,0.1204,0.4954,4.418,1.074,0.249,0.805,31.89,13.3,162.0
SAND-0080,91.0,9.0,0.0389,0.1222,0.4534,3.142,0.847,0.407,0.808,32.98,17.2,215.0
SAND-0081,91.46,8.54,0.2255,0.6509,3.4872,2.886,0.539,0.263,0.728,28.53,13.4,182.6
SAND-0082,76.1,23.9,0.2873,1.233,7.1951,4.292,0.735,0.665,0.657,35.84,25.4,295.5
SAND-0083,87.85,12.15,0.044,0.2084,1.2153,4.739,0.813,0.418,0.748,33.12,20.0,214.8
SAND-0084,72.48,27.52,0.048,0.1019,0.21,2.122,1.029,0.749,0.717,36.45,27.4,310.5
SAND-0085,83.25,16.75,0.0295,0.2644,3.6112,8.95,0.655,0.462,0.682,37.34,20.4,223.2
SAND-0086,77.59,22.41,0.0586,0.3505,2.1826,5.985,0.961,0.561,0.739,39.47,24.5,241.5
SAND-0087,95.0,5.0,0.1394,0.4714,1.6087,3.381,0.991,0.4,0.82,35.52,19.1,241.5
SAND-0088,99.91,0.09,0.1841,0.397,0.8729,2.157,0.981,0.718,0.646,37.56,30.4,264.2
SAND-0089,83.39,16.61,0.0332,0.1965,1.2826,5.923,0.907,0.38,0.825,34.55,19.7,236.5
SAND-0090,74.75,25.25,0.0531,0.3156,1.5835,5.938,1.183,0.271,0.879,31.5,10.1,175.8
SAND-0091,99.15,0.85,0.0598,0.5259,4.6053,8.801,1.005,0.663,0.671,35.52,30.0,261.8
SAND-0092,86.38,13.62,0.0265,0.2114,2.1932,7.967,0.768,0.474,0.703,36.06,20.5,246.6
SAND-0093,97.96,2.04,0.0657,0.3735,1.8782,5.683,1.13,0.843,0.643,38.6,31.2,306.9
SAND-0094,83.73,16.27,0.1022,0.5907,7.2391,5.78,0.472,0.285,0.779,33.73,15.5,134.3
SAND-0095,87.06,12.94,0.0552,0.3145,2.1719,5.7,0.825,0.684,0.756,39.93,27.8,257.5
SAND-0096,86.6,13.4,0.0161,0.0786,0.3835,4.884,1.001,0.428,0.758,34.24,14.4,240.9
SAND-0097,87.33,12.67,0.0401,0.3058,1.8139,7.622,1.285,0.456,0.736,32.47,20.4,217.5
SAND-0098,82.33,17.67,0.0645,0.1877,0.8113,2.909,0.673,0.516,0.722,35.73,19.8,228.0
SAND-0099,98.69,1.31,0.1972,0.3617,0.7038,1.834,0.943,0.804,0.537,39.52,33.4,341.0
SAND-0100,99.87,0.13,0.0429,0.3634,2.8582,8.463,1.076,0.47,0.799,37.12,19.4,224.7
SAND-0101,92.28,7.72,0.0627,0.4208,2.2446,6.709,1.258,0.472,0.672,37.1,19.4,224.1
SAND-0102,84.91,15.09,0.048,0.2769,0.9929,5.772,1.61,0.617,0.658,37.72,25.4,225.0
SAND-0103,71.92,28.08,0.0907,0.4355,1.7378,4.802,1.203,0.766,0.683,39.84,27.8,279.0
SAND-0104,86.31,13.69,0.1205,0.4784,1.6757,3.972,1.134,0.286,0.866,29.92,13.3,208.4
SAND-0105,90.25,9.75,0.0328,0.2291,0.9019,6.99,1.775,0.428,0.819,34.55,21.4,220.0
SAND-0106,81.32,18.68,0.0853,0.1466,0.2072,1.718,1.216,0.674,0.635,34.85,28.7,271.2
SAND-0107,84.81,15.19,0.0639,0.2232,0.643,3.492,1.212,0.299,0.801,34.59,9.2,174.0
SAND-0108,72.3,27.7,0.1827,0.322,0.3504,1.762,1.62,0.361,0.811,31.91,16.1,205.7
SAND-0109,96.89,3.11,0.0296,0.1244,0.4087,4.199,1.278,0.622,0.67,40.21,23.3,275.0
SAND-0110,70.49,29.51,0.0604,0.185,0.5932,3.064,0.955,0.48,0.817,34.27,18.7,234.0
SAND-0111,87.27,12.73,0.0464,0.3879,3.4844,8.361,0.931,0.778,0.541,39.91,28.8,246.2
SAND-0112,91.22,8.78,0.0564,0.4134,2.0964,7.324,1.444,0.839,0.68,40.69,37.8,329.8
SAND-0113,85.78,14.22,0.0191,0.1291,0.5693,6.773,1.536,0.411,0.676,36.07,17.1,212.1
SAND-0114,81.54,18.46,0.1134,0.5643,3.3778,4.975,0.831,0.216,0.9,35.36,8.8,120.0
SAND-0115,81.57,18.43,0.0724,0.3148,1.8032,4.346,0.759,0.243,0.752,33.21,12.3,136.1
SAND-0116,76.92,23.08,0.0782,0.6333,3.8237,8.097,1.341,0.509,0.68,37.58,21.0,200.3
SAND-0117,79.89,20.11,0.185,0.3724,0.7535,2.013,0.995,0.323,0.757,32.03,16.4,176.3
SAND-0118,78.52,21.48,0.0466,0.4132,3.2582,8.869,1.125,0.272,0.753,35.03,11.7,198.4
SAND-0119,76.36,23.64,0.0627,0.3226,1.521,5.143,1.091,0.497,0.643,36.99,21.1,207.1
SAND-0120,83.05,16.95,0.0397,0.2752,2.1951,6.934,0.869,0.251,0.636,33.86,15.5,177.3
SAND-0121,98.5,1.5,0.0623,0.2868,1.3897,4.606,0.95,0.567,0.705,36.59,23.1,251.5
SAND-0122,74.93,25.07,0.0335,0.1886,0.9748,5.634,1.09,0.256,0.823,32.16,13.0,163.0
SAND-0123,77.8,22.2,0.0913,0.3796,2.7301,4.158,0.578,0.46,0.705,36.76,17.2,202.1
SAND-0124,92.14,7.86,0.0366,0.2881,2.5178,7.864,0.9,0.778,0.789,38.85,32.0,293.1
SAND-0125,81.6,18.4,0.0578,0.2887,1.2993,4.997,1.11,0.332,0.806,33.75,17.5,158.0
SAND-0126,93.21,6.79,0.0938,0.5479,3.4987,5.841,0.915,0.27,0.798,33.48,14.0,129.3
SAND-0127,81.09,18.91,0.1124,0.4094,1.2958,3.643,1.151,0.583,0.61,35.23,23.1,264.8
SAND-0128,82.9,17.1,0.0904,0.2962,0.9909,3.276,0.979,0.35,0.761,33.07,16.7,162.2
SAND-0129,74.73,25.27,0.0479,0.1933,1.2916,4.036,0.604,0.692,0.594,40.27,26.2,278.6
SAND-0130,86.44,13.56,0.0911,0.6231,4.7479,6.844,0.898,0.256,0.752,33.51,12.9,200.6
SAND-0131,82.96,17.04,0.0566,0.3932,2.0683,6.942,1.32,0.294,0.738,32.65,12.0,180.8
SAND-0132,96.31,3.69,0.0466,0.2985,1.745,6.402,1.095,0.732,0.572,41.79,28.3,281.9
SAND-0133,73.81,26.19,0.0482,0.3364,4.0202,6.973,0.583,0.457,0.785,34.42,19.0,207.3
SAND-0134,94.48,5.52,0.0641,0.394,1.6726,6.143,1.447,0.345,0.81,34.92,17.0,183.3
SAND-0135,70.25,29.75,0.1918,0.5515,1.3591,2.875,1.167,0.224,0.832,32.46,11.6,157.6
SAND-0136,78.92,21.08,0.0349,0.2746,1.7807,7.869,1.213,0.337,0.8,32.98,12.3,216.4
SAND-0137,81.49,18.51,0.0352,0.256,2.2038,7.272,0.845,0.225,0.766,32.09,9.7,153.3
SAND-0138,83.52,16.48,0.0622,0.3928,1.9254,6.311,1.288,0.569,0.686,35.82,23.3,245.7
SAND-0139,83.91,16.09,0.1475,0.2686,0.6475,1.821,0.755,0.297,0.819,30.49,13.5,143.7
SAND-0140,81.84,18.16,0.1101,0.2323,0.7253,2.11,0.676,0.476,0.661,32.59,17.7,213.9
SAND-0141,92.69,7.31,0.0207,0.1088,0.5346,5.269,1.072,0.836,0.589,40.51,32.1,349.1
SAND-0142,95.11,4.89,0.0541,0.184,0.684,3.404,0.916,0.709,0.613,34.8,31.1,308.6
SAND-0143,96.41,3.59,0.024,0.2068,1.5945,8.615,1.117,0.278,0.698,33.26,11.0,139.0
SAND-0144,98.24,1.76,0.0879,0.6858,4.7375,7.8,1.129,0.582,0.772,35.83,24.0,231.8
SAND-0145,77.97,22.03,0.025,0.2105,4.3635,8.42,0.406,0.772,0.673,39.19,32.4,307.7
SAND-0146,88.56,11.44,0.0256,0.2258,1.7207,8.809,1.156,0.771,0.522,39.1,32.5,267.4
SAND-0147,84.01,15.99,0.0467,0.2921,2.9541,6.261,0.619,0.532,0.663,34.47,24.7,226.0
SAND-0148,82.1,17.9,0.0641,0.3558,2.38,5.55,0.83,0.718,0.726,39.72,32.3,256.6
SAND-0149,78.61,21.39,0.0629,0.516,3.9041,8.199,1.084,0.423,0.804,34.69,17.3,206.8
SAND-0150,78.01,21.99,0.0302,0.1909,0.6755,6.327,1.788,0.429,0.733,34.69,16.0,219.0
SAND-0151,88.57,11.43,0.0402,0.3446,2.3389,8.571,1.263,0.769,0.594,39.94,29.0,300.8
SAND-0152,85.19,14.81,0.0867,0.7374,5.7585,8.502,1.089,0.323,0.665,34.79,15.4,167.2
SAND-0153,74.8,25.2,0.0291,0.2586,3.3504,8.877,0.685,0.286,0.855,33.07,15.1,143.7
SAND-0154,96.45,3.55,0.0482,0.175,0.9693,3.633,0.656,0.799,0.595,36.62,35.7,314.1
SAND-0155,81.3,18.7,0.1212,0.2704,0.5826,2.231,1.035,0.815,0.552,36.72,31.3,304.2
SAND-0156,88.71,11.29,0.0384,0.2487,4.0271,6.477,0.4,0.475,0.743,34.91,22.7,210.9
SAND-0157,92.72,7.28,0.0718,0.5337,3.3842,7.433,1.172,0.3,0.806,32.97,16.8,190.8
SAND-0158,81.58,18.42,0.0815,0.2058,0.5297,2.524,0.981,0.306,0.924,33.08,12.1,179.2
SAND-0159,79.87,20.13,0.0668,0.2809,0.9035,4.203,1.307,0.341,0.694,34.18,15.2,187.9
SAND-0160,98.15,1.85,0.1051,0.7074,5.8664,6.734,0.812,0.715,0.68,39.65,30.5,286.0
SAND-0161,84.76,15.24,0.1175,0.2521,0.6298,2.146,0.859,0.499,0.607,34.42,21.9,201.9
SAND-0162,84.97,15.03,0.0351,0.1215,0.4423,3.459,0.95,0.588,0.696,37.84,23.7,220.0
SAND-0163,73.52,26.48,0.2386,0.6806,1.69,2.853,1.149,0.258,0.795,30.96,10.9,167.9
SAND-0164,74.3,25.7,0.0255,0.1126,0.4861,4.423,1.024,0.582,0.658,38.97,21.0,226.5
SAND-0165,98.33,1.67,0.0814,0.5781,6.7936,7.101,0.604,0.493,0.73,36.33,24.0,253.3
SAND-0166,93.27,6.73,0.0939,0.6846,6.7357,7.288,0.741,0.638,0.797,35.68,25.8,223.9
SAND-0167,96.91,3.09,0.0409,0.2999,2.069,7.332,1.063,0.692,0.674,38.26,32.3,266.0
SAND-0168,74.44,25.56,0.137,0.3704,1.2524,2.704,0.8,0.778,0.617,38.94,30.0,298.8
SAND-0169,70.15,29.85,0.0921,0.4042,1.5715,4.388,1.129,0.368,0.816,36.38,12.7,195.0
SAND-0170,97.38,2.62,0.0309,0.2249,1.8182,7.291,0.902,0.626,0.731,36.49,26.1,265.5
SAND-0171,73.23,26.77,0.0722,0.4129,2.0106,5.717,1.174,0.395,0.865,33.62,13.8,225.0
SAND-0172,73.84,26.16,0.0559,0.377,3.8466,6.741,0.661,0.208,0.822,34.82,11.3,146.0
SAND-0173,81.76,18.24,0.1161,0.4435,1.7054,3.82,0.993,0.274,0.811,32.96,12.9,183.8
SAND-0174,80.56,19.44,0.0328,0.1594,0.8737,4.863,0.887,0.528,0.78,38.32,22.6,250.3
SAND-0175,77.2,22.8,0.1233,0.3746,1.0291,3.039,1.106,0.373,0.874,34.51,12.8,213.5
SAND-0176,93.31,6.69,0.0851,0.2383,0.7013,2.801,0.952,0.561,0.685,34.15,25.1,239.7
SAND-0177,89.82,10.18,0.0668,0.3453,1.3249,5.171,1.347,0.36,0.759,36.38,15.9,147.8
SAND-0178,91.61,8.39,0.0387,0.3213,2.016,8.296,1.322,0.372,0.787,34.22,22.9,181.1
SAND-0179,85.22,14.78,0.0744,0.332,1.6436,4.465,0.902,0.514,0.663,36.03,22.1,211.9
SAND-0180,81.93,18.07,0.0286,0.2505,1.6119,8.759,1.361,0.558,0.663,39.26,22.6,262.3
SAND-0181,74.43,25.57,0.0251,0.1713,1.1081,6.818,1.054,0.402,0.789,35.35,17.6,221.6
SAND-0182,99.66,0.34,0.1103,0.322,0.6679,2.92,1.408,0.548,0.708,33.93,22.8,214.2
SAND-0183,97.57,2.43,0.0433,0.3371,3.4346,7.781,0.764,0.808,0.64,40.76,32.1,285.6
SAND-0184,95.41,4.59,0.0392,0.1859,0.6522,4.743,1.352,0.337,0.843,35.11,15.2,205.1
SAND-0185,72.43,27.57,0.136,0.6842,3.8509,5.03,0.894,0.325,0.794,32.02,15.8,181.3
SAND-0186,98.88,1.12,0.0925,0.4753,3.5892,5.14,0.681,0.658,0.605,34.92,24.4,236.7
SAND-0187,71.68,28.32,0.0526,0.3117,2.3301,5.928,0.793,0.485,0.763,36.5,22.0,252.1
SAND-0188,85.03,14.97,0.0592,0.2085,0.6666,3.524,1.102,0.528,0.688,32.73,22.2,210.2
SAND-0189,70.34,29.66,0.0767,0.3106,1.1153,4.051,1.128,0.422,0.666,35.37,15.1,221.7
SAND-0190,75.92,24.08,0.1615,0.3526,1.2097,2.183,0.637,0.279,0.896,30.17,8.5,193.4
SAND-0191,82.22,17.78,0.1041,0.227,0.5425,2.181,0.913,0.216,0.823,30.67,6.1,143.6
SAND-0192,81.61,18.39,0.0241,0.1874,1.8936,7.775,0.77,0.776,0.534,40.73,26.9,268.7
SAND-0193,73.25,26.75,0.2757,0.9185,3.3569,3.332,0.912,0.58,0.692,34.33,22.7,230.6
SAND-0194,93.97,6.03,0.1486,0.3235,1.6968,2.178,0.415,0.625,0.616,38.49,28.0,278.5
SAND-0195,76.9,23.1,0.0386,0.1888,0.7558,4.888,1.221,0.273,0.772,32.09,10.8,144.6
SAND-0196,90.79,9.21,0.0382,0.2384,1.6925,6.234,0.878,0.745,0.752,37.92,29.4,273.6
SAND-0197,74.94,25.06,0.0651,0.3607,3.6214,5.538,0.552,0.248,0.88,34.1,10.7,152.7
SAND-0198,72.89,27.11,0.0834,0.3728,1.8281,4.471,0.912,0.531,0.738,34.75,20.5,234.3
SAND-0199,76.87,23.13,0.4357,1.682,5.5698,3.861,1.166,0.812,0.576,38.01,29.2,284.8
SAND-0200,74.55,25.45,0.022,0.1776,1.3012,8.067,1.101,0.517,0.688,33.91,17.4,238.7
SAND-0201,82.34,17.66,0.0183,0.0944,0.4279,5.159,1.138,0.261,0.86,31.6,10.5,184.4
SAND-0202,91.41,8.59,0.1675,1.4389,13.6999,8.59,0.902,0.783,0.665,39.28,30.6,298.1
SAND-0203,86.58,13.42,0.0701,0.4681,4.2671,6.675,0.732,0.524,0.67,34.99,22.8,229.2
SAND-0204,71.21,28.79,0.1326,0.2394,0.4633,1.806,0.933,0.308,0.855,32.33,14.1,175.2
SAND-0205,93.45,6.55,0.0511,0.2634,1.5012,5.151,0.904,0.768,0.682,40.04,30.3,276.2
SAND-0206,85.96,14.04,0.2759,0.4341,0.8832,1.573,0.773,0.838,0.595,39.95,29.0,325.0
SAND-0207,95.9,4.1,0.0365,0.2953,2.0357,8.079,1.172,0.809,0.681,39.79,31.5,287.4
SAND-0208,84.84,15.16,0.0667,0.4547,2.6132,6.818,1.186,0.655,0.679,40.83,27.2,263.2
SAND-0209,94.74,5.26,0.0268,0.2127,1.7977,7.939,0.939,0.616,0.676,36.4,26.2,238.2
SAND-0210,82.21,17.79,0.0702,0.339,2.0259,4.831,0.808,0.843,0.642,38.47,32.8,331.2
SAND-0211,78.4,21.6,0.033,0.2192,1.1429,6.645,1.275,0.606,0.696,36.09,24.6,250.2
SAND-0212,89.77,10.23,0.0602,0.2333,1.1914,3.878,0.759,0.516,0.8,33.63,25.1,242.2
SAND-0213,92.06,7.94,0.1782,0.3765,0.7535,2.113,1.056,0.601,0.634,34.97,24.3,295.3
SAND-0214,88.99,11.01,0.0594,0.4398,2.9194,7.401,1.115,0.54,0.675,35.79,23.7,247.5
SAND-0215,71.66,28.34,0.0623,0.1384,0.311,2.221,0.989,0.697,0.643,36.63,27.0,276.7
SAND-0216,92.11,7.89,0.0652,0.3154,1.9265,4.834,0.791,0.622,0.6,38.69,26.7,234.9
SAND-0217,92.96,7.04,0.0409,0.2467,1.963,6.024,0.757,0.551,0.671,37.88,20.9,245.3
SAND-0218,73.25,26.75,0.1776,0.5314,1.0794,2.991,1.473,0.76,0.654,36.95,28.3,308.7
SAND-0219,87.85,12.15,0.0103,0.0885,1.0157,8.571,0.747,0.202,0.803,35.43,12.0,163.7
SAND-0220,77.76,22.24,0.0696,0.1085,0.2088,1.56,0.811,0.254,0.81,30.99,8.7,164.8
SAND-0221,73.8,26.2,0.057,0.462,3.1469,8.101,1.189,0.354,0.741,33.58,15.9,179.8
SAND-0222,87.68,12.32,0.1182,0.2974,0.6101,2.516,1.227,0.333,0.768,33.97,15.9,203.4
SAND-0223,71.78,28.22,0.0171,0.1184,0.9848,6.923,0.832,0.479,0.727,38.17,20.4,210.6
SAND-0224,92.03,7.97,0.0438,0.0831,0.157,1.898,1.005,0.475,0.67,34.88,19.4,203.5
SAND-0225,88.05,11.95,0.063,0.0974,0.1342,1.545,1.121,0.224,0.819,31.97,12.9,158.7
SAND-0226,89.82,10.18,0.0484,0.1822,0.7808,3.766,0.879,0.823,0.673,39.05,32.6,312.3
SAND-0227,81.55,18.45,0.1153,0.2712,0.8901,2.351,0.716,0.783,0.609,36.06,29.5,292.8
SAND-0228,70.01,29.99,0.0567,0.1638,0.4595,2.891,1.031,0.493,0.738,34.76,21.2,237.4
SAND-0229,90.61,9.39,0.0262,0.2129,1.3778,8.119,1.255,0.686,0.692,40.51,29.4,237.0
SAND-0230,73.05,26.95,0.0856,0.4222,2.0757,4.934,1.003,0.836,0.63,41.3,33.2,317.2
SAND-0231,99.96,0.04,0.0617,0.3319,4.0121,5.38,0.445,0.529,0.687,35.83,21.8,253.7
SAND-0232,98.47,1.53,0.018,0.093,0.5187,5.177,0.928,0.264,0.682,30.32,16.2,179.7
SAND-0233,97.74,2.26,0.0345,0.26,3.2843,7.536,0.597,0.766,0.626,40.2,33.5,304.4
SAND-0234,84.34,15.66,0.0419,0.2455,1.2385,5.855,1.16,0.474,0.66,35.33,18.0,229.2
SAND-0235,86.75,13.25,0.0548,0.1419,0.6529,2.59,0.563,0.804,0.72,35.38,31.4,287.5
SAND-0236,92.62,7.38,0.1544,0.4537,1.4358,2.939,0.929,0.657,0.736,33.81,26.1,265.6
SAND-0237,81.02,18.98,0.2709,0.4277,0.9658,1.579,0.699,0.404,0.731,32.91,15.8,231.5
SAND-0238,94.66,5.34,0.026,0.1719,1.0025,6.614,1.134,0.514,0.756,35.26,27.2,245.8
SAND-0239,91.4,8.6,0.0804,0.4717,2.2098,5.869,1.253,0.411,0.663,35.4,21.1,176.3
