Temperature_C,Rubber_Content_%,Paste_Volume_Fraction,Aggregate_Volume_Fraction,Rubber_Volume_Fraction,Pore_Volume_Fraction,Crack_Volume_Fraction,Segmentation_Dice_Coefficient,Segmentation_Jaccard_Index,Paste_Aggregate_Interface_m2_m3,Paste_Rubber_Interface_m2_m3,Paste_Pore_Interface_m2_m3,Total_Interface_Area_m2_m3,Gray_Threshold_Paste_Pore,Gray_Threshold_Paste_Aggregate,Gray_Threshold_Rubber,Timestamp
400,0,0.2786069651741294,0.5472636815920399,0.0,0.16915422885572143,0.0049751243781094535,0.9221533090104267,0.8637829521774398,480.784690957977,16.83464919968641,510.50007123539416,1008.1194113930576,116.0,162.0,92.0,2025-10-18T18:00:17.085983
400,5,0.21354166666666663,0.5729166666666666,0.04687499999999999,0.16145833333333334,0.005208333333333332,0.9129145232158438,0.8630162206191685,529.5024734264429,119.13194034359326,525.5844019851661,1174.2188157552023,116.0,162.0,92.0,2025-10-18T18:00:17.085989
400,10,0.14207650273224046,0.6010928961748634,0.09836065573770493,0.15300546448087432,0.00546448087431694,0.8901328160963411,0.8559008359774167,545.5079577597284,218.91894446038262,477.78468880515163,1242.2115910252626,116.0,162.0,92.0,2025-10-18T18:00:17.085994
400,15,0.06321839080459775,0.632183908045977,0.15517241379310345,0.14367816091954022,0.005747126436781608,0.8924275728078622,0.8362732409975404,547.314855118186,318.6440571192693,502.2641403073339,1368.2230525447892,116.0,162.0,92.0,2025-10-18T18:00:17.085999
400,20,-0.024242424242424194,0.6666666666666666,0.2181818181818182,0.13333333333333333,0.006060606060606061,0.8982347944512852,0.8464131359203816,555.2879166731085,430.0732714498136,480.157385339138,1465.5185734620602,116.0,162.0,92.0,2025-10-18T18:00:17.086004
600,0,0.24752475247524752,0.5346534653465347,0.0,0.19801980198019803,0.019801980198019802,0.8988488296515665,0.8252383259770424,544.8177085248091,20.282306790026407,584.9324965116151,1150.0325118264504,114.0,163.0,88.0,2025-10-18T18:00:17.086009
600,5,0.19289340101522842,0.5482233502538071,0.035532994923857864,0.20304568527918782,0.02030456852791878,0.8853721195844985,0.8374102110064705,564.9611920917514,126.6656697143212,583.9013648648082,1275.528226670881,114.0,163.0,88.0,2025-10-18T18:00:17.086013
600,10,0.13541666666666669,0.5625000000000001,0.07291666666666666,0.20833333333333334,0.020833333333333336,0.8936074753624602,0.8226790333929588,584.9518979801468,228.55646993282824,606.6504980625942,1420.1588659755694,114.0,163.0,88.0,2025-10-18T18:00:17.086018
600,15,0.07486631016042782,0.5775401069518716,0.1122994652406417,0.21390374331550802,0.0213903743315508,0.8913911913188781,0.8354882705357285,558.415146983422,327.4063878976982,638.225089256822,1524.0466241379422,114.0,163.0,88.0,2025-10-18T18:00:17.086022
600,20,0.010989010989010997,0.5934065934065934,0.1538461538461538,0.21978021978021975,0.021978021978021976,0.9100175051672565,0.8287808760493586,564.9660255327738,433.0677619761961,607.6668924914069,1605.700680000377,114.0,163.0,88.0,2025-10-18T18:00:17.086027
800,0,0.19607843137254902,0.5098039215686274,0.0,0.24509803921568626,0.049019607843137254,0.8918592962260823,0.8118471050885298,579.18344417017,37.00253151552936,694.2894815323516,1310.475457218051,112.0,164.0,84.0,2025-10-18T18:00:17.086032
800,5,0.15000000000000002,0.52,0.020000000000000004,0.26,0.05,0.8644006460461711,0.7975643923328155,584.1197473816767,149.36353135887865,700.9700280718826,1434.4533068124379,112.0,164.0,84.0,2025-10-18T18:00:17.086036
800,10,0.10204081632653061,0.5306122448979591,0.04081632653061225,0.2755102040816326,0.05102040816326531,0.876286162229926,0.8331156351935457,556.5776210553298,234.63307136392046,685.6073200819593,1476.8180125012095,112.0,164.0,84.0,2025-10-18T18:00:17.086041
800,15,0.05208333333333334,0.5416666666666666,0.062499999999999986,0.29166666666666663,0.05208333333333333,0.8659550082106285,0.8011009147627652,579.0791587811825,337.460161595212,705.8476957758742,1622.3870161522686,112.0,164.0,84.0,2025-10-18T18:00:17.086046
800,20,0.0,0.553191489361702,0.0851063829787234,0.3085106382978723,0.05319148936170212,0.8863531140239457,0.8250075048926137,575.0488670213207,444.32646417936616,705.5077007355678,1724.8830319362546,112.0,164.0,84.0,2025-10-18T18:00:17.086050
