temperature,rubber_content,specimen_type,reaction_equation,temperature_range,conversion_fraction,reaction_enthalpy_kj_mol,primary_product,secondary_product,mass_loss_percent,reaction_rate_per_min,activation_energy_kj_mol,specimen_id,analysis_method
100,15,heated,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,0.0,-104,Bassanite,Water_vapor,0.0,0.0,150,TD_15_100_heated,XRD-TGA_coupled
100,20,control,Ettringite → Metaettringite + H₂O,70-150°C,0.375,-180,Metaettringite,Water_vapor,0.03,2.3713209097908317e-14,80,TD_20_100_control,XRD-TGA_coupled
100,20,control,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,0.0,-104,Bassanite,Water_vapor,0.0,0.0,150,TD_20_100_control,XRD-TGA_coupled
100,20,heated,Ettringite → Metaettringite + H₂O,70-150°C,0.375,-180,Metaettringite,Water_vapor,0.03,2.3713209097908317e-14,80,TD_20_100_heated,XRD-TGA_coupled
100,20,heated,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,0.0,-104,Bassanite,Water_vapor,0.0,0.0,150,TD_20_100_heated,XRD-TGA_coupled
100,25,control,Ettringite → Metaettringite + H₂O,70-150°C,0.375,-180,Metaettringite,Water_vapor,0.03,2.3713209097908317e-14,80,TD_25_100_control,XRD-TGA_coupled
100,25,control,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,0.0,-104,Bassanite,Water_vapor,0.0,0.0,150,TD_25_100_control,XRD-TGA_coupled
100,25,heated,Ettringite → Metaettringite + H₂O,70-150°C,0.375,-180,Metaettringite,Water_vapor,0.03,2.3713209097908317e-14,80,TD_25_100_heated,XRD-TGA_coupled
100,25,heated,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,0.0,-104,Bassanite,Water_vapor,0.0,0.0,150,TD_25_100_heated,XRD-TGA_coupled
200,0,control,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,1.0,-104,Bassanite,Water_vapor,0.03,2.7526879311312513e-19,150,TD_0_200_control,XRD-TGA_coupled
200,0,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.0,-85,Amorphous_calcium_silicate,Water_vapor,0.0,0.0,120,TD_0_200_control,XRD-TGA_coupled
200,0,heated,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,1.0,-104,Bassanite,Water_vapor,0.03,2.7526879311312513e-19,150,TD_0_200_heated,XRD-TGA_coupled
200,0,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.0,-85,Amorphous_calcium_silicate,Water_vapor,0.0,0.0,120,TD_0_200_heated,XRD-TGA_coupled
200,5,control,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,1.0,-104,Bassanite,Water_vapor,0.03,2.7526879311312513e-19,150,TD_5_200_control,XRD-TGA_coupled
200,5,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.0,-85,Amorphous_calcium_silicate,Water_vapor,0.0,0.0,120,TD_5_200_control,XRD-TGA_coupled
200,5,heated,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,1.0,-104,Bassanite,Water_vapor,0.03,2.7526879311312513e-19,150,TD_5_200_heated,XRD-TGA_coupled
200,5,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.0,-85,Amorphous_calcium_silicate,Water_vapor,0.0,0.0,120,TD_5_200_heated,XRD-TGA_coupled
200,10,control,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,1.0,-104,Bassanite,Water_vapor,0.03,2.7526879311312513e-19,150,TD_10_200_control,XRD-TGA_coupled
200,10,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.0,-85,Amorphous_calcium_silicate,Water_vapor,0.0,0.0,120,TD_10_200_control,XRD-TGA_coupled
200,10,heated,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,1.0,-104,Bassanite,Water_vapor,0.03,2.7526879311312513e-19,150,TD_10_200_heated,XRD-TGA_coupled
200,10,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.0,-85,Amorphous_calcium_silicate,Water_vapor,0.0,0.0,120,TD_10_200_heated,XRD-TGA_coupled
200,15,control,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,1.0,-104,Bassanite,Water_vapor,0.03,2.7526879311312513e-19,150,TD_15_200_control,XRD-TGA_coupled
200,15,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.0,-85,Amorphous_calcium_silicate,Water_vapor,0.0,0.0,120,TD_15_200_control,XRD-TGA_coupled
200,15,heated,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,1.0,-104,Bassanite,Water_vapor,0.03,2.7526879311312513e-19,150,TD_15_200_heated,XRD-TGA_coupled
200,15,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.0,-85,Amorphous_calcium_silicate,Water_vapor,0.0,0.0,120,TD_15_200_heated,XRD-TGA_coupled
200,20,control,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,1.0,-104,Bassanite,Water_vapor,0.03,2.7526879311312513e-19,150,TD_20_200_control,XRD-TGA_coupled
200,20,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.0,-85,Amorphous_calcium_silicate,Water_vapor,0.0,0.0,120,TD_20_200_control,XRD-TGA_coupled
200,20,heated,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,1.0,-104,Bassanite,Water_vapor,0.03,2.7526879311312513e-19,150,TD_20_200_heated,XRD-TGA_coupled
200,20,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.0,-85,Amorphous_calcium_silicate,Water_vapor,0.0,0.0,120,TD_20_200_heated,XRD-TGA_coupled
200,25,control,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,1.0,-104,Bassanite,Water_vapor,0.03,2.7526879311312513e-19,150,TD_25_200_control,XRD-TGA_coupled
200,25,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.0,-85,Amorphous_calcium_silicate,Water_vapor,0.0,0.0,120,TD_25_200_control,XRD-TGA_coupled
200,25,heated,CaSO₄·2H₂O → CaSO₄·0.5H₂O + 1.5H₂O,100-200°C,1.0,-104,Bassanite,Water_vapor,0.03,2.7526879311312513e-19,150,TD_25_200_heated,XRD-TGA_coupled
200,25,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.0,-85,Amorphous_calcium_silicate,Water_vapor,0.0,0.0,120,TD_25_200_heated,XRD-TGA_coupled
300,0,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.25,-85,Amorphous_calcium_silicate,Water_vapor,0.125,2.892120002287797e-14,120,TD_0_300_control,XRD-TGA_coupled
300,0,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.25,-85,Amorphous_calcium_silicate,Water_vapor,0.125,2.892120002287797e-14,120,TD_0_300_heated,XRD-TGA_coupled
300,5,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.25,-85,Amorphous_calcium_silicate,Water_vapor,0.125,2.892120002287797e-14,120,TD_5_300_control,XRD-TGA_coupled
300,5,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.0,-250,Carbon_black,Volatile_organics,0.0,0.0,180,TD_5_300_control,XRD-TGA_coupled
300,5,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.25,-85,Amorphous_calcium_silicate,Water_vapor,0.125,2.892120002287797e-14,120,TD_5_300_heated,XRD-TGA_coupled
300,5,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.0,-250,Carbon_black,Volatile_organics,0.0,0.0,180,TD_5_300_heated,XRD-TGA_coupled
300,10,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.25,-85,Amorphous_calcium_silicate,Water_vapor,0.125,2.892120002287797e-14,120,TD_10_300_control,XRD-TGA_coupled
300,10,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.0,-250,Carbon_black,Volatile_organics,0.0,0.0,180,TD_10_300_control,XRD-TGA_coupled
300,10,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.25,-85,Amorphous_calcium_silicate,Water_vapor,0.125,2.892120002287797e-14,120,TD_10_300_heated,XRD-TGA_coupled
300,10,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.0,-250,Carbon_black,Volatile_organics,0.0,0.0,180,TD_10_300_heated,XRD-TGA_coupled
300,15,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.25,-85,Amorphous_calcium_silicate,Water_vapor,0.125,2.892120002287797e-14,120,TD_15_300_control,XRD-TGA_coupled
300,15,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.0,-250,Carbon_black,Volatile_organics,0.0,0.0,180,TD_15_300_control,XRD-TGA_coupled
300,15,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.25,-85,Amorphous_calcium_silicate,Water_vapor,0.125,2.892120002287797e-14,120,TD_15_300_heated,XRD-TGA_coupled
300,15,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.0,-250,Carbon_black,Volatile_organics,0.0,0.0,180,TD_15_300_heated,XRD-TGA_coupled
300,20,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.25,-85,Amorphous_calcium_silicate,Water_vapor,0.125,2.892120002287797e-14,120,TD_20_300_control,XRD-TGA_coupled
300,20,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.0,-250,Carbon_black,Volatile_organics,0.0,0.0,180,TD_20_300_control,XRD-TGA_coupled
300,20,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.25,-85,Amorphous_calcium_silicate,Water_vapor,0.125,2.892120002287797e-14,120,TD_20_300_heated,XRD-TGA_coupled
300,20,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.0,-250,Carbon_black,Volatile_organics,0.0,0.0,180,TD_20_300_heated,XRD-TGA_coupled
300,25,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.25,-85,Amorphous_calcium_silicate,Water_vapor,0.125,2.892120002287797e-14,120,TD_25_300_control,XRD-TGA_coupled
300,25,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.0,-250,Carbon_black,Volatile_organics,0.0,0.0,180,TD_25_300_control,XRD-TGA_coupled
300,25,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.25,-85,Amorphous_calcium_silicate,Water_vapor,0.125,2.892120002287797e-14,120,TD_25_300_heated,XRD-TGA_coupled
300,25,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.0,-250,Carbon_black,Volatile_organics,0.0,0.0,180,TD_25_300_heated,XRD-TGA_coupled
400,0,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.5,-85,Amorphous_calcium_silicate,Water_vapor,0.25,2.4375558311601836e-12,120,TD_0_400_control,XRD-TGA_coupled
400,0,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.5,-85,Amorphous_calcium_silicate,Water_vapor,0.25,2.4375558311601836e-12,120,TD_0_400_heated,XRD-TGA_coupled
400,5,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.5,-85,Amorphous_calcium_silicate,Water_vapor,0.25,2.4375558311601836e-12,120,TD_5_400_control,XRD-TGA_coupled
400,5,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.5,-250,Carbon_black,Volatile_organics,0.075,5.382039186773203e-17,180,TD_5_400_control,XRD-TGA_coupled
400,5,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.5,-85,Amorphous_calcium_silicate,Water_vapor,0.25,2.4375558311601836e-12,120,TD_5_400_heated,XRD-TGA_coupled
400,5,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.5,-250,Carbon_black,Volatile_organics,0.075,5.382039186773203e-17,180,TD_5_400_heated,XRD-TGA_coupled
400,10,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.5,-85,Amorphous_calcium_silicate,Water_vapor,0.25,2.4375558311601836e-12,120,TD_10_400_control,XRD-TGA_coupled
400,10,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.5,-250,Carbon_black,Volatile_organics,0.075,5.382039186773203e-17,180,TD_10_400_control,XRD-TGA_coupled
400,10,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.5,-85,Amorphous_calcium_silicate,Water_vapor,0.25,2.4375558311601836e-12,120,TD_10_400_heated,XRD-TGA_coupled
400,10,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.5,-250,Carbon_black,Volatile_organics,0.075,5.382039186773203e-17,180,TD_10_400_heated,XRD-TGA_coupled
400,15,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.5,-85,Amorphous_calcium_silicate,Water_vapor,0.25,2.4375558311601836e-12,120,TD_15_400_control,XRD-TGA_coupled
400,15,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.5,-250,Carbon_black,Volatile_organics,0.075,5.382039186773203e-17,180,TD_15_400_control,XRD-TGA_coupled
400,15,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.5,-85,Amorphous_calcium_silicate,Water_vapor,0.25,2.4375558311601836e-12,120,TD_15_400_heated,XRD-TGA_coupled
400,15,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.5,-250,Carbon_black,Volatile_organics,0.075,5.382039186773203e-17,180,TD_15_400_heated,XRD-TGA_coupled
400,20,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.5,-85,Amorphous_calcium_silicate,Water_vapor,0.25,2.4375558311601836e-12,120,TD_20_400_control,XRD-TGA_coupled
400,20,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.5,-250,Carbon_black,Volatile_organics,0.075,5.382039186773203e-17,180,TD_20_400_control,XRD-TGA_coupled
400,20,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.5,-85,Amorphous_calcium_silicate,Water_vapor,0.25,2.4375558311601836e-12,120,TD_20_400_heated,XRD-TGA_coupled
400,20,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.5,-250,Carbon_black,Volatile_organics,0.075,5.382039186773203e-17,180,TD_20_400_heated,XRD-TGA_coupled
400,25,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.5,-85,Amorphous_calcium_silicate,Water_vapor,0.25,2.4375558311601836e-12,120,TD_25_400_control,XRD-TGA_coupled
400,25,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.5,-250,Carbon_black,Volatile_organics,0.075,5.382039186773203e-17,180,TD_25_400_control,XRD-TGA_coupled
400,25,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.5,-85,Amorphous_calcium_silicate,Water_vapor,0.25,2.4375558311601836e-12,120,TD_25_400_heated,XRD-TGA_coupled
400,25,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.5,-250,Carbon_black,Volatile_organics,0.075,5.382039186773203e-17,180,TD_25_400_heated,XRD-TGA_coupled
500,0,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.75,-85,Amorphous_calcium_silicate,Water_vapor,0.375,5.854250333908408e-11,120,TD_0_500_control,XRD-TGA_coupled
500,0,control,Ca(OH)₂ → CaO + H₂O,450-550°C,0.5,-109,Lime,Water_vapor,0.09,3.668449431471861e-13,150,TD_0_500_control,XRD-TGA_coupled
500,0,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.75,-85,Amorphous_calcium_silicate,Water_vapor,0.375,5.854250333908408e-11,120,TD_0_500_heated,XRD-TGA_coupled
500,0,heated,Ca(OH)₂ → CaO + H₂O,450-550°C,0.5,-109,Lime,Water_vapor,0.09,3.668449431471861e-13,150,TD_0_500_heated,XRD-TGA_coupled
500,5,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.75,-85,Amorphous_calcium_silicate,Water_vapor,0.375,5.854250333908408e-11,120,TD_5_500_control,XRD-TGA_coupled
500,5,control,Ca(OH)₂ → CaO + H₂O,450-550°C,0.5,-109,Lime,Water_vapor,0.09,3.668449431471861e-13,150,TD_5_500_control,XRD-TGA_coupled
500,5,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.8,-250,Carbon_black,Volatile_organics,0.12,5.517025940617087e-15,180,TD_5_500_control,XRD-TGA_coupled
500,5,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.75,-85,Amorphous_calcium_silicate,Water_vapor,0.375,5.854250333908408e-11,120,TD_5_500_heated,XRD-TGA_coupled
500,5,heated,Ca(OH)₂ → CaO + H₂O,450-550°C,0.5,-109,Lime,Water_vapor,0.09,3.668449431471861e-13,150,TD_5_500_heated,XRD-TGA_coupled
500,5,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.8,-250,Carbon_black,Volatile_organics,0.12,5.517025940617087e-15,180,TD_5_500_heated,XRD-TGA_coupled
500,10,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.75,-85,Amorphous_calcium_silicate,Water_vapor,0.375,5.854250333908408e-11,120,TD_10_500_control,XRD-TGA_coupled
500,10,control,Ca(OH)₂ → CaO + H₂O,450-550°C,0.5,-109,Lime,Water_vapor,0.09,3.668449431471861e-13,150,TD_10_500_control,XRD-TGA_coupled
500,10,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.8,-250,Carbon_black,Volatile_organics,0.12,5.517025940617087e-15,180,TD_10_500_control,XRD-TGA_coupled
500,10,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.75,-85,Amorphous_calcium_silicate,Water_vapor,0.375,5.854250333908408e-11,120,TD_10_500_heated,XRD-TGA_coupled
500,10,heated,Ca(OH)₂ → CaO + H₂O,450-550°C,0.5,-109,Lime,Water_vapor,0.09,3.668449431471861e-13,150,TD_10_500_heated,XRD-TGA_coupled
500,10,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.8,-250,Carbon_black,Volatile_organics,0.12,5.517025940617087e-15,180,TD_10_500_heated,XRD-TGA_coupled
500,15,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.75,-85,Amorphous_calcium_silicate,Water_vapor,0.375,5.854250333908408e-11,120,TD_15_500_control,XRD-TGA_coupled
500,15,control,Ca(OH)₂ → CaO + H₂O,450-550°C,0.5,-109,Lime,Water_vapor,0.09,3.668449431471861e-13,150,TD_15_500_control,XRD-TGA_coupled
500,15,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.8,-250,Carbon_black,Volatile_organics,0.12,5.517025940617087e-15,180,TD_15_500_control,XRD-TGA_coupled
500,15,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.75,-85,Amorphous_calcium_silicate,Water_vapor,0.375,5.854250333908408e-11,120,TD_15_500_heated,XRD-TGA_coupled
500,15,heated,Ca(OH)₂ → CaO + H₂O,450-550°C,0.5,-109,Lime,Water_vapor,0.09,3.668449431471861e-13,150,TD_15_500_heated,XRD-TGA_coupled
500,15,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.8,-250,Carbon_black,Volatile_organics,0.12,5.517025940617087e-15,180,TD_15_500_heated,XRD-TGA_coupled
500,20,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.75,-85,Amorphous_calcium_silicate,Water_vapor,0.375,5.854250333908408e-11,120,TD_20_500_control,XRD-TGA_coupled
500,20,control,Ca(OH)₂ → CaO + H₂O,450-550°C,0.5,-109,Lime,Water_vapor,0.09,3.668449431471861e-13,150,TD_20_500_control,XRD-TGA_coupled
500,20,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.8,-250,Carbon_black,Volatile_organics,0.12,5.517025940617087e-15,180,TD_20_500_control,XRD-TGA_coupled
500,20,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.75,-85,Amorphous_calcium_silicate,Water_vapor,0.375,5.854250333908408e-11,120,TD_20_500_heated,XRD-TGA_coupled
500,20,heated,Ca(OH)₂ → CaO + H₂O,450-550°C,0.5,-109,Lime,Water_vapor,0.09,3.668449431471861e-13,150,TD_20_500_heated,XRD-TGA_coupled
500,20,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.8,-250,Carbon_black,Volatile_organics,0.12,5.517025940617087e-15,180,TD_20_500_heated,XRD-TGA_coupled
500,25,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.75,-85,Amorphous_calcium_silicate,Water_vapor,0.375,5.854250333908408e-11,120,TD_25_500_control,XRD-TGA_coupled
500,25,control,Ca(OH)₂ → CaO + H₂O,450-550°C,0.5,-109,Lime,Water_vapor,0.09,3.668449431471861e-13,150,TD_25_500_control,XRD-TGA_coupled
500,25,control,Rubber → Carbon_residue + Volatiles,300-500°C,0.8,-250,Carbon_black,Volatile_organics,0.12,5.517025940617087e-15,180,TD_25_500_control,XRD-TGA_coupled
500,25,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.75,-85,Amorphous_calcium_silicate,Water_vapor,0.375,5.854250333908408e-11,120,TD_25_500_heated,XRD-TGA_coupled
500,25,heated,Ca(OH)₂ → CaO + H₂O,450-550°C,0.5,-109,Lime,Water_vapor,0.09,3.668449431471861e-13,150,TD_25_500_heated,XRD-TGA_coupled
500,25,heated,Rubber → Carbon_residue + Volatiles,300-500°C,0.8,-250,Carbon_black,Volatile_organics,0.12,5.517025940617087e-15,180,TD_25_500_heated,XRD-TGA_coupled
600,0,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.8,-85,Amorphous_calcium_silicate,Water_vapor,0.4,5.297182474787971e-10,120,TD_0_600_control,XRD-TGA_coupled
600,0,control,CaCO₃ → CaO + CO₂,600-900°C,0.0,-178,Lime,Carbon_dioxide,0.0,0.0,150,TD_0_600_control,XRD-TGA_coupled
600,0,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.8,-85,Amorphous_calcium_silicate,Water_vapor,0.4,5.297182474787971e-10,120,TD_0_600_heated,XRD-TGA_coupled
600,0,heated,CaCO₃ → CaO + CO₂,600-900°C,0.0,-178,Lime,Carbon_dioxide,0.0,0.0,150,TD_0_600_heated,XRD-TGA_coupled
600,5,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.8,-85,Amorphous_calcium_silicate,Water_vapor,0.4,5.297182474787971e-10,120,TD_5_600_control,XRD-TGA_coupled
600,5,control,CaCO₃ → CaO + CO₂,600-900°C,0.0,-178,Lime,Carbon_dioxide,0.0,0.0,150,TD_5_600_control,XRD-TGA_coupled
600,5,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.8,-85,Amorphous_calcium_silicate,Water_vapor,0.4,5.297182474787971e-10,120,TD_5_600_heated,XRD-TGA_coupled
600,5,heated,CaCO₃ → CaO + CO₂,600-900°C,0.0,-178,Lime,Carbon_dioxide,0.0,0.0,150,TD_5_600_heated,XRD-TGA_coupled
600,10,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.8,-85,Amorphous_calcium_silicate,Water_vapor,0.4,5.297182474787971e-10,120,TD_10_600_control,XRD-TGA_coupled
600,10,control,CaCO₃ → CaO + CO₂,600-900°C,0.0,-178,Lime,Carbon_dioxide,0.0,0.0,150,TD_10_600_control,XRD-TGA_coupled
600,10,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.8,-85,Amorphous_calcium_silicate,Water_vapor,0.4,5.297182474787971e-10,120,TD_10_600_heated,XRD-TGA_coupled
600,10,heated,CaCO₃ → CaO + CO₂,600-900°C,0.0,-178,Lime,Carbon_dioxide,0.0,0.0,150,TD_10_600_heated,XRD-TGA_coupled
600,15,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.8,-85,Amorphous_calcium_silicate,Water_vapor,0.4,5.297182474787971e-10,120,TD_15_600_control,XRD-TGA_coupled
600,15,control,CaCO₃ → CaO + CO₂,600-900°C,0.0,-178,Lime,Carbon_dioxide,0.0,0.0,150,TD_15_600_control,XRD-TGA_coupled
600,15,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.8,-85,Amorphous_calcium_silicate,Water_vapor,0.4,5.297182474787971e-10,120,TD_15_600_heated,XRD-TGA_coupled
600,15,heated,CaCO₃ → CaO + CO₂,600-900°C,0.0,-178,Lime,Carbon_dioxide,0.0,0.0,150,TD_15_600_heated,XRD-TGA_coupled
600,20,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.8,-85,Amorphous_calcium_silicate,Water_vapor,0.4,5.297182474787971e-10,120,TD_20_600_control,XRD-TGA_coupled
600,20,control,CaCO₃ → CaO + CO₂,600-900°C,0.0,-178,Lime,Carbon_dioxide,0.0,0.0,150,TD_20_600_control,XRD-TGA_coupled
