temperature,rubber_content,specimen_type,amorphous_content_percent,crystalline_content_percent,internal_standard_added_percent,corundum_peak_intensity,reference_corundum_intensity,intensity_ratio,background_intensity,amorphous_hump_position_2theta,amorphous_hump_width_2theta,csh_gel_content_percent,glass_content_percent,measurement_error_percent,specimen_id,analysis_method,software
200,5,heated,29.3,70.7,10,123.91573729863691,1000,0.12391573729863692,217.15,25.480564440652028,16.8,41.0,5.5,1.3418138486428455,AM_5_200_heated,Internal_standard_corundum,TOPAS-Academic
200,10,control,31.8,68.2,10,127.87723785166241,1000,0.1278772378516624,244.8,27.98441078720841,16.8,41.0,6.0,2.156889439061363,AM_10_200_control,Internal_standard_corundum,TOPAS-Academic
200,10,heated,31.8,68.2,10,127.87723785166241,1000,0.1278772378516624,244.8,27.327823674583655,16.8,41.0,6.0,2.3030782408795996,AM_10_200_heated,Internal_standard_corundum,TOPAS-Academic
200,15,control,34.3,65.7,10,132.10039630118888,1000,0.1321003963011889,272.95,24.587286854981258,16.8,41.0,6.5,1.7394551824940416,AM_15_200_control,Internal_standard_corundum,TOPAS-Academic
200,15,heated,34.3,65.7,10,132.10039630118888,1000,0.1321003963011889,272.95,24.679802774948758,16.8,41.0,6.5,1.2870216259187501,AM_15_200_heated,Internal_standard_corundum,TOPAS-Academic
200,20,control,36.8,63.2,10,136.61202185792348,1000,0.13661202185792348,301.6,25.15993873056098,16.8,41.0,7.0,1.666598774892244,AM_20_200_control,Internal_standard_corundum,TOPAS-Academic
200,20,heated,36.8,63.2,10,136.61202185792348,1000,0.13661202185792348,301.6,23.1378752237362,16.8,41.0,7.0,2.0507860810371765,AM_20_200_heated,Internal_standard_corundum,TOPAS-Academic
200,25,control,39.3,60.7,10,141.44271570014143,1000,0.14144271570014144,330.75,27.924935327729116,16.8,41.0,7.5,1.7005673243702422,AM_25_200_control,Internal_standard_corundum,TOPAS-Academic
200,25,heated,39.3,60.7,10,141.44271570014143,1000,0.14144271570014144,330.75,27.167461578704025,16.8,41.0,7.5,1.3978208295318932,AM_25_200_heated,Internal_standard_corundum,TOPAS-Academic
300,0,control,30.0,70.0,10,125.0,1000,0.125,240.0,27.93677801478963,17.8,36.0,5.0,1.9903910244474543,AM_0_300_control,Internal_standard_corundum,TOPAS-Academic
300,0,heated,30.0,70.0,10,125.0,1000,0.125,240.0,23.89804545495803,17.8,36.0,5.0,2.249883199932814,AM_0_300_heated,Internal_standard_corundum,TOPAS-Academic
300,5,control,32.5,67.5,10,129.03225806451613,1000,0.12903225806451613,267.65,25.386560037555675,17.8,36.0,5.5,1.9817166541445435,AM_5_300_control,Internal_standard_corundum,TOPAS-Academic
300,5,heated,32.5,67.5,10,129.03225806451613,1000,0.12903225806451613,267.65,24.19951349089776,17.8,36.0,5.5,1.358360759741018,AM_5_300_heated,Internal_standard_corundum,TOPAS-Academic
300,10,control,35.0,65.0,10,133.33333333333334,1000,0.13333333333333333,295.8,21.63847748235631,17.8,36.0,6.0,2.728387440755927,AM_10_300_control,Internal_standard_corundum,TOPAS-Academic
300,10,heated,35.0,65.0,10,133.33333333333334,1000,0.13333333333333333,295.8,21.989121883194965,17.8,36.0,6.0,1.5310913136109678,AM_10_300_heated,Internal_standard_corundum,TOPAS-Academic
300,15,control,37.5,62.5,10,137.9310344827586,1000,0.13793103448275862,324.45,27.38903481604701,17.8,36.0,6.5,2.3734852509446345,AM_15_300_control,Internal_standard_corundum,TOPAS-Academic
300,15,heated,37.5,62.5,10,137.9310344827586,1000,0.13793103448275862,324.45,27.34563559884331,17.8,36.0,6.5,2.084863798231368,AM_15_300_heated,Internal_standard_corundum,TOPAS-Academic
300,20,control,40.0,60.0,10,142.85714285714286,1000,0.14285714285714285,353.6,20.340696247738734,17.8,36.0,7.0,2.4433028469096487,AM_20_300_control,Internal_standard_corundum,TOPAS-Academic
300,20,heated,40.0,60.0,10,142.85714285714286,1000,0.14285714285714285,353.6,26.80727645310183,17.8,36.0,7.0,1.3578346537123493,AM_20_300_heated,Internal_standard_corundum,TOPAS-Academic
300,25,control,42.5,57.5,10,148.14814814814815,1000,0.14814814814814814,383.25,25.499165687546256,17.8,36.0,7.5,2.578070999946027,AM_25_300_control,Internal_standard_corundum,TOPAS-Academic
300,25,heated,42.5,57.5,10,148.14814814814815,1000,0.14814814814814814,383.25,23.95453247951483,17.8,36.0,7.5,2.3970369117890606,AM_25_300_heated,Internal_standard_corundum,TOPAS-Academic
400,0,control,35.0,65.0,10,133.33333333333334,1000,0.13333333333333333,290.0,26.677738506933235,18.8,31.0,5.0,2.6427576730841102,AM_0_400_control,Internal_standard_corundum,TOPAS-Academic
400,0,heated,35.0,65.0,10,133.33333333333334,1000,0.13333333333333333,290.0,21.833277590437746,18.8,31.0,5.0,1.6849292990973717,AM_0_400_heated,Internal_standard_corundum,TOPAS-Academic
400,5,control,37.5,62.5,10,137.9310344827586,1000,0.13793103448275862,318.15,25.785562003590233,18.8,31.0,5.5,1.742075310825709,AM_5_400_control,Internal_standard_corundum,TOPAS-Academic
400,5,heated,37.5,62.5,10,137.9310344827586,1000,0.13793103448275862,318.15,24.58952483206233,18.8,31.0,5.5,2.0486357104016006,AM_5_400_heated,Internal_standard_corundum,TOPAS-Academic
400,10,control,40.0,60.0,10,142.85714285714286,1000,0.14285714285714285,346.8,25.79692792619116,18.8,31.0,6.0,1.963289869284737,AM_10_400_control,Internal_standard_corundum,TOPAS-Academic
400,10,heated,40.0,60.0,10,142.85714285714286,1000,0.14285714285714285,346.8,26.382627043666293,18.8,31.0,6.0,1.7187959709670904,AM_10_400_heated,Internal_standard_corundum,TOPAS-Academic
400,15,control,42.5,57.5,10,148.14814814814815,1000,0.14814814814814814,375.95,24.503463793621457,18.8,31.0,6.5,1.1741161777466291,AM_15_400_control,Internal_standard_corundum,TOPAS-Academic
400,15,heated,42.5,57.5,10,148.14814814814815,1000,0.14814814814814814,375.95,25.81534696972501,18.8,31.0,6.5,1.7630294966101714,AM_15_400_heated,Internal_standard_corundum,TOPAS-Academic
400,20,control,45.0,55.0,10,153.84615384615387,1000,0.15384615384615385,405.6,25.469080035159696,18.8,31.0,7.0,2.746548827429308,AM_20_400_control,Internal_standard_corundum,TOPAS-Academic
400,20,heated,45.0,55.0,10,153.84615384615387,1000,0.15384615384615385,405.6,26.33162230103499,18.8,31.0,7.0,2.1046971903881904,AM_20_400_heated,Internal_standard_corundum,TOPAS-Academic
400,25,control,47.5,52.5,10,160.0,1000,0.16,435.75,24.46147796451905,18.8,31.0,7.5,2.4126775682218966,AM_25_400_control,Internal_standard_corundum,TOPAS-Academic
400,25,heated,47.5,52.5,10,160.0,1000,0.16,435.75,23.445603612340136,18.8,31.0,7.5,2.242434334334104,AM_25_400_heated,Internal_standard_corundum,TOPAS-Academic
500,0,control,40.0,60.0,10,142.85714285714286,1000,0.14285714285714285,340.0,23.121923574224517,19.8,26.0,5.0,2.575069300414739,AM_0_500_control,Internal_standard_corundum,TOPAS-Academic
500,0,heated,40.0,60.0,10,142.85714285714286,1000,0.14285714285714285,340.0,23.4394923343668,19.8,26.0,5.0,1.9619465623056342,AM_0_500_heated,Internal_standard_corundum,TOPAS-Academic
500,5,control,42.5,57.5,10,148.14814814814815,1000,0.14814814814814814,368.65,23.431366691518413,19.8,26.0,5.5,2.100710712510098,AM_5_500_control,Internal_standard_corundum,TOPAS-Academic
500,5,heated,42.5,57.5,10,148.14814814814815,1000,0.14814814814814814,368.65,28.57416444450269,19.8,26.0,5.5,2.732170048013225,AM_5_500_heated,Internal_standard_corundum,TOPAS-Academic
500,10,control,45.0,55.0,10,153.84615384615387,1000,0.15384615384615385,397.8,23.307638587945746,19.8,26.0,6.0,1.7468072306122475,AM_10_500_control,Internal_standard_corundum,TOPAS-Academic
500,10,heated,45.0,55.0,10,153.84615384615387,1000,0.15384615384615385,397.8,22.636635111126473,19.8,26.0,6.0,1.59120113547141,AM_10_500_heated,Internal_standard_corundum,TOPAS-Academic
500,15,control,47.5,52.5,10,160.0,1000,0.16,427.45,29.212130040803174,19.8,26.0,6.5,2.3290850841259068,AM_15_500_control,Internal_standard_corundum,TOPAS-Academic
500,15,heated,47.5,52.5,10,160.0,1000,0.16,427.45,25.894544487691217,19.8,26.0,6.5,2.6692213929219446,AM_15_500_heated,Internal_standard_corundum,TOPAS-Academic
500,20,control,50.0,50.0,10,166.66666666666666,1000,0.16666666666666666,457.6,24.514078739260558,19.8,26.0,7.0,1.8340231238762286,AM_20_500_control,Internal_standard_corundum,TOPAS-Academic
500,20,heated,50.0,50.0,10,166.66666666666666,1000,0.16666666666666666,457.6,27.688007482174736,19.8,26.0,7.0,2.4499987193906145,AM_20_500_heated,Internal_standard_corundum,TOPAS-Academic
500,25,control,52.5,47.5,10,173.91304347826087,1000,0.17391304347826086,488.25,24.58288976178086,19.8,26.0,7.5,1.8853032510679917,AM_25_500_control,Internal_standard_corundum,TOPAS-Academic
500,25,heated,52.5,47.5,10,173.91304347826087,1000,0.17391304347826086,488.25,25.237500868655662,19.8,26.0,7.5,1.4868660411781391,AM_25_500_heated,Internal_standard_corundum,TOPAS-Academic
600,0,control,45.0,55.0,10,153.84615384615387,1000,0.15384615384615385,390.0,27.767547716564415,20.8,21.0,5.0,2.1786694885588553,AM_0_600_control,Internal_standard_corundum,TOPAS-Academic
600,0,heated,45.0,55.0,10,153.84615384615387,1000,0.15384615384615385,390.0,24.15353567762662,20.8,21.0,5.0,2.267564825817067,AM_0_600_heated,Internal_standard_corundum,TOPAS-Academic
600,5,control,47.5,52.5,10,160.0,1000,0.16,419.15,28.57761530752581,20.8,21.0,5.5,1.9060631748886372,AM_5_600_control,Internal_standard_corundum,TOPAS-Academic
600,5,heated,47.5,52.5,10,160.0,1000,0.16,419.15,22.372382160352007,20.8,21.0,5.5,2.5981342312938396,AM_5_600_heated,Internal_standard_corundum,TOPAS-Academic
600,10,control,50.0,50.0,10,166.66666666666666,1000,0.16666666666666666,448.8,24.14704678084062,20.8,21.0,6.0,0.9548280642052391,AM_10_600_control,Internal_standard_corundum,TOPAS-Academic
600,10,heated,50.0,50.0,10,166.66666666666666,1000,0.16666666666666666,448.8,26.121321610828392,20.8,21.0,6.0,2.4454941546155595,AM_10_600_heated,Internal_standard_corundum,TOPAS-Academic
600,15,control,52.5,47.5,10,173.91304347826087,1000,0.17391304347826086,478.95,28.927136705955203,20.8,21.0,6.5,2.770119967042626,AM_15_600_control,Internal_standard_corundum,TOPAS-Academic
600,15,heated,52.5,47.5,10,173.91304347826087,1000,0.17391304347826086,478.95,26.5572037567859,20.8,21.0,6.5,1.4038543068609948,AM_15_600_heated,Internal_standard_corundum,TOPAS-Academic
600,20,control,55.0,45.0,10,181.8181818181818,1000,0.18181818181818182,509.6,23.40313350347166,20.8,21.0,7.0,1.2933929114875553,AM_20_600_control,Internal_standard_corundum,TOPAS-Academic
600,20,heated,55.0,45.0,10,181.8181818181818,1000,0.18181818181818182,509.6,25.519298401612904,20.8,21.0,7.0,1.9505999538311614,AM_20_600_heated,Internal_standard_corundum,TOPAS-Academic
600,25,control,57.5,42.5,10,190.47619047619045,1000,0.19047619047619047,540.75,26.009369285473518,20.8,21.0,7.5,1.9750293823025205,AM_25_600_control,Internal_standard_corundum,TOPAS-Academic
600,25,heated,57.5,42.5,10,190.47619047619045,1000,0.19047619047619047,540.75,23.884589432132817,20.8,21.0,7.5,2.1834556635718365,AM_25_600_heated,Internal_standard_corundum,TOPAS-Academic
700,0,control,43.0,57.0,10,149.25373134328356,1000,0.14925373134328357,440.0,23.489642558565354,21.8,16.0,5.0,1.3314181373617164,AM_0_700_control,Internal_standard_corundum,TOPAS-Academic
700,0,heated,43.0,57.0,10,149.25373134328356,1000,0.14925373134328357,440.0,25.184891311515262,21.8,16.0,5.0,2.1989472903237552,AM_0_700_heated,Internal_standard_corundum,TOPAS-Academic
700,5,control,45.5,54.5,10,155.03875968992247,1000,0.15503875968992248,469.65,26.226215904039226,21.8,16.0,5.5,1.589094048201852,AM_5_700_control,Internal_standard_corundum,TOPAS-Academic
700,5,heated,45.5,54.5,10,155.03875968992247,1000,0.15503875968992248,469.65,23.664032539859342,21.8,16.0,5.5,1.384995742897507,AM_5_700_heated,Internal_standard_corundum,TOPAS-Academic
700,10,control,48.0,52.0,10,161.29032258064515,1000,0.16129032258064516,499.8,25.15016512514911,21.8,16.0,6.0,2.021778830806343,AM_10_700_control,Internal_standard_corundum,TOPAS-Academic
700,10,heated,48.0,52.0,10,161.29032258064515,1000,0.16129032258064516,499.8,27.520090612298908,21.8,16.0,6.0,0.9841849274137553,AM_10_700_heated,Internal_standard_corundum,TOPAS-Academic
700,15,control,50.5,49.5,10,168.0672268907563,1000,0.16806722689075632,530.45,22.367859760762308,21.8,16.0,6.5,1.5106270426275619,AM_15_700_control,Internal_standard_corundum,TOPAS-Academic
700,15,heated,50.5,49.5,10,168.0672268907563,1000,0.16806722689075632,530.45,21.865798485419408,21.8,16.0,6.5,1.5839983152555588,AM_15_700_heated,Internal_standard_corundum,TOPAS-Academic
700,20,control,53.0,47.0,10,175.43859649122805,1000,0.17543859649122806,561.6,25.589700302149986,21.8,16.0,7.0,2.1703907224154073,AM_20_700_control,Internal_standard_corundum,TOPAS-Academic
700,20,heated,53.0,47.0,10,175.43859649122805,1000,0.17543859649122806,561.6,26.139279523524294,21.8,16.0,7.0,2.288858595615469,AM_20_700_heated,Internal_standard_corundum,TOPAS-Academic
700,25,control,55.5,44.5,10,183.4862385321101,1000,0.1834862385321101,593.25,23.76773254565589,21.8,16.0,7.5,2.1611082131246824,AM_25_700_control,Internal_standard_corundum,TOPAS-Academic
700,25,heated,55.5,44.5,10,183.4862385321101,1000,0.1834862385321101,593.25,25.95331292406257,21.8,16.0,7.5,2.449630432005551,AM_25_700_heated,Internal_standard_corundum,TOPAS-Academic
800,0,control,41.0,59.0,10,144.92753623188406,1000,0.14492753623188406,490.0,27.92009821591175,22.8,11.0,5.0,1.4304788320046082,AM_0_800_control,Internal_standard_corundum,TOPAS-Academic
800,0,heated,41.0,59.0,10,144.92753623188406,1000,0.14492753623188406,490.0,21.792457092283144,22.8,11.0,5.0,2.6382198180695955,AM_0_800_heated,Internal_standard_corundum,TOPAS-Academic
800,5,control,43.5,56.5,10,150.37593984962405,1000,0.15037593984962405,520.15,25.97851662183767,22.8,11.0,5.5,1.7369546947941563,AM_5_800_control,Internal_standard_corundum,TOPAS-Academic
800,5,heated,43.5,56.5,10,150.37593984962405,1000,0.15037593984962405,520.15,25.38240617849445,22.8,11.0,5.5,1.6159225577272098,AM_5_800_heated,Internal_standard_corundum,TOPAS-Academic
800,10,control,46.0,54.0,10,156.25,1000,0.15625,550.8,24.52700036276895,22.8,11.0,6.0,1.2839199754380641,AM_10_800_control,Internal_standard_corundum,TOPAS-Academic
800,10,heated,46.0,54.0,10,156.25,1000,0.15625,550.8,22.723291952996842,22.8,11.0,6.0,1.9666395195781432,AM_10_800_heated,Internal_standard_corundum,TOPAS-Academic
800,15,control,48.5,51.5,10,162.60162601626016,1000,0.16260162601626016,581.95,22.076598945609014,22.8,11.0,6.5,1.54647714545019,AM_15_800_control,Internal_standard_corundum,TOPAS-Academic
800,15,heated,48.5,51.5,10,162.60162601626016,1000,0.16260162601626016,581.95,26.665092423217093,22.8,11.0,6.5,1.0791158851540152,AM_15_800_heated,Internal_standard_corundum,TOPAS-Academic
800,20,control,51.0,49.0,10,169.4915254237288,1000,0.1694915254237288,613.6,24.95748671566737,22.8,11.0,7.0,1.8224217334550414,AM_20_800_control,Internal_standard_corundum,TOPAS-Academic
800,20,heated,51.0,49.0,10,169.4915254237288,1000,0.1694915254237288,613.6,24.16683994499025,22.8,11.0,7.0,2.1746842074112136,AM_20_800_heated,Internal_standard_corundum,TOPAS-Academic
800,25,control,53.5,46.5,10,176.99115044247787,1000,0.17699115044247787,645.75,23.046228902150727,22.8,11.0,7.5,2.2557934689923553,AM_25_800_control,Internal_standard_corundum,TOPAS-Academic
800,25,heated,53.5,46.5,10,176.99115044247787,1000,0.17699115044247787,645.75,28.293658144842087,22.8,11.0,7.5,1.9978069326782808,AM_25_800_heated,Internal_standard_corundum,TOPAS-Academic
