region_id,country,year,activity,skill_level,base_hours_per_unit,unit_type,hourly_rate_usd,overtime_multiplier,weekend_multiplier,holiday_multiplier,productivity_factor,safety_requirements,certification_required
North_America_East,USA,2022,general_construction,medium,0.2,sqft,34.45,1.5,1.25,2.0,1.02,low,False
North_America_East,USA,2023,insulation_installation,medium,0.5,sqft,35.43,1.5,1.25,2.0,1.03,medium,False
North_America_East,USA,2023,window_replacement,high,2.0,sqft,49.05,1.5,1.25,2.0,1.03,medium,False
North_America_East,USA,2023,hvac_installation,high,8.0,ton,49.05,1.5,1.25,2.0,1.03,high,True
North_America_East,USA,2023,solar_pv_installation,high,4.0,kw,49.05,1.5,1.25,2.0,1.03,low,True
North_America_East,USA,2023,lighting_retrofit,low,0.5,fixture,27.25,1.5,1.25,2.0,1.03,low,False
North_America_East,USA,2023,roofing_work,medium,0.3,sqft,35.43,1.5,1.25,2.0,1.03,high,False
North_America_East,USA,2023,electrical_work,high,1.0,outlet,49.05,1.5,1.25,2.0,1.03,high,True
North_America_East,USA,2023,plumbing_work,high,2.0,fixture,49.05,1.5,1.25,2.0,1.03,low,False
North_America_East,USA,2023,general_construction,medium,0.2,sqft,35.43,1.5,1.25,2.0,1.03,low,False
North_America_East,USA,2024,insulation_installation,medium,0.5,sqft,36.4,1.5,1.25,2.0,1.04,medium,False
North_America_East,USA,2024,window_replacement,high,2.0,sqft,50.4,1.5,1.25,2.0,1.04,medium,False
North_America_East,USA,2024,hvac_installation,high,8.0,ton,50.4,1.5,1.25,2.0,1.04,high,True
North_America_East,USA,2024,solar_pv_installation,high,4.0,kw,50.4,1.5,1.25,2.0,1.04,low,True
North_America_East,USA,2024,lighting_retrofit,low,0.5,fixture,28.0,1.5,1.25,2.0,1.04,low,False
North_America_East,USA,2024,roofing_work,medium,0.3,sqft,36.4,1.5,1.25,2.0,1.04,high,False
North_America_East,USA,2024,electrical_work,high,1.0,outlet,50.4,1.5,1.25,2.0,1.04,high,True
North_America_East,USA,2024,plumbing_work,high,2.0,fixture,50.4,1.5,1.25,2.0,1.04,low,False
North_America_East,USA,2024,general_construction,medium,0.2,sqft,36.4,1.5,1.25,2.0,1.04,low,False
North_America_West,USA,2020,insulation_installation,medium,0.5,sqft,32.5,1.5,1.25,2.0,1.0,medium,False
North_America_West,USA,2020,window_replacement,high,2.0,sqft,45.0,1.5,1.25,2.0,1.0,medium,False
North_America_West,USA,2020,hvac_installation,high,8.0,ton,45.0,1.5,1.25,2.0,1.0,high,True
North_America_West,USA,2020,solar_pv_installation,high,4.0,kw,45.0,1.5,1.25,2.0,1.0,low,True
North_America_West,USA,2020,lighting_retrofit,low,0.5,fixture,25.0,1.5,1.25,2.0,1.0,low,False
North_America_West,USA,2020,roofing_work,medium,0.3,sqft,32.5,1.5,1.25,2.0,1.0,high,False
North_America_West,USA,2020,electrical_work,high,1.0,outlet,45.0,1.5,1.25,2.0,1.0,high,True
North_America_West,USA,2020,plumbing_work,high,2.0,fixture,45.0,1.5,1.25,2.0,1.0,low,False
North_America_West,USA,2020,general_construction,medium,0.2,sqft,32.5,1.5,1.25,2.0,1.0,low,False
North_America_West,USA,2021,insulation_installation,medium,0.5,sqft,33.48,1.5,1.25,2.0,1.01,medium,False
North_America_West,USA,2021,window_replacement,high,2.0,sqft,46.35,1.5,1.25,2.0,1.01,medium,False
North_America_West,USA,2021,hvac_installation,high,8.0,ton,46.35,1.5,1.25,2.0,1.01,high,True
North_America_West,USA,2021,solar_pv_installation,high,4.0,kw,46.35,1.5,1.25,2.0,1.01,low,True
North_America_West,USA,2021,lighting_retrofit,low,0.5,fixture,25.75,1.5,1.25,2.0,1.01,low,False
North_America_West,USA,2021,roofing_work,medium,0.3,sqft,33.48,1.5,1.25,2.0,1.01,high,False
North_America_West,USA,2021,electrical_work,high,1.0,outlet,46.35,1.5,1.25,2.0,1.01,high,True
North_America_West,USA,2021,plumbing_work,high,2.0,fixture,46.35,1.5,1.25,2.0,1.01,low,False
North_America_West,USA,2021,general_construction,medium,0.2,sqft,33.48,1.5,1.25,2.0,1.01,low,False
North_America_West,USA,2022,insulation_installation,medium,0.5,sqft,34.45,1.5,1.25,2.0,1.02,medium,False
North_America_West,USA,2022,window_replacement,high,2.0,sqft,47.7,1.5,1.25,2.0,1.02,medium,False
North_America_West,USA,2022,hvac_installation,high,8.0,ton,47.7,1.5,1.25,2.0,1.02,high,True
North_America_West,USA,2022,solar_pv_installation,high,4.0,kw,47.7,1.5,1.25,2.0,1.02,low,True
North_America_West,USA,2022,lighting_retrofit,low,0.5,fixture,26.5,1.5,1.25,2.0,1.02,low,False
North_America_West,USA,2022,roofing_work,medium,0.3,sqft,34.45,1.5,1.25,2.0,1.02,high,False
North_America_West,USA,2022,electrical_work,high,1.0,outlet,47.7,1.5,1.25,2.0,1.02,high,True
North_America_West,USA,2022,plumbing_work,high,2.0,fixture,47.7,1.5,1.25,2.0,1.02,low,False
North_America_West,USA,2022,general_construction,medium,0.2,sqft,34.45,1.5,1.25,2.0,1.02,low,False
North_America_West,USA,2023,insulation_installation,medium,0.5,sqft,35.43,1.5,1.25,2.0,1.03,medium,False
North_America_West,USA,2023,window_replacement,high,2.0,sqft,49.05,1.5,1.25,2.0,1.03,medium,False
North_America_West,USA,2023,hvac_installation,high,8.0,ton,49.05,1.5,1.25,2.0,1.03,high,True
North_America_West,USA,2023,solar_pv_installation,high,4.0,kw,49.05,1.5,1.25,2.0,1.03,low,True
North_America_West,USA,2023,lighting_retrofit,low,0.5,fixture,27.25,1.5,1.25,2.0,1.03,low,False
North_America_West,USA,2023,roofing_work,medium,0.3,sqft,35.43,1.5,1.25,2.0,1.03,high,False
North_America_West,USA,2023,electrical_work,high,1.0,outlet,49.05,1.5,1.25,2.0,1.03,high,True
North_America_West,USA,2023,plumbing_work,high,2.0,fixture,49.05,1.5,1.25,2.0,1.03,low,False
North_America_West,USA,2023,general_construction,medium,0.2,sqft,35.43,1.5,1.25,2.0,1.03,low,False
North_America_West,USA,2024,insulation_installation,medium,0.5,sqft,36.4,1.5,1.25,2.0,1.04,medium,False
North_America_West,USA,2024,window_replacement,high,2.0,sqft,50.4,1.5,1.25,2.0,1.04,medium,False
North_America_West,USA,2024,hvac_installation,high,8.0,ton,50.4,1.5,1.25,2.0,1.04,high,True
North_America_West,USA,2024,solar_pv_installation,high,4.0,kw,50.4,1.5,1.25,2.0,1.04,low,True
North_America_West,USA,2024,lighting_retrofit,low,0.5,fixture,28.0,1.5,1.25,2.0,1.04,low,False
North_America_West,USA,2024,roofing_work,medium,0.3,sqft,36.4,1.5,1.25,2.0,1.04,high,False
North_America_West,USA,2024,electrical_work,high,1.0,outlet,50.4,1.5,1.25,2.0,1.04,high,True
North_America_West,USA,2024,plumbing_work,high,2.0,fixture,50.4,1.5,1.25,2.0,1.04,low,False
North_America_West,USA,2024,general_construction,medium,0.2,sqft,36.4,1.5,1.25,2.0,1.04,low,False
Europe_West,Germany,2020,insulation_installation,medium,0.5,sqft,39.0,1.5,1.25,2.0,1.0,medium,False
Europe_West,Germany,2020,window_replacement,high,2.0,sqft,54.0,1.5,1.25,2.0,1.0,medium,False
Europe_West,Germany,2020,hvac_installation,high,8.0,ton,54.0,1.5,1.25,2.0,1.0,high,True
Europe_West,Germany,2020,solar_pv_installation,high,4.0,kw,54.0,1.5,1.25,2.0,1.0,low,True
Europe_West,Germany,2020,lighting_retrofit,low,0.5,fixture,30.0,1.5,1.25,2.0,1.0,low,False
Europe_West,Germany,2020,roofing_work,medium,0.3,sqft,39.0,1.5,1.25,2.0,1.0,high,False
Europe_West,Germany,2020,electrical_work,high,1.0,outlet,54.0,1.5,1.25,2.0,1.0,high,True
Europe_West,Germany,2020,plumbing_work,high,2.0,fixture,54.0,1.5,1.25,2.0,1.0,low,False
Europe_West,Germany,2020,general_construction,medium,0.2,sqft,39.0,1.5,1.25,2.0,1.0,low,False
Europe_West,Germany,2021,insulation_installation,medium,0.5,sqft,40.17,1.5,1.25,2.0,1.01,medium,False
Europe_West,Germany,2021,window_replacement,high,2.0,sqft,55.62,1.5,1.25,2.0,1.01,medium,False
Europe_West,Germany,2021,hvac_installation,high,8.0,ton,55.62,1.5,1.25,2.0,1.01,high,True
Europe_West,Germany,2021,solar_pv_installation,high,4.0,kw,55.62,1.5,1.25,2.0,1.01,low,True
Europe_West,Germany,2021,lighting_retrofit,low,0.5,fixture,30.9,1.5,1.25,2.0,1.01,low,False
Europe_West,Germany,2021,roofing_work,medium,0.3,sqft,40.17,1.5,1.25,2.0,1.01,high,False
Europe_West,Germany,2021,electrical_work,high,1.0,outlet,55.62,1.5,1.25,2.0,1.01,high,True
Europe_West,Germany,2021,plumbing_work,high,2.0,fixture,55.62,1.5,1.25,2.0,1.01,low,False
Europe_West,Germany,2021,general_construction,medium,0.2,sqft,40.17,1.5,1.25,2.0,1.01,low,False
Europe_West,Germany,2022,insulation_installation,medium,0.5,sqft,41.34,1.5,1.25,2.0,1.02,medium,False
Europe_West,Germany,2022,window_replacement,high,2.0,sqft,57.24,1.5,1.25,2.0,1.02,medium,False
Europe_West,Germany,2022,hvac_installation,high,8.0,ton,57.24,1.5,1.25,2.0,1.02,high,True
Europe_West,Germany,2022,solar_pv_installation,high,4.0,kw,57.24,1.5,1.25,2.0,1.02,low,True
Europe_West,Germany,2022,lighting_retrofit,low,0.5,fixture,31.8,1.5,1.25,2.0,1.02,low,False
Europe_West,Germany,2022,roofing_work,medium,0.3,sqft,41.34,1.5,1.25,2.0,1.02,high,False
Europe_West,Germany,2022,electrical_work,high,1.0,outlet,57.24,1.5,1.25,2.0,1.02,high,True
Europe_West,Germany,2022,plumbing_work,high,2.0,fixture,57.24,1.5,1.25,2.0,1.02,low,False
Europe_West,Germany,2022,general_construction,medium,0.2,sqft,41.34,1.5,1.25,2.0,1.02,low,False
Europe_West,Germany,2023,insulation_installation,medium,0.5,sqft,42.51,1.5,1.25,2.0,1.03,medium,False
Europe_West,Germany,2023,window_replacement,high,2.0,sqft,58.86,1.5,1.25,2.0,1.03,medium,False
Europe_West,Germany,2023,hvac_installation,high,8.0,ton,58.86,1.5,1.25,2.0,1.03,high,True
Europe_West,Germany,2023,solar_pv_installation,high,4.0,kw,58.86,1.5,1.25,2.0,1.03,low,True
Europe_West,Germany,2023,lighting_retrofit,low,0.5,fixture,32.7,1.5,1.25,2.0,1.03,low,False
Europe_West,Germany,2023,roofing_work,medium,0.3,sqft,42.51,1.5,1.25,2.0,1.03,high,False
Europe_West,Germany,2023,electrical_work,high,1.0,outlet,58.86,1.5,1.25,2.0,1.03,high,True
Europe_West,Germany,2023,plumbing_work,high,2.0,fixture,58.86,1.5,1.25,2.0,1.03,low,False
Europe_West,Germany,2023,general_construction,medium,0.2,sqft,42.51,1.5,1.25,2.0,1.03,low,False
Europe_West,Germany,2024,insulation_installation,medium,0.5,sqft,43.68,1.5,1.25,2.0,1.04,medium,False
Europe_West,Germany,2024,window_replacement,high,2.0,sqft,60.48,1.5,1.25,2.0,1.04,medium,False
Europe_West,Germany,2024,hvac_installation,high,8.0,ton,60.48,1.5,1.25,2.0,1.04,high,True
Europe_West,Germany,2024,solar_pv_installation,high,4.0,kw,60.48,1.5,1.25,2.0,1.04,low,True
Europe_West,Germany,2024,lighting_retrofit,low,0.5,fixture,33.6,1.5,1.25,2.0,1.04,low,False
Europe_West,Germany,2024,roofing_work,medium,0.3,sqft,43.68,1.5,1.25,2.0,1.04,high,False
Europe_West,Germany,2024,electrical_work,high,1.0,outlet,60.48,1.5,1.25,2.0,1.04,high,True
Europe_West,Germany,2024,plumbing_work,high,2.0,fixture,60.48,1.5,1.25,2.0,1.04,low,False
Europe_West,Germany,2024,general_construction,medium,0.2,sqft,43.68,1.5,1.25,2.0,1.04,low,False
Europe_North,UK,2020,insulation_installation,medium,0.5,sqft,28.6,1.5,1.25,2.0,1.0,medium,False
Europe_North,UK,2020,window_replacement,high,2.0,sqft,39.6,1.5,1.25,2.0,1.0,medium,False
Europe_North,UK,2020,hvac_installation,high,8.0,ton,39.6,1.5,1.25,2.0,1.0,high,True
Europe_North,UK,2020,solar_pv_installation,high,4.0,kw,39.6,1.5,1.25,2.0,1.0,low,True
Europe_North,UK,2020,lighting_retrofit,low,0.5,fixture,22.0,1.5,1.25,2.0,1.0,low,False
Europe_North,UK,2020,roofing_work,medium,0.3,sqft,28.6,1.5,1.25,2.0,1.0,high,False
Europe_North,UK,2020,electrical_work,high,1.0,outlet,39.6,1.5,1.25,2.0,1.0,high,True
Europe_North,UK,2020,plumbing_work,high,2.0,fixture,39.6,1.5,1.25,2.0,1.0,low,False
Europe_North,UK,2020,general_construction,medium,0.2,sqft,28.6,1.5,1.25,2.0,1.0,low,False
Europe_North,UK,2021,insulation_installation,medium,0.5,sqft,29.17,1.5,1.25,2.0,1.01,medium,False
Europe_North,UK,2021,window_replacement,high,2.0,sqft,40.39,1.5,1.25,2.0,1.01,medium,False
Europe_North,UK,2021,hvac_installation,high,8.0,ton,40.39,1.5,1.25,2.0,1.01,high,True
Europe_North,UK,2021,solar_pv_installation,high,4.0,kw,40.39,1.5,1.25,2.0,1.01,low,True
Europe_North,UK,2021,lighting_retrofit,low,0.5,fixture,22.44,1.5,1.25,2.0,1.01,low,False
Europe_North,UK,2021,roofing_work,medium,0.3,sqft,29.17,1.5,1.25,2.0,1.01,high,False
Europe_North,UK,2021,electrical_work,high,1.0,outlet,40.39,1.5,1.25,2.0,1.01,high,True
Europe_North,UK,2021,plumbing_work,high,2.0,fixture,40.39,1.5,1.25,2.0,1.01,low,False
Europe_North,UK,2021,general_construction,medium,0.2,sqft,29.17,1.5,1.25,2.0,1.01,low,False
Europe_North,UK,2022,insulation_installation,medium,0.5,sqft,29.74,1.5,1.25,2.0,1.02,medium,False
Europe_North,UK,2022,window_replacement,high,2.0,sqft,41.18,1.5,1.25,2.0,1.02,medium,False
Europe_North,UK,2022,hvac_installation,high,8.0,ton,41.18,1.5,1.25,2.0,1.02,high,True
Europe_North,UK,2022,solar_pv_installation,high,4.0,kw,41.18,1.5,1.25,2.0,1.02,low,True
Europe_North,UK,2022,lighting_retrofit,low,0.5,fixture,22.88,1.5,1.25,2.0,1.02,low,False
Europe_North,UK,2022,roofing_work,medium,0.3,sqft,29.74,1.5,1.25,2.0,1.02,high,False
Europe_North,UK,2022,electrical_work,high,1.0,outlet,41.18,1.5,1.25,2.0,1.02,high,True
Europe_North,UK,2022,plumbing_work,high,2.0,fixture,41.18,1.5,1.25,2.0,1.02,low,False
Europe_North,UK,2022,general_construction,medium,0.2,sqft,29.74,1.5,1.25,2.0,1.02,low,False
Europe_North,UK,2023,insulation_installation,medium,0.5,sqft,30.32,1.5,1.25,2.0,1.03,medium,False
Europe_North,UK,2023,window_replacement,high,2.0,sqft,41.98,1.5,1.25,2.0,1.03,medium,False
Europe_North,UK,2023,hvac_installation,high,8.0,ton,41.98,1.5,1.25,2.0,1.03,high,True
Europe_North,UK,2023,solar_pv_installation,high,4.0,kw,41.98,1.5,1.25,2.0,1.03,low,True
Europe_North,UK,2023,lighting_retrofit,low,0.5,fixture,23.32,1.5,1.25,2.0,1.03,low,False
Europe_North,UK,2023,roofing_work,medium,0.3,sqft,30.32,1.5,1.25,2.0,1.03,high,False
Europe_North,UK,2023,electrical_work,high,1.0,outlet,41.98,1.5,1.25,2.0,1.03,high,True
Europe_North,UK,2023,plumbing_work,high,2.0,fixture,41.98,1.5,1.25,2.0,1.03,low,False
Europe_North,UK,2023,general_construction,medium,0.2,sqft,30.32,1.5,1.25,2.0,1.03,low,False
Europe_North,UK,2024,insulation_installation,medium,0.5,sqft,30.89,1.5,1.25,2.0,1.04,medium,False
Europe_North,UK,2024,window_replacement,high,2.0,sqft,42.77,1.5,1.25,2.0,1.04,medium,False
Europe_North,UK,2024,hvac_installation,high,8.0,ton,42.77,1.5,1.25,2.0,1.04,high,True
Europe_North,UK,2024,solar_pv_installation,high,4.0,kw,42.77,1.5,1.25,2.0,1.04,low,True
Europe_North,UK,2024,lighting_retrofit,low,0.5,fixture,23.76,1.5,1.25,2.0,1.04,low,False
Europe_North,UK,2024,roofing_work,medium,0.3,sqft,30.89,1.5,1.25,2.0,1.04,high,False
Europe_North,UK,2024,electrical_work,high,1.0,outlet,42.77,1.5,1.25,2.0,1.04,high,True
Europe_North,UK,2024,plumbing_work,high,2.0,fixture,42.77,1.5,1.25,2.0,1.04,low,False
Europe_North,UK,2024,general_construction,medium,0.2,sqft,30.89,1.5,1.25,2.0,1.04,low,False
Asia_Pacific,Japan,2020,insulation_installation,medium,0.5,sqft,26.0,1.5,1.25,2.0,1.0,medium,False
Asia_Pacific,Japan,2020,window_replacement,high,2.0,sqft,36.0,1.5,1.25,2.0,1.0,medium,False
Asia_Pacific,Japan,2020,hvac_installation,high,8.0,ton,36.0,1.5,1.25,2.0,1.0,high,True
Asia_Pacific,Japan,2020,solar_pv_installation,high,4.0,kw,36.0,1.5,1.25,2.0,1.0,low,True
Asia_Pacific,Japan,2020,lighting_retrofit,low,0.5,fixture,20.0,1.5,1.25,2.0,1.0,low,False
Asia_Pacific,Japan,2020,roofing_work,medium,0.3,sqft,26.0,1.5,1.25,2.0,1.0,high,False
Asia_Pacific,Japan,2020,electrical_work,high,1.0,outlet,36.0,1.5,1.25,2.0,1.0,high,True
Asia_Pacific,Japan,2020,plumbing_work,high,2.0,fixture,36.0,1.5,1.25,2.0,1.0,low,False
Asia_Pacific,Japan,2020,general_construction,medium,0.2,sqft,26.0,1.5,1.25,2.0,1.0,low,False
Asia_Pacific,Japan,2021,insulation_installation,medium,0.5,sqft,26.52,1.5,1.25,2.0,1.01,medium,False
Asia_Pacific,Japan,2021,window_replacement,high,2.0,sqft,36.72,1.5,1.25,2.0,1.01,medium,False
Asia_Pacific,Japan,2021,hvac_installation,high,8.0,ton,36.72,1.5,1.25,2.0,1.01,high,True
Asia_Pacific,Japan,2021,solar_pv_installation,high,4.0,kw,36.72,1.5,1.25,2.0,1.01,low,True
Asia_Pacific,Japan,2021,lighting_retrofit,low,0.5,fixture,20.4,1.5,1.25,2.0,1.01,low,False
Asia_Pacific,Japan,2021,roofing_work,medium,0.3,sqft,26.52,1.5,1.25,2.0,1.01,high,False
Asia_Pacific,Japan,2021,electrical_work,high,1.0,outlet,36.72,1.5,1.25,2.0,1.01,high,True
Asia_Pacific,Japan,2021,plumbing_work,high,2.0,fixture,36.72,1.5,1.25,2.0,1.01,low,False
Asia_Pacific,Japan,2021,general_construction,medium,0.2,sqft,26.52,1.5,1.25,2.0,1.01,low,False
Asia_Pacific,Japan,2022,insulation_installation,medium,0.5,sqft,27.04,1.5,1.25,2.0,1.02,medium,False
Asia_Pacific,Japan,2022,window_replacement,high,2.0,sqft,37.44,1.5,1.25,2.0,1.02,medium,False
Asia_Pacific,Japan,2022,hvac_installation,high,8.0,ton,37.44,1.5,1.25,2.0,1.02,high,True
Asia_Pacific,Japan,2022,solar_pv_installation,high,4.0,kw,37.44,1.5,1.25,2.0,1.02,low,True
Asia_Pacific,Japan,2022,lighting_retrofit,low,0.5,fixture,20.8,1.5,1.25,2.0,1.02,low,False
Asia_Pacific,Japan,2022,roofing_work,medium,0.3,sqft,27.04,1.5,1.25,2.0,1.02,high,False
Asia_Pacific,Japan,2022,electrical_work,high,1.0,outlet,37.44,1.5,1.25,2.0,1.02,high,True
Asia_Pacific,Japan,2022,plumbing_work,high,2.0,fixture,37.44,1.5,1.25,2.0,1.02,low,False
Asia_Pacific,Japan,2022,general_construction,medium,0.2,sqft,27.04,1.5,1.25,2.0,1.02,low,False
Asia_Pacific,Japan,2023,insulation_installation,medium,0.5,sqft,27.56,1.5,1.25,2.0,1.03,medium,False
Asia_Pacific,Japan,2023,window_replacement,high,2.0,sqft,38.16,1.5,1.25,2.0,1.03,medium,False
Asia_Pacific,Japan,2023,hvac_installation,high,8.0,ton,38.16,1.5,1.25,2.0,1.03,high,True
Asia_Pacific,Japan,2023,solar_pv_installation,high,4.0,kw,38.16,1.5,1.25,2.0,1.03,low,True
Asia_Pacific,Japan,2023,lighting_retrofit,low,0.5,fixture,21.2,1.5,1.25,2.0,1.03,low,False
Asia_Pacific,Japan,2023,roofing_work,medium,0.3,sqft,27.56,1.5,1.25,2.0,1.03,high,False
Asia_Pacific,Japan,2023,electrical_work,high,1.0,outlet,38.16,1.5,1.25,2.0,1.03,high,True
Asia_Pacific,Japan,2023,plumbing_work,high,2.0,fixture,38.16,1.5,1.25,2.0,1.03,low,False
Asia_Pacific,Japan,2023,general_construction,medium,0.2,sqft,27.56,1.5,1.25,2.0,1.03,low,False
Asia_Pacific,Japan,2024,insulation_installation,medium,0.5,sqft,28.08,1.5,1.25,2.0,1.04,medium,False
Asia_Pacific,Japan,2024,window_replacement,high,2.0,sqft,38.88,1.5,1.25,2.0,1.04,medium,False
Asia_Pacific,Japan,2024,hvac_installation,high,8.0,ton,38.88,1.5,1.25,2.0,1.04,high,True
Asia_Pacific,Japan,2024,solar_pv_installation,high,4.0,kw,38.88,1.5,1.25,2.0,1.04,low,True
Asia_Pacific,Japan,2024,lighting_retrofit,low,0.5,fixture,21.6,1.5,1.25,2.0,1.04,low,False
Asia_Pacific,Japan,2024,roofing_work,medium,0.3,sqft,28.08,1.5,1.25,2.0,1.04,high,False
Asia_Pacific,Japan,2024,electrical_work,high,1.0,outlet,38.88,1.5,1.25,2.0,1.04,high,True
Asia_Pacific,Japan,2024,plumbing_work,high,2.0,fixture,38.88,1.5,1.25,2.0,1.04,low,False
Asia_Pacific,Japan,2024,general_construction,medium,0.2,sqft,28.08,1.5,1.25,2.0,1.04,low,False
Asia_East,China,2020,insulation_installation,medium,0.5,sqft,10.4,1.5,1.25,2.0,1.0,medium,False
Asia_East,China,2020,window_replacement,high,2.0,sqft,14.4,1.5,1.25,2.0,1.0,medium,False
Asia_East,China,2020,hvac_installation,high,8.0,ton,14.4,1.5,1.25,2.0,1.0,high,True
Asia_East,China,2020,solar_pv_installation,high,4.0,kw,14.4,1.5,1.25,2.0,1.0,low,True
Asia_East,China,2020,lighting_retrofit,low,0.5,fixture,8.0,1.5,1.25,2.0,1.0,low,False
Asia_East,China,2020,roofing_work,medium,0.3,sqft,10.4,1.5,1.25,2.0,1.0,high,False
Asia_East,China,2020,electrical_work,high,1.0,outlet,14.4,1.5,1.25,2.0,1.0,high,True
Asia_East,China,2020,plumbing_work,high,2.0,fixture,14.4,1.5,1.25,2.0,1.0,low,False
Asia_East,China,2020,general_construction,medium,0.2,sqft,10.4,1.5,1.25,2.0,1.0,low,False
Asia_East,China,2021,insulation_installation,medium,0.5,sqft,10.61,1.5,1.25,2.0,1.01,medium,False
Asia_East,China,2021,window_replacement,high,2.0,sqft,14.69,1.5,1.25,2.0,1.01,medium,False
Asia_East,China,2021,hvac_installation,high,8.0,ton,14.69,1.5,1.25,2.0,1.01,high,True
Asia_East,China,2021,solar_pv_installation,high,4.0,kw,14.69,1.5,1.25,2.0,1.01,low,True
Asia_East,China,2021,lighting_retrofit,low,0.5,fixture,8.16,1.5,1.25,2.0,1.01,low,False
Asia_East,China,2021,roofing_work,medium,0.3,sqft,10.61,1.5,1.25,2.0,1.01,high,False
Asia_East,China,2021,electrical_work,high,1.0,outlet,14.69,1.5,1.25,2.0,1.01,high,True
Asia_East,China,2021,plumbing_work,high,2.0,fixture,14.69,1.5,1.25,2.0,1.01,low,False
Asia_East,China,2021,general_construction,medium,0.2,sqft,10.61,1.5,1.25,2.0,1.01,low,False
Asia_East,China,2022,insulation_installation,medium,0.5,sqft,10.82,1.5,1.25,2.0,1.02,medium,False
Asia_East,China,2022,window_replacement,high,2.0,sqft,14.98,1.5,1.25,2.0,1.02,medium,False
Asia_East,China,2022,hvac_installation,high,8.0,ton,14.98,1.5,1.25,2.0,1.02,high,True
Asia_East,China,2022,solar_pv_installation,high,4.0,kw,14.98,1.5,1.25,2.0,1.02,low,True
Asia_East,China,2022,lighting_retrofit,low,0.5,fixture,8.32,1.5,1.25,2.0,1.02,low,False
Asia_East,China,2022,roofing_work,medium,0.3,sqft,10.82,1.5,1.25,2.0,1.02,high,False
Asia_East,China,2022,electrical_work,high,1.0,outlet,14.98,1.5,1.25,2.0,1.02,high,True
Asia_East,China,2022,plumbing_work,high,2.0,fixture,14.98,1.5,1.25,2.0,1.02,low,False
Asia_East,China,2022,general_construction,medium,0.2,sqft,10.82,1.5,1.25,2.0,1.02,low,False
Asia_East,China,2023,insulation_installation,medium,0.5,sqft,11.02,1.5,1.25,2.0,1.03,medium,False
Asia_East,China,2023,window_replacement,high,2.0,sqft,15.26,1.5,1.25,2.0,1.03,medium,False
Asia_East,China,2023,hvac_installation,high,8.0,ton,15.26,1.5,1.25,2.0,1.03,high,True
Asia_East,China,2023,solar_pv_installation,high,4.0,kw,15.26,1.5,1.25,2.0,1.03,low,True
