category,material_name,year,region,base_cost,regional_cost,unit,efficiency_rating,efficiency_unit,lifespan_years,maintenance_cost_annual_pct,installation_complexity,carbon_footprint_kgco2_per_unit
insulation,fiberglass_batt,2024,Asia,0.54,0.38,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2024,Other,0.54,0.49,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2025,North America,0.55,0.55,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2025,Europe,0.55,0.66,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2025,Asia,0.55,0.39,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2025,Other,0.55,0.5,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2026,North America,0.56,0.56,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2026,Europe,0.56,0.67,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2026,Asia,0.56,0.39,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2026,Other,0.56,0.5,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2027,North America,0.57,0.57,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2027,Europe,0.57,0.68,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2027,Asia,0.57,0.4,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2027,Other,0.57,0.51,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2028,North America,0.58,0.58,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2028,Europe,0.58,0.7,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2028,Asia,0.58,0.41,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2028,Other,0.58,0.52,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2029,North America,0.59,0.59,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2029,Europe,0.59,0.71,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2029,Asia,0.59,0.41,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,fiberglass_batt,2029,Other,0.59,0.53,per_sqft,0.35,R-value,50,0.5,low,0.5
insulation,cellulose,2020,North America,0.7,0.7,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2020,Europe,0.7,0.84,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2020,Asia,0.7,0.49,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2020,Other,0.7,0.63,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2021,North America,0.71,0.71,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2021,Europe,0.71,0.86,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2021,Asia,0.71,0.5,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2021,Other,0.71,0.64,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2022,North America,0.73,0.73,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2022,Europe,0.73,0.87,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2022,Asia,0.73,0.51,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2022,Other,0.73,0.66,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2023,North America,0.74,0.74,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2023,Europe,0.74,0.89,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2023,Asia,0.74,0.52,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2023,Other,0.74,0.67,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2024,North America,0.76,0.76,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2024,Europe,0.76,0.91,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2024,Asia,0.76,0.53,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2024,Other,0.76,0.68,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2025,North America,0.77,0.77,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2025,Europe,0.77,0.92,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2025,Asia,0.77,0.54,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2025,Other,0.77,0.69,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2026,North America,0.78,0.78,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2026,Europe,0.78,0.94,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2026,Asia,0.78,0.55,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2026,Other,0.78,0.71,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2027,North America,0.8,0.8,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2027,Europe,0.8,0.96,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2027,Asia,0.8,0.56,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2027,Other,0.8,0.72,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2028,North America,0.81,0.81,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2028,Europe,0.81,0.97,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2028,Asia,0.81,0.57,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2028,Other,0.81,0.73,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2029,North America,0.83,0.83,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2029,Europe,0.83,0.99,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2029,Asia,0.83,0.58,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,cellulose,2029,Other,0.83,0.74,per_sqft,0.4,R-value,30,0.5,high,0.3
insulation,spray_foam,2020,North America,1.2,1.2,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2020,Europe,1.2,1.44,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2020,Asia,1.2,0.84,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2020,Other,1.2,1.08,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2021,North America,1.22,1.22,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2021,Europe,1.22,1.47,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2021,Asia,1.22,0.86,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2021,Other,1.22,1.1,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2022,North America,1.25,1.25,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2022,Europe,1.25,1.5,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2022,Asia,1.25,0.87,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2022,Other,1.25,1.12,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2023,North America,1.27,1.27,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2023,Europe,1.27,1.53,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2023,Asia,1.27,0.89,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2023,Other,1.27,1.14,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2024,North America,1.3,1.3,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2024,Europe,1.3,1.56,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2024,Asia,1.3,0.91,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2024,Other,1.3,1.17,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2025,North America,1.32,1.32,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2025,Europe,1.32,1.58,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2025,Asia,1.32,0.92,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2025,Other,1.32,1.19,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2026,North America,1.34,1.34,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2026,Europe,1.34,1.61,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2026,Asia,1.34,0.94,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2026,Other,1.34,1.21,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2027,North America,1.37,1.37,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2027,Europe,1.37,1.64,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2027,Asia,1.37,0.96,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2027,Other,1.37,1.23,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2028,North America,1.39,1.39,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2028,Europe,1.39,1.67,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2028,Asia,1.39,0.97,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2028,Other,1.39,1.25,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2029,North America,1.42,1.42,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2029,Europe,1.42,1.7,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2029,Asia,1.42,0.99,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,spray_foam,2029,Other,1.42,1.27,per_sqft,0.6,R-value,40,0.5,medium,1.0
insulation,rigid_foam,2020,North America,0.8,0.8,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2020,Europe,0.8,0.96,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2020,Asia,0.8,0.56,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2020,Other,0.8,0.72,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2021,North America,0.82,0.82,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2021,Europe,0.82,0.98,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2021,Asia,0.82,0.57,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2021,Other,0.82,0.73,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2022,North America,0.83,0.83,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2022,Europe,0.83,1.0,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2022,Asia,0.83,0.58,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2022,Other,0.83,0.75,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2023,North America,0.85,0.85,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2023,Europe,0.85,1.02,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2023,Asia,0.85,0.59,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2023,Other,0.85,0.76,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2024,North America,0.86,0.86,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2024,Europe,0.86,1.04,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2024,Asia,0.86,0.6,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2024,Other,0.86,0.78,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2025,North America,0.88,0.88,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2025,Europe,0.88,1.06,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2025,Asia,0.88,0.62,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2025,Other,0.88,0.79,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2026,North America,0.9,0.9,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2026,Europe,0.9,1.08,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2026,Asia,0.9,0.63,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2026,Other,0.9,0.81,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2027,North America,0.91,0.91,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2027,Europe,0.91,1.09,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2027,Asia,0.91,0.64,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2027,Other,0.91,0.82,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2028,North America,0.93,0.93,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2028,Europe,0.93,1.11,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2028,Asia,0.93,0.65,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2028,Other,0.93,0.84,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2029,North America,0.94,0.94,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2029,Europe,0.94,1.13,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2029,Asia,0.94,0.66,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,rigid_foam,2029,Other,0.94,0.85,per_sqft,0.5,R-value,50,0.5,medium,0.8
insulation,aerogel,2020,North America,3.0,3.0,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2020,Europe,3.0,3.6,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2020,Asia,3.0,2.1,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2020,Other,3.0,2.7,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2021,North America,3.06,3.06,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2021,Europe,3.06,3.67,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2021,Asia,3.06,2.14,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2021,Other,3.06,2.75,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2022,North America,3.12,3.12,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2022,Europe,3.12,3.74,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2022,Asia,3.12,2.18,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2022,Other,3.12,2.81,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2023,North America,3.18,3.18,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2023,Europe,3.18,3.82,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2023,Asia,3.18,2.23,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2023,Other,3.18,2.86,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2024,North America,3.24,3.24,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2024,Europe,3.24,3.89,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2024,Asia,3.24,2.27,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2024,Other,3.24,2.92,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2025,North America,3.3,3.3,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2025,Europe,3.3,3.96,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2025,Asia,3.3,2.31,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2025,Other,3.3,2.97,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2026,North America,3.36,3.36,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2026,Europe,3.36,4.03,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2026,Asia,3.36,2.35,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2026,Other,3.36,3.02,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2027,North America,3.42,3.42,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2027,Europe,3.42,4.1,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2027,Asia,3.42,2.39,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2027,Other,3.42,3.08,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2028,North America,3.48,3.48,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2028,Europe,3.48,4.18,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2028,Asia,3.48,2.44,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2028,Other,3.48,3.13,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2029,North America,3.54,3.54,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2029,Europe,3.54,4.25,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2029,Asia,3.54,2.48,per_sqft,0.8,R-value,30,0.5,high,2.0
insulation,aerogel,2029,Other,3.54,3.19,per_sqft,0.8,R-value,30,0.5,high,2.0
windows,single_pane,2020,North America,15.0,15.0,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2020,Europe,15.0,19.5,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2020,Asia,15.0,12.0,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2020,Other,15.0,15.0,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2021,North America,15.3,15.3,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2021,Europe,15.3,19.89,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2021,Asia,15.3,12.24,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2021,Other,15.3,15.3,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2022,North America,15.6,15.6,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2022,Europe,15.6,20.28,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2022,Asia,15.6,12.48,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2022,Other,15.6,15.6,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2023,North America,15.9,15.9,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2023,Europe,15.9,20.67,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2023,Asia,15.9,12.72,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2023,Other,15.9,15.9,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2024,North America,16.2,16.2,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2024,Europe,16.2,21.06,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2024,Asia,16.2,12.96,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2024,Other,16.2,16.2,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2025,North America,16.5,16.5,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2025,Europe,16.5,21.45,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2025,Asia,16.5,13.2,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2025,Other,16.5,16.5,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2026,North America,16.8,16.8,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2026,Europe,16.8,21.84,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2026,Asia,16.8,13.44,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2026,Other,16.8,16.8,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2027,North America,17.1,17.1,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2027,Europe,17.1,22.23,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2027,Asia,17.1,13.68,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2027,Other,17.1,17.1,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2028,North America,17.4,17.4,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2028,Europe,17.4,22.62,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2028,Asia,17.4,13.92,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2028,Other,17.4,17.4,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2029,North America,17.7,17.7,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2029,Europe,17.7,23.01,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2029,Asia,17.7,14.16,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,single_pane,2029,Other,17.7,17.7,per_sqft,1.0,U-value,20,1.0,medium,15.0
windows,double_pane,2020,North America,25.0,25.0,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2020,Europe,25.0,32.5,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2020,Asia,25.0,20.0,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2020,Other,25.0,25.0,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2021,North America,25.5,25.5,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2021,Europe,25.5,33.15,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2021,Asia,25.5,20.4,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2021,Other,25.5,25.5,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2022,North America,26.0,26.0,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2022,Europe,26.0,33.8,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2022,Asia,26.0,20.8,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2022,Other,26.0,26.0,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2023,North America,26.5,26.5,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2023,Europe,26.5,34.45,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2023,Asia,26.5,21.2,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2023,Other,26.5,26.5,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2024,North America,27.0,27.0,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2024,Europe,27.0,35.1,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2024,Asia,27.0,21.6,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2024,Other,27.0,27.0,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2025,North America,27.5,27.5,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2025,Europe,27.5,35.75,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2025,Asia,27.5,22.0,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2025,Other,27.5,27.5,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2026,North America,28.0,28.0,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2026,Europe,28.0,36.4,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2026,Asia,28.0,22.4,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2026,Other,28.0,28.0,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2027,North America,28.5,28.5,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2027,Europe,28.5,37.05,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2027,Asia,28.5,22.8,per_sqft,1.0,U-value,30,1.0,medium,25.0
windows,double_pane,2027,Other,28.5,28.5,per_sqft,1.0,U-value,30,1.0,medium,25.0
