longitude,latitude,factor_of_safety,landslide_hazard_level
-121.91000000000054,37.2,3.0,Low
-121.90500000000054,37.2,3.0,Low
-121.90000000000055,37.2,3.0,Low
-121.89500000000055,37.2,1.203156863840277,High
-121.89000000000055,37.2,3.0,Low
-121.88500000000056,37.2,5.0,Low
-121.88000000000056,37.2,5.0,Low
-121.87500000000057,37.2,5.0,Low
-121.87000000000057,37.2,5.0,Low
-121.86500000000058,37.2,5.0,Low
-121.86000000000058,37.2,5.0,Low
-121.85500000000059,37.2,5.0,Low
-121.85000000000059,37.2,5.0,Low
-121.8450000000006,37.2,5.0,Low
-121.8400000000006,37.2,5.0,Low
-121.8350000000006,37.2,5.0,Low
-121.83000000000061,37.2,5.0,Low
-121.82500000000061,37.2,1.106418240731044,Very High
-121.82000000000062,37.2,1.646872532672308,Moderate
-121.81500000000062,37.2,1.3002062909987815,High
-121.81000000000063,37.2,1.9152608515564438,Moderate
-121.80500000000063,37.2,1.535597626554184,Moderate
-121.80000000000064,37.2,0.9083543388877193,Very High
-122.5,37.205000000000005,1.1001922905349435,Very High
-122.495,37.205000000000005,1.0620848455294891,Very High
-122.49000000000001,37.205000000000005,3.0,Low
-122.48500000000001,37.205000000000005,2.5603704298428576,Low
-122.48000000000002,37.205000000000005,3.0,Low
-122.47500000000002,37.205000000000005,3.0,Low
-122.47000000000003,37.205000000000005,0.5,Very High
-122.46500000000003,37.205000000000005,3.0,Low
-122.46000000000004,37.205000000000005,3.0,Low
-122.45500000000004,37.205000000000005,3.0,Low
-122.45000000000005,37.205000000000005,3.0,Low
-122.44500000000005,37.205000000000005,3.0,Low
-122.44000000000005,37.205000000000005,3.0,Low
-122.43500000000006,37.205000000000005,3.0,Low
-122.43000000000006,37.205000000000005,3.0,Low
-122.42500000000007,37.205000000000005,3.0,Low
-122.42000000000007,37.205000000000005,3.0,Low
-122.41500000000008,37.205000000000005,3.0,Low
-122.41000000000008,37.205000000000005,3.0,Low
-122.40500000000009,37.205000000000005,1.1330286956300561,Very High
-122.40000000000009,37.205000000000005,3.0,Low
-122.3950000000001,37.205000000000005,3.0,Low
-122.3900000000001,37.205000000000005,0.8776459139052168,Very High
-122.3850000000001,37.205000000000005,3.0,Low
-122.38000000000011,37.205000000000005,3.0,Low
-122.37500000000011,37.205000000000005,0.8678411919985468,Very High
-122.37000000000012,37.205000000000005,3.0,Low
-122.36500000000012,37.205000000000005,1.4438083185792256,High
-122.36000000000013,37.205000000000005,0.9378990339163019,Very High
-122.35500000000013,37.205000000000005,5.0,Low
-122.35000000000014,37.205000000000005,5.0,Low
-122.34500000000014,37.205000000000005,1.0922630869243106,Very High
-122.34000000000015,37.205000000000005,1.6007886203381592,Moderate
-122.33500000000015,37.205000000000005,5.0,Low
-122.33000000000015,37.205000000000005,5.0,Low
-122.32500000000016,37.205000000000005,5.0,Low
-122.32000000000016,37.205000000000005,5.0,Low
-122.31500000000017,37.205000000000005,2.103074299985294,Low
-122.31000000000017,37.205000000000005,3.0,Low
-122.30500000000018,37.205000000000005,5.0,Low
-122.30000000000018,37.205000000000005,2.4725890016016687,Low
-122.29500000000019,37.205000000000005,4.053235818493321,Low
-122.29000000000019,37.205000000000005,1.3289520220088573,High
-122.2850000000002,37.205000000000005,4.976461456541579,Low
-122.2800000000002,37.205000000000005,4.085263097803659,Low
-122.2750000000002,37.205000000000005,3.783824408098281,Low
-122.27000000000021,37.205000000000005,3.0,Low
-122.26500000000021,37.205000000000005,2.556258703370661,Low
-122.26000000000022,37.205000000000005,1.1611153984585787,Very High
-122.25500000000022,37.205000000000005,3.0,Low
-122.25000000000023,37.205000000000005,3.0,Low
-122.24500000000023,37.205000000000005,3.0,Low
-122.24000000000024,37.205000000000005,3.0,Low
-122.23500000000024,37.205000000000005,3.0,Low
-122.23000000000025,37.205000000000005,3.0,Low
-122.22500000000025,37.205000000000005,3.0,Low
-122.22000000000025,37.205000000000005,3.0,Low
-122.21500000000026,37.205000000000005,3.0,Low
-122.21000000000026,37.205000000000005,3.0,Low
-122.20500000000027,37.205000000000005,3.0,Low
-122.20000000000027,37.205000000000005,3.0,Low
-122.19500000000028,37.205000000000005,3.0,Low
-122.19000000000028,37.205000000000005,3.0,Low
-122.18500000000029,37.205000000000005,3.0,Low
-122.18000000000029,37.205000000000005,3.0,Low
-122.1750000000003,37.205000000000005,3.0,Low
-122.1700000000003,37.205000000000005,3.0,Low
-122.1650000000003,37.205000000000005,3.0,Low
-122.16000000000031,37.205000000000005,3.0,Low
-122.15500000000031,37.205000000000005,3.0,Low
-122.15000000000032,37.205000000000005,3.0,Low
-122.14500000000032,37.205000000000005,3.0,Low
-122.14000000000033,37.205000000000005,3.0,Low
-122.13500000000033,37.205000000000005,5.0,Low
-122.13000000000034,37.205000000000005,5.0,Low
-122.12500000000034,37.205000000000005,5.0,Low
-122.12000000000035,37.205000000000005,5.0,Low
-122.11500000000035,37.205000000000005,5.0,Low
-122.11000000000035,37.205000000000005,5.0,Low
-122.10500000000036,37.205000000000005,5.0,Low
-122.10000000000036,37.205000000000005,5.0,Low
-122.09500000000037,37.205000000000005,5.0,Low
-122.09000000000037,37.205000000000005,5.0,Low
-122.08500000000038,37.205000000000005,5.0,Low
-122.08000000000038,37.205000000000005,5.0,Low
-122.07500000000039,37.205000000000005,5.0,Low
-122.07000000000039,37.205000000000005,5.0,Low
-122.0650000000004,37.205000000000005,5.0,Low
-122.0600000000004,37.205000000000005,5.0,Low
-122.0550000000004,37.205000000000005,5.0,Low
-122.05000000000041,37.205000000000005,3.0,Low
-122.04500000000041,37.205000000000005,3.0,Low
-122.04000000000042,37.205000000000005,5.0,Low
-122.03500000000042,37.205000000000005,3.0,Low
-122.03000000000043,37.205000000000005,3.0,Low
-122.02500000000043,37.205000000000005,5.0,Low
-122.02000000000044,37.205000000000005,3.0,Low
-122.01500000000044,37.205000000000005,3.0,Low
-122.01000000000045,37.205000000000005,3.0,Low
-122.00500000000045,37.205000000000005,3.0,Low
-122.00000000000045,37.205000000000005,3.0,Low
-121.99500000000046,37.205000000000005,3.0,Low
-121.99000000000046,37.205000000000005,3.0,Low
-121.98500000000047,37.205000000000005,3.0,Low
-121.98000000000047,37.205000000000005,3.0,Low
-121.97500000000048,37.205000000000005,3.0,Low
-121.97000000000048,37.205000000000005,3.0,Low
-121.96500000000049,37.205000000000005,3.0,Low
-121.96000000000049,37.205000000000005,3.0,Low
-121.9550000000005,37.205000000000005,3.0,Low
-121.9500000000005,37.205000000000005,3.0,Low
-121.9450000000005,37.205000000000005,3.0,Low
-121.94000000000051,37.205000000000005,3.0,Low
-121.93500000000051,37.205000000000005,3.0,Low
-121.93000000000052,37.205000000000005,3.0,Low
-121.92500000000052,37.205000000000005,3.0,Low
-121.92000000000053,37.205000000000005,3.0,Low
-121.91500000000053,37.205000000000005,5.0,Low
-121.91000000000054,37.205000000000005,3.0,Low
-121.90500000000054,37.205000000000005,5.0,Low
-121.90000000000055,37.205000000000005,5.0,Low
-121.89500000000055,37.205000000000005,5.0,Low
-121.89000000000055,37.205000000000005,5.0,Low
-121.88500000000056,37.205000000000005,5.0,Low
-121.88000000000056,37.205000000000005,5.0,Low
-121.87500000000057,37.205000000000005,5.0,Low
-121.87000000000057,37.205000000000005,5.0,Low
-121.86500000000058,37.205000000000005,3.6919344855391953,Low
-121.86000000000058,37.205000000000005,5.0,Low
-121.85500000000059,37.205000000000005,3.0,Low
-121.85000000000059,37.205000000000005,5.0,Low
-121.8450000000006,37.205000000000005,5.0,Low
-121.8400000000006,37.205000000000005,5.0,Low
-121.8350000000006,37.205000000000005,3.587941105939668,Low
-121.83000000000061,37.205000000000005,5.0,Low
-121.82500000000061,37.205000000000005,5.0,Low
-121.82000000000062,37.205000000000005,3.0023822584447415,Low
-121.81500000000062,37.205000000000005,1.5184184819762325,Moderate
-121.81000000000063,37.205000000000005,5.0,Low
-121.80500000000063,37.205000000000005,3.0,Low
-121.80000000000064,37.205000000000005,1.5510217760658975,Moderate
-122.5,37.21000000000001,2.0036451877223023,Low
-122.495,37.21000000000001,0.8585674022424435,Very High
-122.49000000000001,37.21000000000001,3.0,Low
-122.48500000000001,37.21000000000001,0.7876174432806734,Very High
-122.48000000000002,37.21000000000001,3.0,Low
-122.47500000000002,37.21000000000001,3.0,Low
-122.47000000000003,37.21000000000001,3.0,Low
-122.46500000000003,37.21000000000001,3.0,Low
-122.46000000000004,37.21000000000001,3.0,Low
-122.45500000000004,37.21000000000001,3.0,Low
-122.45000000000005,37.21000000000001,3.0,Low
-122.44500000000005,37.21000000000001,3.0,Low
-122.44000000000005,37.21000000000001,3.0,Low
-122.43500000000006,37.21000000000001,3.0,Low
-122.43000000000006,37.21000000000001,3.0,Low
-122.42500000000007,37.21000000000001,3.0,Low
-122.42000000000007,37.21000000000001,3.0,Low
-122.41500000000008,37.21000000000001,3.0,Low
-122.41000000000008,37.21000000000001,3.0,Low
-122.40500000000009,37.21000000000001,3.0,Low
-122.40000000000009,37.21000000000001,3.0,Low
-122.3950000000001,37.21000000000001,3.0,Low
-122.3900000000001,37.21000000000001,1.0807993826382263,Very High
-122.3850000000001,37.21000000000001,3.0,Low
-122.38000000000011,37.21000000000001,0.770577895713874,Very High
-122.37500000000011,37.21000000000001,1.1055451027428942,Very High
-122.37000000000012,37.21000000000001,1.0040271590127072,Very High
-122.36500000000012,37.21000000000001,0.7324183580719801,Very High
-122.36000000000013,37.21000000000001,1.3041518667052734,High
-122.35500000000013,37.21000000000001,1.172617141918851,Very High
-122.35000000000014,37.21000000000001,1.6698369729083,Moderate
-122.34500000000014,37.21000000000001,1.1885097704119616,Very High
-122.34000000000015,37.21000000000001,5.0,Low
-122.33500000000015,37.21000000000001,5.0,Low
-122.33000000000015,37.21000000000001,1.404649454379493,High
-122.32500000000016,37.21000000000001,5.0,Low
-122.32000000000016,37.21000000000001,3.064683392373976,Low
-122.31500000000017,37.21000000000001,5.0,Low
-122.31000000000017,37.21000000000001,5.0,Low
-122.30500000000018,37.21000000000001,5.0,Low
-122.30000000000018,37.21000000000001,5.0,Low
-122.29500000000019,37.21000000000001,3.0,Low
-122.29000000000019,37.21000000000001,5.0,Low
-122.2850000000002,37.21000000000001,1.2051958698660068,High
-122.2800000000002,37.21000000000001,3.0,Low
-122.2750000000002,37.21000000000001,3.0,Low
-122.27000000000021,37.21000000000001,3.0,Low
-122.26500000000021,37.21000000000001,3.0,Low
-122.26000000000022,37.21000000000001,3.0,Low
-122.25500000000022,37.21000000000001,3.639323253563424,Low
-122.25000000000023,37.21000000000001,3.0,Low
-122.24500000000023,37.21000000000001,3.0,Low
-122.24000000000024,37.21000000000001,3.0,Low
-122.23500000000024,37.21000000000001,3.0,Low
-122.23000000000025,37.21000000000001,3.0,Low
-122.22500000000025,37.21000000000001,3.0,Low
-122.22000000000025,37.21000000000001,3.0,Low
-122.21500000000026,37.21000000000001,3.0,Low
-122.21000000000026,37.21000000000001,3.0,Low
-122.20500000000027,37.21000000000001,3.0,Low
-122.20000000000027,37.21000000000001,3.0,Low
-122.19500000000028,37.21000000000001,3.0,Low
-122.19000000000028,37.21000000000001,3.0,Low
-122.18500000000029,37.21000000000001,3.0,Low
-122.18000000000029,37.21000000000001,3.0,Low
-122.1750000000003,37.21000000000001,3.0,Low
-122.1700000000003,37.21000000000001,3.0,Low
-122.1650000000003,37.21000000000001,3.0,Low
-122.16000000000031,37.21000000000001,3.0,Low
-122.15500000000031,37.21000000000001,3.0,Low
-122.15000000000032,37.21000000000001,3.0,Low
-122.14500000000032,37.21000000000001,3.0,Low
-122.14000000000033,37.21000000000001,5.0,Low
-122.13500000000033,37.21000000000001,5.0,Low
-122.13000000000034,37.21000000000001,5.0,Low
-122.12500000000034,37.21000000000001,5.0,Low
-122.12000000000035,37.21000000000001,5.0,Low
-122.11500000000035,37.21000000000001,5.0,Low
-122.11000000000035,37.21000000000001,5.0,Low
-122.10500000000036,37.21000000000001,3.0,Low
-122.10000000000036,37.21000000000001,5.0,Low
-122.09500000000037,37.21000000000001,5.0,Low
-122.09000000000037,37.21000000000001,5.0,Low
-122.08500000000038,37.21000000000001,5.0,Low
-122.08000000000038,37.21000000000001,5.0,Low
-122.07500000000039,37.21000000000001,5.0,Low
-122.07000000000039,37.21000000000001,5.0,Low
-122.0650000000004,37.21000000000001,5.0,Low
-122.0600000000004,37.21000000000001,5.0,Low
-122.0550000000004,37.21000000000001,5.0,Low
-122.05000000000041,37.21000000000001,3.0,Low
-122.04500000000041,37.21000000000001,3.0,Low
-122.04000000000042,37.21000000000001,3.0,Low
-122.03500000000042,37.21000000000001,3.0,Low
-122.03000000000043,37.21000000000001,3.0,Low
-122.02500000000043,37.21000000000001,3.0,Low
-122.02000000000044,37.21000000000001,3.0,Low
-122.01500000000044,37.21000000000001,3.0,Low
-122.01000000000045,37.21000000000001,3.0,Low
-122.00500000000045,37.21000000000001,3.0,Low
-122.00000000000045,37.21000000000001,3.0,Low
-121.99500000000046,37.21000000000001,3.0,Low
-121.99000000000046,37.21000000000001,3.0,Low
-121.98500000000047,37.21000000000001,3.0,Low
-121.98000000000047,37.21000000000001,3.0,Low
-121.97500000000048,37.21000000000001,3.0,Low
-121.97000000000048,37.21000000000001,3.0,Low
-121.96500000000049,37.21000000000001,3.0,Low
-121.96000000000049,37.21000000000001,3.0,Low
-121.9550000000005,37.21000000000001,3.0,Low
-121.9500000000005,37.21000000000001,3.0,Low
-121.9450000000005,37.21000000000001,3.0,Low
-121.94000000000051,37.21000000000001,3.0,Low
-121.93500000000051,37.21000000000001,3.0,Low
-121.93000000000052,37.21000000000001,3.0,Low
-121.92500000000052,37.21000000000001,3.0,Low
-121.92000000000053,37.21000000000001,3.0,Low
-121.91500000000053,37.21000000000001,3.0,Low
-121.91000000000054,37.21000000000001,5.0,Low
-121.90500000000054,37.21000000000001,5.0,Low
-121.90000000000055,37.21000000000001,1.7838678369323573,Moderate
-121.89500000000055,37.21000000000001,5.0,Low
-121.89000000000055,37.21000000000001,5.0,Low
-121.88500000000056,37.21000000000001,5.0,Low
-121.88000000000056,37.21000000000001,5.0,Low
-121.87500000000057,37.21000000000001,5.0,Low
-121.87000000000057,37.21000000000001,5.0,Low
-121.86500000000058,37.21000000000001,5.0,Low
-121.86000000000058,37.21000000000001,5.0,Low
-121.85500000000059,37.21000000000001,5.0,Low
-121.85000000000059,37.21000000000001,4.754384316759663,Low
-121.8450000000006,37.21000000000001,5.0,Low
-121.8400000000006,37.21000000000001,5.0,Low
-121.8350000000006,37.21000000000001,1.1937737047355366,Very High
-121.83000000000061,37.21000000000001,1.8960536062307243,Moderate
-121.82500000000061,37.21000000000001,2.351935856669142,Low
-121.82000000000062,37.21000000000001,4.975441392314978,Low
-121.81500000000062,37.21000000000001,1.9434351760744215,Moderate
-121.81000000000063,37.21000000000001,3.0,Low
-121.80500000000063,37.21000000000001,3.0,Low
-121.80000000000064,37.21000000000001,2.962940864015221,Low
-122.5,37.21500000000001,0.5616250401211812,Very High
-122.495,37.21500000000001,1.0577635145499853,Very High
-122.49000000000001,37.21500000000001,3.0,Low
-122.48500000000001,37.21500000000001,0.7201764996824398,Very High
-122.48000000000002,37.21500000000001,3.0,Low
-122.47500000000002,37.21500000000001,3.0,Low
-122.47000000000003,37.21500000000001,1.676764572876434,Moderate
-122.46500000000003,37.21500000000001,1.1518488315328963,Very High
-122.46000000000004,37.21500000000001,4.338071509180618,Low
-122.45500000000004,37.21500000000001,3.0,Low
-122.45000000000005,37.21500000000001,3.0,Low
-122.44500000000005,37.21500000000001,3.0,Low
-122.44000000000005,37.21500000000001,3.0,Low
-122.43500000000006,37.21500000000001,3.0,Low
-122.43000000000006,37.21500000000001,3.0,Low
-122.42500000000007,37.21500000000001,3.0,Low
-122.42000000000007,37.21500000000001,3.0,Low
-122.41500000000008,37.21500000000001,3.0,Low
-122.41000000000008,37.21500000000001,3.0,Low
-122.40500000000009,37.21500000000001,0.5,Very High
-122.40000000000009,37.21500000000001,3.0,Low
-122.3950000000001,37.21500000000001,0.900525071319264,Very High
-122.3900000000001,37.21500000000001,3.0,Low
-122.3850000000001,37.21500000000001,3.0,Low
-122.38000000000011,37.21500000000001,0.7084615874159662,Very High
-122.37500000000011,37.21500000000001,1.122247787922777,Very High
-122.37000000000012,37.21500000000001,1.334372454057021,High
-122.36500000000012,37.21500000000001,0.866802595863973,Very High
-122.36000000000013,37.21500000000001,1.0569286047913262,Very High
-122.35500000000013,37.21500000000001,1.078197241091516,Very High
-122.35000000000014,37.21500000000001,1.3844809632703643,High
-122.34500000000014,37.21500000000001,1.3137490620794587,High
-122.34000000000015,37.21500000000001,4.420495223862144,Low
-122.33500000000015,37.21500000000001,5.0,Low
-122.33000000000015,37.21500000000001,5.0,Low
-122.32500000000016,37.21500000000001,0.8881608394816441,Very High
-122.32000000000016,37.21500000000001,2.2358322240189095,Low
-122.31500000000017,37.21500000000001,1.1903594311215913,Very High
-122.31000000000017,37.21500000000001,5.0,Low
-122.30500000000018,37.21500000000001,3.5863910759605675,Low
-122.30000000000018,37.21500000000001,4.6718584556031,Low
-122.29500000000019,37.21500000000001,3.6907162033525087,Low
-122.29000000000019,37.21500000000001,3.8782585175699418,Low
-122.2850000000002,37.21500000000001,3.0,Low
-122.2800000000002,37.21500000000001,2.1950424496508663,Low
-122.2750000000002,37.21500000000001,5.0,Low
-122.27000000000021,37.21500000000001,1.3427353327184886,High
-122.26500000000021,37.21500000000001,5.0,Low
-122.26000000000022,37.21500000000001,4.678637031883149,Low
-122.25500000000022,37.21500000000001,3.0,Low
-122.25000000000023,37.21500000000001,3.0,Low
-122.24500000000023,37.21500000000001,3.0,Low
-122.24000000000024,37.21500000000001,3.0,Low
-122.23500000000024,37.21500000000001,3.0,Low
-122.23000000000025,37.21500000000001,3.0,Low
-122.22500000000025,37.21500000000001,3.0,Low
-122.22000000000025,37.21500000000001,3.0,Low
-122.21500000000026,37.21500000000001,3.0,Low
-122.21000000000026,37.21500000000001,3.0,Low
-122.20500000000027,37.21500000000001,3.0,Low
-122.20000000000027,37.21500000000001,3.0,Low
-122.19500000000028,37.21500000000001,3.0,Low
-122.19000000000028,37.21500000000001,3.0,Low
-122.18500000000029,37.21500000000001,3.0,Low
-122.18000000000029,37.21500000000001,3.0,Low
-122.1750000000003,37.21500000000001,3.0,Low
-122.1700000000003,37.21500000000001,3.0,Low
-122.1650000000003,37.21500000000001,3.0,Low
-122.16000000000031,37.21500000000001,3.0,Low
-122.15500000000031,37.21500000000001,3.0,Low
-122.15000000000032,37.21500000000001,5.0,Low
-122.14500000000032,37.21500000000001,3.0,Low
-122.14000000000033,37.21500000000001,3.0,Low
-122.13500000000033,37.21500000000001,5.0,Low
-122.13000000000034,37.21500000000001,5.0,Low
-122.12500000000034,37.21500000000001,5.0,Low
-122.12000000000035,37.21500000000001,5.0,Low
-122.11500000000035,37.21500000000001,5.0,Low
-122.11000000000035,37.21500000000001,3.0,Low
-122.10500000000036,37.21500000000001,5.0,Low
-122.10000000000036,37.21500000000001,5.0,Low
-122.09500000000037,37.21500000000001,5.0,Low
-122.09000000000037,37.21500000000001,5.0,Low
-122.08500000000038,37.21500000000001,5.0,Low
-122.08000000000038,37.21500000000001,5.0,Low
-122.07500000000039,37.21500000000001,5.0,Low
-122.07000000000039,37.21500000000001,5.0,Low
-122.0650000000004,37.21500000000001,5.0,Low
-122.0600000000004,37.21500000000001,5.0,Low
-122.0550000000004,37.21500000000001,5.0,Low
-122.05000000000041,37.21500000000001,5.0,Low
-122.04500000000041,37.21500000000001,3.0,Low
-122.04000000000042,37.21500000000001,3.0,Low
-122.03500000000042,37.21500000000001,3.0,Low
-122.03000000000043,37.21500000000001,3.0,Low
-122.02500000000043,37.21500000000001,3.0,Low
-122.02000000000044,37.21500000000001,3.0,Low
-122.01500000000044,37.21500000000001,3.0,Low
-122.01000000000045,37.21500000000001,3.0,Low
-122.00500000000045,37.21500000000001,3.0,Low
-122.00000000000045,37.21500000000001,3.0,Low
-121.99500000000046,37.21500000000001,3.0,Low
-121.99000000000046,37.21500000000001,3.0,Low
-121.98500000000047,37.21500000000001,3.0,Low
-121.98000000000047,37.21500000000001,3.0,Low
-121.97500000000048,37.21500000000001,3.0,Low
-121.97000000000048,37.21500000000001,3.0,Low
-121.96500000000049,37.21500000000001,3.0,Low
-121.96000000000049,37.21500000000001,3.0,Low
-121.9550000000005,37.21500000000001,3.0,Low
-121.9500000000005,37.21500000000001,3.0,Low
-121.9450000000005,37.21500000000001,3.0,Low
-121.94000000000051,37.21500000000001,3.0,Low
-121.93500000000051,37.21500000000001,3.0,Low
-121.93000000000052,37.21500000000001,3.0,Low
-121.92500000000052,37.21500000000001,3.0,Low
-121.92000000000053,37.21500000000001,3.0,Low
-121.91500000000053,37.21500000000001,3.0,Low
-121.91000000000054,37.21500000000001,3.0,Low
-121.90500000000054,37.21500000000001,5.0,Low
-121.90000000000055,37.21500000000001,3.0,Low
-121.89500000000055,37.21500000000001,5.0,Low
-121.89000000000055,37.21500000000001,5.0,Low
-121.88500000000056,37.21500000000001,5.0,Low
-121.88000000000056,37.21500000000001,5.0,Low
-121.87500000000057,37.21500000000001,5.0,Low
-121.87000000000057,37.21500000000001,5.0,Low
-121.86500000000058,37.21500000000001,5.0,Low
-121.86000000000058,37.21500000000001,5.0,Low
-121.85500000000059,37.21500000000001,5.0,Low
-121.85000000000059,37.21500000000001,5.0,Low
-121.8450000000006,37.21500000000001,5.0,Low
-121.8400000000006,37.21500000000001,5.0,Low
-121.8350000000006,37.21500000000001,5.0,Low
-121.83000000000061,37.21500000000001,0.9658900335885358,Very High
-121.82500000000061,37.21500000000001,2.5472185226461233,Low
-121.82000000000062,37.21500000000001,5.0,Low
-121.81500000000062,37.21500000000001,2.410797144672555,Low
-121.81000000000063,37.21500000000001,3.0,Low
-121.80500000000063,37.21500000000001,3.0,Low
-121.80000000000064,37.21500000000001,3.0,Low
-122.5,37.22000000000001,0.8511087489118153,Very High
-122.495,37.22000000000001,3.0,Low
-122.49000000000001,37.22000000000001,1.3169805501152418,High
-122.48500000000001,37.22000000000001,0.6910881561699582,Very High
-122.48000000000002,37.22000000000001,0.8296136470555621,Very High
-122.47500000000002,37.22000000000001,3.0,Low
-122.47000000000003,37.22000000000001,3.0,Low
-122.46500000000003,37.22000000000001,3.0,Low
-122.46000000000004,37.22000000000001,3.0,Low
-122.45500000000004,37.22000000000001,3.0,Low
-122.45000000000005,37.22000000000001,3.0,Low
-122.44500000000005,37.22000000000001,1.2558870034383482,High
-122.44000000000005,37.22000000000001,3.0,Low
-122.43500000000006,37.22000000000001,3.0,Low
-122.43000000000006,37.22000000000001,3.0,Low
-122.42500000000007,37.22000000000001,3.0,Low
-122.42000000000007,37.22000000000001,3.0,Low
