von_mises_stress,principal_stress_1,principal_stress_2,principal_stress_3,interfacial_shear_stress
71155678.87790975,207609756.27765858,-44921684.55630022,-126812316.8912344,18712427.041050173
573865849.6770962,330207664.3147749,672836369.4953346,913087329.2328932,55554956.98856199
566018424.887821,355430408.0970857,648787965.8271129,-52591318.64881587,29136107.283774447
878033512.8444569,-184839210.6314723,537483477.7998123,663257945.0784991,41739478.2329148
557873675.6600732,613407088.3784301,948458462.9002006,89682697.31061876,37686688.03471885
959791020.4048502,-462201357.76839554,90333004.1594733,-291118893.82294405,87590492.49998946
48694848.39992977,32247783.314743996,-303924014.6153641,-483927053.4569616,90529899.90105155
98007684.78074107,670318972.8034503,507563288.86609113,316386005.52287626,49295697.165586
44065861.570381396,345839381.58310354,593964700.7158093,963668227.8233991,33015595.03156044
185276850.33354002,-108256351.23370963,362590860.18822205,53704290.71380675,10680070.400236363
541270110.941678,542429679.0145715,-189773160.2999056,35788500.98956728,95340287.9382095
645572181.427428,351086416.2341101,256683912.5040331,16137426.774163127,6022694.490029745
45585157.9486688,694365414.1845808,-31715395.14630592,280815755.95728767,29765027.756828044
945970889.8455993,602537779.284735,141199792.25003362,160997325.13644028,29806620.117000416
842165376.6503811,415161883.0543519,467827863.7669959,819871940.0905218,32040128.61402149
296612482.1570931,232266512.96622097,617822114.0362518,258281187.58523548,16428684.327240927
77187530.22646797,-300226811.4987149,-151662963.64798534,261636757.28285313,78316143.09236972
169887073.21905726,-108000473.17192435,107988040.97043002,-292442607.91916513,12249786.196598921
126944413.75497267,128649209.37562788,-96257643.5125562,974109311.3655789,63490665.91531628
123283779.29894684,398948930.509583,-202052579.20719635,-125040663.69675547,12384602.670581745
518561688.66573393,270561782.8229573,675080829.9937575,-389953898.810596,7053563.759295655
245847442.4934003,-67723211.06070578,863879041.6554887,494719373.46281314,90942950.36858764
358139716.52914447,-490303463.31543416,55348278.526865125,393049555.235309,19012876.631870568
989505333.3843224,244358832.85122085,626918386.5606503,122718480.98911858,82125015.45597044
684314248.9253447,-71561017.1566354,845492934.0466166,133288350.82101715,54463087.11071358
948980667.0470014,601912451.0658026,769186315.7953475,677595881.5696468,7785651.96087696
142556555.0331156,-464080602.09427476,-225779917.19116116,-206431039.8505264,95544819.14380674
382139474.83256924,377241716.95868635,934437822.270042,730379978.4173346,24696116.699189253
554731803.2823542,912211356.259098,65014660.64419365,473120670.8425273,85964534.53526065
76758061.88873802,-238386099.33275074,8860991.760754526,128454660.66928661,16881000.578456417
4187443.627957865,207474236.125893,-406353009.0833295,187042924.87580287,85394288.21418528
670434333.7969176,-362867012.2742927,229260481.15732455,-115029189.22085631,1322881.2905293985
641819516.8014354,438522868.3920289,-336479576.53860694,628171499.0454621,51178045.65694807
410788809.99961174,325797520.89433837,-127190268.60886103,269312113.4579016,76944257.94215567
489644076.0320326,111048286.31924856,-24586067.34907794,-18718185.875234604,93479551.74927834
415443000.5920896,282065532.2106118,713239485.2375262,394075173.6414254,90920213.6206487
24005044.844888855,844861987.7035153,813232975.5938449,993601678.0769846,81962486.95476449
335371606.2174624,-205558546.53339946,-46300523.807795465,152893419.48483074,88819134.9661304
177082255.39728984,-466153232.44197917,788047181.8668609,881037101.1679294,19921968.58370765
98424189.10136874,792497327.0486515,785846406.0546865,17525259.886849165,28418429.571172874
956720433.8893498,365675623.5818597,646976425.5773103,-417900939.6125212,28896852.492105853
599359725.0421656,835987683.1927636,-279957328.9772277,-193636840.4473567,37705393.10016988
728656284.2366027,395417835.11975884,535484270.35109353,128042714.99152637,39332067.03851887
315363743.2661175,715241634.9395537,917536096.8708532,-170547607.1081465,54455532.46546755
393147129.4940152,144510045.03272188,523810718.1507356,-499659442.6726167,15987976.33664414
236923993.89672348,624789896.9324031,-2574726.3382490873,872502306.6212909,69124666.37859893
96965670.96542475,869562200.334784,250868976.1462469,765819116.8463936,16756653.930450648
179031637.44158378,358184445.5833094,468587565.02658045,613438347.2304206,31030848.210454755
797514045.2964858,-228822274.15643072,265855613.09275532,-248278106.53095704,50334513.060615405
677545805.1837758,-96803577.45470273,-320070587.40354526,-319454635.6850209,79644056.15234773
546928875.9854769,-202033134.65389132,-31903933.02196902,-398592875.7914253,73946923.32387273
475089872.86676806,-129714458.60640061,703594045.8304489,586043783.1593819,64553435.641052224
922434283.6561245,-40376825.973445415,792127069.1432762,893211941.0318279,15577326.058017015
72734947.7786684,332700680.1297827,-294049950.9266447,145803731.36955547,54704534.56155777
280600813.237916,381987444.19574916,928580128.5980868,-321288992.00592774,8744650.179988544
349937853.57071406,139749620.86279166,-6766073.227086008,268589231.0981599,37736317.679665074
782425812.2127879,423131169.73125315,493470608.09607995,23247861.187945187,41351653.028995916
992514620.1619713,-377637611.5829511,627737718.9350216,62237386.52499652,3981143.944575383
240670514.75715306,-368317644.41276,717919351.956825,431995936.2335609,27398809.94699718
874307334.1370807,-242255809.46351233,918624553.3388951,578077169.8933036,95564946.72664894
830622760.4317913,277116247.0605171,-30620677.95676607,-334094601.69025874,95363260.78296895
224657397.6417666,-179007981.95252967,787759681.8273318,-446614653.7902854,35232705.42525393
399332580.19922256,-75073394.76113403,-302469644.8456894,991495454.0285723,4310010.894832405
