elastic_properties,plastic_properties,creep_properties,thermal_properties,electrochemical_properties
,,"[330086.1387047  401594.83508629 310234.27973916 116133.21931469
 415005.69647006 336179.61822368 224674.56775715 353358.63299123
 166957.24065927 205336.49382239 462868.6294094  180727.02755214
 261494.72067107 450563.51182821 368474.60762039  77991.45177412
 116286.36992554  53528.71584736 333914.80560312 251453.04143469
 110423.68290602 481070.35447555 288346.87577553 158851.9823508
 275271.60701962 355829.1497308   84307.6480881  173616.71677155
 413134.4708978  256849.1916812  295959.71391453 244767.20099426
  69754.97418935 124587.40091907 250493.73743385 144133.45943357
  72490.56289686 429642.34882332 491536.63812385 406914.29329853
 434203.2147671  158889.70864267 482282.13898094 138616.56700404
 478143.41466282 497668.68228468 370275.26258572 491514.67930632
 306292.9008052  166793.80242924 246648.14854953 317102.42092045
  82886.70291216 330054.46907776 491530.02654303 135548.44240268
 406667.80232977 458554.45720083 474665.7167691  482061.02198245
 284656.83742466 489788.55859618 390789.5932105  122752.14630663
 264605.04791059 373249.0289174  161303.14211859 338276.832597
 349970.21557098 123214.88471385 304288.39060374 397232.10994037
 274503.04904117  55446.40254925  54067.31108568 210663.20478651
 466787.3307943  152904.55082162 335463.65999226 149934.14181199
 194751.4953468  431618.94032067 377987.64902148  92929.67479094
 242915.9094439   63126.39364037 266400.56597135 348095.30526548
 103326.18061917 179998.22250912 229026.48147597 463788.96109522
 496964.75694033  70210.08454803 392453.56557293 217275.82988105
 226606.18380327 389419.23800616 463291.89446543 477917.86752615]",,
,,"[2.92790067e+08 1.84989368e+08 3.95899052e+08 1.32990678e+08
 2.86396274e+08 1.85703446e+08 3.31749226e+08 1.27795467e+08
 1.03880543e+08 4.59937152e+08 5.98838046e+07 2.57919375e+08
 1.18217864e+08 2.90756820e+07 2.76492210e+07 9.58586683e+07
 4.34717474e+08 1.48414585e+08 4.75724994e+08 2.94994924e+08
 2.23940953e+08 2.94243529e+08 2.63182209e+08 3.81800364e+08
 1.48423072e+08 1.82994692e+08 4.48106208e+08 4.73763691e+08
 4.47353531e+08 2.15529517e+08 3.92379096e+08 2.43404509e+08
 2.53794528e+08 1.10293253e+08 2.99653849e+08 1.01206590e+08
 1.72466703e+08 4.28964799e+08 1.11467147e+08 4.48675597e+07
 4.38137204e+07 4.70984415e+08 2.58391015e+08 2.10611915e+08
 4.07330505e+08 4.19554705e+08 1.72773606e+08 3.49872848e+08
 3.87850180e+08 3.30778837e+08 8.42815867e+07 4.39182711e+08
 2.74156331e+08 1.48411489e+08 2.18361811e+08 2.84098343e+07
 7.26547326e+07 3.85117908e+08 1.00057010e+07 2.14117256e+08
 2.66029989e+08 3.67708658e+07 4.86808300e+08 1.20801412e+08
 1.59057373e+08 1.58931831e+08 1.22904164e+08 1.07221728e+07
 3.67378949e+08 4.83754295e+08 1.19903807e+08 3.34893124e+08
 3.73529200e+08 4.25728436e+08 2.17088307e+08 1.58436144e+08
 1.69394616e+08 3.59184453e+08 4.10221939e+08 9.89908442e+07
 1.91761094e+08 4.51950696e+08 4.05279825e+08 4.92580617e+08
 3.79581647e+08 2.02665649e+08 2.99412539e+08 3.33896985e+08
 4.84433500e+07 2.76803510e+08 3.57567206e+08 9.19874390e+07
 3.92509542e+08 2.96048662e+08 4.76588675e+08 3.07869261e+07
 1.40009807e+08 3.04761401e+08 1.55314357e+08 3.60067840e+08]",,
,,,"[303.62621248  41.09613403 205.59040024 203.60533318 147.77538001
 373.17665254 331.01977732 278.91403183 285.75922163 184.74028591
 368.40570899 277.86871136 291.61952656 344.69019242 109.70122858
 322.84765446  78.17671712 138.2022467  134.31062066 391.41233481
 342.62923578 280.49782765 290.84999897 224.87291048 378.84155778
 198.55387528 152.26903218  65.29783124 314.50364034 293.80412844
 153.80357991  10.17484624 335.61503135   4.66605158 281.50954187
 388.10581818 175.12076513  94.06586466 281.97791692 326.86954399
 218.6174834  386.81740657  20.76232179 201.96775976 287.40973353
 345.06992441  71.7843192  320.02139236 221.12755958 158.68181743
  52.77283993 346.13177399  62.99355595 123.9841649  116.08920823
 348.57847227 269.11392738 318.69289074 100.26211273 249.98715243
 228.74121866 333.14886768 362.44421549   4.96149291 269.64056563
  20.82913607 219.58858016 115.12432834 122.77996215 141.24810553
 248.55485037 133.68658127 293.10635033 161.87050149  27.4344448
 313.52556101 114.374754   173.16347515 274.2090089  133.04921724
  22.72860389 149.6310267  377.78498822 256.72958548 268.62451155
 252.94963324  79.67695637 167.39171225 300.40082537  40.63902173
 111.21332516 110.60001148 172.86436915 392.1494595   27.09426842
 207.52852765  71.82793634 388.27355051  45.41007154 161.50004084]",
,,,"[1501.98147119 1438.65341325  903.1844101   758.39591911  855.46351925
  602.1249      490.13258354 1017.77542536  610.21413653  646.1771633
 1347.8365206  1940.22093023 1246.91068106  246.26098742  243.60886632
 1907.70411961  664.85250158  274.92727356 1238.18471559 1284.93267875
 1332.15915823  608.06385293  128.71030001 1933.52920196  576.69678681
 1384.4499473  1442.59675277 1259.01409245  694.52404901  615.08288215
 1235.56973714 1745.58170386 1898.79408495  301.22102837  394.17436394
 1894.99889169 1499.41693384 1777.68826718  485.00200486 1216.41315511
 1432.16522939 1392.21258235  875.48821265  129.25029421 1207.55950793
  580.89292444  955.48306767 1919.40392866  858.16710352 1695.62305266
  458.22715092 1377.67494625 1956.31321343  293.59689166  115.80789023
  923.807306    275.9884178  1521.93026438 1837.64246131  924.63984815
  591.5521201   925.36630611 1474.55085392  117.202907   1219.96258002
 1265.25420129 1311.6076691   559.84195196 1456.70017442  273.64382403
  478.61363929 1767.19308864 1503.57398638  126.11655262  571.9148947
  507.37231769  614.53202327  570.36356353  218.79996191  971.98698153
 1492.19360209 1252.79027696 1378.45617034  254.18343922 1907.83234934
 1693.1344843  1629.67160514 1663.66922958 1872.14996545 1134.08253562
  480.53583395 1271.88885492 1511.47483797 1502.04304737 1090.75314592
  230.07156673  805.11458302 1849.45655608 1210.45292854 1122.83069219]",
,,,"[ 6108.21677326  8000.52947841 18011.57569391 13662.79790301
 15960.35350829  9632.56303829 12974.69716967  5719.28856612
 14403.75577539  9124.42534036  9408.36478148 13337.12416696
 18789.33180791  2216.12058556 16670.12150959  6555.27909783
  9434.46963562  1416.35324673  6719.87547885 10549.99360997
  2067.3454696  10330.81885828 18615.10194831  3002.47114405
 15524.37383343  8783.75001414 13448.30057596  5944.49536172
  4030.35298829  4048.78967115  2339.34696722  4527.28739312
 13620.16831479 17752.12162503 16468.38802623 14017.55188762
  3098.20540481  6494.56147962  6886.33063113  5749.18198155
 10785.10753448 11175.52248271  7780.83352825  7721.99401599
 16742.55636022 15996.56411807  6848.12080193 18361.98043359
 19103.48532305  7208.10829857  7734.07402707 10607.04891502
 18881.29543814 17650.0692297   2948.79128909  8461.88412216
 11514.05260525 10559.51697848  4683.3982908  17317.51865219
 13861.87487694 16920.25912218 17316.52130764 15218.76121965
  9345.00142374 12600.38834529  4046.94271628 13799.26293202
  4405.81185905 14185.04221969  5362.36505433  3233.47470285
  4140.40531272  1037.85056916 14656.05273922 14915.61993211
 10783.73364835  4065.89322005  2587.5324127   1363.45036231
  4149.21536234 17926.25516468  5589.19999233  7731.15521713
  3001.56420515  5224.86479022 10865.26684482 12547.30097882
  5661.69396916  2096.91102528  8429.62451342  5449.8640476
  5171.52454137 19237.39325156 12709.70923259 11580.69042027
  8899.72696694  9149.94233517 11277.19507292 14232.16633369]",
,,,"[3.54051587e-05 9.41300148e-06 2.55055249e-05 2.11859467e-05
 4.36558213e-05 3.19395271e-05 2.70926993e-05 6.65433747e-06
 3.06762566e-05 6.74299138e-06 1.75231222e-05 7.99925628e-06
 3.49116087e-05 1.11063536e-05 2.02011093e-05 4.48880641e-05
 1.10115028e-05 2.58824481e-05 2.15443114e-05 1.88807801e-06
 3.98451476e-05 4.38324941e-06 2.42384960e-05 2.84732365e-05
 3.17928964e-05 3.47429498e-05 1.34103468e-05 1.48896006e-06
 3.64487395e-05 2.72471734e-05 4.19697675e-05 4.12480298e-05
 4.23229822e-05 2.47696383e-05 1.73477914e-05 3.97863519e-05
 2.31134115e-05 9.98866762e-06 4.28937270e-05 4.42454340e-05
 2.38491781e-05 4.70928664e-06 2.00034784e-05 4.03733453e-05
 4.51869274e-05 1.09701644e-05 4.28170699e-06 4.39901722e-05
 2.00808420e-05 2.75462872e-05 4.84352248e-05 4.26167167e-06
 3.27675824e-05 4.63116571e-06 1.93979775e-05 4.03869127e-05
 2.22401394e-05 4.98619353e-05 2.83939050e-05 1.67369455e-05
 1.17854550e-05 1.81755062e-05 1.92541304e-05 4.36697021e-06
 1.91091358e-05 2.37476875e-05 3.64141499e-05 3.31797448e-05
 3.57295171e-05 1.40982041e-06 1.16657026e-05 3.34225301e-05
 2.47154790e-05 1.26036031e-06 4.04202375e-05 3.88676691e-05
 2.78725390e-05 4.25670296e-06 3.85592374e-05 2.96019658e-05
 3.93160389e-05 3.78356026e-05 4.03471015e-05 2.63823953e-05
 7.87590139e-06 3.38867162e-05 3.14032155e-05 3.73704062e-05
 9.32416930e-06 1.05537848e-05 4.46300663e-05 3.77489121e-05
 4.55031959e-05 3.81770507e-05 3.02606100e-05 3.30525041e-05
 4.45672683e-05 2.93615310e-05 3.19871749e-05 8.66735908e-06]",
,,,,"[47392122.0116108  71639711.19581018 27094269.83163727 20225418.05245429
 31382680.82244224 24150062.7992841  21491263.70364037 42485084.28680927
 90783851.3883535  50705964.67387232 18792038.08153312  7697166.93808833
 69615614.51379283 38279876.4436394  82183094.6585361  65951076.86407736
 79624145.05413705 27194603.9418456  69235892.24610612 26406198.46937261
 93906847.94502921 63637428.1533378  32451180.01753488 26951186.22922799
 19092658.50716516 69464095.88937308 21871561.29979351 59530326.59274931
 26463502.69253647 66196894.47938719 81493972.85405411 77802524.31446554
 76085133.0930784  18772240.56922602  8838494.69845278 69894882.84873886
 36834721.37943576 43234622.6403353   3114909.27934008 25957644.92750566
  3367640.38744737 87918577.26012489 24339668.3218538  55733716.95730124
  3897932.066114   66684739.13056614 32302734.57541006 89791918.69576669
 88811818.8934037  32529061.83617545 90096089.56904688 99615767.34987788
 82541566.41239499 84487134.77552305 24900873.61090974 57670239.88577606
  6725591.39673772  9491793.68216788 99889261.20332906 32663924.94259177
 74818391.20488489 80666505.30268183 85802327.10072306 99762829.74021566
 24149648.52568754  4035082.68597093 41119151.79945918 13008066.98289557
  2242588.91620649 36042682.71414925 78373825.10752386 56618069.12250752
 31277798.92103609 65434200.54927231 23201818.03088184  1438144.60720949
 76435338.64364298 62374308.48640128 76230262.45009623  3893801.66876752
 83711962.78306538 61952620.00363071 56339535.07126445 62461404.81145354
 86443324.68683654 58693650.65589112 58095037.98881835 99067915.70657659
 75673016.70685704 44229380.54511409 70739700.00329307 38923047.16917945
 22887546.24835067 59685187.68877634 92818209.81139521 92913952.00154634
 34190527.81054969 52767746.62216997 21163589.85698691 99563110.94988835]"
,,,,"[0.00981118 0.00649509 0.00804414 0.007151   0.00593159 0.00053349
 0.00454765 0.00674787 0.00677532 0.00373123 0.00941692 0.00167358
 0.0050036  0.00690884 0.00697136 0.00648639 0.00275289 0.00156207
 0.00635941 0.00599303 0.00179357 0.00705139 0.00455173 0.00667761
 0.00837367 0.00169729 0.00019146 0.00779103 0.00609698 0.0069964
 0.00838155 0.00802811 0.0096092  0.00535936 0.00488496 0.00401888
 0.00153692 0.00572608 0.00277013 0.00921308 0.00583191 0.00592841
 0.00354925 0.0005199  0.00031745 0.00423336 0.00084566 0.00606847
 0.00880973 0.00882915 0.00659046 0.00211233 0.00862997 0.00886094
 0.00196654 0.00737426 0.0028652  0.00802641 0.00997238 0.00030027
 0.00897366 0.00622631 0.00973383 0.0046501  0.00847388 0.00062395
 0.0033528  0.00067017 0.00975343 0.00816974 0.00852548 0.00937965
 0.00085104 0.00385598 0.00071036 0.00210794 0.00229367 0.00469108
 0.00268563 0.00100979 0.00167492 0.00147276 0.00973077 0.00759293
 0.00967761 0.00439741 0.00278369 0.00798293 0.00326255 0.00299384
 0.00232507 0.0012968  0.00256464 0.0035532  0.00673995 0.00062566
 0.00210508 0.00809024 0.00146923 0.00342646]"
,,,,"[8.64658935e-09 1.54925396e-09 8.27369273e-10 4.84538047e-09
 3.02419581e-09 5.63408408e-09 8.03804910e-09 1.37148574e-09
 5.80699126e-09 5.05508810e-09 1.44078872e-09 6.23998523e-09
 2.73640490e-09 4.87834370e-09 8.22724160e-10 4.59584111e-09
 3.06463537e-09 8.22381229e-09 5.69788213e-10 4.18607333e-09
 4.58431478e-09 7.25006104e-09 5.74287618e-09 6.67212370e-09
 7.77049308e-09 8.62202987e-09 3.13875565e-09 5.38022752e-09
 8.40108094e-09 9.89451132e-09 8.89519322e-09 3.71467325e-09
 1.95166598e-09 4.89392588e-09 7.41641478e-09 4.92569121e-09
 4.83180915e-09 8.38230437e-09 3.61403843e-09 8.59794689e-09
 4.06804860e-09 3.28233173e-09 4.53989966e-09 7.62446982e-09
 1.26002115e-09 1.96419296e-09 9.51444831e-09 1.75491710e-09
 5.67727361e-09 5.79314509e-09 4.89624513e-09 6.44745284e-09
 2.29826803e-09 5.52662313e-09 3.72173318e-09 6.61667293e-09
 1.41223629e-09 5.70877460e-09 1.85270437e-09 2.78643135e-09
 2.18709878e-09 1.82837862e-09 8.25710969e-09 2.85707639e-09
 9.27123789e-09 9.69926528e-09 5.71260513e-09 1.43001208e-09
 3.74548306e-09 7.97732284e-09 3.67390792e-09 8.70173096e-10
 5.56784955e-09 8.45120867e-09 7.95926408e-09 1.75123223e-09
 6.72764647e-09 2.20504341e-09 2.18207613e-09 8.74071786e-09
 2.49669028e-09 2.63247420e-09 6.53490696e-12 8.70669047e-09
 7.92594834e-09 6.27328972e-09 7.50265789e-09 1.52048652e-09
 4.58323649e-09 3.51219452e-09 9.37766169e-10 4.86130537e-09
 9.20739658e-09 4.00592150e-10 2.91460984e-09 2.07541015e-09
 2.38146730e-09 9.08434561e-09 4.68069107e-09 4.66299466e-09]"
,,,,"[ 1.04230257 -1.38203118 -0.05093858 -0.28005914  0.38764276  1.99823081
  1.07779558 -0.40853719  1.31021221 -1.31716655 -1.87814525 -1.18220651
 -0.63835378  0.04232303  0.46051656  1.64242287  0.03941604  0.00510258
 -1.79902796 -1.86035379  0.20463985 -0.24728555  1.35672158 -1.35728166
 -1.90011335 -0.20384493 -1.05008577 -1.80154251  0.89839315 -1.553628
  0.433278   -0.875801   -1.3060158  -0.48099391  1.2057831  -0.43162569
  1.0030786  -1.49805481  1.09108568 -1.0522667   0.70957252  0.26312622
  1.71657887 -0.45070993 -1.73533924 -1.92337806  1.30743424  0.09894255
  1.10097621 -1.0622976  -0.61966502 -1.87958451  1.8459693   0.67147163
  1.73282035 -0.93801437  0.44585444  0.71399987 -0.7298012   1.39243694
  1.78864585  1.53942047  0.9562679  -0.89014128 -0.87353583  1.85344128
 -1.95886202  0.86419989  0.82498465  0.49075816  1.96043538 -0.75248226
 -0.64011254 -1.68424239 -0.22880745 -0.9558059  -0.62645319  1.33828716
  1.74193805 -1.25706771 -0.50996427  1.71452225 -1.75276616 -1.63055789
 -1.34883604  0.38085134 -1.39811092  1.87230553 -0.21314189  0.00607184
 -1.01336554 -0.11615899  0.64765453  1.00470855  1.01547233  0.31156445
  1.6174391   1.26963139  1.02819246 -1.77757791]"
