building_id,year,total_consumption_kwh,energy_intensity_kwh_m2,electricity_kwh,natural_gas_kwh,oil_kwh,district_heating_kwh,renewable_kwh,jan_consumption,feb_consumption,mar_consumption,apr_consumption,may_consumption,jun_consumption,jul_consumption,aug_consumption,sep_consumption,oct_consumption,nov_consumption,dec_consumption
B007,2019,559094.42,465.91,435638.99,89433.34,19559.24,14462.85,0.0,59320.25,53753.13,48295.95,41481.93,37129.33,36178.02,41677.59,43575.57,48027.61,47160.11,49582.55,56487.82
B007,2020,492831.94,410.69,404279.19,65889.39,14132.95,8530.41,0.0,55907.66,44542.63,40820.85,38156.28,32564.74,32455.2,36314.11,37789.8,39105.55,42079.2,46861.15,47179.16
B007,2021,669824.48,558.19,511602.3,116177.5,24958.57,17086.11,0.0,69667.29,59439.25,57218.65,52355.54,43775.71,45344.52,52196.83,48259.14,53776.21,57730.92,60921.52,67922.53
B007,2022,680349.46,566.96,543279.7,105341.64,19423.33,12304.8,0.0,75396.72,63632.69,58859.82,52583.46,45261.33,46292.68,50419.62,49796.38,59275.96,57088.79,63695.0,65316.39
B007,2023,462008.86,385.01,341768.55,93523.53,14946.67,11770.11,0.0,49799.43,40987.91,38760.74,32976.07,29626.49,30720.78,32931.54,34552.4,36911.17,39518.1,41067.24,47173.06
B008,2018,1119891.24,279.97,709243.03,317566.91,52541.29,40540.01,0.0,97949.24,88683.14,91894.22,85833.19,84053.68,92049.26,97326.04,101290.53,93033.4,81650.02,93579.96,98776.56
B008,2019,889465.06,222.37,547905.12,260338.0,43502.6,37719.34,0.0,80291.84,75581.39,74949.35,67394.42,68102.24,70211.2,80980.29,79649.17,72480.42,66039.39,70412.67,79760.77
B008,2020,471373.97,117.84,305810.81,117515.39,27044.56,21003.21,0.0,41115.92,40581.46,39062.58,33734.16,34593.43,40630.05,41748.6,42574.58,39080.46,34786.15,38133.55,41526.07
B008,2021,580936.47,145.23,363446.32,155348.33,34133.62,28008.2,0.0,54354.35,48188.86,47993.73,41106.36,44279.93,48874.16,51758.76,52847.76,50020.78,41079.87,48452.43,54095.65
B008,2022,1081047.48,270.26,593524.65,369029.35,58070.74,60422.74,0.0,102767.84,87874.41,89992.77,82925.15,77083.27,85525.04,99153.86,96778.23,87309.36,81721.8,86371.97,102914.32
B008,2023,812876.39,203.22,487865.03,242623.24,42499.11,39889.02,0.0,70263.73,63880.83,69079.72,61742.24,62233.2,67920.04,73232.0,74067.64,66643.51,61525.74,68932.31,76544.33
B009,2018,17681.75,176.82,7681.95,8292.75,1425.18,281.88,0.0,1825.23,1722.3,1452.74,1204.61,1108.6,1201.76,1453.95,1682.51,1364.52,1206.98,1588.47,1775.59
B009,2019,21084.67,210.85,9333.96,9414.73,1870.63,465.35,0.0,2123.48,1935.22,1906.19,1389.62,1306.27,1495.23,1856.61,1961.05,1674.58,1485.3,1890.94,2270.63
B009,2020,23416.65,234.17,9257.7,11803.22,1884.62,471.11,0.0,2313.36,2262.7,2035.91,1679.38,1348.28,1596.29,2031.94,2118.72,1885.75,1689.0,2118.68,2315.96
B009,2021,26764.93,267.65,10695.91,13778.83,1868.92,421.27,0.0,2802.63,2523.23,2305.82,1853.5,1578.2,1834.18,2272.82,2451.36,2119.13,1782.91,2248.11,2774.04
B009,2022,21651.12,216.51,10084.91,9460.76,1680.85,424.6,0.0,2152.64,2140.27,1867.09,1462.98,1251.12,1551.48,1775.1,2006.27,1647.14,1492.47,1949.09,2316.12
B009,2023,23297.98,232.98,9361.28,11523.15,1886.11,527.44,0.0,2366.23,2101.03,2074.95,1583.46,1361.47,1590.47,2033.08,2243.79,1764.35,1658.84,2016.82,2517.89
B010,2018,595507.28,186.1,377592.92,183759.11,20918.6,13236.66,0.0,43818.85,44438.4,50447.35,49623.81,49691.02,56309.95,62023.27,55834.74,49540.11,49424.15,43819.49,44695.56
B010,2019,517468.9,161.71,349668.53,138040.89,19714.59,10044.89,0.0,39692.69,38991.02,44815.24,41088.22,42113.35,48395.66,52882.39,45877.36,45066.54,44028.89,39480.05,40154.37
B010,2020,1123285.35,351.03,761478.9,307811.19,34696.43,19298.83,0.0,81410.44,83592.31,96111.2,90190.71,95383.27,106896.5,111809.29,106637.02,89315.43,97797.05,83957.55,85937.85
B010,2021,1357931.06,424.35,996598.18,285164.32,46883.93,29284.63,0.0,100273.29,102555.0,113312.97,109609.32,110219.42,120399.82,138695.63,124448.88,118015.28,114819.04,100735.13,102024.13
B010,2022,838621.8,262.07,617221.36,179775.43,25005.12,16619.89,0.0,60680.88,62282.48,72685.97,71744.45,66976.56,74724.1,82175.11,78627.0,72164.55,67274.26,63894.82,60370.09
B010,2023,1152611.18,360.19,850734.34,247592.33,33151.43,21133.09,0.0,87899.84,87173.4,97833.07,99207.03,98042.96,100520.8,110370.6,108368.62,94924.22,97608.76,87948.38,84402.98
B011,2018,1572598.54,314.52,1120132.08,320668.11,68879.98,62918.37,0.0,138689.55,131874.71,132691.79,114458.81,120874.09,123736.57,144002.05,139976.85,127053.51,114364.16,126810.99,149794.08
B011,2019,3300544.3,660.11,2062507.33,822057.88,206573.83,209405.26,0.0,300904.15,260554.82,262341.33,239546.53,254131.66,276204.41,302985.86,290399.84,283643.98,250402.26,278137.4,293493.63
B011,2020,3384918.56,676.98,2295361.08,830535.48,123624.2,135397.79,0.0,306989.95,285027.54,291769.32,263953.62,262139.52,292342.66,322387.84,320152.64,287099.95,263377.66,284373.8,318738.79
B011,2021,3150237.92,630.05,2034764.01,849645.02,136545.99,129282.91,0.0,290238.86,260355.13,257794.73,243997.54,239968.52,262827.71,283316.14,280885.17,262748.01,230504.57,271509.23,273285.0
B011,2022,1545862.29,309.17,994047.44,386345.63,88312.28,77156.95,0.0,134260.45,131729.08,130281.61,113470.07,112101.88,128592.77,145206.01,139853.36,130239.67,113855.5,124434.44,147514.96
B011,2023,3601130.8,720.23,2416883.7,834280.4,188541.96,161424.74,0.0,332794.18,300452.78,291703.81,270143.84,259586.64,282748.01,317908.9,315967.83,298042.56,269187.18,294714.44,340671.82
B012,2018,4404344.98,550.54,2362264.69,1046031.47,745734.34,250314.49,0.0,396894.01,348410.05,367619.42,321711.77,329410.02,357808.9,408354.43,417996.03,358214.99,314979.48,346493.17,413403.01
B012,2019,6535604.79,816.95,3257397.69,2056609.86,958523.1,263074.13,0.0,602671.34,516317.16,562213.47,477486.46,483039.55,516195.61,591771.51,582546.44,536031.15,476049.2,539776.55,621458.93
B012,2020,5438887.94,679.86,2556115.09,1573168.58,989848.63,319755.64,0.0,488666.11,459287.57,471664.85,386056.53,393286.54,431095.36,473814.4,495913.08,446600.61,403179.04,447360.89,494588.21
B012,2021,4220852.68,527.61,1976648.56,1409124.07,666044.19,169035.86,0.0,376076.56,363667.67,358774.13,303630.23,325142.52,351113.24,386994.69,384110.45,349177.71,306862.97,346230.85,388992.08
B012,2022,4215372.31,526.92,1992437.95,1256972.35,759781.84,206180.18,0.0,385006.84,348564.02,360877.51,304547.92,301351.56,349622.82,376243.09,378891.63,343084.56,316041.42,359245.24,370329.4
B012,2023,6023673.4,752.96,2796149.18,1950037.68,944518.93,332967.61,0.0,537787.76,512992.38,495864.84,435911.66,468631.01,516229.62,566420.46,568013.95,500332.4,448461.1,477196.39,574165.12
B013,2018,19609.77,108.94,6916.89,10956.53,1372.89,363.46,0.0,2002.89,1791.37,1739.12,1413.54,1167.92,1399.48,1766.36,1821.96,1592.63,1380.11,1619.32,1987.48
B013,2019,30188.69,167.71,13886.13,13193.35,2397.07,712.13,0.0,3115.86,2827.1,2496.64,2146.54,1768.39,2074.79,2554.2,2954.35,2386.87,2131.46,2475.33,3039.84
B013,2020,26759.74,148.67,11631.74,12601.19,2090.36,436.45,0.0,2646.42,2507.33,2232.36,1903.42,1681.93,1799.96,2217.64,2496.11,2163.18,1848.38,2401.82,2832.98
B013,2021,19589.66,108.83,9147.18,8563.82,1512.11,366.54,0.0,2064.89,1881.59,1729.72,1360.92,1147.27,1347.8,1616.55,1918.87,1450.2,1383.19,1748.79,2111.11
B013,2022,19100.59,106.11,6459.15,10590.24,1685.02,366.19,0.0,1975.24,1730.05,1674.89,1360.19,1136.36,1269.42,1685.2,1770.37,1421.68,1339.14,1630.15,1956.54
B013,2023,23609.24,131.16,9921.46,11519.95,1674.08,493.75,0.0,2350.79,2320.2,1988.15,1707.45,1482.79,1636.54,1942.8,2140.71,1836.08,1581.28,2127.89,2552.05
B014,2018,551098.27,250.5,403126.78,122708.56,14243.23,11019.7,0.0,41334.37,40057.16,45692.2,46864.76,44728.27,51434.95,52602.43,50169.65,44528.32,44935.27,40421.52,40091.54
B014,2019,501944.11,228.16,331320.48,140353.51,19537.31,10732.81,0.0,36550.21,38536.25,40912.19,43284.69,40405.33,46033.74,47999.89,46355.14,42041.16,43814.01,39359.77,36934.45
B014,2020,815893.49,370.86,560316.73,205212.08,33627.4,16737.28,0.0,59220.2,63324.06,66723.85,68597.43,69587.58,71534.15,82090.58,73002.73,66651.34,67245.25,59349.8,62802.26
B014,2021,608341.99,276.52,431184.15,151804.55,15135.02,10218.28,0.0,46831.41,47452.58,50872.31,50842.24,48759.46,55961.23,58113.95,56544.74,48616.97,51012.97,44573.64,46926.26
B014,2022,1300965.28,591.35,866268.47,359081.27,49260.97,26354.57,0.0,93368.31,95246.41,104558.74,110004.51,108714.15,117382.7,131031.59,122093.59,113339.18,113262.33,94568.96,98581.04
B014,2023,835456.15,379.75,640093.58,160629.26,18520.95,16212.36,0.0,61977.97,64214.67,71159.36,68126.49,71022.53,79310.03,80639.54,78362.34,69304.56,71919.58,64706.18,59922.69
B015,2018,841655.07,561.1,672015.6,124286.72,29002.14,16350.61,0.0,93731.9,75027.0,72170.95,65154.33,57378.55,57220.39,65427.54,61399.91,68755.69,68781.05,73816.34,79982.12
B015,2019,672092.0,448.06,534076.29,102591.57,19296.04,16128.1,0.0,73129.03,63762.69,55406.58,52748.21,45361.96,46057.99,49932.94,48370.26,57336.41,58166.9,62814.78,66975.79
B015,2020,599187.24,399.46,495442.38,76511.18,15215.63,12018.05,0.0,63124.13,56430.38,49926.36,45745.94,39982.06,39908.98,42980.85,44914.75,49090.45,49852.35,54875.76,62185.99
B015,2021,638670.76,425.78,518266.67,85392.83,20782.14,14229.13,0.0,68090.23,57701.21,54185.89,48801.85,41865.52,41771.26,47695.86,47561.48,53506.19,51238.39,58801.35,63784.94
B015,2022,545716.03,363.81,456809.53,66192.21,12429.73,10284.55,0.0,57205.57,47740.52,47084.37,40863.79,37396.83,37152.12,40888.79,41520.33,44497.81,43973.54,48577.68,55601.51
B015,2023,675395.91,450.26,541882.31,101526.91,19805.75,12180.94,0.0,69926.8,63774.69,53949.49,49535.22,46881.2,45376.15,49135.97,50000.15,53691.95,57739.28,63542.46,69646.16
